Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,62.61%,66.94%,59.20%,55.04%,53.53%,51.76%,51.76%,53.33%,52.53%,51.59%,49.22%,49.00%,48.87%,48.56%,50.02%,50.16%,50.39%,45.89%,44.61%,48.24%,47.12%,48.22%,48.22%,51.50%,53.29%,51.89%,51.34%,52.11%,51.06%,51.38%,51.15%,51.96%,60.44%,53.31%,54.37%,57.25%,56.86%,56.86%,53.09%,52.37%,52.86%,50.99%,50.91%,49.79%,49.80%,49.68%,49.39%,49.51%,58.28%,50.92%,49.98%,47.60%,47.51%,50.90%,48.45%,48.78%,48.78%,49.39%,50.61%,49.47%,49.75%,49.97%,48.54%,48.89%,56.67%,53.78%,44.30%,44.22%,48.09%,49.84%,51.25%,51.25%,49.11%,51.54%,51.29%,51.30%,49.70%,49.66%,49.03%,50.00%,48.17%,50.47%,50.76%,49.76%,51.31%,49.32%,49.32%,49.60%,51.01%,51.19%,52.04%,52.07%,50.86%,51.89%,50.81%,50.21%,49.06%,46.56%,51.36%,50.57%,50.57%,52.25%,56.33%,55.23%,53.66%,54.23%,53.51%,54.11%,53.12%,52.50%,50.85%,50.46%,50.52%,48.89%,43.22%,45.52%,46.61%,48.01%,48.01%,47.09%,49.99%,48.93%,49.06%,49.64%,48.92%,49.18%,48.87%,49.07%,48.00%,56.61%,42.44%,44.13%,46.68%,50.00%,50.00%,51.61%,50.97%,48.75%,49.67%,47.51%,47.98%,47.50%,45.73%,45.68%,46.39%,49.11%,53.19%,50.32%,53.41%,52.77%,52.68%,50.51%,49.36%,49.36%,48.22%,49.07%,48.53%,48.56%,48.77%,49.97%,51.22%,44.83%,47.96%,44.62%,42.67%,42.58%,44.32%,43.50%,43.50%,42.86%,44.53%,46.52%,47.40%,47.72%,47.93%,48.79%,47.50%,48.67%,45.80%,45.80%,48.10%,48.56%,50.11%,50.67%,51.36%,51.13%,51.15%,51.27%,50.12%,50.87%,51.47%,50.87%
Atlanta,44.89%,49.25%,47.61%,47.12%,47.33%,46.30%,45.79%,45.79%,48.21%,47.92%,47.27%,46.70%,47.05%,48.15%,47.37%,47.62%,47.83%,58.67%,50.19%,48.30%,48.26%,48.38%,45.87%,45.09%,46.67%,46.67%,47.91%,49.42%,50.09%,49.76%,49.70%,49.24%,54.78%,47.72%,46.30%,48.72%,50.04%,47.98%,49.63%,49.63%,51.26%,51.31%,51.74%,52.53%,52.56%,51.91%,52.33%,52.34%,67.11%,65.00%,60.52%,60.28%,60.28%,59.63%,56.67%,57.48%,56.77%,56.27%,55.27%,56.18%,55.98%,55.59%,54.57%,52.99%,57.28%,55.42%,54.91%,56.42%,54.32%,51.49%,53.93%,53.93%,54.53%,54.15%,54.40%,54.90%,54.31%,53.07%,51.86%,50.83%,41.28%,44.50%,50.26%,49.96%,51.78%,54.27%,54.27%,54.11%,57.40%,56.79%,57.41%,57.42%,57.30%,56.60%,56.42%,56.35%,55.80%,55.44%,51.86%,49.94%,49.94%,51.90%,50.80%,52.15%,50.54%,51.49%,50.79%,49.88%,50.49%,50.72%,50.20%,50.30%,50.19%,37.72%,50.08%,57.83%,56.83%,56.80%,55.95%,55.85%,55.85%,56.92%,58.46%,58.57%,58.36%,57.71%,58.34%,58.37%,57.35%,39.28%,41.19%,43.07%,50.00%,49.36%,49.49%,50.60%,50.60%,50.15%,52.16%,52.25%,53.44%,52.28%,52.42%,53.29%,51.83%,50.86%,56.52%,57.29%,59.11%,56.20%,56.20%,56.53%,55.49%,55.86%,56.48%,56.86%,55.67%,52.97%,52.86%,52.78%,45.22%,45.69%,55.80%,56.18%,57.41%,57.41%,55.54%,56.49%,55.57%,54.28%,53.38%,53.66%,53.18%,52.50%,52.84%,53.27%,45.44%,44.14%,50.33%,51.07%,51.60%,49.27%,49.25%,50.61%,50.61%,50.46%,49.82%,50.11%,51.14%,49.49%,49.18%,49.47%
Baltimore,40.17%,48.81%,44.09%,43.61%,43.61%,46.31%,49.54%,51.17%,48.63%,50.96%,50.64%,50.47%,49.96%,50.56%,51.49%,52.01%,51.69%,48.89%,57.89%,54.81%,48.06%,48.99%,48.99%,50.58%,52.24%,52.72%,52.46%,51.27%,50.85%,50.24%,51.46%,51.63%,52.06%,43.58%,43.58%,50.50%,49.67%,53.77%,54.06%,52.57%,51.93%,51.87%,53.11%,52.73%,52.28%,51.84%,52.15%,52.18%,57.39%,54.75%,50.46%,47.32%,51.34%,49.33%,49.33%,51.56%,52.72%,51.28%,51.52%,52.82%,52.33%,52.43%,52.63%,53.16%,50.28%,57.08%,62.94%,59.26%,61.10%,61.30%,58.11%,58.11%,56.21%,55.53%,52.81%,52.29%,52.62%,51.91%,52.54%,52.10%,41.78%,41.78%,49.42%,53.15%,53.86%,52.61%,50.79%,51.71%,52.17%,52.54%,51.41%,51.77%,53.22%,51.82%,51.21%,51.66%,52.46%,66.61%,55.83%,57.39%,53.87%,50.84%,50.36%,50.36%,50.82%,47.98%,48.93%,48.97%,48.02%,47.21%,46.04%,45.65%,45.69%,62.06%,50.89%,48.39%,50.94%,51.31%,54.39%,52.29%,52.29%,53.26%,50.59%,51.49%,50.81%,50.82%,51.50%,52.06%,52.04%,54.06%,48.78%,50.37%,51.24%,51.24%,50.52%,48.94%,49.50%,50.90%,49.54%,49.20%,49.02%,50.16%,50.73%,50.53%,45.00%,42.08%,44.70%,45.62%,43.62%,43.86%,41.94%,41.94%,43.58%,44.37%,45.44%,45.37%,46.00%,45.68%,45.04%,45.89%,63.89%,52.03%,47.63%,46.32%,47.14%,47.71%,46.65%,46.65%,46.05%,45.83%,46.95%,47.89%,47.70%,47.44%,47.70%,47.13%,32.28%,38.83%,44.09%,43.47%,41.46%,43.77%,44.78%,46.62%,46.67%,45.54%,45.54%,45.33%,45.62%,45.58%,45.14%,44.40%
Buffalo,64.44%,54.67%,47.43%,45.50%,43.78%,46.32%,49.48%,50.26%,50.26%,50.29%,51.77%,51.16%,51.51%,50.78%,49.50%,48.59%,47.72%,51.00%,49.56%,49.56%,47.56%,46.06%,45.81%,45.08%,43.78%,44.96%,44.28%,44.06%,45.35%,45.99%,46.93%,45.90%,70.67%,50.78%,52.70%,51.01%,53.36%,54.95%,55.74%,57.99%,57.99%,55.72%,52.87%,52.09%,51.86%,50.29%,50.62%,50.58%,55.72%,46.22%,50.69%,52.03%,50.72%,49.21%,50.12%,50.12%,49.37%,49.24%,48.12%,48.19%,48.27%,47.67%,47.33%,47.27%,50.56%,39.31%,40.81%,43.14%,47.59%,47.59%,49.82%,50.16%,51.57%,49.25%,49.17%,48.81%,47.83%,48.74%,48.43%,48.67%,52.83%,56.39%,53.43%,52.46%,50.47%,50.47%,51.85%,52.30%,52.98%,52.67%,53.03%,53.55%,53.25%,51.49%,51.77%,50.54%,50.84%,33.72%,36.03%,38.91%,40.14%,42.29%,43.55%,40.98%,41.19%,41.19%,42.41%,43.58%,43.58%,44.01%,43.63%,44.95%,45.38%,36.00%,42.64%,49.33%,44.36%,45.50%,45.50%,47.96%,47.17%,46.33%,45.44%,45.87%,43.54%,43.13%,44.36%,44.66%,44.94%,56.56%,52.39%,53.46%,51.57%,51.32%,50.06%,50.06%,50.77%,48.26%,47.29%,46.80%,48.08%,49.56%,48.83%,48.81%,39.61%,46.56%,49.43%,50.24%,49.40%,49.57%,50.10%,50.10%,50.40%,51.62%,52.93%,52.35%,52.98%,53.65%,53.17%,52.56%,35.56%,43.22%,43.00%,46.65%,46.62%,46.94%,46.88%,47.40%,46.91%,45.53%,46.53%,46.53%,47.00%,46.78%,47.58%,47.53%,49.44%,51.86%,49.81%,53.04%,53.27%,52.76%,51.29%,50.10%,50.10%,49.72%,50.20%,50.86%,49.93%,50.69%,50.68%,50.60%
Carolina,36.50%,36.17%,36.17%,42.22%,43.89%,44.37%,44.07%,45.44%,47.90%,48.12%,49.04%,48.95%,49.35%,48.52%,47.26%,47.34%,47.73%,42.83%,45.14%,45.14%,47.37%,49.25%,50.51%,53.68%,51.90%,50.02%,47.13%,46.51%,45.52%,47.71%,48.76%,49.33%,40.11%,45.81%,48.07%,47.08%,46.61%,46.06%,46.06%,47.83%,47.36%,47.88%,48.10%,48.80%,48.65%,48.54%,48.68%,48.37%,32.89%,39.72%,46.13%,46.67%,46.22%,48.64%,49.82%,48.49%,48.49%,48.31%,49.18%,48.61%,48.65%,48.41%,48.51%,49.89%,47.11%,42.00%,43.37%,42.60%,41.32%,41.33%,41.33%,45.98%,45.77%,46.12%,46.85%,46.12%,46.86%,45.66%,46.64%,45.16%,65.61%,57.89%,55.44%,54.32%,57.46%,57.25%,56.29%,55.35%,55.35%,53.62%,51.80%,50.95%,49.85%,49.31%,48.98%,48.36%,49.48%,63.44%,57.58%,50.63%,50.63%,52.49%,50.66%,54.62%,54.79%,54.23%,54.29%,54.36%,54.13%,53.85%,53.68%,54.22%,54.35%,48.33%,46.83%,40.94%,39.24%,42.01%,42.01%,44.61%,42.12%,41.82%,43.81%,43.46%,44.38%,45.62%,44.73%,44.99%,45.10%,43.39%,52.83%,55.20%,57.39%,52.12%,51.74%,52.36%,52.69%,52.69%,53.29%,52.11%,53.24%,53.22%,52.65%,52.59%,37.50%,42.22%,39.91%,40.03%,39.04%,39.04%,40.50%,44.14%,43.67%,44.15%,44.95%,44.97%,44.31%,47.00%,48.01%,48.57%,53.94%,51.53%,52.67%,52.67%,55.79%,56.90%,53.73%,54.03%,53.64%,52.48%,51.83%,51.41%,51.77%,52.31%,52.95%,51.73%,75.83%,58.42%,51.91%,53.53%,51.10%,52.06%,50.32%,51.99%,51.16%,52.94%,53.22%,53.22%,54.81%,55.80%,56.83%,57.80%
Chicago,42.22%,39.03%,39.03%,43.24%,41.47%,42.09%,44.23%,44.52%,45.94%,46.09%,46.89%,46.96%,47.43%,46.31%,45.33%,45.59%,45.16%,50.94%,44.06%,46.56%,41.89%,41.89%,39.87%,40.09%,41.93%,43.33%,44.46%,44.42%,44.89%,45.39%,46.03%,46.76%,40.72%,46.42%,44.78%,44.78%,47.43%,44.40%,44.41%,45.60%,44.58%,44.78%,45.29%,46.01%,45.06%,45.46%,45.23%,44.10%,61.67%,54.47%,48.00%,50.81%,51.54%,48.31%,48.31%,51.06%,50.98%,49.77%,48.41%,48.98%,47.85%,47.56%,48.48%,49.89%,47.67%,50.31%,51.63%,50.26%,48.97%,49.24%,47.38%,48.25%,48.25%,49.06%,48.89%,49.46%,49.96%,50.36%,49.74%,51.33%,50.72%,50.28%,54.85%,55.11%,57.42%,53.40%,51.48%,51.48%,50.22%,49.53%,48.45%,48.72%,48.83%,48.73%,48.25%,47.23%,47.07%,45.72%,44.97%,48.78%,45.71%,45.71%,47.29%,45.51%,48.05%,47.26%,48.19%,48.56%,47.83%,47.09%,46.81%,47.72%,48.11%,54.06%,49.17%,48.72%,50.00%,49.38%,48.42%,48.07%,48.07%,49.51%,49.82%,51.23%,49.79%,49.95%,49.15%,49.10%,49.07%,60.72%,51.56%,45.91%,43.44%,48.72%,48.39%,49.30%,49.30%,50.17%,49.42%,48.79%,49.25%,49.03%,48.55%,49.16%,65.22%,51.61%,56.28%,54.56%,53.21%,53.21%,54.66%,51.71%,51.49%,50.14%,49.15%,50.64%,50.79%,50.91%,50.96%,49.79%,45.83%,54.11%,55.20%,50.88%,49.16%,49.45%,46.19%,46.19%,47.28%,48.86%,48.27%,49.04%,50.05%,50.67%,51.69%,50.96%,50.56%,50.86%,47.61%,53.26%,54.33%,55.68%,52.88%,51.01%,51.01%,51.12%,51.97%,51.34%,50.68%,49.62%,49.34%,49.47%
Cincinnati,54.61%,58.89%,52.83%,50.29%,52.86%,52.86%,49.77%,49.43%,49.88%,52.35%,53.81%,54.22%,54.30%,53.37%,52.78%,52.00%,51.53%,46.94%,51.06%,51.15%,49.65%,49.65%,47.89%,46.94%,45.33%,45.61%,48.20%,47.12%,47.35%,48.11%,49.08%,50.39%,50.78%,59.86%,59.41%,57.83%,56.68%,54.90%,54.90%,55.82%,55.46%,55.46%,54.82%,54.47%,53.43%,54.18%,54.64%,54.33%,46.89%,54.19%,53.44%,52.51%,52.51%,50.34%,49.14%,47.50%,46.47%,47.99%,47.93%,49.36%,49.67%,50.05%,49.57%,50.07%,49.72%,51.42%,52.20%,48.51%,48.51%,45.41%,47.06%,47.52%,46.40%,46.78%,47.19%,48.67%,48.24%,48.24%,48.18%,48.61%,58.22%,56.53%,54.39%,52.94%,50.47%,48.44%,47.10%,47.53%,48.32%,48.32%,49.72%,49.15%,47.62%,48.12%,48.18%,48.82%,50.27%,65.94%,60.39%,53.09%,54.96%,56.22%,55.66%,56.76%,56.76%,58.65%,56.75%,58.20%,59.02%,58.69%,58.05%,57.54%,56.64%,50.61%,55.44%,60.57%,57.21%,55.08%,55.08%,53.36%,52.86%,52.07%,51.59%,51.47%,51.01%,51.62%,52.12%,52.65%,52.69%,58.22%,48.50%,48.78%,50.11%,49.96%,50.73%,50.73%,52.40%,51.94%,50.66%,50.98%,50.93%,50.79%,50.73%,50.64%,55.00%,54.11%,56.06%,54.08%,54.19%,53.44%,51.49%,51.49%,51.38%,51.94%,52.83%,52.78%,53.03%,52.92%,53.02%,52.47%,54.17%,51.53%,51.50%,50.74%,50.96%,51.05%,47.48%,47.97%,47.69%,48.51%,47.32%,47.32%,46.38%,47.41%,47.10%,47.66%,67.72%,62.44%,54.50%,54.50%,51.35%,49.70%,46.97%,46.05%,46.99%,46.56%,46.58%,48.23%,48.51%,48.26%,48.94%,49.60%
Cleveland,50.06%,46.31%,45.85%,48.72%,50.43%,51.89%,52.83%,52.39%,52.39%,51.40%,53.47%,53.27%,52.08%,51.38%,50.33%,49.69%,50.05%,51.11%,48.03%,46.56%,44.36%,44.33%,46.81%,47.67%,47.67%,47.19%,46.42%,46.70%,47.03%,46.21%,45.87%,46.50%,49.22%,52.08%,54.31%,54.31%,51.89%,47.48%,46.52%,48.05%,47.90%,47.95%,48.62%,48.30%,48.84%,47.91%,47.10%,46.29%,42.06%,40.28%,46.22%,48.47%,49.89%,49.89%,48.54%,47.98%,48.58%,48.49%,50.51%,49.22%,49.88%,49.58%,49.23%,48.53%,53.78%,50.33%,49.19%,49.83%,48.94%,49.57%,49.57%,48.67%,47.53%,47.44%,49.87%,49.72%,51.24%,50.58%,50.94%,50.57%,48.17%,47.72%,46.13%,47.44%,47.44%,49.49%,48.40%,47.52%,47.15%,47.28%,46.93%,45.42%,46.06%,45.51%,44.71%,44.55%,44.69%,53.67%,53.69%,48.96%,46.58%,47.09%,45.27%,46.29%,45.10%,45.10%,44.91%,46.56%,45.31%,47.00%,47.54%,48.07%,47.87%,47.56%,52.61%,53.94%,53.68%,51.61%,51.22%,49.09%,49.09%,50.18%,50.14%,51.26%,50.82%,50.32%,49.60%,48.94%,48.89%,41.78%,47.00%,41.20%,46.99%,46.99%,47.33%,49.92%,48.04%,47.62%,48.71%,48.31%,48.43%,47.50%,48.50%,48.96%,42.39%,44.58%,44.67%,46.40%,44.89%,45.80%,45.73%,46.24%,46.10%,46.10%,46.95%,48.10%,48.25%,48.08%,48.26%,47.99%,42.17%,51.00%,47.96%,48.86%,49.79%,50.34%,49.25%,46.11%,47.45%,47.45%,49.17%,48.62%,47.94%,49.29%,48.28%,48.56%,40.89%,43.50%,44.13%,44.13%,43.90%,43.24%,45.19%,44.63%,43.67%,45.14%,45.38%,45.53%,46.76%,48.14%,47.71%,46.44%
Dallas,55.11%,54.19%,54.19%,52.89%,52.79%,53.38%,53.08%,53.00%,53.49%,53.04%,53.90%,53.72%,52.99%,53.49%,53.39%,53.40%,53.21%,54.83%,54.94%,49.54%,49.54%,50.12%,49.71%,49.22%,52.14%,52.18%,51.46%,52.27%,52.09%,51.94%,52.44%,52.87%,51.22%,53.61%,54.76%,55.83%,56.62%,57.49%,57.55%,56.85%,56.85%,55.04%,55.47%,56.40%,55.19%,55.06%,54.62%,54.70%,45.50%,51.58%,51.58%,50.50%,51.74%,51.14%,50.82%,52.25%,51.51%,50.87%,51.21%,50.83%,50.63%,49.12%,49.80%,49.36%,53.94%,58.97%,54.56%,54.67%,50.66%,48.58%,51.48%,51.48%,52.13%,50.50%,51.26%,50.91%,50.32%,49.59%,49.02%,50.79%,51.83%,45.08%,50.15%,47.76%,50.10%,51.85%,51.71%,50.89%,48.62%,48.62%,49.21%,48.52%,48.79%,49.26%,49.42%,48.93%,48.66%,49.78%,48.31%,53.30%,56.60%,57.11%,57.11%,54.44%,55.14%,54.76%,52.81%,53.42%,53.45%,54.87%,55.23%,55.33%,54.97%,63.83%,59.78%,60.02%,60.02%,58.01%,59.41%,55.42%,55.12%,52.44%,50.30%,49.28%,50.15%,50.45%,51.10%,52.37%,53.34%,61.39%,50.89%,49.31%,52.54%,52.54%,54.62%,52.70%,49.48%,50.03%,51.20%,51.74%,52.16%,52.63%,52.01%,53.06%,51.00%,52.67%,52.94%,52.36%,52.36%,52.88%,52.77%,51.98%,51.95%,52.26%,51.57%,51.48%,51.83%,51.56%,51.62%,50.00%,71.72%,60.44%,61.54%,56.65%,57.97%,55.94%,55.94%,54.98%,53.83%,51.56%,51.56%,50.41%,49.35%,48.77%,49.44%,48.29%,60.17%,66.22%,57.17%,57.69%,57.91%,59.42%,60.34%,59.96%,58.17%,58.30%,58.30%,56.85%,56.47%,56.98%,57.86%,58.46%
Denver,45.39%,49.03%,52.85%,54.69%,54.01%,51.24%,51.64%,50.07%,52.31%,52.31%,53.74%,53.62%,54.75%,54.46%,55.09%,56.46%,55.62%,49.83%,54.86%,56.15%,54.15%,52.34%,53.02%,53.71%,52.27%,51.84%,51.84%,50.71%,50.72%,50.62%,50.65%,50.51%,48.78%,52.94%,46.76%,52.92%,49.59%,49.01%,50.71%,53.42%,53.42%,53.17%,55.73%,53.78%,53.10%,53.13%,52.56%,53.55%,49.67%,44.42%,47.20%,47.20%,43.54%,45.17%,47.34%,46.67%,45.38%,44.49%,44.57%,44.81%,45.75%,45.53%,47.28%,46.99%,49.44%,50.11%,43.50%,47.33%,48.22%,48.22%,47.99%,48.33%,46.99%,47.47%,46.12%,46.01%,45.39%,45.65%,46.60%,45.84%,55.00%,57.58%,49.91%,47.53%,48.53%,48.49%,48.69%,48.69%,47.11%,47.62%,46.56%,47.71%,48.57%,48.97%,49.42%,50.57%,49.59%,34.06%,40.17%,45.39%,42.42%,43.09%,43.06%,43.06%,43.54%,46.12%,46.72%,45.62%,47.46%,48.13%,48.27%,48.03%,47.37%,55.50%,53.94%,51.89%,50.89%,50.16%,48.36%,46.36%,47.24%,47.24%,46.98%,47.51%,46.96%,46.95%,47.56%,47.39%,47.38%,47.39%,54.31%,50.46%,51.22%,48.14%,48.14%,49.07%,47.78%,48.48%,49.24%,49.00%,48.52%,46.95%,47.74%,47.66%,45.06%,47.58%,49.28%,51.78%,50.04%,48.47%,48.47%,49.08%,49.12%,49.45%,49.58%,48.75%,48.40%,49.46%,50.45%,50.81%,36.11%,40.97%,46.26%,45.60%,43.83%,44.24%,43.72%,43.72%,43.72%,41.65%,42.34%,43.69%,43.45%,45.05%,44.45%,45.19%,65.06%,56.97%,53.50%,53.50%,51.38%,52.68%,51.58%,50.96%,51.74%,51.63%,50.21%,50.57%,52.02%,51.10%,52.02%,51.31%
