Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,57.67%,68.89%,65.74%,57.50%,56.64%,53.67%,53.67%,54.38%,52.56%,51.42%,48.53%,49.63%,50.60%,48.91%,51.06%,49.89%,50.79%,51.67%,46.22%,49.11%,42.25%,46.22%,46.22%,47.81%,48.40%,47.33%,48.31%,49.23%,48.27%,47.96%,47.68%,49.36%,48.89%,44.94%,51.22%,54.86%,57.16%,57.16%,53.35%,54.51%,53.82%,50.85%,51.39%,51.02%,51.13%,50.15%,50.73%,51.37%,54.89%,46.11%,50.74%,52.28%,51.82%,54.24%,51.13%,48.79%,48.79%,49.32%,50.26%,48.55%,49.17%,49.44%,47.62%,47.14%,61.44%,59.61%,45.41%,42.44%,43.73%,42.94%,44.81%,44.81%,42.81%,46.94%,48.02%,48.06%,47.01%,46.87%,45.20%,45.67%,43.67%,39.39%,37.15%,39.67%,42.98%,43.50%,43.50%,45.92%,49.54%,49.48%,51.74%,51.94%,50.41%,51.79%,50.23%,49.79%,49.17%,53.00%,64.89%,64.33%,64.33%,63.06%,69.49%,64.48%,61.54%,61.00%,59.70%,59.76%,57.20%,56.36%,53.42%,53.09%,51.60%,67.33%,53.17%,52.41%,54.47%,52.04%,52.04%,48.89%,51.21%,51.26%,50.64%,51.99%,49.83%,50.58%,49.08%,48.36%,47.59%,57.22%,35.61%,39.04%,41.78%,44.84%,44.84%,45.67%,47.19%,45.11%,46.70%,45.52%,46.45%,46.42%,44.98%,44.95%,51.44%,55.83%,57.81%,52.81%,57.04%,53.70%,55.33%,51.38%,51.52%,51.52%,51.17%,52.16%,51.56%,50.50%,51.18%,52.61%,54.44%,44.00%,47.11%,46.19%,43.73%,43.48%,45.49%,45.82%,45.82%,45.22%,47.38%,48.58%,50.51%,50.68%,49.93%,49.64%,45.78%,55.61%,57.89%,57.89%,58.92%,58.71%,60.63%,61.14%,62.04%,59.54%,59.88%,59.36%,57.27%,57.77%,58.48%,56.34%
Atlanta,68.56%,64.33%,58.48%,57.50%,55.67%,54.17%,54.75%,54.75%,55.06%,55.31%,55.44%,54.34%,54.11%,54.59%,53.24%,54.26%,54.22%,70.78%,55.56%,52.07%,53.25%,52.58%,50.17%,51.22%,52.50%,52.50%,53.72%,54.61%,54.93%,54.44%,53.35%,53.71%,55.44%,56.28%,50.41%,55.06%,52.67%,54.37%,57.08%,57.08%,57.83%,57.41%,56.07%,57.37%,57.20%,55.28%,55.85%,55.15%,69.22%,65.44%,61.44%,56.86%,56.86%,58.91%,54.15%,55.56%,54.32%,54.33%,53.28%,53.89%,53.06%,52.60%,51.20%,49.77%,44.11%,47.33%,52.78%,54.61%,49.53%,47.65%,50.73%,50.73%,51.14%,51.02%,52.36%,54.43%,52.87%,52.46%,52.33%,52.02%,44.89%,47.67%,52.78%,54.19%,58.80%,61.54%,61.54%,62.29%,64.76%,62.15%,61.43%,63.12%,61.37%,60.93%,61.10%,60.68%,59.84%,51.00%,46.33%,45.00%,45.00%,49.86%,46.42%,51.33%,50.56%,50.83%,49.90%,47.90%,48.25%,47.81%,49.26%,51.05%,51.47%,30.78%,45.89%,55.56%,56.22%,55.16%,55.37%,54.78%,54.78%,55.88%,56.56%,56.51%,56.06%,55.56%,56.25%,55.79%,54.66%,42.44%,49.17%,50.93%,57.42%,59.62%,58.74%,59.13%,59.13%,57.25%,58.56%,58.51%,59.58%,57.65%,57.37%,57.89%,54.89%,47.06%,56.67%,60.64%,62.67%,57.46%,57.46%,61.67%,61.74%,61.07%,60.17%,59.89%,59.43%,56.20%,55.95%,54.84%,57.67%,59.94%,68.41%,64.75%,64.04%,64.04%,62.07%,60.62%,60.54%,57.60%,55.90%,54.18%,53.44%,52.34%,52.82%,52.56%,37.56%,45.17%,56.37%,55.72%,55.33%,51.87%,51.59%,52.65%,52.65%,50.91%,48.16%,48.79%,50.20%,48.50%,47.00%,47.11%
Baltimore,30.78%,46.94%,38.37%,41.83%,41.83%,45.71%,50.72%,49.03%,46.82%,49.05%,49.67%,51.16%,49.84%,50.93%,52.33%,52.54%,52.56%,53.44%,64.06%,58.63%,52.61%,52.02%,52.02%,51.70%,54.14%,52.40%,53.79%,53.47%,52.36%,50.52%,51.38%,50.38%,54.89%,42.83%,42.83%,48.11%,46.22%,53.27%,51.13%,47.78%,48.88%,50.83%,52.71%,52.09%,52.91%,52.45%,52.02%,52.75%,78.44%,74.50%,66.70%,56.69%,60.96%,56.61%,56.61%,58.14%,58.21%,54.74%,54.89%,54.44%,53.04%,53.15%,53.16%,53.77%,49.44%,54.83%,64.22%,61.67%,62.40%,62.50%,57.10%,57.10%,55.11%,54.86%,52.77%,52.90%,52.96%,53.34%,54.67%,53.96%,41.11%,41.11%,51.89%,52.07%,55.11%,52.13%,51.07%,50.73%,52.10%,51.40%,51.14%,50.67%,52.56%,51.00%,50.01%,50.08%,50.96%,70.67%,56.50%,55.59%,52.83%,49.62%,48.43%,48.43%,49.48%,46.78%,47.70%,48.03%,47.57%,47.04%,46.60%,45.53%,45.17%,62.56%,46.89%,46.63%,49.64%,53.16%,56.28%,53.51%,53.51%,53.69%,51.95%,51.99%,51.33%,52.14%,52.79%,53.64%,53.91%,51.44%,46.28%,47.15%,54.81%,54.81%,55.56%,52.74%,51.44%,54.50%,51.96%,50.71%,51.05%,51.56%,52.75%,52.76%,52.44%,40.22%,37.67%,40.14%,39.44%,41.70%,40.75%,40.75%,45.89%,45.98%,46.09%,46.58%,47.05%,45.73%,44.97%,45.99%,63.00%,57.17%,44.22%,44.64%,46.02%,45.78%,45.19%,45.19%,44.32%,42.83%,45.24%,45.27%,44.89%,45.81%,45.60%,44.70%,33.22%,38.06%,40.41%,36.83%,35.49%,40.00%,41.44%,43.54%,43.91%,40.97%,40.97%,42.32%,42.55%,42.10%,40.45%,39.11%
Buffalo,85.78%,77.28%,59.00%,47.08%,46.84%,50.28%,54.22%,55.38%,55.38%,54.16%,56.57%,54.61%,53.29%,51.95%,50.13%,49.10%,47.44%,45.56%,43.44%,43.44%,38.07%,39.86%,38.62%,40.50%,41.59%,42.97%,44.23%,44.83%,47.14%,47.62%,47.36%,45.75%,76.33%,54.72%,56.93%,57.58%,58.40%,58.91%,59.79%,62.32%,62.32%,59.15%,55.49%,52.09%,51.52%,49.85%,51.18%,50.76%,55.67%,51.11%,55.63%,53.81%,52.22%,49.56%,49.11%,49.11%,50.44%,53.62%,52.42%,52.24%,52.27%,52.56%,50.33%,51.00%,41.22%,37.06%,42.26%,43.36%,47.24%,47.24%,51.93%,54.14%,54.03%,50.41%,51.03%,50.41%,47.04%,48.44%,47.14%,48.40%,51.22%,57.44%,54.89%,52.61%,50.84%,50.84%,49.13%,46.95%,49.38%,49.32%,50.14%,51.84%,49.87%,48.95%,49.19%,47.19%,47.86%,39.67%,32.72%,36.93%,42.28%,43.82%,44.41%,40.84%,41.25%,41.25%,41.73%,43.73%,44.73%,45.60%,45.47%,47.60%,47.27%,43.11%,34.89%,42.93%,39.03%,45.18%,45.18%,48.17%,49.03%,47.92%,47.51%,46.79%,43.23%,42.24%,43.38%,43.21%,43.71%,62.11%,52.50%,50.04%,49.44%,48.44%,47.50%,47.50%,47.60%,45.69%,44.04%,44.02%,45.88%,47.31%,45.23%,46.22%,37.00%,45.11%,50.78%,55.39%,52.29%,54.07%,53.79%,53.79%,51.93%,52.86%,54.48%,53.80%,53.32%,54.86%,54.14%,52.90%,34.33%,36.72%,32.93%,38.22%,39.91%,41.76%,42.95%,42.83%,42.88%,43.01%,42.41%,42.41%,43.44%,43.80%,44.29%,44.87%,66.67%,66.17%,63.11%,61.08%,59.18%,56.69%,54.92%,53.46%,53.46%,52.33%,51.40%,51.59%,49.99%,51.34%,50.41%,51.18%
Carolina,48.33%,45.83%,45.83%,45.70%,45.75%,48.62%,47.72%,49.62%,53.58%,53.19%,53.92%,53.56%,53.89%,52.79%,50.52%,49.95%,49.61%,33.56%,40.83%,40.83%,41.63%,43.22%,47.00%,52.50%,50.79%,47.93%,45.16%,44.89%,44.63%,46.72%,46.85%,46.47%,31.78%,39.89%,37.15%,39.67%,38.47%,39.39%,39.39%,42.22%,43.64%,44.98%,44.96%,48.31%,48.01%,48.79%,48.21%,47.93%,30.78%,31.89%,43.74%,47.94%,46.53%,49.63%,52.40%,50.43%,50.43%,49.07%,50.86%,50.24%,50.58%,49.11%,48.90%,50.32%,51.11%,51.89%,46.70%,42.56%,42.31%,45.43%,45.43%,50.17%,48.88%,48.99%,50.86%,50.38%,50.79%,48.90%,49.38%,47.60%,62.22%,57.67%,56.93%,53.08%,57.56%,56.89%,55.86%,53.82%,53.82%,51.80%,48.28%,45.71%,45.07%,43.90%,43.56%,42.13%,44.34%,65.89%,62.11%,55.04%,55.04%,54.03%,51.13%,56.04%,56.05%,54.22%,54.59%,55.77%,56.74%,57.90%,56.20%,56.11%,55.42%,48.33%,41.44%,41.22%,38.14%,44.73%,44.73%,46.41%,44.48%,44.14%,47.04%,47.10%,47.49%,49.72%,48.63%,49.52%,51.04%,42.78%,63.22%,67.37%,66.78%,61.87%,59.17%,59.00%,59.06%,59.06%,58.94%,57.97%,59.70%,60.23%,59.14%,58.06%,34.78%,33.72%,34.04%,32.39%,34.98%,34.98%,33.15%,37.35%,39.22%,41.58%,41.02%,40.76%,40.91%,44.11%,46.15%,46.98%,61.44%,61.17%,56.93%,56.93%,59.22%,60.56%,57.20%,58.81%,56.46%,54.63%,53.59%,54.45%,53.74%,55.50%,55.26%,54.31%,69.89%,48.00%,45.89%,52.89%,48.51%,50.70%,48.41%,51.67%,50.00%,52.89%,55.05%,55.05%,56.72%,57.99%,59.25%,60.16%
Chicago,42.11%,44.28%,44.28%,44.22%,42.56%,42.96%,43.07%,43.97%,43.36%,43.53%,42.54%,42.29%,41.99%,41.56%,41.02%,41.92%,41.46%,66.44%,53.94%,58.11%,50.31%,50.31%,46.53%,46.67%,49.44%,49.99%,48.35%,48.50%,49.46%,49.72%,49.58%,50.46%,37.22%,54.06%,51.00%,51.00%,51.61%,47.91%,49.85%,46.05%,44.71%,46.96%,47.79%,47.06%,45.51%,46.95%,46.22%,45.30%,72.89%,63.28%,53.63%,55.17%,54.96%,51.41%,51.41%,53.63%,54.07%,53.20%,51.68%,52.86%,51.62%,51.97%,53.22%,55.11%,38.67%,38.67%,49.44%,44.08%,41.47%,39.89%,36.97%,38.60%,38.60%,40.14%,39.96%,40.16%,41.10%,42.09%,42.10%,44.73%,33.44%,40.17%,44.30%,44.78%,50.40%,46.13%,44.19%,44.19%,44.61%,45.10%,44.66%,45.52%,44.57%,44.62%,44.61%,44.33%,44.84%,38.11%,30.94%,36.74%,34.00%,34.00%,40.67%,41.50%,44.11%,43.94%,44.60%,44.26%,42.61%,42.64%,42.14%,44.01%,44.59%,68.22%,58.56%,60.00%,57.31%,51.62%,49.87%,46.98%,46.98%,48.60%,47.56%,48.23%,47.35%,48.05%,48.35%,47.48%,47.52%,57.56%,51.72%,46.81%,43.86%,48.04%,49.15%,47.78%,47.78%,51.28%,51.41%,50.77%,50.82%,49.79%,49.93%,49.94%,56.00%,46.83%,52.19%,51.31%,51.00%,51.00%,52.37%,50.24%,49.15%,47.68%,47.31%,49.19%,50.50%,50.33%,50.94%,49.37%,56.89%,57.17%,61.48%,54.03%,50.47%,48.57%,45.60%,45.60%,46.15%,46.46%,45.11%,45.86%,46.84%,47.06%,49.33%,48.48%,33.33%,39.00%,38.70%,50.08%,53.87%,55.80%,53.43%,51.42%,51.42%,50.80%,51.44%,51.05%,50.08%,49.47%,49.79%,50.16%
Cincinnati,55.67%,63.28%,55.37%,52.97%,53.20%,53.20%,48.37%,47.70%,49.26%,51.19%,52.64%,53.87%,54.49%,53.07%,53.01%,51.68%,51.33%,52.11%,54.94%,54.04%,49.17%,49.17%,47.16%,46.59%,46.14%,45.99%,48.11%,47.28%,46.01%,47.99%,47.83%,49.79%,41.67%,53.39%,53.96%,53.64%,54.31%,53.94%,56.56%,58.53%,56.85%,56.85%,54.68%,54.63%,52.74%,52.54%,52.90%,53.04%,42.56%,49.39%,46.74%,50.44%,50.44%,47.36%,44.63%,43.40%,43.14%,44.09%,44.06%,44.75%,46.22%,47.66%,48.63%,48.39%,50.56%,50.67%,50.41%,47.19%,47.19%,43.51%,45.02%,47.57%,47.47%,47.43%,46.91%,48.89%,50.54%,49.91%,49.59%,49.85%,58.89%,61.50%,59.63%,53.97%,49.49%,44.19%,41.78%,45.19%,46.07%,46.07%,49.17%,49.97%,48.02%,48.97%,49.47%,48.58%,49.58%,64.00%,55.39%,46.15%,57.19%,58.40%,57.20%,56.79%,56.79%,58.71%,57.23%,59.51%,59.93%,59.67%,58.57%,58.21%,57.21%,37.11%,52.94%,55.04%,55.17%,52.69%,52.69%,52.04%,54.06%,52.76%,50.51%,51.42%,50.44%,50.94%,51.52%,51.71%,52.59%,64.22%,50.44%,54.89%,54.25%,51.80%,50.57%,50.57%,52.37%,52.29%,50.89%,51.86%,52.63%,52.35%,51.85%,51.37%,47.56%,45.00%,48.00%,47.64%,50.18%,46.83%,47.90%,47.90%,49.00%,49.70%,50.37%,50.90%,50.74%,49.85%,50.52%,50.27%,43.11%,45.33%,53.78%,51.03%,52.13%,51.61%,45.94%,48.39%,48.53%,50.59%,50.18%,50.18%,49.44%,50.45%,50.11%,50.01%,66.78%,57.00%,52.74%,52.74%,49.00%,46.87%,43.83%,43.54%,43.04%,44.35%,43.68%,45.51%,44.74%,44.61%,46.61%,46.90%
Cleveland,54.67%,45.78%,40.85%,44.19%,46.60%,49.43%,49.76%,49.96%,49.96%,47.41%,50.41%,52.46%,51.58%,50.97%,49.87%,49.51%,49.79%,46.56%,45.89%,43.22%,42.28%,41.71%,44.91%,45.83%,45.83%,47.57%,46.52%,46.14%,48.01%,46.42%,47.14%,47.32%,58.33%,59.06%,57.52%,57.52%,54.78%,47.53%,49.65%,53.52%,50.54%,51.94%,50.78%,48.23%,47.91%,48.06%,48.10%,47.18%,43.33%,43.56%,45.33%,41.72%,45.20%,45.20%,45.43%,42.41%,42.60%,42.93%,45.27%,45.55%,46.86%,47.30%,47.26%,46.84%,57.22%,53.22%,52.67%,51.00%,49.93%,52.17%,52.17%,48.17%,46.00%,48.59%,50.34%,49.60%,50.84%,49.96%,51.37%,51.04%,65.00%,57.89%,51.04%,54.03%,54.03%,57.24%,55.02%,53.68%,51.76%,50.60%,49.79%,46.62%,46.90%,46.38%,45.33%,46.57%,46.58%,40.44%,52.44%,50.37%,40.19%,42.16%,42.35%,44.48%,43.94%,43.94%,44.05%,45.41%,44.55%,45.92%,46.06%,46.88%,46.79%,34.00%,43.56%,47.00%,46.36%,46.91%,48.06%,45.24%,45.24%,48.24%,49.26%,51.72%,51.43%,49.53%,49.03%,48.79%,48.36%,35.78%,36.78%,33.19%,42.33%,42.33%,39.64%,41.81%,41.17%,39.56%,40.89%,41.74%,41.56%,41.66%,43.56%,44.40%,29.44%,43.50%,41.63%,44.33%,43.69%,48.06%,48.22%,48.07%,44.74%,44.74%,45.43%,47.12%,47.35%,47.15%,48.33%,48.47%,40.78%,44.72%,44.26%,47.50%,48.67%,45.56%,45.10%,42.21%,44.38%,44.38%,45.33%,45.54%,44.60%,47.82%,45.92%,46.87%,34.33%,48.06%,50.33%,50.33%,46.14%,40.93%,42.87%,43.02%,42.35%,42.67%,42.24%,42.48%,44.57%,45.68%,44.37%,43.22%
Dallas,31.44%,41.94%,41.94%,39.19%,41.08%,44.11%,44.43%,47.89%,48.75%,49.51%,50.82%,50.76%,48.69%,49.20%,50.79%,50.68%,49.28%,80.78%,67.78%,60.63%,60.63%,52.36%,53.60%,56.70%,58.05%,57.68%,55.73%,55.10%,53.81%,52.56%,54.15%,55.56%,60.22%,62.44%,56.00%,55.39%,58.33%,57.09%,56.40%,54.17%,54.17%,52.53%,53.44%,54.05%,53.93%,53.50%,53.21%,53.39%,50.22%,54.22%,54.22%,54.74%,55.53%,51.58%,50.04%,51.94%,48.60%,48.36%,48.48%,48.58%,49.23%,47.15%,48.56%,48.07%,66.11%,60.11%,49.74%,50.67%,47.98%,46.85%,48.84%,48.84%,50.14%,50.37%,52.04%,52.46%,52.80%,52.15%,49.92%,51.75%,35.00%,30.78%,41.48%,43.56%,48.53%,49.43%,50.38%,48.79%,47.40%,47.40%,48.22%,46.34%,47.06%,48.25%,49.21%,49.19%,49.99%,56.67%,50.89%,53.63%,59.33%,61.82%,61.82%,55.54%,54.94%,56.56%,54.69%,55.78%,55.21%,56.14%,56.25%,56.72%,55.27%,57.11%,54.11%,56.04%,56.04%,53.75%,53.76%,52.22%,50.86%,48.60%,47.69%,47.77%,48.67%,50.95%,51.97%,53.21%,53.87%,56.33%,57.00%,52.22%,56.17%,56.17%,58.76%,53.56%,50.62%,51.12%,53.14%,54.18%,54.98%,54.90%,53.77%,54.76%,39.56%,53.56%,55.67%,54.58%,54.58%,53.07%,56.89%,54.08%,52.04%,52.38%,51.98%,52.36%,52.39%,53.03%,53.33%,51.09%,66.67%,55.06%,55.56%,52.97%,59.64%,58.33%,57.41%,56.56%,54.12%,53.09%,53.09%,51.39%,52.13%,51.99%,52.48%,51.53%,89.56%,84.50%,65.48%,67.25%,64.53%,62.15%,62.54%,62.25%,58.85%,58.77%,58.77%,56.54%,57.32%,57.37%,59.05%,60.21%
Denver,44.33%,48.56%,53.00%,54.33%,54.02%,49.81%,48.87%,50.40%,53.43%,53.43%,54.53%,55.05%,56.20%,56.32%,56.90%,57.92%,56.76%,48.89%,60.44%,56.85%,54.94%,54.36%,55.57%,55.67%,53.53%,51.36%,51.36%,51.14%,50.37%,50.88%,51.07%,51.38%,36.78%,51.78%,47.33%,50.86%,46.87%,45.20%,47.24%,51.64%,51.64%,51.63%,52.84%,51.67%,49.81%,50.06%,48.73%,49.62%,40.33%,37.44%,43.67%,43.67%,38.25%,39.29%,41.65%,39.76%,40.18%,39.88%,37.32%,38.22%,38.66%,39.13%,41.76%,42.64%,58.78%,49.83%,37.59%,43.08%,44.38%,44.38%,47.17%,52.75%,50.90%,52.16%,49.09%,49.88%,49.81%,50.69%,50.25%,49.98%,61.89%,62.06%,55.04%,48.03%,50.69%,51.13%,53.38%,53.38%,51.67%,52.44%,51.70%,52.26%,51.97%,52.68%,53.26%,55.10%,54.26%,36.00%,35.78%,48.93%,42.58%,43.56%,40.15%,40.15%,40.73%,42.93%,41.84%,42.49%,44.18%,44.22%,43.85%,45.32%,44.26%,56.67%,45.33%,41.67%,41.17%,39.49%,37.98%,36.32%,36.76%,36.76%,39.22%,39.83%,40.77%,40.95%,43.11%,44.10%,44.71%,51.22%,57.28%,56.26%,56.92%,51.02%,51.02%,51.61%,51.32%,50.65%,51.04%,51.83%,51.93%,49.33%,49.26%,50.86%,54.33%,57.56%,59.96%,63.72%,63.09%,56.93%,56.93%,55.21%,53.72%,52.15%,51.74%,49.84%,49.11%,51.53%,52.49%,52.29%,37.00%,47.39%,50.89%,44.97%,38.71%,41.33%,40.05%,41.74%,41.74%,37.80%,39.28%,40.63%,39.83%,41.92%,42.28%,43.55%,65.44%,56.11%,56.22%,56.22%,51.67%,50.04%,50.93%,52.62%,52.14%,52.70%,52.01%,52.61%,53.70%,52.07%,54.37%,54.01%
