Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,51.06%,45.75%,52.70%,43.51%,41.00%,42.19%,42.19%,44.21%,47.28%,49.58%,48.67%,48.76%,47.62%,47.67%,48.34%,49.02%,48.54%,41.33%,40.22%,46.78%,52.61%,50.96%,50.96%,53.25%,51.61%,51.39%,50.31%,50.62%,50.18%,49.67%,49.02%,49.96%,58.72%,58.19%,49.43%,52.10%,53.42%,53.42%,53.53%,51.97%,51.74%,51.45%,51.87%,52.23%,53.37%,52.39%,51.96%,53.73%,58.50%,54.33%,53.39%,53.74%,53.88%,55.66%,53.83%,51.69%,51.69%,50.20%,49.26%,48.43%,48.79%,49.87%,50.39%,51.82%,58.44%,57.28%,54.50%,53.04%,50.29%,48.19%,49.29%,49.29%,45.90%,45.69%,45.39%,46.84%,48.56%,48.89%,49.17%,49.31%,75.44%,64.50%,55.80%,55.99%,57.47%,56.43%,56.43%,56.57%,57.98%,57.40%,57.06%,56.02%,53.91%,52.65%,52.33%,50.81%,51.42%,48.06%,48.19%,47.24%,47.24%,43.26%,48.63%,48.76%,48.35%,48.89%,49.81%,49.43%,49.76%,49.78%,49.53%,49.82%,50.67%,41.61%,36.67%,37.78%,36.72%,38.64%,38.64%,37.74%,36.78%,37.51%,37.01%,38.58%,37.66%,37.47%,38.88%,37.92%,38.06%,34.11%,38.75%,45.35%,47.08%,45.69%,45.69%,41.58%,43.34%,43.82%,44.36%,42.37%,44.01%,44.64%,46.74%,47.50%,41.72%,42.14%,46.04%,47.77%,47.96%,48.68%,50.87%,52.02%,51.61%,51.61%,51.75%,51.48%,49.76%,48.75%,48.44%,47.87%,53.50%,59.72%,48.94%,49.65%,52.04%,50.61%,50.96%,50.57%,50.57%,52.29%,53.07%,53.36%,52.65%,53.64%,52.97%,53.68%,58.56%,50.22%,50.87%,50.87%,45.00%,48.80%,51.55%,50.19%,50.01%,51.32%,51.29%,49.30%,48.44%,47.81%,48.35%,48.28%
Atlanta,65.11%,47.92%,44.87%,45.06%,44.10%,42.49%,40.71%,40.71%,40.50%,42.10%,41.32%,42.03%,42.49%,42.76%,43.36%,43.66%,44.27%,29.83%,43.81%,42.57%,46.83%,45.76%,45.44%,43.22%,43.38%,43.38%,43.43%,43.36%,42.74%,43.79%,46.03%,47.15%,58.06%,47.72%,49.76%,50.50%,47.72%,48.25%,48.75%,48.75%,49.92%,48.65%,50.24%,50.58%,49.64%,49.94%,49.62%,48.70%,54.44%,52.69%,48.31%,47.54%,47.54%,43.76%,47.68%,49.59%,48.22%,47.59%,45.99%,46.27%,45.82%,46.19%,46.28%,45.21%,52.78%,42.53%,42.85%,45.40%,47.26%,44.47%,45.21%,45.21%,45.00%,46.06%,46.64%,46.22%,46.98%,46.72%,44.85%,45.18%,55.78%,53.42%,48.54%,47.26%,45.14%,43.63%,43.63%,42.97%,46.40%,47.03%,47.26%,46.46%,47.64%,48.70%,48.70%,47.81%,47.02%,47.50%,52.17%,41.83%,41.83%,47.33%,45.99%,45.81%,46.17%,44.16%,46.02%,47.24%,47.37%,47.55%,46.48%,46.53%,47.82%,58.82%,63.36%,60.08%,56.50%,54.17%,51.20%,50.18%,50.18%,50.07%,49.68%,50.69%,50.56%,49.94%,49.96%,50.60%,49.60%,49.67%,53.19%,46.67%,50.78%,49.14%,49.57%,50.96%,50.96%,54.45%,53.05%,54.73%,54.33%,53.45%,53.05%,53.81%,41.78%,50.39%,51.24%,48.44%,50.16%,47.94%,47.94%,48.41%,49.97%,49.94%,49.64%,48.51%,48.22%,49.13%,51.23%,50.78%,37.50%,46.14%,46.70%,45.15%,47.29%,47.29%,44.04%,45.20%,43.24%,42.62%,42.76%,43.96%,46.52%,46.32%,46.98%,46.67%,55.70%,51.58%,49.79%,46.68%,45.49%,44.84%,44.17%,43.26%,43.26%,44.01%,45.85%,45.77%,47.03%,48.05%,48.36%,48.71%
Baltimore,50.94%,47.97%,47.98%,51.49%,51.49%,51.57%,48.18%,47.59%,48.24%,48.99%,48.72%,49.43%,49.23%,49.44%,48.52%,48.60%,49.14%,54.39%,48.97%,46.20%,44.61%,46.53%,46.53%,45.20%,45.98%,44.81%,45.55%,45.67%,44.60%,45.21%,46.79%,47.07%,57.44%,56.00%,56.00%,58.13%,56.61%,55.98%,53.15%,54.12%,52.49%,50.40%,49.43%,49.51%,48.74%,48.62%,48.64%,49.23%,62.00%,58.31%,60.30%,57.67%,53.73%,52.78%,52.78%,53.47%,54.77%,55.10%,56.46%,55.88%,55.87%,56.03%,55.28%,55.41%,57.56%,48.64%,49.44%,53.76%,54.66%,52.32%,52.88%,52.88%,50.81%,48.59%,49.32%,49.06%,49.42%,50.76%,49.45%,49.19%,79.06%,79.06%,74.00%,63.05%,62.06%,58.88%,59.71%,60.29%,59.90%,60.45%,60.01%,59.63%,59.72%,60.32%,59.69%,59.08%,58.04%,66.11%,58.33%,53.50%,50.18%,49.52%,47.31%,47.31%,48.90%,47.61%,47.72%,48.88%,49.50%,49.04%,50.40%,51.57%,52.27%,66.39%,56.22%,56.50%,53.15%,56.16%,53.21%,51.08%,51.08%,53.15%,53.20%,53.43%,53.97%,52.43%,51.44%,51.03%,51.23%,54.33%,45.64%,47.22%,53.18%,53.18%,54.48%,51.76%,50.95%,51.15%,50.43%,49.81%,50.42%,51.43%,52.31%,51.30%,46.89%,46.61%,46.59%,50.39%,50.41%,45.58%,45.08%,45.08%,45.70%,44.85%,43.91%,45.76%,44.70%,45.17%,44.45%,46.31%,48.78%,55.28%,56.57%,51.47%,55.27%,53.54%,53.94%,53.94%,54.12%,53.03%,52.81%,53.12%,53.20%,53.92%,53.03%,53.11%,66.06%,68.89%,62.07%,61.49%,56.70%,55.94%,56.50%,54.19%,53.52%,54.89%,54.89%,55.14%,54.86%,54.94%,54.94%,54.57%
Buffalo,48.33%,53.67%,46.09%,46.47%,48.14%,48.13%,49.04%,49.64%,49.64%,48.60%,47.89%,47.91%,50.14%,51.08%,50.63%,50.92%,51.16%,61.94%,57.44%,57.44%,58.54%,55.47%,56.74%,57.53%,57.65%,59.40%,55.38%,53.84%,54.68%,53.95%,54.79%,55.44%,56.83%,48.25%,47.56%,43.90%,46.04%,49.31%,46.56%,47.92%,47.92%,47.78%,47.78%,46.77%,47.45%,45.99%,44.81%,45.20%,34.56%,50.56%,50.74%,54.00%,49.09%,49.69%,48.15%,48.15%,47.31%,46.40%,47.14%,46.85%,45.96%,46.47%,47.62%,47.28%,38.78%,46.28%,44.78%,47.94%,46.96%,46.96%,46.43%,47.83%,49.04%,48.71%,47.36%,48.26%,48.67%,48.16%,48.27%,47.34%,51.56%,47.86%,54.35%,54.60%,51.00%,51.00%,52.42%,50.79%,49.75%,46.91%,47.67%,48.79%,49.03%,48.69%,49.70%,50.12%,49.36%,42.50%,51.33%,48.70%,44.61%,46.56%,48.86%,50.21%,47.43%,47.43%,47.00%,44.84%,45.35%,44.44%,45.80%,46.08%,45.28%,41.06%,44.33%,39.54%,38.56%,37.93%,37.93%,42.05%,45.42%,46.58%,47.32%,46.93%,47.27%,47.34%,48.34%,48.24%,47.91%,66.89%,60.64%,53.83%,52.78%,54.58%,54.43%,54.43%,55.38%,53.84%,52.90%,53.01%,53.62%,52.49%,51.64%,51.90%,56.06%,50.19%,51.67%,49.93%,46.54%,46.81%,46.95%,46.95%,45.35%,46.01%,46.62%,46.74%,47.61%,47.06%,47.72%,48.22%,38.72%,37.78%,39.65%,45.69%,45.67%,42.15%,43.79%,43.41%,44.96%,45.38%,46.31%,46.31%,44.68%,45.05%,45.44%,47.35%,44.56%,43.13%,44.99%,42.40%,44.56%,45.22%,45.83%,46.42%,46.42%,47.43%,46.46%,46.38%,47.77%,48.07%,48.87%,48.15%
Carolina,52.22%,55.82%,55.82%,55.40%,56.73%,58.98%,56.98%,56.14%,53.61%,53.20%,53.55%,52.28%,51.83%,52.01%,51.38%,53.13%,53.65%,30.28%,50.17%,50.17%,46.91%,43.83%,49.62%,46.93%,45.94%,47.85%,48.51%,48.32%,48.65%,50.24%,50.78%,49.91%,51.22%,53.17%,53.70%,55.21%,52.42%,51.99%,51.99%,53.29%,53.04%,52.93%,52.39%,53.39%,54.00%,53.38%,54.27%,53.34%,45.56%,43.82%,47.46%,48.74%,49.24%,49.68%,46.69%,45.06%,45.06%,47.11%,49.54%,50.45%,49.83%,50.08%,48.40%,49.82%,66.61%,56.86%,56.74%,53.60%,52.16%,53.85%,53.85%,52.79%,51.89%,51.18%,50.33%,48.47%,50.51%,49.61%,50.25%,49.94%,41.17%,48.42%,43.98%,47.12%,49.63%,46.05%,47.97%,47.29%,47.29%,46.12%,46.54%,47.90%,46.91%,47.58%,48.33%,47.69%,48.25%,31.17%,37.17%,38.02%,38.02%,40.07%,44.96%,44.31%,45.71%,47.22%,46.31%,46.01%,45.20%,45.24%,44.38%,45.89%,46.26%,36.17%,44.06%,45.91%,43.93%,44.31%,44.31%,47.37%,47.93%,47.52%,46.22%,46.05%,45.56%,45.30%,45.65%,47.73%,46.90%,65.89%,56.08%,50.26%,49.61%,50.37%,50.02%,51.77%,50.06%,50.06%,48.19%,48.18%,48.92%,49.51%,49.69%,50.19%,37.67%,44.69%,44.52%,48.38%,47.83%,47.83%,46.56%,47.92%,47.16%,48.28%,48.15%,50.30%,49.37%,48.65%,49.74%,49.53%,45.28%,54.22%,58.70%,58.70%,53.62%,54.93%,57.98%,58.17%,59.72%,60.15%,59.28%,58.75%,58.77%,58.05%,57.39%,55.96%,41.50%,49.11%,47.94%,46.03%,46.50%,47.32%,49.11%,48.00%,46.99%,48.04%,47.12%,47.12%,47.11%,47.50%,48.00%,48.48%
Chicago,31.06%,33.11%,33.11%,40.94%,47.86%,49.67%,51.22%,51.63%,53.09%,53.05%,51.60%,52.49%,53.56%,53.21%,52.51%,54.15%,53.68%,50.06%,52.28%,53.24%,51.83%,51.83%,52.43%,52.28%,53.00%,52.25%,52.14%,50.67%,48.96%,49.25%,47.56%,46.93%,45.11%,51.83%,52.80%,52.80%,51.78%,53.39%,54.66%,52.21%,51.97%,51.75%,51.81%,51.39%,51.23%,49.27%,49.64%,50.42%,51.94%,57.33%,58.04%,58.33%,60.78%,56.56%,56.56%,56.49%,55.67%,57.17%,57.20%,56.43%,54.51%,53.76%,54.12%,53.60%,28.83%,39.97%,35.94%,40.74%,43.50%,43.75%,46.37%,44.24%,44.24%,44.86%,45.27%,44.67%,44.49%,44.85%,44.45%,44.04%,55.06%,49.69%,49.58%,46.87%,49.48%,51.75%,50.56%,50.56%,50.67%,50.07%,48.75%,48.81%,47.88%,47.71%,47.25%,47.70%,46.64%,64.44%,59.39%,54.57%,51.39%,51.39%,52.99%,51.19%,52.65%,51.99%,50.57%,50.01%,47.56%,48.12%,48.47%,47.35%,46.54%,61.61%,52.56%,45.96%,43.17%,45.37%,44.77%,46.47%,46.47%,46.22%,48.10%,49.52%,50.29%,51.05%,49.29%,49.81%,49.05%,50.33%,43.58%,42.54%,44.99%,48.06%,49.30%,50.24%,50.24%,50.87%,51.17%,52.79%,52.18%,51.53%,51.58%,50.58%,53.00%,53.86%,51.74%,52.15%,56.16%,56.16%,55.69%,54.01%,56.43%,56.49%,56.91%,57.14%,55.98%,55.78%,54.46%,54.84%,59.17%,49.33%,48.87%,50.67%,48.08%,49.86%,51.35%,51.35%,51.88%,50.98%,50.73%,51.89%,50.14%,51.17%,51.17%,51.61%,55.44%,46.50%,48.44%,49.06%,49.55%,50.94%,49.33%,49.78%,49.78%,49.70%,51.61%,51.86%,51.31%,51.59%,50.95%,50.38%
Cincinnati,37.72%,52.94%,47.17%,49.53%,48.74%,48.74%,52.01%,53.23%,50.47%,52.10%,51.14%,52.77%,51.24%,50.99%,52.02%,51.31%,51.34%,50.44%,50.06%,53.15%,52.01%,52.01%,49.23%,49.29%,48.29%,50.18%,49.11%,47.48%,48.18%,48.16%,48.29%,47.42%,63.28%,61.61%,56.17%,57.65%,56.10%,55.23%,51.17%,49.57%,50.60%,50.60%,49.96%,49.94%,49.69%,48.50%,49.32%,49.32%,46.61%,49.36%,44.65%,42.78%,42.78%,42.48%,47.40%,46.13%,44.88%,44.80%,44.39%,46.04%,45.89%,47.32%,47.26%,47.01%,42.44%,46.89%,50.41%,47.28%,47.28%,47.78%,49.44%,48.18%,47.47%,49.87%,50.61%,51.91%,51.15%,52.07%,50.69%,49.64%,20.94%,28.78%,36.83%,37.09%,40.26%,40.87%,43.39%,42.02%,42.49%,42.49%,43.71%,43.29%,42.97%,43.89%,44.63%,44.86%,45.38%,45.56%,51.69%,49.74%,46.41%,47.63%,44.35%,46.15%,46.15%,47.95%,48.75%,49.51%,50.43%,52.34%,51.58%,51.81%,52.91%,55.50%,54.72%,53.28%,52.54%,52.44%,52.44%,53.11%,51.03%,50.37%,52.12%,52.59%,51.63%,51.50%,49.61%,50.87%,50.63%,43.06%,51.72%,45.44%,46.68%,49.18%,50.55%,50.55%,49.38%,50.84%,50.37%,50.91%,51.26%,50.46%,49.97%,50.03%,53.11%,54.75%,47.07%,49.36%,49.36%,49.55%,47.49%,47.49%,47.48%,47.14%,48.13%,48.32%,48.89%,48.81%,50.41%,50.35%,40.83%,55.25%,50.96%,50.15%,52.60%,56.47%,56.80%,54.48%,56.41%,56.06%,56.11%,56.11%,56.63%,57.31%,56.93%,58.15%,33.94%,43.36%,47.96%,47.96%,43.06%,44.99%,43.34%,45.82%,46.96%,45.96%,46.42%,48.11%,48.29%,48.09%,49.72%,49.53%
Cleveland,58.72%,56.86%,54.87%,52.00%,55.12%,53.65%,52.48%,50.94%,50.94%,50.39%,51.32%,51.85%,50.22%,49.45%,47.61%,47.79%,47.82%,45.61%,40.11%,43.28%,48.07%,45.80%,48.48%,48.57%,48.57%,50.34%,49.21%,48.41%,48.10%,46.83%,45.95%,45.02%,36.72%,32.25%,33.43%,33.43%,37.89%,39.62%,38.69%,38.83%,41.61%,40.36%,42.69%,43.11%,43.36%,45.09%,45.54%,46.48%,48.72%,48.31%,44.11%,50.19%,49.88%,49.88%,47.24%,50.87%,51.62%,52.29%,50.93%,49.72%,49.46%,47.60%,48.09%,47.38%,25.33%,37.00%,35.39%,34.86%,37.18%,39.06%,39.06%,41.58%,44.26%,42.23%,42.58%,44.97%,43.91%,44.41%,44.82%,46.13%,26.89%,40.28%,37.20%,43.42%,43.42%,44.81%,47.48%,46.52%,46.08%,47.49%,47.30%,47.09%,47.69%,47.76%,47.15%,47.46%,47.13%,35.11%,36.14%,42.81%,48.63%,48.09%,47.04%,44.49%,43.79%,43.79%,44.60%,45.54%,45.05%,44.37%,44.30%,45.37%,46.06%,44.61%,38.11%,39.72%,42.21%,45.03%,44.91%,44.94%,44.94%,47.99%,44.90%,43.83%,45.18%,45.82%,45.28%,44.41%,44.51%,56.94%,59.97%,54.72%,55.69%,55.69%,51.69%,56.45%,56.05%,53.77%,53.43%,53.32%,52.58%,51.32%,51.00%,50.41%,37.72%,40.67%,42.24%,41.24%,41.62%,42.94%,42.06%,42.72%,43.52%,43.52%,42.12%,42.99%,44.24%,45.82%,44.62%,44.56%,48.56%,43.39%,47.04%,48.35%,49.57%,47.19%,47.04%,48.11%,47.72%,47.72%,47.29%,47.06%,47.93%,47.32%,47.43%,46.84%,50.94%,49.36%,50.09%,50.09%,51.17%,50.76%,48.94%,48.02%,49.68%,51.10%,49.94%,50.41%,49.26%,48.68%,47.23%,47.05%
Dallas,34.89%,53.55%,53.55%,55.01%,58.28%,56.94%,59.47%,55.67%,55.87%,56.30%,54.80%,55.38%,54.34%,54.13%,55.33%,55.29%,55.34%,44.28%,54.83%,51.26%,51.26%,48.64%,47.48%,46.59%,48.42%,46.94%,47.70%,48.25%,50.08%,49.69%,48.66%,48.02%,52.61%,51.83%,51.19%,49.26%,54.60%,56.65%,56.54%,56.65%,56.65%,54.85%,55.45%,55.26%,55.08%,54.89%,54.27%,54.62%,40.50%,44.61%,44.61%,49.81%,54.32%,57.19%,54.74%,56.46%,56.72%,57.28%,57.36%,59.17%,57.60%,56.64%,56.35%,54.79%,39.22%,46.03%,54.72%,54.64%,55.11%,51.64%,51.84%,51.84%,51.74%,51.17%,50.33%,52.91%,53.41%,53.23%,52.66%,52.78%,73.11%,66.50%,60.02%,53.07%,51.73%,51.20%,49.66%,49.64%,50.29%,50.29%,50.22%,52.39%,52.17%,51.76%,51.41%,51.29%,51.35%,38.44%,37.78%,45.28%,44.93%,46.38%,46.38%,47.73%,48.90%,49.46%,48.77%,48.50%,48.66%,49.48%,48.79%,49.90%,50.99%,49.67%,53.08%,51.15%,51.15%,55.97%,53.22%,50.94%,49.10%,47.94%,47.14%,48.43%,49.19%,50.72%,50.54%,50.43%,51.06%,51.56%,56.48%,57.35%,57.98%,57.98%,55.72%,58.06%,54.02%,52.81%,53.01%,52.42%,51.22%,51.04%,50.30%,50.96%,62.72%,46.44%,49.87%,49.06%,49.06%,54.96%,55.77%,56.44%,54.28%,52.52%,54.47%,53.53%,53.68%,53.57%,54.00%,53.08%,52.17%,54.47%,52.26%,50.32%,45.90%,44.76%,47.63%,45.98%,46.49%,45.54%,45.54%,46.76%,48.70%,47.70%,47.68%,48.18%,44.50%,54.75%,53.67%,54.39%,53.26%,54.11%,53.10%,49.91%,50.05%,49.63%,49.63%,48.84%,48.64%,48.37%,49.90%,50.00%
Denver,62.28%,60.17%,59.19%,57.11%,58.17%,55.44%,55.08%,55.19%,52.88%,52.88%,55.66%,54.11%,54.45%,54.45%,55.96%,57.17%,57.32%,55.50%,59.69%,52.72%,54.85%,56.96%,58.60%,57.43%,57.19%,57.34%,57.34%,57.70%,57.12%,56.14%,56.54%,55.41%,43.56%,48.36%,54.26%,54.58%,53.87%,55.14%,54.75%,54.28%,54.28%,53.97%,54.84%,54.06%,53.40%,53.36%,54.59%,55.01%,40.94%,53.58%,53.42%,53.42%,55.47%,53.06%,55.15%,55.94%,55.03%,55.95%,56.10%,54.30%,53.30%,53.40%,52.66%,52.91%,61.22%,60.45%,54.49%,50.77%,48.48%,48.48%,48.39%,48.31%,50.62%,50.23%,49.96%,51.01%,50.69%,51.84%,50.99%,50.43%,44.44%,48.81%,51.24%,50.51%,49.38%,47.78%,46.23%,46.23%,45.72%,45.22%,45.76%,44.68%,44.98%,46.78%,46.44%,46.27%,46.18%,54.44%,58.64%,60.76%,59.60%,60.88%,60.65%,60.65%,57.98%,54.01%,51.34%,50.03%,50.24%,51.39%,51.66%,51.57%,52.09%,46.17%,59.31%,56.80%,60.04%,54.40%,55.65%,52.96%,50.67%,50.67%,50.49%,48.77%,48.35%,46.75%,46.53%,46.18%,47.03%,44.00%,41.81%,45.94%,43.57%,40.93%,40.93%,42.41%,45.04%,45.97%,47.14%,47.01%,47.89%,47.60%,47.63%,47.20%,38.00%,39.50%,40.26%,46.56%,44.74%,45.19%,45.19%,47.98%,48.56%,47.91%,47.62%,48.18%,49.74%,50.70%,51.74%,52.05%,51.22%,49.42%,53.33%,56.90%,59.88%,58.16%,57.48%,58.17%,58.17%,57.05%,56.45%,55.72%,55.48%,56.33%,54.78%,53.87%,42.94%,36.64%,37.30%,37.30%,45.72%,47.31%,47.29%,48.41%,47.95%,48.95%,48.38%,49.43%,50.40%,50.24%,49.88%,50.10%
