Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,67.56%,65.00%,52.67%,52.58%,50.42%,49.85%,49.85%,52.27%,52.51%,51.75%,49.90%,48.38%,47.14%,48.21%,48.98%,50.44%,49.99%,40.11%,43.00%,47.37%,52.00%,50.22%,50.22%,55.19%,58.19%,56.44%,54.37%,54.99%,53.84%,54.80%,54.62%,54.56%,72.00%,61.67%,57.52%,59.64%,56.56%,56.56%,52.83%,50.22%,51.90%,51.12%,50.43%,48.56%,48.46%,49.21%,48.05%,47.66%,61.67%,55.72%,49.22%,42.92%,43.20%,47.56%,45.78%,48.78%,48.78%,49.46%,50.96%,50.39%,50.34%,50.51%,49.47%,50.64%,51.89%,47.94%,43.19%,46.00%,52.44%,56.74%,57.70%,57.70%,55.42%,56.14%,54.57%,54.55%,52.39%,52.44%,52.86%,54.33%,52.67%,61.56%,64.37%,59.86%,59.64%,55.15%,55.15%,53.29%,52.49%,52.90%,52.33%,52.20%,51.31%,52.00%,51.38%,50.62%,48.95%,40.11%,37.83%,36.81%,36.81%,41.44%,43.18%,45.98%,45.78%,47.46%,47.32%,48.47%,49.04%,48.64%,48.28%,47.84%,49.44%,30.44%,33.28%,38.63%,38.75%,43.98%,43.98%,45.30%,48.78%,46.60%,47.48%,47.30%,48.01%,47.78%,48.66%,49.78%,48.41%,56.00%,49.28%,49.22%,51.58%,55.16%,55.16%,57.56%,54.75%,52.39%,52.63%,49.49%,49.52%,48.58%,46.48%,46.41%,41.33%,42.39%,48.56%,47.83%,49.78%,51.83%,50.03%,49.65%,47.21%,47.21%,45.28%,45.98%,45.50%,46.61%,46.37%,47.32%,48.00%,45.67%,48.81%,43.06%,41.60%,41.69%,43.14%,41.18%,41.18%,40.49%,41.68%,44.46%,44.29%,44.76%,45.93%,47.94%,49.22%,41.72%,33.70%,33.70%,37.28%,38.40%,39.59%,40.21%,40.68%,42.72%,42.42%,43.17%,42.97%,43.97%,44.47%,45.41%
Atlanta,21.22%,34.17%,36.74%,36.75%,39.00%,38.43%,36.84%,36.84%,41.36%,40.53%,39.09%,39.06%,39.98%,41.72%,41.50%,40.99%,41.45%,46.56%,44.83%,44.52%,43.28%,44.18%,41.57%,38.95%,40.85%,40.85%,42.11%,44.22%,45.24%,45.08%,46.04%,44.76%,54.11%,39.17%,42.19%,42.39%,47.42%,41.59%,42.17%,42.17%,44.68%,45.21%,47.41%,47.68%,47.92%,48.53%,48.80%,49.53%,65.00%,64.56%,59.59%,63.69%,63.69%,60.36%,59.19%,59.40%,59.22%,58.20%,57.27%,58.47%,58.91%,58.58%,57.94%,56.20%,70.44%,63.50%,57.04%,58.22%,59.11%,55.33%,57.13%,57.13%,57.93%,57.27%,56.44%,55.37%,55.75%,53.68%,51.40%,49.64%,37.67%,41.33%,47.74%,45.72%,44.76%,47.00%,47.00%,45.94%,50.04%,51.43%,53.39%,51.73%,53.23%,52.27%,51.74%,52.01%,51.76%,59.89%,57.39%,54.89%,54.89%,53.94%,55.18%,52.96%,50.52%,52.14%,51.68%,51.87%,52.73%,53.63%,51.15%,49.55%,48.90%,44.67%,54.28%,60.11%,57.44%,58.44%,56.54%,56.92%,56.92%,57.97%,60.37%,60.62%,60.66%,59.86%,60.44%,60.95%,60.04%,36.11%,33.22%,35.22%,42.58%,39.09%,40.24%,42.06%,42.06%,43.04%,45.77%,45.99%,47.30%,46.91%,47.48%,48.70%,48.78%,54.67%,56.37%,53.94%,55.56%,54.94%,54.94%,51.40%,49.25%,50.65%,52.80%,53.84%,51.91%,49.75%,49.77%,50.72%,32.78%,31.44%,43.19%,47.61%,50.78%,50.78%,49.00%,52.37%,50.60%,50.95%,50.86%,53.14%,52.93%,52.65%,52.87%,53.98%,53.33%,43.11%,44.30%,46.42%,47.87%,46.67%,46.92%,48.57%,48.57%,50.01%,51.48%,51.42%,52.07%,50.47%,51.37%,51.83%
Baltimore,49.56%,50.67%,49.81%,45.39%,45.39%,46.91%,48.35%,53.30%,50.44%,52.86%,51.62%,49.78%,50.07%,50.18%,50.65%,51.47%,50.81%,44.33%,51.72%,51.00%,43.50%,45.96%,45.96%,49.46%,50.33%,53.04%,51.14%,49.07%,49.33%,49.95%,51.55%,52.87%,49.22%,44.33%,44.33%,52.89%,53.11%,54.27%,57.00%,57.37%,54.99%,52.91%,53.50%,53.37%,51.65%,51.22%,52.28%,51.61%,36.33%,35.00%,34.22%,37.94%,41.73%,42.06%,42.06%,44.98%,47.22%,47.83%,48.16%,51.19%,51.63%,51.71%,52.10%,52.56%,51.11%,59.33%,61.67%,56.86%,59.80%,60.09%,59.13%,59.13%,57.31%,56.20%,52.84%,51.69%,52.28%,50.48%,50.42%,50.24%,42.44%,42.44%,46.94%,54.22%,52.61%,53.09%,50.50%,52.68%,52.25%,53.69%,51.68%,52.87%,53.87%,52.65%,52.42%,53.24%,53.97%,62.56%,55.17%,59.19%,54.92%,52.07%,52.30%,52.30%,52.16%,49.18%,50.16%,49.90%,48.47%,47.38%,45.49%,45.76%,46.21%,61.56%,54.89%,50.15%,52.25%,49.47%,52.50%,51.08%,51.08%,52.82%,49.22%,51.00%,50.29%,49.50%,50.21%,50.47%,50.17%,56.67%,51.28%,53.59%,47.67%,47.67%,45.49%,45.13%,47.56%,47.31%,47.12%,47.69%,46.99%,48.76%,48.72%,48.29%,37.56%,43.94%,51.74%,51.11%,47.80%,46.02%,43.13%,43.13%,41.26%,42.77%,44.79%,44.17%,44.95%,45.62%,45.10%,45.79%,64.78%,46.89%,51.04%,48.00%,48.27%,49.65%,48.11%,48.11%,47.78%,48.83%,48.66%,50.51%,50.52%,49.08%,49.79%,49.56%,31.33%,39.61%,47.78%,50.11%,47.42%,47.54%,48.11%,49.69%,49.43%,50.11%,50.11%,48.34%,48.70%,49.05%,49.83%,49.69%
Buffalo,43.11%,32.06%,35.85%,43.92%,40.71%,42.37%,44.75%,45.14%,45.14%,46.42%,46.97%,47.72%,49.74%,49.62%,48.87%,48.07%,47.99%,56.44%,55.67%,55.67%,57.04%,52.25%,53.00%,49.67%,45.97%,46.94%,44.33%,43.29%,43.56%,44.36%,46.50%,46.06%,65.00%,46.83%,48.48%,44.44%,48.31%,51.00%,51.68%,53.65%,53.65%,52.28%,50.26%,52.08%,52.19%,50.74%,50.06%,50.39%,55.78%,41.33%,45.74%,50.25%,49.22%,48.87%,51.13%,51.13%,48.29%,44.86%,43.82%,44.14%,44.28%,42.78%,44.33%,43.54%,59.89%,41.56%,39.37%,42.92%,47.93%,47.93%,47.72%,46.17%,49.11%,48.09%,47.30%,47.21%,48.62%,49.03%,49.71%,48.94%,54.44%,55.33%,51.96%,52.31%,50.09%,50.09%,54.57%,57.65%,56.58%,56.02%,55.91%,55.25%,56.62%,54.03%,54.34%,53.90%,53.83%,27.78%,39.33%,40.89%,38.00%,40.76%,42.69%,41.11%,41.14%,41.14%,43.10%,43.43%,42.42%,42.42%,41.79%,42.29%,43.48%,28.89%,50.39%,55.74%,49.69%,45.82%,45.82%,47.76%,45.32%,44.75%,43.38%,44.94%,43.85%,44.03%,45.34%,46.12%,46.16%,51.00%,52.28%,56.89%,53.69%,54.20%,52.61%,52.61%,53.94%,50.83%,50.54%,49.58%,50.27%,51.81%,52.43%,51.40%,42.22%,48.00%,48.07%,45.08%,46.51%,45.07%,46.40%,46.40%,48.88%,50.38%,51.38%,50.90%,52.63%,52.43%,52.21%,52.21%,36.78%,49.72%,53.07%,55.08%,53.33%,52.11%,50.81%,51.96%,50.95%,48.06%,50.65%,50.65%,50.55%,49.75%,50.87%,50.19%,32.22%,37.56%,36.52%,45.00%,47.36%,48.83%,47.65%,46.74%,46.74%,47.10%,49.00%,50.13%,49.86%,50.04%,50.95%,50.01%
Carolina,24.67%,26.50%,26.50%,38.74%,42.03%,40.11%,40.43%,41.27%,42.21%,43.05%,44.16%,44.34%,44.81%,44.24%,44.00%,44.74%,45.84%,52.11%,49.44%,49.44%,53.11%,55.28%,54.02%,54.85%,53.00%,52.11%,49.10%,48.13%,46.41%,48.70%,50.68%,52.19%,48.44%,51.72%,59.00%,54.50%,54.76%,52.74%,52.74%,53.43%,51.08%,50.78%,51.24%,49.28%,49.30%,48.29%,49.15%,48.81%,35.00%,47.56%,48.52%,45.39%,45.91%,47.65%,47.24%,46.56%,46.56%,47.56%,47.51%,46.97%,46.71%,47.70%,48.13%,49.47%,43.11%,32.11%,40.04%,42.64%,40.33%,37.24%,37.24%,41.78%,42.67%,43.26%,42.84%,41.86%,42.93%,42.43%,43.90%,42.71%,69.00%,58.11%,53.96%,55.56%,57.36%,57.61%,56.73%,56.88%,56.88%,55.43%,55.32%,56.19%,54.62%,54.72%,54.40%,54.60%,54.62%,61.00%,53.06%,46.22%,46.22%,50.94%,50.18%,53.20%,53.52%,54.24%,53.99%,52.94%,51.53%,49.80%,51.17%,52.33%,53.27%,48.33%,52.22%,40.67%,40.33%,39.29%,39.29%,42.81%,39.76%,39.50%,40.58%,39.82%,41.26%,41.51%,40.83%,40.46%,39.16%,44.00%,42.44%,43.04%,48.00%,42.38%,44.31%,45.71%,46.32%,46.32%,47.64%,46.26%,46.79%,46.20%,46.16%,47.12%,40.22%,50.72%,45.78%,47.67%,43.11%,43.11%,47.85%,50.94%,48.12%,46.72%,48.88%,49.19%,47.71%,49.90%,49.87%,50.16%,46.44%,41.89%,48.41%,48.41%,52.36%,53.24%,50.26%,49.25%,50.82%,50.33%,50.08%,48.36%,49.80%,49.11%,50.63%,49.16%,81.78%,68.83%,57.93%,54.17%,53.69%,53.43%,52.22%,52.31%,52.32%,52.99%,51.38%,51.38%,52.91%,53.61%,54.40%,55.44%
Chicago,42.33%,33.78%,33.78%,42.26%,40.39%,41.22%,45.39%,45.06%,48.53%,48.65%,51.23%,51.63%,52.87%,51.06%,49.63%,49.25%,48.86%,35.44%,34.17%,35.00%,33.47%,33.47%,33.20%,33.52%,34.41%,36.68%,40.58%,40.33%,40.32%,41.06%,42.49%,43.06%,44.22%,38.78%,38.56%,38.56%,43.25%,40.89%,38.96%,45.16%,44.46%,42.60%,42.80%,44.95%,44.61%,43.97%,44.24%,42.91%,50.44%,45.67%,42.37%,46.44%,48.13%,45.22%,45.22%,48.48%,47.89%,46.33%,45.13%,45.10%,44.07%,43.15%,43.75%,44.66%,56.67%,61.94%,53.81%,56.44%,56.47%,58.59%,57.79%,57.90%,57.90%,57.99%,57.83%,58.76%,58.82%,58.64%,57.38%,57.94%,68.00%,60.39%,65.41%,65.44%,64.44%,60.67%,58.76%,58.76%,55.82%,53.96%,52.24%,51.92%,53.09%,52.85%,51.90%,50.14%,49.31%,53.33%,59.00%,60.81%,57.42%,57.42%,53.91%,49.52%,51.98%,50.58%,51.78%,52.87%,53.06%,51.55%,51.49%,51.43%,51.63%,39.89%,39.78%,37.44%,42.69%,47.13%,46.96%,49.16%,49.16%,50.42%,52.09%,54.23%,52.23%,51.85%,49.95%,50.72%,50.63%,63.89%,51.39%,45.00%,43.03%,49.40%,47.63%,50.83%,50.83%,49.06%,47.43%,46.82%,47.69%,48.27%,47.16%,48.38%,74.44%,56.39%,60.37%,57.81%,55.42%,55.42%,56.94%,53.17%,53.83%,52.59%,50.99%,52.08%,51.08%,51.48%,50.98%,50.21%,34.78%,51.06%,48.93%,47.72%,47.84%,50.33%,46.78%,46.78%,48.40%,51.26%,51.42%,52.22%,53.25%,54.28%,54.05%,53.43%,67.78%,62.72%,56.52%,56.44%,54.80%,55.56%,52.33%,50.60%,50.60%,51.44%,52.50%,51.64%,51.28%,49.77%,48.89%,48.78%
Cincinnati,53.56%,54.50%,50.30%,47.61%,52.51%,52.51%,51.17%,51.16%,50.49%,53.51%,54.97%,54.58%,54.10%,53.68%,52.55%,52.32%,51.74%,41.78%,47.17%,48.26%,50.14%,50.14%,48.62%,47.28%,44.52%,45.24%,48.28%,46.96%,48.69%,48.23%,50.32%,51.00%,59.89%,66.33%,64.85%,62.03%,59.04%,55.85%,53.25%,53.11%,54.06%,54.06%,54.96%,54.31%,54.12%,55.83%,56.39%,55.62%,51.22%,59.00%,60.15%,54.58%,54.58%,53.33%,53.65%,51.60%,49.79%,51.89%,51.81%,53.98%,53.11%,52.44%,50.52%,51.74%,48.89%,52.17%,54.00%,49.83%,49.83%,47.31%,49.09%,47.46%,45.32%,46.14%,47.48%,48.45%,45.94%,46.58%,46.77%,47.36%,57.56%,51.56%,49.15%,51.92%,51.44%,52.69%,52.41%,49.86%,50.57%,50.57%,50.28%,48.33%,47.23%,47.27%,46.90%,49.06%,50.96%,67.89%,65.39%,60.04%,52.72%,54.04%,54.11%,56.73%,56.73%,58.60%,56.26%,56.89%,58.11%,57.71%,57.52%,56.88%,56.07%,64.11%,57.94%,66.11%,59.25%,57.47%,57.47%,54.69%,51.65%,51.38%,52.68%,51.51%,51.57%,52.30%,52.71%,53.59%,52.78%,52.22%,46.56%,42.67%,45.97%,48.11%,50.89%,50.89%,52.44%,51.58%,50.43%,50.11%,49.23%,49.23%,49.62%,49.92%,62.44%,63.22%,64.11%,60.53%,58.20%,60.04%,55.08%,55.08%,53.75%,54.17%,55.29%,54.66%,55.32%,55.99%,55.52%,54.66%,65.22%,57.72%,49.22%,50.44%,49.78%,50.48%,49.02%,47.56%,46.84%,46.43%,44.45%,44.45%,43.31%,44.36%,44.09%,45.31%,68.67%,67.89%,56.26%,56.26%,53.69%,52.53%,50.11%,48.56%,50.94%,48.78%,49.48%,50.95%,52.28%,51.91%,51.28%,52.29%
Cleveland,45.44%,46.83%,50.85%,53.25%,54.27%,54.35%,55.90%,54.82%,54.82%,55.38%,56.52%,54.08%,52.57%,51.78%,50.79%,49.87%,50.31%,55.67%,50.17%,49.89%,46.44%,46.96%,48.70%,49.51%,49.51%,46.82%,46.32%,47.26%,46.05%,46.00%,44.60%,45.67%,40.11%,45.11%,51.11%,51.11%,49.00%,47.42%,43.39%,42.57%,45.26%,43.96%,46.46%,48.36%,49.78%,47.77%,46.10%,45.40%,40.78%,37.00%,47.11%,55.22%,54.58%,54.58%,51.65%,53.54%,54.57%,54.06%,55.76%,52.90%,52.91%,51.85%,51.21%,50.21%,50.33%,47.44%,45.70%,48.67%,47.96%,46.98%,46.98%,49.16%,49.07%,46.30%,49.40%,49.84%,51.63%,51.21%,50.51%,50.10%,31.33%,37.56%,41.22%,40.86%,40.86%,41.73%,41.78%,41.37%,42.54%,43.96%,44.08%,44.23%,45.23%,44.65%,44.10%,42.53%,42.79%,66.89%,54.94%,47.56%,52.97%,52.02%,48.19%,48.11%,46.25%,46.25%,45.78%,47.71%,46.07%,48.07%,49.02%,49.25%,48.95%,61.11%,61.67%,60.89%,61.00%,56.31%,54.39%,52.94%,52.94%,52.12%,51.01%,50.80%,50.21%,51.12%,50.18%,49.10%,49.42%,47.78%,57.22%,49.22%,51.64%,51.64%,55.02%,58.02%,54.90%,55.68%,56.53%,54.88%,55.30%,53.34%,53.45%,53.52%,55.33%,45.67%,47.70%,48.47%,46.09%,43.54%,43.24%,44.42%,47.46%,47.46%,48.47%,49.08%,49.14%,49.01%,48.20%,47.50%,43.56%,57.28%,51.67%,50.22%,50.91%,55.13%,53.41%,50.01%,50.52%,50.52%,53.00%,51.70%,51.29%,50.77%,50.64%,50.24%,47.44%,38.94%,37.93%,37.93%,41.67%,45.56%,47.52%,46.25%,45.00%,47.62%,48.52%,48.58%,48.95%,50.60%,51.05%,49.65%
Dallas,78.78%,66.44%,66.44%,66.59%,64.50%,62.64%,61.74%,58.11%,58.22%,56.57%,56.98%,56.69%,57.29%,57.79%,55.99%,56.12%,57.14%,28.89%,42.11%,38.44%,38.44%,47.89%,45.82%,41.74%,46.24%,46.68%,47.20%,49.43%,50.37%,51.32%,50.74%,50.18%,42.22%,44.78%,53.52%,56.28%,54.91%,57.89%,58.70%,59.54%,59.54%,57.56%,57.49%,58.76%,56.45%,56.61%,56.02%,56.02%,40.78%,48.94%,48.94%,46.26%,47.94%,50.71%,51.61%,52.56%,54.42%,53.38%,53.94%,53.08%,52.04%,51.09%,51.03%,50.65%,41.78%,57.83%,59.37%,58.67%,53.33%,50.31%,54.13%,54.13%,54.12%,50.63%,50.47%,49.36%,47.85%,47.04%,48.12%,49.84%,68.67%,59.39%,58.81%,51.97%,51.67%,54.28%,53.05%,52.99%,49.84%,49.84%,50.20%,50.69%,50.52%,50.27%,49.63%,48.67%,47.33%,42.89%,45.72%,52.96%,53.86%,52.40%,52.40%,53.35%,55.35%,52.96%,50.93%,51.06%,51.69%,53.61%,54.21%,53.94%,54.66%,70.56%,65.44%,64.00%,64.00%,62.28%,65.07%,58.61%,59.38%,56.28%,52.90%,50.79%,51.63%,49.95%,50.24%,51.52%,52.81%,66.44%,44.78%,46.41%,48.92%,48.92%,50.49%,51.85%,48.33%,48.94%,49.26%,49.30%,49.34%,50.37%,50.26%,51.36%,62.44%,51.78%,50.22%,50.14%,50.14%,52.69%,48.65%,49.87%,51.86%,52.14%,51.17%,50.60%,51.27%,50.09%,49.90%,48.90%,76.78%,65.83%,67.52%,60.33%,56.29%,53.56%,54.46%,53.40%,53.53%,50.03%,50.03%,49.42%,46.57%,45.56%,46.41%,45.06%,30.78%,47.94%,48.85%,48.14%,51.29%,56.69%,58.14%,57.67%,57.48%,57.83%,57.83%,57.17%,55.62%,56.60%,56.67%,56.70%
Denver,46.44%,49.50%,52.70%,55.06%,54.00%,52.67%,54.41%,49.74%,51.20%,51.20%,52.96%,52.18%,53.31%,52.60%,53.28%,55.00%,54.48%,50.78%,49.28%,55.44%,53.36%,50.33%,50.46%,51.75%,51.01%,52.32%,52.32%,50.27%,51.07%,50.35%,50.24%,49.64%,60.78%,54.11%,46.19%,54.97%,52.31%,52.81%,54.19%,55.19%,55.19%,54.70%,58.62%,55.89%,56.39%,56.20%,56.39%,57.48%,59.00%,51.39%,50.74%,50.74%,48.83%,51.04%,53.04%,53.59%,50.58%,49.11%,51.81%,51.39%,52.85%,51.92%,52.79%,51.35%,40.11%,50.39%,49.41%,51.58%,52.07%,52.07%,48.81%,43.92%,43.07%,42.78%,43.16%,42.14%,40.97%,40.60%,42.94%,41.70%,48.11%,53.11%,44.78%,47.03%,46.38%,45.85%,44.00%,44.00%,42.56%,42.79%,41.41%,43.15%,45.18%,45.27%,45.58%,46.03%,44.91%,32.11%,44.56%,41.85%,42.25%,42.62%,45.96%,45.96%,46.35%,49.32%,51.59%,48.74%,50.75%,52.05%,52.69%,50.74%,50.48%,54.33%,62.56%,62.11%,60.61%,60.82%,58.74%,56.40%,57.72%,57.72%,54.73%,55.18%,53.16%,52.94%,52.01%,50.68%,50.04%,43.56%,51.33%,44.67%,45.53%,45.27%,45.27%,46.54%,44.24%,46.31%,47.44%,46.17%,45.11%,44.56%,46.22%,44.46%,35.78%,37.61%,38.59%,39.83%,37.00%,40.02%,40.02%,42.95%,44.53%,46.75%,47.41%,47.66%,47.69%,47.39%,48.40%,49.33%,35.22%,34.56%,41.63%,46.22%,48.96%,47.15%,47.40%,45.71%,45.71%,45.49%,45.40%,46.75%,47.07%,48.18%,46.63%,46.83%,64.67%,57.83%,50.78%,50.78%,51.08%,55.31%,52.24%,49.30%,51.33%,50.56%,48.41%,48.53%,50.33%,50.14%,49.68%,48.61%
