Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,52.89%,52.94%,61.37%,49.19%,47.24%,47.19%,47.19%,47.70%,51.68%,53.75%,53.34%,54.27%,52.38%,51.56%,51.83%,52.84%,51.70%,32.56%,42.28%,47.70%,53.67%,52.27%,52.27%,52.70%,51.11%,49.29%,47.93%,49.39%,50.62%,50.88%,50.44%,51.13%,63.67%,59.61%,51.30%,52.83%,54.22%,54.22%,57.09%,53.78%,55.82%,56.69%,57.18%,57.81%,58.94%,58.07%,57.10%,58.66%,59.11%,55.67%,52.15%,51.11%,52.40%,52.81%,50.92%,49.67%,49.67%,49.41%,48.39%,47.23%,46.70%,47.97%,48.75%,50.20%,57.11%,58.89%,55.81%,51.97%,51.18%,47.63%,47.29%,47.29%,42.86%,41.85%,42.28%,44.01%,46.64%,47.84%,48.64%,49.01%,73.00%,64.83%,58.89%,61.33%,64.56%,59.94%,59.94%,61.54%,60.82%,61.09%,60.36%,60.48%,58.63%,56.32%,53.75%,52.04%,52.82%,68.78%,57.11%,59.00%,59.00%,55.17%,56.84%,56.00%,56.08%,56.81%,57.56%,55.82%,55.40%,54.35%,55.73%,56.65%,57.48%,50.44%,45.22%,51.00%,46.39%,44.76%,44.76%,45.02%,43.49%,44.56%,41.81%,42.90%,41.78%,40.00%,42.55%,41.21%,40.83%,27.33%,52.44%,51.19%,53.33%,52.36%,52.36%,46.81%,45.75%,46.36%,45.60%,42.66%,43.74%,44.13%,46.39%,47.10%,41.89%,39.78%,38.30%,39.83%,41.22%,44.22%,48.71%,51.39%,52.47%,52.47%,54.72%,55.38%,53.56%,52.43%,51.81%,51.09%,52.33%,67.00%,54.59%,57.56%,57.29%,58.04%,56.63%,55.24%,55.24%,57.26%,58.29%,59.00%,58.49%,58.27%,57.13%,57.15%,58.89%,48.50%,44.89%,44.89%,41.25%,46.49%,47.28%,47.43%,46.69%,49.64%,49.60%,47.89%,48.04%,47.14%,47.69%,48.10%
Atlanta,51.11%,40.00%,37.93%,37.61%,38.44%,36.69%,36.52%,36.52%,36.31%,38.20%,38.44%,40.91%,41.74%,41.54%,42.49%,42.44%,43.77%,30.00%,34.06%,36.52%,40.75%,36.89%,35.61%,33.60%,36.82%,36.82%,36.10%,35.93%,34.96%,36.07%,39.02%,41.72%,60.44%,51.50%,53.11%,54.36%,50.36%,52.70%,54.24%,54.24%,53.85%,51.95%,54.20%,54.62%,54.23%,53.45%,52.08%,51.81%,52.33%,48.17%,41.04%,43.78%,43.78%,37.93%,39.44%,39.54%,37.74%,38.46%,37.67%,40.08%,39.43%,38.91%,39.80%,38.59%,43.67%,40.06%,42.07%,41.92%,45.33%,43.02%,43.48%,43.48%,44.00%,45.44%,44.48%,43.96%,43.84%,44.66%,42.50%,42.73%,41.56%,46.72%,41.37%,42.58%,37.47%,37.57%,37.57%,36.67%,40.85%,44.90%,44.37%,44.14%,46.69%,48.63%,48.84%,47.94%,47.11%,28.67%,51.50%,39.04%,39.04%,47.67%,42.62%,44.65%,44.81%,41.08%,45.09%,47.20%,47.62%,48.17%,47.68%,46.85%,47.22%,63.67%,61.83%,52.63%,47.72%,45.69%,47.02%,45.02%,45.02%,47.26%,47.19%,49.21%,50.88%,50.02%,49.66%,51.29%,51.59%,73.11%,62.44%,49.89%,52.47%,51.69%,48.78%,48.73%,48.73%,52.99%,52.72%,55.37%,53.77%,54.04%,53.14%,53.67%,37.67%,55.22%,53.15%,47.19%,46.11%,46.20%,46.20%,49.32%,49.50%,48.49%,46.14%,42.96%,42.09%,44.34%,46.03%,44.32%,35.11%,46.00%,42.52%,39.92%,42.82%,42.82%,40.54%,42.54%,40.35%,40.89%,42.21%,43.98%,46.50%,44.62%,46.71%,45.21%,64.33%,54.06%,51.19%,46.78%,48.04%,49.39%,49.37%,48.19%,48.19%,47.62%,48.73%,47.21%,47.47%,48.38%,49.71%,49.55%
Baltimore,51.11%,44.94%,50.22%,51.22%,51.22%,51.60%,47.20%,47.29%,48.00%,48.88%,47.77%,48.60%,48.01%,48.77%,47.89%,47.81%,48.93%,68.11%,48.22%,47.37%,40.14%,37.07%,37.07%,37.22%,38.92%,38.58%,40.36%,43.00%,41.03%,41.98%,44.03%,44.06%,61.44%,60.44%,60.44%,58.93%,52.67%,48.60%,48.78%,50.46%,49.10%,47.89%,46.37%,46.62%,45.50%,45.31%,46.30%,46.79%,45.11%,44.89%,56.56%,53.31%,51.11%,54.50%,54.50%,53.16%,55.19%,56.15%,57.48%,56.71%,56.23%,54.38%,52.33%,52.78%,54.00%,50.17%,50.22%,54.86%,52.44%,52.19%,52.37%,52.37%,52.08%,50.37%,52.88%,54.11%,54.80%,56.97%,54.79%,54.13%,69.56%,69.56%,59.39%,53.22%,56.61%,56.18%,56.69%,58.75%,58.69%,61.04%,61.34%,61.90%,62.62%,63.09%,62.11%,61.83%,59.59%,77.00%,61.56%,50.63%,48.42%,46.78%,46.15%,46.15%,47.65%,46.43%,44.59%,45.92%,47.73%,48.05%,50.29%,52.13%,54.27%,65.89%,54.44%,48.41%,47.25%,51.47%,51.76%,50.59%,50.59%,52.22%,52.36%,52.81%,53.92%,51.47%,49.01%,48.90%,48.52%,58.00%,44.78%,46.26%,49.19%,49.19%,52.40%,49.09%,50.75%,49.53%,50.51%,50.50%,50.45%,50.67%,52.39%,51.90%,45.56%,38.00%,37.00%,44.19%,47.29%,40.74%,40.57%,40.57%,40.50%,41.62%,40.94%,43.79%,44.04%,44.93%,45.58%,47.83%,45.56%,46.39%,48.81%,47.39%,52.64%,52.89%,51.95%,51.95%,53.51%,52.90%,54.06%,53.25%,54.51%,54.44%,53.47%,54.07%,56.78%,65.50%,55.15%,55.78%,54.18%,53.96%,53.51%,52.86%,52.47%,53.47%,53.47%,54.01%,53.19%,52.69%,52.63%,51.63%
Buffalo,41.44%,49.44%,45.26%,41.17%,45.18%,47.00%,46.33%,47.21%,47.21%,47.51%,46.72%,48.66%,51.03%,51.74%,50.36%,50.81%,51.01%,71.89%,70.44%,70.44%,66.07%,63.75%,57.91%,58.59%,58.57%,59.62%,55.27%,54.26%,55.35%,54.92%,55.62%,55.81%,40.89%,42.78%,43.07%,42.58%,46.51%,49.33%,49.46%,49.97%,49.97%,48.35%,48.32%,46.65%,47.43%,46.97%,46.48%,45.70%,49.22%,60.28%,57.41%,62.50%,56.76%,55.76%,53.79%,53.79%,51.76%,49.62%,50.59%,48.68%,47.62%,46.96%,48.40%,49.38%,41.33%,53.17%,49.63%,51.47%,46.58%,46.58%,46.57%,48.35%,49.54%,47.31%,44.43%,44.40%,44.58%,43.78%,45.24%,43.28%,44.56%,30.67%,39.04%,43.25%,39.11%,39.11%,41.67%,43.30%,44.40%,42.72%,44.06%,45.70%,46.34%,47.24%,47.41%,48.59%,47.25%,37.11%,51.28%,48.07%,41.72%,46.91%,49.43%,49.79%,46.54%,46.54%,48.02%,44.63%,44.14%,42.56%,46.09%,46.02%,46.13%,41.56%,41.83%,37.74%,38.50%,38.40%,38.40%,41.41%,45.75%,45.96%,47.96%,48.02%,49.69%,49.74%,50.09%,51.00%,50.33%,80.00%,65.11%,57.33%,55.44%,59.78%,57.28%,57.28%,57.11%,57.57%,56.63%,57.59%,58.04%,56.10%,55.05%,54.06%,56.00%,44.44%,43.63%,41.94%,40.58%,40.61%,43.16%,43.16%,43.32%,44.16%,46.10%,44.79%,46.26%,45.36%,47.07%,46.91%,49.11%,49.50%,45.48%,48.33%,49.98%,45.78%,47.13%,46.83%,50.44%,50.21%,50.08%,50.08%,48.06%,49.15%,49.78%,51.40%,41.00%,31.28%,34.74%,36.47%,38.13%,42.98%,43.37%,44.54%,44.54%,47.19%,47.47%,47.80%,48.94%,48.71%,50.66%,50.07%
Carolina,44.89%,58.94%,58.94%,60.41%,62.11%,61.42%,59.65%,59.05%,57.19%,57.37%,57.12%,56.23%,56.76%,57.08%,56.19%,57.54%,58.61%,38.33%,63.33%,63.33%,57.74%,53.94%,56.24%,51.35%,51.56%,55.21%,55.70%,53.88%,55.91%,55.79%,54.63%,52.38%,51.67%,50.17%,53.96%,55.86%,52.73%,49.02%,49.02%,49.00%,48.68%,48.58%,47.56%,49.61%,49.64%,49.24%,51.02%,50.04%,47.67%,45.39%,49.11%,45.44%,46.40%,43.43%,41.94%,42.08%,42.08%,44.58%,46.28%,45.71%,44.57%,44.37%,42.75%,45.12%,62.22%,60.22%,58.11%,53.14%,49.38%,52.83%,52.83%,52.67%,53.10%,51.98%,52.02%,49.40%,51.31%,49.71%,50.49%,51.20%,23.44%,38.78%,37.74%,41.75%,44.07%,40.63%,42.57%,40.86%,40.86%,40.65%,43.28%,44.63%,44.63%,46.09%,46.52%,45.56%,45.88%,19.78%,22.72%,27.19%,27.19%,28.72%,33.18%,35.65%,36.76%,40.32%,38.38%,39.27%,38.50%,39.89%,39.19%,40.64%,41.94%,41.67%,41.11%,40.48%,40.11%,44.64%,44.64%,46.22%,48.71%,48.61%,46.77%,46.40%,45.48%,45.61%,46.31%,48.44%,47.34%,72.67%,46.89%,42.48%,47.00%,50.31%,52.89%,53.13%,52.68%,52.68%,50.78%,50.83%,51.14%,50.29%,50.85%,49.94%,33.67%,45.94%,47.00%,52.92%,49.93%,49.93%,48.48%,51.62%,48.79%,49.56%,50.20%,52.24%,50.70%,49.01%,49.66%,49.16%,45.00%,47.56%,51.48%,51.48%,49.56%,52.98%,58.91%,61.05%,62.79%,63.48%,62.70%,61.76%,59.86%,58.85%,58.83%,57.44%,28.22%,40.94%,48.44%,46.92%,46.38%,45.13%,46.41%,44.60%,45.11%,47.20%,46.66%,46.66%,46.62%,48.29%,48.18%,48.41%
Chicago,18.89%,33.00%,33.00%,45.89%,55.67%,58.18%,58.17%,58.54%,61.33%,60.73%,58.37%,59.15%,59.93%,58.05%,56.98%,59.10%,58.98%,60.00%,47.50%,47.74%,47.64%,47.64%,48.67%,51.22%,53.59%,52.15%,51.00%,49.66%,48.58%,47.30%,45.96%,45.43%,41.67%,51.06%,53.04%,53.04%,50.56%,52.09%,51.80%,48.41%,49.74%,48.51%,49.82%,50.23%,49.32%,47.11%,48.44%,48.59%,49.11%,53.06%,56.15%,58.11%,59.73%,57.30%,57.30%,57.68%,57.25%,58.84%,58.81%,59.25%,57.04%,57.56%,56.27%,54.91%,28.56%,45.11%,38.52%,45.22%,47.71%,50.67%,54.68%,50.00%,50.00%,50.98%,50.66%,48.22%,47.76%,47.94%,47.89%,47.93%,60.78%,53.33%,53.63%,48.89%,51.18%,52.96%,53.41%,53.41%,53.39%,52.65%,50.83%,51.20%,51.34%,50.60%,49.83%,49.49%,48.40%,63.33%,57.78%,49.93%,50.47%,50.47%,55.89%,54.81%,54.51%,52.46%,51.37%,51.16%,48.82%,50.06%,50.46%,48.57%,47.94%,56.89%,49.22%,43.30%,40.81%,40.09%,39.00%,44.41%,44.41%,45.43%,47.10%,49.49%,52.02%,52.83%,51.73%,52.35%,50.75%,26.89%,30.11%,34.07%,35.42%,39.13%,42.70%,44.52%,44.52%,44.86%,44.94%,44.33%,42.93%,42.72%,44.92%,44.37%,51.11%,61.22%,48.59%,48.14%,55.60%,55.60%,54.43%,50.87%,53.07%,54.69%,56.24%,56.61%,57.55%,57.85%,56.29%,56.47%,36.00%,41.33%,43.93%,46.00%,41.87%,43.59%,47.17%,47.17%,46.38%,45.70%,44.69%,46.72%,45.86%,48.23%,47.84%,47.99%,59.00%,49.28%,48.78%,47.22%,48.93%,48.09%,48.40%,50.26%,50.26%,50.47%,53.34%,53.21%,53.13%,52.99%,51.06%,51.06%
Cincinnati,36.44%,51.11%,45.22%,45.61%,44.24%,44.24%,49.33%,52.41%,48.42%,47.59%,47.43%,48.88%,46.94%,46.57%,48.44%,48.18%,49.80%,60.67%,55.33%,55.00%,60.14%,60.14%,53.91%,52.35%,48.89%,49.49%,49.70%,48.50%,49.64%,49.46%,49.87%,49.29%,65.11%,56.83%,52.22%,54.17%,57.09%,58.91%,54.87%,53.81%,54.54%,54.54%,52.52%,52.37%,52.37%,50.84%,51.97%,52.86%,42.00%,42.61%,38.07%,38.11%,38.11%,39.47%,44.06%,46.32%,44.35%,44.06%,43.21%,45.28%,45.59%,46.97%,46.54%,45.90%,46.00%,56.11%,57.41%,54.25%,54.25%,53.58%,55.39%,54.48%,52.93%,54.09%,54.07%,56.36%,55.64%,57.72%,54.60%,52.25%,30.44%,35.67%,41.63%,42.08%,44.33%,45.52%,48.65%,47.61%,47.04%,47.04%,47.90%,45.45%,44.12%,43.17%,42.77%,41.73%,42.61%,41.00%,55.06%,48.00%,38.56%,42.80%,39.91%,41.43%,41.43%,44.01%,44.36%,45.12%,47.40%,50.23%,50.28%,50.64%,51.46%,78.33%,67.67%,65.37%,59.25%,56.22%,56.22%,58.02%,53.52%,53.21%,53.74%,53.51%,52.88%,52.60%,49.45%,50.33%,50.67%,51.67%,53.67%,45.33%,46.56%,49.04%,50.85%,50.85%,48.97%,49.47%,48.94%,49.00%,49.77%,48.85%,49.49%,50.55%,54.44%,51.50%,42.44%,43.64%,46.36%,44.43%,43.89%,43.89%,44.65%,44.00%,44.51%,43.93%,43.44%,44.61%,45.31%,45.15%,64.00%,68.17%,64.56%,63.58%,62.91%,64.96%,66.16%,62.25%,64.84%,63.56%,62.83%,62.83%,62.72%,64.04%,63.99%,64.70%,43.22%,49.72%,51.78%,51.78%,44.72%,48.00%,45.24%,46.16%,50.06%,47.95%,46.86%,47.93%,48.95%,48.32%,49.10%,49.04%
Cleveland,59.78%,60.50%,49.44%,50.39%,50.51%,51.07%,51.90%,51.49%,51.49%,52.78%,52.53%,54.97%,53.06%,51.51%,49.41%,49.67%,48.19%,31.89%,32.28%,41.41%,42.83%,42.82%,47.52%,47.59%,47.59%,49.61%,48.23%,48.17%,47.33%,47.24%,46.38%,45.40%,34.89%,33.33%,38.04%,38.04%,42.75%,47.73%,45.69%,42.22%,44.86%,43.20%,47.00%,48.18%,47.10%,48.68%,48.81%,49.15%,57.33%,57.06%,44.74%,50.42%,50.29%,50.29%,47.93%,52.60%,54.28%,54.44%,54.77%,52.88%,50.61%,49.46%,51.23%,50.54%,39.11%,36.44%,31.19%,31.19%,37.58%,36.06%,36.06%,40.14%,43.50%,42.89%,41.06%,43.42%,41.84%,43.18%,42.65%,45.18%,21.89%,38.22%,42.41%,45.94%,45.94%,51.51%,49.81%,47.30%,46.60%,49.02%,48.51%,48.50%,48.92%,48.85%,47.57%,49.26%,48.81%,17.22%,27.22%,41.89%,53.86%,49.56%,50.09%,47.71%,47.67%,47.67%,50.16%,49.64%,47.84%,45.46%,44.58%,46.06%,47.87%,48.67%,45.00%,51.22%,53.19%,55.04%,55.28%,51.52%,51.52%,53.87%,49.63%,48.22%,49.63%,50.66%,50.27%,49.42%,49.92%,48.33%,54.78%,51.78%,53.03%,53.03%,48.69%,53.02%,53.11%,51.10%,51.26%,52.88%,51.94%,51.53%,50.53%,50.04%,51.67%,51.56%,53.70%,48.83%,48.44%,51.24%,48.67%,49.00%,50.22%,50.22%,49.51%,49.28%,49.76%,51.38%,50.55%,49.47%,49.67%,51.22%,53.81%,50.19%,48.84%,46.57%,44.90%,48.25%,46.84%,46.84%,46.60%,48.06%,51.13%,49.73%,50.27%,49.34%,58.44%,57.22%,60.00%,60.00%,57.81%,56.42%,52.81%,49.81%,50.60%,52.63%,51.51%,53.01%,51.81%,50.45%,49.76%,49.67%
Dallas,48.89%,60.83%,60.83%,54.93%,56.33%,57.16%,63.17%,59.84%,59.61%,58.56%,57.69%,57.23%,56.95%,57.39%,58.04%,57.70%,57.48%,34.56%,50.94%,43.30%,43.30%,47.56%,47.73%,46.65%,46.81%,46.75%,47.52%,46.09%,47.56%,46.99%,46.15%,45.43%,33.56%,38.67%,42.63%,43.92%,49.76%,53.72%,54.21%,55.69%,55.69%,55.60%,56.64%,56.41%,57.82%,56.56%,56.01%,56.52%,50.78%,51.72%,51.72%,54.59%,58.14%,59.00%,56.39%,56.46%,57.99%,57.40%,56.44%,58.10%,55.94%,56.18%,55.63%,54.83%,43.67%,41.28%,52.41%,46.47%,51.78%,50.93%,48.22%,48.22%,47.44%,46.95%,45.76%,48.81%,49.14%,49.27%,48.49%,47.85%,78.11%,66.67%,59.63%,57.17%,55.07%,56.41%,55.27%,53.35%,56.14%,56.14%,53.19%,55.13%,53.15%,52.70%,51.90%,51.25%,51.42%,35.67%,38.44%,46.93%,43.61%,43.44%,43.44%,43.74%,43.54%,45.42%,43.19%,41.98%,42.02%,43.06%,44.08%,46.84%,48.41%,44.22%,51.33%,47.15%,47.15%,53.50%,49.11%,48.31%,45.84%,42.50%,42.10%,43.30%,43.18%,43.04%,43.89%,44.30%,45.64%,52.44%,60.67%,60.81%,66.44%,66.44%,61.78%,64.33%,58.46%,56.12%,55.54%,56.24%,54.59%,54.33%,54.32%,54.60%,60.78%,55.61%,54.44%,54.14%,54.14%,61.71%,61.22%,62.98%,61.26%,60.10%,59.78%,58.52%,58.72%,57.38%,58.47%,58.53%,48.22%,58.61%,58.00%,49.14%,44.78%,40.50%,44.32%,43.82%,45.79%,46.26%,46.26%,47.66%,49.64%,47.62%,47.89%,46.74%,58.56%,53.89%,50.44%,49.44%,51.64%,52.98%,49.83%,46.89%,48.17%,47.29%,47.29%,46.96%,48.71%,48.71%,50.24%,51.10%
Denver,63.56%,57.67%,52.07%,50.97%,53.73%,51.35%,51.24%,51.36%,47.80%,47.80%,51.68%,49.98%,49.85%,50.74%,52.68%,53.27%,53.64%,41.22%,57.44%,49.33%,45.39%,47.80%,51.00%,51.63%,50.26%,51.83%,51.83%,54.68%,54.94%,52.67%,52.32%,50.65%,22.33%,35.67%,48.07%,48.75%,49.96%,50.50%,51.71%,49.60%,49.60%,51.60%,51.94%,51.39%,52.41%,52.76%,53.27%,53.76%,45.67%,52.33%,52.04%,52.04%,53.44%,48.36%,50.94%,54.84%,54.65%,53.38%,53.73%,51.87%,52.24%,52.96%,52.10%,52.84%,58.67%,53.17%,52.00%,53.25%,46.84%,46.84%,51.06%,51.05%,52.57%,49.28%,48.51%,51.02%,51.52%,53.51%,53.58%,52.47%,35.00%,28.61%,42.63%,42.75%,43.96%,46.54%,45.40%,45.40%,47.60%,45.81%,47.28%,47.03%,47.14%,49.20%,49.10%,48.15%,48.76%,59.00%,60.89%,62.52%,63.47%,64.64%,63.19%,63.19%,60.35%,56.33%,54.12%,53.31%,52.05%,52.01%,53.66%,53.92%,54.68%,38.78%,57.83%,52.44%,56.97%,51.91%,54.83%,51.59%,49.00%,49.00%,49.56%,47.07%,46.57%,44.36%,43.02%,42.75%,43.33%,34.56%,39.44%,46.74%,43.42%,38.80%,38.80%,38.30%,40.54%,42.25%,44.37%,44.48%,46.28%,45.76%,44.44%,44.25%,4.00%,15.61%,24.26%,34.83%,35.93%,37.56%,37.56%,41.60%,42.65%,42.84%,40.72%,41.34%,42.44%,43.78%,43.94%,45.39%,54.44%,51.17%,57.19%,62.69%,64.69%,63.41%,62.19%,63.38%,63.38%,61.53%,60.31%,59.07%,59.87%,60.85%,57.83%,56.41%,37.22%,35.28%,35.52%,35.52%,44.06%,44.98%,48.19%,48.00%,45.56%,47.38%,47.04%,48.27%,50.59%,50.85%,50.05%,50.16%
