Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,49.22%,38.56%,44.04%,37.83%,34.76%,37.19%,37.19%,38.08%,40.68%,43.56%,42.29%,43.06%,42.63%,43.58%,44.70%,45.07%,45.24%,50.11%,38.17%,45.85%,51.56%,51.96%,51.96%,55.80%,53.78%,54.94%,53.96%,52.99%,50.78%,49.40%,49.35%,50.47%,53.78%,56.78%,47.56%,51.36%,52.62%,52.62%,49.96%,50.16%,47.67%,46.21%,46.56%,46.65%,47.81%,46.72%,46.83%,48.79%,57.89%,53.00%,54.63%,56.36%,55.36%,58.50%,56.73%,53.71%,53.71%,50.99%,50.13%,49.63%,50.87%,51.78%,52.03%,53.44%,59.78%,55.67%,53.19%,54.11%,49.40%,48.74%,51.30%,51.30%,48.94%,49.52%,48.50%,48.09%,49.14%,48.71%,48.57%,47.32%,77.89%,64.17%,52.70%,50.64%,50.38%,53.54%,53.54%,52.14%,55.62%,54.15%,54.14%,51.89%,49.48%,49.25%,51.16%,49.81%,50.24%,27.33%,39.28%,35.48%,35.48%,31.36%,40.42%,41.52%,40.62%,40.97%,42.07%,43.03%,44.11%,45.21%,43.32%,42.98%,43.86%,32.78%,28.11%,24.56%,27.06%,32.53%,32.53%,30.46%,30.06%,30.97%,32.64%,34.71%,33.92%,35.29%,35.57%,34.94%,35.58%,40.89%,25.06%,39.52%,40.83%,39.02%,39.02%,36.35%,40.94%,42.00%,43.75%,42.64%,44.81%,44.62%,46.67%,47.60%,41.56%,44.50%,53.78%,53.39%,52.87%,52.67%,52.84%,52.58%,50.65%,50.65%,48.71%,47.48%,45.79%,44.86%,44.86%,44.43%,54.67%,52.44%,43.30%,41.75%,46.80%,43.19%,45.29%,45.90%,45.90%,47.32%,47.84%,47.72%,46.81%,49.01%,48.26%,49.73%,58.22%,51.94%,56.85%,56.85%,48.75%,51.11%,55.81%,52.95%,53.32%,53.00%,52.99%,50.72%,48.85%,48.49%,49.01%,48.47%
Atlanta,79.11%,55.83%,51.81%,52.50%,49.76%,48.30%,44.89%,44.89%,44.69%,46.00%,43.93%,42.93%,43.04%,44.12%,44.37%,45.04%,44.93%,29.67%,53.56%,48.63%,52.92%,54.62%,55.26%,52.84%,49.94%,49.94%,50.75%,50.79%,50.53%,51.51%,53.05%,52.49%,55.67%,43.94%,46.41%,46.64%,45.09%,43.80%,43.25%,43.25%,46.00%,45.36%,46.28%,46.55%,45.05%,46.44%,47.17%,46.55%,56.56%,57.22%,55.59%,51.31%,51.31%,49.58%,51.89%,56.30%,55.72%,54.02%,51.82%,50.20%,50.13%,51.56%,50.99%,50.14%,61.89%,45.00%,43.63%,48.89%,49.18%,45.93%,46.94%,46.94%,46.00%,46.67%,48.80%,48.48%,50.11%,48.79%,47.21%,48.74%,70.00%,60.11%,55.70%,51.94%,52.82%,49.69%,49.69%,49.27%,51.94%,49.16%,50.16%,48.79%,48.60%,48.76%,48.06%,47.16%,46.42%,66.33%,52.83%,44.63%,44.63%,47.00%,49.36%,46.96%,47.52%,47.24%,46.96%,48.50%,48.25%,47.95%,46.21%,47.07%,49.25%,48.11%,62.33%,64.04%,61.72%,59.33%,52.09%,52.38%,52.38%,50.26%,49.81%,50.13%,48.39%,48.10%,48.64%,48.47%,46.17%,26.22%,43.94%,43.44%,49.08%,46.60%,50.37%,53.19%,53.19%,55.92%,54.28%,54.98%,55.67%,53.55%,53.59%,54.54%,45.89%,45.56%,49.33%,49.69%,54.20%,49.69%,49.69%,47.51%,50.43%,51.40%,53.13%,54.06%,54.35%,53.92%,56.42%,57.24%,39.89%,46.28%,50.89%,50.39%,51.76%,51.76%,47.54%,47.86%,46.12%,44.36%,43.30%,43.95%,46.06%,47.57%,46.84%,47.75%,43.22%,46.94%,46.89%,45.36%,41.93%,39.44%,38.24%,37.67%,37.67%,39.83%,42.48%,43.88%,46.19%,47.36%,46.67%,47.56%
Baltimore,50.78%,51.00%,45.74%,51.75%,51.75%,51.53%,49.15%,47.89%,48.49%,49.10%,50.57%,49.58%,49.79%,49.51%,48.55%,48.82%,48.62%,40.67%,49.72%,45.04%,49.08%,56.00%,56.00%,53.19%,53.03%,51.04%,50.02%,47.70%,47.55%,47.89%,49.10%,49.67%,53.44%,51.56%,51.56%,57.33%,60.56%,63.36%,57.52%,57.78%,55.89%,52.91%,52.73%,52.62%,52.13%,52.06%,51.10%,51.81%,78.89%,71.72%,64.04%,62.03%,56.36%,51.06%,51.06%,53.78%,54.35%,54.05%,55.44%,55.06%,55.51%,57.69%,58.22%,58.04%,61.11%,47.11%,48.67%,52.67%,56.87%,52.46%,53.40%,53.40%,49.53%,46.81%,47.68%,45.75%,45.65%,46.07%,44.65%,44.73%,88.56%,88.56%,88.61%,76.63%,70.22%,63.49%,64.39%,63.29%,62.35%,61.00%,59.67%,58.26%,57.65%,58.34%,57.97%,56.96%,57.07%,55.22%,55.11%,56.37%,51.94%,52.27%,48.46%,48.46%,50.16%,48.79%,50.84%,51.84%,51.45%,50.18%,50.70%,51.25%,50.51%,66.89%,58.00%,64.59%,59.06%,60.84%,54.67%,50.56%,50.56%,53.25%,53.31%,53.39%,53.43%,52.82%,52.66%,52.02%,52.88%,50.67%,46.50%,48.19%,57.17%,57.17%,56.56%,54.43%,51.16%,52.78%,50.35%,49.12%,50.39%,52.19%,52.22%,50.69%,48.22%,55.22%,56.19%,56.58%,53.53%,50.43%,49.59%,49.59%,50.90%,48.09%,46.88%,46.67%,44.31%,44.43%,42.36%,44.02%,52.00%,64.17%,64.33%,55.56%,57.89%,54.19%,55.92%,55.92%,54.72%,53.53%,52.32%,53.70%,52.55%,54.08%,53.14%,52.66%,75.33%,72.28%,69.00%,67.19%,59.22%,57.91%,59.49%,55.53%,54.57%,56.32%,56.32%,56.26%,56.53%,57.20%,57.25%,57.51%
Buffalo,55.22%,57.89%,46.93%,51.78%,50.42%,48.69%,51.29%,51.69%,51.69%,49.32%,48.70%,46.85%,49.02%,50.21%,50.70%,50.84%,51.15%,52.00%,44.44%,44.44%,51.00%,47.19%,55.58%,56.46%,56.73%,59.18%,55.49%,53.42%,54.01%,52.98%,53.96%,55.08%,72.78%,53.72%,52.04%,45.22%,45.58%,49.30%,43.67%,45.86%,45.86%,47.22%,47.23%,46.89%,47.47%,45.01%,43.13%,44.70%,19.89%,40.83%,44.07%,45.50%,41.42%,43.63%,42.51%,42.51%,42.85%,43.17%,43.70%,45.02%,44.31%,45.97%,46.84%,45.19%,36.22%,39.39%,39.93%,44.42%,47.33%,47.33%,46.28%,47.30%,48.54%,50.11%,50.29%,52.11%,52.76%,52.54%,51.29%,51.39%,58.56%,65.06%,69.67%,65.94%,62.89%,62.89%,63.17%,58.27%,55.10%,51.11%,51.28%,51.88%,51.72%,50.14%,51.99%,51.65%,51.47%,47.89%,51.39%,49.33%,47.50%,46.20%,48.39%,50.87%,48.25%,48.25%,45.88%,44.79%,46.35%,46.06%,45.38%,46.01%,44.29%,40.56%,46.83%,41.33%,38.61%,37.47%,37.47%,43.57%,45.21%,47.50%,47.04%,46.11%,46.43%,46.40%,48.11%,46.87%,46.74%,53.78%,56.17%,50.33%,50.11%,49.38%,51.57%,51.57%,53.65%,50.11%,49.17%,48.42%,49.20%,48.87%,48.22%,49.75%,56.11%,55.94%,59.70%,57.92%,52.51%,51.81%,49.73%,49.73%,46.44%,47.05%,46.42%,48.05%,48.39%,48.21%,47.88%,49.07%,28.33%,26.06%,33.81%,43.06%,41.36%,40.74%,42.49%,41.75%,41.12%,42.07%,43.96%,43.96%,42.86%,42.42%,42.48%,44.69%,39.89%,50.61%,52.56%,46.08%,49.33%,46.13%,47.19%,47.35%,47.35%,46.86%,44.69%,44.26%,46.02%,46.90%,46.60%,45.76%
Carolina,59.56%,55.00%,55.00%,51.81%,52.67%,54.84%,52.52%,51.44%,48.01%,47.17%,48.34%,46.68%,45.34%,45.15%,44.84%,47.28%,47.40%,22.22%,37.00%,37.00%,36.07%,33.72%,43.00%,42.50%,40.32%,40.50%,41.31%,42.76%,41.39%,44.69%,46.93%,47.49%,50.78%,56.17%,53.44%,54.56%,52.11%,54.96%,54.96%,57.59%,57.40%,57.28%,57.23%,57.17%,58.36%,57.52%,57.52%,56.65%,43.44%,46.94%,49.56%,55.00%,54.51%,58.00%,53.00%,49.29%,49.29%,50.86%,54.03%,56.34%,56.13%,56.76%,54.88%,55.34%,71.00%,53.50%,55.37%,54.06%,54.93%,54.87%,54.87%,52.92%,50.68%,50.38%,48.63%,47.54%,49.71%,49.50%,50.00%,48.67%,58.89%,58.06%,50.22%,52.50%,55.20%,51.46%,53.37%,53.72%,53.72%,51.59%,49.80%,51.17%,49.19%,49.08%,50.13%,50.19%,50.98%,42.56%,51.61%,48.85%,48.85%,51.42%,56.73%,52.98%,54.67%,54.12%,54.25%,52.74%,51.90%,50.59%,49.58%,51.13%,50.57%,30.67%,47.00%,51.33%,47.75%,43.98%,43.98%,48.52%,47.14%,46.43%,45.68%,45.70%,45.64%,44.99%,44.98%,47.01%,46.47%,59.11%,65.28%,58.04%,52.22%,50.42%,47.15%,50.41%,47.43%,47.43%,45.59%,45.52%,46.71%,48.74%,48.52%,50.44%,41.67%,43.44%,42.04%,43.83%,45.73%,45.73%,44.63%,44.22%,45.53%,47.01%,47.50%,49.69%,49.22%,49.38%,50.85%,50.87%,45.56%,60.89%,65.93%,65.93%,57.69%,56.89%,57.06%,55.30%,56.64%,56.81%,55.86%,55.75%,57.69%,57.26%,55.94%,54.47%,54.78%,57.28%,47.44%,45.14%,46.61%,50.43%,52.86%,52.18%,49.46%,49.52%,48.07%,48.07%,48.04%,47.14%,48.27%,49.01%
Chicago,43.22%,33.22%,33.22%,36.00%,40.06%,41.16%,44.28%,44.73%,44.85%,45.37%,44.83%,45.83%,47.19%,48.38%,48.03%,49.20%,48.38%,40.11%,57.06%,58.74%,56.03%,56.03%,56.20%,53.33%,52.41%,52.35%,52.53%,50.98%,48.66%,50.57%,48.56%,47.86%,48.56%,52.61%,52.56%,52.56%,53.00%,54.69%,57.52%,57.02%,55.07%,55.75%,54.50%,53.16%,53.69%,51.87%,51.26%,52.67%,54.78%,61.61%,59.93%,58.56%,61.82%,55.81%,55.81%,55.30%,54.08%,55.49%,55.59%,53.61%,51.99%,49.96%,51.84%,52.16%,29.11%,34.83%,33.37%,36.25%,39.29%,36.83%,38.05%,38.47%,38.47%,38.74%,39.89%,39.89%,40.09%,40.73%,40.04%,39.24%,49.33%,46.06%,50.41%,48.03%,50.69%,53.24%,49.90%,49.90%,49.88%,49.15%,48.07%,47.70%,45.55%,45.85%,44.90%,45.34%,44.26%,65.56%,61.00%,59.22%,52.31%,52.31%,50.09%,47.56%,50.79%,51.51%,49.77%,48.86%,46.29%,46.19%,46.47%,46.13%,44.57%,66.33%,55.89%,48.63%,45.53%,50.64%,50.54%,48.52%,48.52%,47.01%,49.11%,49.54%,48.57%,49.27%,46.85%,47.27%,47.36%,73.78%,57.06%,51.00%,54.56%,56.98%,55.89%,55.95%,55.95%,56.88%,57.40%,61.24%,61.42%,60.34%,58.79%,57.29%,54.89%,46.50%,54.89%,56.17%,56.71%,56.71%,56.96%,57.14%,59.79%,58.28%,57.57%,57.68%,56.72%,55.85%,54.57%,55.04%,82.33%,57.33%,53.81%,55.33%,54.29%,56.13%,55.52%,55.52%,57.39%,56.26%,56.49%,56.85%,54.39%,54.20%,54.57%,55.36%,60.11%,46.28%,50.04%,52.39%,51.40%,54.91%,51.13%,50.08%,50.08%,49.62%,50.57%,51.14%,50.06%,50.71%,51.32%,50.13%
Cincinnati,39.00%,54.78%,49.11%,53.44%,53.76%,53.76%,55.26%,54.59%,52.90%,57.00%,55.18%,57.00%,55.81%,55.65%,55.84%,54.65%,53.08%,40.22%,44.78%,51.30%,43.89%,43.89%,44.56%,46.22%,47.70%,50.88%,48.52%,46.47%,46.72%,46.85%,46.72%,45.55%,61.44%,66.39%,60.11%,61.14%,55.11%,51.56%,47.46%,45.33%,46.67%,46.67%,47.40%,47.51%,47.02%,46.15%,46.67%,45.78%,51.22%,56.11%,51.22%,47.44%,47.44%,45.49%,50.74%,45.95%,45.42%,45.54%,45.58%,46.79%,46.19%,47.68%,47.98%,48.12%,38.89%,37.67%,43.41%,40.31%,40.31%,41.98%,43.48%,41.89%,42.00%,45.65%,47.16%,47.45%,46.67%,46.42%,46.78%,47.04%,11.44%,21.89%,33.96%,33.58%,37.64%,37.48%,39.35%,37.43%,38.86%,38.86%,39.06%,40.65%,41.35%,44.27%,46.25%,47.79%,48.00%,50.11%,48.33%,51.48%,51.11%,50.18%,46.35%,49.03%,49.03%,50.50%,52.01%,52.96%,52.68%,53.89%,52.32%,52.47%,53.96%,32.67%,41.78%,41.19%,45.83%,48.67%,48.67%,48.20%,48.54%,47.53%,50.51%,51.68%,50.38%,50.41%,49.77%,51.41%,50.60%,34.44%,49.78%,45.56%,46.81%,49.31%,50.24%,50.24%,49.79%,52.21%,51.80%,52.81%,52.76%,52.06%,50.46%,49.51%,51.78%,58.00%,51.70%,55.08%,52.36%,54.67%,51.10%,51.10%,50.31%,50.27%,51.74%,52.72%,54.35%,53.01%,55.51%,55.55%,17.67%,42.33%,37.37%,36.72%,42.29%,45.63%,45.46%,44.82%,46.53%,47.48%,48.40%,48.40%,49.71%,49.91%,49.19%,51.11%,24.67%,37.00%,44.15%,44.15%,41.39%,39.33%,38.96%,43.71%,42.46%,42.62%,44.80%,47.36%,46.81%,47.09%,49.73%,49.43%
Cleveland,57.67%,53.22%,60.30%,53.61%,59.73%,56.22%,53.05%,50.40%,50.40%,48.00%,50.11%,48.74%,47.37%,47.38%,46.51%,46.56%,48.06%,59.33%,47.94%,45.15%,53.31%,48.78%,49.44%,51.22%,51.22%,52.68%,51.53%,49.82%,49.91%,47.30%,46.30%,45.29%,38.56%,31.17%,28.81%,28.81%,33.03%,31.51%,31.69%,35.43%,38.36%,37.53%,38.38%,38.04%,39.62%,41.51%,42.28%,43.81%,40.11%,39.56%,43.48%,49.97%,49.47%,49.47%,46.56%,49.14%,48.96%,50.14%,47.10%,46.56%,47.27%,44.71%,44.01%,43.30%,11.56%,37.56%,39.59%,38.53%,36.78%,42.07%,42.07%,43.02%,44.25%,40.81%,41.19%,44.03%,43.64%,43.50%,45.03%,45.32%,31.89%,42.33%,32.00%,40.89%,40.89%,38.11%,45.15%,45.75%,45.56%,45.96%,46.09%,45.67%,46.46%,46.67%,46.73%,45.66%,45.44%,53.00%,45.06%,43.74%,45.31%,48.04%,45.00%,41.76%,40.26%,40.26%,39.43%,41.89%,42.64%,43.56%,44.27%,44.99%,44.59%,40.56%,31.22%,28.22%,31.22%,35.02%,34.54%,38.37%,38.37%,42.10%,40.88%,39.98%,41.34%,41.59%,40.80%,39.83%,39.51%,65.56%,65.17%,57.67%,58.36%,58.36%,54.69%,59.89%,58.98%,56.44%,55.60%,53.77%,53.22%,51.12%,51.47%,50.67%,23.78%,29.78%,30.78%,33.64%,34.80%,34.63%,35.46%,36.43%,36.81%,36.81%,37.32%,39.12%,41.03%,42.50%,40.69%,41.51%,47.44%,35.56%,40.26%,46.50%,50.29%,47.80%,49.17%,47.97%,48.60%,48.60%,47.98%,46.05%,44.72%,44.91%,44.60%,44.34%,43.44%,41.50%,40.19%,40.19%,44.53%,45.09%,45.07%,46.24%,48.76%,49.58%,48.38%,47.81%,46.71%,46.91%,44.70%,44.43%
Dallas,20.89%,33.61%,33.61%,46.96%,54.61%,52.07%,52.15%,48.06%,49.14%,51.42%,49.47%,51.33%,49.65%,48.96%,50.88%,51.26%,51.69%,54.00%,58.72%,59.22%,59.22%,49.72%,47.22%,46.54%,50.03%,47.14%,47.88%,50.41%,52.61%,52.40%,51.17%,50.62%,71.67%,65.00%,59.74%,54.61%,59.44%,57.76%,57.32%,56.24%,56.24%,52.84%,53.12%,53.54%,51.81%,52.73%,52.06%,52.29%,30.22%,37.50%,37.50%,45.04%,50.50%,55.38%,53.09%,56.46%,55.46%,57.16%,58.27%,60.23%,59.25%,57.10%,57.06%,54.76%,34.78%,50.78%,57.04%,62.81%,58.44%,52.35%,55.46%,55.46%,56.04%,55.38%,54.90%,57.01%,57.68%,57.20%,56.83%,57.70%,68.11%,66.33%,60.41%,48.97%,48.40%,45.44%,43.57%,45.51%,44.07%,44.07%,46.91%,49.35%,50.94%,50.57%,50.67%,51.10%,51.08%,41.22%,37.11%,43.63%,46.25%,43.82%,43.82%,47.35%,50.68%,50.46%,51.57%,52.48%,53.00%,53.86%,51.57%,51.24%,52.05%,55.11%,54.83%,55.15%,55.15%,58.44%,57.33%,53.56%,52.35%,53.39%,52.17%,53.57%,55.20%,57.70%,56.53%,55.95%,55.92%,50.67%,54.94%,55.70%,50.92%,50.92%,50.69%,52.72%,50.27%,50.07%,50.99%,49.87%,48.92%,49.63%,47.97%,48.94%,64.67%,37.28%,45.30%,43.97%,43.97%,48.20%,50.31%,49.89%,47.29%,44.95%,46.27%,45.85%,46.17%,47.47%,47.50%,46.07%,56.11%,50.33%,46.52%,51.50%,47.02%,49.02%,50.94%,48.14%,47.19%,44.83%,44.83%,45.87%,47.76%,47.79%,47.47%,49.62%,30.44%,55.61%,56.89%,59.33%,53.13%,53.85%,55.13%,53.19%,52.19%,52.16%,52.16%,50.82%,48.64%,48.09%,49.72%,49.04%
Denver,61.00%,62.67%,66.30%,63.25%,62.60%,59.52%,58.92%,59.01%,57.95%,57.95%,59.63%,58.23%,59.05%,58.15%,58.63%,60.53%,60.51%,69.78%,61.94%,56.11%,64.31%,66.11%,66.20%,63.23%,64.12%,62.86%,62.86%,60.72%,59.31%,59.61%,60.76%,60.16%,64.78%,61.06%,60.44%,60.42%,57.78%,59.78%,57.79%,58.97%,58.97%,56.33%,57.74%,56.34%,54.05%,53.64%,55.61%,55.99%,36.22%,46.83%,49.44%,49.44%,53.67%,54.53%,56.78%,54.87%,53.47%,56.83%,56.96%,55.30%,53.02%,52.62%,52.05%,51.90%,63.78%,63.11%,52.67%,44.50%,46.80%,46.80%,42.94%,43.30%,46.88%,49.54%,49.93%,50.86%,49.70%,50.09%,48.28%,48.25%,53.89%,69.00%,59.85%,58.28%,54.80%,49.02%,47.06%,47.06%,43.85%,44.62%,44.24%,42.33%,42.82%,44.36%,43.78%,44.40%,43.59%,49.89%,56.39%,59.00%,55.72%,54.58%,56.00%,56.00%,53.67%,49.83%,46.80%,45.13%,46.97%,49.46%,48.46%,48.10%,48.46%,53.56%,60.78%,61.15%,63.11%,56.89%,56.46%,54.33%,52.35%,52.35%,51.42%,50.48%,50.14%,49.14%,50.05%,49.62%,50.73%,53.44%,44.17%,45.15%,43.72%,43.07%,43.07%,45.98%,49.25%,49.51%,49.81%,49.46%,49.74%,49.62%,50.40%,49.70%,72.00%,63.39%,56.26%,58.28%,53.56%,52.83%,52.83%,54.37%,54.47%,52.99%,54.51%,55.02%,57.05%,57.62%,59.55%,58.71%,48.00%,47.67%,49.48%,51.11%,55.07%,52.91%,52.78%,52.96%,52.96%,52.57%,52.59%,52.01%,50.73%,51.53%,51.38%,50.96%,48.67%,38.00%,43.85%,43.85%,51.78%,53.29%,49.43%,51.48%,52.65%,52.60%,51.57%,52.31%,51.82%,51.11%,51.08%,51.33%
