Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,60.87%,57.61%,59.35%,59.72%,58.14%,58.65%,58.65%,58.37%,59.00%,58.22%,56.55%,56.32%,56.82%,55.96%,55.97%,56.49%,56.74%,62.07%,53.45%,62.22%,63.30%,61.54%,61.54%,61.45%,58.62%,58.55%,57.75%,57.10%,56.65%,55.44%,55.81%,56.47%,57.14%,62.24%,58.96%,61.67%,61.95%,61.95%,59.84%,58.33%,58.63%,59.32%,60.24%,60.51%,60.86%,60.87%,61.19%,61.78%,62.16%,62.67%,64.08%,62.88%,62.87%,61.72%,58.92%,56.52%,56.52%,56.05%,56.85%,57.36%,57.66%,57.96%,57.91%,58.48%,50.00%,56.92%,58.10%,58.57%,56.91%,56.52%,58.23%,58.23%,55.56%,57.59%,57.56%,59.29%,59.34%,59.49%,59.72%,60.44%,63.33%,69.64%,64.37%,66.67%,69.35%,69.91%,69.91%,70.04%,69.67%,70.47%,70.73%,69.63%,68.34%,68.63%,68.21%,66.55%,66.35%,59.09%,69.74%,65.38%,65.38%,66.07%,68.72%,66.80%,65.53%,65.64%,66.76%,67.51%,67.52%,67.61%,66.87%,66.48%,66.25%,53.66%,54.05%,52.00%,52.34%,54.14%,54.14%,51.05%,52.61%,53.31%,52.98%,53.16%,52.48%,51.46%,50.44%,50.52%,50.20%,66.67%,61.40%,62.50%,61.54%,57.87%,57.87%,57.08%,56.22%,56.34%,55.84%,54.23%,54.10%,54.73%,55.71%,56.22%,55.56%,55.56%,59.77%,60.00%,58.92%,56.56%,58.37%,58.90%,57.75%,57.75%,56.54%,56.91%,55.27%,54.76%,55.24%,55.40%,65.00%,61.25%,58.26%,57.52%,59.12%,59.46%,60.67%,61.40%,61.40%,61.51%,62.67%,63.22%,62.79%,64.26%,64.40%,63.81%,64.86%,57.58%,57.00%,57.00%,51.49%,54.49%,56.94%,55.38%,56.49%,57.98%,58.66%,58.33%,58.63%,58.06%,57.76%,56.25%
Atlanta,59.26%,50.79%,53.19%,54.70%,58.23%,55.91%,52.56%,52.56%,53.09%,51.88%,49.83%,50.77%,50.82%,50.50%,49.65%,49.77%,50.00%,59.09%,65.85%,60.66%,59.49%,60.91%,60.31%,56.41%,59.12%,59.12%,58.38%,58.53%,58.13%,56.52%,56.90%,55.38%,52.17%,53.49%,54.29%,53.26%,53.17%,52.35%,50.86%,50.86%,53.88%,55.51%,55.47%,55.41%,54.68%,54.49%,53.35%,53.86%,45.45%,52.63%,46.38%,49.45%,49.45%,50.00%,52.03%,54.86%,54.59%,52.02%,52.04%,50.85%,50.81%,51.51%,52.63%,52.23%,71.88%,67.31%,68.75%,71.20%,65.24%,61.58%,62.30%,62.30%,61.71%,62.84%,63.27%,61.93%,61.25%,60.93%,59.88%,60.42%,69.23%,47.83%,53.12%,52.38%,54.20%,57.76%,57.76%,56.59%,58.59%,59.60%,59.72%,60.00%,60.96%,62.02%,62.21%,61.74%,61.06%,61.11%,68.25%,65.93%,65.93%,66.67%,64.74%,62.83%,59.66%,60.70%,59.73%,59.30%,59.02%,58.33%,59.01%,58.20%,57.76%,61.36%,63.16%,63.21%,62.42%,61.58%,60.27%,61.90%,61.90%,62.50%,62.72%,63.13%,64.69%,63.49%,63.16%,62.75%,62.15%,65.96%,64.00%,60.66%,62.20%,61.22%,61.47%,60.87%,60.87%,60.65%,59.88%,60.66%,62.28%,60.32%,60.13%,61.06%,74.19%,70.15%,71.96%,69.39%,68.34%,67.80%,67.80%,68.68%,68.90%,68.38%,67.51%,68.53%,67.53%,67.71%,68.46%,69.00%,65.79%,71.60%,68.07%,66.47%,69.41%,69.41%,70.20%,67.32%,67.87%,67.48%,66.26%,67.18%,66.47%,65.85%,66.55%,67.37%,72.09%,63.22%,68.70%,66.67%,66.17%,63.87%,64.18%,65.05%,65.05%,65.00%,65.45%,65.19%,65.88%,65.55%,65.87%,66.50%
Baltimore,51.16%,47.54%,50.00%,51.85%,51.85%,51.59%,52.29%,52.78%,51.72%,51.69%,52.11%,52.35%,52.63%,52.05%,51.49%,51.80%,52.29%,57.89%,57.14%,58.11%,58.24%,56.88%,56.88%,56.25%,57.83%,57.65%,57.64%,58.71%,56.86%,56.93%,56.56%,55.66%,62.96%,62.11%,62.11%,63.79%,61.44%,63.59%,62.50%,61.54%,61.51%,61.11%,60.83%,60.46%,59.76%,59.57%,60.16%,60.84%,62.96%,55.00%,55.45%,55.73%,56.36%,56.00%,56.00%,57.85%,59.06%,59.47%,60.60%,61.88%,61.73%,62.73%,62.14%,62.50%,55.00%,60.00%,65.18%,64.85%,65.38%,64.71%,63.64%,63.64%,62.42%,62.94%,61.94%,62.08%,62.24%,62.96%,62.17%,61.32%,51.72%,51.72%,58.33%,55.70%,58.49%,62.50%,64.07%,62.50%,61.99%,62.45%,62.23%,60.86%,61.38%,60.56%,59.01%,59.56%,60.28%,60.47%,62.86%,65.42%,62.99%,64.32%,64.47%,64.47%,66.01%,64.91%,65.13%,65.19%,65.24%,63.17%,63.28%,63.73%,63.14%,52.63%,48.05%,55.05%,57.53%,57.31%,60.68%,59.49%,59.49%,61.13%,61.54%,62.65%,63.49%,62.50%,62.82%,62.25%,62.29%,58.62%,52.46%,54.13%,49.29%,49.29%,51.45%,52.13%,53.82%,54.69%,54.97%,55.53%,56.07%,55.40%,56.65%,57.48%,71.88%,60.81%,64.60%,63.52%,61.29%,61.79%,59.61%,59.61%,59.86%,60.06%,60.29%,60.10%,59.07%,59.87%,59.06%,59.77%,54.84%,58.95%,60.50%,57.40%,57.71%,57.87%,59.48%,59.48%,59.35%,58.96%,58.62%,58.91%,59.68%,59.30%,58.82%,58.52%,56.45%,61.54%,61.48%,63.40%,62.30%,63.64%,63.67%,62.01%,62.65%,62.39%,62.39%,63.20%,63.05%,64.01%,64.18%,62.04%
Buffalo,60.71%,67.27%,58.02%,59.68%,58.49%,58.50%,60.18%,60.98%,60.98%,59.73%,59.57%,59.09%,59.33%,59.35%,59.16%,58.82%,58.37%,65.38%,60.78%,60.78%,60.49%,59.09%,57.97%,57.47%,56.54%,57.01%,55.79%,56.39%,57.89%,58.38%,57.14%,56.60%,60.71%,51.67%,49.40%,49.04%,54.62%,57.05%,59.02%,59.26%,59.26%,59.24%,58.76%,58.42%,57.88%,56.30%,56.89%,58.39%,65.22%,63.41%,60.00%,63.39%,61.15%,61.27%,61.62%,61.62%,61.03%,61.33%,62.36%,63.57%,62.80%,62.97%,63.26%,62.63%,66.67%,63.04%,59.70%,65.26%,67.46%,67.46%,65.31%,65.32%,66.35%,64.94%,64.20%,64.65%,64.26%,63.20%,61.18%,59.52%,64.52%,71.43%,67.37%,65.83%,67.36%,67.36%,70.11%,68.42%,68.44%,67.42%,66.89%,67.69%,66.39%,65.13%,64.80%,64.98%,64.51%,60.00%,64.29%,61.96%,60.17%,58.39%,56.98%,56.22%,57.14%,57.14%,57.31%,57.39%,58.04%,56.76%,56.94%,57.62%,57.69%,52.94%,55.77%,61.25%,57.01%,59.12%,59.12%,61.11%,58.77%,59.14%,58.42%,58.75%,57.85%,57.99%,58.14%,58.33%,57.61%,65.38%,62.50%,64.29%,63.01%,65.32%,66.01%,66.01%,67.39%,65.13%,65.07%,62.80%,63.20%,63.18%,61.35%,61.78%,56.25%,54.90%,58.14%,57.60%,58.28%,57.61%,60.73%,60.73%,61.48%,62.29%,62.35%,61.34%,60.96%,62.16%,61.56%,61.24%,66.67%,68.18%,59.26%,56.92%,54.71%,55.45%,56.84%,56.78%,55.45%,55.56%,56.73%,56.73%,56.69%,56.53%,57.27%,57.40%,72.73%,66.67%,62.50%,57.58%,60.57%,61.03%,62.89%,62.64%,62.64%,62.31%,61.67%,62.76%,62.17%,62.71%,62.13%,62.41%
Carolina,53.33%,47.17%,47.17%,52.50%,55.34%,56.10%,58.14%,56.28%,56.31%,57.09%,58.10%,56.31%,56.80%,56.47%,56.96%,59.07%,58.70%,57.50%,56.52%,56.52%,57.94%,59.06%,58.58%,56.59%,56.02%,55.94%,55.94%,55.33%,55.98%,57.43%,57.14%,58.01%,61.29%,52.63%,53.26%,56.90%,57.93%,58.76%,58.76%,60.10%,60.18%,59.35%,58.95%,60.26%,60.47%,60.75%,60.81%,59.67%,53.85%,52.78%,55.56%,57.66%,59.64%,60.00%,59.83%,59.26%,59.26%,59.87%,59.09%,59.24%,59.26%,58.80%,59.01%,58.98%,66.67%,66.18%,64.44%,58.78%,58.67%,59.02%,59.02%,59.65%,58.85%,57.44%,56.75%,56.08%,56.70%,55.40%,56.29%,56.13%,56.10%,56.45%,57.14%,60.00%,60.56%,58.56%,59.11%,60.61%,60.61%,56.98%,56.68%,57.05%,57.75%,58.45%,58.93%,58.88%,59.42%,41.18%,52.00%,56.48%,56.48%,57.89%,57.33%,58.25%,57.42%,57.32%,57.79%,56.07%,54.57%,55.43%,55.01%,55.69%,56.56%,40.00%,42.19%,44.33%,45.76%,45.33%,45.33%,50.26%,52.19%,51.52%,51.88%,51.40%,51.86%,51.96%,52.45%,53.16%,52.67%,64.86%,62.65%,59.83%,59.51%,58.25%,58.52%,60.32%,60.63%,60.63%,60.24%,60.00%,60.97%,60.87%,59.82%,59.75%,69.70%,69.81%,65.12%,63.96%,59.29%,59.29%,58.76%,57.41%,57.32%,57.45%,57.24%,57.83%,57.66%,58.38%,58.31%,58.55%,69.57%,60.66%,59.09%,59.09%,57.48%,60.78%,63.53%,64.85%,64.44%,62.73%,63.21%,61.72%,61.75%,62.00%,62.26%,62.11%,70.59%,67.65%,68.81%,66.43%,64.04%,63.84%,62.74%,62.11%,59.74%,60.06%,60.26%,60.26%,59.53%,59.83%,60.04%,59.92%
Chicago,41.18%,49.12%,49.12%,52.48%,52.80%,52.05%,52.78%,54.50%,56.43%,56.51%,55.81%,54.79%,55.26%,54.01%,53.29%,53.70%,52.62%,45.71%,49.06%,54.02%,56.15%,56.15%,54.61%,53.89%,53.66%,52.21%,50.39%,51.08%,50.81%,51.62%,51.61%,51.35%,53.57%,60.00%,52.81%,52.81%,54.78%,56.43%,55.62%,55.50%,54.42%,54.58%,54.89%,54.42%,53.38%,52.89%,52.15%,51.90%,70.37%,72.73%,65.62%,62.99%,62.66%,57.95%,57.95%,60.79%,57.99%,58.19%,57.63%,56.34%,55.08%,55.16%,56.24%,56.38%,52.17%,56.14%,52.22%,57.04%,57.48%,57.55%,58.89%,58.36%,58.36%,58.57%,59.22%,58.57%,58.12%,57.99%,57.98%,58.04%,61.90%,60.38%,62.07%,59.50%,61.94%,61.62%,62.17%,62.17%,60.84%,60.00%,59.16%,59.28%,57.69%,57.78%,57.85%,57.52%,57.66%,47.22%,59.46%,64.36%,64.34%,64.34%,63.95%,64.93%,63.90%,63.54%,62.35%,61.62%,62.56%,62.03%,62.17%,60.57%,60.34%,65.71%,68.75%,65.93%,64.10%,61.03%,57.14%,58.60%,58.60%,58.37%,58.93%,59.34%,59.82%,61.36%,60.32%,60.20%,59.72%,68.75%,53.25%,54.39%,54.20%,58.58%,60.00%,59.05%,59.05%,58.71%,57.75%,57.59%,56.82%,56.12%,56.46%,55.71%,60.00%,51.61%,52.69%,57.27%,57.69%,57.69%,56.91%,58.33%,59.92%,59.27%,59.60%,60.98%,61.30%,60.20%,60.05%,59.25%,63.64%,67.61%,67.33%,64.19%,65.75%,65.90%,65.31%,65.31%,63.64%,62.39%,62.30%,63.92%,63.92%,64.74%,65.12%,64.50%,69.39%,68.67%,66.12%,66.03%,68.23%,68.26%,67.42%,66.56%,66.56%,65.49%,66.23%,66.01%,65.86%,66.20%,65.54%,65.10%
Cincinnati,54.05%,57.69%,59.80%,63.16%,62.15%,62.15%,61.76%,61.70%,60.81%,61.54%,61.33%,61.52%,61.10%,62.04%,62.58%,62.14%,62.38%,66.67%,60.00%,54.70%,54.55%,54.55%,54.74%,54.98%,55.06%,56.27%,56.92%,56.56%,58.06%,60.05%,61.12%,60.38%,76.47%,71.62%,71.13%,71.76%,70.73%,72.59%,70.39%,69.66%,69.97%,69.97%,69.49%,69.81%,68.67%,67.37%,67.73%,67.98%,68.42%,62.71%,64.71%,62.50%,62.50%,63.06%,62.24%,62.93%,61.24%,63.00%,63.04%,64.61%,64.69%,65.23%,64.27%,63.30%,62.50%,64.63%,64.00%,63.12%,63.12%,62.56%,62.95%,64.31%,64.63%,64.94%,65.79%,67.46%,64.72%,65.17%,64.94%,64.46%,37.50%,49.02%,57.78%,58.40%,58.54%,58.88%,59.32%,59.70%,60.54%,60.54%,61.22%,60.53%,58.60%,59.33%,59.07%,59.01%,59.06%,63.64%,64.29%,60.22%,57.66%,57.74%,59.11%,61.67%,61.67%,61.54%,61.38%,61.54%,61.01%,60.82%,60.56%,61.20%,61.57%,68.00%,58.82%,56.56%,59.49%,59.28%,59.28%,61.89%,59.57%,59.75%,61.39%,61.21%,59.63%,60.34%,60.48%,60.50%,61.10%,55.56%,61.76%,59.00%,56.62%,57.99%,61.19%,61.19%,61.30%,60.59%,59.53%,58.55%,59.31%,58.37%,58.29%,58.26%,59.46%,67.65%,68.75%,67.72%,65.88%,66.20%,64.34%,64.34%,63.99%,64.56%,64.35%,63.47%,63.53%,63.45%,62.58%,62.26%,78.79%,65.38%,66.98%,63.51%,65.14%,65.12%,65.86%,65.59%,64.76%,62.40%,61.56%,61.56%,61.52%,62.05%,61.60%,62.25%,65.79%,66.13%,65.91%,65.91%,64.96%,68.12%,64.14%,65.49%,64.98%,60.81%,61.64%,62.32%,62.99%,63.70%,63.41%,63.52%
Cleveland,68.97%,56.06%,59.62%,60.71%,63.64%,63.35%,61.70%,61.62%,61.62%,62.42%,64.56%,63.66%,63.99%,63.84%,62.66%,61.91%,61.49%,62.50%,44.23%,53.01%,55.77%,53.62%,55.90%,57.51%,57.51%,57.53%,56.56%,56.09%,58.71%,58.55%,57.65%,56.35%,60.47%,62.67%,66.35%,66.35%,66.67%,64.29%,63.10%,61.32%,60.16%,58.93%,58.90%,59.42%,59.73%,60.15%,60.57%,59.78%,59.26%,60.00%,61.29%,63.20%,62.50%,62.50%,61.69%,62.33%,61.80%,62.63%,62.66%,62.61%,63.06%,62.50%,63.03%,61.43%,44.74%,52.11%,50.93%,51.59%,51.48%,54.12%,54.12%,56.16%,56.93%,55.63%,56.47%,57.60%,56.97%,56.85%,55.86%,56.29%,45.83%,51.79%,46.24%,49.57%,49.57%,52.05%,49.18%,49.52%,49.79%,51.80%,50.32%,49.42%,49.87%,49.88%,49.11%,49.36%,48.77%,60.00%,59.09%,60.22%,58.16%,53.16%,50.54%,49.30%,48.07%,48.07%,47.35%,49.33%,48.95%,49.74%,48.87%,49.16%,49.07%,55.26%,53.62%,59.14%,59.35%,60.49%,62.05%,61.79%,61.79%,62.77%,62.21%,62.07%,62.58%,63.33%,63.16%,63.95%,63.22%,47.50%,56.94%,54.05%,58.14%,58.14%,55.76%,55.95%,56.99%,57.47%,58.81%,59.61%,58.52%,57.81%,57.42%,57.46%,34.29%,52.78%,56.52%,53.89%,55.45%,55.84%,56.62%,55.18%,55.06%,55.06%,55.26%,55.92%,57.04%,57.02%,57.23%,57.30%,49.06%,53.33%,54.48%,56.83%,56.40%,57.09%,54.73%,55.42%,56.37%,56.37%,55.29%,54.93%,55.32%,56.15%,56.33%,55.62%,61.29%,59.72%,63.92%,63.92%,61.94%,60.26%,55.73%,57.27%,57.87%,58.48%,55.66%,55.71%,56.16%,55.38%,55.29%,54.95%
Dallas,46.88%,55.56%,55.56%,53.68%,56.35%,56.58%,58.66%,58.82%,57.81%,56.30%,56.21%,57.43%,57.69%,57.97%,57.08%,57.54%,57.53%,56.86%,60.47%,57.76%,57.76%,58.16%,59.32%,60.09%,62.03%,61.80%,62.63%,61.85%,60.97%,60.26%,58.43%,58.35%,75.00%,65.00%,64.29%,59.20%,61.25%,62.94%,61.99%,63.67%,63.67%,64.31%,63.36%,63.69%,61.07%,61.37%,60.96%,61.17%,48.48%,49.30%,49.30%,52.75%,51.16%,53.46%,54.08%,56.03%,57.46%,58.59%,60.31%,61.60%,61.36%,60.34%,61.35%,60.55%,62.50%,54.72%,57.95%,59.50%,59.06%,59.50%,62.76%,62.76%,64.39%,65.07%,65.43%,66.19%,65.97%,67.37%,64.94%,65.08%,75.00%,72.58%,66.67%,64.29%,63.80%,63.68%,61.70%,61.19%,60.34%,60.34%,61.18%,60.94%,61.27%,60.56%,60.95%,60.28%,59.96%,59.26%,51.79%,57.30%,58.02%,58.18%,58.18%,60.31%,60.00%,60.23%,60.40%,60.00%,60.17%,62.08%,62.16%,62.34%,62.60%,64.58%,65.66%,68.22%,68.22%,68.00%,69.08%,66.40%,66.89%,66.56%,66.09%,66.67%,67.15%,67.27%,67.37%,67.38%,67.03%,63.89%,62.03%,61.74%,64.81%,64.81%,65.02%,64.32%,62.60%,62.46%,64.58%,64.33%,64.36%,64.58%,64.79%,65.52%,75.86%,65.22%,64.81%,68.32%,68.32%,68.53%,68.83%,66.55%,67.07%,67.51%,67.82%,66.74%,67.55%,66.79%,67.13%,66.67%,73.47%,72.53%,72.17%,72.37%,71.81%,70.18%,68.30%,66.10%,66.19%,64.59%,64.59%,64.22%,64.77%,64.30%,63.94%,63.89%,62.16%,63.64%,67.42%,69.49%,69.18%,68.59%,69.16%,68.15%,66.55%,67.31%,67.31%,67.46%,67.03%,67.95%,68.17%,69.23%
Denver,48.00%,51.85%,56.00%,61.47%,59.46%,59.66%,59.15%,58.20%,56.63%,56.63%,57.64%,57.14%,57.03%,57.89%,58.16%,59.07%,58.46%,62.07%,60.29%,63.46%,58.52%,58.54%,58.15%,58.04%,57.71%,58.42%,58.42%,59.04%,59.15%,57.22%,56.94%,56.87%,45.83%,52.94%,56.31%,59.69%,56.13%,58.10%,58.65%,59.26%,59.26%,60.38%,61.17%,61.27%,61.34%,61.01%,60.39%,60.72%,50.00%,51.79%,51.16%,51.16%,51.82%,53.12%,52.07%,53.16%,53.92%,55.24%,54.35%,55.56%,55.06%,55.19%,56.17%,55.95%,58.97%,63.89%,65.26%,64.66%,64.47%,64.47%,66.30%,65.58%,65.28%,64.19%,64.98%,64.08%,62.89%,63.64%,64.13%,62.76%,64.00%,69.33%,66.97%,64.56%,65.10%,63.76%,63.95%,63.95%,62.17%,61.56%,62.20%,60.49%,60.71%,62.27%,62.36%,61.82%,62.26%,60.71%,55.38%,55.68%,58.97%,63.03%,63.92%,63.92%,63.64%,63.20%,61.33%,60.36%,60.66%,60.62%,61.59%,61.17%,61.55%,63.64%,67.65%,66.40%,67.43%,66.20%,62.75%,60.51%,61.71%,61.71%,62.11%,62.21%,61.86%,60.04%,58.92%,58.64%,58.46%,52.17%,54.93%,57.27%,59.44%,57.23%,57.23%,55.96%,54.31%,53.54%,52.67%,51.94%,51.83%,52.53%,52.53%,52.24%,73.08%,68.25%,60.00%,64.29%,65.66%,67.54%,67.54%,68.22%,69.28%,69.49%,68.36%,67.56%,67.86%,68.18%,67.77%,67.93%,64.29%,67.06%,72.95%,74.84%,75.62%,74.07%,71.58%,71.13%,71.13%,70.97%,69.90%,68.53%,68.12%,67.90%,67.75%,67.35%,61.11%,69.35%,66.67%,66.67%,66.46%,66.49%,68.35%,68.77%,67.10%,67.13%,66.59%,67.63%,66.39%,66.53%,66.41%,66.20%
