Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,33.33%,42.86%,50.00%,33.33%,31.25%,38.89%,38.89%,38.10%,32.00%,35.71%,35.48%,37.50%,38.24%,40.54%,42.50%,44.19%,50.00%,100.00%,85.71%,56.25%,55.00%,56.00%,56.00%,55.56%,54.84%,54.29%,56.76%,59.52%,55.32%,55.32%,56.00%,53.57%,--,50.00%,50.00%,42.86%,43.75%,43.75%,45.00%,47.83%,44.00%,44.44%,46.88%,45.45%,45.71%,39.02%,40.00%,41.67%,80.00%,72.73%,62.50%,57.89%,60.87%,59.26%,61.76%,62.86%,62.86%,58.97%,60.00%,58.70%,57.45%,58.82%,58.93%,58.62%,66.67%,60.00%,57.14%,38.46%,46.67%,47.37%,50.00%,50.00%,50.00%,48.28%,48.39%,45.71%,50.00%,50.00%,51.06%,52.08%,80.00%,71.43%,62.50%,46.15%,56.25%,45.45%,45.45%,46.15%,48.28%,50.00%,48.57%,48.65%,51.22%,53.49%,54.35%,55.10%,54.72%,66.67%,58.33%,56.25%,56.25%,50.00%,47.62%,48.00%,48.15%,50.00%,50.00%,43.75%,47.06%,45.71%,41.86%,40.43%,41.18%,44.44%,54.55%,40.00%,41.18%,52.17%,52.17%,46.43%,51.61%,51.52%,50.00%,50.00%,47.22%,48.65%,54.55%,55.32%,53.85%,50.00%,50.00%,62.50%,66.67%,66.67%,66.67%,66.67%,66.67%,70.00%,66.67%,62.50%,64.29%,60.00%,59.38%,60.61%,50.00%,33.33%,55.56%,73.33%,68.75%,70.59%,68.42%,68.42%,65.22%,65.22%,61.54%,59.26%,60.71%,54.55%,57.14%,57.50%,66.67%,71.43%,75.00%,72.73%,75.00%,64.71%,65.22%,66.67%,66.67%,62.96%,64.29%,65.52%,60.61%,57.14%,56.41%,56.10%,0.00%,40.00%,33.33%,33.33%,42.86%,60.00%,63.64%,61.54%,64.29%,68.75%,61.11%,65.00%,61.90%,65.22%,62.96%,62.07%
Atlanta,66.67%,66.67%,62.50%,58.33%,55.56%,50.00%,50.00%,50.00%,48.00%,50.00%,50.00%,50.00%,48.84%,47.92%,49.02%,48.15%,50.00%,100.00%,100.00%,76.92%,75.00%,65.00%,59.09%,58.33%,53.57%,53.57%,53.57%,54.84%,51.52%,47.22%,50.00%,48.94%,50.00%,62.50%,60.00%,57.14%,57.14%,60.00%,66.67%,66.67%,60.00%,55.88%,52.78%,52.50%,51.22%,53.49%,52.27%,52.17%,50.00%,57.14%,66.67%,66.67%,66.67%,64.71%,66.67%,70.83%,65.38%,65.52%,66.67%,67.74%,67.74%,69.44%,63.41%,61.90%,50.00%,33.33%,20.00%,37.50%,54.55%,58.33%,66.67%,66.67%,64.71%,60.00%,57.69%,53.57%,50.00%,53.12%,51.43%,50.00%,0.00%,75.00%,42.86%,42.86%,55.56%,54.55%,54.55%,53.85%,50.00%,47.06%,47.06%,44.44%,36.36%,39.13%,42.31%,47.06%,45.71%,100.00%,71.43%,66.67%,66.67%,71.43%,66.67%,65.22%,69.23%,69.23%,66.67%,62.07%,59.38%,58.82%,57.14%,55.56%,58.97%,--,0.00%,25.00%,28.57%,27.27%,25.00%,26.67%,26.67%,26.67%,29.41%,29.41%,31.82%,31.82%,34.78%,40.74%,37.93%,0.00%,25.00%,20.00%,20.00%,27.27%,23.08%,26.67%,26.67%,31.25%,38.89%,36.84%,38.10%,40.91%,43.48%,50.00%,100.00%,100.00%,100.00%,77.78%,70.00%,75.00%,75.00%,66.67%,68.75%,68.75%,68.42%,65.00%,61.90%,59.09%,60.87%,64.00%,50.00%,50.00%,40.00%,42.86%,44.44%,44.44%,41.67%,38.46%,33.33%,35.29%,33.33%,31.58%,33.33%,34.62%,45.45%,45.45%,50.00%,50.00%,54.55%,54.55%,64.29%,66.67%,64.71%,63.64%,63.64%,65.22%,62.50%,55.56%,57.14%,55.17%,56.67%,58.82%
Baltimore,66.67%,58.33%,61.54%,53.33%,53.33%,47.06%,43.48%,42.31%,41.94%,42.11%,41.03%,44.44%,45.83%,49.09%,48.28%,50.79%,51.52%,50.00%,66.67%,66.67%,70.00%,66.67%,66.67%,64.29%,61.11%,54.55%,52.00%,50.00%,45.45%,47.22%,53.49%,53.33%,50.00%,50.00%,50.00%,40.00%,25.00%,41.67%,46.67%,44.44%,41.67%,41.67%,42.31%,50.00%,46.34%,46.67%,50.00%,50.00%,100.00%,77.78%,81.82%,58.82%,60.00%,60.87%,60.87%,61.54%,62.07%,58.06%,56.25%,55.88%,54.29%,55.26%,51.22%,51.16%,42.86%,44.44%,45.45%,38.46%,35.71%,41.18%,42.11%,42.11%,39.13%,31.03%,31.25%,31.43%,30.56%,28.95%,28.21%,26.19%,33.33%,33.33%,40.00%,45.45%,45.45%,41.18%,42.11%,40.00%,42.86%,45.45%,47.83%,52.00%,51.72%,50.00%,52.63%,53.33%,55.10%,33.33%,50.00%,42.86%,40.00%,38.46%,46.67%,46.67%,52.94%,57.89%,55.00%,54.55%,52.00%,51.72%,48.39%,51.43%,50.00%,20.00%,28.57%,25.00%,27.27%,33.33%,38.46%,38.89%,38.89%,36.36%,37.50%,36.67%,38.71%,38.24%,38.89%,36.84%,41.46%,100.00%,83.33%,72.73%,63.16%,63.16%,54.55%,50.00%,48.39%,50.00%,45.95%,48.78%,47.62%,46.51%,42.55%,42.86%,66.67%,66.67%,62.50%,66.67%,61.54%,61.54%,60.00%,60.00%,56.25%,61.11%,65.22%,66.67%,62.96%,59.38%,58.33%,58.33%,75.00%,60.00%,66.67%,50.00%,41.67%,41.18%,47.37%,47.37%,47.62%,43.48%,44.44%,46.43%,48.28%,48.48%,50.00%,48.57%,50.00%,75.00%,60.00%,57.14%,53.85%,46.67%,47.06%,50.00%,50.00%,52.00%,52.00%,48.15%,51.72%,48.39%,46.88%,47.06%
Buffalo,50.00%,75.00%,80.00%,60.00%,62.50%,55.56%,52.17%,50.00%,50.00%,48.28%,45.45%,47.22%,50.00%,50.00%,48.94%,47.27%,46.55%,33.33%,33.33%,33.33%,42.86%,50.00%,35.71%,37.50%,40.00%,45.45%,43.48%,46.15%,48.15%,48.39%,50.00%,54.17%,100.00%,100.00%,75.00%,71.43%,68.75%,68.42%,60.87%,61.54%,61.54%,56.67%,54.29%,55.26%,53.66%,53.66%,53.33%,55.32%,80.00%,57.14%,44.44%,41.67%,43.75%,35.00%,32.00%,32.00%,39.29%,46.88%,45.71%,50.00%,47.83%,46.94%,45.28%,44.44%,50.00%,66.67%,60.00%,50.00%,55.56%,55.56%,54.55%,50.00%,50.00%,55.56%,52.38%,52.17%,53.85%,50.00%,50.00%,51.06%,50.00%,25.00%,37.50%,45.45%,35.71%,35.71%,43.75%,43.48%,44.44%,46.43%,46.67%,52.78%,50.00%,53.19%,54.90%,56.60%,55.56%,66.67%,40.00%,42.86%,36.36%,30.77%,25.00%,29.41%,36.84%,36.84%,36.36%,37.04%,39.29%,39.39%,35.14%,40.00%,37.21%,100.00%,33.33%,60.00%,37.50%,53.85%,53.85%,55.56%,61.90%,60.87%,59.26%,60.71%,62.50%,56.76%,54.55%,54.35%,50.00%,100.00%,100.00%,100.00%,80.00%,83.33%,85.71%,85.71%,66.67%,57.14%,50.00%,57.14%,59.09%,53.85%,55.56%,62.50%,0.00%,42.86%,30.00%,37.50%,38.89%,36.84%,33.33%,33.33%,31.82%,32.00%,39.29%,40.00%,38.24%,36.84%,35.90%,31.82%,60.00%,50.00%,55.56%,61.54%,53.33%,50.00%,57.89%,56.52%,52.00%,51.85%,53.33%,53.33%,54.29%,52.63%,53.49%,54.17%,100.00%,100.00%,100.00%,85.71%,76.92%,66.67%,55.56%,58.33%,58.33%,51.72%,54.84%,54.84%,55.88%,56.76%,56.41%,56.10%
Carolina,100.00%,85.71%,85.71%,72.73%,64.29%,68.42%,52.00%,55.17%,56.67%,57.58%,55.26%,53.85%,53.66%,54.35%,53.06%,53.85%,53.70%,33.33%,60.00%,60.00%,50.00%,55.56%,55.56%,60.00%,53.85%,53.33%,47.37%,41.67%,42.86%,45.16%,47.22%,48.89%,50.00%,62.50%,54.55%,53.85%,53.33%,59.09%,59.09%,59.09%,64.00%,64.29%,67.74%,64.71%,65.71%,66.67%,66.67%,64.44%,50.00%,40.00%,33.33%,36.36%,41.67%,40.00%,40.00%,42.11%,42.11%,45.45%,53.57%,48.39%,47.06%,44.74%,44.74%,46.15%,60.00%,55.56%,63.64%,60.00%,64.71%,61.90%,61.90%,57.69%,58.06%,58.82%,56.76%,56.41%,55.81%,54.35%,54.90%,52.83%,50.00%,75.00%,50.00%,50.00%,45.45%,41.67%,46.15%,47.06%,47.06%,40.91%,42.31%,44.44%,46.67%,45.16%,46.88%,45.71%,47.22%,25.00%,42.86%,44.44%,44.44%,50.00%,40.91%,39.13%,40.00%,40.62%,42.42%,40.00%,43.24%,42.11%,45.00%,50.00%,51.02%,50.00%,50.00%,36.36%,40.00%,52.63%,52.63%,50.00%,48.00%,44.44%,46.67%,50.00%,48.72%,50.00%,48.78%,47.73%,48.94%,50.00%,50.00%,22.22%,30.00%,36.36%,46.15%,56.25%,52.38%,52.38%,52.17%,54.17%,50.00%,50.00%,48.15%,48.28%,100.00%,50.00%,28.57%,40.00%,50.00%,50.00%,50.00%,60.00%,60.00%,64.00%,62.96%,64.52%,65.62%,66.67%,64.10%,62.50%,50.00%,60.00%,57.14%,57.14%,50.00%,44.44%,50.00%,47.06%,52.63%,56.52%,58.33%,58.33%,60.00%,57.69%,59.26%,59.26%,50.00%,57.14%,50.00%,50.00%,47.37%,47.37%,45.00%,50.00%,46.67%,42.86%,44.44%,44.44%,42.11%,46.34%,48.98%,49.02%
Chicago,33.33%,45.45%,45.45%,45.45%,46.15%,42.86%,50.00%,50.00%,51.85%,50.00%,51.61%,50.00%,50.00%,46.15%,46.34%,47.73%,47.73%,33.33%,50.00%,50.00%,46.15%,46.15%,46.15%,50.00%,45.00%,46.15%,46.88%,43.24%,43.90%,45.45%,44.68%,46.15%,57.14%,57.14%,61.54%,61.54%,52.94%,47.37%,45.45%,45.83%,48.15%,45.71%,42.11%,47.62%,48.98%,47.27%,48.21%,48.21%,100.00%,83.33%,87.50%,90.91%,80.00%,73.68%,73.68%,76.00%,68.97%,61.11%,61.11%,60.98%,57.78%,56.52%,56.86%,56.60%,33.33%,40.00%,46.15%,59.09%,64.00%,57.14%,56.67%,59.38%,59.38%,63.16%,63.41%,58.33%,57.69%,58.18%,60.34%,56.45%,100.00%,50.00%,60.00%,50.00%,50.00%,50.00%,50.00%,50.00%,47.37%,47.62%,45.45%,41.67%,40.00%,43.33%,41.94%,42.42%,44.44%,--,66.67%,62.50%,66.67%,66.67%,62.50%,63.16%,65.22%,62.50%,61.54%,62.07%,60.61%,63.41%,65.91%,62.50%,64.00%,42.86%,50.00%,60.00%,68.75%,55.00%,54.55%,43.33%,43.33%,43.75%,45.45%,44.44%,40.00%,38.10%,39.13%,41.18%,40.74%,100.00%,88.89%,91.67%,84.62%,78.57%,75.00%,70.59%,70.59%,66.67%,66.67%,65.52%,65.52%,66.67%,62.16%,60.00%,100.00%,75.00%,75.00%,42.86%,50.00%,50.00%,50.00%,38.89%,44.00%,40.74%,46.67%,48.48%,52.63%,51.22%,55.56%,54.00%,50.00%,50.00%,63.64%,58.82%,55.00%,57.14%,52.17%,52.17%,48.00%,46.15%,46.67%,45.45%,44.44%,44.44%,43.24%,46.34%,0.00%,40.00%,30.00%,46.15%,47.37%,45.00%,44.00%,40.74%,40.74%,43.33%,43.33%,42.86%,43.24%,42.11%,43.90%,44.19%
Cincinnati,33.33%,33.33%,25.00%,14.29%,23.08%,23.08%,36.84%,42.86%,52.00%,52.00%,52.00%,50.00%,50.00%,45.71%,48.72%,46.34%,45.24%,25.00%,25.00%,28.57%,31.58%,31.58%,38.10%,41.67%,38.46%,42.86%,40.00%,42.42%,38.89%,38.46%,39.02%,36.73%,40.00%,62.50%,50.00%,56.25%,57.89%,54.55%,56.52%,56.00%,58.06%,58.06%,58.06%,51.35%,48.78%,50.00%,53.33%,51.06%,50.00%,57.14%,66.67%,57.14%,57.14%,62.50%,62.50%,52.63%,50.00%,46.15%,48.28%,48.39%,50.00%,48.57%,53.66%,52.08%,57.14%,40.00%,30.77%,30.77%,30.77%,37.50%,41.18%,42.11%,42.86%,55.56%,55.17%,58.06%,60.00%,57.50%,54.76%,52.17%,66.67%,75.00%,80.00%,64.29%,58.82%,60.00%,54.17%,52.00%,48.15%,48.15%,51.61%,53.12%,52.78%,53.85%,56.10%,56.82%,61.22%,50.00%,66.67%,66.67%,66.67%,66.67%,52.94%,50.00%,50.00%,45.45%,43.48%,45.16%,46.88%,45.45%,44.44%,47.37%,46.15%,50.00%,50.00%,66.67%,50.00%,47.06%,47.06%,50.00%,52.38%,52.00%,48.15%,46.43%,44.83%,45.16%,43.75%,42.42%,41.67%,66.67%,80.00%,55.56%,60.00%,60.00%,64.71%,64.71%,66.67%,63.64%,63.64%,57.69%,53.57%,51.72%,51.43%,53.85%,33.33%,50.00%,37.50%,45.45%,53.33%,47.37%,50.00%,50.00%,50.00%,52.00%,51.72%,53.33%,54.29%,54.29%,56.10%,54.55%,50.00%,66.67%,60.00%,58.33%,47.06%,50.00%,52.63%,57.14%,56.52%,60.00%,59.26%,59.26%,60.00%,58.06%,57.58%,57.14%,50.00%,50.00%,25.00%,25.00%,12.50%,12.50%,36.36%,35.71%,40.00%,41.18%,47.62%,50.00%,45.83%,44.44%,50.00%,50.00%
Cleveland,50.00%,50.00%,46.15%,56.25%,55.00%,50.00%,52.00%,51.72%,51.72%,54.55%,55.56%,52.50%,48.84%,46.81%,45.83%,43.40%,44.44%,50.00%,75.00%,50.00%,60.00%,50.00%,42.86%,41.18%,41.18%,47.62%,45.83%,44.00%,50.00%,47.06%,46.51%,47.73%,60.00%,55.56%,54.55%,54.55%,60.00%,52.63%,57.14%,50.00%,46.15%,44.44%,42.86%,40.62%,42.42%,41.18%,38.89%,45.24%,50.00%,33.33%,20.00%,16.67%,14.29%,14.29%,20.00%,27.27%,37.50%,36.84%,33.33%,34.78%,36.00%,35.71%,41.94%,43.75%,33.33%,55.56%,61.54%,66.67%,62.50%,61.11%,61.11%,61.11%,63.16%,59.09%,60.00%,64.29%,58.06%,55.88%,55.56%,57.50%,66.67%,66.67%,60.00%,66.67%,66.67%,70.00%,69.23%,73.33%,68.75%,64.71%,63.16%,52.17%,48.15%,53.33%,54.84%,52.94%,52.78%,66.67%,50.00%,57.14%,50.00%,58.33%,58.82%,60.00%,54.17%,54.17%,56.00%,53.85%,51.85%,50.00%,50.00%,48.48%,45.71%,75.00%,60.00%,66.67%,77.78%,76.92%,68.75%,63.16%,63.16%,63.64%,58.33%,62.96%,63.33%,62.50%,61.54%,62.50%,58.14%,33.33%,62.50%,60.00%,63.64%,63.64%,53.33%,55.56%,58.33%,56.00%,57.14%,55.17%,58.06%,59.38%,63.89%,62.16%,60.00%,50.00%,66.67%,60.00%,58.33%,62.50%,66.67%,68.18%,69.57%,69.57%,69.23%,67.65%,65.71%,65.79%,63.41%,59.09%,100.00%,100.00%,71.43%,66.67%,72.73%,75.00%,69.23%,60.00%,58.82%,58.82%,57.89%,50.00%,50.00%,51.85%,53.57%,53.57%,0.00%,50.00%,66.67%,66.67%,66.67%,57.14%,44.44%,50.00%,50.00%,50.00%,50.00%,56.52%,53.85%,53.33%,48.48%,48.57%
Dallas,33.33%,62.50%,62.50%,63.64%,66.67%,66.67%,68.42%,62.50%,55.56%,56.67%,57.58%,58.82%,56.41%,56.10%,59.57%,58.33%,60.00%,40.00%,28.57%,30.00%,30.00%,35.71%,38.89%,42.86%,42.86%,39.13%,38.46%,41.38%,42.42%,45.95%,45.00%,47.62%,66.67%,85.71%,72.73%,72.73%,69.23%,60.00%,65.38%,62.07%,62.07%,57.58%,58.33%,60.53%,57.50%,59.52%,57.78%,56.86%,0.00%,0.00%,0.00%,14.29%,35.71%,40.00%,43.75%,45.00%,47.62%,52.00%,51.72%,51.72%,53.12%,52.94%,56.41%,54.76%,0.00%,40.00%,37.50%,40.00%,38.46%,41.18%,40.91%,40.91%,41.67%,42.31%,50.00%,51.52%,51.52%,51.35%,52.38%,54.55%,33.33%,37.50%,46.15%,50.00%,52.94%,60.87%,60.00%,61.54%,60.00%,60.00%,61.29%,58.82%,58.33%,58.54%,57.78%,55.77%,52.63%,33.33%,25.00%,33.33%,40.00%,42.86%,42.86%,42.11%,50.00%,50.00%,44.83%,43.33%,46.88%,45.71%,47.22%,50.00%,46.34%,0.00%,0.00%,20.00%,20.00%,16.67%,28.57%,33.33%,42.86%,40.00%,40.91%,44.00%,50.00%,52.78%,54.05%,57.50%,57.78%,33.33%,55.56%,68.75%,68.75%,68.75%,68.42%,63.64%,58.33%,56.00%,59.26%,60.00%,57.58%,60.00%,58.33%,58.97%,100.00%,80.00%,50.00%,61.54%,61.54%,61.54%,60.00%,60.00%,57.14%,60.87%,57.69%,55.56%,56.67%,56.67%,54.55%,50.00%,100.00%,71.43%,70.00%,66.67%,60.00%,58.82%,61.11%,66.67%,65.22%,66.67%,66.67%,69.23%,70.00%,70.00%,70.00%,67.74%,66.67%,40.00%,42.86%,63.64%,53.85%,43.75%,50.00%,50.00%,45.83%,46.43%,46.43%,44.83%,43.75%,45.45%,45.95%,44.74%
Denver,66.67%,75.00%,57.14%,54.55%,62.50%,57.14%,52.00%,53.57%,53.33%,53.33%,57.14%,57.89%,59.52%,58.14%,59.09%,58.00%,56.86%,66.67%,57.14%,54.55%,57.14%,53.33%,56.25%,52.63%,56.52%,56.52%,56.52%,58.33%,53.33%,51.52%,48.65%,46.34%,60.00%,66.67%,75.00%,73.33%,75.00%,72.22%,70.00%,68.18%,68.18%,60.00%,60.00%,56.25%,57.58%,56.76%,56.10%,55.81%,0.00%,50.00%,50.00%,50.00%,44.44%,41.67%,46.67%,43.75%,45.45%,53.85%,57.14%,60.00%,57.14%,58.97%,56.82%,56.86%,50.00%,33.33%,40.00%,41.67%,40.00%,40.00%,50.00%,45.00%,40.74%,45.16%,43.24%,47.73%,44.00%,46.30%,46.30%,46.55%,50.00%,57.14%,50.00%,50.00%,46.67%,45.00%,39.13%,39.13%,39.13%,41.67%,41.67%,40.00%,39.29%,41.38%,40.00%,37.50%,39.39%,50.00%,60.00%,44.44%,46.15%,47.06%,45.45%,45.45%,41.67%,44.00%,42.31%,37.93%,40.62%,38.89%,38.89%,41.03%,40.91%,0.00%,66.67%,57.14%,70.00%,63.64%,60.00%,57.14%,54.17%,54.17%,51.85%,50.00%,46.67%,45.45%,40.00%,41.86%,45.83%,50.00%,37.50%,45.45%,41.67%,42.86%,42.86%,44.44%,47.83%,44.00%,42.31%,40.00%,43.75%,44.44%,47.50%,44.44%,0.00%,0.00%,16.67%,12.50%,15.38%,21.05%,21.05%,22.73%,22.73%,22.22%,25.00%,24.24%,25.71%,29.73%,31.71%,36.36%,25.00%,33.33%,30.00%,30.00%,38.46%,33.33%,39.13%,37.04%,37.04%,36.67%,36.36%,38.64%,37.78%,39.13%,38.30%,38.78%,66.67%,50.00%,40.00%,33.33%,28.57%,45.45%,50.00%,57.14%,60.00%,61.11%,55.00%,45.83%,48.15%,46.67%,48.39%,48.48%
