Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,86.0,116.0,125.3,163.0,171.6,167.3,167.3,160.7,167.6,165.2,168.3,162.3,172.5,174.8,171.6,174.9,178.7,309.0,231.0,223.0,202.8,213.6,213.6,218.0,226.4,229.0,230.2,218.4,218.5,217.4,217.5,221.5,204.0,211.5,210.7,185.0,173.4,173.4,210.7,207.6,186.1,181.0,169.0,167.4,164.2,159.9,160.6,170.6,102.0,156.5,142.0,147.0,167.0,177.0,170.4,177.8,177.8,166.7,165.1,150.1,148.9,149.8,148.5,143.9,239.0,186.0,150.0,155.5,151.0,171.0,168.6,168.6,182.4,176.9,178.9,172.8,170.9,168.5,166.4,168.8,180.0,128.5,126.0,102.0,92.8,110.0,110.0,112.4,120.5,123.6,116.9,115.8,117.3,115.5,118.9,128.0,128.0,271.0,189.5,210.7,210.7,222.0,223.0,240.3,229.6,221.4,230.6,225.8,231.5,222.2,217.8,225.0,221.2,234.0,208.5,228.0,219.8,212.6,212.6,203.5,196.1,207.9,203.9,210.4,210.3,207.8,205.5,205.2,208.5,191.0,196.0,190.3,180.2,177.6,177.6,172.0,178.6,187.8,169.9,179.2,173.9,185.7,187.8,192.4,188.0,221.5,230.0,279.0,280.0,268.2,263.3,261.9,265.9,265.9,273.6,273.4,284.8,281.5,288.4,291.8,166.0,189.0,210.3,232.2,224.4,222.2,212.7,209.2,209.2,209.0,219.1,205.7,206.9,203.9,201.8,201.5,134.0,149.0,111.0,111.0,190.5,204.0,195.8,210.4,203.2,210.0,207.1,205.6,201.3,199.6,207.4,218.5
Atlanta,213.0,216.5,208.7,217.2,206.8,209.7,214.6,214.6,211.8,212.7,220.2,211.5,207.2,203.7,209.3,202.3,195.7,295.0,221.0,212.3,206.8,206.4,204.7,195.4,183.2,183.2,188.0,193.5,195.0,191.9,188.4,180.5,233.0,260.5,213.7,186.5,208.0,203.7,192.1,192.1,182.4,182.4,171.7,168.9,171.0,176.4,178.4,183.7,154.0,114.5,147.7,128.5,128.5,147.4,161.2,157.0,160.9,173.3,168.1,177.9,175.8,172.2,172.2,176.1,214.0,200.0,182.0,169.2,174.6,191.8,194.4,194.4,199.9,213.2,215.3,211.3,215.6,220.7,220.8,219.4,115.0,148.0,180.3,187.5,175.0,156.2,156.2,172.3,154.9,153.3,144.2,142.8,138.8,142.7,147.4,152.7,152.3,124.0,128.0,142.3,142.3,146.8,154.0,154.0,148.4,145.9,139.6,130.8,135.3,143.1,134.6,144.6,146.0,274.0,161.0,136.0,143.2,144.6,150.0,146.4,146.4,140.1,144.0,143.3,144.7,148.6,156.5,157.9,168.7,178.0,210.5,162.0,149.0,156.2,151.7,155.3,155.3,173.6,177.6,166.5,170.2,172.0,180.0,181.7,38.0,139.5,163.7,175.8,186.8,190.8,190.8,167.9,152.2,150.7,154.4,144.5,153.8,154.9,149.6,150.7,254.0,283.0,210.7,192.2,167.8,167.8,167.3,170.1,174.0,178.2,162.8,160.4,167.9,167.8,175.9,177.7,137.0,178.5,144.0,160.8,161.2,170.8,177.0,174.0,174.0,164.8,181.1,179.0,174.5,167.0,162.3,166.2
Baltimore,217.0,180.5,187.3,192.5,192.5,180.8,181.7,182.4,185.8,183.8,189.4,199.9,199.6,195.6,197.5,196.3,198.6,232.0,247.5,232.3,217.2,219.0,219.0,216.8,221.7,217.6,221.3,215.9,231.4,221.9,222.6,219.6,159.0,258.5,258.5,238.7,201.2,201.0,224.7,198.4,187.4,194.7,205.0,202.6,208.3,197.9,194.9,187.7,215.0,239.5,233.3,246.8,235.0,230.5,230.5,232.6,222.9,219.9,207.9,209.6,213.8,209.3,208.1,205.2,194.0,216.5,171.3,128.5,151.2,161.3,168.0,168.0,194.1,182.7,177.7,180.2,181.0,169.8,168.3,177.3,230.0,230.0,176.0,234.3,201.5,207.0,200.3,202.7,201.0,198.7,188.2,199.5,207.3,210.0,215.5,216.7,209.5,87.0,126.5,134.3,132.2,151.0,170.3,170.3,167.7,172.2,183.7,173.7,178.2,182.2,174.5,176.2,173.1,182.0,216.5,193.0,175.2,171.0,202.7,205.3,205.3,179.6,179.9,180.5,188.6,190.2,198.8,197.8,192.6,209.0,208.5,162.0,186.0,186.0,166.0,207.2,192.9,177.4,177.2,196.2,192.0,182.6,179.1,172.9,68.0,144.5,131.3,155.5,164.2,157.7,170.0,170.0,178.6,182.1,197.9,210.7,213.5,208.7,216.6,209.2,393.0,332.5,280.3,284.5,259.6,264.2,239.0,239.0,239.6,245.6,236.7,235.8,218.3,222.6,222.0,219.3,124.0,110.5,117.7,98.0,125.4,119.8,124.3,114.2,129.9,147.6,147.6,145.0,136.2,138.7,142.3,156.7
Buffalo,187.0,135.0,186.3,175.0,140.0,131.3,146.9,141.8,141.8,159.3,164.6,174.8,179.8,177.8,182.8,184.5,181.2,189.0,186.5,186.5,196.3,201.2,183.8,177.8,191.4,199.4,197.9,192.6,178.4,192.0,185.4,185.3,157.0,186.0,166.3,185.2,201.8,189.8,184.0,169.2,169.2,175.7,175.5,173.0,186.8,189.7,191.2,181.9,187.0,214.0,169.3,189.0,208.2,219.0,214.7,214.7,234.1,230.0,235.7,233.0,233.1,232.1,234.1,223.9,252.0,207.0,228.3,199.0,200.8,200.8,205.3,201.1,184.2,190.7,185.8,181.5,178.1,181.3,185.9,190.5,365.0,242.5,222.3,227.0,196.2,196.2,178.3,170.3,153.9,158.8,153.7,145.6,139.8,144.2,144.4,145.1,141.9,150.0,133.5,209.7,206.5,225.4,243.3,258.3,250.4,250.4,242.6,237.0,228.3,234.2,232.5,228.2,229.4,269.0,229.5,164.0,201.0,194.8,194.8,177.3,188.1,175.1,184.9,168.8,166.8,172.9,170.9,172.8,165.8,182.0,131.0,161.3,202.0,198.4,181.8,181.8,167.7,168.5,166.7,174.2,183.1,178.0,168.7,176.9,13.0,140.5,163.3,171.2,186.4,204.7,178.6,178.6,182.9,172.6,183.9,185.6,183.2,188.5,187.4,184.6,360.0,237.0,251.0,262.0,246.6,240.5,247.1,233.4,219.4,219.3,216.1,216.1,221.0,225.9,221.9,220.3,216.0,171.5,187.7,228.0,241.8,234.3,229.4,229.1,229.1,234.1,218.1,211.4,211.2,202.3,204.8,211.4
Carolina,228.0,262.5,262.5,225.3,169.0,179.4,184.8,190.4,177.5,178.9,176.0,181.5,177.1,187.7,185.2,174.2,163.3,191.0,185.5,185.5,191.3,201.2,195.2,189.0,193.4,190.0,184.8,187.5,184.9,180.1,179.4,173.7,35.0,155.0,171.0,175.0,176.2,177.8,177.8,162.6,171.2,166.0,178.2,169.4,177.9,174.4,173.9,181.5,240.0,292.0,225.3,239.5,258.4,233.8,241.0,239.2,239.2,240.6,236.9,240.9,246.2,244.4,240.5,242.8,153.0,183.5,180.3,210.2,205.8,212.7,212.7,215.3,224.0,236.0,221.0,215.5,216.4,213.8,212.3,212.7,132.0,220.0,213.0,204.8,191.4,188.0,188.3,181.4,181.4,200.7,198.6,195.3,200.2,188.5,186.6,186.2,177.6,77.0,64.0,122.0,122.0,135.5,131.6,148.7,161.0,154.4,152.8,155.5,159.1,164.8,169.9,172.8,166.1,146.0,165.0,178.3,195.0,223.0,223.0,202.2,200.3,212.0,205.4,220.2,215.1,214.4,222.0,212.7,214.7,171.0,123.0,165.0,126.2,127.4,118.3,118.6,125.2,125.2,140.4,136.1,140.5,134.8,143.0,146.3,170.0,174.5,149.3,175.5,196.2,196.2,202.0,182.6,180.1,196.3,200.6,196.5,193.3,183.7,178.8,179.7,191.0,204.5,162.0,162.0,160.2,148.0,144.7,154.0,148.8,161.7,152.9,168.6,166.1,169.5,163.9,178.1,226.0,221.5,205.3,193.0,192.6,166.8,185.7,172.2,181.0,187.7,190.1,190.1,182.7,175.5,170.1,170.4
Chicago,254.0,211.5,211.5,193.3,177.2,169.2,163.2,176.0,172.2,180.6,184.7,168.1,166.5,168.5,171.7,165.0,165.6,300.0,211.0,157.7,200.8,200.8,245.6,250.3,243.4,253.2,277.9,265.5,275.5,264.8,264.1,263.1,287.0,207.0,216.7,216.7,198.5,195.4,204.7,215.4,221.6,215.8,217.2,223.3,225.4,224.8,225.2,219.1,145.0,136.5,136.3,153.5,143.6,163.5,163.5,154.9,152.2,149.9,162.5,156.2,165.8,161.0,178.1,181.2,225.0,217.5,192.7,196.0,208.0,211.3,192.3,195.8,195.8,211.4,207.6,208.4,213.0,211.9,222.6,216.5,170.0,208.5,223.7,247.0,226.6,209.5,206.4,206.4,210.0,214.4,216.6,214.1,226.5,229.5,228.3,229.6,228.4,184.0,211.5,195.0,184.2,184.2,173.6,160.8,159.6,157.8,159.3,165.0,170.1,175.8,177.6,177.9,181.1,128.0,139.0,121.7,176.5,186.2,206.3,210.1,210.1,203.9,196.1,193.3,191.6,185.3,180.2,175.8,175.3,278.0,313.5,295.3,254.0,242.2,221.0,220.9,220.9,207.2,212.9,205.3,207.0,214.0,230.8,228.2,176.0,210.5,188.7,171.5,157.6,157.6,184.2,183.4,172.4,174.8,178.8,178.3,180.6,184.0,188.1,199.7,199.0,155.0,196.0,183.0,182.2,170.2,166.9,166.9,170.8,175.4,180.4,174.9,180.0,166.2,162.1,166.3,146.0,170.0,181.0,135.8,134.2,139.7,139.3,138.4,138.4,140.2,132.1,152.4,162.5,160.2,168.6,172.1
Cincinnati,135.0,142.5,158.3,162.5,130.0,130.0,139.3,147.1,156.6,147.6,149.0,145.2,141.7,145.8,141.0,139.3,143.2,138.0,239.0,200.0,196.8,196.8,218.8,213.8,215.1,210.5,207.4,211.1,200.9,195.6,185.2,186.3,102.0,111.0,183.3,160.2,169.8,160.8,156.4,163.5,153.6,153.6,140.0,135.7,139.9,136.8,130.6,125.3,168.0,166.0,188.3,194.2,194.2,206.2,219.5,214.3,209.2,197.9,199.9,194.9,197.8,182.6,181.4,182.4,189.0,147.5,149.3,150.0,150.0,166.8,149.2,137.6,145.1,136.4,125.7,122.4,127.1,128.9,127.2,129.3,260.0,235.0,218.3,199.5,189.6,193.8,206.4,187.4,192.6,192.6,208.7,215.5,235.5,227.2,225.0,222.1,215.6,261.0,213.0,203.3,224.0,211.0,223.8,197.0,197.0,197.4,190.6,187.7,191.7,187.0,190.1,189.9,193.6,115.0,208.5,215.3,190.5,202.6,202.6,189.7,209.9,204.4,199.0,186.2,194.7,187.8,188.4,177.4,173.3,304.0,244.5,255.7,239.8,254.0,247.7,247.7,239.1,241.8,241.7,243.9,237.5,238.7,232.3,227.8,165.0,141.0,149.3,147.8,163.8,178.8,193.4,193.4,192.2,189.2,199.5,198.4,191.3,186.8,185.4,192.4,192.0,230.5,197.3,185.0,194.4,194.7,193.7,188.4,184.6,186.7,202.7,202.7,204.3,205.0,196.6,192.7,149.0,156.5,169.7,169.7,165.8,141.0,205.0,195.6,198.9,217.1,203.8,202.2,206.0,213.8,204.1,200.9
Cleveland,105.0,188.5,169.0,162.5,156.0,157.7,151.4,170.9,170.9,172.9,164.7,162.5,162.4,159.8,158.1,161.7,158.2,311.0,237.0,223.7,234.8,226.0,211.8,209.9,209.9,206.5,201.4,210.8,202.3,197.2,196.8,195.4,73.0,121.0,147.0,147.0,167.2,171.4,173.8,162.1,163.4,159.9,154.0,151.8,156.0,151.9,154.9,162.1,223.0,224.5,252.7,207.5,228.4,228.4,229.2,223.1,213.9,232.4,220.2,216.6,206.4,205.8,211.8,202.1,249.0,164.0,186.7,170.0,170.4,151.8,151.8,149.4,138.1,153.2,158.9,158.5,155.2,153.8,156.6,150.4,175.0,219.5,226.3,205.5,205.5,164.4,187.5,187.0,191.6,180.0,181.6,172.9,173.7,173.5,177.8,181.1,186.8,156.0,199.0,201.7,235.2,264.0,252.3,241.9,239.8,239.8,251.1,248.3,250.7,239.2,243.5,230.9,230.3,222.0,266.5,261.0,237.0,230.8,226.3,218.1,218.1,204.2,203.0,201.4,190.1,206.8,203.0,199.9,194.2,253.0,227.0,212.3,193.8,193.8,210.4,201.0,207.4,196.4,194.9,185.1,188.3,193.0,193.9,197.6,282.0,189.0,220.3,237.8,217.4,230.5,226.0,234.0,226.1,226.1,221.1,235.4,221.5,219.8,219.4,215.9,218.0,235.5,234.3,225.5,228.8,234.3,214.4,217.9,221.0,221.0,218.1,214.3,207.9,211.3,209.8,205.7,248.0,229.0,206.0,206.0,187.2,196.4,209.0,219.1,214.8,220.4,221.0,203.5,203.8,217.6,222.5,222.5
Dallas,227.0,219.0,219.0,201.7,198.5,202.6,197.7,200.3,191.2,202.7,202.0,201.0,198.2,198.8,202.2,204.6,205.6,97.0,102.5,160.3,160.3,147.2,153.8,158.5,146.6,146.1,158.8,165.4,177.6,170.0,171.3,171.9,99.0,169.5,145.0,156.2,141.4,138.0,166.3,158.1,158.1,173.8,166.1,170.1,178.8,178.6,180.9,187.9,216.0,246.0,246.0,177.3,194.5,192.4,178.7,174.7,168.5,160.0,156.0,147.5,141.2,143.0,143.9,142.1,95.0,116.0,128.7,133.5,125.4,139.8,148.7,148.7,137.2,136.8,138.6,145.7,136.3,134.3,145.3,143.2,74.0,101.0,110.7,141.5,140.8,161.8,161.6,170.2,175.4,175.4,172.2,169.6,172.2,168.6,172.8,173.9,177.4,172.0,173.0,177.0,195.2,189.4,189.4,178.8,178.9,182.8,187.1,190.6,195.2,189.9,186.9,186.5,183.5,204.0,158.0,137.0,137.0,120.8,140.6,168.8,161.6,175.8,171.8,173.1,167.4,163.8,167.5,161.4,165.4,203.0,176.0,162.7,154.2,154.2,155.4,152.2,157.0,158.9,147.0,149.2,153.5,156.5,152.9,148.1,103.0,144.0,150.3,138.5,138.5,117.2,129.8,134.7,139.9,155.9,166.4,165.5,156.1,157.0,161.3,169.0,255.0,207.0,191.0,186.0,157.2,165.8,191.0,200.8,199.2,217.8,217.8,223.2,220.9,211.1,200.1,194.7,92.0,136.0,116.3,125.0,131.0,120.0,126.3,131.4,134.0,139.5,139.5,144.6,148.9,142.9,147.3,143.1
Denver,212.0,151.0,138.7,143.2,129.2,154.5,147.4,149.5,164.7,164.7,148.2,148.7,146.5,140.8,142.0,134.8,141.1,87.0,129.5,138.3,150.5,145.0,131.5,135.6,131.0,137.9,137.9,147.8,156.4,156.9,157.8,155.4,214.0,173.0,130.3,140.2,173.6,199.3,185.6,190.5,190.5,185.8,175.2,186.6,178.4,176.8,172.9,166.3,150.0,169.0,205.0,205.0,192.5,184.4,188.3,170.1,184.8,189.1,186.8,187.3,194.2,189.6,178.5,181.0,35.0,66.5,73.0,77.2,86.4,86.4,95.2,102.9,115.6,121.4,122.0,130.4,125.7,130.2,128.4,131.7,77.0,101.5,92.7,88.5,116.6,123.5,128.7,128.7,135.1,122.8,122.3,113.3,121.1,113.3,119.4,111.5,108.8,291.0,188.0,143.3,170.0,173.8,155.2,155.2,174.4,181.9,180.4,176.2,171.5,168.7,168.5,171.6,175.3,146.0,134.5,136.0,146.8,167.4,179.2,198.9,201.6,201.6,184.3,195.8,192.7,199.5,200.2,203.1,198.9,125.0,215.5,218.7,186.8,200.8,200.8,229.5,242.9,236.9,241.4,244.8,253.0,256.3,261.8,253.2,67.0,160.0,220.7,165.5,154.8,163.8,163.8,170.9,167.1,179.4,183.7,180.3,182.7,174.8,183.2,180.1,286.0,241.5,173.3,147.8,118.2,119.7,144.9,140.6,140.6,148.7,158.0,169.6,166.5,158.7,159.9,164.0,210.0,170.0,227.3,227.3,218.5,241.6,229.2,218.7,197.8,198.2,195.4,180.2,176.8,173.1,165.0,166.7
