Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,56.67%,52.94%,59.52%,61.90%,62.42%,61.14%,61.14%,60.10%,59.34%,58.49%,61.33%,61.63%,61.42%,61.95%,61.99%,62.47%,62.58%,67.65%,63.33%,60.00%,60.00%,62.15%,62.15%,56.88%,56.17%,55.35%,55.96%,55.32%,55.71%,55.70%,55.47%,54.69%,43.48%,53.85%,58.33%,57.39%,58.33%,58.33%,58.20%,60.56%,60.94%,61.89%,63.96%,62.80%,63.06%,63.14%,63.42%,61.49%,57.50%,52.24%,57.14%,57.50%,60.13%,55.90%,55.65%,56.86%,56.86%,58.10%,58.39%,59.23%,59.31%,60.09%,60.60%,60.69%,48.39%,55.22%,62.50%,60.29%,59.22%,59.43%,60.00%,60.00%,60.47%,62.05%,63.38%,63.45%,62.30%,62.61%,64.06%,64.26%,70.00%,59.62%,65.06%,66.67%,68.09%,67.04%,67.04%,67.63%,65.00%,62.50%,62.14%,63.74%,64.30%,63.72%,63.76%,63.08%,62.48%,58.06%,55.41%,59.63%,59.63%,62.89%,58.73%,57.52%,56.85%,57.64%,56.60%,56.08%,56.77%,57.73%,57.48%,57.14%,57.45%,58.18%,60.92%,57.85%,60.56%,60.77%,60.77%,59.36%,60.66%,63.23%,63.44%,63.38%,62.43%,62.41%,60.94%,61.24%,61.31%,64.86%,61.25%,60.36%,62.25%,60.47%,60.47%,61.61%,61.45%,61.75%,60.24%,59.46%,58.96%,59.68%,58.84%,58.79%,52.94%,57.50%,53.85%,56.33%,53.63%,53.77%,53.28%,56.45%,55.40%,55.40%,56.17%,55.56%,55.41%,55.36%,54.52%,54.06%,71.05%,68.92%,66.67%,63.80%,61.88%,61.04%,61.15%,60.12%,60.12%,59.07%,59.61%,58.88%,59.08%,59.09%,59.40%,58.54%,58.33%,62.67%,67.86%,67.86%,67.30%,66.50%,65.33%,63.76%,62.81%,62.29%,62.11%,62.94%,63.88%,64.11%,63.15%,63.29%
Atlanta,46.88%,56.34%,58.95%,59.84%,59.59%,61.33%,63.21%,63.21%,63.27%,62.98%,62.08%,62.61%,62.10%,61.46%,63.08%,63.87%,63.58%,58.70%,66.23%,69.72%,67.35%,67.25%,68.32%,68.70%,66.32%,66.32%,66.88%,64.66%,63.87%,63.77%,62.88%,63.30%,53.33%,57.89%,54.55%,57.89%,61.88%,62.69%,62.34%,62.34%,62.06%,62.80%,62.50%,61.11%,61.24%,60.97%,59.91%,60.68%,53.85%,53.26%,57.50%,57.72%,57.72%,57.54%,59.35%,60.40%,60.64%,61.51%,62.43%,63.04%,61.58%,61.40%,62.29%,62.21%,56.52%,62.50%,61.43%,64.55%,63.64%,64.84%,64.81%,64.81%,61.81%,60.07%,59.54%,60.42%,60.92%,61.65%,61.56%,62.17%,72.73%,65.62%,56.00%,58.91%,60.84%,60.77%,60.77%,60.08%,58.02%,57.19%,58.21%,58.38%,58.25%,58.11%,59.04%,59.19%,59.20%,70.00%,64.79%,62.83%,62.83%,56.95%,58.25%,60.09%,62.11%,62.90%,62.87%,63.01%,63.30%,63.03%,64.19%,63.66%,63.37%,69.23%,61.02%,68.04%,67.44%,66.67%,68.53%,69.23%,69.23%,67.66%,67.33%,66.96%,67.63%,66.11%,65.77%,64.99%,65.59%,68.75%,69.57%,69.31%,68.35%,67.98%,66.67%,64.08%,64.08%,62.59%,63.55%,61.92%,62.31%,61.45%,60.35%,60.08%,63.64%,64.29%,61.11%,60.90%,61.15%,62.63%,62.63%,62.22%,63.46%,63.70%,61.76%,62.00%,61.25%,61.61%,61.09%,61.63%,74.29%,64.44%,65.60%,65.38%,67.05%,67.05%,65.45%,65.97%,65.45%,66.11%,67.18%,67.41%,66.50%,67.14%,66.88%,66.67%,69.05%,68.18%,65.69%,65.15%,64.81%,65.50%,65.33%,62.87%,62.87%,62.86%,62.78%,62.09%,62.04%,62.39%,63.42%,63.45%
Baltimore,72.41%,57.58%,59.46%,59.71%,59.71%,60.00%,59.90%,58.80%,59.55%,58.70%,56.92%,56.68%,55.83%,57.14%,56.29%,55.98%,55.74%,62.50%,54.39%,51.38%,55.00%,53.25%,53.25%,53.66%,53.56%,53.96%,54.17%,54.11%,53.76%,56.28%,55.01%,55.43%,58.33%,54.79%,54.79%,53.47%,51.61%,51.95%,51.91%,52.80%,55.00%,54.81%,54.87%,56.51%,55.47%,55.64%,55.09%,56.15%,52.94%,45.90%,52.13%,52.99%,53.19%,55.00%,55.00%,54.42%,53.57%,53.43%,53.36%,53.24%,54.30%,54.39%,55.56%,54.64%,62.50%,56.52%,57.80%,57.48%,58.22%,57.14%,56.65%,56.65%,57.59%,58.91%,59.46%,60.73%,59.35%,60.10%,60.00%,60.35%,37.50%,37.50%,37.70%,43.53%,46.15%,50.34%,53.89%,52.58%,52.44%,53.52%,53.75%,52.59%,51.18%,51.67%,51.97%,52.09%,52.27%,66.67%,59.42%,60.42%,61.72%,61.01%,62.77%,62.77%,62.67%,62.40%,60.21%,61.25%,60.12%,60.62%,59.52%,57.96%,57.53%,47.62%,46.43%,55.00%,55.45%,56.83%,57.92%,59.73%,59.73%,60.38%,60.97%,59.76%,58.40%,58.35%,57.26%,57.77%,57.53%,53.66%,62.65%,59.13%,52.67%,52.67%,53.48%,52.66%,52.19%,52.45%,53.42%,53.25%,53.87%,53.52%,52.87%,53.93%,59.46%,65.22%,66.36%,60.49%,60.89%,62.33%,62.30%,62.30%,61.25%,61.49%,59.89%,60.24%,60.85%,60.84%,60.83%,60.26%,64.29%,62.03%,64.91%,61.76%,59.66%,58.65%,60.17%,60.17%,60.82%,58.62%,58.86%,57.75%,58.37%,57.24%,56.94%,56.78%,65.79%,62.67%,66.00%,64.18%,64.48%,62.56%,63.10%,64.21%,64.58%,64.19%,64.19%,65.69%,66.67%,66.87%,66.22%,64.90%
Buffalo,48.57%,57.33%,57.28%,58.33%,58.52%,59.07%,55.86%,55.98%,55.98%,54.79%,55.45%,56.21%,55.53%,55.26%,55.99%,55.67%,56.19%,50.00%,58.73%,58.73%,58.06%,62.96%,61.39%,60.45%,57.71%,57.08%,56.69%,57.19%,56.38%,55.41%,54.77%,54.42%,42.86%,58.14%,57.14%,57.29%,58.91%,56.77%,58.79%,59.61%,59.61%,59.26%,62.32%,63.37%,61.41%,62.75%,62.02%,62.73%,47.83%,61.82%,63.10%,60.94%,61.01%,62.05%,62.61%,62.61%,62.08%,62.99%,64.79%,65.28%,64.78%,64.62%,63.02%,63.10%,58.97%,60.27%,65.69%,70.21%,67.02%,67.02%,65.35%,64.23%,64.55%,63.72%,65.58%,65.27%,64.56%,63.45%,62.23%,61.79%,41.46%,49.28%,48.86%,49.59%,57.06%,57.06%,59.90%,61.71%,62.40%,63.12%,60.38%,60.50%,60.53%,61.86%,61.50%,60.95%,61.18%,73.58%,63.11%,61.36%,61.69%,56.73%,53.23%,54.69%,56.99%,56.99%,57.89%,58.98%,58.47%,57.96%,58.22%,57.68%,57.23%,61.76%,63.49%,67.78%,66.38%,68.38%,68.38%,65.27%,63.73%,62.78%,61.90%,61.61%,61.52%,61.75%,61.66%,62.88%,62.45%,61.11%,65.22%,65.79%,62.00%,62.63%,63.06%,63.06%,62.75%,63.60%,65.70%,65.96%,64.29%,64.27%,64.93%,64.25%,70.37%,60.87%,61.61%,61.49%,63.58%,60.29%,61.16%,61.16%,62.08%,61.89%,60.90%,60.22%,58.70%,57.84%,57.98%,57.68%,55.77%,55.56%,55.46%,53.85%,53.81%,55.70%,55.11%,57.47%,58.16%,58.31%,57.07%,57.07%,57.34%,56.20%,56.35%,55.12%,69.39%,66.33%,67.48%,67.50%,65.97%,67.11%,66.14%,63.09%,63.09%,62.69%,63.99%,63.27%,63.02%,63.33%,61.38%,60.65%
Carolina,85.19%,64.77%,64.77%,63.96%,61.27%,62.50%,61.19%,61.28%,61.81%,60.94%,59.34%,60.11%,60.70%,59.63%,59.44%,58.54%,57.17%,68.18%,57.14%,57.14%,56.76%,57.28%,56.59%,58.39%,60.21%,60.54%,60.38%,59.29%,60.40%,59.34%,59.05%,57.81%,75.00%,60.29%,54.46%,56.08%,57.73%,58.11%,58.11%,57.09%,57.43%,57.10%,57.14%,56.99%,56.27%,57.37%,56.84%,57.23%,45.45%,55.56%,55.70%,61.54%,61.25%,60.00%,59.83%,60.74%,60.74%,59.93%,59.52%,58.77%,58.29%,57.77%,58.09%,57.54%,52.38%,60.00%,64.04%,63.31%,62.90%,61.79%,61.79%,59.84%,59.93%,61.22%,62.35%,62.78%,61.70%,61.27%,61.67%,62.08%,62.96%,61.02%,59.77%,57.03%,55.35%,57.54%,56.88%,59.48%,59.48%,57.76%,57.69%,58.08%,58.78%,59.15%,59.46%,59.65%,59.78%,58.62%,67.86%,67.42%,67.42%,68.75%,68.22%,65.56%,63.96%,64.66%,63.00%,62.58%,63.12%,61.81%,61.62%,61.70%,62.23%,66.67%,58.18%,55.43%,60.00%,57.86%,57.86%,55.50%,58.74%,59.40%,60.69%,61.92%,62.40%,61.95%,61.70%,60.96%,61.48%,66.67%,64.91%,62.82%,61.05%,64.29%,64.20%,63.32%,63.44%,63.44%,62.60%,64.48%,63.32%,63.01%,62.50%,62.56%,66.67%,64.38%,68.18%,66.67%,68.00%,68.00%,68.42%,68.35%,67.03%,67.52%,65.83%,66.40%,67.33%,67.55%,67.65%,66.80%,75.76%,72.22%,66.67%,66.67%,66.93%,68.42%,68.29%,66.41%,67.14%,65.90%,66.67%,66.67%,66.67%,67.11%,66.32%,66.35%,62.86%,59.04%,62.83%,64.58%,67.22%,69.06%,70.04%,69.18%,69.33%,67.52%,67.68%,67.68%,67.87%,66.95%,65.79%,65.05%
Chicago,54.29%,63.93%,63.93%,66.30%,61.11%,58.71%,60.44%,59.91%,59.68%,59.93%,60.36%,59.62%,59.85%,60.37%,61.11%,61.21%,61.90%,53.85%,55.88%,57.58%,59.12%,59.12%,55.97%,57.14%,55.05%,54.33%,55.37%,55.83%,55.40%,56.62%,56.51%,55.90%,56.00%,51.47%,56.04%,56.04%,59.20%,57.47%,57.28%,58.51%,58.80%,56.43%,56.43%,57.02%,56.51%,56.91%,55.77%,56.08%,53.33%,65.00%,65.93%,60.16%,58.71%,58.38%,58.38%,58.11%,57.09%,55.59%,55.45%,56.50%,56.23%,56.92%,56.68%,56.96%,71.88%,71.88%,68.69%,71.54%,71.78%,67.74%,66.82%,67.06%,67.06%,65.60%,65.95%,64.99%,64.58%,65.00%,64.81%,64.03%,61.22%,60.00%,58.39%,58.99%,58.06%,59.92%,60.28%,60.28%,60.18%,61.60%,62.72%,61.90%,62.02%,61.11%,60.69%,60.75%,61.58%,60.71%,63.49%,61.68%,62.34%,62.34%,61.50%,63.98%,61.47%,62.12%,62.72%,63.75%,64.13%,63.25%,63.44%,63.90%,63.98%,58.82%,63.53%,67.69%,66.25%,62.50%,62.50%,61.36%,61.36%,61.27%,60.98%,60.80%,61.34%,61.63%,62.11%,62.02%,62.09%,65.96%,67.86%,69.67%,66.67%,67.53%,67.37%,65.28%,65.28%,63.91%,62.05%,62.47%,62.01%,61.55%,60.87%,60.89%,51.11%,58.97%,56.64%,62.65%,60.80%,60.80%,60.82%,59.51%,59.25%,58.84%,59.51%,58.64%,58.93%,59.14%,59.48%,59.27%,78.79%,66.67%,65.38%,65.47%,68.97%,67.00%,66.38%,66.38%,65.60%,63.86%,62.97%,61.83%,61.21%,60.89%,60.72%,61.97%,72.73%,66.07%,63.64%,66.93%,64.20%,61.81%,64.07%,67.29%,67.29%,66.45%,66.26%,64.46%,65.64%,66.52%,67.56%,66.73%
Cincinnati,48.00%,47.17%,52.87%,56.10%,55.70%,55.70%,55.68%,56.58%,57.42%,56.23%,57.59%,56.46%,57.50%,56.80%,58.41%,58.78%,58.46%,74.07%,62.12%,61.90%,63.30%,63.30%,64.39%,62.79%,63.24%,62.82%,59.29%,60.13%,62.06%,61.66%,62.16%,61.31%,60.47%,58.75%,53.78%,55.86%,53.85%,55.71%,56.25%,57.95%,58.31%,58.31%,58.51%,58.31%,59.56%,59.95%,60.43%,61.51%,65.71%,63.24%,57.01%,57.14%,57.14%,57.06%,57.35%,58.82%,59.85%,60.66%,62.18%,62.18%,62.00%,61.75%,63.10%,62.62%,55.00%,57.53%,60.00%,64.08%,64.08%,65.54%,65.38%,66.24%,66.91%,67.00%,66.16%,65.75%,65.74%,65.40%,66.00%,65.46%,51.72%,58.00%,59.14%,59.83%,60.00%,63.01%,63.24%,65.95%,65.19%,65.19%,62.20%,61.73%,62.11%,63.57%,63.39%,62.98%,62.25%,60.71%,56.72%,61.22%,58.90%,61.02%,62.67%,63.67%,63.67%,62.85%,61.28%,60.22%,58.94%,57.98%,57.89%,58.30%,58.38%,71.43%,56.76%,54.21%,55.47%,56.98%,56.98%,59.51%,60.33%,60.74%,60.13%,60.29%,60.05%,61.71%,61.86%,62.64%,63.03%,47.50%,52.31%,56.84%,57.36%,56.69%,58.64%,58.64%,57.56%,57.71%,58.33%,58.70%,57.64%,58.08%,58.18%,59.03%,71.88%,71.01%,67.96%,67.88%,67.48%,66.15%,66.96%,66.96%,68.30%,67.52%,66.57%,65.60%,64.30%,63.73%,62.73%,62.05%,63.64%,58.57%,59.29%,60.93%,58.20%,58.37%,57.72%,58.25%,59.35%,58.98%,57.58%,57.58%,57.94%,58.40%,59.40%,58.87%,56.45%,55.66%,54.29%,54.29%,56.57%,57.92%,58.94%,57.91%,58.79%,59.21%,61.42%,59.91%,59.40%,59.76%,59.62%,59.93%
Cleveland,62.79%,55.74%,57.29%,61.42%,58.60%,59.47%,58.37%,58.68%,58.68%,60.21%,58.23%,56.76%,58.24%,58.50%,58.71%,58.67%,59.16%,57.89%,61.64%,64.00%,61.36%,63.40%,61.90%,62.50%,62.50%,61.83%,61.87%,61.41%,62.69%,62.04%,60.57%,60.67%,76.47%,74.36%,76.24%,76.24%,73.23%,73.42%,71.88%,69.81%,65.35%,65.48%,62.46%,62.91%,62.47%,61.46%,60.39%,60.69%,53.33%,57.14%,56.76%,53.33%,56.10%,56.10%,54.63%,52.79%,54.41%,52.32%,52.89%,55.26%,56.80%,56.58%,56.33%,56.61%,52.17%,61.64%,59.60%,61.18%,60.53%,59.66%,59.66%,60.29%,60.81%,61.30%,60.51%,60.56%,60.52%,60.36%,59.07%,58.81%,75.00%,71.15%,70.42%,66.98%,66.98%,66.42%,65.61%,64.32%,63.60%,62.59%,62.50%,63.72%,64.18%,63.98%,64.39%,64.20%,64.13%,63.64%,55.93%,61.46%,58.57%,57.31%,58.74%,60.09%,59.69%,59.69%,60.29%,60.31%,59.88%,60.81%,60.45%,59.95%,59.75%,60.71%,58.93%,63.64%,65.32%,63.82%,63.13%,63.83%,63.83%,61.90%,61.83%,61.36%,61.05%,60.19%,60.23%,60.26%,60.38%,55.56%,52.31%,56.38%,54.78%,54.78%,56.12%,53.25%,54.40%,55.09%,55.60%,55.32%,56.55%,55.65%,56.55%,57.04%,51.79%,60.92%,61.48%,61.31%,62.44%,63.35%,62.50%,61.47%,61.54%,61.54%,62.63%,62.32%,62.40%,61.77%,62.36%,62.91%,63.16%,64.79%,62.83%,60.65%,57.95%,57.98%,59.49%,60.32%,60.11%,60.11%,59.37%,59.81%,59.47%,59.68%,60.34%,59.93%,68.57%,68.00%,66.04%,66.04%,65.94%,62.22%,61.14%,61.05%,60.00%,56.93%,57.72%,58.25%,58.01%,56.65%,56.73%,56.81%
Dallas,59.26%,47.44%,47.44%,54.21%,53.33%,51.55%,47.94%,48.18%,49.01%,49.13%,48.60%,47.69%,49.45%,49.88%,48.36%,48.91%,48.68%,75.00%,50.00%,53.68%,53.68%,53.91%,58.82%,62.30%,61.86%,62.35%,61.45%,61.94%,60.70%,61.68%,61.41%,61.07%,51.43%,55.07%,57.28%,57.14%,56.41%,54.84%,54.82%,53.82%,53.82%,53.82%,54.91%,55.43%,54.07%,54.72%,54.97%,54.31%,67.65%,62.12%,62.12%,57.89%,57.03%,57.83%,56.25%,56.05%,56.50%,55.99%,55.42%,55.10%,56.20%,57.31%,57.85%,58.21%,65.91%,61.90%,57.27%,55.10%,58.43%,60.27%,58.02%,58.02%,58.13%,59.13%,59.52%,58.52%,58.43%,58.63%,58.43%,58.18%,45.83%,59.02%,58.00%,59.54%,59.41%,61.50%,62.39%,62.45%,62.15%,62.15%,62.23%,62.36%,61.93%,61.12%,60.39%,60.78%,60.63%,59.52%,62.50%,63.72%,64.79%,62.84%,62.84%,61.47%,60.70%,59.93%,60.99%,61.39%,60.51%,59.52%,59.96%,60.36%,60.45%,46.88%,59.02%,63.44%,63.44%,60.17%,62.04%,63.95%,65.80%,67.54%,67.75%,67.80%,66.85%,67.80%,67.43%,66.60%,65.48%,59.09%,61.76%,60.95%,57.43%,57.43%,59.26%,59.46%,61.20%,60.71%,61.09%,61.60%,61.42%,61.58%,61.15%,61.25%,65.62%,69.23%,57.50%,61.54%,61.54%,62.31%,61.08%,59.69%,61.30%,62.36%,61.76%,62.46%,62.67%,62.50%,62.27%,63.08%,64.29%,61.54%,60.63%,66.27%,68.72%,65.60%,62.21%,63.11%,63.54%,65.41%,65.41%,64.62%,64.33%,65.07%,65.18%,64.77%,69.57%,59.65%,64.65%,67.13%,66.67%,64.29%,64.19%,66.41%,66.21%,65.45%,65.45%,66.22%,66.42%,66.74%,66.38%,66.54%
Denver,54.05%,51.28%,50.44%,49.32%,49.71%,51.94%,54.31%,54.44%,54.76%,54.76%,53.29%,52.56%,51.83%,54.08%,53.33%,53.28%,53.54%,50.00%,50.00%,50.00%,52.94%,54.92%,53.59%,54.02%,56.78%,56.25%,56.25%,56.33%,56.52%,56.18%,55.53%,56.51%,66.67%,66.10%,60.19%,59.85%,58.95%,57.63%,57.19%,54.81%,54.81%,54.42%,55.08%,56.16%,56.83%,56.89%,57.28%,56.15%,52.94%,61.40%,58.93%,58.93%,58.90%,57.56%,57.56%,61.48%,63.09%,62.24%,63.03%,62.80%,62.41%,62.56%,62.15%,61.39%,66.67%,57.89%,62.07%,65.88%,66.99%,66.99%,67.39%,69.09%,66.33%,63.49%,63.48%,62.22%,62.39%,61.56%,61.40%,61.59%,65.38%,64.41%,71.96%,72.59%,72.51%,72.68%,72.93%,72.93%,70.63%,70.07%,69.14%,69.91%,68.11%,66.98%,66.89%,66.95%,67.27%,63.64%,60.94%,60.00%,59.84%,59.38%,59.59%,59.59%,61.93%,63.16%,63.50%,64.53%,63.99%,60.95%,59.62%,58.89%,58.76%,76.19%,64.29%,63.64%,62.99%,61.84%,60.99%,60.89%,61.09%,61.09%,61.31%,61.33%,61.13%,60.60%,58.62%,58.56%,59.35%,59.09%,63.49%,67.68%,69.57%,68.26%,68.26%,68.00%,68.10%,66.29%,64.78%,64.22%,63.13%,63.06%,63.06%,63.39%,55.00%,60.53%,59.43%,58.57%,61.40%,61.32%,61.32%,59.84%,60.14%,59.94%,59.95%,59.30%,58.12%,58.46%,57.79%,57.83%,54.84%,55.86%,58.45%,57.80%,59.81%,60.56%,59.86%,58.84%,58.84%,59.38%,57.96%,59.07%,59.31%,59.07%,59.11%,58.43%,66.04%,64.21%,66.15%,66.15%,59.76%,58.45%,58.50%,60.54%,60.81%,61.17%,61.70%,62.53%,62.66%,63.08%,62.76%,62.87%
