Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,--,100.00%,100.00%,85.71%,88.89%,92.31%,92.31%,80.00%,80.00%,75.00%,78.95%,81.82%,75.00%,75.00%,76.92%,76.92%,75.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,--,100.00%,100.00%,100.00%,71.43%,71.43%,75.00%,80.00%,83.33%,85.71%,87.50%,83.33%,84.21%,85.00%,86.96%,86.96%,66.67%,66.67%,83.33%,91.67%,93.33%,93.75%,94.44%,94.74%,94.74%,95.24%,91.30%,91.67%,92.31%,92.31%,93.10%,93.55%,100.00%,100.00%,100.00%,100.00%,100.00%,93.75%,88.24%,88.24%,80.00%,80.00%,81.82%,79.17%,80.77%,82.14%,82.76%,83.87%,100.00%,100.00%,80.00%,75.00%,77.78%,72.73%,72.73%,76.92%,76.92%,78.57%,78.57%,82.35%,84.21%,80.95%,80.95%,84.00%,80.77%,100.00%,100.00%,80.00%,80.00%,80.00%,83.33%,85.71%,88.89%,88.89%,90.91%,92.31%,93.33%,93.75%,88.89%,85.00%,85.71%,100.00%,100.00%,70.00%,69.23%,68.75%,68.75%,76.19%,77.27%,79.17%,80.00%,80.65%,79.41%,81.58%,80.49%,82.22%,82.98%,--,100.00%,100.00%,100.00%,88.89%,88.89%,91.67%,93.33%,94.44%,94.74%,91.30%,88.46%,83.33%,82.86%,83.33%,100.00%,87.50%,90.00%,84.62%,85.71%,86.67%,86.67%,87.50%,83.33%,83.33%,85.71%,82.61%,76.00%,78.57%,79.31%,79.31%,100.00%,80.00%,83.33%,85.71%,88.89%,91.67%,92.86%,93.75%,93.75%,94.12%,88.89%,89.47%,90.00%,90.48%,87.50%,84.62%,100.00%,100.00%,100.00%,100.00%,75.00%,83.33%,87.50%,90.00%,90.91%,90.91%,92.31%,94.12%,95.45%,95.45%,95.83%,85.19%
Atlanta,0.00%,33.33%,50.00%,71.43%,77.78%,81.82%,83.33%,83.33%,86.67%,86.67%,88.89%,85.00%,81.82%,81.82%,82.61%,82.61%,82.61%,100.00%,100.00%,100.00%,100.00%,85.71%,88.89%,88.89%,88.89%,88.89%,88.89%,90.00%,91.67%,92.86%,93.33%,93.75%,33.33%,33.33%,66.67%,71.43%,75.00%,77.78%,77.78%,77.78%,80.00%,85.71%,88.24%,88.24%,88.89%,89.47%,86.96%,84.62%,100.00%,60.00%,75.00%,77.78%,77.78%,81.82%,83.33%,85.71%,88.24%,88.89%,85.00%,85.71%,81.82%,80.00%,80.77%,81.48%,100.00%,100.00%,100.00%,88.89%,83.33%,84.62%,84.62%,84.62%,87.50%,88.89%,89.47%,90.00%,90.00%,90.91%,92.00%,92.86%,--,100.00%,50.00%,66.67%,60.00%,71.43%,71.43%,77.78%,77.78%,81.82%,76.92%,80.00%,81.25%,84.21%,80.95%,81.82%,83.33%,--,100.00%,100.00%,100.00%,87.50%,87.50%,90.91%,83.33%,84.62%,84.62%,81.25%,77.78%,76.19%,78.26%,75.00%,76.00%,60.00%,50.00%,50.00%,50.00%,55.56%,46.15%,50.00%,50.00%,50.00%,50.00%,52.94%,55.56%,57.89%,60.00%,61.90%,63.64%,100.00%,80.00%,87.50%,77.78%,84.62%,85.71%,88.24%,88.24%,88.24%,86.36%,86.96%,86.96%,84.00%,80.77%,80.77%,50.00%,50.00%,66.67%,66.67%,60.00%,71.43%,71.43%,75.00%,72.73%,75.00%,81.25%,80.00%,81.82%,84.00%,80.77%,82.76%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,96.15%,96.30%,96.43%,96.77%,96.97%,97.14%,100.00%,50.00%,50.00%,63.64%,71.43%,75.00%,77.78%,80.95%,80.95%,81.82%,79.17%,79.31%,80.00%,81.82%,82.86%,82.86%
Baltimore,100.00%,100.00%,83.33%,85.71%,85.71%,87.50%,90.00%,91.67%,92.31%,94.12%,90.48%,91.30%,92.00%,92.59%,93.10%,90.00%,90.32%,100.00%,66.67%,83.33%,87.50%,88.89%,88.89%,90.91%,92.86%,93.75%,94.12%,89.47%,90.91%,88.00%,88.00%,85.71%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,87.50%,90.00%,81.82%,85.71%,87.50%,88.89%,91.30%,92.00%,92.31%,93.10%,--,100.00%,100.00%,80.00%,85.71%,90.00%,90.00%,90.00%,91.67%,85.71%,86.67%,86.67%,83.33%,80.00%,77.27%,77.27%,66.67%,66.67%,70.00%,75.00%,69.23%,66.67%,73.68%,73.68%,75.00%,81.48%,81.25%,83.33%,84.21%,84.21%,85.37%,86.05%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,94.74%,95.24%,95.45%,95.45%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,94.74%,90.48%,90.48%,91.67%,100.00%,100.00%,100.00%,81.82%,83.33%,86.67%,88.24%,88.24%,84.21%,85.71%,86.96%,87.50%,88.46%,86.21%,86.67%,87.10%,--,80.00%,80.00%,83.33%,83.33%,83.33%,90.00%,91.67%,92.86%,94.74%,95.00%,95.45%,95.65%,95.83%,92.59%,100.00%,100.00%,100.00%,100.00%,100.00%,93.33%,94.12%,94.12%,95.45%,95.83%,96.00%,96.30%,96.67%,96.97%,94.44%,94.44%,--,100.00%,100.00%,100.00%,91.67%,88.24%,90.48%,90.48%,90.91%,87.50%,88.89%,89.29%,89.29%,90.00%,90.32%,90.91%,100.00%,100.00%,87.50%,88.89%,90.91%,84.62%,78.57%,81.25%,81.25%,81.25%,81.25%,83.33%,85.00%,86.36%,85.19%,87.88%
Buffalo,--,50.00%,40.00%,62.50%,66.67%,68.75%,68.75%,70.59%,70.59%,72.22%,75.00%,76.19%,76.19%,75.00%,74.07%,75.86%,74.19%,100.00%,100.00%,100.00%,100.00%,88.89%,90.91%,85.71%,80.00%,76.47%,81.82%,82.61%,83.33%,84.00%,80.77%,81.48%,--,100.00%,100.00%,85.71%,85.71%,87.50%,88.89%,80.00%,80.00%,69.23%,73.33%,72.22%,73.68%,73.68%,73.68%,76.19%,100.00%,50.00%,50.00%,75.00%,87.50%,81.82%,81.82%,81.82%,83.33%,84.62%,84.62%,80.00%,76.47%,78.95%,78.95%,81.82%,60.00%,77.78%,80.00%,72.73%,80.00%,80.00%,80.00%,81.25%,81.25%,82.35%,82.35%,86.36%,88.00%,88.46%,89.29%,89.66%,100.00%,100.00%,100.00%,87.50%,90.00%,90.00%,90.00%,92.31%,88.89%,85.71%,88.46%,88.89%,89.29%,87.50%,87.88%,86.49%,85.00%,66.67%,66.67%,80.00%,83.33%,87.50%,81.82%,69.23%,75.00%,75.00%,73.68%,75.00%,75.00%,79.17%,80.00%,80.77%,81.48%,66.67%,80.00%,83.33%,75.00%,84.62%,84.62%,87.50%,84.21%,80.00%,78.26%,76.00%,79.31%,80.00%,81.25%,72.22%,73.68%,0.00%,0.00%,50.00%,80.00%,83.33%,87.50%,87.50%,87.50%,81.82%,85.71%,85.71%,85.71%,88.24%,88.89%,90.48%,100.00%,100.00%,100.00%,66.67%,71.43%,72.73%,72.73%,72.73%,72.73%,78.57%,73.33%,76.47%,77.78%,77.78%,80.95%,81.82%,100.00%,100.00%,100.00%,100.00%,100.00%,93.75%,88.24%,78.95%,81.82%,84.00%,80.77%,80.77%,82.14%,83.33%,84.38%,84.38%,100.00%,100.00%,100.00%,100.00%,72.73%,73.33%,77.78%,78.95%,78.95%,80.00%,81.82%,82.61%,80.00%,80.77%,82.14%,81.82%
Carolina,100.00%,100.00%,100.00%,75.00%,71.43%,77.78%,83.33%,85.71%,85.71%,86.67%,82.35%,75.00%,79.17%,73.08%,71.43%,71.43%,72.41%,100.00%,66.67%,66.67%,80.00%,85.71%,90.00%,83.33%,86.67%,88.24%,89.47%,85.71%,78.26%,78.26%,78.26%,76.92%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,90.91%,90.91%,91.67%,92.86%,94.12%,90.00%,90.91%,91.30%,91.67%,66.67%,83.33%,85.71%,77.78%,84.62%,84.62%,85.71%,82.35%,82.35%,83.33%,83.33%,80.00%,81.82%,83.33%,85.19%,85.71%,100.00%,100.00%,100.00%,100.00%,90.91%,91.67%,91.67%,92.31%,93.33%,94.12%,89.47%,85.71%,85.71%,87.50%,88.00%,88.89%,100.00%,100.00%,100.00%,100.00%,100.00%,90.00%,90.00%,90.91%,90.91%,85.71%,88.24%,88.89%,90.48%,86.96%,84.00%,85.19%,85.71%,100.00%,100.00%,75.00%,75.00%,80.00%,66.67%,75.00%,75.00%,81.82%,78.57%,80.00%,76.47%,71.43%,73.91%,70.83%,72.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,93.75%,94.44%,94.74%,95.45%,95.65%,92.00%,92.31%,92.86%,90.32%,0.00%,75.00%,80.00%,85.71%,90.00%,90.91%,92.31%,86.67%,86.67%,88.89%,88.89%,90.00%,91.67%,88.46%,86.21%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,95.45%,95.83%,92.59%,93.10%,93.75%,94.12%,94.12%,94.12%,94.44%,100.00%,83.33%,71.43%,71.43%,77.78%,80.00%,83.33%,85.71%,86.67%,88.89%,90.00%,87.50%,85.19%,85.71%,86.67%,87.50%,--,0.00%,60.00%,57.14%,55.56%,61.54%,64.29%,68.75%,68.75%,70.59%,76.19%,76.19%,77.27%,75.00%,76.00%,77.78%
Chicago,100.00%,85.71%,85.71%,87.50%,92.31%,87.50%,83.33%,83.33%,78.95%,82.61%,84.62%,82.14%,82.76%,84.85%,85.29%,83.33%,83.78%,100.00%,75.00%,71.43%,69.23%,69.23%,73.33%,76.47%,75.00%,75.00%,72.73%,75.00%,72.00%,69.23%,71.43%,70.00%,100.00%,100.00%,100.00%,100.00%,100.00%,77.78%,81.82%,78.57%,80.00%,78.95%,76.19%,73.91%,73.91%,73.91%,75.00%,70.37%,0.00%,0.00%,60.00%,71.43%,71.43%,66.67%,66.67%,69.23%,71.43%,66.67%,66.67%,68.42%,71.43%,68.18%,69.57%,69.57%,--,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,93.33%,93.33%,94.12%,90.48%,91.30%,91.30%,84.62%,85.71%,85.71%,100.00%,100.00%,100.00%,80.00%,80.00%,81.25%,83.33%,83.33%,84.21%,80.00%,82.61%,80.00%,81.48%,82.14%,82.76%,80.65%,81.25%,66.67%,40.00%,54.55%,58.33%,58.33%,58.33%,61.54%,61.54%,66.67%,64.71%,66.67%,71.43%,75.00%,74.07%,72.41%,73.33%,--,66.67%,75.00%,66.67%,66.67%,66.67%,63.64%,63.64%,63.64%,64.29%,64.29%,72.22%,75.00%,78.26%,78.26%,80.00%,100.00%,100.00%,100.00%,90.91%,91.67%,85.71%,86.67%,86.67%,87.50%,88.89%,85.71%,88.89%,89.29%,90.00%,90.32%,0.00%,75.00%,83.33%,85.71%,87.50%,87.50%,87.50%,92.31%,92.86%,93.75%,94.74%,95.00%,95.24%,95.24%,86.96%,88.00%,--,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,94.44%,95.00%,95.45%,92.31%,92.31%,92.59%,92.86%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,93.75%,94.74%,94.74%,95.24%,91.67%,92.31%,92.86%,93.33%,90.62%,91.18%
Cincinnati,100.00%,100.00%,87.50%,77.78%,83.33%,83.33%,84.62%,85.71%,81.25%,83.33%,80.95%,82.61%,84.00%,84.62%,85.19%,86.21%,87.50%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,87.50%,90.00%,90.91%,84.62%,85.71%,87.50%,90.00%,90.00%,91.67%,100.00%,100.00%,66.67%,75.00%,85.71%,90.00%,91.67%,91.67%,93.33%,93.33%,93.75%,88.24%,88.89%,90.00%,90.48%,88.00%,50.00%,66.67%,80.00%,71.43%,71.43%,62.50%,62.50%,72.73%,80.00%,80.00%,81.25%,76.47%,72.22%,70.00%,72.73%,73.91%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,94.74%,95.24%,95.45%,91.67%,92.31%,92.31%,50.00%,66.67%,85.71%,88.89%,90.00%,91.67%,92.31%,92.31%,93.33%,93.33%,94.12%,94.74%,95.24%,95.24%,95.65%,95.65%,95.65%,100.00%,75.00%,71.43%,77.78%,77.78%,77.78%,80.00%,80.00%,72.73%,80.00%,77.78%,77.78%,73.68%,77.27%,79.17%,80.00%,33.33%,50.00%,50.00%,71.43%,75.00%,75.00%,77.78%,85.71%,82.35%,85.00%,80.95%,78.26%,80.00%,82.14%,82.76%,83.87%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,94.12%,88.89%,85.71%,83.33%,100.00%,100.00%,100.00%,100.00%,88.89%,90.91%,92.86%,92.86%,93.33%,94.12%,94.74%,95.00%,91.30%,92.00%,92.59%,86.67%,100.00%,100.00%,100.00%,75.00%,80.00%,81.82%,83.33%,86.67%,83.33%,85.00%,86.36%,86.36%,86.96%,83.33%,85.19%,85.19%,50.00%,66.67%,40.00%,40.00%,70.00%,71.43%,75.00%,78.95%,80.00%,77.27%,78.26%,80.00%,81.48%,82.76%,82.76%,80.00%
Cleveland,100.00%,87.50%,91.67%,91.67%,92.86%,92.86%,89.47%,86.96%,86.96%,88.00%,88.89%,86.67%,84.85%,84.21%,85.37%,83.33%,81.40%,100.00%,66.67%,80.00%,85.71%,88.89%,81.82%,84.62%,84.62%,88.24%,84.21%,85.00%,86.96%,86.96%,88.46%,88.46%,100.00%,100.00%,100.00%,100.00%,85.71%,90.00%,84.62%,83.33%,78.95%,80.95%,80.95%,81.82%,83.33%,85.19%,82.14%,83.33%,100.00%,85.71%,90.00%,90.00%,84.62%,84.62%,80.00%,77.78%,78.95%,80.95%,81.82%,82.61%,82.61%,84.00%,85.19%,86.67%,100.00%,100.00%,100.00%,81.82%,84.62%,85.71%,85.71%,87.50%,89.47%,90.91%,92.00%,88.89%,89.66%,90.91%,90.91%,91.43%,--,100.00%,50.00%,75.00%,75.00%,75.00%,60.00%,66.67%,77.78%,75.00%,73.33%,73.68%,71.43%,71.43%,75.00%,72.00%,73.08%,100.00%,66.67%,75.00%,77.78%,80.00%,83.33%,78.57%,82.35%,82.35%,78.95%,80.00%,82.61%,84.62%,85.71%,86.67%,87.88%,100.00%,100.00%,83.33%,87.50%,90.00%,90.00%,90.91%,90.91%,90.91%,75.00%,76.47%,72.73%,73.91%,76.00%,79.31%,80.65%,100.00%,100.00%,90.00%,90.91%,90.91%,91.67%,92.31%,93.33%,94.44%,95.00%,95.24%,95.83%,88.89%,88.89%,89.66%,50.00%,75.00%,80.00%,71.43%,77.78%,80.00%,81.82%,84.62%,85.71%,85.71%,88.24%,88.24%,84.21%,80.00%,80.95%,82.61%,100.00%,60.00%,71.43%,77.78%,80.00%,81.82%,76.92%,76.47%,77.78%,77.78%,80.00%,81.82%,84.00%,85.19%,85.71%,83.33%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,92.31%,92.86%,88.89%,89.47%,91.30%,92.00%,92.86%,90.00%
Dallas,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,88.89%,88.89%,90.91%,92.31%,87.50%,88.89%,90.00%,90.00%,90.48%,91.30%,--,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,94.44%,94.74%,95.24%,95.24%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,93.75%,88.24%,88.89%,85.00%,80.95%,80.95%,82.61%,50.00%,66.67%,66.67%,80.00%,83.33%,87.50%,90.00%,81.82%,78.57%,80.00%,80.00%,81.25%,83.33%,83.33%,83.33%,85.71%,100.00%,100.00%,100.00%,85.71%,77.78%,81.82%,81.82%,81.82%,83.33%,85.71%,83.33%,84.21%,85.71%,83.33%,80.77%,82.14%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,94.44%,90.91%,90.91%,90.91%,87.50%,85.71%,87.10%,85.29%,86.11%,87.50%,86.36%,0.00%,66.67%,66.67%,71.43%,77.78%,77.78%,77.78%,80.00%,84.62%,80.00%,73.68%,73.68%,75.00%,77.27%,78.26%,78.26%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,95.83%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,93.33%,83.33%,82.61%,84.00%,85.19%,85.19%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,88.89%,89.47%,90.48%,90.91%,91.67%,92.86%,93.10%,90.62%,100.00%,100.00%,100.00%,100.00%,100.00%,91.67%,85.71%,86.67%,87.50%,82.35%,82.35%,84.21%,85.00%,86.96%,87.50%,88.89%,0.00%,50.00%,66.67%,60.00%,66.67%,77.78%,77.78%,81.82%,81.82%,81.82%,81.82%,81.82%,86.67%,86.67%,88.24%,88.24%
Denver,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,92.31%,93.75%,93.75%,93.75%,95.00%,95.45%,95.45%,92.00%,92.31%,89.29%,50.00%,50.00%,75.00%,83.33%,75.00%,77.78%,83.33%,80.00%,75.00%,75.00%,77.78%,73.68%,76.19%,77.27%,78.26%,100.00%,100.00%,100.00%,100.00%,100.00%,88.89%,90.00%,90.00%,90.00%,83.33%,83.33%,76.92%,78.57%,80.00%,81.25%,82.35%,85.71%,88.89%,88.89%,88.89%,90.00%,83.33%,83.33%,87.50%,84.21%,81.82%,81.82%,84.62%,80.65%,81.82%,80.56%,81.08%,0.00%,33.33%,66.67%,71.43%,77.78%,77.78%,70.00%,75.00%,80.00%,78.95%,80.95%,83.33%,78.57%,78.57%,79.31%,81.25%,--,100.00%,66.67%,72.73%,76.92%,78.57%,81.25%,81.25%,85.00%,86.96%,88.00%,88.46%,88.89%,89.29%,90.32%,91.18%,91.43%,--,100.00%,100.00%,100.00%,83.33%,80.00%,80.00%,84.62%,84.62%,86.67%,89.47%,90.48%,91.30%,91.30%,92.00%,92.86%,100.00%,100.00%,100.00%,83.33%,85.71%,87.50%,88.89%,81.82%,81.82%,76.92%,71.43%,72.22%,73.68%,76.00%,78.57%,80.65%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,90.91%,84.62%,86.21%,86.67%,87.50%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,92.31%,85.71%,85.71%,88.24%,90.00%,90.00%,90.48%,91.30%,100.00%,100.00%,100.00%,87.50%,90.00%,91.67%,93.33%,93.33%,93.33%,88.89%,89.47%,90.48%,90.48%,90.48%,91.30%,92.00%,100.00%,66.67%,66.67%,66.67%,75.00%,77.78%,72.73%,72.73%,78.57%,80.00%,85.00%,85.00%,85.71%,86.36%,83.33%,85.19%
