Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,66.67%,57.14%,50.00%,66.67%,68.75%,61.11%,61.11%,61.90%,68.00%,64.29%,64.52%,62.50%,61.76%,59.46%,57.50%,55.81%,50.00%,0.00%,14.29%,43.75%,45.00%,44.00%,44.00%,44.44%,45.16%,45.71%,43.24%,40.48%,44.68%,44.68%,44.00%,46.43%,--,50.00%,50.00%,57.14%,56.25%,56.25%,55.00%,52.17%,56.00%,55.56%,53.12%,54.55%,54.29%,60.98%,60.00%,58.33%,20.00%,27.27%,37.50%,42.11%,39.13%,40.74%,38.24%,37.14%,37.14%,41.03%,40.00%,41.30%,42.55%,41.18%,41.07%,41.38%,33.33%,40.00%,42.86%,61.54%,53.33%,52.63%,50.00%,50.00%,50.00%,51.72%,51.61%,54.29%,50.00%,50.00%,48.94%,47.92%,20.00%,28.57%,37.50%,53.85%,43.75%,54.55%,54.55%,53.85%,51.72%,50.00%,51.43%,51.35%,48.78%,46.51%,45.65%,44.90%,45.28%,33.33%,41.67%,43.75%,43.75%,50.00%,52.38%,52.00%,51.85%,50.00%,50.00%,56.25%,52.94%,54.29%,58.14%,59.57%,58.82%,55.56%,45.45%,60.00%,58.82%,47.83%,47.83%,53.57%,48.39%,48.48%,50.00%,50.00%,52.78%,51.35%,45.45%,44.68%,46.15%,50.00%,50.00%,37.50%,33.33%,33.33%,33.33%,33.33%,33.33%,30.00%,33.33%,37.50%,35.71%,40.00%,40.62%,39.39%,50.00%,66.67%,44.44%,26.67%,31.25%,29.41%,31.58%,31.58%,34.78%,34.78%,38.46%,40.74%,39.29%,45.45%,42.86%,42.50%,33.33%,28.57%,25.00%,27.27%,25.00%,35.29%,34.78%,33.33%,33.33%,37.04%,35.71%,34.48%,39.39%,42.86%,43.59%,43.90%,100.00%,60.00%,66.67%,66.67%,57.14%,40.00%,36.36%,38.46%,35.71%,31.25%,38.89%,35.00%,38.10%,34.78%,37.04%,37.93%
Atlanta,33.33%,33.33%,37.50%,41.67%,44.44%,50.00%,50.00%,50.00%,52.00%,50.00%,50.00%,50.00%,51.16%,52.08%,50.98%,51.85%,50.00%,0.00%,0.00%,23.08%,25.00%,35.00%,40.91%,41.67%,46.43%,46.43%,46.43%,45.16%,48.48%,52.78%,50.00%,51.06%,50.00%,37.50%,40.00%,42.86%,42.86%,40.00%,33.33%,33.33%,40.00%,44.12%,47.22%,47.50%,48.78%,46.51%,47.73%,47.83%,50.00%,42.86%,33.33%,33.33%,33.33%,35.29%,33.33%,29.17%,34.62%,34.48%,33.33%,32.26%,32.26%,30.56%,36.59%,38.10%,50.00%,66.67%,80.00%,62.50%,45.45%,41.67%,33.33%,33.33%,35.29%,40.00%,42.31%,46.43%,50.00%,46.88%,48.57%,50.00%,100.00%,25.00%,57.14%,57.14%,44.44%,45.45%,45.45%,46.15%,50.00%,52.94%,52.94%,55.56%,63.64%,60.87%,57.69%,52.94%,54.29%,0.00%,28.57%,33.33%,33.33%,28.57%,33.33%,34.78%,30.77%,30.77%,33.33%,37.93%,40.62%,41.18%,42.86%,44.44%,41.03%,--,100.00%,75.00%,71.43%,72.73%,75.00%,73.33%,73.33%,73.33%,70.59%,70.59%,68.18%,68.18%,65.22%,59.26%,62.07%,100.00%,75.00%,80.00%,80.00%,72.73%,76.92%,73.33%,73.33%,68.75%,61.11%,63.16%,61.90%,59.09%,56.52%,50.00%,0.00%,0.00%,0.00%,22.22%,30.00%,25.00%,25.00%,33.33%,31.25%,31.25%,31.58%,35.00%,38.10%,40.91%,39.13%,36.00%,50.00%,50.00%,60.00%,57.14%,55.56%,55.56%,58.33%,61.54%,66.67%,64.71%,66.67%,68.42%,66.67%,65.38%,54.55%,54.55%,50.00%,50.00%,45.45%,45.45%,35.71%,33.33%,35.29%,36.36%,36.36%,34.78%,37.50%,44.44%,42.86%,44.83%,43.33%,41.18%
Baltimore,33.33%,41.67%,38.46%,46.67%,46.67%,52.94%,56.52%,57.69%,58.06%,57.89%,58.97%,55.56%,54.17%,50.91%,51.72%,49.21%,48.48%,50.00%,33.33%,33.33%,30.00%,33.33%,33.33%,35.71%,38.89%,45.45%,48.00%,50.00%,54.55%,52.78%,46.51%,46.67%,50.00%,50.00%,50.00%,60.00%,75.00%,58.33%,53.33%,55.56%,58.33%,58.33%,57.69%,50.00%,53.66%,53.33%,50.00%,50.00%,0.00%,22.22%,18.18%,41.18%,40.00%,39.13%,39.13%,38.46%,37.93%,41.94%,43.75%,44.12%,45.71%,44.74%,48.78%,48.84%,57.14%,55.56%,54.55%,61.54%,64.29%,58.82%,57.89%,57.89%,60.87%,68.97%,68.75%,68.57%,69.44%,71.05%,71.79%,73.81%,66.67%,66.67%,60.00%,54.55%,54.55%,58.82%,57.89%,60.00%,57.14%,54.55%,52.17%,48.00%,48.28%,50.00%,47.37%,46.67%,44.90%,66.67%,50.00%,57.14%,60.00%,61.54%,53.33%,53.33%,47.06%,42.11%,45.00%,45.45%,48.00%,48.28%,51.61%,48.57%,50.00%,80.00%,71.43%,75.00%,72.73%,66.67%,61.54%,61.11%,61.11%,63.64%,62.50%,63.33%,61.29%,61.76%,61.11%,63.16%,58.54%,0.00%,16.67%,27.27%,36.84%,36.84%,45.45%,50.00%,51.61%,50.00%,54.05%,51.22%,52.38%,53.49%,57.45%,57.14%,33.33%,33.33%,37.50%,33.33%,38.46%,38.46%,40.00%,40.00%,43.75%,38.89%,34.78%,33.33%,37.04%,40.62%,41.67%,41.67%,25.00%,40.00%,33.33%,50.00%,58.33%,58.82%,52.63%,52.63%,52.38%,56.52%,55.56%,53.57%,51.72%,51.52%,50.00%,51.43%,50.00%,25.00%,40.00%,42.86%,46.15%,53.33%,52.94%,50.00%,50.00%,48.00%,48.00%,51.85%,48.28%,51.61%,53.12%,52.94%
Buffalo,50.00%,25.00%,20.00%,40.00%,37.50%,44.44%,47.83%,50.00%,50.00%,51.72%,54.55%,52.78%,50.00%,50.00%,51.06%,52.73%,53.45%,66.67%,66.67%,66.67%,57.14%,50.00%,64.29%,62.50%,60.00%,54.55%,56.52%,53.85%,51.85%,51.61%,50.00%,45.83%,0.00%,0.00%,25.00%,28.57%,31.25%,31.58%,39.13%,38.46%,38.46%,43.33%,45.71%,44.74%,46.34%,46.34%,46.67%,44.68%,20.00%,42.86%,55.56%,58.33%,56.25%,65.00%,68.00%,68.00%,60.71%,53.12%,54.29%,50.00%,52.17%,53.06%,54.72%,55.56%,50.00%,33.33%,40.00%,50.00%,44.44%,44.44%,45.45%,50.00%,50.00%,44.44%,47.62%,47.83%,46.15%,50.00%,50.00%,48.94%,50.00%,75.00%,62.50%,54.55%,64.29%,64.29%,56.25%,56.52%,55.56%,53.57%,53.33%,47.22%,50.00%,46.81%,45.10%,43.40%,44.44%,33.33%,60.00%,57.14%,63.64%,69.23%,75.00%,70.59%,63.16%,63.16%,63.64%,62.96%,60.71%,60.61%,64.86%,60.00%,62.79%,0.00%,66.67%,40.00%,62.50%,46.15%,46.15%,44.44%,38.10%,39.13%,40.74%,39.29%,37.50%,43.24%,45.45%,45.65%,50.00%,0.00%,0.00%,0.00%,20.00%,16.67%,14.29%,14.29%,33.33%,42.86%,50.00%,42.86%,40.91%,46.15%,44.44%,37.50%,100.00%,57.14%,70.00%,62.50%,61.11%,63.16%,66.67%,66.67%,68.18%,68.00%,60.71%,60.00%,61.76%,63.16%,64.10%,68.18%,40.00%,50.00%,44.44%,38.46%,46.67%,50.00%,42.11%,43.48%,48.00%,48.15%,46.67%,46.67%,45.71%,47.37%,46.51%,45.83%,0.00%,0.00%,0.00%,14.29%,23.08%,33.33%,44.44%,41.67%,41.67%,48.28%,45.16%,45.16%,44.12%,43.24%,43.59%,43.90%
Carolina,0.00%,14.29%,14.29%,27.27%,35.71%,31.58%,48.00%,44.83%,43.33%,42.42%,44.74%,46.15%,46.34%,45.65%,46.94%,46.15%,46.30%,66.67%,40.00%,40.00%,50.00%,44.44%,44.44%,40.00%,46.15%,46.67%,52.63%,58.33%,57.14%,54.84%,52.78%,51.11%,50.00%,37.50%,45.45%,46.15%,46.67%,40.91%,40.91%,40.91%,36.00%,35.71%,32.26%,35.29%,34.29%,33.33%,33.33%,35.56%,50.00%,60.00%,66.67%,63.64%,58.33%,60.00%,60.00%,57.89%,57.89%,54.55%,46.43%,51.61%,52.94%,55.26%,55.26%,53.85%,40.00%,44.44%,36.36%,40.00%,35.29%,38.10%,38.10%,42.31%,41.94%,41.18%,43.24%,43.59%,44.19%,45.65%,45.10%,47.17%,50.00%,25.00%,50.00%,50.00%,54.55%,58.33%,53.85%,52.94%,52.94%,59.09%,57.69%,55.56%,53.33%,54.84%,53.12%,54.29%,52.78%,75.00%,57.14%,55.56%,55.56%,50.00%,59.09%,60.87%,60.00%,59.38%,57.58%,60.00%,56.76%,57.89%,55.00%,50.00%,48.98%,50.00%,50.00%,63.64%,60.00%,47.37%,47.37%,50.00%,52.00%,55.56%,53.33%,50.00%,51.28%,50.00%,51.22%,52.27%,51.06%,50.00%,50.00%,77.78%,70.00%,63.64%,53.85%,43.75%,47.62%,47.62%,47.83%,45.83%,50.00%,50.00%,51.85%,51.72%,0.00%,50.00%,71.43%,60.00%,50.00%,50.00%,50.00%,40.00%,40.00%,36.00%,37.04%,35.48%,34.38%,33.33%,35.90%,37.50%,50.00%,40.00%,42.86%,42.86%,50.00%,55.56%,50.00%,52.94%,47.37%,43.48%,41.67%,41.67%,40.00%,42.31%,40.74%,40.74%,50.00%,42.86%,50.00%,50.00%,52.63%,52.63%,55.00%,50.00%,53.33%,57.14%,55.56%,55.56%,57.89%,53.66%,51.02%,50.98%
Chicago,66.67%,54.55%,54.55%,54.55%,53.85%,57.14%,50.00%,50.00%,48.15%,50.00%,48.39%,50.00%,50.00%,53.85%,53.66%,52.27%,52.27%,66.67%,50.00%,50.00%,53.85%,53.85%,53.85%,50.00%,55.00%,53.85%,53.12%,56.76%,56.10%,54.55%,55.32%,53.85%,42.86%,42.86%,38.46%,38.46%,47.06%,52.63%,54.55%,54.17%,51.85%,54.29%,57.89%,52.38%,51.02%,52.73%,51.79%,51.79%,0.00%,16.67%,12.50%,9.09%,20.00%,26.32%,26.32%,24.00%,31.03%,38.89%,38.89%,39.02%,42.22%,43.48%,43.14%,43.40%,66.67%,60.00%,53.85%,40.91%,36.00%,42.86%,43.33%,40.62%,40.62%,36.84%,36.59%,41.67%,42.31%,41.82%,39.66%,43.55%,0.00%,50.00%,40.00%,50.00%,50.00%,50.00%,50.00%,50.00%,52.63%,52.38%,54.55%,58.33%,60.00%,56.67%,58.06%,57.58%,55.56%,--,33.33%,37.50%,33.33%,33.33%,37.50%,36.84%,34.78%,37.50%,38.46%,37.93%,39.39%,36.59%,34.09%,37.50%,36.00%,57.14%,50.00%,40.00%,31.25%,45.00%,45.45%,56.67%,56.67%,56.25%,54.55%,55.56%,60.00%,61.90%,60.87%,58.82%,59.26%,0.00%,11.11%,8.33%,15.38%,21.43%,25.00%,29.41%,29.41%,33.33%,33.33%,34.48%,34.48%,33.33%,37.84%,40.00%,0.00%,25.00%,25.00%,57.14%,50.00%,50.00%,50.00%,61.11%,56.00%,59.26%,53.33%,51.52%,47.37%,48.78%,44.44%,46.00%,50.00%,50.00%,36.36%,41.18%,45.00%,42.86%,47.83%,47.83%,52.00%,53.85%,53.33%,54.55%,55.56%,55.56%,56.76%,53.66%,100.00%,60.00%,70.00%,53.85%,52.63%,55.00%,56.00%,59.26%,59.26%,56.67%,56.67%,57.14%,56.76%,57.89%,56.10%,55.81%
Cincinnati,66.67%,66.67%,75.00%,85.71%,76.92%,76.92%,63.16%,57.14%,48.00%,48.00%,48.00%,50.00%,50.00%,54.29%,51.28%,53.66%,54.76%,75.00%,75.00%,71.43%,68.42%,68.42%,61.90%,58.33%,61.54%,57.14%,60.00%,57.58%,61.11%,61.54%,60.98%,63.27%,60.00%,37.50%,50.00%,43.75%,42.11%,45.45%,43.48%,44.00%,41.94%,41.94%,41.94%,48.65%,51.22%,50.00%,46.67%,48.94%,50.00%,42.86%,33.33%,42.86%,42.86%,37.50%,37.50%,47.37%,50.00%,53.85%,51.72%,51.61%,50.00%,51.43%,46.34%,47.92%,42.86%,60.00%,69.23%,69.23%,69.23%,62.50%,58.82%,57.89%,57.14%,44.44%,44.83%,41.94%,40.00%,42.50%,45.24%,47.83%,33.33%,25.00%,20.00%,35.71%,41.18%,40.00%,45.83%,48.00%,51.85%,51.85%,48.39%,46.88%,47.22%,46.15%,43.90%,43.18%,38.78%,50.00%,33.33%,33.33%,33.33%,33.33%,47.06%,50.00%,50.00%,54.55%,56.52%,54.84%,53.12%,54.55%,55.56%,52.63%,53.85%,50.00%,50.00%,33.33%,50.00%,52.94%,52.94%,50.00%,47.62%,48.00%,51.85%,53.57%,55.17%,54.84%,56.25%,57.58%,58.33%,33.33%,20.00%,44.44%,40.00%,40.00%,35.29%,35.29%,33.33%,36.36%,36.36%,42.31%,46.43%,48.28%,48.57%,46.15%,66.67%,50.00%,62.50%,54.55%,46.67%,52.63%,50.00%,50.00%,50.00%,48.00%,48.28%,46.67%,45.71%,45.71%,43.90%,45.45%,50.00%,33.33%,40.00%,41.67%,52.94%,50.00%,47.37%,42.86%,43.48%,40.00%,40.74%,40.74%,40.00%,41.94%,42.42%,42.86%,50.00%,50.00%,75.00%,75.00%,87.50%,87.50%,63.64%,64.29%,60.00%,58.82%,52.38%,50.00%,54.17%,55.56%,50.00%,50.00%
Cleveland,50.00%,50.00%,53.85%,43.75%,45.00%,50.00%,48.00%,48.28%,48.28%,45.45%,44.44%,47.50%,51.16%,53.19%,54.17%,56.60%,55.56%,50.00%,25.00%,50.00%,40.00%,50.00%,57.14%,58.82%,58.82%,52.38%,54.17%,56.00%,50.00%,52.94%,53.49%,52.27%,40.00%,44.44%,45.45%,45.45%,40.00%,47.37%,42.86%,50.00%,53.85%,55.56%,57.14%,59.38%,57.58%,58.82%,61.11%,54.76%,50.00%,66.67%,80.00%,83.33%,85.71%,85.71%,80.00%,72.73%,62.50%,63.16%,66.67%,65.22%,64.00%,64.29%,58.06%,56.25%,66.67%,44.44%,38.46%,33.33%,37.50%,38.89%,38.89%,38.89%,36.84%,40.91%,40.00%,35.71%,41.94%,44.12%,44.44%,42.50%,33.33%,33.33%,40.00%,33.33%,33.33%,30.00%,30.77%,26.67%,31.25%,35.29%,36.84%,47.83%,51.85%,46.67%,45.16%,47.06%,47.22%,33.33%,50.00%,42.86%,50.00%,41.67%,41.18%,40.00%,45.83%,45.83%,44.00%,46.15%,48.15%,50.00%,50.00%,51.52%,54.29%,25.00%,40.00%,33.33%,22.22%,23.08%,31.25%,36.84%,36.84%,36.36%,41.67%,37.04%,36.67%,37.50%,38.46%,37.50%,41.86%,66.67%,37.50%,40.00%,36.36%,36.36%,46.67%,44.44%,41.67%,44.00%,42.86%,44.83%,41.94%,40.62%,36.11%,37.84%,40.00%,50.00%,33.33%,40.00%,41.67%,37.50%,33.33%,31.82%,30.43%,30.43%,30.77%,32.35%,34.29%,34.21%,36.59%,40.91%,0.00%,0.00%,28.57%,33.33%,27.27%,25.00%,30.77%,40.00%,41.18%,41.18%,42.11%,50.00%,50.00%,48.15%,46.43%,46.43%,100.00%,50.00%,33.33%,33.33%,33.33%,42.86%,55.56%,50.00%,50.00%,50.00%,50.00%,43.48%,46.15%,46.67%,51.52%,51.43%
Dallas,66.67%,37.50%,37.50%,36.36%,33.33%,33.33%,31.58%,37.50%,44.44%,43.33%,42.42%,41.18%,43.59%,43.90%,40.43%,41.67%,40.00%,60.00%,71.43%,70.00%,70.00%,64.29%,61.11%,57.14%,57.14%,60.87%,61.54%,58.62%,57.58%,54.05%,55.00%,52.38%,33.33%,14.29%,27.27%,27.27%,30.77%,40.00%,34.62%,37.93%,37.93%,42.42%,41.67%,39.47%,42.50%,40.48%,42.22%,43.14%,100.00%,100.00%,100.00%,85.71%,64.29%,60.00%,56.25%,55.00%,52.38%,48.00%,48.28%,48.28%,46.88%,47.06%,43.59%,45.24%,100.00%,60.00%,62.50%,60.00%,61.54%,58.82%,59.09%,59.09%,58.33%,57.69%,50.00%,48.48%,48.48%,48.65%,47.62%,45.45%,66.67%,62.50%,53.85%,50.00%,47.06%,39.13%,40.00%,38.46%,40.00%,40.00%,38.71%,41.18%,41.67%,41.46%,42.22%,44.23%,47.37%,66.67%,75.00%,66.67%,60.00%,57.14%,57.14%,57.89%,50.00%,50.00%,55.17%,56.67%,53.12%,54.29%,52.78%,50.00%,53.66%,100.00%,100.00%,80.00%,80.00%,83.33%,71.43%,66.67%,57.14%,60.00%,59.09%,56.00%,50.00%,47.22%,45.95%,42.50%,42.22%,66.67%,44.44%,31.25%,31.25%,31.25%,31.58%,36.36%,41.67%,44.00%,40.74%,40.00%,42.42%,40.00%,41.67%,41.03%,0.00%,20.00%,50.00%,38.46%,38.46%,38.46%,40.00%,40.00%,42.86%,39.13%,42.31%,44.44%,43.33%,43.33%,45.45%,50.00%,0.00%,28.57%,30.00%,33.33%,40.00%,41.18%,38.89%,33.33%,34.78%,33.33%,33.33%,30.77%,30.00%,30.00%,30.00%,32.26%,33.33%,60.00%,57.14%,36.36%,46.15%,56.25%,50.00%,50.00%,54.17%,53.57%,53.57%,55.17%,56.25%,54.55%,54.05%,55.26%
Denver,33.33%,25.00%,42.86%,45.45%,37.50%,42.86%,48.00%,46.43%,46.67%,46.67%,42.86%,42.11%,40.48%,41.86%,40.91%,42.00%,43.14%,33.33%,42.86%,45.45%,42.86%,46.67%,43.75%,47.37%,43.48%,43.48%,43.48%,41.67%,46.67%,48.48%,51.35%,53.66%,40.00%,33.33%,25.00%,26.67%,25.00%,27.78%,30.00%,31.82%,31.82%,40.00%,40.00%,43.75%,42.42%,43.24%,43.90%,44.19%,100.00%,50.00%,50.00%,50.00%,55.56%,58.33%,53.33%,56.25%,54.55%,46.15%,42.86%,40.00%,42.86%,41.03%,43.18%,43.14%,50.00%,66.67%,60.00%,58.33%,60.00%,60.00%,50.00%,55.00%,59.26%,54.84%,56.76%,52.27%,56.00%,53.70%,53.70%,53.45%,50.00%,42.86%,50.00%,50.00%,53.33%,55.00%,60.87%,60.87%,60.87%,58.33%,58.33%,60.00%,60.71%,58.62%,60.00%,62.50%,60.61%,50.00%,40.00%,55.56%,53.85%,52.94%,54.55%,54.55%,58.33%,56.00%,57.69%,62.07%,59.38%,61.11%,61.11%,58.97%,59.09%,100.00%,33.33%,42.86%,30.00%,36.36%,40.00%,42.86%,45.83%,45.83%,48.15%,50.00%,53.33%,54.55%,60.00%,58.14%,54.17%,50.00%,62.50%,54.55%,58.33%,57.14%,57.14%,55.56%,52.17%,56.00%,57.69%,60.00%,56.25%,55.56%,52.50%,55.56%,100.00%,100.00%,83.33%,87.50%,84.62%,78.95%,78.95%,77.27%,77.27%,77.78%,75.00%,75.76%,74.29%,70.27%,68.29%,63.64%,75.00%,66.67%,70.00%,70.00%,61.54%,66.67%,60.87%,62.96%,62.96%,63.33%,63.64%,61.36%,62.22%,60.87%,61.70%,61.22%,33.33%,50.00%,60.00%,66.67%,71.43%,54.55%,50.00%,42.86%,40.00%,38.89%,45.00%,54.17%,51.85%,53.33%,51.61%,51.52%
