Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,--,--,50.00%,75.00%,80.00%,80.00%,80.00%,75.00%,81.82%,75.00%,76.92%,71.43%,66.67%,62.50%,58.82%,52.63%,52.38%,0.00%,25.00%,33.33%,33.33%,37.50%,37.50%,37.50%,44.44%,45.00%,45.00%,45.00%,52.17%,52.17%,50.00%,53.57%,--,100.00%,100.00%,50.00%,42.86%,42.86%,45.45%,46.15%,50.00%,50.00%,47.06%,47.06%,47.37%,54.55%,52.17%,54.17%,0.00%,33.33%,42.86%,42.86%,40.00%,33.33%,35.29%,35.29%,35.29%,42.11%,42.11%,40.00%,42.86%,40.00%,42.86%,41.38%,50.00%,50.00%,40.00%,62.50%,62.50%,62.50%,62.50%,62.50%,62.50%,50.00%,50.00%,53.33%,47.06%,50.00%,50.00%,50.00%,20.00%,33.33%,33.33%,33.33%,22.22%,38.46%,38.46%,40.00%,41.18%,38.89%,40.00%,40.00%,38.10%,34.78%,33.33%,33.33%,34.62%,50.00%,50.00%,57.14%,57.14%,62.50%,60.00%,58.33%,58.33%,58.33%,58.33%,64.29%,60.00%,60.00%,62.50%,61.11%,60.00%,50.00%,33.33%,60.00%,50.00%,50.00%,50.00%,44.44%,36.36%,33.33%,33.33%,33.33%,38.46%,38.46%,31.25%,29.41%,38.10%,--,--,100.00%,33.33%,25.00%,25.00%,25.00%,33.33%,33.33%,42.86%,42.86%,33.33%,45.45%,45.45%,41.67%,50.00%,50.00%,20.00%,14.29%,14.29%,12.50%,12.50%,12.50%,22.22%,22.22%,27.27%,33.33%,30.77%,30.77%,28.57%,31.25%,50.00%,33.33%,33.33%,25.00%,20.00%,28.57%,36.36%,36.36%,36.36%,33.33%,33.33%,33.33%,42.86%,46.67%,50.00%,50.00%,100.00%,33.33%,33.33%,33.33%,33.33%,25.00%,25.00%,20.00%,20.00%,16.67%,37.50%,37.50%,37.50%,33.33%,41.67%,46.15%
Atlanta,50.00%,40.00%,33.33%,44.44%,54.55%,53.85%,53.33%,53.33%,53.33%,52.63%,52.17%,52.00%,55.56%,56.67%,53.12%,54.55%,52.94%,0.00%,0.00%,0.00%,12.50%,12.50%,22.22%,27.27%,38.46%,38.46%,38.46%,42.86%,46.67%,50.00%,44.44%,45.83%,33.33%,25.00%,20.00%,37.50%,37.50%,33.33%,30.77%,30.77%,35.71%,43.75%,43.75%,42.11%,45.00%,42.86%,42.86%,40.91%,66.67%,66.67%,66.67%,50.00%,50.00%,57.14%,45.45%,41.67%,46.15%,40.00%,37.50%,37.50%,37.50%,36.84%,43.48%,45.83%,100.00%,100.00%,100.00%,60.00%,42.86%,37.50%,37.50%,37.50%,40.00%,41.67%,35.71%,43.75%,47.06%,44.44%,44.44%,47.37%,100.00%,50.00%,75.00%,75.00%,75.00%,60.00%,60.00%,50.00%,50.00%,55.56%,55.56%,55.56%,60.00%,60.00%,60.00%,52.94%,52.94%,0.00%,20.00%,20.00%,20.00%,14.29%,30.00%,33.33%,26.67%,26.67%,31.25%,35.29%,36.84%,36.84%,40.00%,42.86%,40.91%,--,100.00%,50.00%,60.00%,62.50%,62.50%,60.00%,60.00%,60.00%,58.33%,58.33%,62.50%,62.50%,58.82%,57.89%,57.89%,100.00%,66.67%,66.67%,66.67%,57.14%,66.67%,63.64%,63.64%,58.33%,58.33%,58.33%,58.33%,53.85%,53.85%,43.75%,0.00%,0.00%,0.00%,28.57%,28.57%,22.22%,22.22%,36.36%,36.36%,36.36%,33.33%,33.33%,33.33%,38.46%,35.71%,31.25%,--,--,50.00%,66.67%,66.67%,66.67%,60.00%,66.67%,71.43%,71.43%,71.43%,71.43%,63.64%,58.33%,41.18%,41.18%,0.00%,0.00%,16.67%,16.67%,12.50%,12.50%,11.11%,27.27%,27.27%,25.00%,25.00%,35.71%,33.33%,37.50%,37.50%,36.84%
Baltimore,50.00%,50.00%,50.00%,60.00%,60.00%,71.43%,77.78%,81.82%,73.33%,64.71%,64.71%,55.00%,55.00%,50.00%,50.00%,46.43%,43.33%,--,0.00%,0.00%,0.00%,25.00%,25.00%,20.00%,28.57%,40.00%,45.45%,41.67%,53.33%,50.00%,40.00%,42.86%,--,0.00%,0.00%,0.00%,50.00%,40.00%,50.00%,50.00%,58.33%,58.33%,53.85%,46.67%,55.00%,52.38%,47.83%,45.83%,--,40.00%,33.33%,60.00%,58.33%,53.85%,53.85%,50.00%,50.00%,55.56%,55.56%,55.00%,55.00%,52.38%,54.55%,52.17%,0.00%,33.33%,25.00%,40.00%,50.00%,42.86%,42.86%,42.86%,42.86%,55.56%,50.00%,50.00%,50.00%,50.00%,54.55%,54.55%,0.00%,0.00%,50.00%,75.00%,75.00%,83.33%,83.33%,83.33%,71.43%,71.43%,71.43%,62.50%,70.00%,69.23%,62.50%,66.67%,61.90%,100.00%,100.00%,100.00%,80.00%,75.00%,75.00%,75.00%,66.67%,60.00%,63.64%,58.33%,58.33%,57.14%,60.00%,55.56%,52.63%,66.67%,75.00%,80.00%,83.33%,71.43%,71.43%,60.00%,60.00%,69.23%,69.23%,73.33%,73.33%,75.00%,76.47%,78.95%,75.00%,0.00%,0.00%,16.67%,27.27%,27.27%,38.46%,47.06%,50.00%,47.37%,50.00%,52.38%,54.55%,54.55%,60.00%,61.54%,50.00%,25.00%,40.00%,33.33%,33.33%,33.33%,40.00%,40.00%,45.45%,38.46%,37.50%,37.50%,38.89%,42.86%,45.45%,45.45%,33.33%,33.33%,33.33%,57.14%,62.50%,63.64%,58.33%,58.33%,53.85%,57.14%,62.50%,58.82%,58.82%,60.00%,60.00%,60.00%,--,0.00%,33.33%,40.00%,37.50%,44.44%,40.00%,41.67%,38.46%,40.00%,40.00%,43.75%,41.18%,47.37%,47.37%,50.00%
Buffalo,--,--,0.00%,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%,72.73%,69.23%,66.67%,68.75%,66.67%,66.67%,63.64%,--,--,--,50.00%,50.00%,75.00%,66.67%,72.73%,66.67%,66.67%,64.29%,60.00%,55.56%,52.17%,50.00%,0.00%,0.00%,0.00%,0.00%,28.57%,33.33%,41.67%,35.71%,35.71%,37.50%,44.44%,45.00%,42.86%,42.86%,45.83%,45.83%,50.00%,75.00%,75.00%,83.33%,71.43%,77.78%,80.00%,80.00%,66.67%,57.14%,58.82%,57.89%,56.52%,56.00%,57.69%,59.26%,100.00%,100.00%,50.00%,50.00%,50.00%,50.00%,50.00%,55.56%,60.00%,60.00%,63.64%,58.33%,53.85%,57.14%,59.09%,59.26%,50.00%,66.67%,50.00%,50.00%,50.00%,50.00%,37.50%,40.00%,45.45%,41.67%,41.67%,37.50%,45.00%,45.00%,45.00%,42.86%,42.86%,--,100.00%,50.00%,80.00%,80.00%,85.71%,75.00%,66.67%,66.67%,72.73%,71.43%,71.43%,75.00%,77.78%,77.78%,80.00%,--,100.00%,66.67%,75.00%,57.14%,57.14%,44.44%,44.44%,40.00%,45.45%,41.67%,38.46%,38.46%,44.44%,45.00%,45.00%,0.00%,0.00%,0.00%,25.00%,20.00%,20.00%,20.00%,33.33%,44.44%,50.00%,54.55%,50.00%,53.85%,50.00%,41.18%,100.00%,60.00%,71.43%,60.00%,54.55%,54.55%,58.33%,58.33%,58.33%,58.33%,53.85%,53.33%,55.56%,60.00%,60.00%,63.64%,0.00%,0.00%,33.33%,33.33%,60.00%,60.00%,50.00%,50.00%,57.14%,62.50%,60.00%,60.00%,54.55%,58.33%,53.33%,58.82%,0.00%,0.00%,0.00%,25.00%,42.86%,42.86%,42.86%,45.45%,45.45%,46.15%,40.00%,40.00%,41.18%,38.89%,42.11%,45.00%
Carolina,0.00%,50.00%,50.00%,66.67%,75.00%,50.00%,62.50%,54.55%,54.55%,58.33%,57.14%,57.14%,53.33%,52.94%,52.63%,52.63%,50.00%,100.00%,50.00%,50.00%,66.67%,66.67%,66.67%,50.00%,57.14%,62.50%,60.00%,66.67%,63.16%,61.90%,60.87%,57.69%,33.33%,20.00%,20.00%,16.67%,14.29%,18.18%,18.18%,18.18%,15.38%,18.75%,18.75%,23.53%,23.53%,23.53%,21.05%,27.27%,100.00%,100.00%,50.00%,50.00%,40.00%,42.86%,42.86%,42.86%,42.86%,33.33%,30.00%,46.15%,53.33%,61.11%,61.11%,61.11%,0.00%,0.00%,0.00%,14.29%,14.29%,27.27%,27.27%,30.77%,35.29%,33.33%,36.84%,36.84%,39.13%,40.00%,42.86%,46.67%,0.00%,0.00%,25.00%,25.00%,33.33%,42.86%,37.50%,40.00%,40.00%,53.33%,50.00%,47.37%,45.00%,47.62%,45.45%,50.00%,48.00%,50.00%,33.33%,33.33%,33.33%,50.00%,63.64%,63.64%,61.54%,60.00%,60.00%,64.71%,57.89%,57.89%,52.38%,50.00%,50.00%,0.00%,0.00%,50.00%,40.00%,40.00%,40.00%,40.00%,50.00%,57.14%,44.44%,46.15%,50.00%,50.00%,50.00%,50.00%,45.00%,50.00%,33.33%,75.00%,75.00%,75.00%,75.00%,60.00%,58.33%,58.33%,58.33%,53.85%,57.14%,57.14%,60.00%,58.82%,--,100.00%,100.00%,100.00%,66.67%,66.67%,50.00%,33.33%,33.33%,33.33%,30.00%,28.57%,28.57%,28.57%,33.33%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,37.50%,45.45%,41.67%,38.46%,35.71%,35.71%,33.33%,37.50%,37.50%,37.50%,66.67%,50.00%,50.00%,50.00%,50.00%,50.00%,54.55%,53.85%,56.25%,61.11%,57.89%,57.89%,61.90%,59.09%,57.69%,57.69%
Chicago,66.67%,66.67%,66.67%,66.67%,66.67%,77.78%,70.00%,70.00%,72.73%,75.00%,71.43%,75.00%,70.59%,72.22%,73.68%,73.68%,73.68%,--,0.00%,40.00%,40.00%,40.00%,40.00%,28.57%,33.33%,30.77%,35.29%,38.89%,38.89%,36.84%,40.00%,40.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,62.50%,62.50%,50.00%,53.85%,62.50%,58.82%,57.14%,64.00%,61.54%,61.54%,0.00%,0.00%,0.00%,0.00%,11.11%,9.09%,9.09%,13.33%,13.33%,26.32%,26.32%,26.09%,28.00%,30.77%,32.14%,33.33%,50.00%,50.00%,50.00%,50.00%,36.36%,41.67%,46.15%,42.86%,42.86%,41.18%,38.89%,42.86%,44.00%,44.44%,42.86%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,14.29%,22.22%,27.27%,27.27%,27.27%,33.33%,42.86%,42.86%,43.75%,41.18%,--,50.00%,50.00%,50.00%,50.00%,57.14%,57.14%,45.45%,50.00%,53.85%,50.00%,50.00%,50.00%,45.45%,47.83%,44.00%,33.33%,25.00%,20.00%,12.50%,41.67%,46.15%,57.89%,57.89%,55.00%,52.38%,56.52%,62.96%,64.29%,64.29%,62.50%,62.86%,0.00%,0.00%,0.00%,20.00%,33.33%,33.33%,42.86%,42.86%,37.50%,36.36%,38.46%,38.46%,40.00%,44.44%,45.00%,0.00%,25.00%,25.00%,50.00%,42.86%,42.86%,46.15%,53.33%,47.62%,47.62%,47.62%,43.48%,44.00%,48.15%,44.83%,46.88%,50.00%,25.00%,25.00%,33.33%,38.46%,38.46%,46.67%,46.67%,52.94%,55.56%,60.00%,60.00%,61.90%,61.90%,61.90%,59.09%,100.00%,66.67%,71.43%,71.43%,60.00%,63.64%,66.67%,69.23%,69.23%,64.29%,64.29%,61.11%,60.00%,60.00%,59.09%,58.33%
Cincinnati,--,--,100.00%,100.00%,100.00%,100.00%,81.82%,69.23%,64.29%,64.29%,64.29%,64.29%,62.50%,63.16%,56.52%,60.00%,61.54%,66.67%,71.43%,66.67%,62.50%,62.50%,55.56%,55.00%,57.14%,52.17%,54.17%,53.85%,58.62%,58.06%,58.06%,61.11%,66.67%,40.00%,55.56%,50.00%,45.45%,50.00%,46.67%,50.00%,50.00%,50.00%,50.00%,54.55%,57.69%,57.69%,55.56%,58.62%,50.00%,40.00%,28.57%,28.57%,28.57%,28.57%,28.57%,44.44%,50.00%,58.33%,57.14%,56.25%,52.94%,52.63%,50.00%,52.17%,20.00%,42.86%,50.00%,50.00%,50.00%,40.00%,36.36%,36.36%,41.67%,31.25%,31.25%,29.41%,26.32%,34.78%,40.00%,44.44%,0.00%,25.00%,25.00%,33.33%,37.50%,33.33%,45.45%,45.45%,50.00%,50.00%,46.15%,42.86%,50.00%,47.06%,42.11%,42.11%,40.00%,100.00%,66.67%,66.67%,50.00%,50.00%,57.14%,60.00%,60.00%,63.64%,66.67%,60.00%,60.00%,60.00%,62.50%,62.50%,64.71%,--,100.00%,40.00%,50.00%,50.00%,50.00%,45.45%,41.67%,42.86%,42.86%,42.86%,42.86%,46.67%,50.00%,52.94%,52.63%,100.00%,33.33%,50.00%,50.00%,50.00%,41.67%,41.67%,38.46%,43.75%,43.75%,52.63%,55.00%,55.00%,50.00%,52.00%,100.00%,50.00%,60.00%,50.00%,37.50%,50.00%,45.45%,45.45%,45.45%,42.86%,47.06%,44.44%,45.00%,45.00%,37.50%,38.46%,--,0.00%,0.00%,0.00%,42.86%,37.50%,37.50%,37.50%,33.33%,30.00%,33.33%,33.33%,28.57%,33.33%,33.33%,31.25%,50.00%,50.00%,75.00%,75.00%,80.00%,80.00%,57.14%,62.50%,62.50%,55.56%,54.55%,54.55%,61.54%,61.54%,61.54%,61.54%
Cleveland,100.00%,66.67%,71.43%,71.43%,66.67%,70.00%,66.67%,71.43%,71.43%,62.50%,61.11%,61.11%,63.16%,65.00%,66.67%,68.18%,68.18%,50.00%,33.33%,33.33%,20.00%,33.33%,33.33%,33.33%,33.33%,28.57%,28.57%,28.57%,28.57%,36.36%,40.00%,37.50%,50.00%,75.00%,80.00%,80.00%,55.56%,60.00%,54.55%,58.33%,61.54%,61.54%,64.29%,62.50%,62.50%,64.71%,66.67%,63.16%,0.00%,0.00%,50.00%,50.00%,50.00%,50.00%,50.00%,33.33%,40.00%,33.33%,33.33%,33.33%,28.57%,33.33%,27.27%,25.00%,50.00%,33.33%,33.33%,28.57%,28.57%,28.57%,28.57%,28.57%,25.00%,33.33%,27.27%,25.00%,30.77%,40.00%,43.75%,44.44%,100.00%,100.00%,100.00%,50.00%,50.00%,50.00%,50.00%,42.86%,42.86%,42.86%,44.44%,54.55%,57.14%,53.33%,53.33%,55.56%,57.89%,--,0.00%,0.00%,25.00%,16.67%,11.11%,11.11%,11.11%,11.11%,11.11%,20.00%,27.27%,27.27%,33.33%,35.71%,40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,42.86%,42.86%,33.33%,33.33%,27.27%,27.27%,33.33%,35.71%,35.71%,43.75%,100.00%,66.67%,60.00%,60.00%,60.00%,62.50%,60.00%,63.64%,63.64%,58.33%,61.54%,57.14%,53.33%,47.06%,47.06%,66.67%,66.67%,50.00%,50.00%,40.00%,42.86%,37.50%,40.00%,40.00%,40.00%,36.36%,36.84%,40.00%,42.86%,47.83%,52.00%,--,0.00%,25.00%,33.33%,33.33%,33.33%,42.86%,50.00%,44.44%,44.44%,44.44%,44.44%,50.00%,45.45%,41.67%,41.67%,100.00%,50.00%,50.00%,50.00%,50.00%,66.67%,66.67%,57.14%,57.14%,50.00%,55.56%,50.00%,54.55%,53.33%,61.11%,60.00%
Dallas,100.00%,66.67%,66.67%,50.00%,50.00%,50.00%,44.44%,54.55%,58.33%,53.33%,52.94%,50.00%,50.00%,52.38%,47.83%,50.00%,50.00%,100.00%,100.00%,100.00%,100.00%,83.33%,85.71%,87.50%,87.50%,87.50%,87.50%,70.00%,64.29%,58.82%,58.82%,55.56%,--,0.00%,33.33%,33.33%,33.33%,28.57%,33.33%,40.00%,40.00%,53.85%,50.00%,46.67%,46.67%,43.75%,44.44%,47.62%,100.00%,100.00%,100.00%,83.33%,66.67%,60.00%,54.55%,53.33%,50.00%,50.00%,47.62%,47.62%,47.83%,50.00%,48.00%,50.00%,100.00%,66.67%,66.67%,71.43%,75.00%,72.73%,69.23%,69.23%,66.67%,68.75%,64.71%,63.16%,63.16%,65.00%,65.22%,65.22%,100.00%,80.00%,71.43%,71.43%,62.50%,50.00%,50.00%,45.45%,42.86%,42.86%,42.86%,43.75%,44.44%,40.00%,45.45%,51.85%,50.00%,100.00%,100.00%,75.00%,66.67%,66.67%,66.67%,66.67%,54.55%,54.55%,61.54%,61.54%,57.14%,56.25%,56.25%,50.00%,57.14%,100.00%,100.00%,66.67%,66.67%,75.00%,60.00%,50.00%,44.44%,54.55%,53.85%,50.00%,50.00%,50.00%,50.00%,47.06%,50.00%,66.67%,66.67%,50.00%,50.00%,50.00%,33.33%,37.50%,50.00%,50.00%,45.45%,46.15%,50.00%,50.00%,50.00%,47.06%,0.00%,0.00%,50.00%,40.00%,40.00%,40.00%,33.33%,28.57%,37.50%,33.33%,36.36%,36.36%,38.46%,38.46%,40.00%,47.06%,0.00%,0.00%,0.00%,0.00%,16.67%,25.00%,25.00%,20.00%,25.00%,23.08%,23.08%,21.43%,20.00%,20.00%,20.00%,20.00%,--,100.00%,50.00%,25.00%,25.00%,40.00%,28.57%,28.57%,44.44%,41.67%,41.67%,41.67%,42.86%,40.00%,38.89%,38.89%
Denver,33.33%,33.33%,50.00%,60.00%,50.00%,55.56%,66.67%,69.23%,66.67%,66.67%,55.56%,57.89%,52.17%,54.17%,54.17%,59.26%,59.26%,--,100.00%,66.67%,60.00%,66.67%,57.14%,62.50%,60.00%,60.00%,60.00%,54.55%,57.14%,58.82%,63.16%,66.67%,33.33%,25.00%,20.00%,25.00%,22.22%,30.00%,27.27%,33.33%,33.33%,38.46%,35.29%,38.89%,36.84%,36.36%,39.13%,40.00%,--,33.33%,33.33%,33.33%,50.00%,50.00%,44.44%,44.44%,46.67%,41.18%,41.18%,41.18%,41.18%,38.89%,45.00%,45.83%,100.00%,100.00%,66.67%,66.67%,66.67%,66.67%,57.14%,62.50%,63.64%,61.54%,64.71%,57.14%,60.00%,57.14%,57.14%,56.67%,66.67%,75.00%,66.67%,57.14%,57.14%,50.00%,50.00%,50.00%,50.00%,45.45%,45.45%,45.45%,50.00%,50.00%,50.00%,53.33%,53.33%,100.00%,33.33%,50.00%,50.00%,50.00%,57.14%,57.14%,60.00%,56.25%,56.25%,58.82%,55.00%,54.55%,54.55%,54.17%,55.17%,--,0.00%,50.00%,25.00%,25.00%,20.00%,33.33%,42.86%,42.86%,50.00%,54.55%,54.55%,53.85%,58.82%,55.56%,57.89%,50.00%,50.00%,40.00%,40.00%,42.86%,42.86%,44.44%,44.44%,54.55%,58.33%,60.00%,60.00%,56.25%,52.94%,55.56%,100.00%,100.00%,66.67%,75.00%,66.67%,60.00%,60.00%,63.64%,63.64%,69.23%,68.75%,70.59%,72.22%,68.42%,68.18%,65.22%,100.00%,100.00%,100.00%,100.00%,66.67%,80.00%,66.67%,66.67%,66.67%,70.00%,66.67%,61.11%,63.16%,60.00%,61.90%,63.64%,100.00%,100.00%,100.00%,100.00%,100.00%,83.33%,83.33%,83.33%,83.33%,75.00%,80.00%,84.62%,73.33%,70.59%,70.59%,68.42%
