Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,222.0,210.5,198.0,169.5,173.4,172.2,172.2,167.0,179.0,189.8,179.8,177.4,176.2,171.0,170.9,170.7,167.4,119.0,128.0,165.7,207.5,216.8,216.8,221.2,233.7,233.5,233.6,234.0,232.6,229.3,236.3,248.3,252.0,276.0,232.3,256.0,247.6,247.6,255.7,242.0,235.0,238.0,227.6,221.1,220.8,220.3,216.0,235.0,145.0,169.0,150.7,136.2,169.8,191.3,183.3,173.8,173.8,167.3,172.6,176.4,169.8,172.1,162.2,164.5,250.0,224.5,181.0,225.8,225.4,232.5,229.7,229.7,238.2,233.0,212.6,219.3,212.2,209.7,201.6,201.5,87.0,140.5,150.7,137.0,128.2,162.7,162.7,158.4,182.8,186.0,185.2,183.9,180.0,174.7,175.4,173.1,173.6,393.0,287.0,247.3,247.3,235.5,264.4,260.5,263.6,250.8,256.0,252.9,246.6,252.3,248.8,245.0,245.1,325.0,196.5,217.3,179.8,171.4,171.4,182.3,192.3,192.1,175.4,184.3,177.2,179.1,186.9,180.8,186.5,289.0,203.5,255.0,247.0,235.6,235.6,216.0,216.4,233.4,245.4,234.5,243.1,238.8,249.0,251.1,185.0,178.5,202.3,207.0,245.2,263.0,265.4,262.8,261.9,261.9,256.2,256.5,257.1,247.0,256.2,265.4,147.0,204.0,202.0,232.0,224.6,235.2,219.3,214.8,214.8,236.7,251.2,248.6,257.8,257.7,249.4,255.1,236.0,206.5,195.7,195.7,196.5,204.6,209.8,221.0,215.0,225.0,227.4,220.4,215.2,213.8,227.4,223.2
Atlanta,261.0,290.5,312.0,281.8,281.8,246.8,233.3,233.3,233.0,226.4,232.4,234.7,234.8,242.7,236.9,226.9,222.3,245.0,222.0,233.0,240.2,253.8,247.7,236.4,220.8,220.8,226.8,226.2,225.6,224.5,222.4,216.9,213.0,241.0,207.7,213.2,222.8,197.8,202.9,202.9,210.1,200.8,195.7,195.2,204.9,218.6,219.5,219.3,309.0,239.5,241.3,231.8,231.8,213.8,198.0,195.4,181.4,212.6,205.9,211.3,210.7,208.5,204.9,210.8,190.0,162.0,167.7,152.0,148.0,149.7,156.0,156.0,167.9,192.1,194.0,192.2,206.2,199.2,194.8,199.1,255.0,244.0,265.7,260.5,233.0,215.8,215.8,225.9,235.2,225.2,215.4,221.0,217.1,212.1,226.4,214.3,216.1,225.0,138.0,121.0,121.0,145.5,146.6,144.7,136.7,138.4,142.7,140.7,150.3,148.9,140.2,142.3,156.1,254.0,237.0,190.7,197.0,204.4,185.3,176.7,176.7,169.2,172.4,178.6,170.4,181.6,192.1,190.1,198.6,288.0,233.5,198.7,186.2,166.0,151.8,167.7,167.7,203.1,203.0,205.2,216.6,220.6,223.3,229.1,47.0,149.0,168.0,193.8,205.8,211.7,211.7,202.0,199.5,205.1,225.3,213.9,211.2,201.7,195.1,187.6,148.0,223.0,201.7,178.8,171.0,171.0,173.8,182.1,175.4,165.0,165.3,168.3,179.2,176.3,175.0,173.7,101.0,136.0,193.0,166.2,167.6,173.2,170.9,165.0,165.0,156.8,162.5,151.5,159.0,149.2,147.7,151.2
Baltimore,231.0,278.5,253.7,270.8,270.8,245.8,243.0,235.4,244.6,251.6,252.8,253.0,251.0,247.8,258.0,258.9,263.2,316.0,301.0,269.3,247.2,266.4,266.4,247.7,252.6,248.0,261.6,260.4,260.1,251.2,254.0,256.7,275.0,317.0,317.0,338.0,299.8,300.2,293.8,269.3,247.2,242.3,251.6,238.8,236.4,231.9,225.6,218.7,372.0,293.0,314.7,303.2,276.4,249.8,249.8,226.9,222.6,226.3,227.9,232.5,236.2,226.4,232.4,237.5,314.0,258.0,229.7,204.2,235.6,211.0,213.6,213.6,232.1,216.8,216.7,214.5,212.2,208.8,208.2,208.5,316.0,316.0,308.5,299.3,263.5,261.0,244.7,245.3,245.9,234.0,224.4,230.5,251.2,251.5,251.6,250.1,246.1,246.0,160.5,192.0,172.8,170.2,179.7,179.7,197.9,202.1,218.2,208.4,221.9,214.2,215.8,215.6,210.9,274.0,313.5,307.0,292.0,289.8,288.5,260.1,260.1,245.6,239.6,257.0,264.5,263.2,257.2,256.9,247.5,211.0,165.0,234.0,262.0,262.0,258.8,263.3,260.0,240.0,237.6,240.8,245.1,251.1,252.4,234.4,183.0,189.5,183.7,210.2,215.4,184.8,192.7,192.7,189.9,199.2,215.0,239.0,231.9,232.5,240.5,252.2,319.0,327.5,302.3,313.2,334.6,333.7,291.1,291.1,296.9,288.7,283.0,294.6,284.6,293.2,288.7,291.7,151.0,167.0,171.3,177.0,170.2,172.8,182.3,179.0,187.0,209.7,209.7,203.9,191.4,196.5,201.5,212.1
Buffalo,208.0,192.5,186.3,183.2,186.0,174.5,209.1,210.8,210.8,225.2,221.8,223.2,232.2,225.9,227.6,228.2,222.1,282.0,265.5,265.5,243.0,204.8,201.2,205.5,228.4,220.8,211.8,206.5,201.0,203.0,204.7,204.6,213.0,245.0,211.3,198.5,183.2,185.5,178.6,185.2,185.2,176.4,164.1,156.5,164.8,163.2,160.2,155.4,183.0,233.0,268.0,249.8,223.6,223.2,232.1,232.1,232.2,222.2,224.5,225.2,227.2,226.0,236.2,228.3,123.0,82.0,74.3,97.2,100.4,100.4,134.5,156.1,165.9,175.9,161.9,151.8,150.2,156.4,161.8,159.0,450.0,326.0,319.0,309.5,265.6,265.6,240.0,228.3,205.5,191.9,195.7,187.9,195.9,194.3,194.9,181.9,182.5,42.0,150.0,171.0,178.0,219.6,219.0,223.6,200.5,200.5,191.4,194.7,196.4,203.6,200.8,198.5,196.3,288.0,204.5,174.0,190.8,152.6,152.6,164.0,177.7,176.2,193.7,181.4,183.6,182.9,184.2,180.9,182.5,328.0,241.5,207.7,203.8,177.4,174.7,174.7,189.6,174.8,161.1,178.7,181.4,186.2,181.0,187.9,103.0,208.0,250.7,217.8,196.6,207.0,195.1,195.1,201.6,186.9,198.1,203.4,203.8,211.3,201.9,202.5,236.0,246.5,262.3,279.5,278.8,266.7,268.9,258.6,265.1,258.1,260.5,260.5,261.9,269.2,259.7,275.8,160.0,179.5,218.0,226.8,247.4,237.2,243.9,241.6,241.6,255.7,242.4,248.6,249.1,241.4,242.5,244.0
Carolina,327.0,329.5,329.5,302.7,268.0,258.2,265.7,264.0,249.0,253.6,258.5,254.1,245.2,238.8,232.6,239.3,236.1,157.0,188.5,188.5,189.3,180.2,177.0,176.7,158.6,159.6,155.4,151.8,146.5,154.2,154.6,149.7,87.0,211.5,230.3,229.5,209.0,209.7,209.7,214.4,223.8,212.9,222.4,219.7,219.2,222.3,220.6,228.5,167.0,245.5,254.7,248.5,264.8,256.7,263.0,254.2,254.2,254.8,270.9,275.4,277.4,284.5,273.6,271.1,236.0,216.0,202.3,195.8,172.2,196.2,196.2,191.7,193.2,214.6,207.3,207.8,210.6,196.4,205.6,203.6,238.0,259.5,260.7,259.0,275.8,267.0,254.1,243.2,243.2,278.0,261.8,249.7,243.5,235.6,236.0,233.8,229.4,171.0,160.0,169.0,169.0,179.8,176.4,207.0,207.4,196.0,186.3,197.8,202.9,192.8,184.5,198.0,193.0,86.0,166.5,194.0,185.5,195.2,195.2,221.5,224.3,225.2,219.9,221.2,211.0,206.2,212.1,215.0,209.7,210.0,163.0,186.7,179.2,161.4,156.0,139.0,144.0,144.0,152.6,146.9,154.3,148.2,158.9,151.8,230.0,189.0,151.3,172.2,162.2,162.2,168.0,169.6,165.5,179.1,190.9,181.0,176.6,175.9,184.1,186.5,198.0,166.0,192.3,192.3,194.0,195.0,189.0,192.7,196.8,212.8,194.9,203.6,202.5,200.5,195.6,205.3,220.0,226.5,197.0,157.5,167.8,146.2,164.7,159.1,162.2,176.3,191.5,191.5,196.5,198.3,198.0,203.4
Chicago,132.0,107.0,107.0,110.7,124.5,120.2,115.2,142.7,156.9,165.0,174.3,176.0,188.3,191.4,187.5,191.9,192.0,307.0,249.5,176.0,158.8,158.8,204.4,206.5,223.6,229.5,247.8,230.0,244.4,226.8,235.6,234.1,113.0,143.0,215.3,215.3,223.5,231.8,259.3,264.9,270.0,271.4,273.4,275.1,273.0,270.5,267.9,258.0,270.0,264.0,229.0,258.0,275.8,293.0,293.0,273.4,271.9,264.1,268.7,254.5,254.0,255.6,273.8,277.9,244.0,295.0,248.3,240.5,240.4,263.8,245.0,239.5,239.5,261.0,252.4,256.3,251.9,248.5,250.6,240.2,98.0,218.0,234.7,242.5,267.2,236.3,202.6,202.6,209.0,219.3,204.4,208.5,226.7,230.8,229.1,223.9,220.2,268.0,215.5,179.7,189.2,189.2,198.8,171.7,186.0,183.5,184.3,182.8,173.3,185.2,184.3,190.8,192.3,337.0,232.0,204.7,227.0,262.2,284.7,277.3,277.3,253.5,244.9,248.5,238.2,232.8,220.3,218.6,214.7,192.0,210.5,216.7,182.2,178.2,179.5,208.3,208.3,191.1,197.1,189.2,196.8,217.7,228.8,226.9,257.0,247.5,258.0,221.2,235.2,235.2,249.5,224.9,234.1,247.8,241.8,234.5,231.5,238.3,236.1,244.3,193.0,181.5,140.7,143.0,153.4,151.0,160.6,160.6,171.8,172.4,172.9,166.0,174.2,169.4,172.4,166.7,215.0,134.5,138.0,103.5,131.0,145.5,135.4,124.2,124.2,123.9,128.0,138.5,139.7,134.7,140.6,133.5
Cincinnati,235.0,280.0,230.7,213.8,231.4,231.4,226.0,205.3,213.5,205.4,208.4,205.7,202.4,199.4,187.7,182.4,177.6,77.0,238.5,236.0,233.8,233.8,215.6,213.8,214.9,212.0,216.8,223.2,219.0,214.6,210.5,211.6,91.0,115.5,161.3,157.2,165.6,158.8,147.1,144.4,144.2,144.2,137.6,145.1,141.0,139.8,139.6,133.8,165.0,213.0,170.0,158.8,158.8,192.6,215.2,208.1,204.9,202.8,201.1,199.9,210.8,202.4,195.1,199.1,223.0,154.5,169.7,136.8,136.8,174.6,158.5,141.1,131.8,129.3,139.4,135.6,137.8,144.9,141.1,136.1,241.0,264.5,234.7,219.0,208.4,186.0,188.6,172.4,183.2,183.2,201.1,195.7,207.0,201.8,208.1,210.7,215.2,340.0,299.5,228.0,269.2,269.8,254.0,234.4,234.4,236.2,234.1,230.9,243.0,244.6,236.1,230.6,234.1,43.0,150.0,189.0,188.5,191.4,191.4,182.0,184.0,186.4,197.8,182.4,198.0,192.8,191.5,191.1,186.8,288.0,311.5,314.3,339.0,324.0,304.7,304.7,306.9,308.5,302.8,311.6,302.8,300.2,285.0,286.1,87.0,136.5,194.3,219.5,225.2,246.7,228.6,228.6,217.5,217.0,230.9,235.5,235.0,229.6,231.6,237.3,232.0,279.0,229.3,225.5,251.0,249.8,238.9,240.0,256.8,266.6,263.4,263.4,254.5,260.5,250.1,246.6,169.0,217.5,192.0,192.0,174.2,147.0,170.5,153.3,165.4,181.6,176.6,182.0,187.6,195.1,206.5,211.6
Cleveland,119.0,140.5,156.0,180.0,186.8,201.8,193.9,194.9,194.9,182.2,186.9,207.5,195.5,191.7,192.9,195.6,196.6,271.0,195.0,176.7,217.5,209.8,230.7,230.0,230.0,230.4,223.8,234.7,222.9,212.8,205.2,207.1,142.0,122.5,121.7,121.7,136.0,156.4,162.5,161.6,171.9,162.4,172.8,181.1,179.8,175.2,183.8,179.9,135.0,163.5,187.3,213.5,252.8,252.8,245.7,232.6,239.9,245.1,236.7,232.1,224.0,211.8,211.1,202.5,223.0,170.0,168.3,126.2,144.0,144.7,144.7,137.4,129.2,137.9,143.5,142.9,147.8,152.4,159.4,161.2,97.0,185.0,172.0,172.2,172.2,154.8,178.7,173.1,182.8,165.7,159.9,157.1,150.3,149.5,144.7,147.9,150.2,232.0,170.5,172.3,230.8,257.4,229.7,209.3,202.1,202.1,212.2,203.9,208.3,195.0,206.3,211.1,211.8,288.0,268.5,227.7,199.8,194.4,204.8,204.7,204.7,205.0,195.1,182.3,182.9,196.7,194.9,183.4,180.3,382.0,295.0,247.0,244.5,244.5,234.4,253.8,255.9,235.8,235.8,232.5,228.7,218.7,214.5,221.5,330.0,228.0,236.0,257.5,226.0,247.3,246.6,250.6,257.6,257.6,262.0,263.2,258.1,264.1,260.4,252.9,269.0,280.5,295.3,260.2,281.0,272.3,246.3,245.5,251.3,251.3,267.0,266.2,269.5,264.2,253.1,245.5,262.0,234.0,206.7,206.7,202.0,226.0,245.8,254.7,238.0,255.8,249.9,243.4,242.2,248.8,236.6,234.1
Dallas,213.0,259.5,259.5,232.0,237.2,262.0,262.7,253.7,267.4,278.1,278.0,275.5,266.8,261.2,267.8,273.0,279.4,102.0,140.5,213.7,213.7,192.2,196.8,177.0,180.4,182.8,189.9,190.9,211.0,199.7,202.0,201.3,63.0,189.5,192.7,189.8,227.4,224.8,240.6,237.2,237.2,240.4,236.2,243.0,245.1,241.1,238.2,243.5,264.0,338.5,338.5,271.3,285.0,274.8,253.3,253.6,243.2,228.1,219.9,216.1,206.2,205.0,202.6,197.4,89.0,118.0,133.7,210.8,216.0,193.8,212.1,212.1,199.8,194.6,183.7,200.5,196.2,193.2,201.7,205.5,203.0,179.0,201.0,197.0,194.6,198.0,194.3,188.8,185.7,185.7,185.9,182.6,196.7,196.7,206.6,210.2,205.1,205.0,195.5,229.0,248.0,264.4,264.4,258.7,256.3,240.9,248.1,242.8,265.5,259.9,249.6,246.1,249.6,247.0,241.5,197.7,197.7,191.8,195.8,190.7,198.0,185.6,183.8,193.2,186.5,181.4,177.9,176.5,183.5,239.0,285.5,267.7,266.2,266.2,232.2,233.0,212.9,209.1,203.2,207.2,206.4,218.4,215.3,214.5,201.0,208.0,249.0,216.8,216.8,200.4,208.3,219.6,202.1,219.0,219.4,220.0,208.2,202.6,206.6,210.3,164.0,235.5,236.3,217.0,173.6,168.2,204.0,203.9,193.8,177.7,177.7,186.4,192.9,178.1,179.4,176.2,183.0,204.0,144.0,128.8,168.2,168.0,176.0,182.9,184.3,194.2,194.2,196.5,192.4,187.9,185.6,188.7
Denver,161.0,187.5,264.3,254.8,257.6,269.2,264.1,256.9,246.9,246.9,254.9,248.4,246.0,237.7,235.6,230.8,229.1,227.0,312.0,306.3,285.0,276.2,285.7,272.1,253.2,256.2,256.2,249.2,250.3,260.4,268.2,258.4,142.0,208.5,214.7,223.8,215.8,240.0,232.0,245.6,245.6,244.2,235.2,235.5,222.2,213.3,216.2,221.5,150.0,215.5,245.7,245.7,247.5,242.0,242.2,212.3,195.8,213.6,203.2,191.5,201.2,195.9,193.1,195.5,262.0,228.0,178.7,149.0,141.4,141.4,130.5,141.7,142.0,140.8,144.0,152.8,145.3,162.6,159.1,163.1,255.0,153.5,140.3,138.5,180.6,177.2,168.6,168.6,176.1,166.4,156.0,157.8,158.3,157.9,158.0,158.0,150.8,278.0,275.0,246.7,259.0,251.6,234.8,234.8,226.6,225.9,217.7,209.1,212.9,226.5,225.3,224.6,224.1,165.0,136.0,186.3,201.0,195.6,203.5,198.1,210.4,210.4,201.4,198.6,199.1,206.9,205.5,201.4,199.3,349.0,277.0,243.3,194.8,185.2,185.2,220.5,229.6,238.8,249.9,247.9,253.4,257.0,277.7,269.4,142.0,197.0,221.7,252.8,228.0,220.0,220.0,247.6,242.4,265.6,288.3,286.8,284.3,279.2,284.4,276.7,456.0,343.5,334.0,298.2,248.8,229.8,259.9,261.6,261.6,259.0,268.9,268.7,265.4,260.5,250.9,258.1,199.0,139.5,193.3,193.3,266.8,277.2,276.3,265.0,259.8,274.1,272.7,262.5,258.8,246.7,243.3,241.1
