Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,0.00%,7.14%,11.11%,8.00%,6.67%,8.11%,8.11%,7.32%,6.82%,6.12%,5.17%,4.84%,4.48%,4.00%,3.75%,3.53%,3.37%,0.00%,9.09%,7.14%,5.88%,4.35%,4.35%,3.57%,5.71%,7.32%,6.82%,6.00%,11.11%,13.11%,13.64%,13.24%,0.00%,0.00%,0.00%,9.09%,11.11%,11.11%,10.00%,8.11%,6.82%,6.12%,5.45%,8.33%,7.94%,7.46%,6.76%,6.41%,0.00%,0.00%,0.00%,4.35%,3.45%,2.94%,7.69%,8.89%,8.89%,8.00%,9.43%,8.47%,9.38%,10.29%,11.84%,11.11%,0.00%,40.00%,31.25%,26.32%,19.23%,15.15%,13.51%,13.51%,12.20%,13.33%,11.76%,10.34%,11.11%,9.86%,10.39%,9.52%,25.00%,28.57%,16.67%,14.29%,12.00%,10.34%,10.34%,11.43%,10.53%,9.30%,14.89%,12.73%,10.94%,10.45%,9.59%,8.43%,10.34%,40.00%,44.44%,40.00%,40.00%,31.58%,33.33%,28.00%,31.25%,30.56%,34.15%,31.11%,28.57%,26.42%,24.14%,23.81%,24.24%,0.00%,27.27%,23.53%,16.00%,16.67%,16.67%,18.92%,16.28%,14.29%,15.52%,17.19%,15.71%,14.47%,13.75%,12.79%,13.04%,50.00%,50.00%,42.86%,45.00%,40.74%,40.74%,36.36%,35.90%,33.33%,30.43%,32.69%,31.58%,32.26%,37.31%,35.21%,80.00%,72.73%,71.43%,65.00%,70.83%,66.67%,67.74%,72.22%,69.05%,69.05%,63.83%,62.26%,60.00%,53.03%,52.17%,52.70%,71.43%,81.82%,70.59%,75.00%,73.91%,73.33%,70.27%,70.73%,70.73%,69.57%,71.43%,71.15%,66.67%,65.57%,61.76%,60.56%,25.00%,28.57%,50.00%,50.00%,72.22%,69.57%,74.07%,78.12%,75.00%,71.79%,71.43%,70.83%,72.73%,70.69%,70.49%,68.66%
Atlanta,0.00%,0.00%,0.00%,4.76%,3.57%,2.86%,2.33%,2.33%,4.08%,3.92%,3.57%,3.17%,4.48%,4.29%,3.90%,3.66%,3.53%,0.00%,0.00%,0.00%,0.00%,5.56%,4.35%,12.90%,13.89%,13.89%,12.82%,11.90%,12.77%,11.32%,10.71%,9.68%,33.33%,14.29%,16.67%,13.33%,9.52%,7.41%,6.67%,6.67%,6.06%,4.88%,6.25%,10.00%,9.09%,8.33%,7.69%,7.14%,0.00%,0.00%,0.00%,0.00%,0.00%,5.56%,3.85%,3.12%,7.69%,6.98%,6.25%,7.55%,7.14%,6.78%,6.06%,5.80%,0.00%,22.22%,13.33%,20.00%,20.83%,16.67%,20.59%,20.59%,17.95%,16.67%,14.58%,12.96%,13.56%,18.18%,16.44%,15.38%,25.00%,22.22%,16.67%,29.41%,27.27%,22.22%,22.22%,18.75%,18.18%,18.92%,16.67%,18.75%,16.98%,15.25%,14.52%,15.15%,15.28%,0.00%,28.57%,28.57%,28.57%,23.53%,20.00%,28.57%,23.53%,21.05%,27.91%,24.49%,22.64%,21.67%,25.76%,25.00%,24.29%,20.00%,14.29%,23.08%,18.75%,15.79%,24.00%,18.75%,18.75%,16.67%,22.50%,20.45%,20.83%,18.87%,21.43%,25.00%,26.56%,71.43%,61.54%,55.56%,60.87%,66.67%,67.65%,64.10%,64.10%,65.85%,66.67%,69.23%,67.27%,66.10%,66.67%,65.15%,40.00%,44.44%,54.55%,62.50%,60.00%,64.00%,64.00%,62.07%,60.61%,66.67%,66.67%,66.67%,67.27%,65.57%,66.13%,64.18%,100.00%,90.91%,93.75%,91.30%,89.66%,89.66%,85.29%,82.50%,80.85%,78.18%,79.37%,80.60%,76.71%,70.89%,67.86%,67.03%,85.71%,58.33%,60.00%,62.50%,58.06%,56.76%,54.76%,55.32%,55.32%,50.98%,52.73%,50.82%,47.69%,43.24%,42.50%,42.17%
Baltimore,14.29%,9.09%,7.14%,11.11%,11.11%,13.64%,13.79%,12.50%,11.11%,13.64%,17.02%,14.55%,13.79%,14.52%,13.43%,13.24%,12.68%,20.00%,12.50%,9.09%,5.88%,5.00%,5.00%,4.35%,14.29%,12.50%,11.11%,10.26%,8.89%,8.00%,9.43%,8.62%,20.00%,27.27%,27.27%,23.08%,21.05%,23.81%,20.83%,20.69%,18.18%,20.51%,18.60%,15.69%,15.79%,15.00%,14.52%,13.24%,0.00%,0.00%,37.50%,30.77%,29.41%,26.09%,26.09%,22.22%,21.88%,21.62%,20.00%,19.51%,17.78%,16.67%,15.38%,14.81%,16.67%,20.00%,31.25%,31.82%,33.33%,34.62%,34.38%,34.38%,30.77%,25.53%,22.64%,21.31%,20.90%,18.92%,20.00%,18.60%,33.33%,33.33%,16.67%,8.33%,25.00%,31.82%,26.92%,26.67%,27.78%,27.50%,26.09%,26.53%,26.00%,24.53%,22.81%,20.97%,20.31%,20.00%,16.67%,21.43%,25.00%,25.00%,18.75%,18.75%,17.65%,15.79%,15.38%,16.28%,14.89%,13.21%,12.73%,12.28%,12.70%,0.00%,30.00%,21.43%,17.65%,14.29%,22.22%,22.86%,22.86%,21.05%,25.00%,22.92%,21.57%,20.00%,19.35%,19.40%,18.57%,50.00%,44.44%,36.36%,26.67%,26.67%,22.22%,30.43%,31.03%,29.41%,29.27%,34.78%,36.73%,36.54%,37.04%,36.07%,0.00%,22.22%,31.25%,33.33%,33.33%,35.48%,30.77%,30.77%,31.11%,34.00%,32.08%,33.33%,33.87%,31.88%,30.26%,29.11%,100.00%,100.00%,85.71%,75.00%,61.54%,54.84%,50.00%,50.00%,51.22%,50.00%,46.94%,45.10%,41.82%,39.34%,40.00%,43.84%,42.86%,60.00%,71.43%,76.47%,72.73%,69.23%,65.52%,57.14%,52.38%,52.27%,52.27%,52.00%,45.61%,49.18%,50.00%,50.00%
Buffalo,0.00%,0.00%,22.22%,13.33%,10.00%,7.41%,7.41%,5.71%,5.71%,5.26%,6.98%,6.38%,6.12%,5.77%,6.90%,9.52%,8.70%,33.33%,14.29%,14.29%,7.69%,11.76%,9.52%,7.69%,6.90%,8.57%,9.30%,8.51%,8.00%,8.93%,8.62%,8.06%,0.00%,16.67%,30.00%,18.75%,15.79%,13.04%,10.00%,8.82%,8.82%,8.33%,6.67%,6.12%,7.27%,6.56%,6.06%,5.56%,0.00%,0.00%,0.00%,0.00%,8.70%,7.14%,9.09%,9.09%,8.33%,7.50%,6.82%,12.24%,11.11%,10.34%,10.17%,9.09%,0.00%,0.00%,11.11%,9.52%,7.69%,7.69%,6.90%,6.45%,5.71%,5.13%,4.17%,7.02%,6.35%,5.97%,5.71%,9.09%,66.67%,25.00%,14.29%,11.76%,8.33%,8.33%,7.41%,6.06%,5.00%,6.67%,7.55%,6.78%,6.45%,5.97%,5.48%,5.06%,6.02%,20.00%,11.11%,13.33%,9.09%,12.00%,13.79%,12.90%,13.16%,13.16%,10.87%,12.00%,11.32%,10.17%,9.68%,9.09%,9.72%,50.00%,18.18%,17.65%,16.67%,12.12%,12.12%,20.00%,20.45%,25.00%,23.53%,23.21%,22.58%,20.59%,19.72%,21.62%,19.75%,50.00%,87.50%,85.71%,84.21%,79.17%,80.00%,80.00%,80.65%,72.97%,71.74%,62.26%,60.34%,62.50%,60.56%,58.97%,66.67%,69.23%,68.75%,76.00%,75.76%,70.00%,65.22%,65.22%,60.00%,62.07%,59.02%,60.00%,59.42%,56.94%,56.10%,55.81%,83.33%,91.67%,88.24%,90.91%,86.67%,74.29%,71.79%,75.56%,76.47%,75.44%,75.00%,75.00%,74.24%,70.83%,70.13%,70.51%,60.00%,37.50%,38.46%,42.11%,50.00%,55.17%,55.88%,55.26%,55.26%,50.00%,48.94%,48.98%,51.92%,54.39%,53.23%,53.62%
Carolina,20.00%,25.00%,25.00%,20.00%,20.00%,12.50%,16.67%,17.86%,19.35%,16.67%,17.50%,15.56%,13.46%,12.50%,13.33%,12.70%,11.76%,0.00%,22.22%,22.22%,13.33%,30.00%,25.93%,22.58%,18.92%,16.28%,14.29%,15.38%,16.36%,15.25%,14.75%,16.18%,16.67%,10.00%,18.75%,23.81%,26.92%,22.58%,22.58%,20.59%,18.92%,17.95%,16.28%,15.22%,14.29%,13.21%,12.50%,13.11%,40.00%,30.00%,26.67%,21.05%,25.00%,21.43%,18.75%,15.38%,15.38%,14.29%,13.64%,12.50%,11.11%,13.33%,13.24%,14.29%,0.00%,20.00%,33.33%,30.00%,25.00%,25.93%,25.93%,24.24%,24.32%,23.81%,22.92%,20.37%,21.05%,23.08%,23.53%,21.92%,0.00%,22.22%,14.29%,16.67%,15.79%,16.00%,14.81%,18.75%,18.75%,22.86%,21.95%,24.49%,25.00%,22.95%,21.88%,20.00%,19.74%,14.29%,50.00%,52.94%,52.94%,40.91%,38.46%,34.38%,30.56%,30.23%,37.50%,33.96%,33.33%,31.67%,29.23%,28.36%,27.14%,0.00%,0.00%,11.76%,9.09%,14.29%,14.29%,15.15%,13.16%,13.64%,14.00%,18.97%,17.46%,15.94%,14.67%,13.92%,12.94%,60.00%,41.67%,46.67%,36.36%,42.86%,41.18%,43.59%,43.18%,43.18%,49.02%,50.85%,51.56%,54.29%,50.65%,51.85%,80.00%,54.55%,45.00%,51.85%,48.48%,48.48%,48.72%,53.49%,51.06%,53.70%,52.54%,49.23%,50.00%,47.30%,46.05%,46.84%,100.00%,60.00%,63.64%,63.64%,62.50%,57.89%,56.52%,51.85%,56.67%,55.88%,53.85%,56.82%,55.32%,56.60%,53.45%,51.61%,100.00%,100.00%,83.33%,84.21%,83.33%,68.75%,69.23%,65.12%,60.42%,60.71%,58.06%,58.06%,57.35%,57.75%,54.67%,53.16%
Chicago,10.00%,6.67%,6.67%,4.55%,7.14%,6.25%,5.41%,5.00%,4.76%,4.26%,3.77%,3.57%,5.17%,4.55%,4.35%,4.05%,3.75%,0.00%,0.00%,0.00%,9.52%,9.52%,8.00%,6.67%,5.88%,5.26%,4.65%,3.92%,3.64%,3.45%,3.17%,2.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.76%,4.00%,6.90%,6.06%,5.71%,5.26%,5.00%,4.55%,4.35%,4.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.44%,2.44%,2.27%,1.96%,1.69%,1.59%,1.47%,1.39%,2.70%,0.00%,10.00%,13.33%,10.00%,9.09%,7.14%,8.33%,8.33%,7.32%,6.67%,5.66%,5.45%,4.84%,4.62%,4.23%,3.95%,3.66%,16.67%,11.11%,20.00%,15.00%,15.00%,12.50%,9.38%,8.82%,7.32%,6.82%,6.12%,5.26%,4.92%,4.55%,4.17%,3.80%,0.00%,0.00%,0.00%,6.25%,5.26%,13.04%,11.11%,11.11%,9.68%,11.43%,11.11%,9.30%,8.33%,7.27%,6.90%,6.15%,25.00%,45.45%,47.06%,45.83%,41.38%,36.36%,33.33%,33.33%,29.27%,28.89%,26.00%,24.14%,23.33%,25.00%,25.35%,50.00%,55.56%,41.67%,31.25%,33.33%,33.33%,30.00%,22.22%,23.33%,20.59%,21.95%,20.45%,18.75%,17.31%,19.64%,20.00%,75.00%,36.36%,29.41%,30.77%,39.39%,37.84%,33.33%,33.33%,30.00%,27.78%,28.81%,31.34%,32.88%,30.77%,30.95%,29.03%,83.33%,81.82%,64.71%,66.67%,66.67%,64.71%,65.00%,62.00%,62.00%,51.67%,48.44%,47.06%,50.67%,48.19%,44.94%,44.68%
Cincinnati,0.00%,7.69%,5.88%,10.00%,11.54%,11.54%,12.90%,11.43%,10.26%,8.89%,8.16%,7.27%,8.33%,7.58%,6.94%,10.26%,9.52%,16.67%,40.00%,40.00%,35.00%,35.00%,38.46%,34.48%,29.41%,27.78%,25.64%,23.26%,19.23%,16.95%,16.92%,16.67%,0.00%,0.00%,0.00%,9.09%,23.53%,26.09%,20.69%,20.69%,21.21%,21.21%,17.07%,15.22%,13.73%,12.50%,11.67%,10.29%,0.00%,14.29%,8.33%,26.32%,26.32%,27.27%,24.00%,28.12%,23.08%,21.28%,19.61%,19.23%,18.52%,17.54%,17.19%,17.39%,20.00%,6.67%,4.76%,7.14%,7.14%,9.09%,10.26%,9.09%,9.62%,9.26%,10.00%,9.52%,8.82%,8.45%,7.89%,7.59%,0.00%,22.22%,13.33%,15.00%,11.54%,12.50%,12.82%,13.33%,14.00%,14.00%,14.81%,13.33%,11.94%,10.96%,11.69%,11.54%,11.25%,33.33%,25.00%,15.38%,10.53%,9.09%,7.41%,6.90%,6.90%,6.45%,5.56%,7.32%,6.98%,6.52%,5.77%,5.17%,4.92%,42.86%,50.00%,50.00%,35.29%,27.27%,27.27%,20.69%,17.14%,14.63%,15.22%,12.96%,11.86%,10.61%,9.72%,9.21%,8.64%,0.00%,55.56%,50.00%,47.37%,45.83%,46.43%,46.43%,40.62%,38.89%,41.46%,48.94%,44.23%,43.10%,42.86%,40.30%,66.67%,46.67%,42.86%,50.00%,50.00%,45.71%,41.46%,41.46%,40.43%,41.18%,41.51%,42.86%,40.68%,39.68%,37.31%,40.00%,100.00%,87.50%,64.29%,50.00%,52.38%,48.15%,53.12%,47.22%,46.34%,47.83%,52.94%,52.94%,50.00%,47.46%,43.94%,44.93%,100.00%,71.43%,60.00%,60.00%,45.00%,53.57%,52.94%,52.50%,45.65%,47.06%,46.30%,44.07%,44.44%,45.07%,44.44%,44.16%
Cleveland,0.00%,10.00%,7.14%,5.56%,4.55%,4.17%,3.23%,3.03%,3.03%,2.50%,2.33%,2.13%,3.70%,3.28%,5.97%,6.85%,6.58%,0.00%,0.00%,0.00%,6.25%,4.55%,3.85%,3.12%,3.12%,2.63%,2.33%,2.17%,3.51%,4.69%,4.17%,3.95%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.12%,8.57%,7.14%,6.98%,6.25%,5.66%,5.17%,5.00%,4.41%,16.67%,8.33%,23.53%,19.05%,15.38%,15.38%,16.67%,14.71%,12.50%,11.36%,10.20%,10.91%,10.00%,9.09%,8.33%,7.69%,42.86%,26.67%,31.82%,26.92%,21.21%,17.95%,17.95%,18.18%,16.00%,14.04%,13.85%,14.49%,13.33%,12.50%,12.20%,12.64%,0.00%,25.00%,15.38%,17.65%,17.65%,20.00%,17.39%,18.52%,17.14%,19.05%,19.15%,17.31%,16.36%,16.67%,19.40%,20.00%,21.05%,0.00%,23.08%,15.00%,12.50%,11.54%,9.38%,13.16%,13.33%,13.33%,12.24%,12.50%,13.33%,12.12%,11.76%,10.67%,10.26%,0.00%,0.00%,21.43%,15.79%,12.50%,13.79%,12.12%,12.12%,11.11%,12.20%,15.22%,13.46%,12.73%,11.86%,10.77%,10.00%,50.00%,50.00%,58.82%,52.17%,52.17%,46.43%,46.67%,42.86%,36.59%,37.78%,37.50%,35.19%,33.90%,33.87%,34.33%,0.00%,9.09%,18.75%,28.57%,25.00%,30.30%,32.43%,30.77%,31.82%,31.82%,28.57%,30.77%,32.14%,31.03%,27.69%,31.94%,33.33%,33.33%,53.33%,50.00%,47.83%,55.17%,51.43%,51.22%,51.11%,51.11%,52.83%,49.15%,52.31%,50.70%,50.00%,48.78%,20.00%,40.00%,53.33%,53.33%,47.62%,50.00%,55.17%,56.25%,52.78%,52.63%,47.73%,53.06%,55.36%,51.61%,49.28%,50.68%
Dallas,16.67%,7.69%,7.69%,6.25%,5.00%,4.17%,3.85%,6.45%,8.82%,8.11%,7.32%,8.70%,11.11%,9.84%,9.68%,9.38%,8.82%,0.00%,9.09%,6.67%,6.67%,4.55%,7.41%,8.82%,7.89%,6.67%,7.55%,6.78%,6.56%,5.88%,5.41%,5.19%,20.00%,12.50%,7.14%,25.00%,21.74%,17.86%,16.13%,17.14%,17.14%,15.00%,14.29%,13.04%,12.00%,10.91%,9.84%,9.09%,20.00%,12.50%,12.50%,18.18%,11.11%,10.00%,11.11%,10.00%,8.82%,10.81%,10.00%,9.30%,8.33%,7.27%,8.33%,9.23%,12.50%,15.38%,12.50%,16.67%,17.39%,18.75%,22.86%,22.86%,20.51%,18.18%,16.33%,15.69%,14.04%,12.70%,12.12%,11.43%,33.33%,18.18%,18.75%,17.39%,20.69%,17.14%,19.05%,17.39%,17.31%,17.31%,16.36%,14.52%,16.67%,15.49%,14.86%,13.58%,13.48%,0.00%,0.00%,7.69%,17.65%,13.64%,13.64%,19.23%,20.00%,17.14%,15.79%,14.63%,18.60%,16.33%,16.67%,17.24%,16.95%,0.00%,22.22%,15.38%,15.38%,15.00%,12.00%,18.18%,15.38%,12.77%,11.54%,10.71%,12.70%,13.04%,14.47%,14.81%,16.09%,66.67%,72.73%,80.00%,72.73%,72.73%,70.37%,72.41%,66.67%,65.00%,66.67%,63.83%,59.62%,57.14%,60.32%,62.12%,25.00%,20.00%,23.08%,40.00%,40.00%,50.00%,55.17%,48.65%,47.62%,48.94%,54.72%,53.33%,54.55%,56.94%,58.44%,59.04%,83.33%,80.00%,83.33%,72.22%,62.96%,61.29%,57.58%,53.85%,54.55%,50.00%,50.00%,47.37%,46.77%,40.85%,43.59%,44.05%,60.00%,75.00%,64.29%,66.67%,63.64%,60.71%,65.62%,64.86%,61.90%,60.00%,60.00%,62.00%,56.90%,52.38%,49.28%,50.70%
Denver,0.00%,0.00%,20.00%,35.71%,26.32%,30.43%,25.93%,21.21%,17.07%,17.07%,16.28%,16.33%,15.38%,17.54%,19.67%,18.46%,18.46%,20.00%,14.29%,9.09%,14.29%,22.22%,25.00%,20.00%,24.24%,27.78%,27.78%,25.00%,24.44%,22.45%,26.42%,22.95%,16.67%,20.00%,23.08%,26.67%,20.00%,28.00%,26.67%,26.47%,26.47%,26.32%,25.64%,22.73%,20.00%,18.87%,17.54%,16.95%,42.86%,45.45%,46.15%,46.15%,40.00%,41.18%,42.11%,48.15%,41.94%,37.14%,39.02%,34.04%,32.08%,30.65%,28.36%,29.17%,0.00%,50.00%,42.86%,38.10%,42.86%,42.86%,42.42%,43.24%,36.96%,34.00%,38.18%,33.87%,31.88%,30.99%,31.17%,29.27%,33.33%,63.64%,52.94%,36.00%,32.14%,36.36%,31.71%,31.71%,31.25%,30.91%,28.33%,30.30%,28.57%,29.73%,28.75%,27.59%,25.00%,0.00%,20.00%,28.57%,30.00%,40.00%,28.57%,28.57%,25.00%,24.24%,20.51%,27.66%,26.00%,24.07%,27.12%,31.25%,28.17%,40.00%,37.50%,64.29%,50.00%,54.17%,62.07%,66.67%,59.09%,59.09%,55.10%,49.09%,47.62%,45.45%,39.47%,35.71%,37.78%,100.00%,90.91%,86.67%,65.22%,70.97%,70.97%,75.00%,75.00%,69.39%,69.23%,66.07%,62.30%,59.70%,61.43%,59.74%,100.00%,81.82%,66.67%,66.67%,59.26%,53.12%,53.12%,51.43%,48.78%,46.67%,44.90%,45.28%,47.46%,46.77%,46.97%,48.57%,100.00%,75.00%,68.75%,71.43%,65.52%,70.59%,66.67%,67.39%,67.39%,62.75%,63.64%,62.90%,59.70%,55.56%,52.56%,50.00%,80.00%,77.78%,80.00%,80.00%,85.00%,79.17%,78.57%,75.00%,65.85%,64.44%,65.38%,62.07%,58.06%,56.06%,53.62%,54.55%
