Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,184.0,188.0,179.0,155.2,162.0,157.3,157.3,154.3,162.9,174.6,166.2,159.6,158.8,154.9,154.8,155.2,152.4,92.0,104.5,134.7,177.8,185.8,185.8,192.3,203.9,201.2,197.7,199.1,198.7,197.0,202.9,212.9,257.0,269.0,222.3,230.8,220.8,220.8,228.3,210.1,200.8,204.3,193.6,186.5,186.0,185.6,183.4,200.6,145.0,154.5,134.3,118.5,143.4,163.3,153.6,144.9,144.9,139.0,147.1,149.7,144.5,144.2,136.4,137.2,229.0,197.5,158.7,178.8,180.4,191.5,192.1,192.1,199.4,190.8,174.6,180.4,175.2,175.7,168.2,170.3,70.0,123.0,138.0,125.0,114.6,140.0,140.0,139.0,163.9,163.4,163.0,164.2,161.2,154.4,152.8,152.0,152.5,338.0,259.5,224.7,224.7,218.0,233.6,234.7,234.7,223.5,229.8,225.4,219.9,218.6,216.3,214.5,214.1,274.0,161.0,191.7,155.8,151.4,151.4,159.5,169.6,171.4,155.8,161.5,156.0,158.2,162.1,157.1,161.4,171.0,129.5,199.3,193.2,192.6,192.6,180.2,169.7,176.6,192.0,184.2,188.7,188.8,199.5,202.8,148.0,148.5,163.7,173.5,203.2,218.7,226.4,226.8,225.6,225.6,221.8,219.9,222.8,214.5,222.1,231.5,126.0,188.5,186.7,209.2,198.4,207.0,195.1,194.1,194.1,210.1,225.1,222.8,233.8,232.3,226.1,232.9,216.0,148.5,154.3,154.3,163.8,171.0,180.7,188.1,184.0,194.3,199.4,194.9,189.1,187.7,199.3,196.9
Atlanta,227.0,233.5,238.3,216.5,219.4,193.0,177.3,177.3,173.9,171.0,178.0,178.2,177.3,187.9,184.3,176.7,174.0,226.0,195.0,199.0,200.0,204.4,203.7,182.3,171.9,171.9,183.3,185.0,187.0,188.0,184.5,178.5,213.0,226.5,193.3,199.0,209.8,187.0,191.1,191.1,199.8,187.8,182.1,177.9,185.8,197.2,199.6,198.9,240.0,197.5,206.0,195.0,195.0,184.4,171.0,172.7,160.1,184.7,176.2,180.7,181.0,180.5,178.8,185.2,189.0,160.0,164.7,145.2,142.6,144.0,145.9,145.9,156.1,175.7,177.7,175.5,187.8,181.8,178.6,180.2,240.0,215.0,234.0,220.5,200.4,187.7,187.7,198.6,209.8,198.9,190.8,188.2,184.3,181.7,194.1,183.9,186.2,194.0,122.5,110.7,110.7,133.2,132.8,131.7,124.3,126.0,127.6,124.7,132.3,130.8,123.4,126.1,134.1,234.0,208.5,165.0,169.8,177.0,159.5,154.6,154.6,149.9,153.4,160.4,153.8,163.9,175.4,173.8,181.6,278.0,209.0,177.0,164.0,147.6,135.2,144.6,144.6,178.0,178.4,180.4,189.2,190.2,194.2,200.1,47.0,150.0,150.7,176.5,191.6,189.8,189.8,181.7,181.0,187.7,203.2,192.9,189.2,179.8,174.1,167.4,127.0,210.5,192.0,165.0,155.6,155.6,157.7,161.6,155.4,145.0,143.7,145.9,156.7,154.9,153.4,150.0,100.0,132.0,167.7,143.2,140.8,145.8,146.6,141.2,141.2,135.7,143.5,133.1,134.8,126.8,126.5,131.3
Baltimore,209.0,240.5,230.3,242.5,242.5,223.2,217.0,209.4,215.5,217.3,220.0,222.2,220.9,219.0,224.4,223.5,227.2,311.0,257.5,212.3,187.8,198.6,198.6,190.2,199.4,197.4,211.6,212.9,212.2,205.9,208.1,212.1,224.0,259.0,259.0,267.3,240.8,230.2,233.7,216.3,198.5,191.7,198.6,189.0,190.8,188.2,181.2,177.3,295.0,226.5,254.0,248.5,229.8,210.0,210.0,191.1,189.0,193.0,185.8,193.7,196.8,190.1,197.2,203.0,189.0,183.0,148.0,141.0,181.0,165.5,174.4,174.4,194.4,180.2,183.2,182.2,179.7,178.8,179.3,179.1,260.0,260.0,250.0,258.0,225.8,229.2,212.8,209.0,210.9,202.6,194.1,198.4,219.8,221.8,217.5,215.6,212.5,237.0,156.0,173.0,148.5,150.6,161.7,161.7,180.0,182.5,200.2,191.0,197.8,189.9,187.9,187.5,181.8,269.0,285.5,273.7,262.2,259.8,263.7,238.9,238.9,225.5,219.9,233.2,241.1,236.1,230.4,229.5,221.9,191.0,153.0,201.0,228.2,228.2,225.2,234.3,232.0,215.1,212.1,217.3,219.4,221.5,220.5,204.8,165.0,163.5,160.0,192.5,199.2,171.3,181.0,181.0,178.8,185.3,195.1,214.9,209.8,208.7,214.6,224.3,286.0,269.5,232.7,248.2,272.6,269.0,234.0,234.0,235.5,232.2,231.5,238.0,231.1,238.9,235.1,238.0,149.0,142.5,148.3,150.2,148.8,152.5,161.3,158.5,165.2,187.7,187.7,183.9,172.2,176.6,178.1,184.7
Buffalo,205.0,172.0,160.0,156.5,125.2,119.7,160.3,168.0,168.0,182.0,181.9,185.4,196.4,192.5,191.5,192.9,187.1,237.0,228.5,228.5,204.3,174.2,171.4,177.2,191.4,187.8,174.7,158.3,156.5,162.2,164.5,167.0,194.0,205.5,177.0,170.8,160.8,162.2,155.4,160.9,160.9,154.8,144.6,138.8,145.6,142.0,140.6,134.5,163.0,187.0,228.0,219.8,196.6,191.5,196.4,196.4,195.6,186.7,191.3,185.5,186.1,185.2,194.6,189.5,35.0,38.0,45.0,72.2,76.4,76.4,98.3,111.7,122.5,126.1,115.1,108.2,105.5,114.5,120.2,118.9,330.0,237.0,250.0,238.2,201.8,201.8,186.0,182.0,165.0,155.9,159.9,155.4,162.0,162.2,158.1,147.6,147.2,37.0,132.0,159.3,157.5,201.8,199.7,204.6,183.9,183.9,173.9,176.9,179.2,186.9,183.8,181.4,180.3,238.0,169.5,147.7,160.0,128.0,128.0,143.5,148.4,149.9,162.6,153.4,156.5,155.3,155.5,151.9,155.5,293.0,216.0,184.0,186.0,159.2,154.3,154.3,169.0,156.8,145.1,158.3,162.0,167.6,163.8,168.7,76.0,135.5,184.7,168.2,151.4,161.0,152.9,152.9,160.0,149.9,155.0,162.0,164.8,172.0,165.4,164.9,216.0,217.0,241.3,255.2,252.6,243.2,246.7,236.2,240.0,234.2,235.4,235.4,236.7,241.6,233.8,248.9,146.0,164.5,188.0,195.8,218.6,207.8,213.3,209.6,209.6,219.4,208.7,215.7,215.0,208.4,206.5,208.3
Carolina,225.0,235.5,235.5,238.0,178.5,174.4,190.2,195.4,188.1,195.8,202.9,201.8,195.6,192.9,188.4,195.9,183.6,157.0,179.5,179.5,183.0,168.0,163.2,165.2,148.7,149.4,143.6,140.4,134.6,142.5,143.2,138.5,87.0,147.5,182.0,189.0,176.6,180.3,180.3,183.0,190.5,180.6,185.5,182.1,183.1,182.5,181.9,188.8,154.0,220.0,227.7,227.5,244.4,238.3,245.1,233.4,233.4,234.0,251.1,254.1,255.2,263.1,252.9,251.5,215.0,196.5,179.7,168.0,148.8,169.2,169.2,165.7,170.5,187.1,180.6,180.6,184.8,172.6,179.4,175.0,202.0,224.5,220.7,217.8,229.2,223.3,213.0,202.2,202.2,225.7,214.5,206.7,200.2,192.5,193.0,192.5,188.6,138.0,135.0,151.7,151.7,158.2,148.4,181.7,179.3,171.4,162.2,170.1,169.5,162.2,156.3,166.9,163.3,48.0,133.5,165.3,154.2,168.4,168.4,188.5,190.4,190.9,184.1,184.3,174.5,171.9,178.0,179.6,175.5,191.0,148.0,160.7,153.0,134.6,133.7,119.9,124.9,124.9,132.2,126.1,133.3,128.0,139.4,133.6,182.0,148.0,124.0,146.0,138.6,138.6,147.7,152.1,149.2,163.6,170.8,162.7,158.8,159.5,165.2,167.9,188.0,151.0,178.3,178.3,182.0,181.0,177.5,181.9,184.2,194.4,178.4,183.1,181.6,178.8,175.4,183.7,184.0,194.5,179.0,144.0,140.8,123.7,137.4,135.2,141.0,153.3,169.2,169.2,174.3,177.3,177.2,180.2
Chicago,123.0,97.0,97.0,100.3,97.0,98.2,96.8,116.1,126.4,136.9,142.0,143.1,154.9,157.1,154.2,157.1,158.0,227.0,186.5,134.0,122.2,122.2,161.8,163.8,172.1,179.1,187.4,175.7,187.0,174.2,184.5,185.0,96.0,91.0,170.0,170.0,184.5,188.0,213.8,222.4,228.5,231.1,236.8,238.1,234.4,231.3,229.4,220.1,146.0,186.0,173.0,194.8,212.8,215.2,215.2,200.7,204.4,204.1,208.0,199.3,195.9,198.8,215.1,221.9,244.0,213.5,193.7,175.8,180.6,189.3,178.3,175.6,175.6,202.7,197.9,199.4,198.4,197.8,201.5,193.1,73.0,190.5,208.0,222.2,242.2,212.2,181.9,181.9,185.8,197.2,183.8,187.4,199.9,204.5,203.4,197.2,194.0,213.0,181.0,153.7,169.8,169.8,172.4,149.7,160.4,160.9,161.6,160.7,152.8,166.8,164.3,166.8,169.5,320.0,216.0,163.0,184.2,214.4,229.3,225.3,225.3,207.6,198.9,204.4,197.3,190.5,178.5,174.9,171.5,178.0,205.5,203.3,155.0,156.2,156.7,184.0,184.0,167.5,162.6,152.2,160.7,179.7,191.0,191.2,214.0,212.0,214.7,186.8,205.4,205.4,223.5,201.0,202.1,213.7,211.2,206.2,205.5,209.8,206.7,215.6,192.0,171.0,133.7,128.5,134.4,131.8,132.0,132.0,143.9,145.9,147.0,142.5,151.9,147.4,150.4,146.3,216.0,134.5,127.7,95.8,114.8,132.2,124.0,113.0,113.0,112.4,116.0,125.7,125.9,121.7,125.6,119.6
Cincinnati,212.0,230.5,178.3,169.5,135.6,135.6,144.0,135.0,145.1,144.7,145.0,148.0,146.8,146.8,138.1,133.0,131.4,57.0,215.0,210.7,202.8,202.8,190.4,185.3,190.4,184.5,191.4,199.3,191.8,185.7,181.2,181.4,73.0,99.0,144.7,143.0,148.6,143.5,134.9,130.8,128.4,128.4,123.4,128.5,125.5,123.8,123.4,118.7,163.0,194.5,157.7,142.8,142.8,163.4,183.5,176.1,173.5,173.8,171.3,172.2,179.4,172.7,166.9,170.2,194.0,136.5,155.7,126.2,126.2,163.4,148.8,132.9,124.5,120.8,128.4,125.5,126.9,134.8,130.1,125.7,230.0,228.0,193.3,180.8,172.2,154.2,157.6,143.4,155.0,155.0,170.6,168.0,178.5,173.4,179.7,182.9,185.6,291.0,218.0,168.0,210.0,213.2,200.2,185.4,185.4,187.8,188.8,186.3,194.4,193.8,188.8,186.2,189.8,43.0,147.0,166.3,166.0,168.0,168.0,160.8,162.4,163.9,177.3,162.0,177.1,171.2,169.8,169.0,166.2,253.0,279.5,282.7,293.0,278.6,261.0,261.0,244.3,250.1,245.6,257.7,254.3,251.2,239.8,237.6,68.0,82.0,143.3,168.0,171.0,191.8,180.9,180.9,175.9,168.4,184.4,190.5,189.2,187.6,189.6,195.6,199.0,249.0,209.3,206.8,232.6,228.8,219.7,220.8,234.2,240.1,235.7,235.7,228.8,231.2,222.9,219.3,124.0,172.0,148.3,148.3,128.2,110.2,136.5,123.3,131.6,146.6,144.2,150.7,157.3,162.2,171.0,172.3
Cleveland,117.0,130.5,140.3,149.0,154.4,172.2,165.1,167.4,167.4,157.8,161.6,178.5,168.8,165.1,164.5,165.5,167.8,232.0,170.0,160.0,181.5,174.6,196.7,193.1,193.1,192.6,188.7,195.0,186.3,176.5,171.1,170.9,102.0,108.0,108.0,108.0,117.0,133.6,139.0,138.4,147.8,141.0,144.8,151.5,152.6,148.5,154.2,151.8,94.0,129.0,159.7,174.5,206.4,206.4,206.7,199.0,197.5,205.9,198.8,193.9,188.2,178.2,179.3,172.0,223.0,164.5,150.7,113.0,127.2,127.5,127.5,117.3,109.4,118.1,119.6,119.3,121.8,126.4,134.9,136.5,74.0,151.5,141.7,142.0,142.0,130.0,146.7,142.1,148.0,134.2,131.6,128.6,124.2,123.8,120.9,124.9,125.8,145.0,115.0,126.7,166.5,193.4,168.7,152.9,152.8,152.8,166.3,160.3,166.8,157.0,166.5,171.4,173.3,259.0,241.5,209.7,186.2,179.0,188.7,176.3,176.3,175.4,168.2,158.1,158.6,170.0,168.2,158.6,156.1,304.0,230.0,201.7,206.0,206.0,193.6,210.8,211.3,193.9,195.7,194.4,192.5,183.0,179.4,184.6,252.0,184.5,192.7,201.5,174.8,188.0,188.3,198.8,203.2,203.2,209.0,211.1,207.3,206.2,205.6,200.9,238.0,255.0,271.7,240.8,229.6,231.2,211.0,212.2,215.8,215.8,230.5,230.6,231.2,228.8,220.4,212.3,242.0,223.0,192.7,192.7,188.0,209.4,224.3,235.3,221.0,236.8,232.1,225.4,224.1,227.2,216.4,213.7
Dallas,213.0,227.0,227.0,210.3,209.2,233.6,235.8,228.0,235.2,242.4,245.1,244.3,234.8,229.3,235.9,239.2,246.3,90.0,126.5,182.0,182.0,164.2,171.4,154.3,147.4,151.2,158.1,159.0,178.6,169.0,173.2,172.4,61.0,174.0,179.7,175.0,198.8,199.3,216.3,212.9,212.9,218.7,212.2,220.3,221.8,219.5,216.4,221.1,222.0,270.0,270.0,218.7,241.0,234.6,218.7,219.9,208.6,194.1,185.3,182.5,175.3,174.9,174.7,170.8,74.0,86.0,105.0,168.0,176.0,160.5,180.9,180.9,169.9,168.0,158.9,172.0,169.2,168.2,175.7,178.5,175.0,159.5,177.0,175.5,170.4,174.7,168.4,165.5,164.3,164.3,162.1,157.7,169.2,171.2,180.4,183.9,180.2,202.0,192.0,207.3,218.0,240.4,240.4,226.0,211.7,201.0,205.9,201.5,221.1,219.2,210.5,205.9,212.1,239.0,194.5,155.7,155.7,160.0,169.8,169.0,172.0,162.4,158.7,156.9,152.4,149.9,149.8,146.6,153.7,210.0,242.0,235.3,232.5,232.5,204.6,205.5,184.3,183.1,179.7,183.8,181.4,192.5,189.1,189.1,178.0,185.5,206.3,184.8,184.8,172.8,182.5,196.3,177.1,181.6,181.0,183.5,174.8,171.5,172.1,174.2,125.0,195.0,204.0,183.2,146.6,127.5,163.0,162.4,156.3,144.0,144.0,154.4,159.7,147.4,149.0,143.7,183.0,186.5,132.3,120.0,145.2,148.8,155.9,160.5,159.7,167.6,167.6,166.2,162.9,160.6,160.4,161.9
Denver,135.0,166.0,211.7,208.0,213.0,223.5,224.4,219.8,207.2,207.2,209.9,191.0,190.7,186.6,183.0,180.3,179.4,172.0,248.5,244.0,233.5,233.0,233.2,226.9,210.8,216.4,216.4,209.8,208.8,218.0,226.2,219.4,109.0,159.0,174.7,186.0,185.6,210.2,203.9,220.5,220.5,213.9,207.5,207.7,195.0,185.6,187.4,187.9,127.0,180.5,223.7,223.7,214.8,205.6,210.2,184.9,170.5,180.3,173.3,164.4,175.8,172.7,169.8,171.5,252.0,219.0,146.3,124.8,114.4,114.4,108.0,113.0,116.4,118.6,114.0,123.3,117.4,135.8,133.4,139.2,196.0,121.0,104.7,102.8,144.0,138.8,134.6,134.6,141.9,135.8,128.4,129.0,131.9,130.5,132.7,134.3,128.6,261.0,251.5,224.0,230.5,226.8,201.3,201.3,194.3,195.0,190.2,181.4,185.3,194.2,195.3,193.5,192.7,161.0,133.0,158.7,166.2,163.8,171.7,166.6,178.9,178.9,170.4,166.0,167.4,174.8,175.0,172.5,171.1,201.0,193.0,171.7,141.0,134.8,134.8,164.3,174.6,177.1,188.9,191.8,195.1,200.9,218.8,214.4,120.0,180.5,194.3,221.8,203.2,197.3,197.3,222.0,217.2,229.3,247.5,246.1,239.1,237.4,243.3,238.2,393.0,251.5,254.7,228.8,191.4,181.8,216.4,222.4,222.4,223.4,229.2,229.6,229.2,224.9,217.9,225.9,219.0,149.5,195.0,195.0,253.5,262.6,260.5,248.9,239.5,250.3,251.3,241.9,236.5,225.6,221.8,217.5
