Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,66.7%,73.8%,77.4%,83.8%,83.8%,78.3%,78.3%,76.3%,77.9%,77.5%,81.1%,80.6%,82.2%,84.1%,83.1%,84.2%,84.8%,100.0%,100.0%,100.0%,87.3%,83.5%,83.5%,79.4%,80.0%,82.8%,84.2%,86.8%,87.6%,88.8%,90.1%,87.9%,66.7%,76.3%,85.4%,74.5%,79.1%,79.1%,80.6%,80.3%,83.5%,84.6%,86.2%,84.9%,85.4%,84.0%,85.4%,86.2%,100.0%,100.0%,100.0%,92.7%,94.1%,80.4%,81.8%,84.7%,84.7%,86.5%,87.1%,88.6%,89.4%,90.2%,91.2%,91.7%,100.0%,100.0%,89.4%,91.2%,93.6%,94.9%,91.1%,91.1%,92.0%,92.8%,90.5%,89.2%,90.0%,88.5%,89.5%,90.3%,100.0%,100.0%,100.0%,93.1%,94.1%,95.1%,95.1%,95.9%,96.2%,93.3%,93.9%,94.7%,95.5%,95.7%,94.2%,94.8%,95.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.1%,95.7%,96.2%,96.4%,96.8%,97.0%,97.3%,95.0%,95.2%,100.0%,100.0%,100.0%,94.1%,94.9%,94.9%,95.6%,89.4%,90.7%,92.0%,92.8%,93.4%,93.8%,94.0%,94.3%,94.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.7%,98.9%,97.0%,93.9%,94.5%,92.2%,92.6%,93.1%,93.5%,100.0%,100.0%,100.0%,100.0%,100.0%,97.9%,92.4%,93.7%,94.8%,94.8%,91.8%,86.8%,87.2%,84.9%,85.4%,82.4%,100.0%,85.1%,91.0%,92.0%,92.6%,92.9%,94.4%,94.8%,94.8%,95.4%,95.7%,95.9%,96.3%,96.5%,96.9%,97.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.5%,95.9%,96.0%,96.4%,96.9%,97.1%,97.1%,97.5%
Atlanta,100.0%,95.7%,97.4%,98.0%,95.7%,91.4%,93.2%,93.2%,93.8%,94.0%,94.5%,92.9%,93.3%,93.6%,94.2%,94.6%,94.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,97.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,96.6%,96.7%,97.0%,97.2%,97.4%,97.6%,100.0%,100.0%,78.1%,66.7%,66.7%,79.7%,86.9%,89.6%,91.5%,92.3%,93.2%,94.1%,94.4%,94.5%,92.9%,93.1%,41.7%,62.2%,78.1%,82.5%,79.0%,84.0%,86.2%,86.2%,87.5%,84.5%,83.5%,85.6%,87.1%,86.2%,83.6%,84.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,97.1%,97.4%,97.5%,97.7%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,93.9%,90.6%,91.6%,92.8%,93.9%,94.3%,92.5%,93.1%,93.3%,93.4%,100.0%,100.0%,100.0%,88.5%,90.1%,93.1%,89.7%,89.7%,86.6%,88.2%,89.2%,90.1%,91.1%,91.5%,92.0%,92.5%,76.7%,88.5%,90.9%,93.3%,94.7%,95.3%,95.7%,95.7%,91.8%,92.9%,93.5%,93.9%,94.3%,94.0%,91.8%,100.0%,100.0%,100.0%,100.0%,92.5%,93.8%,93.8%,94.6%,95.1%,96.0%,96.4%,96.8%,96.9%,97.3%,97.3%,96.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,96.8%,97.2%,95.2%,95.5%,95.9%,96.1%,96.4%,95.0%,100.0%,100.0%,90.3%,93.8%,95.1%,95.9%,95.5%,95.9%,95.9%,96.2%,96.5%,96.8%,94.6%,95.3%,93.8%,94.0%
Baltimore,100.0%,100.0%,100.0%,90.5%,90.5%,92.3%,94.4%,94.7%,90.5%,88.4%,88.9%,90.9%,91.1%,91.6%,92.2%,92.2%,92.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,93.9%,94.7%,95.1%,91.5%,92.7%,89.8%,90.7%,70.8%,67.3%,67.3%,69.2%,81.6%,82.2%,84.0%,86.7%,88.7%,86.5%,87.5%,89.8%,90.4%,90.9%,91.0%,91.8%,--,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.5%,98.6%,98.6%,98.7%,98.8%,98.9%,99.0%,74.1%,82.5%,88.9%,92.2%,92.8%,93.0%,94.1%,94.1%,95.5%,96.1%,93.4%,94.3%,94.8%,94.9%,95.3%,93.7%,30.0%,30.0%,65.0%,67.4%,75.0%,83.9%,86.0%,87.3%,84.7%,86.0%,84.5%,81.4%,81.7%,82.6%,83.6%,85.3%,85.7%,70.8%,86.0%,86.8%,91.2%,92.8%,94.6%,94.6%,94.9%,95.5%,95.5%,95.9%,96.3%,96.7%,96.8%,93.8%,94.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,75.4%,75.4%,70.4%,74.7%,74.5%,78.5%,81.6%,84.1%,84.6%,85.4%,86.1%,88.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,94.4%,94.4%,94.9%,95.4%,95.7%,95.9%,96.3%,96.7%,94.8%,95.0%,100.0%,100.0%,100.0%,100.0%,93.6%,94.6%,95.3%,95.3%,95.9%,96.3%,93.4%,93.5%,94.1%,94.7%,95.0%,91.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Buffalo,--,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,97.2%,97.5%,100.0%,100.0%,100.0%,87.7%,90.4%,91.9%,86.8%,88.3%,89.8%,91.6%,92.3%,92.7%,93.8%,93.9%,94.4%,100.0%,92.3%,96.0%,97.1%,97.6%,98.0%,98.6%,98.7%,98.7%,98.8%,99.0%,99.1%,99.2%,96.8%,97.1%,97.3%,89.5%,92.3%,83.3%,86.6%,91.6%,92.9%,94.2%,94.2%,94.5%,95.1%,92.1%,93.0%,93.6%,93.9%,93.9%,94.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.6%,95.8%,93.8%,94.6%,94.9%,95.2%,94.7%,91.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.6%,94.7%,95.2%,95.9%,96.4%,96.5%,96.7%,94.8%,95.1%,95.3%,100.0%,100.0%,100.0%,93.8%,94.1%,94.7%,93.6%,94.7%,94.7%,89.2%,90.0%,90.5%,91.2%,91.5%,92.0%,90.6%,86.7%,95.9%,97.7%,98.4%,98.8%,98.8%,99.0%,99.1%,99.1%,99.2%,96.7%,96.9%,97.3%,97.3%,97.5%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,96.8%,94.5%,95.0%,95.4%,93.9%,94.4%,70.8%,78.5%,82.3%,89.3%,92.0%,92.7%,93.8%,93.8%,94.4%,95.1%,93.0%,91.2%,91.7%,92.0%,91.3%,91.8%,100.0%,100.0%,100.0%,100.0%,89.2%,91.1%,92.1%,93.4%,88.1%,89.2%,89.7%,89.7%,90.9%,91.6%,92.1%,92.1%,100.0%,100.0%,96.2%,88.0%,82.0%,87.3%,88.7%,90.4%,90.4%,91.3%,91.2%,91.3%,91.7%,92.6%,92.9%,93.6%
Carolina,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,93.5%,94.5%,95.0%,91.5%,92.3%,93.2%,94.0%,91.7%,92.2%,87.7%,86.4%,100.0%,82.9%,82.9%,79.4%,84.1%,82.2%,84.4%,86.7%,88.6%,90.1%,90.5%,91.1%,91.8%,92.0%,93.0%,100.0%,82.5%,89.6%,92.6%,93.9%,84.4%,84.4%,85.9%,87.1%,87.3%,88.3%,88.8%,89.2%,90.2%,90.6%,91.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,97.5%,97.5%,100.0%,85.1%,89.6%,92.0%,93.0%,93.6%,93.6%,95.0%,95.7%,96.1%,93.4%,94.2%,94.6%,92.9%,93.1%,93.5%,100.0%,82.9%,77.0%,80.0%,80.0%,78.4%,79.8%,83.6%,83.6%,84.3%,86.6%,86.1%,87.9%,89.1%,89.5%,90.7%,91.5%,63.2%,78.8%,75.6%,75.6%,79.6%,71.8%,75.7%,78.8%,78.5%,80.5%,82.4%,80.9%,81.3%,82.6%,83.0%,83.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,94.6%,95.3%,92.4%,93.5%,88.9%,89.9%,88.6%,89.6%,88.0%,88.9%,75.0%,87.9%,89.7%,79.4%,84.1%,87.1%,88.5%,89.9%,89.9%,88.2%,90.2%,90.8%,91.4%,92.1%,92.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.8%,96.1%,89.4%,90.6%,91.4%,92.2%,92.7%,92.9%,93.0%,100.0%,100.0%,100.0%,100.0%,96.6%,97.1%,95.2%,95.8%,96.2%,96.5%,97.0%,97.4%,97.5%,97.9%,98.1%,98.2%,100.0%,100.0%,87.9%,92.7%,94.2%,95.5%,96.4%,96.6%,97.0%,92.5%,93.0%,93.0%,89.4%,89.7%,90.2%,90.6%
Chicago,86.0%,90.5%,90.5%,93.8%,94.8%,95.5%,96.1%,92.7%,93.0%,93.4%,94.0%,94.3%,94.3%,92.5%,92.8%,93.3%,93.9%,65.0%,76.7%,87.7%,90.8%,90.8%,92.1%,93.6%,88.5%,90.2%,91.2%,93.0%,93.7%,94.1%,93.8%,91.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.9%,--,100.0%,69.6%,75.9%,80.6%,88.1%,88.1%,89.9%,86.0%,88.3%,88.3%,89.8%,90.7%,92.1%,93.3%,93.9%,100.0%,100.0%,87.9%,78.1%,81.9%,86.0%,87.3%,88.5%,88.5%,88.8%,90.4%,91.7%,92.3%,92.9%,93.4%,93.5%,100.0%,100.0%,88.3%,91.2%,92.0%,93.6%,95.3%,95.3%,96.0%,96.4%,94.0%,94.0%,94.8%,95.0%,95.4%,95.6%,96.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,79.4%,86.3%,89.7%,90.5%,90.7%,86.0%,86.0%,88.1%,89.2%,89.2%,90.8%,91.8%,90.0%,90.6%,89.2%,46.2%,83.7%,90.0%,93.0%,94.4%,94.8%,94.1%,94.1%,91.0%,91.6%,92.4%,93.2%,93.5%,93.8%,89.9%,66.7%,84.1%,86.0%,89.6%,90.0%,90.0%,90.9%,85.9%,86.4%,87.8%,89.0%,89.6%,90.9%,88.5%,89.5%,87.3%,100.0%,72.5%,81.1%,81.6%,85.0%,87.0%,86.4%,86.4%,87.6%,88.7%,89.5%,88.6%,89.4%,90.3%,87.4%,86.9%,100.0%,100.0%,100.0%,100.0%,94.7%,95.1%,95.9%,93.7%,93.7%,92.4%,92.8%,93.1%,93.8%,94.4%,94.9%,95.1%
Cincinnati,76.7%,73.6%,80.0%,83.3%,86.9%,86.9%,89.3%,91.0%,91.9%,93.0%,93.6%,94.3%,94.7%,95.3%,95.8%,96.1%,96.4%,77.4%,84.1%,89.7%,85.4%,85.4%,89.2%,90.0%,91.6%,91.8%,92.2%,88.4%,90.7%,89.0%,88.0%,85.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.9%,96.8%,97.0%,97.0%,97.1%,97.2%,97.6%,97.7%,65.0%,90.1%,92.6%,94.6%,94.6%,95.5%,96.2%,96.7%,97.1%,97.2%,92.6%,92.8%,93.3%,91.4%,91.9%,92.2%,100.0%,82.9%,89.6%,92.0%,94.1%,95.2%,96.2%,93.6%,91.2%,91.2%,91.6%,92.4%,91.0%,89.9%,90.3%,90.3%,90.5%,100.0%,81.1%,87.7%,90.9%,84.6%,88.2%,89.1%,89.1%,89.7%,90.5%,91.7%,92.0%,92.6%,93.6%,94.3%,94.5%,63.2%,70.8%,74.5%,82.1%,79.4%,79.4%,85.0%,87.0%,88.9%,86.8%,86.6%,84.7%,86.3%,83.1%,83.9%,84.8%,100.0%,100.0%,100.0%,90.5%,92.6%,93.7%,93.7%,94.4%,95.0%,95.8%,96.4%,96.8%,94.4%,94.8%,95.1%,84.1%,90.1%,86.3%,87.5%,89.1%,87.1%,88.7%,88.7%,87.1%,87.8%,88.1%,88.6%,86.5%,87.5%,88.0%,88.4%,100.0%,100.0%,89.1%,91.4%,92.0%,93.7%,94.8%,95.1%,90.4%,91.4%,88.8%,88.8%,89.4%,90.6%,89.1%,89.6%,100.0%,100.0%,100.0%,100.0%,90.9%,93.9%,95.0%,95.7%,96.3%,96.7%,96.8%,94.0%,94.4%,95.2%,95.2%,93.4%
Cleveland,100.0%,83.3%,87.0%,90.7%,92.0%,92.6%,88.4%,89.2%,89.2%,91.8%,92.1%,92.6%,93.8%,91.6%,92.3%,90.9%,91.3%,100.0%,90.9%,95.9%,96.8%,97.9%,92.0%,93.9%,93.9%,90.8%,88.3%,88.9%,88.7%,85.7%,87.2%,87.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,92.2%,87.3%,87.3%,89.0%,85.0%,83.6%,84.8%,86.5%,88.3%,89.5%,90.5%,91.3%,89.8%,100.0%,100.0%,100.0%,100.0%,95.4%,96.2%,96.2%,96.6%,94.0%,94.7%,92.8%,93.2%,91.7%,92.1%,92.1%,92.6%,100.0%,100.0%,89.4%,91.1%,91.1%,92.5%,93.5%,94.4%,91.3%,92.8%,90.5%,91.2%,88.7%,89.9%,88.6%,86.9%,86.0%,100.0%,100.0%,100.0%,94.1%,94.3%,95.3%,96.1%,93.3%,93.3%,90.7%,92.1%,92.5%,93.2%,93.4%,92.0%,92.2%,100.0%,78.8%,87.7%,90.9%,85.6%,88.8%,90.1%,90.1%,91.0%,92.3%,93.2%,90.9%,91.2%,91.7%,92.3%,92.8%,100.0%,100.0%,100.0%,92.5%,92.5%,88.0%,88.3%,90.0%,91.8%,92.3%,92.7%,93.5%,91.2%,91.7%,92.3%,100.0%,86.3%,90.7%,85.9%,90.0%,91.5%,92.3%,92.5%,93.4%,93.4%,94.0%,91.5%,92.1%,92.3%,93.2%,93.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,94.1%,92.0%,92.2%,92.9%,91.7%,92.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,97.1%,97.4%,97.7%,97.8%
Dallas,100.0%,87.9%,87.9%,89.1%,90.1%,92.4%,85.9%,87.8%,89.1%,89.6%,90.5%,91.7%,90.0%,90.6%,90.6%,90.7%,91.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,96.0%,96.5%,94.4%,92.6%,90.3%,91.4%,92.1%,92.4%,100.0%,100.0%,89.9%,92.0%,85.7%,87.4%,88.7%,89.8%,89.8%,91.1%,91.5%,88.8%,86.3%,88.0%,89.6%,90.3%,100.0%,79.4%,79.4%,85.1%,83.5%,84.6%,81.9%,83.7%,84.7%,85.5%,86.6%,87.3%,88.5%,90.3%,91.3%,91.9%,100.0%,100.0%,100.0%,90.5%,71.4%,80.8%,78.1%,78.1%,80.2%,82.2%,84.1%,84.3%,86.0%,87.4%,87.8%,88.3%,100.0%,85.1%,88.9%,92.1%,93.8%,85.3%,88.1%,88.7%,90.5%,90.5%,90.9%,91.7%,92.0%,90.1%,89.7%,90.7%,88.0%,100.0%,87.0%,88.5%,91.0%,92.9%,92.9%,94.1%,94.9%,95.4%,95.9%,96.0%,96.2%,93.4%,94.0%,94.4%,94.4%,46.2%,82.5%,86.8%,86.8%,92.0%,87.4%,90.8%,92.5%,87.9%,88.9%,88.9%,90.0%,89.0%,89.9%,90.6%,87.9%,74.1%,86.3%,89.6%,79.2%,79.2%,82.6%,83.6%,87.0%,88.0%,88.5%,89.8%,90.7%,91.4%,91.8%,89.8%,100.0%,84.1%,87.0%,76.1%,76.1%,76.5%,78.9%,78.4%,80.7%,82.9%,84.4%,86.7%,85.9%,86.7%,87.6%,88.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,97.7%,98.0%,98.2%,98.3%,75.0%,81.6%,79.7%,83.7%,86.4%,83.3%,85.7%,87.4%,89.2%,89.1%,89.1%,90.4%,91.5%,92.3%,93.0%,93.1%
Denver,100.0%,100.0%,100.0%,100.0%,90.5%,92.0%,87.8%,90.1%,91.8%,91.8%,92.1%,92.9%,92.2%,93.1%,93.7%,91.5%,90.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.0%,95.5%,95.5%,95.8%,96.4%,96.8%,97.0%,95.0%,79.4%,86.3%,88.5%,89.7%,92.0%,93.5%,94.7%,95.4%,95.4%,95.9%,95.9%,96.3%,96.8%,97.0%,97.2%,97.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,96.3%,97.0%,94.5%,95.0%,50.0%,51.5%,71.4%,83.0%,83.0%,83.0%,85.9%,87.4%,83.7%,83.6%,84.9%,82.0%,83.9%,84.2%,85.6%,86.4%,100.0%,86.3%,89.3%,92.3%,93.1%,94.2%,95.4%,95.4%,92.8%,93.6%,94.1%,92.4%,92.8%,91.1%,91.8%,92.4%,93.3%,100.0%,100.0%,100.0%,100.0%,100.0%,89.4%,89.4%,85.4%,83.1%,86.1%,88.6%,88.9%,89.7%,90.9%,91.6%,92.5%,100.0%,100.0%,100.0%,91.8%,94.0%,95.0%,93.0%,93.7%,93.7%,94.5%,95.2%,95.7%,95.8%,94.5%,94.5%,94.8%,100.0%,100.0%,100.0%,93.8%,95.0%,95.0%,95.5%,89.6%,90.7%,91.1%,88.8%,89.3%,89.8%,90.1%,91.3%,100.0%,100.0%,100.0%,100.0%,100.0%,95.0%,95.0%,95.4%,96.0%,96.3%,92.5%,92.8%,93.5%,93.8%,94.2%,94.5%,100.0%,100.0%,100.0%,100.0%,100.0%,95.6%,95.5%,92.7%,92.7%,93.3%,93.8%,94.5%,92.8%,93.4%,93.8%,94.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,96.3%,96.6%,96.9%,97.3%,97.5%,97.6%,97.7%,95.9%
