Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,62.50%,50.00%,54.00%,54.76%,54.90%,52.17%,52.17%,53.08%,53.74%,54.43%,57.30%,57.35%,57.20%,57.14%,57.95%,56.54%,56.44%,55.56%,52.94%,51.52%,57.50%,62.96%,62.96%,64.17%,62.60%,61.44%,59.88%,57.98%,56.86%,55.91%,54.32%,54.90%,35.71%,50.00%,50.85%,55.22%,59.76%,59.76%,62.24%,61.34%,57.45%,57.06%,59.34%,58.21%,58.96%,57.46%,57.32%,57.59%,52.63%,48.72%,56.14%,48.68%,56.38%,58.25%,58.87%,53.95%,53.95%,55.23%,56.54%,57.92%,58.30%,57.09%,56.46%,56.17%,43.75%,58.82%,57.89%,58.11%,60.20%,58.93%,57.38%,57.38%,56.43%,58.97%,61.02%,62.12%,61.64%,61.67%,61.74%,61.75%,69.23%,60.00%,54.90%,56.76%,58.62%,60.78%,60.78%,58.87%,58.39%,57.69%,56.90%,57.29%,57.14%,58.51%,55.94%,55.21%,55.13%,76.92%,74.19%,71.70%,71.70%,72.37%,73.49%,70.41%,64.86%,67.18%,65.62%,65.91%,67.35%,69.27%,66.95%,65.34%,65.66%,60.00%,45.28%,49.32%,50.00%,52.17%,52.17%,50.36%,50.00%,54.30%,55.24%,54.63%,51.38%,52.03%,51.89%,51.14%,50.45%,65.38%,55.56%,54.29%,57.45%,53.51%,53.51%,55.71%,54.71%,53.37%,51.44%,51.93%,52.65%,53.96%,54.51%,53.92%,50.00%,60.47%,64.41%,66.25%,64.13%,61.26%,56.91%,57.97%,57.59%,57.59%,59.55%,59.07%,57.75%,55.32%,56.13%,55.22%,70.00%,69.44%,66.67%,66.27%,67.31%,63.71%,64.14%,66.67%,66.67%,68.68%,68.37%,67.77%,67.09%,66.13%,66.79%,66.55%,60.00%,61.54%,66.10%,66.10%,68.67%,69.23%,68.38%,68.06%,66.67%,65.73%,65.08%,64.88%,65.64%,65.85%,66.80%,65.96%
Atlanta,56.25%,64.10%,57.89%,55.26%,56.52%,58.47%,57.93%,57.93%,57.40%,57.22%,54.76%,55.65%,54.25%,54.62%,55.75%,56.73%,56.16%,80.95%,71.43%,70.83%,68.66%,64.63%,64.00%,57.35%,60.74%,60.74%,60.45%,59.90%,60.19%,58.87%,57.43%,59.78%,83.33%,66.67%,50.00%,53.95%,54.17%,51.56%,52.08%,52.08%,51.61%,53.89%,52.82%,53.49%,53.71%,54.18%,53.96%,54.24%,66.67%,72.97%,64.29%,62.86%,62.86%,57.14%,61.60%,62.59%,64.07%,63.64%,61.22%,60.65%,59.75%,60.16%,60.29%,57.53%,53.33%,62.50%,50.00%,56.76%,56.38%,54.92%,55.88%,55.88%,56.58%,56.79%,55.93%,57.64%,58.56%,59.59%,57.89%,60.69%,66.67%,66.67%,58.49%,61.11%,62.37%,65.22%,65.22%,61.87%,60.56%,63.47%,62.90%,63.46%,63.18%,62.70%,63.50%,62.02%,61.17%,68.75%,67.50%,61.76%,61.76%,60.00%,61.39%,63.03%,63.38%,63.52%,61.80%,63.24%,64.52%,63.71%,64.37%,64.39%,64.71%,57.14%,64.00%,73.33%,69.35%,72.50%,67.96%,70.99%,70.99%,68.97%,67.88%,67.78%,67.82%,66.82%,65.67%,63.71%,64.58%,64.71%,52.27%,51.56%,55.95%,59.22%,57.48%,57.86%,57.86%,58.00%,61.31%,62.70%,62.94%,61.29%,61.86%,62.10%,59.09%,54.35%,55.74%,53.66%,53.19%,56.03%,56.03%,55.15%,57.79%,60.57%,59.89%,61.11%,62.61%,61.63%,61.18%,63.21%,94.44%,83.33%,82.76%,78.48%,76.60%,76.60%,72.65%,70.15%,66.46%,63.98%,61.90%,62.88%,61.94%,61.80%,63.32%,61.81%,56.67%,52.94%,55.74%,55.17%,54.13%,56.06%,55.48%,58.19%,58.19%,60.00%,60.81%,60.16%,61.71%,61.62%,62.07%,63.93%
Baltimore,61.90%,63.33%,60.00%,61.43%,61.43%,60.47%,60.19%,57.39%,58.52%,57.75%,55.28%,57.30%,57.44%,57.62%,57.78%,57.32%,58.06%,60.00%,61.54%,63.46%,57.14%,58.14%,58.14%,60.40%,60.83%,60.15%,59.73%,60.61%,58.47%,60.19%,59.91%,60.26%,63.16%,68.57%,68.57%,67.44%,53.85%,50.65%,48.94%,52.21%,52.90%,52.53%,53.71%,53.54%,53.74%,55.41%,55.87%,56.98%,62.50%,59.09%,64.10%,63.46%,63.08%,63.53%,63.53%,65.69%,63.03%,62.32%,60.00%,60.48%,62.98%,62.63%,63.51%,63.44%,69.23%,67.74%,66.67%,63.33%,65.15%,67.50%,62.77%,62.77%,64.81%,65.60%,63.27%,64.24%,61.83%,63.37%,64.13%,62.70%,62.50%,62.50%,63.16%,63.33%,68.18%,72.13%,71.95%,72.83%,74.53%,72.80%,69.39%,68.75%,68.67%,68.33%,68.69%,68.22%,66.67%,72.73%,70.97%,71.43%,67.16%,62.92%,62.04%,62.04%,60.00%,60.00%,59.62%,61.93%,59.90%,59.45%,58.26%,57.20%,57.69%,33.33%,50.00%,50.00%,48.08%,57.35%,57.14%,61.86%,61.86%,63.43%,64.33%,62.65%,61.67%,64.10%,65.47%,66.39%,66.28%,75.00%,75.61%,74.14%,72.31%,72.31%,69.88%,65.62%,61.06%,63.16%,62.42%,61.63%,61.41%,61.93%,62.68%,62.50%,50.00%,58.70%,58.23%,63.64%,58.47%,56.76%,55.43%,55.43%,55.73%,57.82%,57.89%,58.20%,58.56%,58.60%,57.19%,57.41%,83.33%,83.78%,76.36%,66.22%,69.05%,67.68%,63.79%,63.79%,62.96%,62.82%,62.07%,62.37%,62.98%,63.68%,63.64%,62.36%,68.75%,66.67%,63.46%,68.06%,69.39%,68.33%,68.38%,66.45%,65.54%,66.49%,66.49%,67.74%,67.34%,67.05%,67.15%,66.10%
Buffalo,50.00%,55.56%,50.85%,51.28%,56.25%,55.96%,55.56%,56.12%,56.12%,56.21%,56.36%,56.99%,58.67%,58.57%,60.09%,58.20%,57.04%,57.14%,65.38%,65.38%,63.83%,67.61%,64.71%,60.82%,56.76%,58.54%,56.76%,58.08%,59.78%,60.29%,60.00%,59.74%,33.33%,36.67%,40.74%,38.96%,41.94%,41.82%,42.65%,42.86%,42.86%,43.18%,45.10%,46.19%,48.19%,49.82%,49.03%,49.85%,42.11%,52.94%,53.06%,58.73%,54.65%,57.94%,57.60%,57.60%,60.26%,59.32%,58.88%,56.94%,56.41%,56.40%,55.34%,55.00%,69.57%,59.57%,56.76%,60.64%,64.41%,64.41%,64.66%,65.31%,67.48%,64.61%,65.38%,65.50%,64.94%,63.94%,63.16%,61.59%,68.75%,57.14%,53.33%,50.82%,53.93%,53.93%,56.73%,57.72%,58.27%,56.44%,56.91%,57.43%,57.94%,57.76%,57.60%,58.12%,57.00%,78.57%,74.47%,63.24%,54.84%,50.98%,48.72%,50.37%,49.69%,49.69%,49.72%,50.50%,51.12%,49.58%,50.39%,49.45%,49.83%,47.37%,62.16%,56.45%,55.17%,54.63%,54.63%,55.04%,52.94%,54.12%,57.14%,57.67%,56.38%,55.09%,54.01%,55.74%,54.43%,61.54%,64.10%,66.67%,61.70%,62.71%,60.56%,60.56%,63.16%,62.50%,62.50%,61.57%,61.02%,59.06%,59.57%,58.16%,71.43%,65.22%,65.08%,56.25%,52.00%,51.03%,51.81%,51.81%,52.94%,52.80%,53.04%,53.17%,52.75%,53.45%,52.88%,52.12%,69.23%,58.82%,57.75%,62.79%,61.90%,60.31%,60.67%,61.40%,60.75%,59.51%,58.99%,58.99%,58.85%,57.81%,57.19%,57.39%,65.52%,67.31%,63.89%,64.84%,63.46%,62.70%,61.27%,58.54%,58.54%,57.78%,58.33%,58.14%,58.97%,56.63%,56.67%,56.94%
Carolina,64.71%,64.29%,64.29%,62.26%,60.00%,63.33%,63.81%,65.32%,64.49%,64.74%,65.09%,64.89%,63.90%,61.57%,59.52%,59.23%,58.76%,50.00%,51.28%,51.28%,44.07%,46.34%,48.91%,49.55%,48.89%,50.00%,51.40%,52.48%,55.41%,57.81%,58.47%,56.30%,57.14%,65.71%,64.71%,65.75%,70.65%,70.87%,70.87%,69.23%,70.37%,68.00%,66.06%,65.92%,65.29%,63.33%,62.22%,60.32%,33.33%,43.90%,44.44%,51.32%,52.69%,54.13%,55.73%,55.70%,55.70%,56.73%,57.54%,54.92%,55.92%,55.31%,55.28%,55.91%,56.25%,57.14%,62.50%,55.13%,53.47%,54.95%,54.95%,53.73%,51.30%,51.81%,53.26%,55.83%,55.96%,56.20%,57.69%,58.25%,58.82%,55.17%,58.70%,57.14%,57.75%,55.68%,55.24%,60.00%,60.00%,59.18%,58.08%,56.91%,58.69%,58.97%,59.44%,58.39%,60.14%,41.18%,47.50%,48.44%,48.44%,49.37%,48.35%,49.00%,52.03%,53.57%,53.70%,53.63%,52.82%,53.46%,51.85%,52.96%,54.55%,52.63%,51.52%,53.70%,55.56%,50.00%,50.00%,51.38%,54.84%,54.30%,54.07%,54.64%,53.64%,52.65%,52.42%,52.86%,53.64%,66.67%,61.29%,52.27%,47.46%,55.81%,50.91%,53.03%,53.90%,53.90%,52.27%,53.17%,53.60%,54.85%,56.47%,56.78%,44.44%,60.00%,60.87%,60.22%,60.00%,60.00%,60.16%,61.64%,59.41%,61.70%,60.09%,57.14%,56.30%,59.29%,58.22%,58.55%,72.22%,61.90%,59.62%,59.62%,56.34%,61.36%,62.14%,63.11%,64.93%,62.50%,62.21%,64.32%,63.59%,65.30%,64.29%,63.95%,58.82%,73.68%,59.68%,59.77%,60.58%,60.90%,58.06%,56.90%,57.71%,59.63%,61.67%,61.67%,61.90%,61.85%,61.75%,61.43%
Chicago,47.83%,45.83%,45.83%,47.06%,48.84%,47.12%,46.03%,48.59%,47.06%,49.69%,51.89%,51.72%,52.83%,53.28%,52.99%,54.51%,53.98%,61.54%,52.78%,60.00%,57.14%,57.14%,53.92%,52.10%,51.16%,52.08%,55.70%,53.44%,53.62%,53.25%,53.75%,53.73%,55.56%,62.50%,60.47%,60.47%,63.79%,67.57%,66.28%,64.08%,61.02%,57.48%,58.57%,59.35%,61.33%,59.70%,59.15%,59.49%,57.14%,65.52%,65.00%,64.81%,64.06%,65.43%,65.43%,63.44%,59.09%,58.40%,59.29%,60.00%,57.46%,58.37%,59.09%,60.92%,47.37%,59.38%,66.04%,65.28%,65.56%,60.38%,59.84%,59.73%,59.73%,59.63%,60.44%,59.80%,59.21%,61.32%,59.85%,60.29%,65.22%,54.29%,65.08%,66.67%,65.59%,67.57%,65.47%,65.47%,67.50%,69.83%,67.49%,68.06%,66.52%,61.69%,61.84%,62.71%,62.80%,66.67%,63.64%,63.46%,63.64%,63.64%,63.44%,60.98%,58.33%,59.12%,58.48%,57.67%,59.09%,58.12%,57.20%,58.21%,58.84%,69.23%,72.22%,73.68%,65.33%,63.86%,65.05%,65.52%,65.52%,67.15%,64.47%,66.05%,67.74%,67.00%,66.08%,66.26%,65.17%,70.00%,69.44%,70.00%,66.67%,65.00%,66.96%,68.70%,68.70%,67.55%,68.79%,70.21%,70.24%,69.27%,68.91%,68.36%,72.73%,65.85%,62.26%,72.15%,69.66%,69.66%,70.91%,68.70%,68.53%,66.67%,64.94%,65.08%,63.55%,61.90%,62.55%,64.29%,66.67%,56.76%,62.07%,60.49%,61.22%,60.50%,57.82%,57.82%,55.49%,56.22%,54.81%,53.51%,52.73%,52.14%,52.67%,51.83%,53.33%,61.76%,65.45%,68.42%,68.37%,70.00%,70.15%,71.69%,71.69%,70.59%,70.56%,71.50%,71.07%,70.34%,70.83%,70.32%
Cincinnati,26.32%,29.03%,39.62%,47.89%,52.27%,52.27%,52.29%,55.64%,54.90%,53.61%,56.99%,57.64%,59.73%,57.49%,56.83%,56.81%,55.31%,41.67%,60.00%,51.02%,48.61%,48.61%,47.31%,46.96%,48.18%,48.00%,49.70%,47.87%,50.71%,50.00%,50.39%,51.31%,87.50%,72.97%,67.92%,66.20%,60.00%,61.26%,57.25%,58.71%,56.40%,56.40%,56.00%,54.26%,55.38%,55.64%,56.63%,57.72%,66.67%,57.14%,51.61%,46.59%,46.59%,48.62%,50.79%,52.32%,53.18%,55.05%,59.03%,59.75%,60.56%,62.64%,63.36%,62.46%,55.00%,62.79%,62.90%,59.77%,59.77%,61.68%,62.70%,62.42%,62.79%,62.77%,62.93%,63.72%,64.68%,65.31%,63.67%,63.70%,38.10%,40.54%,44.26%,45.00%,44.90%,49.57%,49.63%,53.12%,54.49%,54.49%,56.19%,56.07%,57.27%,58.66%,57.99%,56.38%,57.09%,70.00%,62.50%,61.22%,61.97%,61.45%,66.05%,67.74%,67.74%,66.43%,66.03%,65.12%,64.48%,63.96%,62.39%,63.87%,62.75%,65.00%,58.82%,56.86%,54.17%,50.00%,50.00%,50.78%,50.68%,50.62%,53.11%,53.50%,53.21%,53.16%,53.73%,55.39%,57.09%,64.71%,52.78%,53.85%,53.12%,53.95%,54.26%,54.26%,57.02%,59.40%,61.78%,62.35%,60.43%,58.85%,59.83%,60.71%,57.69%,65.96%,56.41%,57.89%,58.18%,59.52%,58.78%,58.78%,61.90%,60.85%,60.98%,60.73%,61.92%,62.16%,62.08%,61.62%,70.59%,74.19%,60.34%,64.47%,63.74%,60.36%,64.66%,62.84%,61.35%,61.33%,61.73%,61.73%,62.33%,63.98%,63.53%,62.64%,61.54%,60.00%,50.75%,50.75%,52.58%,51.59%,52.29%,52.05%,54.21%,54.03%,56.17%,56.52%,56.18%,56.85%,56.57%,57.37%
Cleveland,77.78%,56.25%,61.70%,65.62%,65.33%,63.22%,56.86%,56.20%,56.20%,57.62%,57.14%,56.98%,59.60%,59.72%,58.20%,57.25%,56.54%,56.25%,61.11%,55.74%,55.41%,55.79%,57.55%,58.91%,58.91%,58.33%,56.17%,55.31%,53.66%,51.29%,49.21%,47.04%,57.69%,64.15%,64.38%,64.38%,60.67%,60.95%,60.48%,60.74%,62.99%,59.78%,57.59%,58.37%,57.52%,55.74%,54.62%,55.00%,70.59%,68.18%,70.97%,65.79%,62.64%,62.64%,63.72%,63.20%,60.42%,60.62%,62.84%,62.80%,63.64%,61.09%,60.89%,59.59%,47.06%,64.00%,59.42%,63.16%,61.02%,57.75%,57.75%,59.64%,62.37%,63.89%,64.44%,65.23%,64.23%,64.67%,64.31%,63.19%,53.33%,54.55%,47.69%,50.63%,50.63%,52.94%,52.10%,54.93%,55.83%,56.08%,55.29%,56.39%,56.85%,55.34%,57.24%,56.27%,55.87%,21.05%,38.64%,47.22%,48.39%,48.11%,50.75%,49.69%,49.72%,49.72%,49.22%,52.51%,50.83%,52.87%,53.07%,53.85%,55.66%,69.23%,65.52%,71.43%,72.86%,68.97%,66.97%,70.15%,70.15%,71.24%,67.96%,65.37%,65.16%,64.29%,63.42%,61.65%,60.54%,47.06%,55.56%,51.72%,52.11%,52.11%,50.56%,51.02%,51.28%,48.55%,48.39%,47.19%,49.49%,47.27%,47.92%,49.62%,56.00%,60.87%,60.00%,62.50%,56.78%,60.87%,57.86%,57.39%,56.70%,56.70%,55.36%,56.54%,58.78%,57.66%,58.53%,59.15%,83.33%,75.68%,67.24%,66.22%,62.77%,62.71%,61.11%,60.98%,60.99%,60.99%,60.42%,60.66%,60.51%,61.60%,60.49%,59.81%,66.67%,64.00%,54.79%,54.79%,53.68%,53.85%,51.82%,55.77%,55.68%,54.55%,52.78%,54.43%,54.76%,55.27%,52.84%,52.15%
Dallas,58.82%,64.86%,64.86%,67.31%,65.57%,57.33%,54.76%,55.10%,55.86%,53.97%,55.71%,54.84%,54.24%,54.31%,53.66%,54.42%,55.70%,56.52%,51.43%,62.50%,62.50%,58.67%,60.42%,60.50%,60.45%,58.39%,57.99%,59.24%,60.31%,62.10%,61.25%,60.98%,52.63%,57.58%,57.69%,55.88%,58.11%,58.82%,60.95%,60.68%,60.68%,57.97%,59.06%,59.26%,58.66%,60.29%,59.19%,59.75%,63.64%,60.53%,60.53%,57.41%,61.43%,63.41%,62.00%,62.07%,61.19%,60.93%,60.12%,59.56%,60.00%,59.66%,60.71%,59.93%,72.73%,72.09%,69.49%,71.83%,70.59%,69.91%,66.13%,66.13%,65.52%,63.10%,65.31%,65.37%,64.44%,63.60%,62.96%,63.48%,63.64%,52.94%,58.82%,60.27%,62.64%,64.76%,60.98%,61.59%,57.76%,57.76%,58.29%,59.69%,60.95%,60.99%,61.25%,59.23%,59.06%,53.85%,62.22%,63.33%,58.97%,61.22%,61.22%,61.34%,61.31%,61.04%,60.34%,61.70%,61.39%,61.29%,62.18%,63.60%,64.13%,58.82%,64.52%,63.64%,63.64%,58.33%,54.65%,57.66%,59.54%,59.24%,61.54%,63.32%,64.55%,66.39%,65.13%,66.20%,65.99%,94.74%,84.85%,83.02%,80.28%,80.28%,76.04%,74.31%,68.57%,67.09%,63.48%,64.29%,64.02%,63.91%,63.57%,64.15%,73.33%,54.29%,51.06%,58.46%,58.46%,57.14%,55.88%,56.64%,59.70%,59.87%,61.36%,62.12%,60.63%,61.25%,63.08%,64.51%,85.71%,75.00%,71.93%,72.62%,68.64%,63.64%,64.20%,63.35%,62.91%,60.87%,60.87%,58.91%,59.79%,59.57%,59.71%,59.67%,57.89%,62.50%,65.52%,66.67%,63.44%,62.75%,63.11%,64.54%,65.03%,63.93%,63.93%,64.76%,61.44%,61.39%,61.15%,61.69%
Denver,80.00%,64.71%,64.44%,57.38%,55.41%,56.04%,57.14%,57.02%,60.87%,60.87%,60.14%,58.64%,58.05%,60.40%,59.81%,58.67%,58.51%,33.33%,39.13%,43.59%,47.06%,46.03%,47.22%,47.06%,47.66%,48.06%,48.06%,51.68%,53.57%,51.65%,53.33%,54.38%,66.67%,66.67%,64.81%,67.16%,66.32%,64.10%,62.59%,62.91%,62.91%,64.33%,65.75%,65.20%,63.16%,62.90%,62.26%,62.14%,56.25%,56.25%,66.67%,66.67%,65.71%,66.67%,69.15%,70.94%,72.22%,71.34%,69.66%,66.00%,65.57%,64.10%,63.74%,63.14%,38.46%,33.33%,37.78%,37.33%,42.11%,42.11%,47.90%,50.36%,49.69%,53.37%,54.85%,54.91%,54.51%,54.58%,54.04%,54.48%,66.67%,70.59%,72.13%,67.95%,67.37%,65.29%,59.59%,59.59%,61.68%,60.43%,60.87%,59.11%,59.51%,59.39%,59.50%,59.20%,56.88%,75.00%,77.78%,69.44%,64.29%,63.51%,64.89%,64.89%,62.73%,64.12%,63.40%,60.92%,62.43%,61.58%,62.95%,60.16%,59.70%,40.00%,53.12%,64.00%,63.49%,54.95%,54.63%,49.63%,50.33%,50.33%,55.19%,54.90%,56.14%,55.82%,54.44%,53.45%,54.66%,35.00%,55.26%,63.64%,65.43%,60.38%,60.38%,60.33%,60.56%,61.35%,60.00%,59.90%,59.01%,59.44%,58.62%,58.54%,78.95%,73.17%,67.19%,68.42%,61.26%,62.69%,62.69%,64.86%,65.29%,64.55%,65.84%,63.72%,63.95%,64.78%,64.86%,64.87%,75.00%,63.46%,67.69%,65.12%,69.09%,70.00%,68.46%,66.08%,66.08%,64.92%,64.19%,65.70%,63.57%,62.32%,60.71%,60.56%,83.33%,73.08%,69.23%,69.23%,70.11%,72.55%,72.58%,71.92%,72.57%,73.51%,73.63%,73.01%,73.00%,73.18%,72.60%,70.43%
