Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,56.60%,49.52%,52.80%,52.24%,51.12%,48.38%,48.38%,48.95%,51.13%,50.84%,50.91%,52.43%,52.45%,51.89%,52.64%,52.42%,52.06%,53.12%,46.27%,46.03%,52.46%,58.46%,58.46%,60.89%,57.11%,56.92%,56.92%,56.32%,54.66%,54.08%,53.34%,54.92%,50.98%,55.66%,52.00%,56.44%,55.52%,55.52%,57.14%,55.53%,53.62%,53.27%,55.97%,55.03%,55.19%,54.38%,54.07%,55.10%,69.49%,56.80%,55.68%,51.00%,53.85%,56.40%,55.63%,53.54%,53.54%,52.62%,54.10%,54.37%,55.63%,55.34%,54.61%,55.49%,60.71%,60.68%,59.57%,59.20%,60.69%,59.53%,57.44%,57.44%,54.83%,57.98%,59.65%,59.94%,60.50%,60.07%,59.51%,59.94%,54.55%,56.86%,54.82%,55.70%,56.93%,58.46%,58.46%,57.22%,58.00%,58.11%,58.14%,57.91%,57.02%,57.35%,55.36%,54.72%,55.19%,58.33%,64.57%,60.62%,60.62%,63.26%,65.16%,64.36%,59.17%,61.92%,63.10%,62.75%,63.18%,63.82%,62.66%,62.16%,62.22%,70.37%,56.60%,55.46%,51.56%,53.85%,53.85%,53.95%,53.18%,55.48%,55.71%,54.90%,52.92%,52.38%,52.80%,51.35%,51.64%,60.29%,57.82%,56.60%,58.12%,54.46%,54.46%,55.31%,57.32%,56.79%,57.10%,55.45%,55.83%,56.99%,57.67%,57.38%,52.86%,58.78%,61.14%,61.05%,57.82%,56.76%,55.29%,54.15%,52.95%,52.95%,54.40%,53.07%,52.00%,50.71%,52.30%,51.85%,61.29%,63.03%,64.77%,63.20%,64.48%,61.14%,59.62%,62.89%,62.89%,63.52%,64.39%,65.02%,63.97%,63.85%,64.91%,64.70%,60.00%,60.16%,60.53%,60.85%,61.51%,63.04%,62.70%,64.19%,63.44%,63.30%,63.38%,62.24%,61.55%,62.33%,62.67%,61.72%
Atlanta,59.32%,59.26%,53.30%,50.19%,48.32%,49.11%,49.03%,49.03%,49.81%,52.20%,52.60%,51.84%,51.20%,50.71%,50.77%,52.04%,52.16%,68.06%,69.11%,65.78%,65.73%,61.69%,59.84%,55.80%,58.43%,58.43%,58.48%,58.57%,58.47%,57.40%,57.30%,57.57%,77.05%,62.50%,56.32%,60.24%,57.98%,56.95%,58.76%,58.76%,57.59%,57.71%,56.45%,58.82%,57.60%,58.47%,57.59%,57.31%,72.88%,75.19%,65.62%,63.86%,63.86%,59.87%,59.79%,60.82%,60.28%,59.28%,58.68%,58.47%,57.90%,57.80%,57.57%,54.84%,46.00%,46.02%,44.25%,49.79%,50.00%,50.66%,51.96%,51.96%,53.32%,53.24%,52.22%,52.68%,53.13%,53.54%,52.05%,53.12%,63.16%,58.47%,56.61%,54.18%,55.91%,57.63%,57.63%,56.92%,57.68%,60.39%,59.74%,59.70%,59.97%,59.32%,59.46%,59.18%,58.42%,60.71%,61.79%,57.84%,57.84%,60.69%,61.82%,60.41%,58.82%,57.74%,56.11%,56.57%,56.39%,56.13%,56.54%,56.10%,56.48%,48.33%,59.26%,63.41%,62.27%,63.48%,59.71%,61.79%,61.79%,60.13%,60.45%,62.05%,61.96%,61.57%,60.83%,60.94%,61.49%,57.81%,56.49%,53.27%,57.14%,59.37%,59.26%,59.82%,59.82%,60.12%,61.50%,62.93%,62.27%,59.97%,60.30%,60.21%,52.17%,55.88%,59.90%,56.08%,56.11%,55.53%,55.53%,56.35%,57.49%,57.01%,56.69%,57.06%,58.25%,57.80%,57.67%,58.86%,56.06%,66.19%,68.04%,63.67%,61.92%,61.92%,62.07%,59.58%,58.72%,56.34%,54.82%,55.06%,54.70%,54.55%,55.61%,54.97%,60.00%,47.48%,53.57%,50.00%,49.55%,51.24%,49.79%,52.05%,52.05%,53.80%,54.48%,54.93%,56.38%,56.29%,56.66%,57.91%
Baltimore,49.23%,57.60%,58.71%,57.31%,57.31%,58.80%,57.82%,57.44%,56.89%,57.07%,55.45%,55.96%,55.84%,56.39%,56.15%,56.48%,56.43%,47.27%,53.85%,59.80%,54.51%,54.63%,54.63%,56.03%,56.67%,56.03%,54.67%,53.81%,52.73%,53.47%,53.74%,54.01%,58.06%,57.36%,57.36%,60.45%,55.04%,56.90%,56.00%,55.72%,54.43%,53.52%,54.68%,54.10%,54.22%,54.05%,55.34%,56.38%,74.00%,64.22%,65.48%,57.76%,55.79%,56.06%,56.06%,59.23%,58.89%,56.77%,56.26%,58.76%,58.83%,58.25%,59.10%,60.07%,58.93%,59.68%,64.25%,58.59%,57.84%,58.21%,55.75%,55.75%,53.30%,53.14%,53.09%,53.16%,54.05%,53.47%,54.05%,53.49%,52.00%,52.00%,62.62%,58.02%,58.33%,56.52%,57.48%,58.72%,58.84%,60.24%,58.39%,59.29%,60.12%,60.52%,60.59%,61.26%,60.56%,61.36%,66.07%,62.80%,60.26%,57.63%,56.42%,56.42%,57.93%,56.24%,56.36%,56.27%,54.78%,55.28%,55.03%,54.89%,55.33%,52.27%,53.15%,51.20%,50.00%,54.85%,56.89%,56.67%,56.67%,57.93%,59.49%,59.40%,59.61%,59.92%,61.45%,62.63%,62.08%,73.77%,65.91%,63.59%,64.14%,64.14%,63.72%,59.01%,57.50%,58.43%,56.16%,56.81%,57.14%,58.07%,59.04%,57.62%,59.42%,52.08%,53.39%,58.76%,52.37%,51.37%,51.36%,51.36%,52.16%,53.83%,54.51%,55.34%,55.70%,55.07%,53.93%,54.58%,66.18%,66.92%,65.44%,55.19%,59.63%,58.67%,57.27%,57.27%,57.48%,58.31%,58.09%,57.40%,58.48%,58.62%,58.41%,57.56%,59.38%,63.64%,58.52%,57.98%,59.12%,61.56%,63.56%,61.48%,61.49%,61.30%,61.30%,62.16%,63.02%,63.55%,63.79%,62.90%
Buffalo,63.79%,65.04%,55.61%,53.64%,55.56%,52.99%,53.65%,54.51%,54.51%,53.87%,53.23%,53.82%,55.42%,55.51%,55.77%,54.41%,54.16%,62.30%,57.76%,57.76%,56.40%,59.00%,57.88%,55.17%,53.03%,52.08%,51.02%,53.44%,54.87%,56.11%,56.51%,56.24%,53.06%,43.75%,43.43%,42.39%,46.31%,48.29%,47.60%,48.05%,48.05%,49.63%,49.67%,49.33%,52.44%,52.20%,52.07%,52.81%,38.81%,51.59%,52.78%,57.92%,55.45%,56.08%,55.73%,55.73%,56.70%,56.78%,56.70%,55.41%,54.75%,54.95%,54.99%,53.69%,55.56%,53.57%,50.48%,54.31%,57.52%,57.52%,58.10%,58.39%,59.61%,57.80%,57.89%,58.02%,57.94%,58.93%,57.67%,55.65%,68.66%,61.29%,55.17%,55.04%,55.10%,55.10%,56.35%,55.95%,55.60%,53.82%,54.23%,56.05%,55.39%,54.70%,54.75%,55.41%,53.14%,70.13%,71.62%,63.13%,56.90%,52.44%,51.07%,53.05%,52.11%,52.11%,51.11%,50.86%,50.52%,49.22%,50.33%,49.74%,49.81%,50.68%,51.16%,48.21%,44.44%,42.77%,42.77%,44.42%,43.59%,44.34%,47.12%,48.08%,47.83%,47.02%,46.95%,48.72%,48.16%,67.86%,59.66%,61.05%,59.23%,60.75%,58.81%,58.81%,61.36%,58.86%,57.12%,55.36%,55.78%,55.00%,54.77%,53.52%,42.86%,55.22%,62.37%,58.30%,54.79%,55.31%,55.46%,55.46%,54.55%,54.87%,54.99%,55.34%,56.63%,56.87%,56.06%,55.26%,60.67%,59.39%,54.04%,60.74%,58.95%,57.49%,57.93%,58.09%,58.03%,57.33%,57.45%,57.45%,58.08%,56.97%,56.97%,57.98%,73.91%,72.73%,63.11%,63.20%,63.80%,63.01%,61.50%,61.16%,61.16%,60.98%,61.07%,61.52%,61.44%,60.22%,60.45%,59.69%
Carolina,52.54%,65.03%,65.03%,62.56%,60.00%,59.18%,56.58%,56.50%,54.93%,56.76%,57.40%,58.09%,57.54%,56.87%,55.72%,55.41%,56.37%,33.80%,46.56%,46.56%,41.80%,42.58%,44.88%,46.56%,45.77%,46.89%,47.99%,50.38%,51.24%,53.08%,53.55%,52.94%,43.10%,59.17%,56.83%,60.80%,61.42%,60.99%,60.99%,61.70%,63.07%,61.04%,59.61%,59.46%,59.81%,58.52%,58.71%,57.36%,32.86%,42.86%,45.03%,49.41%,52.96%,54.59%,55.09%,54.36%,54.36%,55.04%,57.26%,55.68%,56.04%,55.48%,53.96%,53.99%,67.19%,55.47%,60.42%,54.44%,56.29%,55.81%,55.81%,54.99%,52.69%,52.51%,52.60%,52.11%,53.15%,52.81%,54.30%,54.21%,50.91%,52.14%,51.11%,54.88%,56.90%,53.39%,55.05%,58.39%,58.39%,57.53%,56.98%,56.01%,56.58%,57.19%,57.45%,56.33%,57.89%,49.21%,45.67%,47.94%,47.94%,49.19%,48.63%,47.98%,52.07%,53.19%,53.89%,53.33%,51.67%,52.87%,52.11%,53.00%,54.32%,46.27%,44.44%,46.77%,51.43%,48.26%,48.26%,50.00%,50.54%,51.58%,51.01%,51.29%,51.57%,51.57%,51.50%,52.44%,52.38%,53.70%,56.60%,50.92%,47.64%,51.57%,49.57%,51.72%,51.37%,51.37%,50.56%,51.24%,51.75%,51.75%,52.43%,52.68%,41.94%,54.68%,55.56%,59.34%,56.42%,56.42%,55.75%,56.73%,56.82%,57.56%,57.96%,57.14%,55.31%,57.30%,57.66%,57.97%,57.38%,55.97%,59.24%,59.24%,57.44%,61.59%,62.05%,64.80%,64.15%,63.14%,63.09%,63.98%,63.49%,64.18%,63.39%,63.36%,69.09%,72.00%,63.68%,60.56%,61.34%,60.82%,59.01%,58.65%,57.61%,58.13%,58.68%,58.68%,58.14%,59.52%,59.39%,59.03%
Chicago,45.45%,44.14%,44.14%,47.26%,49.43%,48.77%,49.09%,51.23%,51.83%,53.44%,55.02%,55.83%,56.45%,55.57%,54.99%,55.28%,54.78%,47.37%,53.08%,54.79%,54.79%,54.79%,50.15%,48.47%,50.44%,52.11%,53.79%,52.58%,51.51%,52.41%,53.19%,52.76%,41.18%,55.73%,51.32%,51.32%,54.03%,58.44%,58.99%,58.56%,57.11%,53.45%,55.57%,55.75%,57.46%,55.32%,55.10%,56.35%,58.93%,65.09%,62.35%,64.13%,63.84%,61.36%,61.36%,61.06%,59.14%,59.31%,58.84%,57.86%,57.79%,59.24%,60.18%,61.06%,49.30%,54.20%,56.19%,55.82%,57.69%,53.83%,54.65%,55.12%,55.12%,54.58%,55.89%,55.02%,54.07%,54.56%,54.06%,54.46%,77.27%,61.98%,69.27%,68.38%,69.82%,66.75%,65.15%,65.15%,65.18%,64.47%,62.43%,62.91%,61.10%,60.96%,60.72%,60.49%,59.80%,59.26%,61.06%,61.70%,63.16%,63.16%,62.42%,57.54%,55.78%,55.34%,54.56%,54.56%,55.08%,54.98%,54.46%,54.35%,54.53%,63.16%,67.97%,70.21%,65.08%,64.01%,62.60%,61.52%,61.52%,63.25%,62.87%,63.65%,64.15%,63.07%,62.32%,62.20%,61.75%,78.79%,67.67%,64.36%,64.23%,63.24%,64.94%,67.48%,67.48%,66.99%,68.46%,68.17%,67.42%,65.60%,64.81%,63.71%,76.19%,66.67%,67.91%,70.98%,70.45%,70.45%,70.93%,67.92%,67.85%,65.20%,63.56%,64.10%,63.24%,61.10%,60.61%,61.59%,61.82%,54.62%,59.24%,58.00%,57.46%,56.52%,53.97%,53.97%,53.23%,53.68%,52.69%,52.12%,52.27%,52.06%,53.17%,52.49%,41.07%,50.41%,55.44%,56.67%,56.91%,59.78%,58.55%,58.03%,58.03%,57.12%,57.73%,59.15%,59.89%,58.65%,58.70%,58.97%
Cincinnati,39.39%,47.37%,47.59%,51.42%,53.04%,53.04%,52.69%,54.65%,53.35%,53.79%,55.54%,56.20%,57.26%,55.19%,55.22%,55.26%,53.85%,45.16%,56.10%,50.28%,47.33%,47.33%,44.41%,47.64%,47.68%,48.34%,51.20%,50.15%,51.90%,51.94%,51.69%,51.74%,70.49%,71.93%,66.85%,64.98%,59.73%,60.33%,55.06%,56.35%,56.67%,56.67%,56.80%,56.27%,56.67%,56.24%,56.61%,56.67%,62.69%,62.50%,58.50%,53.56%,53.56%,55.92%,57.80%,55.68%,54.27%,54.90%,56.65%,57.54%,58.41%,59.43%,59.18%,58.19%,62.69%,57.69%,58.76%,56.15%,56.15%,55.69%,55.73%,54.30%,53.73%,54.94%,55.06%,55.72%,55.01%,54.93%,54.15%,55.04%,38.67%,36.96%,45.63%,43.91%,42.94%,45.06%,46.14%,46.39%,48.52%,48.52%,51.91%,51.25%,50.44%,51.12%,50.83%,50.57%,51.63%,60.78%,66.67%,62.07%,61.48%,62.01%,61.15%,63.05%,63.05%,63.58%,64.42%,63.86%,64.09%,63.90%,62.36%,62.66%,62.29%,60.34%,61.98%,60.89%,57.14%,58.36%,58.36%,57.34%,56.88%,55.73%,56.55%,56.73%,55.56%,55.77%,55.93%,56.52%,57.11%,61.76%,52.67%,53.33%,55.38%,55.02%,55.86%,55.86%,58.45%,59.68%,59.23%,58.40%,58.03%,56.93%,57.56%,57.87%,60.34%,61.67%,58.76%,61.11%,57.78%,56.05%,56.44%,56.44%,56.56%,58.35%,58.19%,58.55%,60.39%,60.84%,61.04%,60.36%,54.10%,62.07%,61.66%,60.61%,62.35%,60.81%,61.83%,61.98%,60.84%,60.51%,62.15%,62.15%,62.13%,63.28%,61.85%,61.99%,76.47%,74.00%,68.69%,68.69%,61.82%,60.90%,60.13%,59.81%,59.65%,56.31%,56.76%,57.93%,57.71%,57.55%,57.46%,58.32%
Cleveland,74.58%,54.10%,56.28%,55.14%,56.80%,57.59%,54.57%,54.37%,54.37%,55.45%,56.73%,55.75%,55.35%,55.39%,54.84%,53.49%,53.92%,61.19%,58.78%,55.21%,55.42%,50.80%,53.51%,55.48%,55.48%,55.13%,51.96%,50.72%,50.44%,48.96%,48.39%,46.09%,52.94%,56.64%,52.26%,52.26%,50.95%,50.61%,50.13%,48.47%,50.48%,49.24%,49.69%,49.65%,48.83%,48.49%,48.71%,48.16%,42.25%,50.34%,53.92%,53.90%,53.52%,53.52%,53.56%,53.35%,53.77%,54.42%,55.96%,55.23%,54.92%,52.72%,52.05%,51.15%,36.36%,52.45%,48.58%,54.74%,54.65%,56.50%,56.50%,57.29%,58.01%,57.39%,58.19%,58.90%,58.47%,58.59%,58.06%,57.04%,50.79%,46.55%,41.11%,47.86%,47.86%,48.96%,47.41%,49.76%,48.79%,50.27%,49.28%,49.14%,48.66%,47.54%,48.14%,46.28%,46.12%,41.27%,45.99%,49.75%,52.69%,51.87%,51.78%,49.59%,49.37%,49.37%,48.12%,50.45%,49.20%,48.94%,50.06%,50.64%,52.09%,50.82%,46.51%,48.94%,53.66%,52.77%,51.22%,55.61%,55.61%,56.83%,55.87%,56.11%,55.89%,55.47%,54.04%,52.55%,51.48%,48.44%,54.62%,51.98%,50.00%,50.00%,47.80%,50.54%,48.84%,47.27%,47.02%,48.40%,48.62%,46.74%,46.77%,48.49%,65.91%,63.33%,59.55%,60.94%,59.24%,61.01%,59.01%,58.01%,56.29%,56.29%,58.12%,58.52%,60.05%,59.46%,58.95%,58.83%,64.62%,56.62%,58.14%,60.57%,60.17%,60.33%,59.76%,59.68%,60.63%,60.63%,59.51%,58.65%,58.75%,59.93%,59.38%,58.60%,58.21%,58.82%,55.50%,55.50%,55.09%,55.72%,54.52%,57.55%,57.53%,58.31%,55.59%,56.58%,56.21%,57.79%,56.25%,55.18%
Dallas,49.15%,63.57%,63.57%,60.33%,60.94%,58.36%,58.91%,56.69%,58.19%,58.37%,58.43%,57.57%,55.24%,55.82%,55.56%,56.04%,56.24%,48.15%,50.46%,56.91%,56.91%,57.20%,55.67%,54.70%,56.48%,55.72%,54.68%,55.50%,56.33%,56.76%,55.91%,55.99%,58.73%,59.84%,59.57%,56.56%,59.93%,60.59%,61.48%,61.37%,61.37%,60.22%,60.03%,59.78%,58.71%,58.40%,56.57%,56.70%,52.24%,58.40%,58.40%,56.83%,59.07%,60.96%,57.38%,58.54%,56.65%,57.60%,58.31%,57.48%,57.29%,56.77%,56.65%,55.21%,67.16%,66.92%,65.08%,64.20%,63.12%,63.06%,60.98%,60.98%,62.50%,61.99%,63.68%,63.32%,63.82%,62.96%,62.92%,63.29%,58.14%,61.68%,63.95%,59.09%,60.13%,60.39%,57.35%,58.96%,57.61%,57.61%,58.57%,59.57%,60.19%,60.13%,60.95%,59.82%,58.51%,57.53%,58.39%,61.38%,60.16%,60.31%,60.31%,60.26%,61.02%,60.67%,60.45%,60.92%,60.95%,60.43%,59.73%,61.10%,61.79%,58.93%,60.00%,60.74%,60.74%,58.26%,55.60%,54.25%,52.38%,52.13%,53.66%,55.68%,56.64%,58.14%,57.64%,59.00%,58.81%,75.00%,66.10%,65.56%,67.08%,67.08%,66.34%,65.66%,62.44%,61.01%,61.40%,61.58%,61.34%,60.83%,60.77%,61.23%,64.81%,48.72%,50.58%,50.00%,50.00%,50.91%,53.43%,53.18%,53.95%,55.36%,55.07%,54.43%,54.69%,55.50%,56.71%,56.86%,76.27%,68.55%,73.30%,70.11%,67.37%,65.28%,65.91%,65.48%,64.60%,63.24%,63.24%,62.31%,61.79%,61.16%,61.10%,60.80%,44.44%,58.25%,58.29%,63.25%,59.66%,60.06%,59.45%,58.35%,57.98%,58.54%,58.54%,58.35%,56.49%,57.93%,58.08%,59.56%
Denver,65.08%,67.21%,68.54%,66.10%,64.01%,62.47%,61.67%,59.20%,58.99%,58.99%,59.58%,58.72%,58.68%,59.92%,59.14%,59.51%,58.35%,54.10%,50.50%,51.52%,51.40%,50.19%,53.21%,51.23%,49.88%,51.70%,51.70%,55.63%,57.25%,56.17%,56.79%,55.68%,52.17%,52.50%,57.98%,61.70%,63.06%,64.38%,64.85%,64.92%,64.92%,66.31%,67.54%,66.52%,64.26%,64.29%,64.58%,65.01%,56.92%,49.59%,58.29%,58.29%,58.46%,56.88%,59.30%,60.09%,62.40%,61.93%,60.70%,58.41%,57.60%,56.30%,56.91%,56.78%,46.94%,41.90%,38.29%,39.33%,38.10%,38.10%,42.06%,43.24%,44.42%,47.62%,48.95%,49.34%,48.54%,49.69%,49.48%,49.09%,49.15%,56.76%,60.54%,57.08%,58.44%,57.14%,55.16%,55.16%,55.79%,55.67%,54.92%,52.49%,53.98%,54.65%,54.12%,53.89%,52.63%,57.14%,59.66%,57.23%,59.66%,58.86%,59.78%,59.78%,57.38%,56.76%,54.99%,52.76%,54.52%,55.36%,55.76%,55.11%,55.33%,39.29%,51.79%,57.06%,57.21%,51.99%,51.92%,48.17%,46.09%,46.09%,49.65%,48.83%,49.23%,48.92%,49.25%,48.49%,49.14%,37.10%,52.80%,55.91%,56.86%,53.92%,53.92%,54.00%,54.11%,54.67%,55.37%,55.93%,55.53%,56.27%,54.97%,54.59%,63.38%,60.29%,56.22%,59.06%,53.94%,55.42%,55.42%,57.47%,58.50%,59.41%,60.03%,59.02%,59.52%,59.88%,60.53%,61.12%,75.86%,74.36%,72.46%,66.67%,67.88%,66.83%,65.25%,64.58%,64.58%,62.79%,63.10%,63.10%,63.07%,62.59%,60.55%,60.55%,80.00%,68.97%,62.73%,62.73%,63.41%,65.68%,67.16%,68.03%,68.07%,68.86%,66.96%,66.71%,66.67%,67.80%,67.76%,66.05%
