Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,66.67%,54.55%,58.33%,56.25%,61.11%,55.00%,55.00%,50.00%,50.00%,53.57%,54.55%,52.78%,52.50%,53.19%,53.06%,52.83%,52.73%,100.00%,100.00%,100.00%,75.00%,71.43%,71.43%,66.67%,57.14%,56.25%,55.56%,52.17%,54.17%,53.85%,56.67%,54.84%,33.33%,37.50%,25.00%,21.43%,29.41%,29.41%,33.33%,31.82%,30.77%,37.93%,43.75%,40.00%,38.89%,36.84%,34.15%,34.09%,33.33%,33.33%,42.86%,33.33%,45.45%,35.71%,37.50%,35.00%,35.00%,39.13%,37.50%,42.86%,46.67%,51.52%,51.35%,48.72%,0.00%,25.00%,33.33%,50.00%,63.64%,61.54%,50.00%,50.00%,50.00%,52.38%,54.17%,51.72%,54.84%,58.33%,57.50%,58.14%,0.00%,0.00%,40.00%,66.67%,64.29%,70.59%,70.59%,70.00%,72.73%,72.00%,67.86%,68.75%,68.42%,69.23%,70.45%,69.39%,69.23%,50.00%,75.00%,87.50%,87.50%,81.82%,81.82%,76.92%,64.71%,70.00%,68.18%,65.22%,64.00%,66.67%,66.67%,60.61%,61.76%,100.00%,66.67%,62.50%,53.85%,60.00%,60.00%,62.50%,52.38%,54.17%,51.85%,51.61%,50.00%,48.57%,47.22%,48.65%,50.00%,66.67%,80.00%,66.67%,60.00%,42.86%,42.86%,52.94%,45.00%,45.00%,40.91%,45.83%,46.15%,48.15%,46.43%,46.67%,100.00%,100.00%,100.00%,75.00%,83.33%,62.50%,54.55%,64.29%,72.22%,72.22%,65.00%,62.50%,64.00%,53.12%,51.52%,48.65%,100.00%,80.00%,77.78%,80.00%,80.00%,76.92%,76.47%,77.78%,77.78%,80.95%,78.26%,79.17%,81.48%,78.57%,81.25%,81.82%,50.00%,75.00%,66.67%,66.67%,72.73%,76.92%,71.43%,75.00%,72.22%,70.00%,70.00%,71.43%,73.91%,72.00%,72.00%,66.67%
Atlanta,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,48.28%,45.16%,47.22%,44.74%,45.00%,51.11%,55.10%,54.90%,100.00%,75.00%,75.00%,60.00%,57.14%,55.56%,29.41%,42.86%,42.86%,47.83%,50.00%,50.00%,48.28%,46.67%,47.06%,100.00%,75.00%,60.00%,66.67%,70.00%,64.29%,56.25%,56.25%,52.94%,50.00%,43.48%,45.83%,48.15%,48.28%,46.67%,48.48%,--,--,0.00%,0.00%,0.00%,33.33%,63.64%,64.29%,58.82%,57.89%,50.00%,50.00%,50.00%,50.00%,48.48%,50.00%,33.33%,50.00%,57.14%,62.50%,50.00%,50.00%,52.94%,52.94%,50.00%,47.37%,47.83%,51.85%,54.84%,57.14%,53.85%,57.14%,66.67%,50.00%,50.00%,54.55%,64.29%,62.50%,62.50%,52.63%,52.63%,57.14%,54.17%,51.85%,48.28%,50.00%,51.52%,54.29%,52.63%,100.00%,66.67%,60.00%,60.00%,50.00%,62.50%,66.67%,58.82%,57.89%,56.52%,59.26%,62.07%,60.61%,63.89%,64.86%,64.86%,0.00%,0.00%,60.00%,57.14%,62.50%,66.67%,68.75%,68.75%,68.42%,72.73%,75.00%,73.08%,72.41%,70.00%,65.62%,64.71%,66.67%,57.14%,50.00%,58.33%,64.29%,56.25%,58.82%,58.82%,55.56%,60.00%,63.64%,62.50%,61.54%,62.07%,61.29%,33.33%,33.33%,33.33%,40.00%,41.67%,42.86%,42.86%,43.75%,47.06%,52.38%,50.00%,45.83%,44.00%,46.43%,46.43%,44.83%,100.00%,100.00%,87.50%,81.82%,85.71%,85.71%,87.50%,84.21%,73.91%,73.08%,67.74%,69.70%,64.86%,64.10%,66.67%,63.04%,25.00%,28.57%,33.33%,23.08%,31.25%,31.58%,36.36%,41.67%,41.67%,46.15%,50.00%,46.67%,46.88%,48.65%,45.00%,45.24%
Baltimore,75.00%,80.00%,66.67%,62.50%,62.50%,70.00%,71.43%,71.43%,68.75%,57.89%,57.89%,66.67%,66.67%,68.00%,66.67%,66.67%,67.86%,50.00%,75.00%,75.00%,57.14%,62.50%,62.50%,62.50%,66.67%,60.00%,50.00%,53.85%,46.67%,55.56%,50.00%,50.00%,66.67%,60.00%,60.00%,60.00%,40.00%,40.00%,45.45%,53.85%,56.25%,52.63%,55.00%,56.00%,56.00%,57.69%,57.69%,60.71%,--,--,50.00%,66.67%,75.00%,83.33%,83.33%,88.89%,81.82%,64.29%,66.67%,66.67%,68.75%,70.59%,73.68%,75.00%,66.67%,75.00%,83.33%,77.78%,80.00%,80.00%,72.73%,72.73%,81.25%,81.25%,68.42%,72.73%,72.00%,70.97%,69.70%,69.44%,0.00%,0.00%,50.00%,50.00%,60.00%,66.67%,70.00%,72.73%,71.43%,73.33%,63.16%,60.00%,60.00%,61.90%,63.64%,64.00%,65.38%,66.67%,80.00%,80.00%,62.50%,60.00%,69.23%,69.23%,64.29%,62.50%,62.50%,61.11%,60.00%,65.22%,65.22%,62.50%,61.54%,--,--,50.00%,25.00%,50.00%,50.00%,66.67%,66.67%,61.54%,68.75%,70.59%,72.22%,73.68%,77.27%,80.00%,80.77%,100.00%,66.67%,75.00%,50.00%,50.00%,50.00%,50.00%,45.45%,46.15%,42.86%,41.18%,41.18%,44.44%,47.37%,43.48%,0.00%,25.00%,28.57%,25.00%,25.00%,36.36%,37.50%,37.50%,37.50%,44.44%,42.11%,45.00%,45.45%,48.00%,44.83%,45.16%,100.00%,100.00%,100.00%,88.89%,81.82%,83.33%,84.62%,84.62%,87.50%,88.89%,85.00%,85.00%,82.61%,80.77%,78.57%,69.70%,100.00%,100.00%,50.00%,60.00%,57.14%,66.67%,70.00%,53.85%,68.42%,70.00%,70.00%,73.91%,74.07%,75.00%,75.00%,75.86%
Buffalo,--,50.00%,50.00%,33.33%,28.57%,50.00%,54.55%,50.00%,50.00%,52.94%,55.56%,50.00%,52.38%,52.38%,54.17%,53.85%,60.00%,100.00%,100.00%,100.00%,66.67%,71.43%,75.00%,60.00%,58.33%,64.29%,68.75%,72.22%,73.68%,73.91%,75.00%,73.08%,0.00%,0.00%,33.33%,28.57%,44.44%,36.36%,31.25%,31.58%,31.58%,31.58%,40.00%,42.31%,44.83%,44.12%,44.74%,46.34%,100.00%,100.00%,57.14%,62.50%,58.33%,57.14%,55.56%,55.56%,57.89%,57.14%,50.00%,51.85%,50.00%,51.61%,51.61%,52.94%,100.00%,66.67%,75.00%,70.00%,75.00%,75.00%,71.43%,71.43%,70.59%,66.67%,65.38%,62.07%,60.00%,56.25%,56.25%,48.65%,100.00%,50.00%,50.00%,33.33%,36.36%,36.36%,46.15%,46.67%,41.18%,36.84%,33.33%,44.00%,46.15%,48.15%,45.16%,42.42%,41.18%,66.67%,83.33%,55.56%,42.86%,42.86%,40.00%,37.50%,31.58%,31.58%,29.17%,30.77%,32.14%,34.48%,33.33%,34.38%,38.89%,0.00%,40.00%,50.00%,53.33%,61.11%,61.11%,63.64%,65.22%,65.38%,66.67%,64.52%,62.50%,59.46%,59.46%,58.97%,60.47%,100.00%,50.00%,70.00%,66.67%,66.67%,55.56%,55.56%,55.56%,52.38%,53.85%,54.84%,60.00%,56.76%,57.14%,57.78%,50.00%,62.50%,60.00%,52.94%,52.17%,54.17%,48.28%,48.28%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,46.00%,47.17%,100.00%,100.00%,85.71%,88.89%,69.23%,75.00%,78.95%,83.33%,76.92%,75.00%,73.33%,73.33%,67.65%,67.57%,69.23%,69.23%,100.00%,100.00%,100.00%,85.71%,77.78%,84.62%,85.71%,70.59%,70.59%,63.16%,66.67%,66.67%,63.64%,56.00%,53.85%,57.14%
Carolina,66.67%,75.00%,75.00%,75.00%,80.00%,71.43%,63.64%,69.23%,66.67%,66.67%,70.00%,69.57%,68.00%,60.71%,56.67%,53.12%,54.29%,33.33%,20.00%,20.00%,12.50%,30.00%,23.08%,20.00%,23.53%,20.00%,21.74%,25.00%,30.77%,37.93%,40.00%,41.18%,0.00%,25.00%,42.86%,63.64%,69.23%,60.00%,60.00%,58.82%,57.89%,57.89%,60.00%,60.00%,60.00%,54.55%,56.52%,53.85%,100.00%,100.00%,66.67%,62.50%,62.50%,72.73%,76.92%,64.71%,64.71%,66.67%,66.67%,70.00%,73.91%,76.92%,70.00%,70.00%,100.00%,60.00%,71.43%,55.56%,50.00%,45.45%,45.45%,46.67%,41.18%,42.11%,47.83%,51.85%,55.17%,54.55%,55.88%,55.56%,100.00%,60.00%,57.14%,57.14%,57.14%,50.00%,45.45%,50.00%,50.00%,50.00%,50.00%,36.36%,44.00%,46.43%,48.28%,45.45%,51.35%,40.00%,55.56%,45.45%,45.45%,46.15%,37.50%,38.89%,42.86%,41.67%,42.31%,41.38%,38.71%,38.71%,39.39%,38.24%,40.00%,75.00%,83.33%,75.00%,77.78%,63.64%,63.64%,61.54%,66.67%,63.16%,60.87%,55.56%,50.00%,44.12%,42.11%,41.03%,40.48%,50.00%,57.14%,62.50%,41.67%,46.67%,42.11%,42.86%,41.67%,41.67%,40.74%,47.06%,47.22%,48.65%,53.66%,52.38%,100.00%,50.00%,42.86%,60.00%,63.64%,63.64%,66.67%,60.00%,56.25%,50.00%,56.52%,52.00%,53.57%,54.84%,56.25%,56.25%,100.00%,66.67%,66.67%,66.67%,60.00%,66.67%,71.43%,75.00%,77.78%,77.78%,72.73%,75.00%,75.00%,81.25%,77.78%,78.95%,100.00%,100.00%,71.43%,66.67%,66.67%,63.16%,62.50%,64.00%,58.62%,54.29%,55.56%,55.56%,55.00%,56.10%,55.81%,56.82%
Chicago,40.00%,50.00%,50.00%,53.85%,50.00%,56.25%,52.63%,52.38%,50.00%,50.00%,54.17%,56.00%,56.00%,53.57%,55.17%,59.38%,55.56%,50.00%,66.67%,66.67%,71.43%,71.43%,75.00%,70.00%,63.64%,57.14%,62.50%,66.67%,62.50%,65.38%,67.86%,64.52%,--,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,85.71%,77.78%,77.78%,77.78%,70.00%,63.64%,57.14%,57.14%,50.00%,--,0.00%,0.00%,0.00%,33.33%,60.00%,60.00%,66.67%,70.00%,58.33%,58.33%,57.14%,53.33%,57.89%,60.87%,65.38%,50.00%,66.67%,57.14%,50.00%,50.00%,44.44%,47.37%,45.00%,45.00%,45.00%,47.83%,48.15%,46.67%,48.48%,45.71%,44.44%,100.00%,33.33%,50.00%,50.00%,44.44%,50.00%,46.67%,46.67%,50.00%,52.38%,52.00%,52.00%,48.28%,50.00%,51.52%,54.29%,53.85%,50.00%,50.00%,60.00%,50.00%,50.00%,54.55%,64.71%,61.11%,69.57%,66.67%,66.67%,67.74%,67.74%,63.64%,67.57%,65.85%,0.00%,25.00%,33.33%,25.00%,25.00%,27.27%,30.77%,30.77%,31.25%,35.29%,35.29%,42.11%,42.86%,44.00%,44.44%,41.94%,0.00%,75.00%,85.71%,70.00%,69.23%,64.29%,68.75%,68.75%,57.89%,60.00%,63.64%,60.87%,62.50%,64.00%,56.67%,33.33%,60.00%,60.00%,71.43%,71.43%,71.43%,75.00%,66.67%,63.64%,66.67%,66.67%,68.75%,68.42%,59.09%,64.00%,61.54%,66.67%,50.00%,62.50%,50.00%,57.14%,52.94%,47.83%,47.83%,44.00%,50.00%,50.00%,45.71%,45.95%,48.78%,46.67%,44.23%,50.00%,50.00%,60.00%,70.00%,64.29%,66.67%,66.67%,70.83%,70.83%,74.19%,75.00%,75.76%,72.97%,71.43%,71.74%,68.75%
Cincinnati,0.00%,0.00%,14.29%,33.33%,36.36%,36.36%,42.86%,52.94%,57.89%,59.09%,62.50%,62.96%,62.07%,57.58%,55.26%,56.10%,53.49%,50.00%,60.00%,50.00%,41.67%,41.67%,56.25%,58.82%,60.00%,60.00%,61.90%,60.87%,65.52%,61.29%,58.33%,56.41%,100.00%,50.00%,33.33%,50.00%,66.67%,50.00%,54.55%,53.85%,53.85%,53.85%,52.63%,56.52%,59.26%,58.62%,61.29%,57.14%,100.00%,33.33%,20.00%,30.00%,30.00%,41.67%,50.00%,58.82%,52.63%,50.00%,53.57%,53.57%,55.17%,56.67%,61.76%,62.16%,0.00%,62.50%,72.73%,73.33%,73.33%,72.22%,76.19%,75.00%,74.07%,71.43%,66.67%,66.67%,66.67%,64.86%,64.10%,65.85%,0.00%,20.00%,28.57%,33.33%,46.15%,43.75%,47.62%,50.00%,46.43%,46.43%,48.28%,46.88%,50.00%,51.22%,52.38%,52.38%,53.49%,100.00%,50.00%,50.00%,50.00%,50.00%,64.29%,66.67%,66.67%,62.50%,62.50%,66.67%,63.16%,61.90%,58.33%,62.96%,64.29%,60.00%,66.67%,57.14%,55.56%,50.00%,50.00%,52.94%,50.00%,52.38%,47.83%,50.00%,48.48%,48.65%,46.15%,48.78%,48.84%,100.00%,80.00%,66.67%,50.00%,50.00%,50.00%,50.00%,46.15%,53.33%,50.00%,50.00%,54.17%,51.72%,54.84%,56.25%,40.00%,50.00%,41.67%,46.15%,40.00%,42.11%,42.86%,42.86%,48.00%,46.15%,46.15%,48.15%,46.43%,46.67%,48.39%,50.00%,66.67%,75.00%,57.14%,66.67%,66.67%,66.67%,73.33%,73.33%,64.71%,68.42%,66.67%,66.67%,68.18%,73.08%,68.97%,67.74%,50.00%,66.67%,50.00%,50.00%,50.00%,50.00%,53.33%,47.06%,50.00%,43.48%,45.83%,44.00%,42.31%,45.16%,45.16%,45.71%
Cleveland,--,0.00%,0.00%,50.00%,42.86%,50.00%,40.00%,40.00%,40.00%,46.67%,46.67%,50.00%,55.00%,54.55%,50.00%,44.83%,41.94%,--,50.00%,20.00%,16.67%,20.00%,25.00%,43.75%,43.75%,38.89%,33.33%,36.36%,41.38%,37.14%,35.90%,35.71%,66.67%,83.33%,71.43%,71.43%,75.00%,77.78%,70.00%,72.73%,69.23%,58.82%,58.82%,65.00%,68.18%,66.67%,68.00%,63.33%,100.00%,60.00%,66.67%,55.56%,54.55%,54.55%,53.85%,50.00%,38.89%,42.11%,45.45%,50.00%,56.67%,54.55%,55.56%,52.63%,100.00%,100.00%,91.67%,92.31%,88.24%,80.95%,80.95%,78.26%,76.92%,75.86%,71.88%,73.53%,72.97%,71.05%,71.05%,70.00%,25.00%,40.00%,22.22%,30.00%,30.00%,33.33%,35.71%,43.75%,45.00%,50.00%,48.15%,50.00%,48.28%,48.48%,50.00%,50.00%,45.24%,25.00%,28.57%,27.27%,35.71%,35.71%,41.18%,47.62%,41.67%,41.67%,38.46%,48.39%,50.00%,51.43%,51.43%,51.28%,51.28%,100.00%,66.67%,83.33%,87.50%,80.00%,78.57%,81.25%,81.25%,83.33%,80.95%,79.17%,73.08%,74.07%,75.00%,72.41%,74.19%,66.67%,75.00%,80.00%,77.78%,77.78%,66.67%,66.67%,64.29%,52.94%,55.56%,52.63%,52.38%,45.83%,50.00%,50.00%,100.00%,83.33%,88.89%,75.00%,70.59%,75.00%,68.18%,68.18%,64.00%,64.00%,62.96%,58.62%,61.29%,59.38%,56.76%,58.54%,50.00%,50.00%,28.57%,28.57%,20.00%,42.86%,50.00%,55.00%,59.09%,59.09%,59.26%,60.00%,63.64%,63.89%,63.41%,63.64%,33.33%,50.00%,50.00%,50.00%,58.33%,61.54%,56.25%,58.82%,63.16%,63.16%,66.67%,66.67%,65.38%,65.52%,59.38%,58.82%
Dallas,66.67%,71.43%,71.43%,71.43%,75.00%,63.64%,58.33%,61.54%,66.67%,66.67%,62.50%,61.11%,60.87%,62.96%,62.96%,62.96%,64.29%,100.00%,100.00%,100.00%,100.00%,88.89%,83.33%,76.47%,75.00%,72.73%,68.97%,66.67%,64.71%,64.10%,61.90%,61.36%,66.67%,80.00%,77.78%,70.00%,63.64%,66.67%,69.23%,71.43%,71.43%,62.50%,58.82%,55.00%,50.00%,46.15%,51.61%,54.55%,33.33%,25.00%,25.00%,40.00%,40.00%,40.00%,42.86%,37.50%,38.89%,36.84%,42.86%,40.91%,45.83%,53.33%,58.82%,58.33%,100.00%,100.00%,85.71%,75.00%,54.55%,64.71%,57.89%,57.89%,57.14%,56.52%,60.00%,60.00%,57.14%,51.61%,53.12%,54.55%,100.00%,40.00%,33.33%,50.00%,60.00%,57.14%,50.00%,50.00%,52.17%,52.17%,54.17%,57.69%,57.69%,57.14%,57.14%,54.84%,52.78%,33.33%,50.00%,57.14%,66.67%,72.73%,72.73%,71.43%,75.00%,76.47%,73.68%,73.68%,75.00%,70.83%,69.23%,67.86%,67.86%,0.00%,75.00%,80.00%,80.00%,66.67%,58.33%,64.71%,68.18%,64.29%,66.67%,68.75%,65.71%,62.50%,62.79%,65.96%,64.00%,66.67%,66.67%,71.43%,63.64%,63.64%,69.23%,64.29%,61.11%,57.89%,60.00%,60.87%,62.50%,61.54%,60.00%,59.38%,50.00%,40.00%,50.00%,50.00%,50.00%,42.86%,43.75%,38.89%,36.84%,40.91%,45.83%,51.72%,48.48%,50.00%,51.35%,53.66%,100.00%,100.00%,100.00%,100.00%,87.50%,82.35%,82.35%,71.43%,66.67%,64.52%,64.52%,66.67%,61.11%,63.41%,65.22%,64.58%,50.00%,60.00%,66.67%,72.73%,61.54%,53.33%,61.11%,55.00%,58.33%,53.85%,53.85%,56.67%,54.55%,54.05%,50.00%,51.22%
Denver,100.00%,100.00%,66.67%,80.00%,75.00%,66.67%,61.54%,60.00%,66.67%,66.67%,68.42%,65.00%,65.00%,58.33%,61.54%,57.14%,53.12%,0.00%,25.00%,20.00%,33.33%,37.50%,37.50%,40.00%,40.00%,35.29%,35.29%,38.89%,50.00%,45.83%,46.15%,46.88%,50.00%,33.33%,42.86%,50.00%,60.00%,58.33%,60.00%,66.67%,66.67%,70.00%,70.00%,69.57%,66.67%,67.86%,66.67%,66.67%,--,--,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,85.71%,75.00%,61.54%,57.14%,50.00%,45.45%,41.67%,44.44%,0.00%,25.00%,33.33%,45.45%,43.75%,43.75%,55.00%,59.09%,55.56%,55.56%,55.17%,51.52%,54.05%,55.26%,52.38%,52.27%,100.00%,83.33%,60.00%,53.85%,57.14%,52.94%,54.55%,54.55%,50.00%,51.85%,48.28%,45.45%,42.86%,43.24%,42.50%,41.86%,40.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,50.00%,44.44%,53.85%,56.25%,52.63%,52.63%,50.00%,58.33%,57.69%,62.07%,100.00%,80.00%,87.50%,80.00%,57.14%,52.94%,44.00%,42.86%,42.86%,50.00%,54.05%,56.10%,57.14%,52.17%,50.00%,50.00%,50.00%,75.00%,83.33%,69.23%,66.67%,66.67%,68.75%,63.64%,68.00%,69.23%,66.67%,67.86%,70.97%,68.75%,64.86%,100.00%,80.00%,88.89%,88.89%,69.23%,68.75%,68.75%,72.22%,70.00%,72.73%,72.00%,72.00%,74.07%,75.86%,77.42%,78.12%,66.67%,60.00%,62.50%,60.00%,68.75%,61.11%,63.64%,60.00%,60.00%,59.26%,62.07%,63.64%,62.16%,58.54%,59.09%,60.00%,66.67%,40.00%,50.00%,50.00%,50.00%,58.33%,64.29%,70.59%,72.73%,75.00%,76.00%,73.33%,75.00%,73.53%,74.29%,71.79%
