Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,74.71%,66.44%,70.73%,69.52%,70.38%,63.77%,63.77%,63.15%,65.18%,65.13%,67.60%,68.08%,67.60%,66.03%,66.74%,65.83%,65.23%,60.71%,57.82%,51.08%,57.97%,65.12%,65.12%,66.11%,63.62%,62.83%,61.75%,60.68%,60.18%,58.79%,58.27%,59.47%,56.00%,59.97%,61.53%,62.68%,65.06%,65.06%,66.76%,65.39%,62.23%,61.82%,65.70%,64.02%,64.75%,64.07%,63.42%,64.00%,72.77%,65.53%,71.22%,61.54%,65.80%,66.79%,66.54%,63.82%,63.82%,64.79%,65.69%,65.28%,65.98%,65.94%,66.29%,66.79%,52.58%,68.35%,67.45%,68.66%,68.32%,65.14%,64.33%,64.33%,62.83%,66.86%,68.76%,68.18%,69.13%,69.78%,70.07%,70.45%,62.89%,65.84%,62.82%,66.88%,67.62%,70.17%,70.17%,69.80%,70.15%,69.49%,70.05%,70.32%,68.85%,69.12%,66.50%,66.28%,66.74%,89.66%,80.18%,77.77%,77.77%,80.95%,81.59%,79.19%,70.66%,72.59%,71.50%,70.55%,70.39%,71.11%,69.09%,67.60%,67.39%,73.85%,60.21%,61.25%,60.12%,63.14%,63.14%,61.66%,61.74%,65.39%,67.04%,65.95%,62.98%,62.71%,62.21%,61.02%,60.41%,84.49%,73.61%,69.15%,72.83%,68.49%,68.49%,70.60%,71.04%,69.79%,67.48%,66.86%,66.96%,67.77%,67.45%,67.22%,54.72%,68.02%,66.46%,71.71%,69.16%,65.59%,61.28%,61.67%,60.67%,60.67%,63.18%,62.13%,60.40%,58.37%,59.35%,58.72%,81.69%,83.14%,80.20%,78.01%,76.99%,74.14%,72.26%,74.23%,74.23%,73.71%,74.95%,74.37%,73.68%,72.88%,74.18%,73.04%,82.07%,78.92%,77.34%,77.34%,79.76%,80.30%,79.71%,79.55%,78.27%,77.73%,76.58%,75.09%,74.68%,74.09%,74.16%,72.11%
Atlanta,63.03%,67.30%,64.82%,60.46%,60.03%,63.32%,64.04%,64.04%,64.83%,64.52%,62.87%,62.53%,61.53%,61.51%,61.53%,62.83%,62.20%,74.09%,80.75%,79.07%,79.74%,75.99%,74.94%,69.11%,72.81%,72.81%,72.31%,71.05%,69.62%,68.17%,67.29%,68.64%,83.06%,70.64%,58.80%,62.52%,64.90%,62.52%,64.61%,64.61%,63.39%,64.13%,62.64%,63.74%,62.92%,62.88%,61.87%,61.77%,69.77%,81.45%,71.86%,74.33%,74.33%,64.34%,70.09%,71.22%,71.15%,70.38%,70.21%,71.07%,69.45%,69.52%,69.80%,67.27%,53.97%,62.16%,56.38%,62.67%,62.73%,62.49%,63.54%,63.54%,62.62%,62.55%,61.47%,62.10%,63.35%,63.99%,62.15%,64.03%,77.85%,62.68%,54.96%,60.50%,63.79%,66.25%,66.25%,64.43%,62.91%,65.73%,65.49%,65.67%,65.64%,64.71%,65.04%,64.33%,63.31%,62.93%,65.67%,64.34%,64.34%,64.30%,67.09%,68.05%,67.81%,66.61%,64.87%,66.77%,67.57%,68.02%,68.63%,68.62%,68.92%,59.60%,57.97%,70.17%,69.95%,72.06%,71.00%,73.08%,73.08%,72.32%,71.43%,71.90%,72.96%,71.44%,68.50%,68.13%,69.03%,76.66%,73.18%,69.97%,73.91%,76.73%,74.36%,72.93%,72.93%,71.73%,73.72%,74.82%,74.63%,72.69%,71.70%,70.45%,61.32%,62.96%,61.74%,58.60%,58.70%,60.83%,60.83%,61.38%,64.21%,64.50%,62.37%,64.29%,65.58%,64.91%,64.77%,66.68%,81.38%,82.50%,78.93%,76.54%,73.83%,73.83%,72.79%,68.62%,68.14%,66.53%,65.25%,65.90%,64.66%,65.04%,65.98%,64.77%,70.55%,67.27%,67.87%,64.28%,63.75%,66.27%,66.59%,68.69%,68.69%,69.37%,69.71%,69.31%,70.67%,70.07%,71.37%,71.97%
Baltimore,71.09%,69.26%,67.88%,64.13%,64.13%,65.79%,68.29%,66.15%,65.03%,64.84%,63.09%,63.87%,63.55%,63.49%,63.94%,63.90%,64.39%,66.00%,68.21%,70.04%,65.71%,64.66%,64.66%,65.26%,65.53%,64.81%,62.91%,62.49%,61.64%,63.78%,64.31%,65.44%,74.71%,70.95%,70.95%,73.02%,63.74%,63.53%,60.73%,60.81%,62.29%,62.06%,63.42%,64.21%,62.52%,63.13%,63.11%,64.38%,81.69%,78.62%,82.60%,71.12%,66.39%,71.76%,71.76%,75.87%,74.69%,71.99%,70.09%,71.14%,71.70%,70.06%,70.13%,70.44%,76.69%,77.04%,79.54%,76.47%,75.69%,75.52%,73.19%,73.19%,72.64%,73.41%,73.06%,73.26%,73.18%,73.97%,74.49%,73.21%,54.55%,54.55%,56.14%,62.34%,66.49%,69.74%,72.31%,73.35%,73.81%,74.58%,70.21%,69.36%,69.04%,69.55%,69.65%,69.83%,68.78%,84.57%,87.61%,81.96%,79.61%,75.80%,72.60%,72.60%,72.09%,70.41%,68.99%,70.29%,68.39%,68.84%,68.04%,66.81%,67.86%,34.09%,51.05%,47.75%,50.48%,60.74%,62.39%,65.18%,65.18%,66.29%,68.47%,67.35%,66.90%,68.03%,69.12%,70.39%,69.98%,78.85%,81.18%,74.49%,74.52%,74.52%,73.24%,68.52%,66.14%,68.95%,68.27%,69.39%,68.71%,69.11%,69.16%,68.73%,59.94%,68.07%,72.18%,75.78%,68.83%,65.59%,64.29%,64.29%,63.88%,66.17%,65.40%,65.55%,66.22%,65.52%,64.71%,64.69%,87.25%,83.09%,78.32%,69.13%,73.23%,72.15%,69.60%,69.60%,70.43%,70.03%,69.79%,68.80%,69.58%,69.61%,69.33%,68.33%,79.21%,73.86%,74.53%,75.93%,75.07%,74.90%,74.72%,73.91%,75.28%,74.83%,74.83%,74.99%,76.05%,75.98%,75.51%,74.61%
Buffalo,56.07%,61.98%,56.38%,53.75%,58.02%,56.82%,57.74%,60.36%,60.36%,59.21%,61.64%,62.36%,64.19%,63.87%,64.92%,63.10%,62.81%,63.11%,68.67%,68.67%,71.51%,73.40%,69.73%,66.61%,63.55%,64.24%,62.11%,64.47%,65.34%,66.31%,65.65%,64.20%,20.83%,34.70%,37.93%,41.31%,46.43%,46.33%,49.13%,51.00%,51.00%,51.17%,54.01%,54.65%,57.76%,58.87%,58.90%,59.84%,42.63%,54.24%,59.28%,65.29%,63.07%,63.67%,63.77%,63.77%,64.07%,63.73%,62.41%,60.11%,58.55%,58.14%,57.63%,56.67%,63.62%,60.11%,61.31%,65.62%,68.30%,68.30%,67.08%,66.47%,68.90%,67.07%,68.16%,68.36%,68.57%,69.09%,67.50%,64.46%,66.27%,63.03%,62.13%,60.07%,61.81%,61.81%,63.42%,67.16%,67.22%,66.40%,64.87%,64.96%,65.13%,64.83%,64.06%,64.27%,62.70%,83.45%,83.63%,69.97%,60.08%,54.56%,48.42%,52.48%,53.37%,53.37%,53.62%,54.76%,54.51%,52.23%,52.75%,52.68%,53.21%,55.41%,65.26%,61.09%,54.54%,52.30%,52.30%,54.00%,50.89%,52.03%,55.34%,56.10%,55.64%,54.79%,54.36%,56.02%,54.84%,49.30%,64.17%,70.14%,68.02%,67.19%,67.74%,67.74%,68.90%,68.32%,67.58%,67.13%,66.30%,64.46%,64.04%,62.25%,69.27%,66.75%,71.22%,66.30%,61.77%,59.64%,58.30%,58.30%,59.44%,60.08%,60.43%,61.30%,62.23%,62.86%,60.99%,59.81%,63.34%,61.70%,62.86%,69.38%,69.26%,68.57%,67.52%,69.10%,68.18%,67.04%,65.84%,65.84%,65.69%,63.89%,63.25%,63.73%,79.86%,76.85%,76.16%,78.83%,78.00%,79.95%,75.48%,71.70%,71.70%,70.03%,69.22%,68.49%,69.17%,68.21%,67.02%,66.48%
Carolina,77.34%,81.46%,81.46%,71.96%,67.59%,70.14%,68.68%,68.17%,66.91%,67.78%,67.92%,69.00%,68.03%,65.54%,64.18%,63.85%,63.58%,45.52%,53.39%,53.39%,51.20%,51.34%,54.91%,56.08%,54.06%,56.64%,58.14%,60.57%,63.08%,64.89%,65.71%,63.80%,65.29%,75.82%,68.23%,72.55%,75.79%,75.72%,75.72%,74.77%,75.76%,72.55%,70.80%,71.12%,69.78%,68.70%,68.52%,66.43%,34.55%,47.73%,52.45%,62.01%,62.21%,63.80%,64.32%,64.01%,64.01%,64.39%,64.67%,63.02%,64.41%,63.76%,62.63%,62.25%,68.07%,66.61%,72.12%,65.85%,67.44%,66.78%,66.78%,66.79%,64.44%,64.80%,65.07%,65.55%,65.77%,65.01%,66.23%,66.00%,66.77%,61.54%,61.35%,60.09%,61.32%,60.05%,61.19%,66.07%,66.07%,63.81%,63.28%,63.61%,63.99%,65.25%,64.71%,61.86%,63.92%,30.71%,47.34%,49.59%,49.59%,51.60%,51.24%,52.92%,55.73%,59.81%,59.27%,58.60%,57.97%,59.07%,58.35%,59.63%,61.03%,68.62%,67.18%,65.09%,66.04%,57.58%,57.58%,58.68%,60.56%,60.40%,59.74%,61.31%,61.17%,60.75%,60.78%,61.70%,62.52%,74.87%,72.57%,67.20%,58.54%,63.08%,60.95%,62.77%,62.86%,62.86%,61.94%,62.46%,62.86%,63.50%,64.72%,64.25%,49.61%,60.62%,63.62%,65.78%,66.21%,66.21%,67.14%,66.72%,65.31%,67.24%,66.24%,63.65%,62.95%,65.14%,64.86%,65.26%,81.08%,72.83%,70.82%,70.82%,69.40%,70.32%,72.04%,73.70%,73.61%,71.06%,71.26%,72.59%,72.31%,73.20%,71.34%,70.86%,61.36%,70.70%,58.12%,62.34%,64.82%,64.29%,64.57%,64.27%,65.12%,67.52%,68.16%,68.16%,67.58%,67.76%,66.57%,66.42%
Chicago,58.57%,53.98%,53.98%,52.95%,54.21%,54.19%,55.60%,56.85%,57.08%,60.28%,60.76%,59.13%,60.07%,60.71%,60.17%,61.67%,62.10%,70.61%,65.62%,70.96%,67.95%,67.95%,61.36%,60.17%,60.28%,60.74%,63.54%,60.65%,59.31%,59.63%,60.64%,61.02%,49.23%,65.35%,65.54%,65.54%,67.38%,68.28%,68.10%,67.86%,65.88%,62.46%,63.82%,63.56%,64.52%,62.78%,62.03%,63.82%,61.42%,70.90%,69.17%,68.58%,67.52%,69.36%,69.36%,66.37%,63.34%,60.74%,60.56%,62.44%,60.57%,62.48%,64.40%,65.54%,70.72%,72.98%,71.49%,70.97%,71.35%,62.87%,62.91%,63.48%,63.48%,62.29%,63.93%,64.37%,63.24%,65.32%,65.18%,64.61%,81.91%,67.19%,77.78%,75.67%,75.07%,76.07%,73.90%,73.90%,75.19%,77.07%,74.04%,75.15%,73.03%,71.99%,71.50%,72.06%,72.06%,66.37%,66.10%,67.73%,70.74%,70.74%,71.13%,66.80%,64.33%,63.34%,62.25%,61.79%,63.03%,61.80%,61.03%,61.26%,62.07%,88.10%,90.31%,87.57%,76.82%,73.37%,72.44%,70.75%,70.75%,72.91%,72.73%,73.14%,73.20%,71.73%,71.98%,71.12%,70.90%,71.50%,70.31%,71.72%,70.82%,67.68%,69.34%,71.43%,71.43%,70.61%,71.66%,72.79%,73.28%,72.22%,71.61%,72.04%,82.30%,75.04%,72.76%,78.77%,77.40%,77.40%,76.28%,75.36%,72.40%,69.96%,69.48%,68.43%,67.62%,65.40%,65.90%,67.08%,81.47%,73.04%,76.85%,72.33%,74.03%,72.65%,70.00%,70.00%,66.55%,65.87%,64.10%,61.39%,60.21%,58.85%,59.93%,58.51%,46.39%,55.34%,61.69%,67.14%,67.99%,70.37%,69.54%,70.43%,70.43%,70.47%,69.81%,70.92%,71.95%,70.27%,71.18%,70.62%
Cincinnati,37.20%,40.00%,49.67%,57.83%,59.72%,59.72%,62.23%,64.50%,62.50%,61.17%,63.50%,63.52%,64.90%,62.62%,62.97%,62.86%,60.66%,50.00%,63.25%,52.30%,51.85%,51.85%,56.08%,56.86%,56.51%,57.45%,58.33%,56.73%,60.01%,58.80%,59.93%,60.83%,74.53%,74.59%,70.17%,65.94%,61.71%,63.10%,58.17%,61.13%,60.04%,60.04%,62.75%,62.38%,64.43%,64.20%,65.03%,66.20%,60.90%,71.19%,64.40%,58.23%,58.23%,58.19%,61.04%,61.91%,62.40%,64.13%,67.37%,67.76%,68.06%,68.64%,68.87%,68.15%,65.92%,61.64%,63.99%,62.28%,62.28%,62.92%,64.77%,63.94%,63.83%,64.77%,65.77%,66.86%,66.71%,66.53%,65.65%,65.54%,36.03%,37.83%,50.61%,50.23%,49.50%,51.62%,54.05%,56.55%,58.37%,58.37%,61.18%,61.72%,62.33%,63.85%,63.61%,62.11%,63.11%,75.17%,73.25%,73.02%,70.17%,69.84%,72.46%,74.22%,74.22%,74.23%,73.46%,72.85%,72.48%,72.12%,70.76%,71.64%,70.77%,68.62%,64.25%,65.19%,64.08%,65.05%,65.05%,65.29%,64.70%,64.33%,64.84%,65.34%,63.75%,64.04%,64.13%,64.98%,65.87%,70.88%,64.51%,68.15%,68.51%,68.31%,67.86%,67.86%,71.28%,71.95%,71.48%,71.52%,69.87%,68.59%,68.23%,68.27%,71.63%,71.00%,62.80%,63.47%,65.42%,65.59%,64.84%,64.84%,66.88%,66.13%,65.65%,64.99%,66.73%,67.82%,68.46%,68.32%,74.92%,79.20%,69.30%,70.36%,69.82%,68.10%,70.73%,69.84%,68.03%,67.24%,67.42%,67.42%,67.89%,69.38%,68.99%,67.92%,78.33%,73.91%,67.86%,67.86%,64.17%,64.54%,64.88%,64.75%,64.64%,63.51%,64.69%,65.26%,65.64%,65.51%,65.19%,66.09%
Cleveland,75.28%,38.25%,47.79%,53.84%,56.39%,57.62%,52.28%,55.36%,55.36%,59.25%,60.45%,59.08%,59.99%,60.33%,60.34%,57.48%,57.49%,65.35%,69.21%,69.59%,70.15%,67.28%,67.47%,69.03%,69.03%,67.84%,65.03%,62.69%,60.94%,59.38%,57.48%,56.10%,64.76%,69.72%,69.03%,69.03%,62.69%,61.65%,61.98%,60.86%,61.91%,61.47%,59.52%,60.44%,59.35%,57.59%,56.80%,56.56%,52.15%,60.84%,64.95%,57.03%,57.31%,57.31%,57.22%,56.98%,55.97%,56.04%,58.22%,60.25%,61.27%,59.13%,59.34%,59.18%,43.56%,61.72%,59.06%,62.57%,62.91%,63.80%,63.80%,66.00%,67.18%,66.44%,66.33%,66.99%,66.27%,66.50%,65.93%,64.80%,65.71%,63.02%,58.21%,59.74%,59.74%,57.85%,55.57%,57.94%,57.49%,60.97%,59.46%,60.53%,60.41%,58.68%,59.44%,57.73%,57.38%,27.42%,45.85%,55.33%,56.17%,55.18%,59.41%,58.88%,58.33%,58.33%,57.94%,61.47%,59.34%,61.48%,61.62%,61.99%,63.01%,58.68%,56.83%,61.87%,68.43%,65.03%,65.57%,68.69%,68.69%,69.43%,68.42%,67.65%,66.49%,66.02%,64.20%,63.27%,61.99%,52.72%,57.17%,59.28%,61.09%,61.09%,59.66%,58.93%,57.45%,53.44%,53.36%,54.45%,55.76%,53.40%,54.49%,56.44%,67.11%,72.32%,68.68%,70.92%,66.34%,69.13%,67.43%,66.45%,65.21%,65.21%,66.51%,67.31%,68.56%,66.81%,67.22%,67.78%,92.73%,79.16%,71.89%,72.90%,68.79%,68.59%,68.95%,67.66%,68.88%,68.88%,67.70%,68.07%,67.75%,69.41%,68.45%,66.96%,74.08%,66.56%,63.90%,63.90%,63.84%,63.44%,60.83%,63.74%,64.36%,63.53%,61.97%,63.37%,63.35%,64.09%,61.72%,60.72%
Dallas,69.18%,75.92%,75.92%,76.21%,76.58%,71.35%,68.73%,66.02%,65.16%,63.48%,64.86%,65.27%,65.06%,64.29%,62.92%,63.59%,64.77%,67.23%,55.92%,63.44%,63.44%,63.28%,62.30%,60.45%,63.51%,63.65%,64.50%,65.72%,65.70%,67.26%,67.43%,67.16%,64.60%,67.50%,67.77%,66.18%,67.83%,67.60%,68.65%,68.47%,68.47%,65.88%,66.58%,65.12%,64.23%,64.62%,63.38%,64.37%,74.59%,69.02%,69.02%,68.12%,74.14%,76.00%,71.58%,70.64%,69.34%,69.52%,70.01%,68.78%,68.72%,68.93%,68.70%,67.23%,71.69%,76.04%,74.28%,73.12%,71.76%,74.51%,70.59%,70.59%,71.72%,70.93%,72.89%,72.55%,71.84%,70.80%,69.83%,69.75%,55.61%,68.82%,71.12%,67.06%,68.87%,70.87%,66.38%,68.02%,64.40%,64.40%,64.03%,66.60%,67.38%,67.58%,67.55%,64.39%,63.77%,61.33%,69.10%,70.03%,69.02%,70.26%,70.26%,68.57%,69.31%,69.43%,68.81%,69.51%,68.65%,68.79%,69.57%,70.38%,70.76%,64.40%,77.24%,72.05%,72.05%,66.45%,64.18%,63.03%,62.77%,63.38%,65.54%,66.71%,68.16%,70.20%,69.30%,70.27%,70.04%,87.50%,78.98%,78.70%,78.83%,78.83%,77.37%,76.82%,71.41%,69.43%,67.66%,69.17%,69.71%,69.61%,70.61%,70.57%,69.52%,54.79%,54.80%,61.08%,61.08%,63.67%,64.08%,64.19%,65.76%,66.99%,66.48%,66.41%,65.40%,64.72%,66.14%,67.54%,89.54%,79.27%,80.55%,79.66%,79.77%,74.59%,74.10%,74.64%,72.81%,71.17%,71.17%,69.08%,69.95%,69.92%,69.59%,69.44%,60.76%,66.98%,69.47%,71.43%,67.01%,66.42%,67.01%,67.44%,67.70%,68.75%,68.75%,69.81%,67.16%,69.02%,69.34%,70.65%
Denver,82.65%,71.19%,73.36%,67.04%,63.53%,63.10%,65.93%,63.32%,66.59%,66.59%,66.29%,65.16%,64.25%,66.91%,66.62%,66.97%,63.79%,47.48%,52.63%,54.94%,56.09%,59.05%,61.16%,60.66%,60.13%,61.30%,61.30%,65.13%,67.47%,65.91%,65.99%,65.44%,64.55%,64.01%,67.10%,72.88%,72.64%,73.50%,72.87%,73.48%,73.48%,74.44%,75.31%,75.10%,73.49%,73.81%,73.73%,73.27%,60.94%,54.70%,66.87%,66.87%,65.41%,65.37%,66.79%,69.36%,71.57%,72.40%,71.43%,68.21%,67.63%,67.46%,67.37%,66.61%,39.13%,28.60%,34.73%,38.75%,43.70%,43.70%,48.31%,53.05%,54.68%,56.65%,58.07%,58.09%,57.64%,58.52%,58.32%,58.17%,51.14%,69.86%,74.86%,67.52%,65.50%,65.01%,60.83%,60.83%,62.71%,62.39%,62.98%,62.02%,62.10%,62.42%,62.48%,62.78%,61.00%,71.99%,72.39%,63.51%,67.78%,67.96%,69.65%,69.65%,67.70%,65.39%,63.88%,61.28%,62.71%,62.39%,63.06%,60.29%,61.43%,55.18%,61.91%,71.78%,68.71%,62.66%,62.17%,56.81%,56.93%,56.93%,61.62%,61.79%,62.79%,61.66%,60.15%,58.96%,60.23%,34.26%,60.95%,70.12%,72.80%,68.01%,68.01%,67.62%,67.96%,69.08%,67.41%,67.99%,66.07%,66.91%,65.23%,65.54%,73.59%,74.60%,70.45%,71.59%,64.14%,65.15%,65.15%,66.80%,67.97%,68.96%,70.01%,67.98%,68.71%,69.72%,70.37%,69.89%,85.24%,89.47%,88.30%,81.04%,83.29%,82.86%,80.57%,78.59%,78.59%,76.79%,75.07%,74.92%,73.93%,73.31%,71.64%,71.29%,86.76%,76.27%,73.04%,73.04%,74.55%,75.86%,76.54%,77.03%,78.00%,78.67%,76.80%,76.10%,75.96%,76.60%,76.86%,74.19%
