Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,195.0,194.0,211.0,225.2,233.8,206.8,206.8,198.6,200.8,196.1,215.7,223.2,226.9,229.8,229.9,226.5,224.4,272.0,238.5,188.7,201.0,239.0,239.0,230.5,209.1,212.4,206.7,202.0,199.9,198.5,197.4,194.9,154.0,171.5,209.0,186.0,197.4,197.4,207.5,206.7,200.6,203.4,217.8,210.1,206.7,200.2,195.4,192.1,286.0,240.5,260.7,231.2,237.4,219.5,225.0,219.4,219.4,229.2,227.6,230.1,234.8,234.3,235.9,231.7,102.0,190.0,210.7,209.2,217.8,213.7,195.6,195.6,194.6,202.4,214.6,216.6,223.2,226.7,232.4,237.1,183.0,173.5,178.0,204.5,204.2,220.3,220.3,222.9,216.2,216.3,210.0,212.2,215.5,216.1,211.9,219.8,221.2,182.0,228.5,278.7,278.7,301.8,264.2,256.8,232.3,246.6,253.4,247.2,258.3,257.8,248.6,239.5,233.5,240.0,231.5,231.3,233.2,241.2,241.2,227.3,231.0,255.5,269.3,261.7,249.3,242.6,235.9,228.1,226.1,403.0,343.0,275.0,282.8,258.2,258.2,274.2,277.6,272.0,255.4,256.6,250.2,251.1,242.8,240.6,139.0,218.0,210.0,256.0,231.0,216.0,191.3,192.9,194.6,194.6,204.7,203.7,196.1,197.1,199.3,195.7,299.0,286.0,297.0,266.0,264.4,260.0,252.7,254.2,254.2,243.7,243.5,235.8,233.0,227.2,239.1,229.1,238.0,249.0,244.7,244.7,302.5,309.0,284.8,302.9,286.8,274.2,263.2,254.6,263.2,263.3,259.6,264.2
Atlanta,254.0,282.0,249.3,229.0,229.8,254.3,266.9,266.9,271.2,262.9,255.9,251.1,238.6,231.1,235.1,242.5,237.5,266.0,258.0,231.7,247.0,222.8,222.8,229.4,263.1,263.1,247.8,238.8,232.1,222.3,217.9,224.8,250.0,257.5,183.7,187.2,218.2,222.7,218.6,218.6,204.1,208.6,199.5,202.2,199.0,199.6,192.4,197.5,150.0,230.5,213.7,200.5,200.5,193.4,230.8,234.7,243.9,232.9,232.1,241.2,238.1,234.5,236.2,221.2,163.0,207.0,184.0,215.8,204.0,220.5,220.3,220.3,209.6,202.4,197.8,202.3,210.8,219.8,210.9,221.4,246.0,196.5,170.0,201.0,221.6,231.7,231.7,232.9,205.0,228.4,226.4,230.7,222.4,223.0,223.2,221.3,220.4,163.0,229.5,245.3,245.3,228.8,241.0,250.7,256.4,246.4,240.7,253.4,252.6,254.7,257.8,254.8,247.0,211.0,180.0,238.3,224.0,223.4,239.5,260.3,260.3,250.5,245.3,244.1,252.9,246.3,233.2,226.8,231.4,289.0,301.5,261.0,275.5,294.2,282.8,265.1,265.1,244.9,253.4,253.8,245.5,239.6,241.1,230.4,241.0,229.5,207.7,207.0,203.0,223.3,223.3,216.9,228.8,235.8,216.3,221.7,231.2,234.9,229.5,243.7,341.0,346.5,296.0,301.0,274.8,274.8,266.7,249.6,248.6,252.0,249.2,251.2,247.8,248.5,254.9,249.9,333.0,317.5,262.7,276.2,259.6,277.7,274.4,280.8,280.8,280.8,281.2,284.1,284.9,287.8,292.5,291.1
Baltimore,241.0,178.0,204.3,187.2,187.2,195.8,203.8,187.6,187.4,174.8,169.9,181.1,179.2,178.3,178.9,175.8,174.7,165.0,191.0,223.7,222.8,189.2,189.2,188.5,190.1,182.1,178.4,173.4,173.1,188.2,184.9,189.5,254.0,223.5,223.5,190.3,167.0,156.8,152.8,153.9,163.5,168.1,172.5,184.3,180.0,183.2,183.1,185.5,116.0,119.5,163.0,155.8,145.8,180.8,180.8,207.6,204.4,204.4,192.2,188.5,191.7,187.8,186.4,186.5,181.0,208.0,239.7,230.8,207.4,205.7,196.1,196.1,196.8,203.3,209.9,213.5,215.3,219.9,224.8,222.6,84.0,84.0,91.5,117.0,128.5,154.4,176.7,178.1,182.1,193.0,188.3,182.1,175.1,176.4,179.5,183.2,179.7,159.0,290.0,231.7,232.2,238.0,241.5,241.5,226.1,225.8,208.9,217.9,211.3,215.0,208.2,200.3,202.8,60.0,109.5,116.7,119.0,156.6,175.0,204.6,204.6,206.0,216.7,210.0,205.6,208.0,221.1,222.6,219.6,246.0,302.0,245.3,212.0,212.0,209.6,186.8,174.1,192.6,194.3,211.3,200.8,198.6,192.3,197.9,193.0,275.0,289.7,295.8,261.4,260.2,257.1,257.1,246.8,258.2,249.9,244.4,246.5,246.3,242.1,233.9,445.0,319.5,269.7,239.0,245.6,254.3,238.7,238.7,239.1,239.7,237.2,226.4,228.9,231.7,231.6,226.7,301.0,251.5,262.3,260.2,269.2,270.5,258.4,256.0,263.2,251.2,251.2,264.6,273.9,267.2,259.9,255.3
Buffalo,134.0,163.0,157.7,157.8,168.6,159.7,153.0,168.2,168.2,162.2,167.1,172.2,174.3,170.7,177.3,167.9,169.3,142.0,171.0,171.0,213.3,234.5,207.8,183.2,169.1,172.2,177.6,183.3,182.5,192.1,176.4,172.8,25.0,76.0,106.3,121.2,139.0,136.8,153.6,156.9,156.9,157.9,175.8,176.4,191.8,202.8,206.8,211.0,136.0,163.0,169.3,193.8,194.0,205.3,200.4,200.4,210.4,213.2,212.5,203.7,198.2,194.0,187.3,186.9,299.0,267.5,281.0,282.5,287.8,287.8,270.0,253.4,255.6,241.2,255.4,258.7,254.0,251.4,242.7,232.8,167.0,156.0,153.7,168.5,184.8,184.8,185.8,203.0,202.8,205.3,202.4,211.5,205.0,203.1,203.4,213.2,204.4,368.0,332.0,273.3,226.5,185.6,170.7,190.4,198.8,198.8,200.0,200.8,197.8,188.2,189.8,184.4,187.7,164.0,209.5,221.3,208.8,200.0,200.0,204.8,195.6,193.4,206.8,208.9,209.9,207.2,197.5,202.1,197.3,105.0,214.0,271.7,275.5,283.4,284.8,284.8,265.9,260.4,261.4,250.0,243.6,234.2,232.8,230.0,266.0,269.0,248.3,269.5,277.6,256.3,247.3,247.3,248.4,246.3,234.1,233.3,229.3,227.6,225.4,218.3,273.0,228.0,262.3,277.0,261.4,270.8,256.9,263.4,246.9,238.6,229.0,229.0,232.6,220.9,219.1,210.4,341.0,275.5,267.3,266.2,251.8,269.2,247.6,233.8,233.8,224.6,222.6,213.8,216.1,212.8,210.1,209.9
Carolina,256.0,296.5,296.5,238.7,226.2,239.6,235.3,228.9,218.9,223.2,213.6,217.3,212.4,208.1,203.7,193.7,187.8,127.0,149.5,149.5,149.0,167.8,174.6,176.8,179.6,185.6,192.4,204.6,216.5,219.3,219.6,213.2,190.0,219.5,203.3,226.0,259.2,242.2,242.2,232.0,231.2,214.1,206.3,202.4,197.1,192.2,191.5,190.7,133.0,179.0,167.7,211.8,200.8,202.7,206.6,213.0,213.0,206.3,193.7,186.1,195.9,194.1,190.7,184.3,162.0,194.5,246.7,229.0,233.6,221.2,221.2,227.3,210.9,208.4,209.0,213.6,207.2,210.4,212.4,215.3,211.0,176.0,179.3,172.0,156.0,158.8,168.7,194.5,194.5,185.3,185.4,192.1,200.5,208.0,204.4,201.3,211.7,82.0,151.0,179.7,179.7,165.8,156.8,149.7,160.6,181.8,186.4,185.0,181.3,192.4,192.4,192.6,196.9,258.0,218.0,207.0,220.8,182.4,182.4,182.5,182.7,190.2,195.2,203.5,205.6,206.0,205.5,203.4,209.3,295.0,295.0,239.7,203.0,231.0,219.0,225.0,225.5,225.5,223.9,234.1,232.6,230.5,236.5,234.4,128.0,225.5,243.7,259.0,249.6,249.6,245.8,229.4,224.0,231.9,232.3,220.9,218.9,227.2,217.7,212.7,300.0,293.5,225.7,225.7,209.2,210.4,217.7,222.1,220.8,201.3,209.5,215.9,209.6,216.8,211.4,213.2,162.0,207.5,201.7,233.0,238.8,252.3,250.7,243.2,246.2,254.4,254.9,254.9,243.5,241.5,234.0,228.0
Chicago,229.0,213.5,213.5,206.7,199.5,190.2,193.7,190.9,181.9,187.3,189.4,187.2,184.2,186.2,188.2,191.8,192.0,185.0,218.5,262.3,252.2,252.2,220.4,209.5,193.9,190.5,204.7,205.3,196.9,200.9,204.1,204.4,159.0,182.0,175.0,175.0,181.8,186.0,177.2,178.3,174.8,158.4,160.9,161.5,169.6,169.8,166.1,175.0,164.0,181.5,184.0,176.2,158.4,168.7,168.7,161.9,158.8,152.1,152.5,162.9,162.3,175.4,184.3,189.3,186.0,198.5,232.3,228.0,246.0,227.2,224.9,227.5,227.5,211.8,222.8,229.1,225.1,231.9,232.2,226.7,240.0,171.0,249.7,246.5,223.4,236.3,243.1,243.1,247.8,251.8,249.3,244.2,240.5,234.2,233.6,235.4,241.2,150.0,176.5,198.7,226.0,226.0,217.8,220.3,199.4,206.5,195.3,197.8,214.2,204.5,201.8,203.2,209.7,148.0,261.0,279.3,255.2,216.6,220.8,216.0,216.0,225.8,219.6,212.4,219.7,215.4,225.8,221.1,224.3,276.0,270.0,277.3,301.5,284.0,275.5,271.9,271.9,264.2,269.7,270.7,270.5,259.5,256.5,254.4,293.0,254.0,203.0,249.5,225.4,225.4,228.3,238.1,230.9,215.0,216.7,210.1,216.2,205.5,210.6,211.2,277.0,252.0,294.3,277.8,278.8,271.0,273.7,273.7,253.6,249.8,239.1,230.8,232.4,224.5,228.0,227.8,167.0,199.5,233.0,250.2,246.4,246.2,247.6,262.2,262.2,268.6,256.4,260.5,270.7,265.5,272.2,269.3
Cincinnati,109.0,106.0,150.0,180.0,179.4,179.4,196.3,217.0,207.8,199.0,209.5,209.3,216.8,210.1,218.7,219.3,212.8,219.0,210.0,182.0,178.5,178.5,204.8,203.2,202.0,202.0,199.7,188.1,206.1,202.6,206.8,204.1,278.0,252.5,218.0,195.5,188.6,200.3,183.6,196.6,187.7,187.7,204.8,203.4,218.0,210.8,210.8,215.9,176.0,210.0,205.0,200.8,200.8,195.4,199.0,210.1,214.5,226.7,254.4,245.1,243.6,238.5,241.6,236.2,207.0,267.5,257.7,251.0,251.0,247.4,249.2,246.4,253.5,248.2,243.1,243.2,238.2,231.7,228.1,229.1,129.0,123.5,178.7,165.8,167.6,167.3,179.1,191.1,193.7,193.7,206.6,209.9,217.8,222.3,218.4,206.5,205.4,227.0,224.5,240.0,242.2,228.8,254.8,253.3,253.3,241.6,231.0,226.2,215.7,211.5,209.1,215.3,212.4,258.0,204.0,196.0,191.8,206.6,206.6,222.0,221.3,217.8,213.6,223.0,216.3,222.4,223.1,222.8,224.5,202.0,194.5,188.3,188.8,191.0,189.0,189.0,212.0,216.8,217.4,222.5,215.0,210.3,214.8,214.4,308.0,308.5,261.7,232.0,227.8,226.2,231.6,231.6,239.0,233.4,227.2,217.4,221.1,222.5,219.2,216.9,242.0,238.0,231.0,235.0,221.2,216.3,236.4,225.2,221.1,209.4,211.1,211.1,213.8,222.4,219.6,211.3,329.0,270.5,239.3,239.3,250.8,257.4,270.3,258.4,255.2,248.9,249.5,243.5,238.9,247.5,233.6,238.1
Cleveland,204.0,127.0,148.0,164.8,161.6,162.0,147.6,160.8,160.8,181.8,178.2,167.4,178.9,181.3,186.4,179.5,178.0,166.0,240.5,251.7,236.8,235.6,218.2,239.4,239.4,226.2,214.4,200.8,205.4,203.8,196.3,188.2,272.0,304.0,278.7,278.7,231.5,225.4,222.8,208.1,210.2,211.7,196.0,196.4,188.5,181.2,176.3,181.1,170.0,245.5,248.3,197.8,192.0,192.0,192.8,180.3,181.6,183.0,190.8,200.7,208.4,209.7,211.2,210.6,159.0,276.5,254.3,267.5,267.0,263.5,263.5,270.7,276.6,272.8,269.5,266.5,258.4,259.2,249.5,240.5,320.0,242.0,202.0,187.0,187.0,188.0,183.0,195.0,200.1,226.9,219.0,223.7,215.5,210.8,216.1,205.3,204.6,85.0,174.0,228.3,226.5,209.8,242.0,244.3,238.6,238.6,228.3,247.1,233.4,246.1,238.0,244.1,247.9,169.0,170.5,199.0,235.8,223.2,228.8,244.1,244.1,240.5,245.3,243.4,237.2,231.3,223.6,222.6,214.2,155.0,165.5,187.3,195.5,195.5,192.0,171.5,171.9,165.2,163.3,166.5,174.7,173.3,180.7,188.4,306.0,300.5,269.0,286.0,280.6,294.2,276.9,260.8,247.9,247.9,248.8,243.7,252.1,242.7,247.4,253.5,255.0,226.0,215.7,212.5,207.6,214.3,219.9,216.8,217.4,217.4,207.5,208.4,207.8,222.4,225.1,224.4,363.0,299.5,272.0,272.0,269.2,259.6,241.5,252.1,252.1,232.9,230.7,232.6,228.3,231.1,221.9,220.1
Dallas,220.0,238.0,238.0,231.7,203.5,184.8,166.3,161.6,156.9,148.9,154.3,155.6,162.0,167.7,159.6,159.6,164.2,279.0,172.5,211.7,211.7,211.5,203.6,213.0,217.6,216.9,230.1,229.9,217.3,232.3,232.8,231.1,188.0,215.0,232.0,225.0,202.0,198.2,200.9,193.5,193.5,191.8,189.5,185.8,182.8,194.3,192.1,195.7,229.0,190.5,190.5,177.3,215.8,212.2,205.7,194.6,193.1,194.9,200.1,191.9,198.4,212.2,214.8,215.3,314.0,293.5,250.3,219.0,204.8,232.8,208.9,208.9,214.0,211.8,226.7,217.0,218.3,219.8,217.1,212.4,114.0,186.5,207.7,210.8,210.2,212.8,201.7,203.1,193.8,193.8,188.0,196.2,200.0,197.5,193.9,189.1,187.7,276.0,303.0,268.0,256.2,251.4,251.4,238.5,237.1,233.6,227.4,229.3,224.9,225.9,229.2,232.1,227.7,161.0,215.5,215.7,215.7,202.5,180.6,200.0,205.4,214.4,232.0,235.1,244.0,254.1,254.4,256.6,251.4,315.0,223.5,226.7,230.0,230.0,238.0,230.8,234.4,232.5,221.8,227.5,230.7,230.2,243.2,235.3,187.0,160.0,137.0,169.5,169.5,181.6,187.3,187.7,205.5,213.6,211.4,218.4,220.2,217.8,225.1,239.8,428.0,313.5,274.7,304.5,326.4,308.2,291.9,315.4,305.2,313.0,313.0,298.5,294.9,298.5,297.4,290.7,192.0,212.0,250.3,271.2,247.8,227.5,230.4,237.4,237.3,239.8,239.8,247.8,244.5,251.9,249.6,248.1
Denver,243.0,212.5,193.7,180.5,170.0,163.3,178.3,171.8,191.6,191.6,178.0,171.9,169.4,185.7,184.8,181.5,176.7,151.0,130.0,129.7,137.0,142.2,137.5,144.7,160.6,168.1,168.1,187.5,200.8,191.2,187.6,191.9,275.0,204.5,206.7,212.2,234.2,245.0,240.6,244.5,244.5,247.9,240.4,239.4,240.5,241.3,238.1,233.0,195.0,163.0,215.3,215.3,200.0,191.8,181.7,205.0,229.8,226.2,225.3,219.3,214.5,219.2,217.5,215.9,72.0,62.5,88.3,114.5,145.6,145.6,164.7,187.6,194.9,197.3,206.6,203.4,202.8,195.9,196.2,195.6,157.0,266.5,315.7,276.0,254.4,255.5,240.0,240.0,243.2,242.8,243.5,235.9,236.3,231.8,233.3,230.3,228.5,221.0,183.5,136.3,162.5,171.8,182.8,182.8,180.6,183.2,186.7,182.5,185.0,180.2,183.3,177.5,184.9,165.0,197.5,240.0,221.8,213.8,209.8,205.6,204.4,204.4,229.8,232.1,239.0,233.6,226.8,227.6,233.1,99.0,204.5,234.7,275.0,262.4,262.4,247.5,249.7,258.0,243.1,242.3,234.7,245.2,232.9,238.4,209.0,208.5,233.7,220.5,215.0,215.3,215.3,213.3,221.0,218.4,219.0,209.6,211.8,215.7,216.1,211.2,335.0,344.0,327.0,316.2,347.0,337.7,319.9,299.1,299.1,287.9,279.1,283.2,284.0,274.3,266.1,258.6,354.0,300.5,285.3,285.3,258.5,241.4,242.5,242.9,254.0,247.1,243.0,240.5,229.7,238.2,237.8,231.7
