Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,100.00%,85.71%,77.78%,73.33%,68.75%,55.00%,55.00%,54.55%,58.33%,59.26%,57.14%,56.41%,60.47%,63.27%,62.00%,62.96%,63.16%,33.33%,33.33%,23.08%,20.00%,20.00%,20.00%,23.81%,34.62%,33.33%,37.50%,42.86%,41.67%,39.53%,42.55%,42.55%,66.67%,66.67%,58.33%,58.33%,64.29%,64.29%,56.25%,55.00%,56.00%,53.57%,51.72%,50.00%,51.52%,50.00%,50.00%,52.38%,50.00%,57.14%,50.00%,31.25%,36.84%,35.00%,33.33%,42.86%,42.86%,41.94%,41.18%,46.15%,46.51%,47.83%,48.08%,49.09%,50.00%,42.86%,40.00%,41.67%,43.75%,42.11%,45.45%,45.45%,44.00%,48.28%,46.88%,48.57%,47.37%,51.16%,53.19%,51.92%,0.00%,33.33%,66.67%,63.64%,61.54%,60.00%,60.00%,61.11%,63.16%,59.09%,61.54%,60.61%,65.00%,64.29%,63.04%,62.26%,63.64%,66.67%,60.00%,50.00%,50.00%,53.33%,50.00%,50.00%,50.00%,52.17%,48.15%,46.67%,45.45%,45.71%,47.37%,46.34%,45.24%,33.33%,54.55%,43.75%,47.37%,43.48%,43.48%,36.67%,39.39%,38.46%,36.17%,39.22%,40.00%,37.93%,37.70%,36.92%,37.88%,50.00%,33.33%,36.36%,46.67%,50.00%,50.00%,52.17%,51.72%,50.00%,48.48%,46.15%,45.24%,45.45%,42.55%,43.75%,25.00%,28.57%,22.22%,25.00%,28.57%,35.29%,42.11%,47.62%,45.83%,45.83%,46.15%,41.38%,41.94%,41.67%,42.11%,43.90%,50.00%,60.00%,60.00%,63.64%,50.00%,44.44%,50.00%,48.00%,48.00%,53.57%,55.17%,54.84%,54.29%,55.56%,57.50%,55.81%,50.00%,60.00%,62.50%,62.50%,72.73%,69.23%,66.67%,55.56%,52.38%,54.55%,52.17%,46.43%,42.42%,42.86%,40.54%,43.59%
Atlanta,0.00%,60.00%,66.67%,61.54%,57.89%,52.00%,56.67%,56.67%,51.43%,51.35%,48.84%,51.02%,52.94%,54.72%,55.93%,58.06%,57.58%,40.00%,50.00%,30.00%,30.77%,33.33%,38.89%,57.69%,58.62%,58.62%,58.62%,58.06%,58.82%,59.46%,60.53%,61.90%,100.00%,60.00%,50.00%,50.00%,50.00%,50.00%,52.63%,52.63%,47.62%,50.00%,51.72%,50.00%,52.94%,55.56%,52.50%,54.55%,--,0.00%,16.67%,14.29%,14.29%,33.33%,47.06%,50.00%,42.31%,46.43%,45.71%,47.37%,46.34%,44.19%,47.83%,48.94%,--,33.33%,66.67%,44.44%,45.45%,53.33%,56.25%,56.25%,52.63%,47.62%,45.45%,50.00%,53.33%,52.94%,51.28%,51.11%,100.00%,57.14%,54.55%,58.33%,61.54%,55.56%,55.56%,54.55%,52.17%,48.15%,51.61%,52.78%,52.63%,53.49%,52.27%,51.06%,51.92%,50.00%,60.00%,40.00%,40.00%,41.67%,37.50%,36.84%,43.48%,48.00%,53.57%,54.55%,54.29%,53.66%,53.19%,50.00%,50.00%,0.00%,0.00%,33.33%,42.86%,40.00%,35.71%,38.89%,38.89%,40.00%,47.83%,48.00%,48.28%,51.52%,50.00%,52.63%,55.00%,33.33%,50.00%,41.67%,50.00%,42.11%,41.67%,38.46%,38.46%,38.46%,34.48%,36.67%,37.50%,40.00%,40.54%,42.11%,100.00%,100.00%,71.43%,80.00%,66.67%,64.29%,64.29%,64.71%,57.89%,59.09%,56.00%,57.14%,54.84%,51.52%,48.57%,46.15%,33.33%,57.14%,70.00%,69.23%,66.67%,66.67%,59.09%,60.00%,60.00%,62.50%,63.89%,63.16%,63.41%,60.87%,56.86%,58.18%,66.67%,66.67%,70.00%,68.75%,70.00%,68.00%,65.52%,62.50%,62.50%,61.76%,60.00%,53.66%,54.76%,56.25%,56.86%,56.36%
Baltimore,50.00%,50.00%,44.44%,45.45%,45.45%,53.85%,53.33%,47.06%,47.37%,50.00%,47.83%,53.85%,53.85%,53.57%,50.00%,48.48%,48.48%,50.00%,60.00%,37.50%,54.55%,53.85%,53.85%,41.18%,40.00%,36.36%,38.46%,39.29%,38.71%,42.86%,43.24%,40.48%,0.00%,25.00%,25.00%,20.00%,55.56%,50.00%,50.00%,50.00%,57.89%,52.17%,50.00%,50.00%,45.45%,47.06%,44.44%,45.00%,0.00%,0.00%,16.67%,14.29%,25.00%,18.18%,18.18%,14.29%,18.75%,30.00%,30.43%,29.17%,26.92%,28.57%,33.33%,34.38%,50.00%,40.00%,50.00%,55.56%,55.56%,41.67%,37.50%,37.50%,45.00%,33.33%,33.33%,34.29%,38.46%,42.86%,41.30%,40.00%,0.00%,0.00%,33.33%,25.00%,28.57%,40.00%,35.71%,35.29%,36.84%,33.33%,37.04%,35.71%,34.48%,35.48%,35.29%,37.84%,35.90%,100.00%,28.57%,25.00%,38.46%,33.33%,38.10%,38.10%,40.91%,44.00%,44.00%,44.83%,44.83%,45.71%,44.44%,42.11%,41.46%,0.00%,0.00%,22.22%,36.36%,33.33%,35.29%,36.84%,36.84%,38.10%,39.13%,37.50%,38.46%,39.29%,41.94%,45.71%,44.44%,50.00%,42.86%,50.00%,44.44%,44.44%,50.00%,38.46%,43.75%,40.00%,36.00%,37.93%,37.93%,36.67%,36.36%,39.47%,33.33%,37.50%,46.15%,46.67%,38.89%,43.48%,46.43%,46.43%,39.39%,36.11%,35.14%,34.21%,36.59%,40.00%,40.82%,43.14%,100.00%,66.67%,40.00%,33.33%,33.33%,25.00%,26.32%,26.32%,31.82%,33.33%,32.14%,31.03%,37.50%,39.39%,42.86%,47.37%,0.00%,0.00%,37.50%,27.27%,31.25%,35.00%,36.36%,40.74%,46.67%,46.88%,46.88%,45.95%,47.62%,47.73%,46.67%,42.31%
Buffalo,0.00%,50.00%,57.14%,45.45%,40.00%,45.00%,45.00%,54.17%,54.17%,56.00%,53.85%,53.33%,53.33%,51.61%,52.78%,50.00%,52.27%,33.33%,16.67%,16.67%,33.33%,30.77%,28.57%,29.41%,33.33%,35.00%,34.62%,36.67%,37.50%,42.86%,44.44%,46.15%,100.00%,100.00%,85.71%,58.33%,57.14%,62.50%,66.67%,69.57%,69.57%,66.67%,67.86%,64.52%,63.89%,65.85%,67.39%,65.31%,66.67%,50.00%,71.43%,62.50%,64.29%,58.82%,65.00%,65.00%,60.87%,61.54%,62.07%,63.64%,63.89%,63.16%,61.54%,58.54%,50.00%,37.50%,46.67%,50.00%,45.45%,45.45%,45.83%,42.31%,44.83%,45.16%,54.05%,50.00%,47.83%,47.92%,46.94%,45.28%,0.00%,25.00%,25.00%,22.22%,50.00%,50.00%,52.94%,50.00%,42.86%,43.75%,42.86%,44.74%,45.00%,42.86%,44.44%,43.14%,41.82%,60.00%,71.43%,63.64%,68.75%,61.11%,55.00%,54.55%,56.00%,56.00%,59.26%,58.06%,58.82%,55.26%,52.50%,53.49%,53.19%,50.00%,66.67%,77.78%,71.43%,70.59%,70.59%,66.67%,60.00%,62.07%,60.00%,60.00%,61.11%,62.50%,59.52%,61.36%,61.22%,50.00%,83.33%,72.73%,66.67%,66.67%,65.22%,65.22%,60.00%,62.07%,60.61%,64.86%,68.29%,65.91%,68.09%,62.75%,60.00%,50.00%,55.56%,66.67%,70.00%,71.43%,76.00%,76.00%,75.00%,75.76%,76.47%,72.97%,72.50%,73.81%,71.43%,73.08%,40.00%,37.50%,40.00%,35.71%,35.29%,40.00%,45.83%,48.28%,46.67%,45.71%,47.37%,47.37%,48.78%,48.84%,48.94%,48.94%,66.67%,60.00%,55.56%,50.00%,54.55%,57.14%,56.25%,63.16%,63.16%,61.90%,55.56%,53.57%,51.61%,55.88%,55.56%,55.00%
Carolina,50.00%,66.67%,66.67%,50.00%,40.00%,42.86%,41.67%,46.15%,53.33%,50.00%,47.62%,50.00%,50.00%,48.48%,48.65%,48.65%,47.62%,100.00%,80.00%,80.00%,62.50%,46.15%,46.67%,50.00%,47.83%,50.00%,51.61%,48.48%,47.37%,47.50%,47.50%,51.11%,50.00%,60.00%,55.56%,58.33%,50.00%,46.67%,46.67%,47.37%,50.00%,47.62%,47.83%,42.31%,40.74%,41.94%,39.39%,40.54%,33.33%,28.57%,45.45%,46.15%,40.00%,47.06%,50.00%,56.00%,56.00%,55.56%,55.56%,55.17%,53.12%,52.78%,52.50%,52.50%,33.33%,42.86%,36.36%,40.00%,36.84%,36.84%,36.84%,43.48%,46.15%,44.44%,48.28%,54.55%,55.88%,52.63%,52.50%,53.49%,50.00%,50.00%,28.57%,22.22%,22.22%,33.33%,35.71%,40.00%,40.00%,38.10%,37.50%,46.67%,47.06%,48.65%,48.72%,51.11%,53.06%,100.00%,85.71%,63.64%,63.64%,64.29%,64.29%,61.11%,66.67%,57.69%,54.84%,55.88%,55.56%,50.00%,51.16%,51.11%,50.00%,60.00%,50.00%,50.00%,41.18%,40.00%,40.00%,39.13%,39.29%,41.18%,43.24%,41.46%,44.44%,45.83%,50.00%,49.09%,47.54%,33.33%,28.57%,28.57%,36.36%,43.75%,52.38%,54.17%,55.17%,55.17%,54.84%,62.16%,60.00%,58.54%,59.09%,56.25%,33.33%,57.14%,53.85%,47.06%,45.00%,45.00%,39.13%,42.31%,41.38%,43.75%,43.75%,44.12%,48.65%,52.50%,52.38%,50.00%,0.00%,33.33%,28.57%,28.57%,40.00%,36.36%,35.71%,35.71%,37.50%,35.29%,36.36%,33.33%,30.77%,38.71%,41.18%,41.67%,100.00%,100.00%,85.71%,80.00%,76.92%,70.59%,71.43%,62.50%,65.52%,69.70%,66.67%,66.67%,68.42%,65.85%,67.44%,65.91%
Chicago,44.44%,50.00%,50.00%,57.89%,52.17%,53.85%,53.57%,53.33%,54.84%,50.00%,50.00%,57.50%,54.76%,53.33%,52.08%,51.92%,54.39%,33.33%,28.57%,35.71%,35.29%,35.29%,35.00%,37.50%,37.50%,40.00%,38.71%,39.47%,42.50%,41.86%,42.55%,42.86%,0.00%,0.00%,12.50%,12.50%,11.11%,8.33%,7.69%,12.50%,21.05%,18.18%,16.67%,18.52%,20.00%,27.27%,26.47%,27.78%,--,50.00%,25.00%,16.67%,28.57%,27.27%,27.27%,30.77%,33.33%,36.36%,34.78%,38.46%,37.93%,45.45%,48.57%,50.00%,40.00%,42.86%,50.00%,52.94%,47.62%,47.62%,44.00%,41.38%,41.38%,41.38%,45.45%,47.37%,50.00%,50.00%,52.08%,50.00%,33.33%,50.00%,50.00%,42.86%,46.67%,42.11%,45.83%,45.83%,50.00%,53.12%,55.56%,52.63%,52.38%,53.49%,53.19%,52.94%,54.55%,50.00%,60.00%,42.86%,54.55%,54.55%,61.54%,70.00%,71.43%,74.07%,70.00%,69.70%,69.23%,67.50%,63.64%,64.58%,67.31%,100.00%,75.00%,71.43%,63.64%,58.33%,64.29%,60.00%,60.00%,66.67%,57.14%,57.14%,50.00%,50.00%,48.48%,47.22%,47.50%,0.00%,33.33%,45.45%,50.00%,50.00%,47.62%,44.00%,44.00%,44.44%,39.39%,40.54%,38.10%,37.21%,37.78%,40.82%,50.00%,42.86%,42.86%,50.00%,45.45%,45.45%,40.00%,36.84%,36.84%,38.10%,40.74%,40.00%,44.12%,47.22%,50.00%,48.72%,100.00%,40.00%,28.57%,33.33%,33.33%,41.18%,50.00%,50.00%,48.00%,51.72%,53.12%,54.05%,50.00%,54.35%,54.17%,58.49%,50.00%,44.44%,33.33%,45.00%,52.17%,52.17%,51.72%,52.78%,52.78%,52.38%,52.27%,51.06%,52.94%,54.39%,55.56%,53.62%
Cincinnati,66.67%,60.00%,55.56%,54.55%,50.00%,50.00%,52.63%,54.55%,53.85%,55.17%,56.25%,55.88%,55.26%,58.14%,57.14%,57.69%,54.55%,50.00%,50.00%,50.00%,66.67%,66.67%,61.54%,60.00%,63.16%,60.00%,59.09%,51.85%,54.55%,51.35%,55.00%,51.11%,0.00%,25.00%,40.00%,42.86%,44.44%,46.15%,47.06%,52.63%,43.48%,43.48%,51.72%,54.84%,55.88%,56.76%,57.89%,55.81%,50.00%,60.00%,45.45%,53.33%,53.33%,58.82%,57.89%,59.09%,51.85%,60.61%,55.56%,55.56%,52.63%,52.50%,55.56%,56.25%,25.00%,42.86%,40.00%,50.00%,50.00%,50.00%,45.45%,50.00%,48.39%,48.48%,51.43%,45.00%,47.73%,46.67%,46.94%,46.30%,0.00%,40.00%,40.00%,42.86%,47.06%,52.38%,57.69%,60.71%,60.00%,60.00%,59.38%,61.11%,58.97%,61.36%,58.33%,58.33%,59.18%,--,66.67%,50.00%,45.45%,41.67%,43.75%,44.44%,44.44%,47.37%,39.13%,40.00%,42.31%,44.44%,46.88%,47.06%,45.71%,60.00%,50.00%,50.00%,41.67%,40.00%,40.00%,52.63%,50.00%,52.00%,50.00%,51.61%,51.52%,52.78%,48.72%,47.50%,46.51%,50.00%,50.00%,50.00%,50.00%,45.45%,53.85%,53.85%,50.00%,55.56%,59.09%,60.00%,59.26%,64.52%,62.86%,59.46%,100.00%,75.00%,66.67%,63.64%,64.29%,64.71%,65.00%,65.00%,66.67%,62.96%,58.62%,58.62%,53.12%,52.94%,51.35%,48.72%,100.00%,100.00%,75.00%,72.73%,66.67%,64.29%,58.82%,58.82%,55.00%,56.52%,50.00%,50.00%,50.00%,53.57%,53.12%,53.12%,33.33%,50.00%,50.00%,50.00%,50.00%,52.63%,52.17%,51.85%,51.61%,54.29%,52.63%,48.78%,47.73%,50.00%,48.98%,50.94%
Cleveland,0.00%,0.00%,0.00%,20.00%,20.00%,27.27%,23.08%,18.75%,18.75%,28.57%,26.09%,28.00%,34.48%,31.43%,33.33%,36.59%,38.64%,--,66.67%,62.50%,54.55%,57.14%,52.94%,52.38%,52.38%,52.17%,50.00%,51.72%,52.78%,55.00%,54.17%,56.00%,40.00%,50.00%,41.67%,41.67%,42.86%,36.84%,40.00%,36.36%,39.13%,42.86%,40.00%,45.45%,45.95%,45.24%,45.24%,46.81%,25.00%,44.44%,45.45%,50.00%,46.67%,46.67%,50.00%,47.37%,50.00%,50.00%,51.85%,56.25%,58.82%,56.41%,57.14%,52.08%,50.00%,66.67%,53.85%,47.06%,42.86%,50.00%,50.00%,51.72%,51.52%,50.00%,48.78%,51.16%,51.06%,49.02%,48.08%,49.09%,60.00%,66.67%,63.64%,66.67%,66.67%,62.50%,63.16%,66.67%,62.50%,60.71%,59.38%,54.05%,51.28%,52.38%,48.98%,49.02%,50.00%,60.00%,55.56%,53.33%,52.63%,47.62%,48.00%,50.00%,45.71%,45.71%,45.95%,47.50%,46.51%,45.65%,44.68%,45.10%,41.82%,33.33%,16.67%,37.50%,36.36%,28.57%,38.89%,40.91%,40.91%,44.00%,41.38%,46.88%,46.88%,48.48%,45.95%,43.90%,44.19%,50.00%,40.00%,37.50%,50.00%,50.00%,50.00%,46.15%,44.44%,45.45%,44.00%,42.86%,40.62%,40.54%,40.00%,40.91%,100.00%,60.00%,50.00%,50.00%,52.63%,50.00%,52.00%,48.15%,53.33%,53.33%,51.43%,52.78%,54.05%,51.28%,54.55%,54.00%,50.00%,60.00%,60.00%,50.00%,57.14%,64.71%,66.67%,65.22%,68.00%,68.00%,67.86%,66.67%,64.71%,65.79%,64.29%,65.22%,33.33%,57.14%,50.00%,50.00%,60.00%,50.00%,47.83%,50.00%,46.15%,44.44%,44.83%,48.39%,44.44%,46.15%,47.73%,47.92%
Dallas,50.00%,57.14%,57.14%,44.44%,44.44%,50.00%,45.45%,42.86%,50.00%,47.06%,45.00%,47.83%,50.00%,51.61%,51.61%,50.00%,47.06%,100.00%,60.00%,62.50%,62.50%,58.33%,83.33%,76.47%,77.78%,71.43%,75.00%,76.92%,76.92%,76.67%,75.76%,77.14%,50.00%,50.00%,57.14%,50.00%,45.45%,33.33%,35.29%,35.29%,35.29%,40.00%,42.86%,43.48%,42.31%,44.83%,51.52%,50.00%,60.00%,50.00%,50.00%,50.00%,54.55%,46.15%,47.06%,50.00%,47.62%,47.83%,46.15%,48.15%,48.39%,51.43%,56.41%,54.76%,75.00%,66.67%,62.50%,50.00%,41.67%,52.94%,52.94%,52.94%,55.00%,56.52%,55.56%,53.57%,56.67%,54.29%,52.63%,51.22%,50.00%,57.14%,50.00%,43.75%,47.37%,52.38%,54.17%,48.15%,56.25%,56.25%,55.88%,52.50%,48.84%,46.81%,45.83%,43.40%,46.43%,100.00%,37.50%,37.50%,40.00%,50.00%,50.00%,57.14%,60.00%,58.82%,63.16%,60.00%,59.09%,58.33%,57.14%,58.06%,58.06%,0.00%,40.00%,37.50%,37.50%,54.55%,57.14%,61.11%,65.22%,65.52%,60.61%,62.86%,64.10%,66.67%,65.22%,68.00%,68.00%,50.00%,75.00%,57.14%,55.56%,55.56%,53.85%,53.33%,57.14%,56.52%,53.85%,58.62%,51.52%,51.43%,52.50%,53.66%,66.67%,50.00%,50.00%,44.44%,44.44%,53.85%,56.25%,50.00%,45.83%,48.15%,48.39%,50.00%,54.05%,51.22%,52.27%,52.94%,60.00%,71.43%,75.00%,63.64%,72.22%,61.90%,56.52%,60.71%,59.38%,62.16%,62.16%,60.00%,61.90%,61.22%,64.81%,63.79%,66.67%,50.00%,50.00%,54.55%,57.14%,52.94%,57.89%,61.90%,68.00%,66.67%,66.67%,67.74%,61.11%,62.50%,65.12%,64.44%
Denver,0.00%,0.00%,14.29%,14.29%,12.50%,18.18%,25.00%,23.53%,28.57%,28.57%,30.43%,30.77%,30.77%,37.93%,38.71%,40.62%,42.86%,100.00%,75.00%,66.67%,50.00%,55.56%,45.45%,31.25%,33.33%,38.10%,38.10%,33.33%,39.29%,40.62%,42.86%,46.15%,50.00%,66.67%,57.14%,57.14%,54.55%,57.14%,64.71%,68.42%,68.42%,60.87%,60.87%,62.96%,63.33%,57.58%,58.33%,55.26%,0.00%,0.00%,11.11%,11.11%,9.09%,8.33%,15.38%,27.78%,30.43%,32.00%,41.38%,38.24%,38.89%,45.45%,44.68%,47.06%,0.00%,0.00%,25.00%,50.00%,52.63%,52.63%,60.87%,56.00%,59.26%,55.17%,54.84%,51.35%,54.76%,55.81%,59.57%,58.82%,66.67%,42.86%,54.55%,52.94%,50.00%,50.00%,55.56%,55.56%,55.17%,55.88%,55.56%,57.50%,54.76%,53.33%,55.32%,55.77%,60.00%,50.00%,33.33%,25.00%,28.57%,44.44%,45.45%,45.45%,42.86%,50.00%,50.00%,50.00%,48.28%,46.88%,52.78%,51.28%,50.00%,100.00%,66.67%,66.67%,62.50%,61.54%,64.29%,70.00%,69.57%,69.57%,67.86%,70.97%,66.67%,65.79%,62.79%,63.04%,63.27%,50.00%,50.00%,54.55%,64.71%,54.55%,54.55%,52.00%,55.56%,56.67%,56.25%,55.88%,55.56%,53.85%,55.00%,56.52%,50.00%,62.50%,63.64%,53.85%,61.11%,61.90%,61.90%,63.64%,61.54%,64.29%,65.52%,61.29%,61.76%,62.86%,62.16%,61.54%,60.00%,50.00%,54.55%,50.00%,59.09%,56.00%,58.62%,61.29%,61.29%,60.00%,58.97%,60.00%,60.00%,61.54%,60.71%,60.34%,50.00%,50.00%,50.00%,50.00%,50.00%,52.94%,50.00%,56.52%,60.71%,63.33%,57.58%,63.16%,64.10%,64.29%,59.57%,56.86%
