Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,37.50%,43.75%,42.00%,38.10%,39.22%,41.74%,41.74%,40.00%,38.10%,37.34%,34.59%,35.07%,35.59%,36.09%,35.34%,36.27%,36.81%,37.04%,39.22%,34.85%,30.00%,25.00%,25.00%,24.17%,25.95%,27.45%,30.23%,31.38%,32.84%,34.09%,34.98%,34.51%,57.14%,46.67%,42.37%,38.81%,34.15%,34.15%,31.63%,31.09%,34.04%,33.13%,30.22%,31.34%,31.13%,32.46%,32.93%,32.30%,31.58%,41.03%,35.09%,42.11%,34.04%,33.01%,33.06%,37.50%,37.50%,37.21%,35.60%,34.84%,33.20%,33.58%,34.01%,34.09%,43.75%,35.29%,36.84%,36.49%,31.63%,32.14%,33.61%,33.61%,35.00%,32.05%,30.51%,29.80%,30.14%,30.00%,30.30%,30.18%,23.08%,30.00%,39.22%,35.14%,34.48%,33.33%,33.33%,33.06%,33.58%,33.97%,33.91%,34.38%,35.27%,34.44%,37.16%,38.19%,37.50%,7.69%,16.13%,20.75%,20.75%,21.05%,19.28%,22.45%,28.83%,27.48%,26.88%,26.70%,26.02%,24.77%,26.69%,27.49%,27.55%,30.00%,35.85%,31.51%,33.33%,33.04%,33.04%,30.22%,32.28%,29.57%,29.52%,30.84%,34.78%,34.32%,34.02%,35.18%,35.95%,26.92%,31.48%,34.29%,30.85%,35.09%,35.09%,32.14%,32.35%,34.20%,35.58%,35.19%,35.10%,34.72%,33.93%,35.15%,27.78%,30.23%,28.81%,27.50%,30.43%,33.33%,35.77%,34.78%,35.44%,35.44%,33.71%,34.20%,34.74%,37.02%,36.36%,37.31%,20.00%,22.22%,26.98%,25.30%,25.00%,28.23%,28.28%,25.45%,25.45%,24.18%,23.98%,24.17%,23.93%,23.79%,22.14%,22.41%,33.33%,25.64%,23.73%,23.73%,22.89%,19.23%,19.66%,20.14%,20.99%,21.91%,22.75%,23.90%,23.35%,23.17%,22.78%,24.47%
Atlanta,43.75%,33.33%,36.84%,38.16%,38.04%,37.29%,37.24%,37.24%,36.69%,35.83%,38.10%,37.83%,38.46%,38.08%,36.59%,35.58%,36.64%,14.29%,20.00%,20.83%,23.88%,25.61%,27.00%,35.29%,31.90%,31.90%,31.64%,31.98%,31.94%,33.77%,35.34%,33.58%,11.11%,28.57%,40.00%,36.84%,37.50%,39.84%,39.58%,39.58%,40.65%,38.89%,39.49%,37.67%,37.99%,36.65%,36.60%,36.95%,26.67%,13.51%,23.21%,22.86%,22.86%,31.63%,28.00%,25.85%,25.15%,25.57%,28.06%,28.24%,29.88%,29.30%,29.60%,32.53%,46.67%,37.50%,41.07%,35.14%,32.98%,36.07%,36.03%,36.03%,36.18%,35.19%,35.03%,33.50%,32.88%,32.65%,33.83%,31.38%,19.05%,25.00%,35.85%,33.33%,32.26%,29.57%,29.57%,32.37%,33.80%,31.74%,32.26%,32.21%,32.73%,33.20%,32.70%,33.80%,34.95%,25.00%,30.00%,32.35%,32.35%,35.00%,32.67%,31.93%,31.69%,32.08%,33.71%,31.86%,30.88%,31.22%,29.89%,30.22%,29.76%,42.86%,32.00%,24.44%,25.81%,21.25%,25.24%,22.90%,22.90%,24.83%,26.67%,27.22%,26.73%,28.18%,29.61%,31.45%,31.00%,23.53%,34.09%,35.94%,32.14%,31.07%,33.07%,32.86%,32.86%,33.33%,30.36%,29.73%,29.95%,31.34%,30.93%,31.05%,40.91%,39.13%,39.34%,42.68%,43.62%,40.52%,40.52%,41.18%,38.31%,36.00%,36.81%,35.86%,33.78%,34.69%,34.90%,33.21%,5.56%,11.90%,13.79%,16.46%,19.15%,19.15%,19.66%,20.90%,22.98%,26.34%,28.10%,27.95%,28.74%,29.21%,28.37%,30.10%,30.00%,37.25%,36.07%,37.93%,36.70%,35.61%,35.48%,32.77%,32.77%,31.50%,30.63%,31.08%,29.37%,29.97%,29.78%,28.45%
Baltimore,23.81%,20.00%,29.09%,30.00%,30.00%,31.40%,30.10%,32.17%,31.85%,33.10%,34.78%,32.97%,33.33%,33.33%,32.89%,32.64%,31.45%,40.00%,34.62%,25.00%,32.47%,31.40%,31.40%,29.70%,29.17%,30.08%,30.87%,30.30%,31.69%,31.07%,30.41%,29.91%,31.58%,22.86%,22.86%,23.26%,27.69%,29.87%,30.85%,30.09%,30.43%,31.65%,30.29%,29.80%,30.84%,30.30%,30.36%,29.06%,37.50%,22.73%,23.08%,26.92%,29.23%,28.24%,28.24%,23.53%,25.21%,26.81%,29.33%,28.14%,26.52%,26.26%,26.07%,25.11%,23.08%,19.35%,22.92%,26.67%,25.76%,25.00%,27.66%,27.66%,25.00%,24.00%,27.21%,26.06%,26.88%,26.24%,26.01%,27.05%,12.50%,12.50%,21.05%,20.00%,15.91%,16.39%,17.07%,17.39%,16.04%,17.60%,21.09%,21.88%,22.29%,22.78%,23.23%,24.30%,25.44%,9.09%,16.13%,16.67%,19.40%,22.47%,25.00%,25.00%,26.40%,26.90%,28.21%,26.70%,29.17%,28.11%,29.13%,30.86%,30.00%,50.00%,35.00%,36.84%,40.38%,32.35%,34.07%,31.36%,31.36%,30.60%,28.66%,30.72%,32.22%,30.26%,29.15%,27.87%,28.35%,20.00%,17.07%,18.97%,21.54%,21.54%,22.89%,26.04%,28.32%,27.82%,29.53%,30.23%,30.43%,29.44%,28.23%,28.88%,45.00%,34.78%,27.85%,23.23%,29.66%,31.76%,33.14%,33.14%,32.29%,31.28%,31.14%,30.74%,30.80%,30.88%,32.68%,32.49%,8.33%,8.11%,14.55%,24.32%,21.43%,24.24%,26.72%,26.72%,25.93%,26.92%,27.01%,27.42%,26.92%,26.46%,26.86%,27.38%,25.00%,27.27%,28.85%,23.61%,23.47%,23.33%,23.53%,25.81%,24.86%,24.61%,24.61%,23.04%,22.18%,22.73%,23.10%,24.41%
Buffalo,25.00%,30.56%,32.20%,32.05%,29.17%,30.28%,30.77%,31.65%,31.65%,32.68%,32.12%,32.26%,31.12%,31.90%,31.33%,33.20%,33.70%,28.57%,26.92%,26.92%,25.53%,22.54%,24.71%,28.87%,31.53%,30.08%,32.43%,29.94%,28.26%,28.23%,28.37%,29.00%,50.00%,56.67%,51.85%,50.65%,47.31%,46.36%,46.32%,46.10%,46.10%,46.59%,45.59%,44.84%,42.57%,41.64%,42.53%,41.99%,57.89%,47.06%,44.90%,38.10%,40.70%,37.38%,37.60%,37.60%,35.76%,36.72%,37.56%,39.35%,40.17%,40.40%,40.84%,40.71%,30.43%,38.30%,40.54%,37.23%,32.20%,32.20%,32.33%,31.29%,29.45%,32.58%,32.21%,31.88%,31.47%,31.60%,32.63%,33.77%,25.00%,37.14%,42.22%,45.90%,41.57%,41.57%,39.42%,38.21%,38.13%,39.26%,38.12%,37.62%,36.45%,37.07%,37.60%,37.18%,38.57%,14.29%,17.02%,27.94%,38.71%,43.14%,46.15%,44.53%,45.34%,45.34%,44.75%,44.00%,43.50%,45.42%,44.53%,44.36%,43.81%,52.63%,37.84%,41.94%,42.53%,43.52%,43.52%,42.64%,45.10%,44.12%,40.74%,38.60%,39.09%,40.00%,40.88%,39.19%,40.51%,30.77%,33.33%,27.54%,32.98%,32.20%,33.10%,33.10%,30.92%,31.25%,31.50%,32.41%,32.63%,35.04%,34.66%,35.37%,23.81%,28.26%,26.98%,37.50%,43.20%,44.14%,42.77%,42.77%,42.25%,40.65%,38.70%,38.49%,37.00%,36.55%,37.82%,38.79%,26.92%,31.37%,30.99%,25.58%,26.67%,28.24%,28.00%,26.90%,27.42%,28.78%,29.49%,29.49%,29.22%,29.30%,30.22%,30.28%,17.24%,17.31%,18.06%,16.48%,17.31%,17.46%,19.72%,23.78%,23.78%,25.56%,25.49%,26.05%,25.64%,28.11%,28.89%,29.51%
Carolina,23.53%,23.81%,23.81%,28.30%,31.43%,27.78%,28.57%,28.23%,28.99%,28.21%,27.22%,26.60%,26.83%,27.95%,30.56%,30.00%,30.29%,50.00%,43.59%,43.59%,42.37%,40.24%,38.04%,36.94%,37.78%,37.18%,36.31%,34.16%,31.98%,30.38%,30.24%,32.59%,28.57%,20.00%,23.53%,21.92%,19.57%,18.45%,18.45%,19.66%,18.52%,20.67%,21.82%,22.91%,23.83%,25.71%,26.22%,27.94%,58.33%,48.78%,46.30%,38.16%,36.56%,36.70%,33.59%,34.18%,34.18%,33.33%,32.40%,35.23%,34.60%,35.40%,35.77%,35.43%,25.00%,34.29%,28.57%,35.90%,35.64%,35.14%,35.14%,35.82%,37.66%,37.95%,36.96%,35.44%,34.86%,34.71%,33.08%,32.98%,35.29%,41.38%,36.96%,34.92%,33.80%,36.36%,37.14%,32.31%,32.31%,33.33%,34.13%,35.64%,34.27%,34.19%,33.73%,35.04%,33.78%,52.94%,47.50%,45.31%,45.31%,43.04%,45.05%,44.00%,39.84%,39.29%,38.27%,38.55%,40.00%,39.17%,39.51%,38.74%,37.09%,47.37%,42.42%,40.74%,38.27%,43.62%,43.62%,43.12%,38.71%,37.75%,38.37%,37.63%,37.73%,38.37%,39.03%,38.57%,37.75%,26.67%,29.03%,36.36%,42.37%,36.05%,40.00%,37.88%,37.66%,37.66%,37.50%,36.59%,36.04%,35.02%,34.12%,34.43%,44.44%,35.56%,34.78%,32.26%,33.64%,33.64%,32.03%,30.14%,31.18%,29.26%,30.05%,32.90%,33.86%,31.43%,32.19%,31.25%,22.22%,28.57%,30.77%,30.77%,30.99%,27.27%,26.21%,24.59%,23.88%,26.39%,25.58%,24.32%,25.13%,23.74%,24.79%,25.19%,29.41%,18.42%,30.65%,29.89%,29.81%,29.32%,31.61%,32.76%,31.84%,30.73%,29.17%,29.17%,28.97%,29.63%,30.18%,30.38%
Chicago,43.48%,47.92%,47.92%,44.12%,43.02%,43.27%,42.86%,40.14%,42.48%,39.88%,37.30%,37.93%,37.26%,37.12%,37.85%,36.47%,35.99%,23.08%,41.67%,30.00%,33.33%,33.33%,37.25%,38.66%,39.53%,38.19%,35.44%,37.57%,38.16%,37.66%,36.36%,36.57%,33.33%,21.88%,25.58%,25.58%,25.86%,22.97%,25.58%,25.24%,28.81%,31.50%,29.29%,29.68%,28.18%,30.85%,31.92%,30.80%,42.86%,27.59%,27.50%,27.78%,28.12%,27.16%,27.16%,29.03%,33.64%,34.40%,34.29%,33.75%,34.81%,32.54%,31.82%,30.25%,42.11%,31.25%,28.30%,26.39%,26.67%,33.02%,33.86%,32.89%,32.89%,32.92%,32.97%,33.82%,34.21%,32.51%,33.33%,33.21%,21.74%,37.14%,26.98%,27.16%,26.88%,26.13%,28.06%,28.06%,26.88%,25.14%,27.59%,27.31%,28.76%,31.03%,31.10%,30.69%,30.79%,33.33%,33.33%,30.77%,28.57%,28.57%,29.03%,30.89%,34.09%,33.33%,33.92%,34.92%,33.64%,34.19%,34.80%,34.33%,34.01%,23.08%,25.00%,22.81%,32.00%,32.53%,32.04%,31.90%,31.90%,30.66%,31.58%,30.25%,28.49%,29.50%,30.84%,30.45%,31.84%,15.00%,22.22%,23.33%,27.38%,28.00%,26.96%,25.19%,25.19%,26.49%,25.43%,23.94%,24.39%,25.23%,25.21%,25.39%,18.18%,24.39%,28.30%,21.52%,22.47%,22.47%,21.82%,22.90%,23.78%,25.64%,26.44%,25.93%,28.04%,29.44%,28.29%,26.69%,27.78%,35.14%,31.03%,34.57%,33.67%,34.45%,36.73%,36.73%,38.41%,37.30%,37.50%,39.04%,39.84%,41.07%,40.67%,42.07%,46.67%,35.29%,27.27%,23.68%,23.47%,22.73%,23.88%,22.89%,22.89%,23.53%,23.35%,22.90%,23.14%,23.95%,22.92%,23.23%
Cincinnati,73.68%,64.52%,54.72%,47.89%,43.18%,43.18%,39.45%,37.59%,37.91%,38.55%,35.48%,34.98%,33.19%,35.22%,35.61%,35.88%,37.19%,54.17%,37.14%,46.94%,47.22%,47.22%,47.31%,45.22%,44.53%,44.67%,42.52%,43.62%,40.76%,41.81%,42.13%,41.20%,12.50%,16.22%,18.87%,22.54%,26.67%,27.93%,31.30%,30.97%,33.14%,33.14%,34.00%,35.87%,35.46%,35.34%,34.77%,33.89%,33.33%,34.29%,38.71%,44.32%,44.32%,41.28%,39.68%,39.07%,38.73%,37.37%,33.92%,33.05%,32.27%,30.57%,29.79%,30.10%,35.00%,32.56%,30.65%,33.33%,33.33%,30.84%,30.16%,31.54%,31.98%,31.91%,31.22%,30.70%,29.36%,28.98%,30.71%,31.16%,57.14%,56.76%,47.54%,45.00%,44.90%,41.03%,41.61%,38.75%,38.20%,38.20%,37.11%,37.85%,37.18%,35.83%,36.06%,37.23%,35.81%,30.00%,25.00%,30.61%,32.39%,33.73%,30.28%,29.03%,29.03%,29.29%,29.49%,29.65%,30.05%,30.46%,31.65%,30.25%,31.37%,35.00%,38.24%,33.33%,34.72%,29.25%,29.25%,31.25%,32.43%,33.95%,32.77%,32.50%,33.49%,34.18%,34.51%,33.09%,32.18%,29.41%,38.89%,38.46%,40.62%,40.79%,40.43%,40.43%,37.72%,34.59%,33.12%,32.94%,34.76%,35.41%,34.62%,32.94%,30.77%,25.53%,34.62%,33.68%,32.73%,32.54%,34.46%,34.46%,31.55%,31.75%,31.71%,32.42%,31.38%,30.89%,30.11%,30.63%,23.53%,19.35%,29.31%,27.63%,26.37%,28.83%,26.32%,27.70%,29.45%,27.07%,26.53%,26.53%,26.51%,25.00%,25.49%,26.42%,30.77%,31.11%,37.31%,37.31%,37.11%,36.51%,37.25%,38.01%,36.32%,36.97%,34.47%,33.60%,33.33%,33.22%,33.00%,32.60%
Cleveland,16.67%,40.62%,34.04%,29.69%,29.33%,32.18%,36.27%,36.36%,36.36%,34.44%,34.78%,34.88%,33.33%,33.80%,34.84%,35.88%,35.34%,31.25%,33.33%,37.70%,39.19%,38.95%,36.79%,35.66%,35.66%,35.42%,37.65%,38.55%,39.51%,41.81%,44.09%,45.93%,34.62%,32.08%,31.51%,31.51%,35.96%,35.24%,35.48%,35.56%,33.12%,35.20%,37.70%,36.84%,37.17%,38.52%,39.62%,39.64%,29.41%,29.55%,27.42%,28.95%,30.77%,30.77%,30.97%,31.20%,34.03%,33.75%,31.15%,30.92%,30.30%,33.07%,32.84%,34.25%,52.94%,30.00%,31.88%,28.42%,31.36%,35.21%,35.21%,31.93%,29.90%,29.17%,28.45%,27.73%,27.74%,27.67%,28.30%,29.75%,36.67%,36.36%,44.62%,40.51%,40.51%,39.22%,40.34%,38.03%,38.04%,38.10%,39.42%,38.77%,38.59%,39.69%,38.16%,39.32%,39.68%,73.68%,52.27%,44.44%,44.09%,43.40%,41.04%,41.51%,41.34%,41.34%,41.45%,37.90%,39.58%,37.93%,37.55%,37.46%,35.85%,23.08%,27.59%,20.41%,18.57%,21.84%,24.77%,21.64%,21.64%,20.91%,24.31%,26.83%,27.15%,27.73%,29.18%,31.18%,32.65%,35.29%,33.33%,36.21%,38.03%,38.03%,40.45%,38.78%,38.46%,42.75%,43.23%,43.26%,41.33%,44.09%,43.33%,41.29%,40.00%,28.26%,29.23%,27.27%,32.20%,29.71%,32.08%,33.52%,34.54%,34.54%,32.59%,31.22%,30.15%,31.02%,30.77%,29.88%,5.56%,16.22%,25.86%,24.32%,27.66%,27.12%,27.08%,27.44%,28.02%,28.02%,28.65%,29.38%,29.61%,28.90%,30.07%,31.19%,25.00%,32.00%,38.36%,38.36%,37.89%,35.04%,37.23%,34.62%,34.66%,35.83%,37.04%,35.87%,34.52%,33.82%,36.45%,37.12%
Dallas,35.29%,27.03%,27.03%,23.08%,21.31%,28.00%,29.76%,30.61%,31.53%,32.54%,30.71%,30.97%,32.20%,30.96%,31.71%,30.70%,29.82%,34.78%,37.14%,28.57%,28.57%,28.00%,28.12%,28.57%,28.36%,30.87%,32.54%,32.07%,30.93%,29.68%,29.17%,29.55%,47.37%,39.39%,38.46%,41.18%,37.84%,37.65%,33.33%,34.19%,34.19%,35.51%,34.90%,34.57%,34.08%,33.33%,34.53%,34.32%,27.27%,26.32%,26.32%,29.63%,27.14%,24.39%,28.00%,26.72%,26.12%,26.49%,27.17%,28.42%,28.29%,29.61%,29.37%,30.88%,22.73%,23.26%,23.73%,22.54%,24.71%,23.01%,27.42%,27.42%,27.59%,27.98%,26.02%,26.34%,27.56%,28.80%,29.63%,29.08%,18.18%,29.41%,27.45%,28.77%,27.47%,26.67%,30.89%,30.43%,33.54%,33.54%,33.71%,31.41%,30.95%,30.94%,30.00%,30.77%,30.80%,38.46%,28.89%,30.00%,32.05%,28.57%,28.57%,29.41%,28.47%,27.92%,27.59%,26.06%,27.23%,28.11%,27.73%,26.82%,26.45%,17.65%,19.35%,23.64%,23.64%,27.78%,31.40%,30.63%,30.53%,30.57%,28.57%,27.64%,27.27%,26.23%,27.97%,26.41%,26.53%,5.26%,12.12%,13.21%,14.08%,14.08%,17.71%,19.27%,25.71%,26.58%,28.09%,26.53%,26.17%,26.52%,26.74%,26.42%,20.00%,34.29%,34.04%,29.23%,29.23%,32.14%,33.33%,33.63%,30.60%,28.03%,26.70%,26.77%,28.96%,28.33%,26.92%,25.60%,14.29%,22.50%,21.05%,20.24%,22.03%,25.87%,24.69%,26.70%,27.70%,29.25%,29.25%,30.91%,30.58%,30.56%,30.57%,30.79%,31.58%,31.25%,29.31%,26.92%,31.18%,31.37%,30.33%,29.79%,28.83%,28.42%,28.42%,27.14%,30.08%,29.34%,29.14%,27.46%
Denver,6.67%,23.53%,26.67%,32.79%,35.14%,34.07%,33.33%,33.06%,30.43%,30.43%,31.47%,32.72%,33.33%,31.68%,31.78%,31.56%,31.95%,66.67%,52.17%,48.72%,45.10%,46.03%,43.06%,43.53%,43.93%,44.19%,44.19%,39.60%,36.90%,39.01%,37.95%,36.41%,23.81%,25.00%,25.93%,22.39%,23.16%,24.79%,25.90%,25.83%,25.83%,25.15%,24.31%,24.51%,26.75%,27.42%,27.55%,27.86%,37.50%,40.62%,29.63%,29.63%,31.43%,28.57%,26.60%,25.64%,23.61%,24.20%,26.40%,29.50%,29.72%,31.62%,31.87%,32.85%,53.85%,62.50%,57.78%,58.67%,53.68%,53.68%,47.90%,43.88%,43.40%,39.89%,38.83%,38.39%,38.52%,38.25%,39.34%,38.97%,33.33%,20.59%,22.95%,28.21%,29.47%,30.58%,35.62%,35.62%,33.53%,34.76%,34.30%,36.00%,34.41%,34.87%,35.13%,35.12%,37.31%,25.00%,18.52%,25.00%,28.57%,28.38%,26.60%,26.60%,29.09%,29.01%,30.72%,32.76%,31.22%,32.51%,31.25%,32.93%,32.46%,60.00%,46.88%,36.00%,33.33%,41.76%,41.67%,45.99%,45.75%,45.75%,39.89%,39.22%,37.72%,38.15%,38.52%,39.66%,38.59%,50.00%,31.58%,25.45%,25.93%,30.19%,30.19%,30.58%,30.28%,28.83%,29.44%,29.21%,30.63%,29.72%,31.03%,31.01%,10.53%,12.20%,18.75%,18.42%,28.83%,26.87%,26.87%,25.68%,25.29%,24.87%,23.76%,25.58%,24.89%,24.29%,23.94%,24.01%,12.50%,11.54%,12.31%,19.77%,18.18%,18.46%,19.46%,21.64%,21.64%,23.04%,22.79%,21.49%,23.42%,25.00%,26.62%,27.02%,8.33%,15.38%,20.51%,20.51%,19.54%,17.65%,16.94%,16.44%,15.43%,14.59%,15.42%,15.93%,16.03%,16.86%,16.73%,18.94%
