Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,43.40%,50.48%,47.21%,47.76%,48.88%,51.62%,51.62%,51.05%,48.87%,49.16%,49.09%,47.57%,47.55%,48.11%,47.36%,47.58%,47.94%,46.88%,53.73%,53.97%,47.54%,41.54%,41.54%,39.11%,42.89%,43.08%,43.08%,43.68%,45.34%,45.92%,46.66%,45.08%,49.02%,44.34%,48.00%,43.56%,44.48%,44.48%,42.86%,44.47%,46.38%,46.73%,44.03%,44.97%,44.81%,45.62%,45.93%,44.90%,30.51%,43.20%,44.32%,49.00%,46.15%,43.60%,44.37%,46.46%,46.46%,47.38%,45.90%,45.63%,44.37%,44.66%,45.39%,44.51%,39.29%,39.32%,40.43%,40.80%,39.31%,40.47%,42.56%,42.56%,45.17%,42.02%,40.35%,40.06%,39.50%,39.93%,40.49%,40.06%,45.45%,43.14%,45.18%,44.30%,43.07%,41.54%,41.54%,42.78%,42.00%,41.89%,41.86%,42.09%,42.98%,42.65%,44.64%,45.28%,44.81%,41.67%,35.43%,39.38%,39.38%,36.74%,34.84%,35.64%,40.83%,38.08%,36.90%,37.25%,36.82%,36.18%,37.34%,37.84%,37.78%,29.63%,43.40%,44.54%,48.44%,46.15%,46.15%,46.05%,46.82%,44.52%,44.29%,45.10%,47.08%,47.62%,47.20%,48.65%,48.36%,39.71%,42.18%,43.40%,41.88%,45.54%,45.54%,44.69%,42.68%,43.21%,42.90%,44.55%,44.17%,43.01%,42.33%,42.62%,47.14%,41.22%,38.86%,38.95%,42.18%,43.24%,44.71%,45.85%,47.05%,47.05%,45.60%,46.93%,48.00%,49.29%,47.70%,48.15%,38.71%,36.97%,35.23%,36.80%,35.52%,38.86%,40.38%,37.11%,37.11%,36.48%,35.61%,34.98%,36.03%,36.15%,35.09%,35.30%,40.00%,39.84%,39.47%,39.15%,38.49%,36.96%,37.30%,35.81%,36.56%,36.70%,36.62%,37.76%,38.45%,37.67%,37.33%,38.28%
Atlanta,40.68%,40.74%,46.70%,49.81%,51.68%,50.89%,50.97%,50.97%,50.19%,47.80%,47.40%,48.16%,48.80%,49.29%,49.23%,47.96%,47.84%,31.94%,30.89%,34.22%,34.27%,38.31%,40.16%,44.20%,41.57%,41.57%,41.52%,41.43%,41.53%,42.59%,42.70%,42.43%,22.95%,37.50%,43.68%,39.76%,42.02%,43.05%,41.24%,41.24%,42.41%,42.29%,43.55%,41.18%,42.40%,41.53%,42.41%,42.69%,27.12%,24.81%,34.38%,36.14%,36.14%,40.13%,40.21%,39.18%,39.72%,40.72%,41.32%,41.53%,42.10%,42.20%,42.43%,45.16%,54.00%,53.98%,55.75%,50.21%,50.00%,49.34%,48.04%,48.04%,46.68%,46.76%,47.78%,47.32%,46.87%,46.46%,47.95%,46.88%,36.84%,41.53%,43.39%,45.82%,44.09%,42.37%,42.37%,43.08%,42.32%,39.61%,40.26%,40.30%,40.03%,40.68%,40.54%,40.82%,41.58%,39.29%,38.21%,42.16%,42.16%,39.31%,38.18%,39.59%,41.18%,42.26%,43.89%,43.43%,43.61%,43.87%,43.46%,43.90%,43.52%,51.67%,40.74%,36.59%,37.73%,36.52%,40.29%,38.21%,38.21%,39.87%,39.55%,37.95%,38.04%,38.43%,39.17%,39.06%,38.51%,42.19%,43.51%,46.73%,42.86%,40.63%,40.74%,40.18%,40.18%,39.88%,38.50%,37.07%,37.73%,40.03%,39.70%,39.79%,47.83%,44.12%,40.10%,43.92%,43.89%,44.47%,44.47%,43.65%,42.51%,42.99%,43.31%,42.94%,41.75%,42.20%,42.33%,41.14%,43.94%,33.81%,31.96%,36.33%,38.08%,38.08%,37.93%,40.42%,41.28%,43.66%,45.18%,44.94%,45.30%,45.45%,44.39%,45.03%,40.00%,52.52%,46.43%,50.00%,50.45%,48.76%,50.21%,47.95%,47.95%,46.20%,45.52%,45.07%,43.62%,43.71%,43.34%,42.09%
Baltimore,50.77%,42.40%,41.29%,42.69%,42.69%,41.20%,42.18%,42.56%,43.11%,42.93%,44.55%,44.04%,44.16%,43.61%,43.85%,43.52%,43.57%,52.73%,46.15%,40.20%,45.49%,45.37%,45.37%,43.97%,43.33%,43.97%,45.33%,46.19%,47.27%,46.53%,46.26%,45.99%,41.94%,42.64%,42.64%,39.55%,44.96%,43.10%,44.00%,44.28%,45.57%,46.48%,45.32%,45.90%,45.78%,45.95%,44.66%,43.62%,26.00%,35.78%,34.52%,42.24%,44.21%,43.94%,43.94%,40.77%,41.11%,43.23%,43.74%,41.24%,41.17%,41.75%,40.90%,39.93%,41.07%,40.32%,35.75%,41.41%,42.16%,41.79%,44.25%,44.25%,46.70%,46.86%,46.91%,46.84%,45.95%,46.53%,45.95%,46.51%,48.00%,48.00%,37.38%,41.98%,41.67%,43.48%,42.52%,41.28%,41.16%,39.76%,41.61%,40.71%,39.88%,39.48%,39.41%,38.74%,39.44%,38.64%,33.93%,37.20%,39.74%,42.37%,43.58%,43.58%,42.07%,43.76%,43.64%,43.73%,45.22%,44.72%,44.97%,45.11%,44.67%,47.73%,46.85%,48.80%,50.00%,45.15%,43.11%,43.33%,43.33%,42.07%,40.51%,40.60%,40.39%,40.08%,38.55%,37.37%,37.92%,26.23%,34.09%,36.41%,35.86%,35.86%,36.28%,40.99%,42.50%,41.57%,43.84%,43.19%,42.86%,41.93%,40.96%,42.38%,40.58%,47.92%,46.61%,41.24%,47.63%,48.63%,48.64%,48.64%,47.84%,46.17%,45.49%,44.66%,44.30%,44.93%,46.07%,45.42%,33.82%,33.08%,34.55%,44.81%,40.37%,41.33%,42.73%,42.73%,42.52%,41.69%,41.91%,42.60%,41.52%,41.38%,41.59%,42.44%,40.62%,36.36%,41.48%,42.02%,40.88%,38.44%,36.44%,38.52%,38.51%,38.70%,38.70%,37.84%,36.98%,36.45%,36.21%,37.10%
Buffalo,36.21%,34.96%,44.39%,46.36%,44.44%,47.01%,46.35%,45.49%,45.49%,46.13%,46.77%,46.18%,44.58%,44.49%,44.23%,45.59%,45.84%,37.70%,42.24%,42.24%,43.60%,41.00%,42.12%,44.83%,46.97%,47.92%,48.98%,46.56%,45.13%,43.89%,43.49%,43.76%,46.94%,56.25%,56.57%,57.61%,53.69%,51.71%,52.40%,51.95%,51.95%,50.37%,50.33%,50.67%,47.56%,47.80%,47.93%,47.19%,61.19%,48.41%,47.22%,42.08%,44.55%,43.92%,44.27%,44.27%,43.30%,43.22%,43.30%,44.59%,45.25%,45.05%,45.01%,46.31%,44.44%,46.43%,49.52%,45.69%,42.48%,42.48%,41.90%,41.61%,40.39%,42.20%,42.11%,41.98%,42.06%,41.07%,42.33%,44.35%,31.34%,38.71%,44.83%,44.96%,44.90%,44.90%,43.65%,44.05%,44.40%,46.18%,45.77%,43.95%,44.61%,45.30%,45.25%,44.59%,46.86%,29.87%,28.38%,36.87%,43.10%,47.56%,48.93%,46.95%,47.89%,47.89%,48.89%,49.14%,49.48%,50.78%,49.67%,50.26%,50.19%,49.32%,48.84%,51.79%,55.56%,57.23%,57.23%,55.58%,56.41%,55.66%,52.88%,51.92%,52.17%,52.98%,53.05%,51.28%,51.84%,32.14%,40.34%,38.95%,40.77%,39.25%,41.19%,41.19%,38.64%,41.14%,42.88%,44.64%,44.22%,45.00%,45.23%,46.48%,57.14%,44.78%,37.63%,41.70%,45.21%,44.69%,44.54%,44.54%,45.45%,45.13%,45.01%,44.66%,43.37%,43.13%,43.94%,44.74%,39.33%,40.61%,45.96%,39.26%,41.05%,42.51%,42.07%,41.91%,41.97%,42.67%,42.55%,42.55%,41.92%,43.03%,43.03%,42.02%,26.09%,27.27%,36.89%,36.80%,36.20%,36.99%,38.50%,38.84%,38.84%,39.02%,38.93%,38.48%,38.56%,39.78%,39.55%,40.31%
Carolina,47.46%,34.97%,34.97%,37.44%,40.00%,40.82%,43.42%,43.50%,45.07%,43.24%,42.60%,41.91%,42.46%,43.13%,44.28%,44.59%,43.63%,66.20%,53.44%,53.44%,58.20%,57.42%,55.12%,53.44%,54.23%,53.11%,52.01%,49.62%,48.76%,46.92%,46.45%,47.06%,56.90%,40.83%,43.17%,39.20%,38.58%,39.01%,39.01%,38.30%,36.93%,38.96%,40.39%,40.54%,40.19%,41.48%,41.29%,42.64%,67.14%,57.14%,54.97%,50.59%,47.04%,45.41%,44.91%,45.64%,45.64%,44.96%,42.74%,44.32%,43.96%,44.52%,46.04%,46.01%,32.81%,44.53%,39.58%,45.56%,43.71%,44.19%,44.19%,45.01%,47.31%,47.49%,47.40%,47.89%,46.85%,47.19%,45.70%,45.79%,49.09%,47.86%,48.89%,45.12%,43.10%,46.61%,44.95%,41.61%,41.61%,42.47%,43.02%,43.99%,43.42%,42.81%,42.55%,43.67%,42.11%,50.79%,54.33%,52.06%,52.06%,50.81%,51.37%,52.02%,47.93%,46.81%,46.11%,46.67%,48.33%,47.13%,47.89%,47.00%,45.68%,53.73%,55.56%,53.23%,48.57%,51.74%,51.74%,50.00%,49.46%,48.42%,48.99%,48.71%,48.43%,48.43%,48.50%,47.56%,47.62%,46.30%,43.40%,49.08%,52.36%,48.43%,50.43%,48.28%,48.63%,48.63%,49.44%,48.76%,48.25%,48.25%,47.57%,47.32%,58.06%,45.32%,44.44%,40.66%,43.58%,43.58%,44.25%,43.27%,43.18%,42.44%,42.04%,42.86%,44.69%,42.70%,42.34%,42.03%,42.62%,44.03%,40.76%,40.76%,42.56%,38.41%,37.95%,35.20%,35.85%,36.86%,36.91%,36.02%,36.51%,35.82%,36.61%,36.64%,30.91%,28.00%,36.32%,39.44%,38.66%,39.18%,40.99%,41.35%,42.39%,41.88%,41.32%,41.32%,41.86%,40.48%,40.61%,40.97%
Chicago,54.55%,55.86%,55.86%,52.74%,50.57%,51.23%,50.91%,48.77%,48.17%,46.56%,44.98%,44.17%,43.55%,44.43%,45.01%,44.72%,45.22%,52.63%,46.92%,45.21%,45.21%,45.21%,49.85%,51.53%,49.56%,47.89%,46.21%,47.42%,48.49%,47.59%,46.81%,47.24%,58.82%,44.27%,48.68%,48.68%,45.97%,41.56%,41.01%,41.44%,42.89%,46.55%,44.43%,44.25%,42.54%,44.68%,44.90%,43.65%,41.07%,34.91%,37.65%,35.87%,36.16%,38.64%,38.64%,38.94%,40.86%,40.69%,41.16%,42.14%,42.21%,40.76%,39.82%,38.94%,50.70%,45.80%,43.81%,44.18%,42.31%,46.17%,45.35%,44.88%,44.88%,45.42%,44.11%,44.98%,45.92%,45.44%,45.94%,45.54%,22.73%,38.02%,30.73%,31.62%,30.18%,33.25%,34.85%,34.85%,34.82%,35.53%,37.57%,37.09%,38.90%,39.04%,39.28%,39.51%,40.20%,40.74%,38.94%,38.30%,36.84%,36.84%,37.58%,42.46%,44.22%,44.66%,45.44%,45.44%,44.92%,45.02%,45.54%,45.65%,45.47%,36.84%,32.03%,29.79%,34.92%,35.99%,37.40%,38.48%,38.48%,36.75%,37.13%,36.35%,35.85%,36.93%,37.68%,37.80%,38.25%,21.21%,32.33%,35.64%,35.77%,36.76%,35.06%,32.52%,32.52%,33.01%,31.54%,31.83%,32.58%,34.40%,35.19%,36.29%,23.81%,33.33%,32.09%,29.02%,29.55%,29.55%,29.07%,32.08%,32.15%,34.80%,36.44%,35.90%,36.76%,38.90%,39.39%,38.41%,38.18%,45.38%,40.76%,42.00%,42.54%,43.48%,46.03%,46.03%,46.77%,46.32%,47.31%,47.88%,47.73%,47.94%,46.83%,47.51%,58.93%,49.59%,44.56%,43.33%,43.09%,40.22%,41.45%,41.97%,41.97%,42.88%,42.27%,40.85%,40.11%,41.35%,41.30%,41.03%
Cincinnati,60.61%,52.63%,52.41%,48.58%,46.96%,46.96%,47.31%,45.35%,46.65%,46.21%,44.46%,43.80%,42.74%,44.81%,44.78%,44.74%,46.15%,54.84%,43.90%,49.72%,52.67%,52.67%,55.59%,52.36%,52.32%,51.66%,48.80%,49.85%,48.10%,48.06%,48.31%,48.26%,29.51%,28.07%,33.15%,35.02%,40.27%,39.67%,44.94%,43.65%,43.33%,43.33%,43.20%,43.73%,43.33%,43.76%,43.39%,43.33%,37.31%,37.50%,41.50%,46.44%,46.44%,44.08%,42.20%,44.32%,45.73%,45.10%,43.35%,42.46%,41.59%,40.57%,40.82%,41.80%,37.31%,42.31%,41.24%,43.85%,43.85%,44.31%,44.27%,45.70%,46.27%,45.06%,44.94%,44.28%,44.99%,45.07%,45.85%,44.96%,61.33%,63.04%,54.37%,56.09%,57.06%,54.94%,53.86%,53.61%,51.48%,51.48%,48.09%,48.75%,49.56%,48.88%,49.17%,49.43%,48.37%,39.22%,33.33%,37.93%,38.52%,37.99%,38.85%,36.95%,36.95%,36.42%,35.58%,36.14%,35.91%,36.10%,37.64%,37.34%,37.71%,39.66%,38.02%,39.11%,42.86%,41.64%,41.64%,42.66%,43.12%,44.27%,43.45%,43.27%,44.44%,44.23%,44.07%,43.48%,42.89%,38.24%,47.33%,46.67%,44.62%,44.98%,44.14%,44.14%,41.55%,40.32%,40.77%,41.60%,41.97%,43.07%,42.44%,42.13%,39.66%,38.33%,41.24%,38.89%,42.22%,43.95%,43.56%,43.56%,43.44%,41.65%,41.81%,41.45%,39.61%,39.16%,38.96%,39.64%,45.90%,37.93%,38.34%,39.39%,37.65%,39.19%,38.17%,38.02%,39.16%,39.49%,37.85%,37.85%,37.87%,36.72%,38.15%,38.01%,23.53%,26.00%,31.31%,31.31%,38.18%,39.10%,39.87%,40.19%,40.35%,43.69%,43.24%,42.07%,42.29%,42.45%,42.54%,41.68%
Cleveland,25.42%,45.90%,43.72%,44.86%,43.20%,42.41%,45.43%,45.63%,45.63%,44.55%,43.27%,44.25%,44.65%,44.61%,45.16%,46.51%,46.08%,38.81%,41.22%,44.79%,44.58%,49.20%,46.49%,44.52%,44.52%,44.87%,48.04%,49.28%,49.56%,51.04%,51.61%,53.91%,47.06%,43.36%,47.74%,47.74%,49.05%,49.39%,49.87%,51.53%,49.52%,50.76%,50.31%,50.35%,51.17%,51.51%,51.29%,51.84%,57.75%,49.66%,46.08%,46.10%,46.48%,46.48%,46.44%,46.65%,46.23%,45.58%,44.04%,44.77%,45.08%,47.28%,47.95%,48.85%,63.64%,47.55%,51.42%,45.26%,45.35%,43.50%,43.50%,42.71%,41.99%,42.61%,41.81%,41.10%,41.53%,41.41%,41.94%,42.96%,49.21%,53.45%,58.89%,52.14%,52.14%,51.04%,52.59%,50.24%,51.21%,49.73%,50.72%,50.86%,51.34%,52.46%,51.86%,53.72%,53.88%,58.73%,54.01%,50.25%,47.31%,48.13%,48.22%,50.41%,50.63%,50.63%,51.88%,49.55%,50.80%,51.06%,49.94%,49.36%,47.91%,49.18%,53.49%,51.06%,46.34%,47.23%,48.78%,44.39%,44.39%,43.17%,44.13%,43.89%,44.11%,44.53%,45.96%,47.45%,48.52%,51.56%,45.38%,48.02%,50.00%,50.00%,52.20%,49.46%,51.16%,52.73%,52.98%,51.60%,51.38%,53.26%,53.23%,51.51%,34.09%,36.67%,40.45%,39.06%,40.76%,38.99%,40.99%,41.99%,43.71%,43.71%,41.88%,41.48%,39.95%,40.54%,41.05%,41.17%,35.38%,43.38%,41.86%,39.43%,39.83%,39.67%,40.24%,40.32%,39.37%,39.37%,40.49%,41.35%,41.25%,40.07%,40.62%,41.40%,41.79%,41.18%,44.50%,44.50%,44.91%,44.28%,45.48%,42.45%,42.47%,41.69%,44.41%,43.42%,43.79%,42.21%,43.75%,44.82%
Dallas,50.85%,36.43%,36.43%,39.67%,39.06%,41.64%,41.09%,43.31%,41.81%,41.63%,41.57%,42.43%,44.76%,44.18%,44.44%,43.96%,43.76%,51.85%,49.54%,43.09%,43.09%,42.80%,44.33%,45.30%,43.52%,44.28%,45.32%,44.50%,43.67%,43.24%,44.09%,44.01%,41.27%,40.16%,40.43%,43.44%,40.07%,39.41%,38.52%,38.63%,38.63%,39.78%,39.97%,40.22%,41.29%,41.60%,43.43%,43.30%,47.76%,41.60%,41.60%,43.17%,40.93%,39.04%,42.62%,41.46%,43.35%,42.40%,41.69%,42.52%,42.71%,43.23%,43.35%,44.79%,32.84%,33.08%,34.92%,35.80%,36.88%,36.94%,39.02%,39.02%,37.50%,38.01%,36.32%,36.68%,36.18%,37.04%,37.08%,36.71%,41.86%,38.32%,36.05%,40.91%,39.87%,39.61%,42.65%,41.04%,42.39%,42.39%,41.43%,40.43%,39.81%,39.87%,39.05%,40.18%,41.49%,42.47%,41.61%,38.62%,39.84%,39.69%,39.69%,39.74%,38.98%,39.33%,39.55%,39.08%,39.05%,39.57%,40.27%,38.90%,38.21%,41.07%,40.00%,39.26%,39.26%,41.74%,44.40%,45.75%,47.62%,47.87%,46.34%,44.32%,43.36%,41.86%,42.36%,41.00%,41.19%,25.00%,33.90%,34.44%,32.92%,32.92%,33.66%,34.34%,37.56%,38.99%,38.60%,38.42%,38.66%,39.17%,39.23%,38.77%,35.19%,51.28%,49.42%,50.00%,50.00%,49.09%,46.57%,46.82%,46.05%,44.64%,44.93%,45.57%,45.31%,44.50%,43.29%,43.14%,23.73%,31.45%,26.70%,29.89%,32.63%,34.72%,34.09%,34.52%,35.40%,36.76%,36.76%,37.69%,38.21%,38.84%,38.90%,39.20%,55.56%,41.75%,41.71%,36.75%,40.34%,39.94%,40.55%,41.65%,42.02%,41.46%,41.46%,41.65%,43.51%,42.07%,41.92%,40.44%
Denver,34.92%,32.79%,31.46%,33.90%,35.99%,37.54%,38.33%,40.80%,41.01%,41.01%,40.42%,41.28%,41.32%,40.08%,40.86%,40.49%,41.65%,45.90%,49.50%,48.48%,48.60%,49.81%,46.79%,48.77%,50.12%,48.30%,48.30%,44.37%,42.75%,43.83%,43.21%,44.32%,47.83%,47.50%,42.02%,38.30%,36.94%,35.62%,35.15%,35.08%,35.08%,33.69%,32.46%,33.48%,35.74%,35.71%,35.42%,34.99%,43.08%,50.41%,41.71%,41.71%,41.54%,43.12%,40.70%,39.91%,37.60%,38.07%,39.30%,41.59%,42.40%,43.70%,43.09%,43.22%,53.06%,58.10%,61.71%,60.67%,61.90%,61.90%,57.94%,56.76%,55.58%,52.38%,51.05%,50.66%,51.46%,50.31%,50.52%,50.91%,50.85%,43.24%,39.46%,42.91%,41.56%,42.86%,44.84%,44.84%,44.21%,44.33%,45.08%,47.51%,46.02%,45.35%,45.88%,46.11%,47.37%,42.86%,40.34%,42.77%,40.34%,41.14%,40.22%,40.22%,42.62%,43.24%,45.01%,47.24%,45.48%,44.64%,44.24%,44.89%,44.67%,60.71%,48.21%,42.94%,42.79%,48.01%,48.08%,51.83%,53.91%,53.91%,50.35%,51.17%,50.77%,51.08%,50.75%,51.51%,50.86%,62.90%,47.20%,44.09%,43.14%,46.08%,46.08%,46.00%,45.89%,45.33%,44.63%,44.07%,44.47%,43.73%,45.03%,45.41%,36.62%,39.71%,43.78%,40.94%,46.06%,44.58%,44.58%,42.53%,41.50%,40.59%,39.97%,40.98%,40.48%,40.12%,39.47%,38.88%,24.14%,25.64%,27.54%,33.33%,32.12%,33.17%,34.75%,35.42%,35.42%,37.21%,36.90%,36.90%,36.93%,37.41%,39.45%,39.45%,20.00%,31.03%,37.27%,37.27%,36.59%,34.32%,32.84%,31.97%,31.93%,31.14%,33.04%,33.29%,33.33%,32.20%,32.24%,33.95%
