Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,0.00%,18.18%,16.67%,25.00%,22.22%,20.00%,20.00%,22.73%,25.00%,21.43%,24.24%,25.00%,27.50%,29.79%,28.57%,30.19%,30.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,18.75%,22.22%,30.43%,29.17%,30.77%,30.00%,29.03%,33.33%,37.50%,58.33%,50.00%,47.06%,47.06%,44.44%,45.45%,50.00%,44.83%,40.62%,42.86%,44.44%,44.74%,48.78%,50.00%,66.67%,66.67%,57.14%,55.56%,45.45%,35.71%,37.50%,45.00%,45.00%,43.48%,45.83%,42.86%,40.00%,36.36%,37.84%,41.03%,100.00%,75.00%,50.00%,37.50%,27.27%,30.77%,37.50%,37.50%,38.89%,38.10%,33.33%,34.48%,32.26%,27.78%,30.00%,30.23%,100.00%,100.00%,60.00%,25.00%,28.57%,23.53%,23.53%,25.00%,22.73%,20.00%,25.00%,25.00%,26.32%,25.64%,22.73%,24.49%,25.00%,50.00%,25.00%,12.50%,12.50%,18.18%,18.18%,23.08%,29.41%,25.00%,27.27%,30.43%,32.00%,29.63%,30.00%,33.33%,32.35%,0.00%,33.33%,37.50%,38.46%,33.33%,33.33%,31.25%,33.33%,33.33%,37.04%,38.71%,41.18%,42.86%,44.44%,43.24%,42.50%,33.33%,20.00%,33.33%,40.00%,57.14%,57.14%,47.06%,55.00%,55.00%,54.55%,50.00%,46.15%,44.44%,46.43%,46.67%,0.00%,0.00%,0.00%,25.00%,16.67%,37.50%,36.36%,28.57%,22.22%,22.22%,25.00%,20.83%,20.00%,28.12%,30.30%,29.73%,0.00%,0.00%,11.11%,10.00%,10.00%,15.38%,17.65%,16.67%,16.67%,14.29%,17.39%,16.67%,14.81%,17.86%,15.62%,15.15%,50.00%,25.00%,33.33%,33.33%,27.27%,23.08%,28.57%,25.00%,22.22%,25.00%,25.00%,23.81%,21.74%,24.00%,24.00%,30.00%
Atlanta,50.00%,50.00%,50.00%,50.00%,50.00%,45.00%,46.15%,46.15%,46.43%,48.28%,51.61%,47.22%,50.00%,50.00%,44.44%,40.82%,41.18%,0.00%,25.00%,25.00%,40.00%,42.86%,44.44%,70.59%,57.14%,57.14%,52.17%,50.00%,50.00%,51.72%,53.33%,50.00%,0.00%,25.00%,40.00%,33.33%,30.00%,35.71%,43.75%,43.75%,47.06%,50.00%,52.17%,50.00%,48.15%,48.28%,50.00%,48.48%,--,--,50.00%,33.33%,33.33%,33.33%,18.18%,21.43%,29.41%,31.58%,40.91%,42.31%,42.86%,42.86%,42.42%,41.18%,0.00%,0.00%,14.29%,12.50%,20.00%,28.57%,29.41%,29.41%,33.33%,31.58%,30.43%,29.63%,29.03%,25.71%,25.64%,23.81%,33.33%,50.00%,50.00%,45.45%,35.71%,37.50%,37.50%,47.37%,47.37%,42.86%,45.83%,48.15%,48.28%,46.88%,45.45%,42.86%,44.74%,0.00%,33.33%,40.00%,40.00%,50.00%,37.50%,25.00%,29.41%,31.58%,34.78%,33.33%,31.03%,30.30%,27.78%,27.03%,27.03%,100.00%,100.00%,40.00%,28.57%,25.00%,25.00%,18.75%,18.75%,15.79%,13.64%,12.50%,15.38%,17.24%,20.00%,25.00%,26.47%,0.00%,28.57%,37.50%,33.33%,28.57%,37.50%,35.29%,35.29%,33.33%,30.00%,27.27%,29.17%,30.77%,31.03%,29.03%,66.67%,66.67%,66.67%,60.00%,50.00%,50.00%,50.00%,50.00%,47.06%,42.86%,45.45%,50.00%,52.00%,50.00%,50.00%,51.72%,0.00%,0.00%,12.50%,18.18%,14.29%,14.29%,12.50%,15.79%,21.74%,23.08%,25.81%,24.24%,29.73%,30.77%,28.57%,30.43%,75.00%,71.43%,55.56%,69.23%,62.50%,63.16%,59.09%,54.17%,54.17%,50.00%,46.43%,50.00%,46.88%,45.95%,47.50%,47.62%
Baltimore,25.00%,20.00%,33.33%,25.00%,25.00%,20.00%,21.43%,21.43%,18.75%,26.32%,26.32%,20.83%,20.83%,20.00%,22.22%,22.22%,21.43%,50.00%,25.00%,25.00%,42.86%,37.50%,37.50%,37.50%,33.33%,30.00%,41.67%,38.46%,40.00%,33.33%,35.00%,36.36%,0.00%,0.00%,0.00%,0.00%,40.00%,40.00%,36.36%,30.77%,31.25%,31.58%,30.00%,32.00%,32.00%,30.77%,30.77%,28.57%,--,--,50.00%,33.33%,25.00%,16.67%,16.67%,11.11%,18.18%,35.71%,33.33%,33.33%,31.25%,29.41%,26.32%,25.00%,0.00%,0.00%,0.00%,11.11%,10.00%,10.00%,18.18%,18.18%,12.50%,12.50%,21.05%,18.18%,20.00%,22.58%,24.24%,22.22%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,10.00%,9.09%,7.14%,6.67%,15.79%,15.00%,15.00%,14.29%,13.64%,16.00%,15.38%,0.00%,0.00%,0.00%,25.00%,30.00%,23.08%,23.08%,28.57%,31.25%,31.25%,33.33%,35.00%,30.43%,30.43%,29.17%,30.77%,--,--,50.00%,75.00%,50.00%,50.00%,33.33%,33.33%,38.46%,31.25%,29.41%,27.78%,26.32%,22.73%,20.00%,19.23%,0.00%,33.33%,25.00%,16.67%,16.67%,12.50%,12.50%,18.18%,23.08%,28.57%,35.29%,35.29%,33.33%,31.58%,39.13%,100.00%,75.00%,71.43%,75.00%,75.00%,63.64%,56.25%,56.25%,56.25%,50.00%,52.63%,50.00%,50.00%,48.00%,48.28%,48.39%,0.00%,0.00%,0.00%,11.11%,9.09%,8.33%,7.69%,7.69%,6.25%,5.56%,5.00%,5.00%,8.70%,11.54%,14.29%,18.18%,0.00%,0.00%,50.00%,40.00%,42.86%,33.33%,30.00%,46.15%,31.58%,30.00%,30.00%,26.09%,25.93%,25.00%,25.00%,24.14%
Buffalo,--,50.00%,50.00%,66.67%,71.43%,50.00%,45.45%,50.00%,50.00%,47.06%,44.44%,50.00%,47.62%,47.62%,45.83%,42.31%,36.67%,0.00%,0.00%,0.00%,16.67%,14.29%,12.50%,20.00%,25.00%,21.43%,18.75%,16.67%,15.79%,17.39%,16.67%,19.23%,100.00%,100.00%,66.67%,71.43%,55.56%,63.64%,68.75%,68.42%,68.42%,68.42%,60.00%,57.69%,55.17%,52.94%,52.63%,51.22%,0.00%,0.00%,28.57%,25.00%,33.33%,35.71%,38.89%,38.89%,36.84%,38.10%,41.67%,40.74%,43.33%,41.94%,41.94%,41.18%,0.00%,33.33%,25.00%,30.00%,25.00%,25.00%,28.57%,28.57%,23.53%,27.78%,26.92%,31.03%,33.33%,37.50%,37.50%,40.54%,0.00%,50.00%,50.00%,66.67%,63.64%,63.64%,53.85%,53.33%,52.94%,57.89%,61.90%,52.00%,50.00%,48.15%,48.39%,51.52%,52.94%,33.33%,16.67%,44.44%,50.00%,50.00%,53.33%,56.25%,63.16%,63.16%,58.33%,57.69%,57.14%,55.17%,56.67%,56.25%,50.00%,100.00%,60.00%,50.00%,46.67%,38.89%,38.89%,36.36%,34.78%,34.62%,33.33%,32.26%,34.38%,37.84%,37.84%,38.46%,37.21%,0.00%,50.00%,30.00%,33.33%,33.33%,44.44%,44.44%,44.44%,47.62%,42.31%,38.71%,34.29%,37.84%,35.71%,35.56%,16.67%,12.50%,20.00%,35.29%,39.13%,37.50%,44.83%,44.83%,43.75%,44.44%,42.11%,40.00%,40.48%,40.91%,44.00%,43.40%,0.00%,0.00%,14.29%,11.11%,15.38%,12.50%,10.53%,8.33%,7.69%,10.71%,13.33%,13.33%,20.59%,21.62%,20.51%,20.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,17.65%,17.65%,26.32%,23.81%,23.81%,27.27%,36.00%,38.46%,35.71%
Carolina,33.33%,25.00%,25.00%,25.00%,20.00%,28.57%,27.27%,23.08%,26.67%,22.22%,20.00%,21.74%,24.00%,28.57%,33.33%,31.25%,28.57%,66.67%,60.00%,60.00%,62.50%,50.00%,53.85%,60.00%,58.82%,65.00%,65.22%,62.50%,57.69%,51.72%,50.00%,50.00%,100.00%,50.00%,42.86%,27.27%,23.08%,20.00%,20.00%,23.53%,26.32%,26.32%,25.00%,25.00%,25.00%,31.82%,30.43%,34.62%,0.00%,0.00%,33.33%,37.50%,37.50%,27.27%,23.08%,35.29%,35.29%,33.33%,33.33%,30.00%,26.09%,23.08%,26.67%,26.67%,0.00%,20.00%,14.29%,33.33%,40.00%,45.45%,45.45%,46.67%,52.94%,52.63%,43.48%,40.74%,37.93%,36.36%,35.29%,36.11%,0.00%,20.00%,14.29%,14.29%,14.29%,20.00%,27.27%,28.57%,28.57%,28.57%,31.25%,45.45%,40.00%,39.29%,37.93%,42.42%,37.84%,20.00%,22.22%,27.27%,27.27%,30.77%,31.25%,33.33%,33.33%,33.33%,34.62%,37.93%,38.71%,38.71%,39.39%,41.18%,40.00%,25.00%,16.67%,25.00%,22.22%,36.36%,36.36%,30.77%,26.67%,26.32%,30.43%,29.63%,36.67%,41.18%,44.74%,43.59%,45.24%,25.00%,28.57%,25.00%,33.33%,33.33%,42.11%,42.86%,45.83%,45.83%,44.44%,41.18%,41.67%,40.54%,36.59%,38.10%,0.00%,50.00%,57.14%,40.00%,36.36%,36.36%,33.33%,33.33%,37.50%,35.00%,30.43%,36.00%,35.71%,35.48%,34.38%,34.38%,0.00%,33.33%,33.33%,33.33%,40.00%,33.33%,28.57%,25.00%,22.22%,22.22%,27.27%,25.00%,25.00%,18.75%,22.22%,21.05%,0.00%,0.00%,14.29%,25.00%,26.67%,31.58%,33.33%,32.00%,37.93%,37.14%,36.11%,36.11%,32.50%,31.71%,32.56%,31.82%
Chicago,40.00%,37.50%,37.50%,38.46%,42.86%,37.50%,42.11%,38.10%,40.91%,40.91%,37.50%,36.00%,36.00%,35.71%,34.48%,31.25%,36.11%,0.00%,0.00%,16.67%,14.29%,14.29%,12.50%,20.00%,18.18%,28.57%,25.00%,23.81%,29.17%,26.92%,25.00%,25.81%,--,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,22.22%,22.22%,22.22%,30.00%,36.36%,42.86%,42.86%,43.75%,--,100.00%,50.00%,50.00%,33.33%,20.00%,20.00%,16.67%,10.00%,25.00%,25.00%,28.57%,33.33%,31.58%,30.43%,26.92%,50.00%,33.33%,28.57%,25.00%,28.57%,38.89%,36.84%,40.00%,40.00%,40.00%,39.13%,40.74%,43.33%,42.42%,45.71%,47.22%,0.00%,66.67%,33.33%,37.50%,44.44%,40.00%,46.67%,46.67%,44.44%,42.86%,40.00%,40.00%,44.83%,43.33%,42.42%,40.00%,41.03%,50.00%,50.00%,40.00%,50.00%,50.00%,45.45%,35.29%,38.89%,30.43%,33.33%,33.33%,32.26%,32.26%,36.36%,32.43%,34.15%,100.00%,50.00%,50.00%,62.50%,62.50%,63.64%,53.85%,53.85%,56.25%,52.94%,52.94%,47.37%,47.62%,44.00%,44.44%,45.16%,0.00%,0.00%,0.00%,20.00%,23.08%,28.57%,25.00%,25.00%,31.58%,30.00%,27.27%,30.43%,29.17%,28.00%,30.00%,33.33%,20.00%,20.00%,14.29%,14.29%,14.29%,12.50%,11.11%,18.18%,16.67%,20.00%,18.75%,21.05%,27.27%,24.00%,23.08%,33.33%,16.67%,12.50%,25.00%,21.43%,29.41%,34.78%,34.78%,40.00%,35.71%,36.67%,40.00%,40.54%,39.02%,37.78%,40.38%,50.00%,50.00%,40.00%,30.00%,28.57%,26.67%,27.78%,20.83%,20.83%,16.13%,15.62%,15.15%,18.92%,21.43%,21.74%,25.00%
Cincinnati,66.67%,60.00%,57.14%,44.44%,45.45%,45.45%,42.86%,35.29%,31.58%,31.82%,29.17%,29.63%,31.03%,36.36%,39.47%,39.02%,41.86%,25.00%,20.00%,37.50%,41.67%,41.67%,31.25%,29.41%,30.00%,30.00%,28.57%,26.09%,24.14%,25.81%,27.78%,25.64%,0.00%,50.00%,66.67%,50.00%,33.33%,50.00%,45.45%,46.15%,46.15%,46.15%,47.37%,43.48%,40.74%,41.38%,38.71%,37.14%,0.00%,66.67%,80.00%,70.00%,70.00%,58.33%,50.00%,41.18%,42.11%,46.15%,42.86%,42.86%,41.38%,40.00%,35.29%,35.14%,50.00%,25.00%,18.18%,20.00%,20.00%,22.22%,19.05%,20.83%,22.22%,25.00%,24.24%,24.24%,25.00%,24.32%,25.64%,24.39%,100.00%,60.00%,57.14%,55.56%,46.15%,50.00%,47.62%,42.31%,42.86%,42.86%,41.38%,43.75%,38.89%,36.59%,35.71%,35.71%,34.88%,0.00%,25.00%,33.33%,37.50%,30.00%,21.43%,20.00%,20.00%,25.00%,25.00%,22.22%,26.32%,28.57%,33.33%,29.63%,28.57%,0.00%,0.00%,14.29%,22.22%,25.00%,25.00%,29.41%,33.33%,33.33%,34.78%,33.33%,33.33%,35.14%,33.33%,31.71%,32.56%,0.00%,20.00%,33.33%,37.50%,40.00%,41.67%,41.67%,46.15%,40.00%,44.44%,45.45%,41.67%,41.38%,38.71%,37.50%,40.00%,37.50%,41.67%,38.46%,46.67%,42.11%,42.86%,42.86%,36.00%,38.46%,38.46%,37.04%,35.71%,36.67%,35.48%,34.38%,33.33%,25.00%,28.57%,22.22%,22.22%,25.00%,20.00%,20.00%,23.53%,21.05%,19.05%,19.05%,18.18%,15.38%,17.24%,19.35%,50.00%,33.33%,50.00%,50.00%,37.50%,41.67%,40.00%,47.06%,45.00%,52.17%,50.00%,48.00%,50.00%,48.39%,48.39%,45.71%
Cleveland,--,66.67%,66.67%,33.33%,42.86%,37.50%,40.00%,40.00%,40.00%,40.00%,40.00%,37.50%,35.00%,31.82%,37.50%,41.38%,45.16%,--,50.00%,80.00%,83.33%,80.00%,66.67%,50.00%,50.00%,50.00%,52.38%,50.00%,44.83%,45.71%,48.72%,50.00%,33.33%,16.67%,28.57%,28.57%,25.00%,22.22%,30.00%,27.27%,30.77%,41.18%,41.18%,35.00%,31.82%,33.33%,32.00%,36.67%,0.00%,40.00%,33.33%,33.33%,27.27%,27.27%,30.77%,28.57%,38.89%,36.84%,36.36%,34.62%,30.00%,33.33%,33.33%,34.21%,0.00%,0.00%,8.33%,7.69%,5.88%,14.29%,14.29%,17.39%,15.38%,17.24%,18.75%,17.65%,16.22%,18.42%,18.42%,20.00%,75.00%,60.00%,66.67%,60.00%,60.00%,58.33%,57.14%,50.00%,45.00%,41.67%,40.74%,39.29%,37.93%,39.39%,36.11%,34.21%,38.10%,75.00%,71.43%,72.73%,57.14%,57.14%,52.94%,47.62%,50.00%,50.00%,50.00%,41.94%,40.62%,40.00%,40.00%,38.46%,38.46%,0.00%,0.00%,0.00%,0.00%,0.00%,7.14%,6.25%,6.25%,5.56%,9.52%,12.50%,15.38%,14.81%,14.29%,17.24%,16.13%,33.33%,25.00%,20.00%,11.11%,11.11%,16.67%,16.67%,21.43%,35.29%,33.33%,36.84%,38.10%,41.67%,38.46%,39.29%,0.00%,0.00%,0.00%,8.33%,17.65%,15.00%,22.73%,22.73%,28.00%,28.00%,29.63%,31.03%,29.03%,31.25%,35.14%,34.15%,50.00%,50.00%,71.43%,71.43%,80.00%,57.14%,50.00%,45.00%,40.91%,40.91%,33.33%,30.00%,27.27%,27.78%,26.83%,27.27%,66.67%,50.00%,50.00%,50.00%,41.67%,38.46%,43.75%,41.18%,36.84%,36.84%,33.33%,33.33%,30.77%,31.03%,37.50%,38.24%
Dallas,33.33%,14.29%,14.29%,14.29%,12.50%,27.27%,25.00%,23.08%,20.00%,20.00%,25.00%,27.78%,26.09%,25.93%,25.93%,25.93%,25.00%,0.00%,0.00%,0.00%,0.00%,11.11%,16.67%,23.53%,20.00%,22.73%,24.14%,24.24%,23.53%,25.64%,28.57%,29.55%,33.33%,20.00%,11.11%,20.00%,18.18%,16.67%,15.38%,14.29%,14.29%,25.00%,29.41%,30.00%,31.82%,38.46%,35.48%,33.33%,66.67%,50.00%,50.00%,40.00%,40.00%,40.00%,35.71%,43.75%,44.44%,47.37%,42.86%,45.45%,41.67%,36.67%,32.35%,33.33%,0.00%,0.00%,14.29%,12.50%,9.09%,11.76%,15.79%,15.79%,19.05%,21.74%,20.00%,20.00%,25.00%,32.26%,31.25%,30.30%,0.00%,40.00%,50.00%,37.50%,30.00%,21.43%,33.33%,33.33%,34.78%,34.78%,33.33%,30.77%,30.77%,28.57%,28.57%,32.26%,30.56%,66.67%,33.33%,28.57%,22.22%,18.18%,18.18%,21.43%,18.75%,17.65%,21.05%,21.05%,20.00%,20.83%,23.08%,25.00%,25.00%,0.00%,0.00%,0.00%,0.00%,22.22%,25.00%,23.53%,22.73%,21.43%,20.00%,18.75%,22.86%,25.00%,25.58%,23.40%,22.00%,0.00%,16.67%,14.29%,9.09%,9.09%,7.69%,14.29%,22.22%,26.32%,25.00%,26.09%,25.00%,26.92%,30.00%,28.12%,50.00%,40.00%,33.33%,20.00%,20.00%,28.57%,31.25%,33.33%,36.84%,36.36%,33.33%,31.03%,33.33%,32.35%,32.43%,31.71%,0.00%,0.00%,0.00%,0.00%,12.50%,17.65%,17.65%,28.57%,33.33%,35.48%,35.48%,33.33%,36.11%,34.15%,32.61%,33.33%,25.00%,20.00%,11.11%,9.09%,23.08%,26.67%,22.22%,30.00%,29.17%,34.62%,34.62%,33.33%,36.36%,37.84%,42.50%,41.46%
Denver,0.00%,0.00%,33.33%,20.00%,12.50%,22.22%,23.08%,26.67%,22.22%,22.22%,21.05%,25.00%,25.00%,33.33%,30.77%,32.14%,34.38%,100.00%,75.00%,80.00%,66.67%,62.50%,62.50%,60.00%,53.33%,58.82%,58.82%,55.56%,45.45%,50.00%,50.00%,46.88%,25.00%,50.00%,42.86%,37.50%,30.00%,33.33%,33.33%,27.78%,27.78%,25.00%,25.00%,26.09%,29.63%,28.57%,30.00%,30.00%,--,--,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,25.00%,38.46%,42.86%,43.75%,50.00%,50.00%,48.15%,50.00%,25.00%,33.33%,36.36%,37.50%,37.50%,30.00%,27.27%,25.93%,25.93%,27.59%,27.27%,27.03%,26.32%,30.95%,31.82%,0.00%,0.00%,30.00%,38.46%,35.71%,41.18%,40.91%,40.91%,41.67%,40.74%,44.83%,45.45%,48.57%,45.95%,47.50%,48.84%,52.00%,100.00%,100.00%,100.00%,100.00%,50.00%,33.33%,33.33%,33.33%,23.08%,25.00%,31.58%,31.58%,35.00%,29.17%,30.77%,27.59%,0.00%,20.00%,12.50%,10.00%,35.71%,41.18%,48.00%,50.00%,50.00%,43.75%,40.54%,39.02%,38.10%,41.30%,44.00%,44.23%,50.00%,25.00%,16.67%,23.08%,26.67%,26.67%,25.00%,22.73%,20.00%,19.23%,18.52%,17.86%,16.13%,18.75%,24.32%,0.00%,20.00%,11.11%,11.11%,30.77%,25.00%,25.00%,22.22%,25.00%,22.73%,20.00%,20.00%,18.52%,17.24%,16.13%,15.62%,33.33%,40.00%,37.50%,40.00%,31.25%,33.33%,31.82%,32.00%,32.00%,33.33%,31.03%,30.30%,29.73%,34.15%,34.09%,33.33%,33.33%,60.00%,50.00%,50.00%,50.00%,41.67%,35.71%,29.41%,22.73%,20.83%,20.00%,23.33%,21.88%,23.53%,22.86%,23.08%
