Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,25.29%,33.56%,29.27%,30.48%,29.62%,36.23%,36.23%,36.85%,34.82%,34.87%,32.40%,31.92%,32.40%,33.97%,33.26%,34.17%,34.77%,39.29%,42.18%,48.92%,42.03%,34.88%,34.88%,33.89%,36.38%,37.17%,38.25%,39.32%,39.82%,41.21%,41.73%,40.53%,44.00%,40.03%,38.47%,37.32%,34.94%,34.94%,33.24%,34.61%,37.77%,38.18%,34.30%,35.98%,35.25%,35.93%,36.58%,36.00%,27.23%,34.47%,28.78%,38.46%,34.20%,33.22%,33.46%,36.18%,36.18%,35.21%,34.31%,34.72%,34.02%,34.05%,33.71%,33.21%,47.42%,31.65%,32.55%,31.34%,31.68%,34.86%,35.67%,35.67%,37.17%,33.14%,31.24%,31.82%,30.87%,30.22%,29.93%,29.55%,37.11%,34.16%,37.18%,33.12%,32.38%,29.83%,29.83%,30.20%,29.85%,30.51%,29.95%,29.68%,31.15%,30.88%,33.50%,33.72%,33.26%,10.34%,19.82%,22.23%,22.23%,19.05%,18.41%,20.81%,29.34%,27.41%,28.50%,29.45%,29.61%,28.89%,30.91%,32.40%,32.61%,26.15%,39.79%,38.75%,39.88%,36.86%,36.86%,38.34%,38.26%,34.61%,32.96%,34.05%,37.02%,37.29%,37.79%,38.98%,39.59%,15.51%,26.39%,30.85%,27.17%,31.51%,31.51%,29.40%,28.96%,30.21%,32.52%,33.14%,33.04%,32.23%,32.55%,32.78%,45.28%,31.98%,33.54%,28.29%,30.84%,34.41%,38.72%,38.33%,39.33%,39.33%,36.82%,37.87%,39.60%,41.63%,40.65%,41.28%,18.31%,16.86%,19.80%,21.99%,23.01%,25.86%,27.74%,25.77%,25.77%,26.29%,25.05%,25.63%,26.32%,27.12%,25.82%,26.96%,17.93%,21.08%,22.66%,22.66%,20.24%,19.70%,20.29%,20.45%,21.73%,22.27%,23.42%,24.91%,25.32%,25.91%,25.84%,27.89%
Atlanta,36.97%,32.70%,35.18%,39.54%,39.97%,36.68%,35.96%,35.96%,35.17%,35.48%,37.13%,37.47%,38.47%,38.49%,38.47%,37.17%,37.80%,25.91%,19.25%,20.93%,20.26%,24.01%,25.06%,30.89%,27.19%,27.19%,27.69%,28.95%,30.38%,31.83%,32.71%,31.36%,16.94%,29.36%,41.20%,37.48%,35.10%,37.48%,35.39%,35.39%,36.61%,35.87%,37.36%,36.26%,37.08%,37.12%,38.13%,38.23%,30.23%,18.55%,28.14%,25.67%,25.67%,35.66%,29.91%,28.78%,28.85%,29.62%,29.79%,28.93%,30.55%,30.48%,30.20%,32.73%,46.03%,37.84%,43.62%,37.33%,37.27%,37.51%,36.46%,36.46%,37.38%,37.45%,38.53%,37.90%,36.65%,36.01%,37.85%,35.97%,22.15%,37.32%,45.04%,39.50%,36.21%,33.75%,33.75%,35.57%,37.09%,34.27%,34.51%,34.33%,34.36%,35.29%,34.96%,35.67%,36.69%,37.07%,34.33%,35.66%,35.66%,35.70%,32.91%,31.95%,32.19%,33.39%,35.13%,33.23%,32.43%,31.98%,31.37%,31.38%,31.08%,40.40%,42.03%,29.83%,30.05%,27.94%,29.00%,26.92%,26.92%,27.68%,28.57%,28.10%,27.04%,28.56%,31.50%,31.87%,30.97%,23.34%,26.82%,30.03%,26.09%,23.27%,25.64%,27.07%,27.07%,28.27%,26.28%,25.18%,25.37%,27.31%,28.30%,29.55%,38.68%,37.04%,38.26%,41.40%,41.30%,39.17%,39.17%,38.62%,35.79%,35.50%,37.63%,35.71%,34.42%,35.09%,35.23%,33.32%,18.62%,17.50%,21.07%,23.46%,26.17%,26.17%,27.21%,31.38%,31.86%,33.47%,34.75%,34.10%,35.34%,34.96%,34.02%,35.23%,29.45%,32.73%,32.13%,35.72%,36.25%,33.73%,33.41%,31.31%,31.31%,30.63%,30.29%,30.69%,29.33%,29.93%,28.63%,28.03%
Baltimore,28.91%,30.74%,32.12%,35.87%,35.87%,34.21%,31.71%,33.85%,34.97%,35.16%,36.91%,36.13%,36.45%,36.51%,36.06%,36.10%,35.61%,34.00%,31.79%,29.96%,34.29%,35.34%,35.34%,34.74%,34.47%,35.19%,37.09%,37.51%,38.36%,36.22%,35.69%,34.56%,25.29%,29.05%,29.05%,26.98%,36.26%,36.47%,39.27%,39.19%,37.71%,37.94%,36.58%,35.79%,37.48%,36.87%,36.89%,35.62%,18.31%,21.38%,17.40%,28.88%,33.61%,28.24%,28.24%,24.13%,25.31%,28.01%,29.91%,28.86%,28.30%,29.94%,29.87%,29.56%,23.31%,22.96%,20.46%,23.53%,24.31%,24.48%,26.81%,26.81%,27.37%,26.59%,26.94%,26.74%,26.82%,26.03%,25.51%,26.79%,45.45%,45.45%,43.86%,37.66%,33.51%,30.26%,27.69%,26.65%,26.19%,25.42%,29.79%,30.64%,30.96%,30.45%,30.35%,30.17%,31.22%,15.43%,12.39%,18.04%,20.39%,24.20%,27.40%,27.40%,27.91%,29.59%,31.01%,29.71%,31.61%,31.16%,31.96%,33.19%,32.14%,65.91%,48.95%,52.25%,49.52%,39.26%,37.61%,34.82%,34.82%,33.71%,31.53%,32.65%,33.10%,31.97%,30.88%,29.61%,30.02%,21.15%,18.82%,25.51%,25.48%,25.48%,26.76%,31.48%,33.86%,31.05%,31.73%,30.61%,31.29%,30.89%,30.84%,31.27%,40.06%,31.93%,27.82%,24.22%,31.17%,34.41%,35.71%,35.71%,36.12%,33.83%,34.60%,34.46%,33.78%,34.48%,35.29%,35.31%,12.75%,16.91%,21.68%,30.87%,26.77%,27.85%,30.40%,30.40%,29.57%,29.97%,30.21%,31.20%,30.42%,30.39%,30.67%,31.67%,20.79%,26.14%,25.47%,24.07%,24.93%,25.10%,25.28%,26.09%,24.72%,25.17%,25.17%,25.01%,23.95%,24.02%,24.49%,25.39%
Buffalo,43.93%,38.02%,43.62%,46.25%,41.98%,43.18%,42.26%,39.64%,39.64%,40.79%,38.36%,37.64%,35.81%,36.13%,35.08%,36.90%,37.19%,36.89%,31.33%,31.33%,28.49%,26.60%,30.27%,33.39%,36.45%,35.76%,37.89%,35.53%,34.66%,33.69%,34.35%,35.80%,79.17%,65.30%,62.07%,58.69%,53.57%,53.67%,50.87%,49.00%,49.00%,48.83%,45.99%,45.35%,42.24%,41.13%,41.10%,40.16%,57.37%,45.76%,40.72%,34.71%,36.93%,36.33%,36.23%,36.23%,35.93%,36.27%,37.59%,39.89%,41.45%,41.86%,42.37%,43.33%,36.38%,39.89%,38.69%,34.38%,31.70%,31.70%,32.92%,33.53%,31.10%,32.93%,31.84%,31.64%,31.43%,30.91%,32.50%,35.54%,33.73%,36.97%,37.87%,39.93%,38.19%,38.19%,36.58%,32.84%,32.78%,33.60%,35.13%,35.04%,34.87%,35.17%,35.94%,35.73%,37.30%,16.55%,16.37%,30.03%,39.92%,45.44%,51.58%,47.52%,46.63%,46.63%,46.38%,45.24%,45.49%,47.77%,47.25%,47.32%,46.79%,44.59%,34.74%,38.91%,45.46%,47.70%,47.70%,46.00%,49.11%,47.97%,44.66%,43.90%,44.36%,45.21%,45.64%,43.98%,45.16%,50.70%,35.83%,29.86%,31.98%,32.81%,32.26%,32.26%,31.10%,31.68%,32.42%,32.87%,33.70%,35.54%,35.96%,37.75%,30.73%,33.25%,28.78%,33.70%,38.23%,40.36%,41.70%,41.70%,40.56%,39.92%,39.57%,38.70%,37.77%,37.14%,39.01%,40.19%,36.66%,38.30%,37.14%,30.62%,30.74%,31.43%,32.48%,30.90%,31.82%,32.96%,34.16%,34.16%,34.31%,36.11%,36.75%,36.27%,20.14%,23.15%,23.84%,21.17%,22.00%,20.05%,24.52%,28.30%,28.30%,29.97%,30.78%,31.51%,30.83%,31.79%,32.98%,33.52%
Carolina,22.66%,18.54%,18.54%,28.04%,32.41%,29.86%,31.32%,31.83%,33.09%,32.22%,32.08%,31.00%,31.97%,34.46%,35.82%,36.15%,36.42%,54.48%,46.61%,46.61%,48.80%,48.66%,45.09%,43.92%,45.94%,43.36%,41.86%,39.43%,36.92%,35.11%,34.29%,36.20%,34.71%,24.18%,31.77%,27.45%,24.21%,24.28%,24.28%,25.23%,24.24%,27.45%,29.20%,28.88%,30.22%,31.30%,31.48%,33.57%,65.45%,52.27%,47.55%,37.99%,37.79%,36.20%,35.68%,35.99%,35.99%,35.61%,35.33%,36.98%,35.59%,36.24%,37.37%,37.75%,31.93%,33.39%,27.88%,34.15%,32.56%,33.22%,33.22%,33.21%,35.56%,35.20%,34.93%,34.45%,34.23%,34.99%,33.77%,34.00%,33.23%,38.46%,38.65%,39.91%,38.68%,39.95%,38.81%,33.93%,33.93%,36.19%,36.72%,36.39%,36.01%,34.75%,35.29%,38.14%,36.08%,69.29%,52.66%,50.41%,50.41%,48.40%,48.76%,47.08%,44.27%,40.19%,40.73%,41.40%,42.03%,40.93%,41.65%,40.37%,38.97%,31.38%,32.82%,34.91%,33.96%,42.42%,42.42%,41.32%,39.44%,39.60%,40.26%,38.69%,38.83%,39.25%,39.22%,38.30%,37.48%,25.13%,27.43%,32.80%,41.46%,36.92%,39.05%,37.23%,37.14%,37.14%,38.06%,37.54%,37.14%,36.50%,35.28%,35.75%,50.39%,39.38%,36.38%,34.22%,33.79%,33.79%,32.86%,33.28%,34.69%,32.76%,33.76%,36.35%,37.05%,34.86%,35.14%,34.74%,18.92%,27.17%,29.18%,29.18%,30.60%,29.68%,27.96%,26.30%,26.39%,28.94%,28.74%,27.41%,27.69%,26.80%,28.66%,29.14%,38.64%,29.30%,41.88%,37.66%,35.18%,35.71%,35.43%,35.73%,34.88%,32.48%,31.84%,31.84%,32.42%,32.24%,33.43%,33.58%
Chicago,41.43%,46.02%,46.02%,47.05%,45.79%,45.81%,44.40%,43.15%,42.92%,39.72%,39.24%,40.87%,39.93%,39.29%,39.83%,38.33%,37.90%,29.39%,34.38%,29.04%,32.05%,32.05%,38.64%,39.83%,39.72%,39.26%,36.46%,39.35%,40.69%,40.37%,39.36%,38.98%,50.77%,34.65%,34.46%,34.46%,32.62%,31.72%,31.90%,32.14%,34.12%,37.54%,36.18%,36.44%,35.48%,37.22%,37.97%,36.18%,38.58%,29.10%,30.83%,31.42%,32.48%,30.64%,30.64%,33.63%,36.66%,39.26%,39.44%,37.56%,39.43%,37.52%,35.60%,34.46%,29.28%,27.02%,28.51%,29.03%,28.65%,37.13%,37.09%,36.52%,36.52%,37.71%,36.07%,35.63%,36.76%,34.68%,34.82%,35.39%,18.09%,32.81%,22.22%,24.33%,24.93%,23.93%,26.10%,26.10%,24.81%,22.93%,25.96%,24.85%,26.97%,28.01%,28.50%,27.94%,27.94%,33.63%,33.90%,32.27%,29.26%,29.26%,28.87%,33.20%,35.67%,36.66%,37.75%,38.21%,36.97%,38.20%,38.97%,38.74%,37.93%,11.90%,9.69%,12.43%,23.18%,26.63%,27.56%,29.25%,29.25%,27.09%,27.27%,26.86%,26.80%,28.27%,28.02%,28.88%,29.10%,28.50%,29.69%,28.28%,29.18%,32.32%,30.66%,28.57%,28.57%,29.39%,28.34%,27.21%,26.72%,27.78%,28.39%,27.96%,17.70%,24.96%,27.24%,21.23%,22.60%,22.60%,23.72%,24.64%,27.60%,30.04%,30.52%,31.57%,32.38%,34.60%,34.10%,32.92%,18.53%,26.96%,23.15%,27.67%,25.97%,27.35%,30.00%,30.00%,33.45%,34.13%,35.90%,38.61%,39.79%,41.15%,40.07%,41.49%,53.61%,44.66%,38.31%,32.86%,32.01%,29.63%,30.46%,29.57%,29.57%,29.53%,30.19%,29.08%,28.05%,29.73%,28.82%,29.38%
Cincinnati,62.80%,60.00%,50.33%,42.17%,40.28%,40.28%,37.77%,35.50%,37.50%,38.83%,36.50%,36.48%,35.10%,37.38%,37.03%,37.14%,39.34%,50.00%,36.75%,47.70%,48.15%,48.15%,43.92%,43.14%,43.49%,42.55%,41.67%,43.28%,39.99%,41.20%,40.07%,39.17%,25.47%,25.41%,29.83%,34.06%,38.29%,36.90%,41.83%,38.87%,39.96%,39.96%,37.25%,37.62%,35.57%,35.80%,34.97%,33.80%,39.10%,28.81%,35.60%,41.77%,41.77%,41.81%,38.96%,38.09%,37.60%,35.87%,32.63%,32.24%,31.94%,31.36%,31.13%,31.85%,34.08%,38.36%,36.01%,37.72%,37.72%,37.08%,35.23%,36.06%,36.17%,35.23%,34.23%,33.14%,33.29%,33.47%,34.35%,34.46%,63.97%,62.17%,49.39%,49.77%,50.50%,48.38%,45.95%,43.45%,41.63%,41.63%,38.82%,38.28%,37.67%,36.15%,36.39%,37.89%,36.89%,24.83%,26.75%,26.98%,29.83%,30.16%,27.54%,25.78%,25.78%,25.77%,26.54%,27.15%,27.52%,27.88%,29.24%,28.36%,29.23%,31.38%,35.75%,34.81%,35.92%,34.95%,34.95%,34.71%,35.30%,35.67%,35.16%,34.66%,36.25%,35.96%,35.87%,35.02%,34.13%,29.12%,35.49%,31.85%,31.49%,31.69%,32.14%,32.14%,28.72%,28.05%,28.52%,28.48%,30.13%,31.41%,31.77%,31.73%,28.37%,29.00%,37.20%,36.53%,34.58%,34.41%,35.16%,35.16%,33.12%,33.87%,34.35%,35.01%,33.27%,32.18%,31.54%,31.68%,25.08%,20.80%,30.70%,29.64%,30.18%,31.90%,29.27%,30.15%,31.97%,32.76%,32.58%,32.58%,32.11%,30.62%,31.01%,32.08%,21.67%,26.09%,32.14%,32.14%,35.83%,35.46%,35.12%,35.25%,35.36%,36.49%,35.31%,34.74%,34.36%,34.49%,34.81%,33.91%
Cleveland,24.72%,61.75%,52.21%,46.16%,43.61%,42.38%,47.72%,44.64%,44.64%,40.75%,39.55%,40.92%,40.01%,39.67%,39.66%,42.52%,42.51%,34.65%,30.79%,30.41%,29.85%,32.72%,32.53%,30.97%,30.97%,32.16%,34.97%,37.31%,39.06%,40.62%,42.52%,43.90%,35.24%,30.28%,30.97%,30.97%,37.31%,38.35%,38.02%,39.14%,38.09%,38.53%,40.48%,39.56%,40.65%,42.41%,43.20%,43.44%,47.85%,39.16%,35.05%,42.97%,42.69%,42.69%,42.78%,43.02%,44.03%,43.96%,41.78%,39.75%,38.73%,40.87%,40.66%,40.82%,56.44%,38.28%,40.94%,37.43%,37.09%,36.20%,36.20%,34.00%,32.82%,33.56%,33.67%,33.01%,33.73%,33.50%,34.07%,35.20%,34.29%,36.98%,41.79%,40.26%,40.26%,42.15%,44.43%,42.06%,42.51%,39.03%,40.54%,39.47%,39.59%,41.32%,40.56%,42.27%,42.62%,72.58%,54.15%,44.67%,43.83%,44.82%,40.59%,41.12%,41.67%,41.67%,42.06%,38.53%,40.66%,38.52%,38.38%,38.01%,36.99%,41.32%,43.17%,38.13%,31.57%,34.97%,34.43%,31.31%,31.31%,30.57%,31.58%,32.35%,33.51%,33.98%,35.80%,36.73%,38.01%,47.28%,42.83%,40.72%,38.91%,38.91%,40.34%,41.07%,42.55%,46.56%,46.64%,45.55%,44.24%,46.60%,45.51%,43.56%,32.89%,27.68%,31.32%,29.08%,33.66%,30.87%,32.57%,33.55%,34.79%,34.79%,33.49%,32.69%,31.44%,33.19%,32.78%,32.22%,7.27%,20.84%,28.11%,27.10%,31.21%,31.41%,31.05%,32.34%,31.12%,31.12%,32.30%,31.93%,32.25%,30.59%,31.55%,33.04%,25.92%,33.44%,36.10%,36.10%,36.16%,36.56%,39.17%,36.26%,35.64%,36.47%,38.03%,36.63%,36.65%,35.91%,38.28%,39.28%
Dallas,30.82%,24.08%,24.08%,23.79%,23.42%,28.65%,31.27%,33.98%,34.84%,36.52%,35.14%,34.73%,34.94%,35.71%,37.08%,36.41%,35.23%,32.77%,44.08%,36.56%,36.56%,36.72%,37.70%,39.55%,36.49%,36.35%,35.50%,34.28%,34.30%,32.74%,32.57%,32.84%,35.40%,32.50%,32.23%,33.82%,32.17%,32.40%,31.35%,31.53%,31.53%,34.12%,33.42%,34.88%,35.77%,35.38%,36.62%,35.63%,25.41%,30.98%,30.98%,31.88%,25.86%,24.00%,28.42%,29.36%,30.66%,30.48%,29.99%,31.22%,31.28%,31.07%,31.30%,32.77%,28.31%,23.96%,25.72%,26.88%,28.24%,25.49%,29.41%,29.41%,28.28%,29.07%,27.11%,27.45%,28.16%,29.20%,30.17%,30.25%,44.39%,31.18%,28.88%,32.94%,31.13%,29.13%,33.62%,31.98%,35.60%,35.60%,35.97%,33.40%,32.62%,32.42%,32.45%,35.61%,36.23%,38.67%,30.90%,29.97%,30.98%,29.74%,29.74%,31.43%,30.69%,30.57%,31.19%,30.49%,31.35%,31.21%,30.43%,29.62%,29.24%,35.60%,22.76%,27.95%,27.95%,33.55%,35.82%,36.97%,37.23%,36.62%,34.46%,33.29%,31.84%,29.80%,30.70%,29.73%,29.96%,12.50%,21.02%,21.30%,21.17%,21.17%,22.63%,23.18%,28.59%,30.57%,32.34%,30.83%,30.29%,30.39%,29.39%,29.43%,30.48%,45.21%,45.20%,38.92%,38.92%,36.33%,35.92%,35.81%,34.24%,33.01%,33.52%,33.59%,34.60%,35.28%,33.86%,32.46%,10.46%,20.73%,19.45%,20.34%,20.23%,25.41%,25.90%,25.36%,27.19%,28.83%,28.83%,30.92%,30.05%,30.08%,30.41%,30.56%,39.24%,33.02%,30.53%,28.57%,32.99%,33.58%,32.99%,32.56%,32.30%,31.25%,31.25%,30.19%,32.84%,30.98%,30.66%,29.35%
Denver,17.35%,28.81%,26.64%,32.96%,36.47%,36.90%,34.07%,36.68%,33.41%,33.41%,33.71%,34.84%,35.75%,33.09%,33.38%,33.03%,36.21%,52.52%,47.37%,45.06%,43.91%,40.95%,38.84%,39.34%,39.87%,38.70%,38.70%,34.87%,32.53%,34.09%,34.01%,34.56%,35.45%,35.99%,32.90%,27.12%,27.36%,26.50%,27.13%,26.52%,26.52%,25.56%,24.69%,24.90%,26.51%,26.19%,26.27%,26.73%,39.06%,45.30%,33.13%,33.13%,34.59%,34.63%,33.21%,30.64%,28.43%,27.60%,28.57%,31.79%,32.37%,32.54%,32.63%,33.40%,60.87%,71.40%,65.27%,61.25%,56.30%,56.30%,51.69%,46.95%,45.32%,43.35%,41.93%,41.91%,42.36%,41.48%,41.68%,41.83%,48.86%,30.14%,25.14%,32.48%,34.50%,34.99%,39.17%,39.17%,37.29%,37.61%,37.02%,37.98%,37.90%,37.58%,37.52%,37.22%,39.00%,28.01%,27.61%,36.49%,32.22%,32.04%,30.35%,30.35%,32.30%,34.61%,36.12%,38.72%,37.29%,37.61%,36.94%,39.71%,38.57%,44.82%,38.09%,28.22%,31.29%,37.34%,37.83%,43.19%,43.07%,43.07%,38.38%,38.21%,37.21%,38.34%,39.85%,41.04%,39.77%,65.74%,39.05%,29.88%,27.20%,31.99%,31.99%,32.38%,32.04%,30.92%,32.59%,32.01%,33.93%,33.09%,34.77%,34.46%,26.41%,25.40%,29.55%,28.41%,35.86%,34.85%,34.85%,33.20%,32.03%,31.04%,29.99%,32.02%,31.29%,30.28%,29.63%,30.11%,14.76%,10.53%,11.70%,18.96%,16.71%,17.14%,19.43%,21.41%,21.41%,23.21%,24.93%,25.08%,26.07%,26.69%,28.36%,28.71%,13.24%,23.73%,26.96%,26.96%,25.45%,24.14%,23.46%,22.97%,22.00%,21.33%,23.20%,23.90%,24.04%,23.40%,23.14%,25.81%
