Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,46.15%,48.00%,44.44%,50.94%,47.83%,46.34%,46.34%,46.88%,45.28%,44.54%,45.86%,46.58%,46.20%,46.47%,46.07%,46.24%,46.23%,40.00%,47.83%,39.39%,31.11%,33.33%,33.33%,32.88%,33.71%,34.62%,34.19%,33.33%,33.33%,33.12%,33.33%,32.79%,36.36%,31.82%,37.14%,36.17%,36.21%,36.21%,34.67%,36.05%,35.79%,35.78%,35.54%,37.50%,36.55%,36.48%,36.21%,34.57%,11.11%,31.82%,37.14%,34.69%,34.92%,33.77%,40.21%,39.42%,39.42%,42.37%,41.54%,42.07%,41.77%,41.76%,42.31%,41.36%,25.00%,28.00%,44.19%,41.38%,40.85%,39.33%,38.61%,38.61%,41.80%,41.67%,43.15%,42.14%,41.76%,41.21%,41.36%,41.26%,37.50%,30.00%,35.48%,36.36%,39.62%,39.71%,39.71%,42.50%,41.94%,43.24%,40.83%,41.48%,44.00%,43.56%,45.51%,45.88%,44.44%,38.89%,38.24%,35.56%,35.56%,34.48%,28.99%,28.57%,32.00%,32.74%,33.59%,32.64%,33.12%,33.14%,34.55%,34.47%,35.00%,40.00%,51.35%,44.23%,45.16%,45.21%,45.21%,42.55%,41.51%,39.83%,39.85%,39.58%,40.76%,40.23%,38.62%,37.75%,38.29%,27.27%,32.14%,34.09%,36.84%,35.82%,35.82%,37.97%,37.78%,35.58%,33.61%,34.29%,33.33%,33.33%,31.87%,32.14%,31.25%,32.26%,33.33%,34.43%,33.33%,32.95%,30.61%,32.73%,33.60%,33.60%,34.75%,34.21%,34.34%,33.90%,33.85%,33.17%,36.36%,31.82%,40.00%,39.62%,40.00%,37.97%,40.66%,40.54%,40.54%,40.16%,37.59%,37.66%,37.06%,36.46%,37.44%,36.06%,40.00%,44.44%,45.00%,45.00%,44.64%,40.91%,39.74%,40.82%,39.45%,36.97%,36.57%,36.73%,37.42%,37.85%,36.98%,37.25%
Atlanta,38.46%,35.71%,34.15%,37.93%,36.11%,38.55%,42.42%,42.42%,40.00%,39.02%,38.41%,38.00%,37.80%,37.64%,38.42%,39.90%,39.81%,41.18%,41.94%,42.55%,40.00%,36.99%,34.52%,37.23%,36.79%,36.79%,35.04%,36.15%,36.30%,36.71%,35.76%,36.16%,25.00%,29.17%,34.21%,29.17%,29.31%,30.77%,30.77%,30.77%,27.59%,29.00%,28.70%,28.69%,29.20%,28.48%,27.71%,28.49%,16.67%,34.62%,34.21%,34.00%,34.00%,34.43%,38.89%,39.02%,40.43%,37.04%,38.71%,39.42%,39.74%,40.48%,41.67%,42.35%,33.33%,34.78%,33.33%,34.78%,37.29%,38.36%,37.65%,37.65%,35.71%,33.33%,33.06%,32.33%,32.41%,35.19%,36.46%,36.55%,22.22%,34.78%,39.02%,35.85%,39.39%,42.68%,42.68%,40.43%,37.86%,38.98%,40.77%,40.28%,39.10%,39.16%,37.78%,38.34%,37.98%,36.36%,47.83%,46.34%,46.34%,41.82%,45.07%,45.24%,46.88%,48.21%,48.80%,48.92%,47.02%,46.30%,47.70%,46.56%,45.23%,28.57%,18.18%,30.30%,35.56%,38.33%,40.54%,43.02%,43.02%,45.45%,46.36%,43.33%,42.75%,41.78%,40.25%,39.77%,40.43%,37.50%,40.74%,39.02%,42.31%,46.27%,49.37%,43.96%,43.96%,41.90%,40.68%,42.42%,41.38%,42.33%,42.05%,41.40%,68.75%,53.57%,51.28%,48.00%,42.37%,41.67%,41.67%,42.35%,41.05%,40.95%,37.19%,37.40%,38.62%,40.62%,40.59%,40.22%,46.15%,43.33%,47.62%,49.09%,50.00%,50.00%,45.78%,44.09%,45.79%,47.54%,45.86%,46.58%,45.96%,46.02%,46.24%,46.15%,61.54%,51.85%,42.50%,43.40%,47.06%,46.99%,45.74%,46.79%,46.79%,50.00%,47.48%,46.98%,45.51%,46.43%,46.93%,47.15%
Baltimore,46.67%,35.48%,36.96%,35.00%,35.00%,32.39%,34.88%,33.66%,32.17%,31.01%,29.86%,30.86%,30.51%,30.53%,30.43%,30.00%,29.36%,33.33%,28.57%,32.56%,37.29%,35.53%,35.53%,35.16%,33.33%,33.91%,35.11%,35.62%,35.58%,34.88%,33.70%,34.02%,25.00%,34.48%,34.48%,30.23%,36.84%,36.76%,33.75%,33.70%,36.89%,36.75%,35.61%,36.36%,36.81%,37.99%,36.46%,36.32%,25.00%,20.83%,28.95%,25.49%,30.16%,33.33%,33.33%,34.78%,32.35%,32.48%,31.25%,29.29%,29.41%,31.18%,29.28%,28.21%,23.08%,35.48%,34.88%,36.36%,34.33%,34.57%,32.98%,32.98%,34.23%,34.88%,34.72%,35.85%,34.50%,35.36%,37.00%,36.45%,15.38%,15.38%,19.23%,24.39%,29.63%,33.82%,34.57%,31.91%,30.19%,30.70%,33.06%,32.12%,30.26%,29.52%,31.15%,32.50%,33.49%,20.00%,34.62%,31.58%,33.33%,34.43%,34.67%,34.67%,32.95%,34.91%,34.43%,35.88%,36.05%,36.88%,36.16%,35.94%,36.10%,9.09%,13.79%,20.00%,23.53%,26.56%,26.92%,33.68%,33.68%,35.51%,39.37%,36.43%,36.54%,35.88%,36.17%,36.32%,37.74%,33.33%,38.46%,35.00%,32.73%,32.73%,33.80%,29.89%,28.57%,31.82%,31.75%,31.91%,30.72%,29.94%,28.73%,30.37%,26.67%,36.67%,40.00%,35.00%,36.99%,39.77%,41.75%,41.75%,40.34%,40.88%,39.61%,37.87%,37.91%,37.82%,37.32%,36.53%,53.33%,40.00%,35.71%,33.33%,30.26%,31.18%,34.29%,34.29%,33.33%,32.37%,32.89%,31.10%,32.77%,32.47%,32.37%,32.27%,28.57%,38.46%,40.54%,48.08%,47.76%,43.04%,40.43%,42.59%,42.62%,41.79%,41.79%,41.78%,44.59%,43.79%,42.25%,41.35%
Buffalo,40.00%,33.33%,36.84%,42.59%,41.43%,40.74%,36.84%,35.24%,35.24%,35.77%,34.59%,36.67%,35.98%,36.11%,37.56%,36.79%,38.22%,15.38%,35.71%,35.71%,38.46%,43.40%,43.08%,41.03%,38.30%,36.54%,37.19%,36.76%,36.55%,36.94%,35.29%,35.68%,30.00%,41.67%,47.22%,47.06%,45.00%,42.86%,45.68%,43.18%,43.18%,42.31%,43.48%,45.74%,44.97%,47.27%,47.49%,47.87%,38.46%,39.29%,37.50%,32.08%,35.82%,34.18%,37.23%,37.23%,38.18%,38.14%,38.93%,36.62%,36.13%,36.84%,35.83%,36.14%,30.77%,51.72%,48.72%,50.00%,52.31%,52.31%,48.75%,45.65%,46.15%,46.34%,48.51%,49.33%,49.10%,46.99%,45.69%,45.50%,18.75%,18.52%,17.95%,19.23%,28.36%,28.36%,33.33%,32.58%,34.00%,38.14%,36.64%,35.25%,36.36%,35.93%,35.96%,36.98%,36.14%,62.50%,43.75%,40.43%,43.75%,40.00%,36.84%,34.26%,36.36%,36.36%,39.86%,41.83%,41.57%,40.66%,40.50%,40.57%,41.05%,44.44%,50.00%,52.38%,50.88%,48.53%,48.53%,44.30%,41.49%,43.40%,40.80%,42.55%,45.00%,44.19%,42.86%,42.27%,42.65%,23.08%,44.00%,41.18%,41.30%,38.18%,39.39%,39.39%,37.50%,39.56%,42.72%,42.61%,42.86%,40.88%,42.38%,40.85%,71.43%,53.57%,46.15%,44.00%,47.54%,44.16%,47.25%,47.25%,46.08%,47.37%,45.97%,46.43%,44.00%,43.71%,43.82%,44.27%,55.00%,50.00%,46.00%,39.39%,39.76%,39.60%,37.72%,38.76%,37.32%,38.36%,37.06%,37.06%,38.83%,37.93%,38.99%,37.50%,41.67%,35.71%,36.59%,36.36%,31.82%,34.57%,34.02%,36.21%,36.21%,34.88%,35.51%,33.99%,33.33%,33.71%,33.33%,33.17%
Carolina,30.77%,38.71%,38.71%,32.56%,37.93%,35.71%,34.48%,32.32%,35.71%,34.65%,34.27%,33.33%,33.92%,33.88%,35.35%,34.93%,34.67%,62.50%,46.43%,46.43%,45.00%,44.00%,42.62%,44.00%,44.57%,45.19%,45.83%,46.04%,47.74%,47.27%,47.19%,47.40%,61.54%,44.44%,45.00%,46.30%,45.71%,42.35%,42.35%,41.84%,40.91%,41.46%,39.71%,39.60%,39.76%,41.53%,41.03%,40.67%,30.77%,21.43%,25.00%,27.45%,24.62%,26.25%,28.12%,30.00%,30.00%,29.27%,28.15%,28.00%,29.34%,28.65%,31.19%,31.13%,43.75%,43.33%,44.19%,42.86%,44.44%,43.53%,43.53%,44.33%,44.14%,42.52%,42.45%,44.59%,43.45%,44.32%,43.15%,42.99%,33.33%,37.04%,35.90%,30.77%,30.77%,33.33%,34.44%,36.63%,36.63%,33.05%,33.58%,34.69%,36.20%,36.72%,37.37%,38.83%,39.73%,38.46%,44.00%,42.11%,42.11%,38.30%,41.38%,37.50%,37.80%,39.36%,39.81%,40.65%,40.44%,39.33%,38.51%,36.84%,36.96%,35.71%,39.29%,35.56%,40.68%,36.49%,36.49%,35.63%,36.27%,37.93%,38.89%,37.23%,37.16%,37.97%,39.43%,38.42%,38.12%,41.67%,41.67%,34.21%,33.33%,43.08%,46.05%,45.45%,46.08%,46.08%,43.48%,44.44%,42.22%,41.89%,42.42%,41.38%,35.71%,44.44%,46.34%,44.44%,45.59%,45.59%,45.12%,43.33%,40.00%,38.14%,38.24%,37.50%,37.97%,37.35%,37.14%,36.32%,46.15%,44.44%,38.46%,38.46%,37.25%,38.46%,37.18%,35.87%,36.27%,33.91%,35.20%,34.04%,32.45%,34.36%,35.96%,35.20%,50.00%,44.44%,39.47%,49.02%,46.88%,50.00%,48.35%,47.06%,47.83%,46.15%,44.83%,44.83%,44.23%,43.53%,43.41%,42.27%
Chicago,50.00%,56.67%,56.67%,52.38%,49.09%,51.43%,51.25%,47.87%,45.63%,43.70%,42.22%,41.50%,40.62%,39.55%,40.41%,39.11%,39.07%,14.29%,33.33%,35.90%,33.96%,33.96%,33.80%,35.71%,33.00%,29.82%,28.24%,29.08%,27.27%,29.88%,29.61%,30.26%,37.50%,36.67%,29.55%,29.55%,31.58%,28.77%,30.00%,29.91%,31.97%,29.71%,29.03%,28.14%,28.42%,29.95%,30.52%,31.14%,9.09%,10.00%,20.00%,21.57%,20.97%,23.17%,23.17%,23.91%,26.61%,25.62%,26.81%,28.57%,28.07%,28.72%,29.13%,28.77%,47.06%,39.39%,36.96%,33.93%,35.71%,34.88%,37.00%,36.28%,36.28%,34.38%,34.72%,32.69%,33.33%,33.88%,34.01%,33.49%,45.45%,29.17%,32.50%,28.30%,26.87%,29.63%,30.11%,30.11%,31.82%,33.07%,34.75%,33.77%,33.33%,32.98%,33.66%,34.68%,34.91%,28.57%,38.46%,39.53%,40.00%,40.00%,40.28%,44.05%,40.00%,42.20%,42.28%,42.75%,45.51%,42.94%,42.62%,41.92%,41.51%,28.57%,37.04%,37.84%,34.69%,29.85%,31.76%,29.59%,29.59%,34.21%,32.52%,30.60%,30.61%,31.68%,35.00%,34.55%,35.61%,30.77%,40.00%,39.53%,34.55%,36.36%,37.04%,35.79%,35.79%,38.53%,36.51%,37.23%,35.53%,35.47%,34.92%,35.12%,20.00%,25.00%,24.32%,26.09%,28.81%,28.81%,29.17%,34.07%,33.01%,31.62%,31.78%,32.41%,34.38%,35.06%,35.60%,34.47%,63.64%,51.85%,44.74%,39.58%,39.06%,42.67%,44.32%,44.32%,41.24%,41.28%,41.73%,41.61%,39.61%,40.24%,39.88%,40.66%,33.33%,44.00%,42.50%,43.75%,43.33%,41.10%,40.48%,43.16%,43.16%,43.52%,41.18%,41.18%,41.22%,41.98%,41.62%,41.40%
Cincinnati,42.86%,33.33%,40.00%,41.18%,36.36%,36.36%,33.77%,37.36%,39.25%,38.14%,35.66%,35.00%,38.22%,38.24%,39.66%,41.54%,41.26%,66.67%,39.29%,39.02%,41.18%,41.18%,41.54%,41.25%,38.71%,37.50%,35.83%,36.96%,36.67%,37.42%,37.57%,36.56%,38.46%,45.45%,35.14%,35.42%,32.20%,35.21%,35.37%,38.04%,37.74%,37.74%,40.00%,41.04%,41.50%,41.51%,42.26%,42.46%,33.33%,28.00%,34.15%,37.04%,37.04%,37.14%,34.57%,37.23%,37.61%,40.65%,41.48%,40.82%,39.88%,40.68%,41.18%,41.00%,15.38%,34.62%,36.84%,42.00%,42.00%,42.42%,38.96%,43.18%,45.54%,44.14%,42.62%,40.91%,41.78%,40.25%,41.95%,43.09%,52.94%,43.33%,42.86%,41.82%,45.71%,46.43%,46.88%,50.46%,49.18%,49.18%,45.00%,44.81%,45.03%,45.25%,44.04%,43.41%,42.66%,25.00%,36.00%,40.54%,37.50%,35.82%,38.27%,39.56%,39.56%,36.63%,34.48%,34.65%,34.04%,32.89%,34.94%,35.59%,36.46%,69.23%,46.43%,38.46%,39.62%,40.62%,40.62%,42.86%,41.30%,41.51%,40.83%,41.54%,39.86%,38.41%,39.16%,38.51%,39.04%,26.67%,33.33%,33.33%,32.14%,33.33%,35.71%,35.71%,35.35%,35.40%,36.00%,35.97%,36.36%,35.37%,37.22%,35.75%,33.33%,41.67%,36.11%,31.91%,31.67%,33.77%,38.71%,38.71%,42.06%,41.32%,38.64%,37.50%,37.18%,39.43%,38.50%,36.82%,42.86%,34.62%,33.33%,38.60%,33.33%,36.05%,41.90%,41.67%,39.55%,37.33%,35.71%,35.71%,36.46%,35.60%,34.83%,33.33%,47.06%,37.93%,31.71%,31.71%,33.33%,36.49%,36.78%,37.00%,36.61%,37.50%,39.72%,38.71%,37.35%,38.46%,36.98%,37.25%
Cleveland,58.33%,40.74%,38.10%,43.86%,38.24%,36.25%,33.70%,33.02%,33.02%,38.52%,37.88%,35.62%,38.65%,38.20%,39.38%,38.94%,39.19%,26.67%,28.57%,33.33%,28.00%,32.81%,28.57%,27.59%,27.59%,30.39%,32.48%,30.53%,33.10%,35.03%,36.05%,36.22%,25.00%,54.55%,50.00%,50.00%,46.67%,45.00%,43.24%,42.22%,40.95%,41.53%,39.23%,40.28%,40.13%,40.83%,41.08%,42.13%,50.00%,51.52%,48.00%,45.16%,38.36%,38.36%,39.78%,39.62%,38.79%,38.35%,39.31%,40.25%,42.44%,44.15%,44.34%,44.55%,41.18%,42.86%,43.18%,44.83%,40.00%,41.67%,41.67%,43.30%,44.14%,44.88%,42.45%,40.94%,40.37%,38.73%,37.04%,37.31%,72.73%,47.83%,41.18%,38.30%,38.30%,41.07%,38.81%,42.53%,42.72%,43.86%,43.20%,41.13%,41.72%,42.68%,44.75%,45.13%,45.89%,42.86%,48.28%,45.00%,39.66%,38.67%,38.37%,40.21%,39.82%,39.82%,38.58%,39.42%,40.26%,40.85%,39.33%,38.74%,37.75%,41.18%,37.50%,40.91%,41.82%,41.43%,42.86%,41.41%,41.41%,40.00%,41.98%,41.55%,42.04%,40.94%,40.54%,40.91%,41.71%,41.18%,35.48%,34.09%,33.93%,33.93%,37.50%,34.52%,35.35%,38.94%,38.40%,39.29%,39.61%,40.46%,39.78%,40.61%,42.11%,38.71%,35.56%,35.00%,38.03%,37.65%,38.00%,37.93%,37.69%,37.69%,36.81%,35.29%,37.28%,35.56%,36.41%,38.10%,50.00%,50.00%,48.98%,44.44%,41.77%,44.09%,45.28%,46.40%,46.10%,46.10%,42.58%,41.42%,41.62%,41.50%,42.99%,44.83%,33.33%,44.00%,40.54%,40.54%,45.10%,43.28%,40.96%,39.22%,38.60%,35.88%,36.24%,38.18%,36.11%,35.71%,36.67%,38.05%
Dallas,36.36%,42.86%,42.86%,42.50%,38.46%,37.31%,36.59%,35.71%,33.03%,31.20%,32.17%,30.52%,31.14%,31.28%,30.57%,30.00%,30.40%,62.50%,35.00%,39.47%,39.47%,39.22%,37.29%,43.06%,41.98%,42.86%,43.64%,43.09%,40.15%,40.94%,40.00%,38.82%,50.00%,41.94%,44.19%,39.62%,35.38%,31.58%,30.34%,32.08%,32.08%,33.33%,33.08%,32.87%,32.28%,34.12%,34.81%,34.90%,38.46%,25.93%,25.93%,33.33%,29.41%,28.12%,33.75%,33.71%,34.31%,35.90%,37.69%,38.57%,39.47%,41.32%,41.90%,43.08%,50.00%,50.00%,47.37%,42.00%,38.10%,43.75%,40.22%,40.22%,40.19%,41.32%,41.04%,38.51%,38.75%,39.66%,38.95%,37.81%,33.33%,38.10%,34.29%,36.00%,37.50%,38.16%,38.89%,38.32%,40.83%,40.83%,40.30%,38.89%,37.34%,35.63%,34.76%,34.65%,35.65%,38.46%,39.29%,33.33%,30.43%,30.16%,30.16%,33.33%,34.83%,34.65%,36.21%,37.40%,36.55%,36.77%,37.13%,36.21%,35.64%,23.08%,16.67%,24.24%,24.24%,26.67%,31.58%,32.86%,35.37%,40.21%,40.18%,42.31%,42.36%,43.23%,42.77%,42.37%,40.96%,42.86%,46.67%,40.48%,38.18%,38.18%,42.65%,41.98%,44.09%,41.75%,40.91%,40.80%,39.42%,38.67%,39.02%,39.20%,33.33%,34.62%,29.27%,35.85%,35.85%,39.68%,36.99%,34.09%,36.27%,33.93%,34.65%,35.97%,37.58%,37.50%,37.79%,39.79%,54.55%,41.67%,29.73%,32.65%,40.32%,42.31%,38.54%,37.38%,37.50%,40.91%,40.91%,39.58%,40.76%,42.86%,43.65%,43.65%,58.33%,40.91%,48.57%,46.67%,43.10%,42.25%,41.67%,41.84%,44.25%,42.52%,42.52%,45.45%,46.20%,44.64%,44.69%,44.27%
Denver,25.00%,17.39%,21.05%,28.30%,27.27%,27.16%,27.17%,28.44%,28.10%,28.10%,27.48%,27.03%,26.71%,29.31%,28.65%,28.35%,29.47%,30.77%,21.74%,28.95%,30.61%,32.79%,30.67%,29.55%,31.68%,31.90%,31.90%,33.08%,32.41%,32.72%,32.77%,33.16%,53.33%,44.44%,38.10%,37.25%,37.88%,37.80%,39.13%,37.14%,37.14%,35.83%,35.66%,36.55%,37.66%,38.32%,37.99%,38.34%,20.00%,28.57%,27.27%,27.27%,30.51%,30.56%,27.71%,31.91%,31.78%,31.71%,34.81%,35.17%,33.54%,35.63%,35.48%,35.82%,27.27%,33.33%,39.53%,43.40%,46.03%,46.03%,49.33%,48.24%,47.00%,45.69%,46.15%,44.14%,43.75%,41.04%,41.85%,42.21%,16.67%,36.36%,44.44%,42.86%,42.19%,42.11%,41.57%,41.57%,39.81%,40.17%,42.96%,44.59%,43.40%,43.27%,43.09%,42.93%,44.06%,33.33%,27.59%,28.21%,26.42%,28.36%,26.92%,26.92%,33.33%,36.11%,37.90%,37.96%,36.91%,36.75%,38.46%,37.95%,37.50%,30.00%,47.62%,45.71%,40.43%,43.33%,42.47%,43.02%,42.42%,42.42%,41.96%,42.86%,42.25%,42.31%,40.70%,39.34%,38.22%,35.71%,24.00%,35.00%,43.40%,44.93%,44.93%,40.96%,40.00%,39.25%,37.29%,35.61%,35.57%,35.98%,34.08%,34.55%,57.89%,50.00%,50.00%,41.38%,46.67%,45.56%,45.56%,41.18%,40.52%,36.72%,34.72%,33.54%,32.94%,32.58%,31.05%,30.69%,36.36%,27.27%,31.11%,36.07%,38.81%,38.27%,36.73%,37.50%,37.50%,38.28%,37.59%,38.06%,38.10%,37.29%,38.10%,38.05%,30.77%,51.72%,47.83%,47.83%,40.32%,39.47%,37.08%,37.37%,37.39%,36.09%,36.00%,36.71%,35.33%,37.16%,37.76%,36.71%
