Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,43.17%,43.65%,44.05%,50.72%,52.73%,53.03%,53.03%,51.89%,50.64%,49.88%,51.48%,51.16%,51.81%,51.94%,50.86%,50.44%,50.57%,56.39%,57.58%,52.49%,50.13%,49.83%,49.83%,47.12%,47.13%,48.00%,48.86%,48.35%,49.12%,49.24%,49.48%,48.62%,40.42%,44.25%,48.10%,45.33%,44.86%,44.86%,46.69%,47.83%,47.70%,48.78%,48.61%,48.99%,48.42%,48.96%,49.32%,48.38%,41.61%,47.38%,48.31%,49.33%,49.31%,46.72%,48.86%,49.76%,49.76%,50.21%,50.07%,51.05%,50.73%,50.08%,50.53%,49.64%,42.44%,44.47%,50.60%,51.37%,50.81%,50.99%,49.73%,49.73%,52.49%,51.39%,51.66%,51.32%,51.21%,51.03%,51.18%,50.92%,38.19%,42.51%,46.72%,47.12%,45.61%,46.97%,46.97%,46.78%,45.38%,45.60%,45.36%,45.87%,47.54%,47.66%,48.37%,49.43%,49.70%,52.69%,50.22%,51.09%,51.09%,52.24%,47.52%,48.00%,49.00%,48.44%,48.34%,48.23%,48.56%,48.86%,49.81%,49.86%,49.40%,54.75%,60.06%,58.35%,58.33%,56.67%,56.67%,57.58%,56.62%,56.65%,56.85%,55.77%,56.62%,56.59%,56.04%,56.43%,56.90%,54.64%,59.40%,55.26%,53.12%,52.16%,52.16%,53.40%,52.85%,53.53%,52.83%,54.92%,53.87%,54.06%,53.87%,53.48%,55.94%,54.37%,50.39%,51.53%,49.77%,49.39%,48.27%,48.75%,49.54%,49.54%,50.03%,49.75%,50.90%,51.40%,51.45%,51.14%,47.64%,47.72%,51.55%,52.86%,52.64%,53.40%,52.36%,52.97%,52.97%,52.43%,51.20%,50.06%,49.98%,49.32%,49.69%,48.89%,46.97%,50.56%,51.67%,51.67%,53.45%,51.32%,49.17%,49.57%,49.32%,48.77%,48.78%,49.71%,50.72%,50.66%,50.09%,50.42%
Atlanta,45.00%,51.42%,53.76%,53.91%,54.28%,55.61%,56.75%,56.75%,55.65%,54.99%,55.77%,55.69%,55.28%,54.51%,54.60%,54.32%,53.91%,55.75%,53.00%,54.56%,52.45%,52.93%,54.35%,55.85%,54.97%,54.97%,54.33%,53.61%,53.59%,53.22%,52.13%,51.83%,43.58%,52.28%,51.97%,50.39%,51.12%,51.88%,50.81%,50.81%,49.41%,50.02%,49.01%,48.45%,48.90%,49.07%,49.03%,49.24%,39.22%,41.15%,45.58%,46.09%,46.09%,48.31%,48.83%,47.30%,48.25%,48.75%,49.99%,49.34%,49.62%,49.59%,50.02%,51.32%,44.97%,51.03%,51.12%,49.09%,49.21%,52.02%,50.43%,50.43%,50.23%,49.90%,49.48%,49.44%,49.36%,50.10%,51.64%,51.72%,51.47%,51.04%,50.60%,51.39%,51.54%,51.05%,51.05%,51.46%,48.10%,48.09%,47.66%,48.06%,47.53%,47.35%,47.57%,48.05%,48.72%,48.53%,47.99%,54.11%,54.11%,50.38%,51.61%,51.02%,51.65%,52.18%,51.59%,51.13%,50.79%,50.61%,51.43%,51.37%,50.79%,53.19%,43.92%,41.92%,44.22%,45.34%,47.25%,47.73%,47.73%,47.16%,46.52%,45.88%,46.00%,46.61%,46.25%,45.88%,46.88%,55.53%,52.81%,55.13%,49.61%,50.75%,50.47%,49.22%,49.22%,47.70%,47.17%,46.29%,45.92%,46.97%,47.11%,46.30%,53.19%,49.38%,46.12%,47.13%,45.37%,47.93%,47.93%,47.53%,47.27%,47.10%,46.94%,47.31%,48.06%,48.95%,47.96%,48.22%,58.64%,54.08%,48.75%,49.33%,47.65%,47.65%,50.21%,49.15%,50.60%,51.55%,51.93%,51.19%,50.27%,50.70%,50.19%,50.13%,50.39%,52.68%,50.31%,51.43%,51.71%,53.16%,53.47%,53.23%,53.23%,52.91%,52.29%,52.17%,51.01%,51.32%,51.31%,50.99%
Baltimore,54.44%,51.61%,53.96%,52.45%,52.45%,51.06%,51.14%,50.62%,51.56%,50.03%,50.09%,50.22%,50.57%,50.15%,50.14%,49.84%,49.77%,48.36%,46.57%,49.49%,53.67%,52.24%,52.24%,52.11%,50.89%,51.23%,51.17%,51.69%,52.43%,52.41%,50.99%,50.75%,45.25%,50.21%,50.21%,45.69%,46.86%,45.13%,46.39%,46.65%,47.79%,48.86%,48.67%,48.83%,49.45%,49.74%,49.58%,49.26%,40.31%,43.47%,44.62%,47.51%,47.46%,48.94%,48.94%,47.48%,46.26%,46.81%,46.01%,45.65%,45.90%,45.77%,46.05%,45.71%,46.08%,47.14%,43.81%,43.49%,42.12%,43.19%,44.50%,44.50%,46.49%,47.94%,48.46%,48.89%,48.58%,48.28%,48.87%,49.23%,39.58%,39.58%,38.29%,40.96%,41.36%,43.78%,44.34%,43.64%,43.65%,43.22%,44.04%,44.08%,43.32%,43.73%,44.37%,44.47%,44.60%,33.64%,42.92%,44.56%,47.97%,49.82%,51.17%,51.17%,50.14%,52.20%,51.68%,51.08%,51.19%,51.84%,51.73%,51.33%,50.96%,35.78%,46.44%,47.56%,47.95%,46.27%,46.20%,48.57%,48.57%,47.00%,48.29%,47.70%,47.76%,48.52%,48.84%,48.74%,48.63%,45.81%,52.79%,51.20%,47.79%,47.79%,47.50%,49.65%,49.77%,48.97%,50.02%,50.49%,50.28%,49.20%,48.48%,49.09%,54.06%,55.65%,54.35%,51.99%,52.98%,55.28%,56.49%,56.49%,55.36%,55.39%,55.33%,54.70%,54.91%,54.82%,55.50%,54.09%,43.67%,46.35%,47.90%,51.10%,48.79%,49.38%,49.71%,49.71%,49.92%,50.48%,49.93%,49.32%,49.38%,49.15%,49.50%,49.75%,50.83%,46.14%,46.92%,47.52%,50.92%,50.15%,49.36%,49.59%,49.90%,49.78%,49.78%,49.77%,49.76%,49.74%,49.96%,50.51%
Buffalo,43.61%,45.83%,53.24%,54.01%,54.21%,52.92%,50.85%,50.15%,50.15%,50.65%,50.26%,50.54%,49.23%,49.12%,49.99%,50.29%,50.60%,43.53%,46.50%,46.50%,46.95%,49.24%,48.72%,48.69%,49.29%,47.82%,50.17%,51.05%,49.98%,50.03%,49.14%,49.33%,36.25%,50.49%,49.87%,52.54%,50.30%,47.87%,48.85%,47.05%,47.05%,48.25%,49.68%,50.57%,50.35%,51.86%,52.29%,52.11%,54.86%,51.61%,49.29%,46.99%,50.09%,50.55%,50.87%,50.87%,51.66%,52.18%,52.37%,52.48%,52.88%,52.93%,52.53%,52.72%,55.33%,57.21%,57.20%,54.46%,52.73%,52.73%,51.88%,51.01%,49.69%,51.02%,51.74%,51.46%,51.75%,51.55%,51.65%,52.00%,47.81%,47.88%,46.11%,46.47%,49.27%,49.27%,47.87%,48.46%,48.64%,50.21%,49.65%,48.83%,48.86%,49.91%,49.27%,49.67%,49.90%,61.89%,56.32%,56.19%,57.63%,55.58%,53.77%,54.35%,55.70%,55.70%,55.32%,55.85%,55.59%,55.84%,55.32%,54.52%,54.71%,61.47%,56.51%,55.56%,58.54%,58.28%,58.28%,54.77%,53.67%,53.47%,53.53%,53.53%,54.20%,54.40%,53.27%,53.20%,53.26%,38.28%,43.49%,46.35%,47.83%,47.05%,47.76%,47.76%,46.92%,48.95%,49.90%,50.10%,49.15%,48.98%,49.77%,49.64%,52.17%,51.62%,49.45%,49.92%,52.03%,52.11%,51.73%,51.73%,52.36%,51.39%,50.41%,50.62%,49.85%,49.78%,49.67%,49.73%,62.86%,59.50%,58.68%,53.83%,53.86%,54.90%,54.15%,54.16%,53.65%,54.16%,53.22%,53.22%,53.77%,53.72%,53.14%,52.21%,55.06%,53.60%,53.27%,52.84%,51.50%,51.34%,51.72%,51.98%,51.98%,51.63%,51.86%,51.56%,51.30%,50.75%,50.35%,50.74%
Carolina,55.64%,53.43%,53.43%,50.83%,49.36%,48.75%,49.92%,49.65%,49.75%,49.81%,49.11%,49.80%,49.80%,50.18%,51.11%,50.12%,49.64%,63.44%,52.35%,52.35%,52.86%,53.46%,49.93%,49.70%,51.08%,51.06%,52.18%,52.59%,52.91%,51.03%,50.23%,50.37%,54.33%,50.51%,49.11%,48.85%,50.48%,50.97%,50.97%,49.44%,49.80%,49.60%,49.75%,48.91%,48.67%,49.04%,48.53%,49.14%,60.78%,57.06%,52.27%,51.56%,51.66%,50.32%,51.36%,52.91%,52.91%,51.98%,50.33%,50.18%,50.50%,50.52%,51.34%,49.94%,43.14%,50.57%,49.94%,51.90%,53.26%,52.41%,52.41%,50.62%,51.17%,51.35%,51.41%,52.70%,51.32%,52.37%,51.56%,52.45%,46.61%,46.85%,50.29%,49.28%,46.46%,48.35%,47.87%,48.68%,48.68%,50.13%,50.83%,50.58%,51.62%,51.56%,51.35%,51.88%,51.04%,52.69%,52.62%,55.68%,55.68%,53.72%,52.19%,50.53%,49.75%,49.27%,49.70%,49.82%,50.34%,50.46%,50.97%,49.95%,49.70%,57.75%,54.56%,56.57%,58.42%,56.84%,56.84%,54.01%,54.98%,55.33%,54.98%,55.24%,55.03%,54.54%,54.81%,53.64%,54.00%,45.36%,45.54%,47.27%,46.50%,48.76%,49.12%,47.94%,48.63%,48.63%,49.26%,49.86%,48.92%,48.63%,48.83%,48.61%,62.42%,56.54%,57.79%,55.80%,56.56%,56.56%,56.47%,53.97%,54.58%,53.78%,53.10%,52.03%,52.86%,51.90%,50.87%,50.71%,50.39%,47.12%,44.31%,44.31%,45.29%,44.08%,44.14%,43.90%,43.32%,43.69%,44.44%,44.92%,44.73%,44.82%,44.83%,46.15%,41.33%,46.24%,50.07%,50.22%,51.20%,50.08%,50.02%,49.81%,50.78%,49.35%,49.71%,49.71%,48.93%,48.24%,47.47%,46.74%
Chicago,63.36%,63.93%,63.93%,57.91%,55.33%,54.12%,52.27%,51.92%,50.48%,50.43%,50.76%,50.28%,49.51%,50.24%,51.08%,50.13%,50.58%,49.50%,51.83%,50.10%,53.14%,53.14%,53.85%,53.81%,52.54%,52.21%,51.89%,52.63%,53.24%,52.84%,53.35%,53.30%,57.08%,50.88%,51.21%,51.21%,50.40%,51.11%,50.47%,50.84%,51.51%,51.54%,51.27%,51.15%,51.72%,52.52%,52.46%,52.63%,43.19%,44.10%,46.98%,45.43%,43.84%,47.56%,47.56%,46.23%,46.68%,46.53%,47.20%,47.30%,48.82%,49.34%,48.73%,48.29%,61.75%,54.86%,56.21%,54.50%,53.77%,53.50%,53.13%,53.76%,53.76%,53.04%,52.92%,53.24%,53.06%,52.65%,53.15%,52.54%,47.11%,50.01%,46.56%,48.22%,45.82%,46.75%,48.43%,48.43%,49.08%,49.78%,51.05%,50.92%,51.36%,51.52%,52.19%,52.68%,53.30%,44.92%,47.82%,48.32%,51.45%,51.45%,49.86%,51.65%,49.65%,50.38%,50.62%,50.72%,52.31%,52.39%,52.36%,52.47%,52.82%,42.17%,49.14%,52.66%,53.42%,52.63%,53.41%,52.73%,52.73%,52.14%,51.04%,49.62%,49.96%,49.50%,50.78%,50.55%,50.94%,44.47%,52.43%,55.78%,55.78%,51.61%,51.16%,50.23%,50.23%,49.48%,49.71%,49.21%,49.29%,49.72%,49.80%,50.00%,40.89%,47.26%,45.99%,46.65%,45.32%,45.32%,44.82%,47.14%,46.04%,46.69%,46.97%,46.11%,46.04%,46.12%,46.80%,47.23%,47.50%,48.28%,47.96%,49.23%,51.38%,50.34%,51.23%,51.23%,50.42%,50.08%,50.57%,49.59%,49.91%,49.06%,48.55%,48.69%,44.94%,50.68%,51.49%,48.47%,47.75%,46.41%,48.68%,49.41%,49.41%,49.42%,48.04%,48.24%,48.86%,49.27%,49.74%,49.97%
Cincinnati,53.83%,44.08%,50.00%,50.09%,49.07%,49.07%,48.97%,48.54%,49.73%,47.68%,47.44%,46.42%,47.16%,47.76%,47.54%,48.29%,48.51%,51.31%,49.44%,47.85%,49.17%,49.17%,51.44%,51.89%,53.19%,52.10%,51.35%,52.70%,52.24%,51.87%,51.31%,51.10%,42.97%,39.26%,42.21%,42.26%,43.61%,44.94%,46.96%,47.31%,46.97%,46.97%,47.61%,47.80%,48.44%,48.66%,48.02%,48.17%,53.25%,48.22%,50.95%,52.35%,52.35%,53.59%,51.73%,53.18%,54.33%,53.60%,53.84%,52.30%,52.22%,51.31%,51.59%,51.46%,53.92%,50.85%,48.69%,52.10%,52.10%,53.41%,51.75%,52.15%,53.07%,51.67%,51.10%,49.71%,50.31%,49.84%,50.57%,50.87%,60.42%,57.35%,53.91%,54.61%,54.27%,55.03%,54.45%,54.98%,54.36%,54.36%,53.40%,53.90%,54.82%,54.08%,53.65%,53.21%,52.21%,44.25%,43.96%,48.58%,50.10%,48.64%,50.61%,49.00%,49.00%,47.05%,47.53%,46.38%,45.47%,44.62%,45.33%,45.45%,45.32%,46.94%,44.92%,43.07%,45.12%,46.24%,46.24%,46.76%,48.06%,48.78%,48.14%,47.97%,48.68%,48.44%,49.14%,48.24%,48.34%,49.36%,49.89%,52.89%,51.60%,50.43%,49.36%,49.36%,49.11%,48.61%,49.48%,49.06%,48.90%,49.38%,49.65%,49.66%,45.94%,45.57%,48.44%,48.28%,48.23%,48.51%,50.51%,50.51%,50.57%,50.46%,49.52%,49.45%,49.04%,49.13%,48.28%,48.59%,52.50%,46.61%,48.77%,49.56%,48.22%,46.83%,48.36%,49.25%,48.31%,47.99%,48.53%,48.53%,48.70%,47.81%,48.15%,47.22%,49.17%,47.10%,48.77%,48.77%,52.80%,53.32%,55.46%,54.51%,53.37%,54.08%,53.80%,52.06%,51.81%,52.02%,50.82%,50.58%
Cleveland,45.61%,48.42%,49.64%,49.64%,47.22%,47.23%,47.35%,48.33%,48.33%,49.11%,47.61%,47.44%,48.85%,49.59%,50.86%,51.10%,50.91%,51.64%,55.93%,55.08%,53.78%,54.93%,52.36%,51.46%,51.46%,50.83%,51.85%,52.15%,52.17%,53.26%,53.90%,54.08%,57.03%,57.83%,56.13%,56.13%,55.11%,56.45%,57.40%,56.56%,55.24%,55.84%,54.35%,54.30%,53.90%,53.50%,53.68%,53.62%,54.61%,55.71%,54.83%,50.67%,50.12%,50.12%,52.11%,50.58%,49.90%,49.61%,49.28%,50.53%,50.59%,51.67%,51.57%,52.28%,60.44%,56.33%,57.71%,57.65%,56.94%,55.68%,55.68%,54.88%,54.30%,55.35%,54.50%,53.28%,53.01%,53.04%,52.61%,52.09%,62.47%,56.00%,58.33%,54.57%,54.57%,52.85%,52.06%,52.98%,53.39%,52.61%,52.88%,53.74%,53.12%,53.37%,54.07%,53.99%,54.09%,55.61%,55.08%,54.11%,51.92%,52.06%,53.59%,54.48%,55.47%,55.47%,55.15%,53.84%,54.73%,54.25%,54.02%,53.20%,52.95%,53.92%,54.64%,53.17%,52.06%,51.68%,51.94%,52.98%,52.98%,50.92%,52.31%,52.32%,51.85%,51.78%,52.43%,53.21%,53.20%,50.64%,46.51%,52.04%,48.66%,48.66%,50.49%,46.81%,47.96%,49.31%,48.93%,49.18%,49.49%,50.59%,50.25%,50.34%,59.94%,57.38%,56.55%,56.18%,56.74%,55.63%,56.10%,55.52%,55.19%,55.19%,54.82%,53.85%,53.18%,52.49%,53.06%,53.26%,54.64%,52.81%,52.50%,51.40%,50.32%,51.24%,51.85%,52.89%,52.41%,52.41%,51.77%,52.16%,52.06%,51.69%,52.14%,52.30%,54.08%,53.57%,52.89%,52.89%,52.47%,53.00%,52.93%,53.67%,53.32%,51.88%,52.34%,52.03%,51.99%,51.59%,52.53%,53.26%
Dallas,55.00%,49.29%,49.29%,48.08%,45.87%,46.01%,44.63%,46.52%,46.07%,45.99%,46.26%,46.00%,46.86%,46.67%,46.07%,46.06%,46.10%,50.44%,45.11%,49.60%,49.60%,50.62%,51.41%,52.09%,49.72%,50.44%,50.42%,49.74%,48.91%,49.18%,49.45%,49.55%,48.08%,47.28%,47.03%,47.45%,44.39%,43.38%,43.35%,43.59%,43.59%,45.37%,44.82%,44.31%,45.00%,45.15%,45.68%,45.45%,57.00%,51.90%,51.90%,49.84%,46.97%,45.83%,47.22%,45.65%,45.89%,45.93%,45.72%,45.00%,45.88%,47.12%,46.93%,47.92%,53.42%,47.50%,45.36%,45.35%,47.12%,49.89%,48.34%,48.34%,48.06%,49.17%,49.21%,48.09%,48.13%,48.59%,49.16%,48.21%,37.53%,44.21%,44.92%,49.58%,49.08%,48.61%,49.43%,49.84%,50.64%,50.64%,50.37%,49.62%,49.58%,49.55%,49.65%,49.95%,50.05%,55.89%,56.96%,50.71%,49.24%,49.63%,49.63%,50.00%,48.87%,48.65%,49.91%,49.68%,49.52%,48.33%,48.47%,47.82%,47.40%,43.25%,43.57%,44.42%,44.42%,43.01%,43.68%,46.82%,47.89%,49.81%,51.28%,51.14%,50.33%,49.59%,49.34%,48.75%,47.94%,43.53%,45.65%,46.21%,44.39%,44.39%,44.57%,44.38%,48.08%,48.43%,47.77%,47.60%,48.04%,47.69%,48.42%,47.59%,43.14%,50.44%,48.59%,49.29%,49.29%,46.08%,45.73%,45.79%,46.89%,47.61%,47.70%,48.17%,47.86%,48.00%,47.70%,48.85%,38.06%,42.54%,43.10%,46.51%,48.07%,49.65%,48.22%,49.52%,49.84%,51.45%,51.45%,51.41%,50.97%,51.76%,51.44%,51.76%,47.67%,39.51%,44.58%,43.96%,44.85%,43.58%,43.59%,45.00%,45.83%,45.99%,45.99%,47.13%,47.43%,47.31%,46.08%,45.73%
Denver,46.17%,45.40%,43.98%,44.10%,43.91%,46.66%,46.64%,47.37%,47.40%,47.40%,45.30%,46.14%,45.40%,45.55%,44.62%,43.32%,43.65%,47.33%,42.72%,45.56%,45.50%,45.35%,44.19%,44.43%,45.27%,45.41%,45.41%,45.80%,46.08%,46.62%,46.40%,47.04%,53.83%,49.35%,49.49%,46.25%,48.27%,47.93%,47.27%,46.15%,46.15%,46.43%,44.71%,46.18%,46.84%,46.84%,46.50%,45.79%,54.69%,53.00%,51.03%,51.03%,51.45%,51.69%,49.40%,49.23%,50.28%,50.20%,50.04%,50.80%,50.81%,50.84%,50.32%,50.32%,44.67%,45.88%,52.08%,51.90%,52.48%,52.48%,52.50%,52.25%,51.65%,51.56%,52.33%,51.53%,52.00%,51.28%,51.24%,51.90%,50.28%,46.81%,49.43%,50.98%,51.04%,51.87%,52.54%,52.54%,53.58%,53.58%,53.84%,53.81%,53.22%,52.12%,52.07%,51.58%,52.12%,55.75%,50.60%,46.93%,48.99%,48.65%,48.68%,48.68%,49.73%,50.40%,51.41%,52.58%,51.51%,50.56%,50.34%,50.48%,50.53%,49.17%,43.38%,45.66%,44.53%,47.72%,48.00%,50.34%,51.04%,51.04%,51.27%,51.86%,52.34%,53.15%,52.95%,53.21%,52.79%,54.31%,51.94%,51.80%,52.60%,55.46%,55.46%,54.39%,53.66%,52.82%,51.83%,52.02%,51.73%,52.68%,52.42%,52.68%,58.47%,56.46%,55.23%,50.83%,52.61%,53.17%,53.17%,51.47%,51.16%,51.32%,51.40%,51.54%,50.93%,49.92%,48.90%,48.57%,56.33%,54.81%,50.20%,48.75%,48.14%,48.80%,49.40%,49.06%,49.06%,50.65%,50.61%,50.39%,50.62%,49.38%,50.47%,50.56%,46.00%,53.19%,53.41%,53.41%,50.35%,49.09%,49.81%,49.65%,49.58%,49.19%,50.24%,49.57%,48.39%,48.96%,48.71%,48.97%
