Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,61.90%,61.54%,61.67%,59.70%,59.21%,58.70%,58.70%,53.64%,53.08%,55.03%,54.72%,54.60%,55.74%,55.72%,54.02%,56.43%,57.42%,64.29%,57.14%,60.98%,51.67%,54.43%,54.43%,55.79%,52.29%,50.79%,48.61%,50.30%,51.09%,50.25%,51.79%,52.80%,85.00%,81.58%,77.36%,75.32%,78.12%,78.12%,76.19%,74.36%,74.29%,75.78%,73.40%,72.99%,73.36%,73.98%,74.43%,74.73%,73.91%,70.00%,65.00%,63.51%,64.13%,65.14%,66.95%,65.22%,65.22%,64.52%,63.43%,65.99%,63.35%,62.66%,62.40%,62.37%,35.00%,55.00%,57.89%,56.58%,58.00%,59.09%,60.47%,60.47%,62.32%,63.52%,63.64%,64.68%,63.47%,64.88%,65.64%,67.84%,55.56%,57.50%,57.63%,65.22%,64.17%,65.67%,65.67%,67.92%,65.57%,67.16%,67.98%,69.02%,69.66%,69.47%,70.10%,70.23%,70.43%,76.47%,71.79%,76.67%,76.67%,77.22%,77.00%,75.65%,73.91%,72.12%,71.66%,70.14%,69.91%,69.51%,68.87%,67.99%,67.11%,61.90%,65.62%,56.00%,58.33%,59.72%,59.72%,54.44%,56.25%,57.60%,61.11%,62.58%,64.33%,64.32%,61.65%,61.75%,61.67%,66.67%,64.52%,64.71%,60.27%,64.84%,64.84%,64.91%,61.07%,61.22%,61.76%,61.88%,58.88%,59.15%,60.44%,61.04%,72.22%,58.82%,64.00%,72.46%,70.79%,66.05%,66.92%,69.86%,70.99%,70.99%,69.82%,69.43%,68.69%,68.27%,66.36%,68.09%,76.00%,65.31%,63.08%,63.41%,60.40%,60.68%,62.59%,61.54%,61.54%,61.71%,63.92%,64.25%,64.08%,63.33%,62.24%,60.97%,63.64%,53.49%,52.24%,52.24%,55.26%,60.00%,59.17%,58.39%,59.75%,62.78%,63.64%,63.81%,65.35%,64.23%,62.55%,63.04%
Atlanta,58.82%,55.88%,53.19%,53.45%,58.23%,57.95%,57.58%,57.58%,53.45%,50.74%,50.34%,52.76%,54.19%,52.71%,51.63%,51.08%,50.40%,57.14%,41.67%,43.14%,39.44%,44.32%,44.66%,45.54%,46.27%,46.27%,43.42%,43.45%,43.92%,43.56%,42.22%,41.30%,33.33%,40.62%,42.86%,39.74%,45.00%,42.15%,40.00%,40.00%,41.32%,43.01%,44.81%,44.02%,44.76%,45.69%,45.88%,46.31%,33.33%,28.26%,35.71%,33.33%,33.33%,36.26%,39.13%,42.86%,43.40%,45.14%,44.39%,41.35%,41.07%,41.84%,44.19%,45.11%,70.59%,70.00%,70.59%,64.79%,62.50%,65.96%,66.96%,66.96%,64.57%,64.03%,64.94%,64.07%,65.26%,67.00%,65.87%,65.50%,21.74%,35.14%,37.74%,41.43%,41.30%,47.27%,47.27%,50.39%,48.43%,49.72%,51.27%,50.92%,50.84%,51.54%,51.44%,50.68%,50.16%,78.95%,64.29%,69.09%,69.09%,65.00%,64.58%,64.10%,63.04%,59.62%,58.99%,58.05%,59.73%,59.68%,59.93%,60.22%,59.74%,61.11%,45.10%,46.05%,47.47%,48.28%,50.74%,51.27%,51.27%,52.72%,54.59%,56.28%,56.80%,57.68%,57.04%,57.05%,57.06%,70.00%,70.00%,75.41%,70.93%,69.23%,62.50%,60.67%,60.67%,59.06%,58.71%,57.96%,58.87%,59.77%,60.92%,61.18%,80.95%,74.42%,73.53%,69.57%,70.83%,70.59%,70.59%,68.75%,69.61%,70.87%,71.24%,70.73%,69.35%,71.08%,71.20%,71.65%,77.78%,83.78%,73.77%,74.71%,75.22%,75.22%,75.00%,76.35%,76.88%,75.00%,71.00%,70.72%,69.35%,69.17%,68.07%,69.03%,75.00%,68.09%,67.12%,67.71%,67.24%,68.75%,68.75%,68.67%,68.67%,67.03%,68.60%,68.86%,69.20%,68.84%,69.26%,70.06%
Baltimore,52.94%,41.94%,40.43%,37.68%,37.68%,36.59%,39.81%,42.02%,42.97%,45.14%,45.22%,46.89%,46.88%,45.54%,46.26%,46.12%,46.72%,56.25%,48.39%,42.22%,43.10%,39.73%,39.73%,38.82%,41.35%,42.86%,45.99%,48.68%,49.38%,48.62%,50.00%,51.12%,77.27%,82.35%,82.35%,70.59%,62.34%,62.37%,61.90%,61.60%,58.45%,58.67%,57.74%,55.50%,55.83%,56.19%,55.38%,56.93%,56.25%,60.00%,66.67%,69.35%,67.95%,67.02%,67.02%,65.22%,64.23%,66.67%,63.64%,63.59%,64.29%,62.72%,62.40%,62.26%,55.00%,56.76%,56.67%,61.63%,61.90%,61.34%,61.94%,61.94%,62.59%,62.58%,63.48%,63.45%,62.21%,61.02%,60.31%,60.74%,38.10%,38.10%,35.71%,46.55%,45.00%,48.96%,48.31%,46.32%,48.41%,45.65%,46.53%,47.22%,49.15%,48.79%,49.62%,48.57%,49.00%,62.50%,57.41%,58.54%,62.26%,61.86%,65.94%,65.94%,64.29%,63.53%,61.96%,63.24%,62.67%,61.57%,59.40%,60.21%,59.54%,60.00%,55.88%,64.81%,64.47%,56.73%,57.60%,57.53%,57.53%,58.58%,58.73%,58.77%,59.39%,60.42%,61.00%,59.42%,58.42%,58.82%,65.62%,66.67%,64.38%,64.38%,63.92%,64.81%,61.59%,63.98%,62.90%,63.32%,64.19%,60.67%,60.08%,60.28%,57.69%,55.81%,57.75%,60.64%,59.63%,58.59%,57.86%,57.86%,56.96%,58.33%,58.33%,60.37%,60.17%,58.66%,59.02%,59.79%,75.00%,72.09%,64.41%,68.92%,67.02%,67.89%,65.62%,65.62%,65.07%,64.63%,62.03%,61.88%,62.39%,63.49%,63.32%,63.67%,61.54%,52.94%,47.30%,50.51%,51.75%,52.55%,52.50%,52.25%,55.50%,55.50%,55.50%,53.94%,53.96%,54.30%,54.87%,55.73%
Buffalo,52.17%,55.81%,60.78%,66.67%,67.47%,70.41%,68.29%,67.39%,67.39%,64.71%,62.94%,60.22%,59.33%,56.14%,56.43%,56.35%,55.97%,62.50%,60.00%,60.00%,56.25%,56.92%,59.04%,61.22%,59.63%,58.59%,58.82%,57.89%,58.76%,59.59%,56.28%,57.02%,50.00%,57.14%,39.13%,38.98%,38.75%,37.50%,41.18%,42.66%,42.66%,43.42%,44.51%,46.07%,46.39%,47.03%,47.49%,49.58%,58.33%,50.00%,52.00%,52.86%,53.75%,54.17%,55.56%,55.56%,52.94%,51.94%,54.11%,54.72%,56.00%,55.56%,55.45%,55.36%,38.46%,47.83%,48.57%,59.26%,60.29%,60.29%,56.10%,55.45%,57.26%,58.27%,58.17%,59.54%,60.11%,57.21%,57.08%,57.02%,69.23%,64.52%,64.29%,61.43%,62.65%,62.65%,63.81%,61.29%,62.68%,63.82%,61.99%,59.60%,59.72%,59.83%,59.92%,59.56%,58.19%,58.82%,54.76%,50.91%,55.38%,53.85%,50.00%,50.47%,50.86%,50.86%,54.62%,57.64%,57.32%,56.90%,55.08%,54.68%,55.61%,66.67%,43.48%,52.38%,51.85%,53.52%,53.52%,60.20%,58.68%,61.27%,60.39%,59.89%,61.22%,61.65%,60.89%,62.08%,62.89%,56.52%,52.63%,56.79%,55.91%,54.39%,54.96%,54.96%,56.08%,55.56%,53.30%,54.59%,56.22%,57.02%,57.14%,57.88%,65.00%,54.29%,55.56%,61.64%,61.45%,58.82%,59.68%,59.68%,61.70%,60.80%,59.79%,59.52%,56.52%,57.89%,58.58%,58.60%,40.00%,48.72%,43.86%,42.11%,43.75%,43.97%,45.04%,47.68%,47.73%,48.44%,49.51%,49.51%,49.55%,50.84%,49.81%,49.47%,53.33%,64.29%,58.70%,61.90%,65.85%,68.32%,69.92%,68.89%,68.89%,69.23%,69.23%,68.95%,68.29%,69.00%,67.77%,68.48%
Carolina,52.94%,48.39%,48.39%,48.00%,43.66%,38.64%,44.86%,44.09%,43.92%,45.78%,47.54%,47.47%,48.85%,49.57%,51.01%,50.56%,51.41%,82.35%,72.50%,72.50%,69.49%,64.79%,63.04%,59.82%,60.94%,62.50%,63.91%,61.62%,60.50%,60.00%,59.26%,61.51%,50.00%,43.24%,48.33%,49.35%,54.35%,59.43%,59.43%,59.40%,59.46%,58.90%,59.66%,59.49%,59.33%,59.64%,58.26%,58.82%,66.67%,65.52%,58.82%,56.34%,54.65%,56.60%,57.72%,58.27%,58.27%,57.69%,55.11%,55.50%,55.50%,58.01%,59.67%,56.59%,28.57%,57.89%,48.39%,49.33%,51.72%,51.49%,51.49%,52.07%,50.74%,51.37%,52.69%,54.49%,53.54%,53.85%,55.61%,56.60%,60.00%,50.00%,54.35%,58.46%,57.65%,61.62%,60.68%,58.99%,58.99%,57.72%,56.02%,57.45%,55.17%,53.28%,53.85%,53.99%,53.15%,57.14%,63.16%,64.15%,64.15%,63.77%,53.85%,54.95%,51.61%,52.08%,51.53%,52.43%,52.55%,52.13%,52.44%,53.63%,52.38%,83.33%,71.43%,64.44%,65.45%,63.49%,63.49%,65.88%,68.69%,63.16%,61.36%,59.57%,59.87%,58.29%,57.45%,55.88%,55.45%,65.38%,67.31%,66.18%,64.13%,58.93%,57.35%,56.41%,55.93%,55.93%,55.96%,55.30%,53.97%,52.45%,53.52%,52.63%,87.50%,61.54%,62.30%,58.54%,57.89%,57.89%,56.64%,56.72%,53.95%,54.39%,54.50%,53.99%,54.31%,54.12%,52.82%,52.67%,50.00%,48.78%,45.59%,45.59%,51.69%,51.35%,50.00%,50.33%,50.00%,51.79%,52.09%,51.91%,53.33%,53.51%,53.77%,54.30%,73.68%,71.79%,71.19%,73.42%,72.28%,66.92%,66.01%,63.53%,61.62%,61.65%,62.28%,62.28%,60.56%,59.27%,59.74%,58.48%
Chicago,50.00%,61.11%,61.11%,56.10%,50.85%,50.67%,48.94%,51.85%,51.18%,51.45%,52.98%,52.35%,52.82%,54.33%,54.26%,53.63%,54.17%,44.44%,38.89%,46.67%,48.65%,48.65%,46.99%,47.87%,47.22%,47.11%,47.33%,48.28%,50.32%,51.70%,53.76%,53.81%,81.82%,48.28%,51.11%,51.11%,49.18%,50.65%,48.94%,52.78%,51.22%,48.15%,48.00%,47.27%,45.71%,47.37%,47.55%,47.73%,66.67%,70.00%,71.19%,63.75%,59.22%,60.71%,60.71%,61.03%,59.62%,58.76%,57.14%,55.71%,54.63%,53.78%,55.09%,54.36%,63.64%,58.62%,60.00%,64.18%,61.45%,63.11%,66.39%,65.22%,65.22%,66.23%,65.29%,64.36%,65.05%,64.91%,64.85%,63.64%,41.18%,44.83%,54.00%,55.56%,58.33%,62.26%,62.70%,62.70%,61.11%,60.38%,60.12%,57.53%,56.63%,51.10%,51.44%,51.94%,53.05%,66.67%,71.43%,73.47%,69.84%,69.84%,69.05%,70.71%,67.23%,69.06%,68.35%,67.44%,68.33%,65.46%,64.90%,63.35%,64.17%,65.22%,67.57%,65.45%,63.93%,55.41%,58.43%,61.68%,61.68%,62.10%,63.38%,62.73%,64.25%,64.36%,64.49%,63.64%,62.75%,64.71%,71.43%,76.60%,66.13%,64.71%,61.68%,59.52%,59.52%,58.11%,56.88%,57.92%,57.71%,58.49%,57.59%,56.96%,57.69%,59.46%,56.14%,61.33%,61.39%,61.39%,59.17%,60.87%,59.12%,58.68%,57.54%,57.43%,56.70%,58.13%,57.75%,56.78%,70.59%,65.85%,60.71%,63.51%,67.02%,66.67%,63.83%,63.83%,63.25%,64.86%,64.04%,63.95%,64.03%,63.29%,62.14%,63.30%,65.52%,60.42%,61.54%,55.10%,56.52%,57.97%,59.21%,57.54%,57.54%,57.50%,58.48%,58.05%,60.24%,60.29%,59.73%,60.32%
Cincinnati,80.00%,64.29%,66.04%,68.57%,70.45%,70.45%,68.57%,66.13%,65.25%,60.71%,60.32%,59.46%,59.17%,59.22%,58.63%,58.56%,57.83%,57.89%,61.29%,63.16%,62.03%,62.03%,63.33%,61.17%,60.50%,58.21%,59.48%,60.12%,57.67%,59.43%,60.92%,60.63%,57.69%,59.62%,58.73%,63.53%,62.86%,64.34%,63.09%,62.35%,61.54%,61.54%,61.01%,60.17%,59.92%,58.21%,58.90%,59.04%,50.00%,61.54%,66.67%,64.79%,64.79%,65.12%,64.81%,65.38%,63.27%,64.20%,64.40%,64.19%,65.94%,64.98%,64.62%,64.00%,69.23%,71.74%,70.00%,71.26%,71.26%,71.56%,65.93%,64.94%,67.06%,67.38%,68.27%,67.65%,67.59%,66.05%,66.78%,65.45%,62.50%,63.16%,65.12%,64.91%,66.67%,68.18%,68.27%,67.50%,63.57%,63.57%,64.15%,64.71%,64.77%,64.77%,63.81%,62.16%,59.18%,75.00%,62.86%,62.96%,60.00%,57.73%,59.63%,58.27%,58.27%,58.49%,59.54%,57.14%,54.84%,53.97%,53.97%,55.35%,54.86%,80.77%,72.50%,67.21%,69.51%,59.82%,59.82%,64.29%,62.18%,61.49%,63.73%,63.47%,64.22%,63.24%,63.67%,61.94%,62.54%,47.06%,62.86%,63.27%,58.11%,62.07%,63.46%,63.46%,61.48%,60.56%,59.62%,59.22%,60.41%,60.00%,59.29%,57.55%,50.00%,58.54%,57.14%,57.83%,60.40%,64.46%,62.88%,62.88%,63.64%,63.91%,62.30%,60.77%,59.13%,59.84%,58.05%,59.36%,66.67%,60.00%,61.02%,61.33%,61.46%,59.84%,63.57%,65.62%,64.89%,64.59%,63.93%,63.93%,61.34%,60.15%,60.70%,62.46%,68.75%,56.76%,50.00%,50.00%,49.37%,52.78%,53.45%,53.33%,53.16%,52.07%,52.88%,54.88%,54.70%,55.20%,52.55%,51.70%
Cleveland,50.00%,55.56%,63.83%,66.15%,63.22%,57.01%,55.91%,56.43%,56.43%,55.13%,57.92%,57.92%,59.15%,58.01%,57.61%,57.20%,55.43%,60.00%,50.00%,50.00%,51.85%,49.30%,47.83%,47.06%,47.06%,47.73%,48.61%,49.68%,52.78%,53.33%,53.23%,51.42%,87.50%,74.29%,69.39%,69.39%,70.31%,64.47%,60.92%,58.25%,58.82%,60.74%,59.09%,59.77%,59.79%,59.80%,60.37%,60.70%,40.00%,43.75%,53.06%,54.29%,55.17%,55.17%,58.76%,57.52%,56.62%,56.55%,57.50%,58.58%,59.49%,61.17%,62.10%,62.34%,84.62%,75.00%,73.58%,69.23%,67.82%,65.77%,65.77%,64.12%,64.60%,65.52%,63.78%,63.59%,63.03%,62.50%,61.76%,61.95%,63.64%,57.14%,58.97%,55.17%,55.17%,55.13%,53.19%,54.13%,57.72%,56.64%,57.14%,55.68%,56.08%,56.72%,57.55%,55.56%,54.51%,58.82%,67.86%,69.23%,67.21%,60.00%,58.54%,55.32%,52.43%,52.43%,52.63%,55.88%,55.78%,58.48%,56.28%,53.20%,52.05%,60.00%,60.71%,56.52%,53.73%,60.00%,63.73%,59.65%,59.65%,57.35%,57.42%,58.24%,56.63%,57.21%,55.76%,57.58%,58.06%,64.71%,57.14%,61.11%,65.82%,65.82%,70.10%,68.38%,67.41%,67.59%,66.46%,64.64%,62.63%,63.03%,63.04%,61.79%,58.33%,69.70%,68.00%,72.86%,72.94%,72.28%,72.50%,69.63%,68.42%,68.42%,69.01%,69.19%,68.27%,66.67%,66.39%,66.28%,75.00%,78.79%,78.57%,78.38%,74.19%,71.55%,69.17%,69.18%,67.88%,67.88%,67.78%,68.84%,67.26%,67.61%,67.04%,66.43%,47.83%,54.35%,55.38%,55.38%,56.52%,53.15%,56.45%,58.99%,62.03%,60.89%,62.56%,61.64%,62.15%,61.51%,61.11%,60.79%
Dallas,56.25%,60.00%,60.00%,51.72%,52.63%,52.75%,50.00%,52.00%,51.01%,51.53%,51.11%,52.26%,52.73%,51.50%,50.20%,50.57%,52.10%,66.67%,65.96%,67.21%,67.21%,61.04%,60.82%,61.74%,59.12%,58.00%,58.54%,59.44%,59.09%,57.66%,56.67%,57.48%,60.87%,62.16%,61.90%,59.49%,57.94%,59.09%,58.11%,57.99%,57.99%,58.24%,54.33%,54.98%,54.25%,55.97%,55.87%,54.79%,64.29%,55.56%,55.56%,50.85%,50.00%,50.49%,53.23%,53.64%,54.65%,55.73%,55.09%,56.38%,57.58%,58.21%,58.47%,57.73%,66.67%,62.50%,67.21%,64.04%,67.26%,66.67%,67.57%,67.57%,66.86%,66.49%,67.62%,66.23%,65.75%,67.03%,67.59%,67.30%,53.33%,56.00%,51.39%,56.99%,54.95%,57.14%,55.94%,53.75%,53.80%,53.80%,54.26%,56.37%,57.89%,58.44%,59.23%,59.42%,58.76%,55.56%,41.46%,44.62%,47.06%,51.43%,51.43%,54.47%,55.03%,56.29%,56.52%,56.22%,57.08%,60.16%,59.70%,59.25%,59.87%,62.50%,68.09%,66.18%,66.18%,68.82%,66.97%,68.29%,67.57%,68.75%,68.00%,67.01%,66.97%,64.88%,65.13%,65.03%,63.23%,85.71%,85.37%,81.03%,79.52%,79.52%,77.88%,71.09%,72.14%,68.99%,68.13%,67.82%,67.87%,68.05%,66.67%,65.75%,66.67%,71.43%,75.51%,81.33%,81.33%,72.38%,70.73%,71.52%,72.19%,71.04%,67.61%,69.79%,69.26%,68.95%,69.33%,70.44%,77.27%,76.19%,69.84%,70.24%,73.15%,69.05%,70.95%,70.19%,71.27%,70.00%,70.00%,69.16%,66.67%,64.75%,64.58%,64.80%,53.85%,46.15%,47.89%,50.53%,53.78%,54.23%,54.94%,57.14%,57.00%,57.41%,57.41%,58.55%,58.80%,59.04%,59.60%,59.63%
Denver,26.32%,34.88%,41.27%,46.99%,50.48%,51.67%,51.02%,49.69%,50.28%,50.28%,50.25%,50.23%,48.13%,49.06%,48.81%,48.29%,48.50%,45.83%,54.55%,59.68%,54.32%,53.85%,50.39%,49.67%,53.93%,53.77%,53.77%,54.38%,53.65%,53.94%,53.24%,52.65%,78.95%,70.00%,57.81%,55.68%,53.54%,52.94%,51.80%,52.10%,52.10%,51.89%,48.36%,49.11%,48.57%,50.38%,49.48%,50.16%,41.18%,45.71%,48.15%,48.15%,50.75%,48.78%,52.88%,50.00%,51.06%,53.25%,52.30%,54.21%,53.43%,52.91%,52.61%,52.26%,69.57%,59.18%,63.33%,58.54%,59.60%,59.60%,61.67%,61.81%,63.12%,61.80%,61.66%,60.93%,60.26%,60.32%,60.66%,60.92%,41.67%,51.72%,52.56%,58.00%,60.68%,59.56%,60.00%,60.00%,62.72%,62.05%,61.68%,60.76%,60.77%,61.32%,61.59%,61.70%,62.99%,70.00%,57.14%,53.57%,51.35%,58.42%,59.17%,59.17%,57.66%,61.07%,60.74%,59.89%,58.50%,56.70%,58.61%,58.94%,59.78%,70.00%,69.77%,75.76%,76.14%,77.88%,72.80%,72.06%,72.15%,72.15%,71.58%,71.86%,71.30%,69.49%,67.97%,67.55%,66.21%,68.00%,56.82%,61.90%,64.20%,60.64%,60.64%,58.04%,56.49%,51.66%,47.90%,47.19%,46.43%,46.89%,48.47%,47.62%,55.00%,52.27%,54.41%,54.26%,57.76%,59.70%,59.70%,58.90%,61.75%,63.68%,63.51%,64.61%,63.81%,62.42%,60.81%,61.21%,83.33%,80.85%,74.36%,68.14%,65.99%,64.16%,66.33%,68.00%,68.00%,68.83%,68.27%,65.55%,65.74%,65.56%,66.49%,67.32%,54.17%,62.79%,71.43%,71.43%,72.41%,70.37%,68.70%,65.82%,67.39%,67.46%,69.57%,67.57%,66.43%,64.07%,63.58%,63.88%
