Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,70.59%,68.57%,62.87%,62.60%,62.72%,63.19%,63.19%,58.80%,56.85%,57.71%,58.77%,57.86%,58.34%,59.00%,57.62%,58.20%,58.82%,57.41%,62.50%,61.31%,54.15%,54.42%,54.42%,53.78%,51.95%,52.23%,51.45%,53.46%,54.09%,54.71%,55.52%,54.84%,73.75%,74.13%,71.43%,67.83%,66.94%,66.94%,65.94%,65.26%,66.18%,66.94%,66.32%,67.12%,67.12%,67.36%,67.96%,67.07%,57.97%,62.88%,59.26%,58.94%,59.16%,57.91%,58.61%,58.90%,58.90%,59.54%,58.73%,61.34%,59.60%,58.87%,59.31%,57.94%,43.28%,50.77%,57.84%,58.30%,58.13%,57.37%,57.62%,57.62%,58.81%,58.74%,58.52%,59.68%,59.14%,60.54%,60.46%,60.85%,45.83%,46.56%,50.27%,59.09%,58.24%,58.72%,58.72%,61.71%,60.19%,61.09%,61.59%,63.12%,64.17%,63.93%,65.62%,65.85%,65.93%,73.44%,63.71%,70.62%,70.62%,70.68%,69.06%,68.16%,68.99%,66.86%,65.57%,64.39%,64.17%,63.56%,63.64%,63.25%,62.66%,67.19%,69.64%,63.86%,65.90%,64.23%,64.23%,64.13%,64.12%,63.76%,65.56%,66.15%,66.93%,66.67%,65.33%,65.50%,64.94%,53.70%,60.78%,60.47%,58.68%,61.01%,61.01%,61.66%,59.77%,60.82%,60.75%,62.05%,60.00%,59.59%,59.44%,60.14%,64.91%,55.08%,51.40%,59.20%,63.50%,62.47%,62.45%,65.35%,66.16%,66.16%,65.08%,65.62%,65.31%,65.80%,64.50%,65.18%,62.86%,62.50%,64.92%,65.20%,62.66%,63.34%,65.08%,62.60%,62.60%,61.55%,61.96%,61.53%,62.07%,61.19%,60.11%,58.55%,60.00%,57.14%,56.68%,56.68%,58.85%,60.45%,57.89%,58.88%,58.43%,59.38%,58.99%,59.00%,60.30%,59.40%,58.58%,59.83%
Atlanta,49.15%,56.67%,58.72%,58.04%,60.92%,60.71%,60.31%,60.31%,59.28%,56.89%,56.21%,56.80%,57.33%,56.61%,56.35%,54.38%,53.23%,48.15%,41.07%,42.52%,39.56%,43.60%,44.38%,46.13%,45.56%,45.56%,44.31%,43.82%,44.29%,45.31%,44.15%,44.28%,40.30%,42.37%,42.54%,40.82%,44.48%,44.11%,43.98%,43.98%,44.18%,45.17%,46.13%,44.88%,46.39%,46.22%,46.66%,46.58%,32.86%,31.58%,40.62%,39.84%,39.84%,43.04%,43.26%,43.27%,44.83%,46.58%,46.93%,45.97%,44.71%,44.54%,45.25%,45.68%,57.58%,55.08%,60.44%,58.02%,59.48%,61.81%,62.27%,62.27%,59.36%,58.48%,60.16%,59.39%,61.28%,62.11%,61.37%,61.68%,25.00%,42.15%,39.43%,46.47%,45.54%,46.28%,46.28%,49.42%,46.41%,45.64%,45.95%,45.95%,44.99%,45.55%,44.83%,44.83%,44.61%,58.46%,50.39%,53.45%,53.45%,50.81%,52.32%,53.68%,55.50%,54.90%,55.36%,56.11%,57.14%,58.06%,58.35%,58.11%,57.54%,64.79%,53.02%,48.05%,51.31%,50.95%,53.83%,53.64%,53.64%,53.46%,55.33%,55.37%,55.16%,55.31%,54.94%,54.52%,54.68%,78.79%,66.14%,69.95%,65.31%,64.42%,60.68%,59.82%,59.82%,57.03%,57.78%,56.70%,56.58%,57.80%,57.93%,57.25%,58.18%,57.50%,59.04%,62.20%,62.99%,64.18%,64.18%,61.40%,61.08%,62.71%,63.09%,62.67%,62.45%,63.92%,62.39%,62.25%,74.55%,74.14%,67.39%,70.59%,70.15%,70.15%,68.83%,71.21%,69.96%,70.00%,69.97%,69.65%,69.02%,68.45%,68.28%,68.48%,63.77%,67.16%,59.80%,61.22%,62.73%,64.58%,66.15%,64.68%,64.68%,63.48%,63.48%,63.79%,62.96%,62.93%,63.05%,63.15%
Baltimore,66.18%,51.14%,48.11%,47.20%,47.20%,44.63%,45.63%,45.37%,45.15%,46.00%,46.07%,47.08%,47.09%,45.86%,46.09%,45.35%,45.29%,61.19%,47.66%,44.51%,45.74%,42.66%,42.66%,42.40%,45.23%,46.15%,47.01%,48.57%,50.15%,50.35%,49.94%,50.69%,73.08%,75.36%,75.36%,61.27%,59.93%,57.86%,58.48%,59.19%,59.20%,60.07%,59.09%,58.38%,58.63%,59.09%,57.84%,57.51%,45.16%,49.22%,53.54%,54.98%,55.77%,56.99%,56.99%,54.25%,52.98%,54.97%,54.84%,53.85%,55.03%,54.24%,53.44%,53.10%,62.69%,56.62%,57.00%,61.07%,60.11%,58.71%,59.04%,59.04%,60.34%,60.92%,61.40%,61.68%,59.87%,59.22%,58.40%,58.27%,38.67%,38.67%,35.25%,40.87%,41.03%,46.11%,45.32%,43.78%,43.68%,43.31%,44.51%,44.28%,44.13%,43.50%,43.87%,43.98%,44.05%,51.76%,49.66%,52.13%,57.40%,58.54%,60.71%,60.71%,58.37%,59.37%,56.99%,56.58%,56.71%,57.37%,55.77%,55.57%,54.71%,53.33%,57.97%,56.85%,57.25%,52.54%,52.58%,52.67%,52.67%,51.67%,52.76%,52.86%,53.50%,54.33%,54.83%,53.63%,52.48%,49.18%,57.52%,60.85%,56.49%,56.49%,55.96%,58.95%,60.43%,61.08%,63.35%,62.22%,60.39%,57.41%,56.58%,57.70%,60.34%,64.23%,62.77%,63.40%,62.19%,61.25%,63.79%,63.79%,60.82%,60.14%,60.10%,60.29%,60.55%,59.07%,59.80%,58.50%,75.86%,63.92%,59.07%,65.11%,61.08%,61.50%,60.97%,60.97%,61.92%,61.44%,59.68%,58.88%,58.94%,59.55%,59.89%,60.06%,76.47%,62.67%,58.41%,56.73%,59.64%,57.32%,55.24%,55.49%,57.51%,56.33%,56.33%,55.32%,54.82%,54.62%,54.56%,56.11%
Buffalo,47.62%,46.72%,52.41%,59.19%,59.17%,61.52%,58.29%,58.69%,58.69%,58.80%,58.13%,57.66%,57.03%,55.01%,55.46%,55.42%,56.43%,42.86%,49.58%,49.58%,52.75%,54.43%,53.20%,55.00%,51.81%,49.90%,50.56%,50.43%,50.53%,50.83%,50.06%,50.23%,44.62%,54.31%,50.56%,50.89%,49.48%,47.90%,49.02%,48.76%,48.76%,48.51%,51.10%,51.70%,51.27%,52.33%,53.42%,53.71%,52.00%,45.10%,50.29%,50.62%,52.58%,54.70%,54.34%,54.34%,52.99%,51.20%,52.77%,52.95%,53.86%,52.48%,51.34%,52.01%,46.94%,52.00%,50.00%,50.48%,52.26%,52.26%,50.31%,49.22%,49.34%,49.40%,50.45%,51.78%,52.82%,51.42%,51.37%,51.34%,52.46%,52.17%,54.55%,53.04%,54.61%,54.61%,53.52%,54.18%,56.09%,56.26%,54.55%,53.60%,54.38%,54.95%,55.11%,54.81%,54.08%,60.42%,53.45%,57.63%,59.29%,56.80%,53.95%,52.73%,53.00%,53.00%,54.39%,55.30%,55.38%,55.13%,53.86%,54.21%,54.74%,68.52%,54.63%,54.66%,57.00%,57.85%,57.85%,57.35%,58.02%,60.32%,58.51%,58.50%,59.91%,59.45%,57.58%,57.14%,57.77%,40.91%,54.01%,57.87%,58.89%,56.01%,56.45%,56.45%,55.07%,55.44%,56.34%,57.90%,58.12%,58.97%,59.45%,60.48%,55.17%,45.13%,47.54%,51.19%,52.35%,52.19%,53.29%,53.29%,55.69%,56.32%,55.61%,56.02%,53.53%,54.41%,55.52%,55.62%,44.26%,50.00%,55.98%,48.96%,50.96%,51.39%,51.81%,53.18%,52.88%,54.03%,53.10%,53.10%,52.93%,53.73%,52.63%,51.24%,41.07%,42.61%,51.11%,55.42%,57.91%,59.16%,61.11%,58.85%,58.85%,60.10%,60.88%,60.20%,59.50%,61.32%,60.36%,61.64%
Carolina,55.74%,46.40%,46.40%,44.50%,42.52%,41.20%,47.42%,46.59%,45.81%,46.54%,46.50%,46.63%,47.03%,46.81%,47.87%,47.97%,48.21%,76.36%,58.06%,58.06%,60.54%,57.33%,57.65%,57.22%,58.14%,60.00%,60.58%,59.63%,58.90%,57.36%,56.34%,56.68%,56.14%,49.17%,52.97%,50.82%,51.00%,52.09%,52.09%,50.82%,49.38%,47.95%,50.75%,50.30%,49.79%,50.77%,49.46%,50.06%,72.88%,64.46%,62.23%,59.51%,58.03%,57.87%,59.35%,60.13%,60.13%,59.30%,57.07%,57.44%,57.78%,59.98%,61.24%,58.24%,41.54%,55.91%,51.06%,54.90%,52.81%,52.99%,52.99%,53.81%,55.03%,54.77%,55.05%,56.02%,54.40%,55.58%,54.55%,55.34%,59.15%,52.38%,55.56%,53.31%,48.40%,51.21%,49.42%,49.49%,49.49%,49.63%,48.58%,49.62%,49.08%,48.10%,47.99%,47.20%,46.27%,56.52%,59.56%,62.23%,62.23%,58.47%,51.91%,54.29%,50.56%,49.81%,48.95%,50.54%,51.34%,50.46%,50.92%,50.56%,49.22%,61.90%,55.81%,56.68%,55.56%,56.42%,56.42%,56.18%,58.04%,58.62%,57.66%,57.73%,57.36%,57.16%,56.76%,54.84%,54.86%,60.29%,65.47%,62.19%,62.64%,62.08%,61.54%,58.81%,58.77%,58.77%,60.03%,60.03%,58.77%,57.09%,57.62%,56.67%,73.47%,51.35%,55.42%,52.40%,54.45%,54.45%,56.31%,55.74%,54.70%,56.20%,55.28%,54.38%,54.56%,54.42%,53.80%,53.72%,48.98%,53.97%,48.00%,48.00%,53.38%,50.90%,48.33%,49.45%,50.00%,50.43%,50.93%,51.62%,51.23%,52.09%,51.39%,51.75%,51.47%,56.49%,63.78%,62.35%,61.41%,60.61%,60.78%,59.14%,59.05%,59.23%,59.38%,59.38%,58.91%,57.74%,57.71%,56.48%
Chicago,66.10%,63.73%,63.73%,63.69%,58.33%,55.41%,55.68%,55.71%,54.85%,54.92%,55.02%,54.65%,54.45%,55.53%,55.65%,54.88%,55.74%,54.29%,45.97%,49.47%,56.45%,56.45%,54.97%,55.93%,54.68%,53.25%,52.76%,52.68%,53.74%,53.38%,54.70%,55.00%,63.27%,50.00%,53.11%,53.11%,51.45%,50.84%,50.97%,51.31%,50.73%,48.22%,47.97%,47.94%,47.31%,48.82%,48.60%,48.18%,43.75%,44.44%,51.85%,50.19%,49.55%,52.59%,52.59%,51.98%,53.32%,52.34%,51.22%,51.03%,50.65%,49.94%,50.71%,51.52%,50.00%,53.39%,55.93%,61.09%,58.04%,59.43%,60.18%,61.09%,61.09%,59.59%,60.19%,59.49%,60.43%,61.18%,61.70%,59.51%,37.10%,45.16%,46.97%,50.00%,50.15%,52.76%,53.74%,53.74%,53.67%,54.56%,55.28%,54.52%,54.57%,54.78%,55.69%,55.42%,56.17%,55.07%,61.90%,58.47%,58.80%,58.80%,60.47%,62.89%,60.38%,63.04%,64.11%,64.58%,64.95%,62.50%,63.02%,62.26%,61.88%,55.71%,57.98%,59.28%,61.64%,55.48%,59.06%,61.19%,61.19%,59.70%,58.36%,56.44%,55.69%,55.37%,55.99%,55.08%,54.76%,57.81%,69.29%,71.51%,64.04%,63.61%,61.86%,60.09%,60.09%,58.52%,56.43%,55.76%,56.15%,56.16%,54.74%,54.29%,52.86%,55.91%,53.61%,52.42%,52.96%,52.96%,53.08%,54.40%,53.15%,53.72%,53.39%,52.53%,51.87%,53.95%,53.85%,53.28%,54.10%,56.69%,55.62%,60.87%,61.89%,60.75%,60.38%,60.38%,59.72%,61.23%,60.73%,61.17%,61.20%,60.57%,59.93%,60.58%,73.91%,71.07%,69.57%,62.84%,63.16%,62.50%,63.43%,62.92%,62.92%,63.13%,62.56%,61.84%,63.74%,64.61%,64.67%,64.69%
Cincinnati,65.08%,57.93%,59.26%,57.43%,58.57%,58.57%,57.63%,56.50%,57.74%,54.00%,53.67%,52.91%,53.20%,53.92%,53.10%,53.39%,53.81%,50.00%,55.47%,60.48%,60.00%,60.00%,61.45%,58.40%,59.91%,58.78%,58.10%,58.49%,57.52%,57.89%,57.60%,57.26%,52.94%,51.70%,48.78%,51.13%,52.29%,52.70%,54.48%,54.81%,53.85%,53.85%,54.47%,53.93%,54.52%,53.76%,54.11%,54.72%,37.04%,49.23%,51.34%,55.56%,55.56%,57.62%,57.64%,58.97%,58.66%,59.17%,57.69%,56.72%,56.95%,55.74%,55.44%,55.43%,58.93%,63.16%,62.02%,63.71%,63.71%,65.43%,60.47%,60.36%,61.41%,60.25%,61.66%,60.64%,61.13%,59.91%,60.02%,58.82%,52.00%,50.94%,55.62%,59.05%,60.14%,60.85%,61.94%,61.80%,60.81%,60.81%,61.16%,61.53%,62.13%,62.01%,61.00%,58.32%,57.32%,57.14%,50.00%,55.56%,57.03%,55.28%,57.07%,53.60%,53.60%,52.61%,52.60%,50.93%,49.58%,48.80%,49.17%,50.39%,49.85%,67.11%,60.84%,57.34%,59.78%,59.12%,59.12%,61.35%,61.09%,61.94%,62.73%,62.09%,62.57%,62.22%,62.75%,60.59%,59.07%,48.44%,58.27%,59.44%,58.00%,56.96%,55.94%,55.94%,55.50%,55.73%,55.52%,56.25%,55.74%,56.05%,55.62%,54.84%,59.42%,59.54%,57.14%,54.72%,57.99%,60.21%,59.86%,59.86%,60.63%,59.72%,58.11%,57.20%,57.05%,57.59%,56.53%,57.70%,61.82%,58.96%,58.42%,61.02%,57.41%,56.13%,57.27%,57.06%,57.87%,58.68%,57.80%,57.80%,56.30%,55.81%,56.60%,56.26%,59.38%,46.62%,46.32%,46.32%,49.58%,51.76%,55.59%,54.29%,53.61%,54.90%,53.39%,52.44%,52.38%,53.25%,51.92%,51.21%
Cleveland,52.73%,60.00%,62.86%,62.98%,57.81%,55.96%,57.91%,59.10%,59.10%,59.07%,58.22%,58.71%,59.57%,59.34%,58.62%,58.80%,57.13%,47.27%,50.00%,53.57%,50.89%,53.74%,49.86%,50.00%,50.00%,50.10%,50.76%,50.77%,52.65%,53.95%,54.51%,54.18%,70.49%,64.66%,62.79%,62.79%,62.77%,63.25%,61.59%,59.02%,57.93%,58.74%,56.85%,57.84%,56.69%,56.22%,56.38%,57.50%,59.26%,60.75%,63.25%,59.15%,60.73%,60.73%,62.71%,59.09%,59.92%,58.94%,58.29%,59.15%,58.75%,59.90%,60.63%,60.64%,73.33%,62.60%,63.89%,58.33%,60.68%,57.58%,57.58%,56.31%,57.73%,58.55%,57.84%,57.27%,58.06%,57.48%,56.25%,56.98%,58.14%,57.84%,62.89%,55.80%,55.80%,54.42%,55.01%,54.86%,55.46%,55.36%,55.63%,56.11%,55.56%,56.79%,57.04%,56.37%,55.59%,66.67%,64.66%,61.90%,61.35%,55.48%,55.40%,55.93%,54.43%,54.43%,54.77%,53.76%,54.82%,56.09%,54.56%,52.36%,50.71%,62.30%,58.82%,55.17%,52.92%,55.96%,57.46%,55.39%,55.39%,52.02%,52.64%,53.05%,53.18%,53.90%,53.40%,54.15%,54.11%,61.76%,55.56%,59.07%,63.93%,63.93%,64.94%,61.34%,61.46%,60.93%,59.77%,58.81%,58.41%,59.23%,59.00%,58.61%,62.71%,62.81%,67.96%,70.12%,69.18%,65.41%,66.12%,63.67%,63.06%,63.06%,61.92%,60.52%,60.05%,59.10%,59.82%,60.47%,81.94%,75.37%,76.08%,71.43%,67.54%,67.64%,67.43%,67.80%,66.78%,66.61%,67.70%,68.71%,67.84%,67.56%,67.68%,67.65%,53.12%,55.88%,53.40%,52.88%,52.45%,48.91%,50.89%,51.22%,51.95%,49.24%,51.43%,52.17%,52.87%,52.95%,52.93%,52.90%
Dallas,59.32%,56.83%,56.83%,50.73%,49.82%,48.51%,46.93%,48.03%,47.74%,47.92%,48.80%,50.27%,52.07%,51.52%,50.43%,50.30%,51.55%,71.23%,64.23%,62.96%,62.96%,59.35%,60.71%,62.15%,58.41%,57.82%,57.67%,56.44%,54.90%,54.85%,55.20%,55.14%,45.90%,50.79%,52.53%,51.72%,49.71%,50.00%,48.98%,48.63%,48.63%,48.91%,47.66%,48.78%,49.88%,50.46%,51.07%,50.35%,61.40%,58.27%,58.27%,50.00%,51.10%,50.15%,52.84%,52.39%,52.92%,52.12%,51.04%,50.47%,51.13%,52.18%,52.31%,52.87%,45.45%,45.45%,50.54%,50.60%,54.80%,56.22%,56.69%,56.69%,55.22%,55.07%,55.25%,54.52%,54.30%,55.90%,56.99%,56.67%,50.79%,52.99%,51.61%,58.61%,54.58%,56.37%,57.24%,57.35%,57.25%,57.25%,56.50%,56.65%,56.81%,57.07%,57.38%,58.25%,59.04%,53.85%,51.82%,51.98%,55.82%,56.13%,56.13%,55.56%,55.73%,56.54%,58.56%,57.31%,57.14%,58.64%,58.27%,57.64%,57.56%,69.01%,70.42%,65.33%,65.33%,66.42%,64.07%,65.90%,66.52%,66.93%,64.95%,63.27%,62.63%,60.23%,60.22%,59.87%,59.51%,60.61%,63.64%,62.05%,62.59%,62.59%,62.91%,59.95%,62.11%,60.87%,58.91%,58.59%,58.74%,59.74%,59.66%,58.63%,54.39%,63.16%,63.89%,68.15%,68.15%,63.00%,61.22%,64.42%,64.65%,63.64%,64.75%,66.85%,65.29%,65.32%,65.45%,66.30%,68.92%,71.11%,62.37%,64.40%,66.12%,65.54%,65.50%,64.12%,66.61%,66.33%,66.33%,66.46%,65.27%,64.12%,64.92%,64.39%,63.49%,52.52%,50.26%,49.22%,50.76%,50.12%,49.02%,50.48%,51.20%,51.01%,51.01%,51.15%,51.59%,50.98%,50.45%,49.48%
Denver,39.39%,43.41%,41.36%,46.22%,48.29%,50.14%,51.83%,52.21%,52.49%,52.49%,51.16%,52.27%,50.58%,50.36%,50.27%,48.38%,48.14%,46.97%,50.00%,54.04%,52.27%,50.76%,46.77%,49.04%,52.48%,51.32%,51.32%,51.05%,50.21%,51.33%,50.64%,52.05%,71.01%,65.93%,56.54%,51.89%,51.26%,49.87%,49.43%,49.51%,49.51%,48.16%,46.99%,47.62%,47.94%,48.29%,48.49%,48.14%,54.55%,49.59%,48.65%,48.65%,48.32%,46.71%,48.24%,46.84%,47.70%,48.60%,48.34%,50.38%,49.65%,50.06%,49.71%,49.28%,55.56%,51.72%,52.94%,49.39%,52.32%,52.32%,52.94%,54.07%,57.46%,56.91%,56.02%,55.09%,54.93%,54.17%,55.26%,55.87%,42.37%,56.72%,57.29%,60.61%,59.88%,60.16%,59.50%,59.50%,61.88%,61.71%,60.96%,60.58%,60.82%,60.51%,60.54%,60.73%,62.02%,60.78%,54.40%,47.15%,49.20%,53.23%,52.32%,52.32%,54.26%,56.40%,56.83%,57.80%,56.19%,54.46%,54.91%,55.06%,56.09%,59.02%,53.33%,61.61%,64.81%,66.37%,63.26%,63.56%,64.56%,64.56%,63.27%,64.24%,64.83%,64.35%,63.76%,62.12%,61.16%,79.69%,61.42%,62.11%,61.54%,59.73%,59.73%,56.83%,57.47%,54.96%,50.26%,49.28%,47.04%,46.23%,47.26%,47.21%,50.91%,55.74%,62.12%,58.91%,61.00%,60.56%,60.56%,57.76%,57.71%,58.36%,58.99%,59.25%,59.03%,58.22%,56.76%,56.80%,66.18%,62.86%,59.15%,57.75%,57.70%,57.94%,60.08%,59.72%,59.72%,60.06%,59.27%,57.66%,57.31%,58.02%,59.13%,60.11%,53.62%,55.65%,61.62%,61.62%,62.07%,59.88%,58.70%,58.00%,60.76%,61.23%,63.57%,62.33%,60.51%,59.40%,57.91%,58.81%
