Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,100.00%,100.00%,80.00%,57.14%,62.50%,70.00%,70.00%,63.64%,69.23%,73.33%,73.33%,72.22%,72.22%,75.00%,68.18%,69.57%,72.00%,0.00%,0.00%,0.00%,16.67%,40.00%,40.00%,41.67%,42.86%,41.18%,36.84%,40.00%,40.00%,42.86%,37.50%,39.29%,50.00%,50.00%,50.00%,75.00%,83.33%,83.33%,75.00%,77.78%,80.00%,75.00%,75.00%,77.78%,78.95%,80.00%,81.82%,80.00%,75.00%,80.00%,71.43%,62.50%,70.00%,75.00%,75.00%,71.43%,71.43%,66.67%,64.71%,60.00%,54.17%,55.56%,51.72%,51.61%,50.00%,50.00%,66.67%,55.56%,46.15%,42.86%,52.94%,52.94%,50.00%,59.09%,55.56%,58.06%,58.82%,62.16%,65.00%,67.44%,50.00%,66.67%,75.00%,61.54%,55.56%,54.55%,54.55%,56.00%,55.17%,59.38%,58.82%,56.76%,60.00%,56.82%,56.52%,57.45%,60.78%,100.00%,60.00%,66.67%,66.67%,60.00%,61.54%,56.25%,57.89%,66.67%,64.29%,64.52%,60.61%,63.89%,62.16%,58.54%,57.78%,50.00%,33.33%,50.00%,42.86%,30.00%,30.00%,27.27%,31.25%,31.58%,33.33%,36.36%,36.36%,36.36%,30.77%,29.63%,30.00%,50.00%,57.14%,62.50%,45.45%,41.67%,41.67%,46.67%,44.44%,45.00%,52.17%,54.17%,50.00%,50.00%,54.84%,54.55%,50.00%,50.00%,57.14%,70.00%,70.00%,72.73%,69.23%,69.23%,66.67%,66.67%,62.50%,55.56%,55.56%,55.56%,43.48%,41.67%,66.67%,60.00%,50.00%,57.14%,55.56%,58.33%,57.14%,58.82%,58.82%,60.00%,60.87%,59.26%,63.33%,58.82%,55.26%,56.41%,100.00%,50.00%,66.67%,66.67%,62.50%,63.64%,64.29%,64.71%,66.67%,60.00%,62.96%,62.96%,62.07%,63.33%,63.33%,63.33%
Atlanta,66.67%,57.14%,50.00%,50.00%,54.55%,54.55%,53.85%,53.85%,50.00%,44.44%,40.00%,41.67%,40.00%,35.71%,34.48%,37.50%,40.00%,33.33%,28.57%,28.57%,20.00%,18.18%,28.57%,26.67%,30.00%,30.00%,30.43%,36.00%,39.29%,39.29%,33.33%,35.14%,0.00%,25.00%,42.86%,40.00%,53.85%,47.06%,40.00%,40.00%,40.91%,44.00%,46.43%,48.39%,48.39%,45.71%,45.71%,47.37%,100.00%,75.00%,75.00%,50.00%,50.00%,37.50%,53.85%,62.50%,61.11%,63.16%,65.00%,61.90%,62.50%,57.69%,63.33%,63.33%,--,0.00%,66.67%,80.00%,66.67%,57.14%,62.50%,62.50%,50.00%,50.00%,53.85%,57.14%,62.50%,66.67%,66.67%,66.67%,25.00%,25.00%,22.22%,22.22%,33.33%,38.46%,38.46%,46.67%,50.00%,50.00%,45.83%,36.67%,40.62%,40.00%,38.89%,38.46%,37.21%,100.00%,83.33%,71.43%,71.43%,53.85%,56.25%,57.89%,54.55%,50.00%,50.00%,50.00%,52.94%,54.29%,54.05%,55.26%,57.14%,--,60.00%,62.50%,66.67%,63.64%,69.23%,66.67%,66.67%,61.90%,66.67%,66.67%,65.52%,63.64%,59.46%,60.98%,60.47%,0.00%,66.67%,71.43%,60.00%,58.33%,50.00%,50.00%,50.00%,54.55%,58.33%,57.69%,62.07%,63.33%,67.65%,66.67%,75.00%,71.43%,72.73%,78.57%,76.47%,73.68%,73.68%,77.27%,73.91%,76.92%,71.43%,67.74%,66.67%,66.67%,67.50%,70.45%,100.00%,66.67%,75.00%,80.00%,71.43%,71.43%,72.22%,73.68%,75.00%,76.19%,75.00%,72.00%,65.52%,65.62%,62.86%,63.16%,75.00%,80.00%,53.85%,58.82%,57.89%,60.00%,61.90%,62.50%,62.50%,61.54%,62.96%,63.33%,65.62%,67.57%,69.23%,66.67%
Baltimore,50.00%,20.00%,25.00%,22.22%,22.22%,18.18%,28.57%,31.25%,33.33%,35.00%,35.00%,44.00%,43.33%,41.18%,42.86%,40.00%,39.02%,--,0.00%,16.67%,22.22%,18.18%,18.18%,15.38%,21.43%,18.75%,27.78%,31.82%,31.82%,29.17%,39.29%,41.38%,100.00%,100.00%,100.00%,66.67%,80.00%,83.33%,83.33%,85.71%,85.71%,85.71%,87.50%,83.33%,71.43%,73.33%,66.67%,70.83%,33.33%,40.00%,50.00%,62.50%,62.50%,72.73%,72.73%,62.50%,55.56%,61.90%,54.17%,51.85%,53.57%,53.33%,54.55%,56.76%,0.00%,50.00%,50.00%,57.14%,57.14%,50.00%,50.00%,50.00%,45.45%,41.67%,40.00%,41.18%,45.00%,43.48%,45.83%,48.00%,0.00%,0.00%,0.00%,12.50%,11.11%,11.11%,16.67%,20.00%,26.32%,33.33%,36.00%,37.93%,42.42%,41.67%,41.67%,41.03%,38.10%,60.00%,55.56%,46.15%,50.00%,50.00%,50.00%,50.00%,48.00%,46.15%,42.86%,42.86%,43.33%,43.75%,39.47%,45.24%,47.73%,0.00%,50.00%,80.00%,71.43%,45.45%,53.85%,58.82%,58.82%,63.16%,68.18%,61.54%,64.29%,65.52%,61.76%,62.16%,64.10%,75.00%,80.00%,77.78%,53.85%,53.85%,46.67%,50.00%,42.11%,42.86%,47.83%,48.15%,50.00%,45.16%,47.06%,50.00%,40.00%,42.86%,54.55%,50.00%,50.00%,44.44%,47.37%,47.37%,45.45%,44.83%,43.33%,45.16%,45.45%,48.65%,51.28%,52.38%,66.67%,60.00%,37.50%,50.00%,41.67%,50.00%,53.33%,53.33%,58.82%,63.16%,61.90%,63.64%,65.22%,66.67%,66.67%,64.29%,50.00%,75.00%,66.67%,63.64%,58.33%,66.67%,66.67%,60.87%,61.54%,58.62%,58.62%,54.55%,55.56%,55.00%,54.76%,56.82%
Buffalo,25.00%,33.33%,30.00%,33.33%,35.71%,35.71%,35.29%,35.29%,35.29%,35.29%,35.29%,31.58%,36.36%,37.50%,40.74%,40.74%,40.74%,100.00%,100.00%,100.00%,75.00%,83.33%,75.00%,75.00%,61.54%,60.00%,56.25%,60.00%,52.00%,54.84%,51.43%,50.00%,100.00%,100.00%,50.00%,33.33%,40.00%,50.00%,60.00%,63.64%,63.64%,69.23%,71.43%,71.43%,76.47%,77.78%,75.00%,66.67%,0.00%,33.33%,40.00%,42.86%,50.00%,60.00%,60.00%,60.00%,53.85%,50.00%,58.82%,50.00%,52.17%,51.85%,56.67%,56.25%,0.00%,0.00%,0.00%,20.00%,12.50%,12.50%,11.11%,20.00%,30.77%,28.57%,33.33%,35.29%,35.29%,45.45%,45.45%,48.00%,50.00%,50.00%,44.44%,41.67%,42.86%,42.86%,43.75%,41.18%,42.11%,45.00%,43.48%,41.38%,41.38%,41.38%,40.62%,40.00%,40.00%,66.67%,66.67%,71.43%,75.00%,75.00%,77.78%,72.73%,66.67%,66.67%,71.43%,73.33%,63.16%,60.00%,61.90%,63.64%,63.64%,100.00%,50.00%,60.00%,71.43%,80.00%,80.00%,85.71%,86.67%,77.78%,75.00%,70.37%,71.43%,70.00%,70.97%,72.73%,72.73%,80.00%,70.00%,64.29%,56.25%,50.00%,52.17%,52.17%,56.00%,57.69%,59.26%,59.26%,63.33%,62.50%,60.61%,61.11%,75.00%,55.56%,66.67%,75.00%,75.00%,66.67%,68.18%,68.18%,68.18%,65.38%,62.96%,64.29%,62.50%,63.64%,62.86%,63.89%,66.67%,60.00%,66.67%,62.50%,45.45%,50.00%,43.75%,44.44%,47.37%,50.00%,50.00%,50.00%,46.43%,46.43%,48.39%,46.88%,50.00%,50.00%,60.00%,71.43%,75.00%,72.73%,76.92%,77.78%,77.78%,78.95%,78.95%,70.83%,69.23%,67.86%,65.52%,68.75%
Carolina,100.00%,100.00%,100.00%,80.00%,57.14%,55.56%,63.64%,53.85%,57.14%,58.82%,52.63%,52.38%,56.52%,56.00%,55.56%,58.62%,57.58%,100.00%,83.33%,83.33%,71.43%,66.67%,70.00%,70.00%,75.00%,80.00%,78.95%,70.83%,70.37%,68.97%,67.74%,65.71%,50.00%,20.00%,50.00%,50.00%,53.33%,61.11%,61.11%,60.87%,55.56%,53.33%,53.33%,54.84%,55.88%,57.14%,55.26%,57.50%,--,0.00%,33.33%,50.00%,50.00%,60.00%,66.67%,57.14%,57.14%,58.82%,61.11%,63.16%,68.18%,69.57%,69.57%,70.83%,100.00%,100.00%,88.89%,90.00%,90.91%,84.62%,84.62%,78.57%,80.00%,75.00%,77.78%,77.78%,72.73%,72.73%,69.57%,70.83%,50.00%,25.00%,20.00%,37.50%,41.67%,41.67%,46.67%,50.00%,50.00%,50.00%,45.83%,44.44%,37.50%,35.14%,35.00%,31.82%,31.91%,0.00%,33.33%,50.00%,50.00%,50.00%,40.00%,36.36%,33.33%,29.41%,33.33%,36.36%,36.36%,34.78%,37.50%,42.86%,45.45%,100.00%,100.00%,66.67%,60.00%,60.00%,60.00%,71.43%,75.00%,75.00%,66.67%,70.00%,58.33%,50.00%,46.67%,50.00%,50.00%,66.67%,60.00%,66.67%,55.56%,53.85%,46.67%,44.44%,52.38%,52.38%,52.38%,48.00%,42.86%,39.39%,41.67%,42.50%,100.00%,33.33%,28.57%,36.36%,33.33%,33.33%,35.71%,33.33%,33.33%,40.00%,39.13%,40.74%,46.67%,48.48%,48.65%,48.72%,100.00%,100.00%,75.00%,75.00%,75.00%,69.23%,62.50%,60.00%,54.17%,52.00%,57.14%,56.67%,57.58%,58.82%,56.76%,56.41%,100.00%,75.00%,83.33%,85.71%,72.73%,66.67%,70.59%,70.59%,66.67%,66.67%,69.57%,69.57%,70.83%,68.97%,70.00%,68.75%
Chicago,100.00%,100.00%,100.00%,50.00%,50.00%,57.14%,50.00%,45.45%,38.46%,42.86%,41.18%,38.89%,40.91%,40.00%,38.46%,41.38%,41.38%,0.00%,20.00%,14.29%,25.00%,25.00%,22.22%,20.00%,25.00%,26.67%,23.53%,27.78%,26.32%,36.36%,36.36%,36.36%,0.00%,16.67%,14.29%,14.29%,25.00%,33.33%,38.46%,40.00%,41.18%,36.84%,40.00%,42.86%,40.91%,39.13%,37.50%,37.04%,50.00%,83.33%,85.71%,72.73%,66.67%,55.56%,55.56%,56.52%,58.33%,58.62%,60.00%,58.06%,52.94%,50.00%,50.00%,50.00%,--,50.00%,33.33%,50.00%,55.56%,61.54%,64.29%,66.67%,66.67%,64.71%,57.89%,52.17%,54.17%,56.00%,53.85%,50.00%,0.00%,0.00%,28.57%,50.00%,50.00%,50.00%,45.45%,45.45%,44.00%,44.44%,44.44%,43.33%,46.88%,50.00%,45.95%,46.15%,47.62%,100.00%,100.00%,100.00%,66.67%,66.67%,71.43%,73.33%,61.11%,66.67%,66.67%,68.18%,69.57%,68.00%,70.37%,67.86%,71.88%,100.00%,100.00%,85.71%,85.71%,66.67%,54.55%,53.85%,53.85%,56.25%,63.16%,60.00%,66.67%,62.96%,60.71%,62.50%,62.16%,66.67%,75.00%,83.33%,50.00%,54.55%,53.33%,50.00%,50.00%,52.38%,44.00%,44.83%,48.39%,48.39%,46.88%,47.06%,40.00%,50.00%,37.50%,41.67%,41.18%,41.18%,44.44%,42.86%,44.44%,44.44%,46.43%,45.16%,48.48%,51.43%,52.78%,50.00%,66.67%,71.43%,50.00%,53.33%,58.82%,60.00%,52.00%,52.00%,53.57%,56.67%,56.25%,57.14%,59.46%,61.90%,61.70%,62.50%,100.00%,100.00%,88.89%,90.91%,85.71%,76.47%,73.68%,77.27%,77.27%,75.00%,77.78%,73.33%,75.00%,72.22%,73.68%,75.00%
Cincinnati,100.00%,66.67%,75.00%,85.71%,75.00%,75.00%,75.00%,73.33%,70.59%,61.90%,62.50%,67.86%,70.97%,71.88%,67.57%,68.42%,65.00%,66.67%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,41.67%,42.86%,43.75%,50.00%,52.00%,57.14%,59.38%,58.82%,66.67%,71.43%,80.00%,81.82%,84.62%,76.47%,72.22%,76.19%,75.00%,75.00%,71.43%,69.70%,68.42%,67.50%,66.67%,66.67%,0.00%,33.33%,60.00%,54.55%,54.55%,58.33%,64.29%,64.71%,63.16%,62.50%,64.29%,65.62%,66.67%,64.86%,63.16%,63.41%,66.67%,88.89%,81.82%,83.33%,83.33%,85.71%,68.42%,70.00%,69.57%,69.57%,69.23%,67.74%,65.62%,63.64%,64.71%,63.89%,0.00%,0.00%,25.00%,40.00%,57.14%,44.44%,50.00%,50.00%,53.85%,53.85%,57.14%,60.00%,60.00%,60.00%,58.82%,57.89%,55.00%,0.00%,60.00%,50.00%,54.55%,53.85%,53.33%,61.90%,61.90%,60.87%,58.33%,53.85%,55.56%,55.17%,56.67%,59.38%,61.76%,66.67%,66.67%,60.00%,71.43%,77.78%,77.78%,76.92%,80.00%,77.78%,80.00%,75.00%,76.00%,71.43%,72.41%,70.00%,71.43%,66.67%,80.00%,80.00%,71.43%,63.64%,57.14%,57.14%,55.56%,61.90%,65.22%,61.54%,60.71%,62.07%,63.33%,59.38%,0.00%,60.00%,70.00%,69.23%,71.43%,76.47%,73.68%,73.68%,71.43%,76.00%,72.41%,72.73%,71.43%,72.22%,67.50%,65.85%,66.67%,60.00%,50.00%,50.00%,45.45%,57.14%,64.71%,66.67%,61.54%,64.29%,63.64%,63.64%,62.86%,60.98%,61.36%,62.00%,100.00%,50.00%,37.50%,37.50%,50.00%,50.00%,50.00%,41.18%,42.86%,42.86%,50.00%,50.00%,50.00%,51.61%,47.06%,47.37%
Cleveland,--,100.00%,100.00%,100.00%,77.78%,70.00%,75.00%,75.00%,75.00%,71.43%,68.42%,68.42%,65.00%,65.22%,68.00%,68.00%,62.96%,50.00%,50.00%,66.67%,60.00%,57.14%,72.73%,60.00%,60.00%,56.25%,58.82%,61.11%,66.67%,69.23%,70.37%,70.37%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,85.71%,87.50%,80.00%,69.23%,66.67%,68.75%,72.22%,70.00%,70.00%,70.00%,50.00%,25.00%,33.33%,55.56%,55.56%,55.56%,60.00%,58.33%,61.54%,60.00%,52.94%,52.94%,57.14%,59.09%,62.50%,60.00%,100.00%,85.71%,70.00%,69.23%,73.33%,70.00%,70.00%,73.91%,62.96%,64.52%,58.82%,59.46%,61.54%,61.90%,61.90%,63.64%,100.00%,100.00%,100.00%,75.00%,75.00%,62.50%,66.67%,63.64%,64.29%,64.71%,57.89%,57.89%,57.89%,57.89%,55.00%,55.00%,55.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,42.86%,42.86%,42.86%,63.64%,58.33%,66.67%,62.50%,47.62%,47.83%,50.00%,50.00%,50.00%,50.00%,55.56%,60.00%,46.15%,46.15%,35.29%,36.84%,38.10%,33.33%,36.00%,36.00%,40.74%,42.86%,100.00%,60.00%,71.43%,75.00%,75.00%,80.00%,80.00%,81.82%,83.33%,83.33%,78.57%,81.25%,82.35%,82.35%,78.95%,0.00%,50.00%,50.00%,42.86%,50.00%,50.00%,56.25%,52.94%,52.94%,52.94%,57.89%,57.14%,56.52%,50.00%,48.28%,50.00%,100.00%,100.00%,100.00%,100.00%,72.73%,76.92%,78.57%,81.25%,84.21%,84.21%,80.95%,81.82%,80.77%,82.76%,75.76%,73.53%,33.33%,33.33%,33.33%,33.33%,50.00%,43.75%,43.75%,44.44%,50.00%,43.48%,45.83%,42.31%,40.74%,36.67%,36.67%,38.71%
Dallas,50.00%,25.00%,25.00%,33.33%,50.00%,40.00%,46.67%,46.67%,44.44%,47.37%,47.37%,50.00%,52.00%,53.85%,51.72%,53.33%,54.84%,50.00%,50.00%,57.14%,57.14%,62.50%,60.00%,58.33%,62.50%,62.50%,63.16%,65.00%,60.87%,57.14%,55.17%,56.67%,75.00%,80.00%,60.00%,63.64%,71.43%,73.33%,75.00%,65.00%,65.00%,60.87%,56.00%,57.14%,58.62%,60.61%,61.76%,59.46%,50.00%,60.00%,60.00%,45.45%,35.71%,44.44%,47.62%,44.00%,48.15%,50.00%,45.45%,52.63%,50.00%,50.00%,48.94%,50.00%,66.67%,60.00%,57.14%,57.89%,61.90%,62.50%,59.26%,59.26%,59.38%,63.89%,67.50%,65.91%,68.75%,67.31%,67.31%,66.67%,25.00%,44.44%,41.67%,53.33%,57.89%,63.64%,62.50%,64.00%,62.96%,62.96%,62.07%,65.62%,66.67%,67.57%,67.50%,67.44%,67.44%,75.00%,50.00%,40.00%,36.36%,42.86%,42.86%,50.00%,52.17%,52.00%,53.85%,55.56%,56.67%,60.61%,62.86%,60.53%,60.00%,100.00%,66.67%,66.67%,66.67%,77.78%,83.33%,81.25%,77.78%,78.95%,78.26%,75.00%,67.74%,62.86%,63.16%,63.41%,63.64%,66.67%,83.33%,83.33%,88.89%,88.89%,90.00%,78.57%,80.00%,82.35%,77.27%,80.00%,81.48%,82.14%,84.38%,83.33%,100.00%,100.00%,80.00%,85.71%,85.71%,80.00%,81.82%,71.43%,73.33%,65.00%,63.64%,68.00%,66.67%,65.62%,65.71%,69.23%,50.00%,60.00%,66.67%,66.67%,72.22%,63.64%,62.50%,66.67%,66.67%,65.62%,65.62%,65.71%,61.54%,62.79%,63.04%,63.27%,50.00%,50.00%,50.00%,53.85%,60.00%,61.11%,63.64%,66.67%,65.38%,66.67%,66.67%,70.59%,68.57%,67.50%,66.67%,68.63%
Denver,0.00%,42.86%,45.45%,53.85%,53.33%,58.82%,57.89%,57.89%,54.55%,54.55%,57.69%,59.26%,56.67%,50.00%,47.37%,45.24%,45.24%,50.00%,50.00%,66.67%,71.43%,77.78%,76.92%,78.57%,83.33%,86.36%,86.36%,80.77%,75.86%,70.97%,66.67%,65.71%,100.00%,33.33%,33.33%,50.00%,45.45%,46.67%,47.06%,50.00%,50.00%,48.15%,43.33%,42.42%,41.67%,43.24%,43.90%,41.86%,0.00%,0.00%,66.67%,66.67%,75.00%,60.00%,57.14%,45.45%,53.33%,58.82%,50.00%,52.38%,56.52%,60.00%,58.62%,59.38%,100.00%,66.67%,60.00%,57.14%,57.14%,57.14%,63.64%,66.67%,69.23%,62.50%,60.00%,58.33%,53.85%,58.06%,59.38%,59.38%,40.00%,60.00%,57.14%,60.00%,62.50%,66.67%,68.42%,68.42%,71.43%,72.00%,67.86%,65.52%,63.64%,63.89%,64.86%,61.54%,59.52%,100.00%,50.00%,50.00%,62.50%,70.00%,64.29%,64.29%,60.00%,56.25%,61.11%,61.11%,60.00%,56.00%,59.26%,60.71%,64.52%,50.00%,50.00%,57.14%,66.67%,72.73%,69.23%,73.33%,70.59%,70.59%,70.83%,69.23%,70.00%,70.00%,67.74%,66.67%,63.89%,50.00%,60.00%,71.43%,80.00%,69.23%,69.23%,73.33%,75.00%,66.67%,65.22%,60.00%,61.54%,60.00%,61.29%,55.88%,50.00%,42.86%,55.56%,61.54%,68.75%,66.67%,66.67%,68.00%,68.97%,63.64%,66.67%,68.42%,69.05%,68.18%,64.58%,65.38%,100.00%,75.00%,75.00%,69.57%,68.97%,64.71%,65.79%,65.91%,65.91%,68.75%,66.67%,65.45%,68.33%,68.18%,69.12%,70.83%,75.00%,85.71%,88.89%,88.89%,85.71%,83.33%,79.17%,75.86%,75.00%,78.38%,78.95%,79.07%,80.00%,75.00%,75.51%,73.58%
