Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,78.36%,74.07%,75.07%,75.40%,75.77%,75.04%,75.04%,68.00%,65.26%,66.58%,67.32%,65.82%,66.43%,66.62%,65.01%,65.61%,65.86%,60.38%,64.17%,67.92%,59.13%,61.18%,61.18%,60.92%,58.55%,58.13%,56.87%,60.05%,60.95%,61.11%,63.06%,63.50%,90.25%,83.79%,78.92%,78.96%,80.32%,80.32%,79.30%,78.12%,78.56%,80.10%,79.52%,79.74%,80.14%,80.10%,80.53%,80.44%,77.11%,76.08%,74.23%,76.15%,75.81%,75.99%,76.18%,74.62%,74.62%,74.17%,73.37%,76.24%,74.49%,73.85%,73.30%,72.78%,38.31%,57.66%,66.48%,67.58%,68.85%,68.02%,69.39%,69.39%,70.83%,71.53%,72.18%,73.75%,72.40%,73.50%,73.10%,74.07%,61.75%,73.97%,70.66%,76.97%,75.00%,75.88%,75.88%,77.91%,75.86%,77.14%,77.87%,79.25%,79.88%,79.97%,80.36%,80.22%,79.87%,86.62%,76.83%,81.89%,81.89%,83.20%,82.95%,81.79%,80.24%,76.75%,76.29%,74.16%,74.17%,73.93%,73.47%,72.82%,72.83%,70.37%,64.34%,59.98%,60.64%,63.58%,63.58%,61.46%,64.34%,65.67%,68.67%,69.35%,71.01%,69.75%,66.85%,67.62%,67.49%,74.87%,73.26%,72.94%,68.94%,69.72%,69.72%,71.05%,68.86%,69.32%,70.21%,69.83%,65.36%,65.63%,67.01%,68.03%,83.00%,70.28%,68.73%,74.70%,76.63%,70.49%,69.47%,72.65%,74.12%,74.12%,70.92%,72.01%,70.73%,70.79%,69.66%,70.84%,77.95%,76.56%,73.71%,75.41%,73.55%,73.42%,74.91%,70.39%,70.39%,70.44%,73.77%,73.43%,73.51%,73.30%,72.27%,71.21%,72.95%,65.17%,68.52%,68.52%,71.03%,72.19%,71.06%,73.00%,72.61%,74.75%,76.04%,75.61%,76.78%,75.46%,73.77%,74.36%
Atlanta,69.18%,67.22%,69.34%,63.15%,67.17%,66.91%,64.20%,64.20%,62.75%,58.08%,55.64%,59.01%,59.96%,57.96%,56.35%,55.57%,55.27%,58.15%,47.59%,42.66%,43.83%,47.96%,51.40%,50.86%,52.23%,52.23%,50.48%,48.77%,49.25%,48.36%,47.48%,46.84%,37.30%,41.88%,41.69%,36.33%,44.42%,43.81%,42.46%,42.46%,44.63%,46.19%,48.76%,47.46%,47.85%,49.73%,49.78%,49.52%,34.55%,27.25%,32.23%,33.12%,33.12%,32.95%,37.39%,42.09%,42.78%,44.25%,44.24%,41.69%,40.69%,41.31%,43.28%,43.63%,63.77%,65.30%,71.83%,71.49%,68.57%,67.78%,69.35%,69.35%,66.50%,66.68%,68.03%,67.02%,67.92%,69.62%,68.00%,68.62%,32.91%,40.25%,43.92%,46.31%,47.62%,53.43%,53.43%,56.67%,54.74%,56.29%,57.54%,58.38%,58.47%,60.00%,59.49%,59.34%,57.73%,75.80%,66.41%,69.53%,69.53%,69.34%,69.92%,68.15%,67.30%,64.28%,63.21%,64.36%,65.18%,66.22%,67.20%,67.03%,66.48%,80.34%,62.25%,58.39%,61.73%,59.81%,62.27%,62.94%,62.94%,63.12%,65.33%,65.27%,64.90%,65.29%,64.99%,64.89%,64.90%,71.50%,64.77%,72.98%,72.31%,70.80%,67.28%,66.35%,66.35%,65.72%,66.54%,67.32%,67.83%,68.71%,69.49%,69.82%,77.66%,76.80%,73.91%,73.24%,74.81%,76.06%,76.06%,74.02%,73.85%,75.94%,76.66%,77.13%,75.82%,76.89%,76.17%,76.33%,76.02%,83.68%,76.25%,79.42%,79.97%,79.97%,81.76%,82.80%,81.80%,81.05%,78.96%,78.54%,77.12%,76.75%,76.78%,77.41%,78.35%,74.91%,73.33%,72.58%,73.45%,74.84%,74.69%,74.54%,74.54%,73.70%,73.84%,74.32%,74.02%,74.62%,74.74%,75.10%
Baltimore,61.90%,30.93%,33.22%,34.53%,34.53%,32.75%,40.91%,41.50%,43.51%,43.73%,43.93%,46.60%,47.53%,46.58%,47.08%,45.22%,45.83%,65.35%,49.32%,42.44%,46.00%,43.69%,43.69%,43.03%,47.06%,48.08%,50.67%,53.83%,53.11%,52.30%,52.28%,52.52%,80.80%,84.39%,84.39%,75.53%,70.30%,67.41%,67.34%,68.86%,66.75%,66.80%,65.92%,65.16%,65.46%,66.56%,65.66%,66.52%,61.99%,54.95%,62.63%,64.57%,63.68%,65.28%,65.28%,63.44%,63.78%,67.55%,67.66%,66.91%,67.34%,68.08%,67.56%,67.84%,65.92%,63.53%,64.53%,67.16%,67.30%,67.51%,66.33%,66.33%,65.12%,66.20%,66.08%,66.55%,65.44%,65.08%,64.07%,64.05%,36.03%,36.03%,39.78%,44.74%,46.94%,53.07%,54.67%,53.65%,53.88%,53.68%,53.88%,54.01%,55.56%,55.03%,54.55%,52.68%,54.17%,60.48%,59.61%,63.59%,64.57%,65.04%,68.25%,68.25%,67.03%,67.59%,66.34%,66.94%,66.89%,66.77%,64.05%,64.06%,62.94%,82.62%,70.79%,70.53%,72.51%,65.27%,66.85%,66.25%,66.25%,65.88%,65.66%,66.51%,67.16%,68.27%,68.67%,66.62%,65.11%,55.84%,64.98%,67.18%,65.48%,65.48%,66.88%,67.61%,68.62%,70.25%,70.94%,71.04%,70.53%,66.72%,66.12%,66.31%,71.63%,69.14%,71.86%,73.17%,70.51%,70.82%,70.68%,70.68%,68.71%,70.38%,70.74%,70.81%,70.16%,68.39%,69.06%,67.95%,85.24%,77.21%,74.92%,79.84%,76.48%,78.35%,77.49%,77.49%,77.78%,76.23%,73.03%,73.54%,73.76%,73.47%,73.26%,72.72%,78.33%,66.35%,63.40%,65.88%,66.31%,65.93%,66.05%,65.81%,67.33%,65.98%,65.98%,64.46%,64.45%,63.96%,64.34%,65.12%
Buffalo,67.40%,78.70%,76.73%,81.27%,78.95%,78.16%,73.07%,70.36%,70.36%,68.52%,65.77%,64.71%,64.45%,61.40%,61.50%,61.38%,61.77%,60.74%,66.60%,66.60%,63.50%,64.62%,63.46%,64.27%,61.46%,60.31%,60.30%,60.21%,61.01%,62.06%,59.59%,60.66%,51.90%,57.02%,44.71%,41.75%,45.20%,45.88%,47.66%,50.53%,50.53%,52.40%,53.66%,55.42%,56.73%,58.79%,59.87%,61.86%,58.75%,50.37%,57.90%,60.47%,60.42%,61.11%,62.43%,62.43%,59.90%,57.78%,61.67%,62.39%,63.16%,61.47%,61.75%,62.34%,39.13%,47.42%,46.00%,54.65%,56.66%,56.66%,56.80%,59.23%,60.11%,61.04%,61.46%,62.16%,63.22%,61.03%,60.58%,60.08%,68.64%,70.95%,70.33%,68.08%,68.56%,68.56%,68.94%,68.34%,70.77%,70.37%,67.54%,66.77%,65.74%,65.04%,63.20%,63.50%,62.27%,67.39%,56.86%,58.52%,61.91%,59.48%,58.21%,59.09%,58.45%,58.45%,59.86%,62.93%,62.79%,61.24%,58.60%,58.46%,59.31%,69.88%,50.57%,57.58%,55.53%,57.61%,57.61%,62.46%,61.80%,65.24%,63.45%,64.18%,65.43%,65.39%,63.42%,64.16%,64.31%,55.22%,54.32%,64.04%,65.01%,63.57%,62.75%,62.75%,63.02%,63.37%,62.26%,63.76%,64.70%,65.47%,65.50%,66.04%,50.00%,48.50%,52.02%,59.25%,58.92%,57.01%,56.94%,56.94%,59.01%,60.10%,59.87%,59.53%,57.30%,58.63%,59.04%,59.08%,52.45%,60.53%,61.43%,56.57%,56.22%,56.76%,57.87%,59.31%,57.70%,57.74%,59.50%,59.50%,58.73%,59.23%,58.18%,57.38%,46.39%,54.67%,59.36%,61.89%,66.91%,69.11%,68.99%,69.75%,69.75%,69.72%,70.27%,69.82%,69.31%,70.57%,69.71%,71.46%
Carolina,49.59%,41.40%,41.40%,43.55%,42.65%,43.08%,52.27%,50.18%,50.51%,53.57%,56.17%,57.04%,57.25%,57.46%,58.79%,59.49%,59.25%,87.33%,66.41%,66.41%,71.71%,71.73%,67.90%,66.20%,67.18%,69.70%,71.50%,69.40%,68.82%,68.64%,68.10%,69.39%,59.71%,59.17%,65.96%,66.58%,68.12%,70.69%,70.69%,71.63%,71.80%,70.40%,70.91%,70.10%,68.71%,68.82%,67.41%,68.13%,69.77%,64.61%,67.34%,62.07%,61.39%,66.86%,68.35%,67.86%,67.86%,68.77%,65.07%,64.81%,65.47%,68.22%,68.98%,66.31%,51.69%,65.85%,59.37%,59.13%,59.87%,58.25%,58.25%,58.90%,58.92%,59.17%,60.00%,61.09%,59.95%,60.21%,60.57%,60.95%,63.40%,57.62%,62.50%,66.09%,62.73%,66.10%,64.81%,65.22%,65.22%,62.19%,58.27%,59.27%,59.10%,56.61%,57.16%,56.95%,56.44%,49.11%,62.23%,65.57%,65.57%,65.51%,54.76%,58.83%,53.27%,52.94%,52.73%,52.71%,52.98%,52.67%,53.12%,54.48%,53.32%,62.45%,59.61%,62.28%,60.02%,57.80%,57.80%,63.18%,65.97%,62.86%,62.57%,61.82%,60.89%,60.24%,57.39%,56.11%,55.54%,84.49%,84.77%,79.29%,76.08%,72.77%,71.19%,69.21%,68.75%,68.75%,68.03%,67.87%,66.05%,65.37%,65.12%,64.11%,96.68%,70.03%,73.51%,67.36%,66.17%,66.17%,66.12%,67.02%,66.29%,67.36%,67.69%,68.22%,67.18%,66.33%,65.73%,65.37%,48.97%,53.83%,52.96%,52.96%,58.36%,59.66%,60.25%,60.24%,60.89%,60.48%,61.33%,60.71%,60.82%,60.00%,60.56%,60.70%,66.17%,72.95%,78.21%,78.34%,77.08%,74.75%,73.57%,72.07%,70.53%,70.26%,70.55%,70.55%,68.63%,66.04%,66.28%,64.87%
Chicago,56.69%,59.70%,59.70%,54.60%,50.38%,49.96%,51.18%,54.51%,55.93%,56.87%,57.22%,56.74%,57.63%,59.72%,59.89%,59.43%,59.75%,62.57%,52.23%,55.90%,61.21%,61.21%,56.70%,56.47%,55.95%,54.98%,54.01%,54.98%,55.52%,55.43%,57.43%,58.40%,75.30%,54.58%,55.88%,55.88%,50.15%,50.21%,49.83%,52.69%,51.08%,48.76%,49.15%,49.27%,47.84%,49.55%,49.16%,49.51%,69.81%,73.39%,76.71%,72.61%,69.25%,69.95%,69.95%,68.92%,68.46%,68.22%,65.70%,64.54%,63.33%,62.45%,63.19%,63.49%,60.40%,57.60%,61.47%,66.33%,67.43%,71.26%,73.11%,73.34%,73.34%,73.37%,72.86%,71.58%,72.15%,73.14%,73.71%,72.06%,42.63%,48.17%,53.47%,56.80%,62.01%,64.89%,67.52%,67.52%,65.64%,65.83%,65.73%,63.05%,62.54%,63.16%,63.83%,63.92%,64.70%,75.57%,79.27%,77.25%,70.02%,70.02%,71.83%,74.16%,70.83%,72.77%,74.51%,72.88%,72.96%,71.54%,71.87%,70.44%,70.49%,78.19%,81.97%,79.37%,76.23%,64.89%,67.62%,69.50%,69.50%,68.70%,68.05%,66.37%,65.96%,65.73%,66.17%,66.05%,65.80%,76.66%,76.24%,82.39%,68.72%,68.11%,68.17%,66.00%,66.00%,64.63%,63.53%,64.90%,64.07%,63.35%,61.68%,60.60%,73.36%,65.10%,64.25%,67.15%,64.30%,64.30%,61.08%,61.20%,60.39%,59.81%,58.89%,59.15%,59.62%,61.06%,60.85%,60.07%,74.92%,71.97%,68.50%,68.53%,70.83%,70.76%,69.40%,69.40%,68.22%,70.29%,70.04%,71.18%,71.25%,71.09%,70.15%,70.43%,79.86%,79.47%,78.67%,69.41%,70.63%,71.99%,72.72%,71.01%,71.01%,72.13%,71.92%,71.01%,72.60%,74.13%,73.01%,72.99%
Cincinnati,82.65%,74.65%,73.43%,73.29%,73.81%,73.81%,74.96%,71.44%,72.59%,68.25%,66.24%,64.32%,64.86%,64.73%,62.92%,63.06%,62.78%,67.81%,63.10%,67.05%,63.82%,63.82%,64.54%,63.45%,65.57%,65.44%,65.82%,66.15%,63.72%,65.44%,65.80%,64.60%,64.76%,65.91%,65.92%,67.77%,67.00%,67.38%,67.67%,67.93%,68.16%,68.16%,67.96%,68.08%,68.11%,66.09%,65.89%,66.31%,50.85%,61.51%,62.31%,65.06%,65.06%,68.52%,68.29%,69.73%,69.37%,70.65%,70.47%,71.17%,71.60%,71.35%,70.25%,69.34%,76.69%,74.97%,76.59%,77.22%,77.22%,77.60%,73.63%,73.12%,74.97%,75.34%,76.06%,74.91%,74.63%,72.50%,73.01%,71.42%,54.55%,57.18%,63.69%,64.51%,67.39%,68.32%,67.26%,66.05%,63.57%,63.57%,65.50%,66.59%,66.40%,66.49%,66.43%,63.41%,61.28%,71.99%,62.14%,62.51%,61.46%,62.25%,65.59%,63.07%,63.07%,62.72%,63.40%,61.92%,59.37%,59.65%,58.84%,60.00%,59.29%,79.67%,73.42%,69.47%,73.70%,70.57%,70.57%,73.00%,71.58%,72.43%,73.14%,72.10%,72.08%,71.85%,72.32%,70.59%,70.74%,52.72%,68.79%,67.92%,66.15%,66.40%,67.74%,67.74%,67.25%,67.08%,66.46%,67.77%,67.59%,66.85%,66.70%,66.35%,59.94%,70.01%,74.30%,71.74%,71.97%,74.01%,72.72%,72.72%,73.03%,72.97%,70.75%,68.22%,67.75%,66.93%,65.40%,66.93%,81.47%,74.56%,73.95%,74.43%,69.90%,68.98%,71.86%,73.01%,71.92%,71.45%,70.40%,70.40%,69.04%,68.59%,69.19%,70.12%,79.21%,70.77%,68.32%,68.32%,69.84%,67.91%,68.44%,68.42%,66.44%,65.43%,64.11%,63.96%,63.76%,65.13%,62.61%,61.17%
Cleveland,65.00%,65.27%,70.40%,73.40%,70.64%,65.34%,65.08%,64.46%,64.46%,64.07%,67.05%,67.36%,68.05%,66.31%,66.07%,65.92%,62.92%,66.00%,51.11%,53.19%,56.64%,58.95%,61.52%,60.90%,60.90%,60.64%,61.48%,60.92%,64.10%,65.70%,65.06%,63.87%,74.53%,80.37%,78.09%,78.09%,76.93%,75.12%,70.63%,67.59%,66.52%,68.00%,66.05%,66.37%,66.48%,66.11%,66.48%,66.59%,54.30%,70.84%,76.77%,73.16%,71.29%,71.29%,72.20%,68.01%,68.49%,67.75%,67.69%,68.22%,67.88%,70.06%,70.13%,69.24%,79.19%,64.90%,66.88%,66.98%,68.39%,67.51%,67.51%,67.01%,69.65%,69.96%,70.05%,69.30%,70.06%,68.95%,67.32%,67.09%,55.61%,65.13%,62.91%,58.51%,58.51%,61.92%,61.13%,63.07%,64.81%,64.04%,62.65%,62.48%,61.62%,62.57%,63.02%,61.11%,59.68%,66.79%,69.44%,67.28%,65.68%,57.25%,56.78%,56.91%,54.95%,54.95%,54.23%,57.18%,57.75%,59.20%,57.08%,52.28%,51.51%,69.41%,72.30%,62.88%,62.36%,65.89%,68.21%,65.36%,65.36%,61.68%,62.01%,62.66%,62.35%,63.52%,62.56%,63.66%,63.65%,70.88%,67.86%,70.16%,73.29%,73.29%,73.71%,70.36%,71.29%,71.52%,70.37%,68.72%,67.24%,67.74%,67.74%,67.43%,52.86%,64.71%,70.53%,75.52%,76.00%,74.40%,75.57%,72.72%,71.40%,71.40%,70.44%,69.32%,69.94%,68.79%,69.52%,69.10%,83.85%,79.64%,77.58%,76.53%,75.08%,73.69%,72.50%,73.94%,74.25%,74.25%,73.72%,74.89%,75.22%,75.54%,75.47%,74.58%,52.96%,57.22%,63.60%,64.15%,63.50%,62.21%,63.66%,66.56%,68.70%,66.98%,68.83%,68.48%,69.06%,68.04%,67.55%,67.35%
Dallas,63.03%,68.24%,68.24%,60.72%,63.75%,63.03%,62.49%,62.78%,60.61%,59.64%,60.66%,62.35%,63.43%,61.80%,59.63%,60.20%,61.27%,83.22%,77.20%,78.54%,78.54%,71.10%,71.13%,72.93%,71.71%,70.97%,71.64%,70.71%,68.61%,66.85%,66.11%,66.11%,63.79%,69.48%,73.15%,70.67%,68.88%,70.12%,66.87%,65.79%,65.79%,66.58%,64.66%,65.37%,65.12%,65.73%,64.95%,63.42%,72.76%,67.25%,67.25%,59.21%,58.11%,56.88%,61.29%,61.46%,62.64%,63.71%,63.91%,64.39%,64.83%,64.96%,65.52%,65.27%,70.29%,62.89%,65.19%,65.40%,68.06%,67.74%,67.56%,67.56%,68.50%,69.11%,70.05%,68.39%,68.94%,69.48%,69.86%,69.41%,65.71%,72.89%,65.76%,70.19%,65.93%,68.19%,67.62%,67.13%,66.46%,66.46%,66.13%,67.81%,68.46%,68.37%,68.41%,68.62%,68.74%,74.46%,56.07%,54.93%,59.16%,61.70%,61.70%,63.43%,64.11%,65.73%,66.70%,65.36%,64.80%,67.00%,67.13%,67.12%,67.48%,72.89%,82.41%,79.57%,79.57%,77.40%,76.25%,77.11%,78.79%,78.95%,78.62%,76.45%,75.55%,72.65%,72.35%,72.08%,70.70%,83.59%,87.36%,81.08%,79.23%,79.23%,79.30%,71.20%,70.91%,69.83%,68.94%,69.46%,69.63%,70.22%,70.08%,69.34%,66.97%,73.66%,77.58%,81.39%,81.39%,74.29%,74.08%,77.56%,78.20%,77.10%,77.38%,79.04%,78.26%,78.54%,78.58%,79.55%,73.72%,80.89%,69.67%,70.01%,75.56%,75.75%,76.37%,76.42%,77.93%,76.51%,76.51%,75.56%,74.09%,71.45%,71.43%,71.29%,66.75%,53.73%,56.88%,57.00%,59.82%,59.78%,60.28%,59.94%,60.27%,60.46%,60.46%,61.24%,61.48%,60.64%,61.18%,61.52%
Denver,37.20%,43.56%,46.03%,53.24%,55.57%,57.02%,57.02%,56.23%,56.48%,56.48%,56.30%,55.21%,53.59%,52.83%,53.48%,53.28%,53.05%,51.09%,59.95%,68.55%,66.12%,62.58%,58.63%,58.97%,64.27%,64.01%,64.01%,63.36%,63.66%,64.72%,63.72%,63.98%,77.56%,73.87%,61.14%,55.85%,52.56%,53.91%,53.34%,53.62%,53.62%,54.54%,54.20%,53.96%,55.05%,56.05%,56.33%,56.80%,37.84%,46.97%,53.94%,53.94%,52.79%,50.49%,51.71%,50.07%,52.17%,54.45%,54.14%,56.35%,55.00%,54.64%,55.98%,55.97%,63.62%,61.36%,66.07%,59.35%,61.99%,61.99%,63.53%,64.87%,67.00%,65.94%,64.68%,65.03%,65.42%,64.16%,64.94%,64.68%,68.03%,69.15%,69.83%,72.16%,71.52%,69.89%,69.02%,69.02%,71.86%,72.86%,72.05%,71.43%,71.67%,71.31%,70.55%,70.14%,70.63%,75.17%,65.25%,57.61%,59.45%,63.11%,64.01%,64.01%,64.26%,66.50%,65.90%,65.20%,64.97%,62.48%,63.37%,64.29%,64.61%,75.48%,78.96%,83.93%,86.06%,86.54%,82.20%,80.92%,81.50%,81.50%,79.43%,79.03%,78.41%,75.90%,74.54%,73.58%,73.35%,87.74%,73.09%,73.46%,72.08%,66.47%,66.47%,62.43%,58.79%,53.73%,50.26%,49.90%,48.94%,49.51%,50.73%,49.44%,71.86%,68.36%,74.07%,71.83%,73.94%,75.61%,75.61%,72.23%,73.22%,74.11%,73.27%,73.35%,73.30%,72.79%,71.54%,71.75%,87.25%,81.39%,76.99%,75.31%,76.32%,75.77%,76.99%,76.87%,76.87%,77.06%,76.93%,73.20%,73.41%,73.29%,74.24%,74.50%,71.75%,72.30%,77.80%,77.80%,79.95%,76.56%,75.85%,74.54%,76.91%,76.66%,78.23%,75.98%,73.55%,72.56%,72.23%,72.59%
