Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,344.0,268.5,270.0,233.8,210.8,214.0,214.0,196.7,190.0,200.3,194.9,194.6,191.0,187.9,185.0,187.3,185.3,157.0,137.0,151.0,153.8,166.4,166.4,170.2,158.0,156.9,147.7,164.3,165.2,164.8,175.1,181.9,287.0,292.0,253.3,281.5,303.6,303.6,272.7,254.0,260.6,271.6,272.2,274.8,280.2,277.1,276.0,276.6,283.0,237.0,240.0,220.2,220.6,220.5,213.9,203.6,203.6,204.2,206.6,223.7,220.0,220.9,219.1,221.1,100.0,199.5,234.0,229.2,239.6,226.2,233.9,233.9,226.1,228.3,225.2,246.2,239.8,244.8,242.6,251.0,176.0,270.0,245.7,290.8,282.6,273.2,273.2,287.7,293.5,297.3,305.8,309.6,303.4,301.0,299.0,288.5,292.1,259.0,262.0,274.3,274.3,279.8,280.2,269.5,263.3,262.4,271.0,270.0,265.2,266.8,258.6,255.7,258.5,266.0,207.5,174.3,152.5,152.6,152.6,146.2,167.6,168.1,181.2,191.2,191.1,185.1,182.1,181.6,181.3,295.0,263.0,253.3,243.0,237.2,237.2,240.5,220.1,216.6,223.9,216.4,206.4,207.8,212.6,218.1,210.0,175.0,181.0,203.0,209.8,199.8,204.1,210.9,219.2,219.2,201.4,210.5,197.6,190.9,184.2,186.5,304.0,282.5,242.0,241.5,225.2,236.7,232.0,221.4,221.4,222.9,240.8,245.3,246.5,247.7,245.4,240.2,294.0,218.0,230.0,230.0,217.0,222.2,225.5,240.3,239.9,247.3,253.2,242.9,247.2,245.5,237.3,233.9
Atlanta,220.0,202.0,170.3,158.5,194.0,184.3,173.4,173.4,170.1,157.7,149.5,159.3,160.5,160.2,150.8,148.7,150.5,132.0,153.0,131.7,135.8,145.6,155.7,148.1,163.6,163.6,158.8,152.6,157.8,152.3,151.0,149.5,119.0,113.5,131.3,119.2,152.2,144.5,138.9,138.9,149.0,153.8,167.7,165.7,163.5,172.4,168.4,165.7,133.0,104.5,107.0,116.0,116.0,114.0,132.7,153.3,153.4,157.9,150.3,141.4,139.0,139.2,147.0,143.5,169.0,167.5,228.7,225.0,199.8,196.7,205.6,205.6,196.2,195.4,197.5,192.1,203.1,209.5,196.4,203.5,156.0,142.5,159.0,156.8,164.2,187.0,187.0,197.1,197.6,203.2,207.9,212.5,212.1,220.0,218.4,212.1,208.5,213.0,216.5,210.7,210.7,240.2,229.2,220.0,228.7,215.8,216.7,221.2,221.3,222.3,228.5,223.1,223.8,237.0,230.0,225.0,233.5,221.4,222.5,233.4,233.4,233.6,241.2,242.4,236.5,233.8,231.2,226.7,220.9,276.0,228.0,250.3,260.5,239.6,226.2,222.3,222.3,228.1,240.9,248.4,248.2,249.8,254.2,255.8,292.0,250.0,255.0,267.5,281.6,274.8,274.8,270.7,278.1,292.6,292.9,297.6,286.1,289.2,287.5,286.4,279.0,318.0,289.0,316.5,313.0,313.0,306.3,300.4,289.2,275.1,274.4,273.5,273.3,268.2,262.2,267.5,445.0,328.5,333.7,322.2,319.2,306.8,289.6,280.0,280.0,272.4,271.2,269.5,276.8,284.3,286.1,288.5
Baltimore,143.0,96.5,96.7,103.5,103.5,97.2,127.8,127.6,131.1,130.1,127.3,140.8,142.8,141.8,143.9,139.8,140.8,166.0,126.5,126.3,126.5,116.4,116.4,107.0,122.3,123.8,130.7,140.4,131.9,134.6,138.4,142.4,324.0,246.0,246.0,212.0,216.0,213.0,199.7,206.3,195.0,185.6,180.7,181.5,180.1,185.5,190.4,196.3,168.0,147.0,182.7,174.5,170.4,177.3,177.3,174.3,183.1,204.0,206.1,202.0,204.1,210.2,211.6,214.6,207.0,196.0,214.7,237.8,233.0,222.7,216.7,216.7,194.6,195.9,200.3,196.1,197.2,193.2,192.4,192.1,129.0,129.0,125.5,130.3,136.0,150.6,161.8,164.9,173.8,173.4,171.5,168.5,179.8,176.2,170.1,166.9,175.5,303.0,242.0,273.7,267.0,248.6,268.3,268.3,253.9,242.1,231.4,233.9,236.4,226.6,227.6,227.2,221.9,233.0,191.5,213.0,222.2,214.2,224.8,225.4,225.4,229.2,226.4,231.6,233.9,233.2,229.9,224.1,215.6,215.0,199.5,261.3,234.8,234.8,245.6,223.3,234.0,240.9,241.7,244.3,236.7,230.2,228.8,226.8,308.0,261.0,301.3,310.2,281.2,272.7,251.0,251.0,237.8,249.2,239.6,246.5,240.8,235.5,234.6,239.5,335.0,266.0,231.0,253.5,253.0,263.0,254.7,254.7,250.8,234.4,225.3,227.1,227.9,227.9,227.0,227.7,329.0,247.5,237.3,259.8,247.2,257.0,255.7,247.1,249.6,240.7,240.7,240.1,238.8,240.8,239.4,235.3
Buffalo,215.0,271.5,206.7,226.8,216.8,204.0,208.6,199.1,199.1,186.4,183.1,177.2,183.4,173.4,171.9,167.3,167.8,147.0,161.5,161.5,174.0,173.5,179.6,180.5,166.3,168.5,158.1,159.8,171.3,178.4,172.8,172.6,164.0,132.0,100.0,91.8,100.8,111.3,113.4,130.1,130.1,132.1,132.6,135.4,140.9,143.1,146.9,156.3,141.0,103.5,171.0,179.0,160.6,160.0,162.9,162.9,150.5,139.4,158.8,159.7,160.3,159.1,161.0,167.0,72.0,96.5,92.0,123.5,128.4,128.4,130.2,145.7,165.4,163.8,162.5,166.2,173.8,173.1,169.6,166.7,232.0,221.0,234.7,217.5,214.6,214.6,222.3,222.0,227.0,213.8,207.2,213.2,211.6,201.4,195.5,195.0,190.0,186.0,203.0,186.7,180.0,172.6,169.5,161.6,154.8,154.8,160.6,173.5,176.5,167.8,160.5,158.7,157.3,116.0,89.0,139.3,131.8,144.6,144.6,184.2,185.1,198.8,192.1,203.7,208.4,203.9,198.3,199.2,202.2,201.0,229.5,276.0,254.5,241.2,237.5,237.5,239.6,233.5,222.7,221.0,223.6,228.5,225.2,229.9,195.0,186.5,193.0,229.8,206.8,195.8,198.7,198.7,202.6,215.6,210.1,206.4,198.5,200.2,201.2,202.9,150.0,218.5,215.0,198.0,196.0,195.3,192.9,195.1,198.9,192.2,197.0,197.0,198.1,194.2,192.3,191.9,167.0,184.5,191.3,198.5,217.6,226.0,230.1,228.0,228.0,230.8,226.0,225.5,221.8,230.9,224.4,230.0
Carolina,120.0,103.5,103.5,125.0,124.8,130.2,165.0,162.1,166.0,176.8,190.8,188.8,189.8,186.0,189.2,193.9,190.4,262.0,218.5,218.5,243.3,223.2,215.8,204.3,210.6,217.6,226.9,220.2,217.3,221.6,219.1,225.9,209.0,177.5,197.7,197.2,206.4,215.8,215.8,233.7,230.8,218.3,214.8,211.8,207.8,206.8,203.8,206.7,150.0,157.0,187.7,180.0,177.8,207.5,208.9,198.8,198.8,203.3,199.9,196.5,202.6,219.2,217.6,203.8,199.0,243.0,208.0,190.2,183.2,184.8,184.8,184.9,175.9,172.4,180.3,177.7,176.0,170.1,172.8,171.1,246.0,174.0,168.3,199.8,207.0,212.8,210.0,213.5,213.5,196.1,186.7,194.6,192.6,190.5,194.9,194.3,197.4,83.0,189.5,192.3,192.3,184.8,158.8,183.8,169.7,172.1,174.7,177.3,170.6,169.1,169.8,177.2,176.7,148.0,153.5,162.3,155.0,136.4,136.4,164.2,165.9,153.6,156.8,156.1,157.8,157.3,151.1,149.3,142.3,403.0,403.5,321.7,334.8,311.6,297.3,288.0,285.1,285.1,271.9,271.9,263.2,259.8,259.7,251.9,291.0,267.5,267.3,251.8,223.0,223.0,221.8,232.6,228.6,225.2,226.1,231.8,230.8,234.6,233.4,228.4,119.0,151.0,170.0,170.0,192.0,200.8,197.3,197.0,202.6,195.6,198.7,195.1,200.8,193.8,198.6,194.8,221.0,236.0,259.7,256.8,251.6,257.0,252.1,239.6,226.6,225.4,230.8,230.8,225.8,225.8,228.9,226.6
Chicago,72.0,100.0,100.0,126.7,131.0,131.0,129.8,138.9,148.5,146.8,146.7,143.5,153.8,159.8,158.7,164.0,163.6,214.0,169.5,192.7,192.5,192.5,160.8,149.2,147.0,142.2,134.8,135.8,131.7,135.2,138.6,139.4,125.0,137.0,141.0,141.0,128.2,122.0,123.8,137.3,136.5,128.8,129.5,128.7,122.1,126.9,124.9,127.0,252.0,273.0,273.3,259.8,246.8,227.3,227.3,231.6,226.2,227.1,215.5,211.5,195.8,196.2,204.4,206.7,122.0,127.0,139.3,163.0,171.0,205.0,220.6,217.0,217.0,217.0,219.1,214.7,217.2,223.2,219.9,212.2,136.0,138.5,174.7,175.5,206.0,218.7,226.6,226.6,219.0,213.0,206.8,199.5,193.2,194.5,192.9,189.5,191.7,266.0,248.5,243.3,213.8,213.8,229.0,231.5,226.9,241.9,249.1,240.0,229.6,221.2,219.2,210.5,213.7,362.0,316.0,277.0,220.5,182.2,192.8,201.9,201.9,198.9,202.3,195.4,197.5,197.4,192.8,192.6,193.2,289.0,237.5,251.0,211.5,216.6,223.5,222.7,222.7,220.9,208.2,216.0,217.2,206.4,197.2,189.4,314.0,194.0,186.3,206.5,222.6,222.6,206.3,195.6,195.9,189.0,175.9,176.5,181.2,191.9,185.9,183.1,242.0,267.0,228.3,242.8,262.2,262.2,256.0,256.0,257.9,262.6,257.8,265.6,272.2,277.5,276.4,271.0,341.0,255.5,236.0,242.2,246.2,266.5,254.0,251.1,251.1,251.7,259.5,246.1,246.9,254.2,246.9,241.8
Cincinnati,243.0,265.0,218.3,217.5,216.4,216.4,221.0,222.6,221.8,217.3,217.8,218.8,222.8,218.5,214.9,213.1,209.5,238.0,177.0,214.3,199.8,199.8,186.0,186.3,190.7,193.4,196.0,191.1,196.5,209.8,218.8,212.2,272.0,304.5,256.7,260.8,255.0,257.2,250.6,247.0,245.2,245.2,253.5,257.9,254.9,242.5,244.5,246.2,120.0,220.5,200.0,202.0,202.0,212.0,215.0,221.1,216.2,238.6,241.3,246.6,245.0,249.5,242.0,238.8,181.0,287.5,301.0,282.2,282.2,284.8,273.7,263.9,264.8,263.8,269.8,270.5,262.6,256.1,255.8,246.4,84.0,105.5,152.0,149.5,161.2,155.7,151.7,151.2,151.4,151.4,158.9,159.5,154.3,155.5,159.0,152.1,150.4,221.0,194.5,187.3,195.8,208.8,215.7,218.1,218.1,218.8,211.9,207.8,197.6,198.0,189.8,197.1,192.7,341.0,250.0,228.3,257.8,248.0,248.0,270.8,254.4,249.9,252.0,249.6,237.5,235.7,229.5,228.1,230.8,155.0,232.5,204.7,225.2,212.6,221.2,221.2,212.4,212.1,207.4,223.1,226.2,218.0,215.4,212.4,193.0,244.0,291.0,279.2,267.0,282.8,257.4,257.4,259.6,252.9,249.6,244.5,241.8,237.8,227.4,229.1,277.0,278.5,257.3,243.8,230.8,245.3,262.3,269.9,273.4,270.5,256.6,256.6,251.1,252.9,250.7,257.2,301.0,301.5,262.3,262.3,257.0,269.6,241.8,241.4,240.2,222.3,222.0,223.0,219.1,227.0,218.1,213.3
Cleveland,182.0,148.5,165.7,191.8,193.4,180.0,179.4,171.9,171.9,166.0,188.6,190.8,188.8,185.6,184.7,181.3,177.1,165.0,115.5,130.7,144.0,154.8,180.7,187.6,187.6,179.9,177.7,171.6,191.1,195.2,179.3,174.0,278.0,307.0,267.3,267.3,251.0,224.0,196.0,192.1,202.1,206.6,205.4,203.5,203.6,197.5,196.5,191.6,101.0,172.5,198.3,193.5,186.2,186.2,177.0,168.9,173.9,170.7,173.9,171.9,181.6,188.8,187.4,181.3,175.0,251.5,242.3,232.8,238.4,239.3,239.3,238.9,254.5,239.9,242.8,243.4,247.7,242.8,234.8,235.4,114.0,134.5,122.7,123.8,123.8,161.0,156.5,167.9,173.1,180.4,180.0,176.8,169.8,167.7,165.6,157.3,148.8,179.0,162.5,146.7,172.2,142.2,136.2,128.3,121.5,121.5,116.2,135.4,133.2,143.5,138.9,133.7,132.7,236.0,231.0,197.7,193.0,198.6,208.5,190.9,190.9,188.8,189.6,190.1,193.5,194.0,185.4,187.8,187.1,202.0,199.5,203.0,235.2,235.2,228.8,217.2,218.1,206.9,207.1,205.0,199.1,197.0,197.7,198.8,111.0,210.0,209.0,235.2,246.4,241.7,244.9,228.9,222.8,222.8,219.7,211.5,223.3,221.4,222.2,216.9,244.0,219.0,248.0,247.8,238.0,243.2,227.4,234.4,235.2,235.2,234.5,241.5,249.9,260.4,261.3,255.1,206.0,204.0,230.7,232.7,245.8,238.4,231.5,236.6,242.0,237.1,245.1,251.3,250.4,240.7,227.1,221.5
Dallas,254.0,275.0,275.0,236.0,244.0,229.8,224.3,209.1,207.0,196.7,197.7,202.8,207.8,197.6,190.9,193.0,197.6,352.0,333.5,301.3,301.3,254.0,252.8,260.0,255.7,249.0,248.7,236.6,225.4,223.8,218.0,213.6,192.0,226.5,267.0,247.0,255.4,261.7,240.1,235.4,235.4,229.6,217.0,218.1,210.3,218.5,210.5,208.5,235.0,232.0,232.0,214.3,204.2,200.2,218.5,224.1,229.5,238.2,236.9,242.5,243.5,242.5,243.6,235.3,336.0,261.0,274.0,288.2,292.4,274.7,271.6,271.6,278.1,274.2,275.5,265.9,269.5,270.4,264.4,263.9,320.0,316.0,289.3,292.0,268.6,274.0,265.9,245.4,229.4,229.4,226.3,236.1,244.0,240.2,238.8,238.5,236.8,344.0,235.5,236.0,237.2,259.4,259.4,266.0,263.6,265.9,260.4,249.6,254.1,264.5,262.5,264.8,266.1,277.0,325.5,311.7,311.7,326.2,305.0,289.7,300.4,283.6,288.1,272.4,276.1,265.7,263.6,266.2,261.7,326.0,376.5,334.3,331.0,331.0,324.8,295.8,279.6,279.5,278.4,277.0,271.6,270.8,273.4,270.9,290.0,268.5,265.3,296.2,296.2,287.8,277.7,297.3,299.1,287.3,284.3,296.9,296.7,292.2,294.8,302.2,244.0,262.5,242.7,238.8,285.0,265.0,269.1,261.2,267.1,250.8,250.8,246.5,243.3,234.6,241.6,239.7,255.0,201.5,206.7,218.8,238.2,238.3,242.4,240.1,232.8,234.3,234.3,237.2,231.9,229.7,231.1,232.3
Denver,109.0,147.0,162.3,185.0,206.6,199.7,197.3,183.9,181.6,181.6,188.1,186.0,178.3,182.9,187.9,191.2,185.6,211.0,230.5,250.7,222.5,222.8,217.3,214.1,249.8,247.0,247.0,244.7,244.7,246.2,244.2,246.0,242.0,237.5,204.0,182.5,164.4,179.3,181.4,197.4,197.4,198.2,199.2,194.6,199.8,201.5,205.6,209.2,98.0,135.5,175.7,175.7,158.2,144.8,153.5,155.7,163.9,168.0,168.0,171.5,167.2,167.2,173.5,172.6,299.0,279.5,259.0,227.0,226.4,226.4,227.7,230.0,233.2,228.0,224.5,230.6,228.6,229.3,229.8,223.3,300.0,320.5,301.7,314.2,296.8,279.3,263.6,263.6,268.8,287.9,279.9,273.0,280.0,280.5,271.7,277.0,279.4,227.0,245.0,215.7,217.0,237.8,236.0,236.0,221.4,220.6,216.7,210.6,212.8,209.1,213.2,216.3,213.3,274.0,289.0,350.0,339.5,333.0,311.0,290.1,296.2,296.2,296.6,284.1,288.3,271.4,262.5,253.0,256.5,272.0,229.5,210.3,224.0,201.8,201.8,190.0,179.6,171.2,159.9,154.3,153.1,155.8,160.8,159.4,240.0,229.0,258.0,278.0,287.2,290.8,290.8,292.9,292.6,292.9,288.9,287.5,283.7,284.0,277.1,281.2,445.0,376.0,374.7,363.8,373.8,360.7,361.3,358.5,358.5,353.4,350.4,330.5,336.6,341.2,336.6,340.7,259.0,248.0,264.0,264.0,317.0,297.8,298.8,297.0,313.5,317.9,323.0,316.3,304.4,294.3,289.4,290.1
