Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,4.17%,4.17%,3.15%,3.36%,4.44%,4.59%,4.59%,4.51%,4.74%,5.59%,5.35%,4.96%,4.81%,5.01%,5.53%,6.53%,7.45%,6.45%,10.77%,12.62%,12.10%,10.62%,10.62%,10.05%,10.18%,9.30%,9.15%,8.82%,8.22%,7.66%,7.13%,7.01%,5.08%,7.55%,7.59%,7.22%,6.22%,6.22%,6.96%,7.10%,7.18%,6.39%,6.04%,6.05%,5.89%,5.80%,6.35%,6.27%,7.50%,9.64%,8.04%,8.97%,9.24%,7.93%,8.02%,8.31%,8.31%,7.65%,7.30%,6.64%,6.49%,6.03%,6.17%,6.22%,3.45%,1.52%,1.87%,2.78%,2.69%,3.27%,3.11%,3.11%,2.79%,3.07%,3.64%,4.15%,3.86%,4.48%,4.59%,4.17%,9.09%,8.20%,7.45%,7.69%,6.06%,5.68%,5.68%,5.32%,5.06%,4.47%,4.46%,4.16%,3.83%,3.77%,4.11%,4.36%,4.26%,6.38%,3.80%,5.11%,5.11%,4.55%,4.52%,4.63%,4.56%,4.40%,3.96%,4.11%,4.04%,3.77%,4.31%,4.37%,4.41%,4.65%,5.13%,5.66%,10.49%,10.80%,10.80%,9.95%,8.73%,9.82%,9.85%,9.14%,8.59%,8.85%,8.16%,8.17%,7.97%,6.90%,8.06%,7.69%,8.45%,8.25%,8.25%,7.83%,9.34%,9.15%,9.14%,8.78%,8.96%,9.49%,9.29%,9.16%,2.70%,3.08%,5.43%,8.78%,10.63%,10.89%,11.68%,10.95%,10.13%,10.13%,10.12%,9.39%,9.18%,9.03%,8.85%,8.74%,9.09%,5.88%,7.26%,6.13%,6.22%,5.53%,6.97%,7.47%,7.47%,7.04%,6.99%,7.03%,7.40%,7.11%,7.06%,7.08%,5.13%,8.33%,5.66%,5.66%,6.29%,5.32%,5.00%,4.20%,4.36%,4.68%,4.28%,4.71%,4.30%,4.43%,4.36%,4.69%
Atlanta,6.90%,7.35%,6.93%,10.00%,8.67%,8.82%,8.12%,8.12%,8.30%,7.96%,7.57%,7.41%,6.91%,7.01%,7.44%,7.20%,7.07%,15.38%,10.87%,14.08%,11.24%,12.70%,12.67%,12.85%,11.71%,11.71%,12.83%,12.50%,11.83%,12.10%,11.61%,11.68%,14.81%,14.00%,9.09%,8.00%,8.03%,7.45%,7.89%,7.89%,8.04%,8.17%,8.05%,7.50%,8.06%,7.53%,7.40%,7.80%,4.35%,9.52%,11.54%,10.78%,10.78%,13.24%,11.38%,10.71%,10.00%,8.82%,9.73%,9.85%,9.65%,9.54%,9.75%,9.93%,15.79%,20.00%,12.73%,11.35%,9.89%,9.78%,9.29%,9.29%,8.81%,8.64%,8.78%,8.58%,8.30%,8.19%,8.13%,7.85%,7.14%,9.80%,7.25%,6.25%,5.07%,4.17%,4.17%,4.21%,5.02%,4.58%,4.07%,4.02%,3.76%,3.43%,3.47%,3.73%,3.77%,5.26%,3.08%,2.15%,2.15%,1.60%,1.27%,3.05%,3.72%,4.46%,3.87%,3.91%,4.90%,4.85%,4.70%,4.40%,4.63%,4.35%,3.80%,4.50%,5.10%,5.35%,5.60%,4.91%,4.91%,4.32%,4.25%,3.83%,4.03%,3.71%,4.04%,3.95%,3.92%,9.62%,10.71%,9.63%,7.34%,6.67%,6.44%,6.64%,6.64%,6.42%,5.73%,5.25%,5.28%,4.75%,4.96%,4.84%,3.12%,2.90%,3.60%,6.96%,5.69%,5.22%,5.22%,5.36%,5.68%,5.14%,4.80%,4.67%,4.55%,4.49%,4.43%,4.36%,7.32%,5.81%,4.03%,3.89%,3.95%,3.95%,3.54%,4.08%,4.03%,4.16%,4.41%,5.05%,5.68%,5.50%,5.62%,5.35%,2.27%,3.33%,3.36%,3.11%,2.90%,4.03%,5.05%,5.21%,5.21%,5.03%,4.94%,5.10%,4.87%,4.69%,4.39%,4.10%
Baltimore,4.44%,8.96%,7.87%,8.47%,8.47%,8.03%,8.38%,8.16%,7.31%,8.88%,9.06%,9.70%,9.27%,9.28%,9.34%,9.56%,9.19%,7.32%,8.20%,8.64%,10.78%,10.66%,10.66%,11.72%,10.27%,9.26%,9.13%,8.33%,8.56%,8.03%,8.27%,7.94%,5.26%,8.65%,8.65%,7.20%,6.13%,5.64%,6.49%,6.14%,6.73%,7.16%,7.69%,7.76%,8.01%,7.74%,7.34%,7.23%,3.57%,4.76%,4.72%,5.07%,5.17%,5.66%,5.66%,5.51%,4.87%,4.44%,4.56%,4.23%,3.80%,3.57%,3.59%,3.37%,4.76%,2.60%,5.08%,3.51%,2.80%,3.25%,3.17%,3.17%,4.67%,4.76%,5.69%,6.12%,5.82%,6.22%,6.58%,6.53%,0.00%,0.00%,2.04%,7.06%,5.36%,6.49%,6.70%,5.88%,5.96%,6.49%,6.08%,6.46%,6.44%,6.08%,6.13%,6.85%,7.08%,2.27%,2.78%,2.73%,3.14%,3.65%,4.20%,4.20%,4.53%,5.32%,5.59%,5.04%,5.79%,5.96%,5.66%,5.67%,6.12%,5.00%,3.75%,2.68%,2.67%,2.84%,3.74%,4.05%,4.05%,5.02%,5.08%,5.41%,5.90%,6.32%,6.88%,7.17%,7.09%,3.33%,6.15%,5.22%,5.41%,5.41%,5.46%,5.80%,5.76%,5.79%,5.24%,5.12%,4.85%,4.81%,4.90%,5.83%,8.57%,6.33%,4.24%,5.36%,6.53%,6.19%,6.59%,6.59%,6.38%,5.72%,5.74%,6.16%,6.32%,6.43%,6.48%,6.06%,6.06%,5.94%,6.30%,6.63%,6.51%,7.48%,6.92%,6.92%,7.46%,7.98%,8.05%,8.39%,8.16%,7.74%,7.38%,7.48%,4.62%,3.19%,2.40%,1.92%,3.54%,3.08%,3.16%,3.12%,3.86%,3.84%,3.84%,3.85%,3.56%,3.52%,3.30%,3.35%
Buffalo,6.67%,3.51%,6.90%,6.06%,7.02%,8.68%,8.13%,8.01%,8.01%,8.02%,8.47%,8.33%,8.53%,8.66%,8.69%,9.29%,9.22%,3.70%,13.56%,13.56%,15.62%,14.73%,12.66%,12.12%,11.16%,9.80%,10.04%,9.52%,8.71%,8.74%,8.31%,8.16%,3.45%,4.76%,7.78%,9.57%,9.72%,8.77%,8.96%,8.47%,8.47%,8.46%,9.27%,9.55%,9.34%,9.16%,8.62%,8.64%,11.54%,10.87%,9.09%,8.94%,9.15%,9.90%,9.59%,9.59%,10.88%,11.76%,10.85%,9.91%,9.64%,9.97%,10.17%,10.00%,8.70%,11.54%,10.67%,9.52%,9.35%,9.35%,9.26%,8.47%,7.14%,7.23%,7.89%,7.19%,6.46%,6.07%,5.58%,5.90%,3.12%,6.67%,6.86%,8.40%,10.00%,10.00%,8.42%,7.93%,8.61%,8.56%,7.86%,7.14%,7.16%,7.58%,7.54%,7.35%,7.35%,13.79%,9.68%,9.80%,11.94%,10.78%,9.60%,9.46%,9.31%,9.31%,8.77%,8.49%,9.43%,9.57%,9.55%,10.21%,9.96%,8.11%,11.86%,9.09%,9.32%,9.27%,9.27%,7.69%,7.32%,6.38%,6.19%,5.87%,5.68%,5.57%,5.70%,5.79%,5.92%,3.70%,2.70%,1.75%,2.01%,2.26%,3.33%,3.33%,3.77%,3.33%,3.31%,3.45%,3.85%,3.66%,3.58%,3.81%,0.00%,0.00%,1.15%,3.10%,3.21%,3.66%,3.52%,3.52%,4.46%,4.81%,5.26%,5.31%,5.08%,5.79%,5.86%,5.83%,0.00%,1.49%,7.69%,7.80%,8.11%,9.01%,9.30%,9.30%,8.24%,8.12%,7.79%,7.79%,7.22%,8.07%,8.41%,8.19%,4.35%,2.04%,4.35%,4.35%,4.37%,5.75%,6.91%,7.77%,7.77%,6.96%,6.74%,6.44%,6.21%,6.25%,6.46%,6.24%
Carolina,11.76%,8.62%,8.62%,5.88%,4.63%,6.11%,6.52%,6.13%,5.53%,5.58%,5.02%,4.92%,5.06%,4.97%,4.82%,4.44%,5.35%,4.76%,4.17%,4.17%,4.46%,4.51%,4.52%,4.21%,3.60%,3.70%,3.61%,3.34%,4.17%,4.80%,4.90%,5.33%,3.12%,3.39%,6.12%,6.45%,5.23%,5.35%,5.35%,4.59%,4.64%,4.28%,6.25%,6.02%,5.57%,5.58%,5.53%,5.78%,9.30%,7.69%,7.69%,6.80%,6.21%,5.53%,5.91%,6.25%,6.25%,5.59%,5.98%,5.64%,5.15%,4.90%,5.43%,5.88%,0.00%,4.23%,6.25%,6.43%,6.25%,6.15%,6.15%,5.00%,6.81%,6.77%,6.59%,6.22%,6.28%,5.96%,5.62%,6.24%,2.38%,6.06%,9.00%,6.98%,5.96%,4.74%,4.69%,4.55%,4.55%,4.80%,4.48%,4.88%,5.19%,5.16%,4.82%,4.60%,4.61%,12.82%,7.41%,7.69%,7.69%,8.28%,7.98%,7.18%,7.11%,7.00%,6.41%,6.73%,6.87%,6.75%,6.71%,6.64%,6.55%,10.26%,11.11%,8.49%,9.23%,10.18%,10.18%,8.61%,8.43%,8.65%,8.44%,8.55%,8.64%,8.59%,9.13%,9.15%,9.46%,9.76%,8.79%,6.40%,4.68%,4.43%,4.58%,5.62%,5.90%,5.90%,6.57%,6.17%,6.44%,6.55%,6.40%,6.47%,8.33%,7.02%,6.52%,7.50%,8.50%,8.50%,7.81%,7.30%,6.64%,8.03%,7.88%,7.78%,7.71%,7.29%,7.17%,7.13%,4.17%,10.29%,8.33%,8.33%,10.56%,9.47%,9.57%,9.42%,8.43%,8.45%,8.56%,8.17%,7.81%,8.26%,8.23%,8.61%,2.86%,8.11%,7.63%,7.14%,6.81%,5.49%,5.73%,6.25%,6.85%,8.31%,8.02%,8.02%,8.21%,7.66%,7.61%,7.36%
Chicago,12.82%,12.31%,12.31%,11.40%,10.71%,10.98%,10.45%,9.83%,9.40%,9.12%,8.51%,8.24%,8.17%,8.05%,7.74%,7.62%,7.71%,7.89%,7.02%,6.45%,7.14%,7.14%,8.43%,9.09%,10.09%,11.02%,11.50%,11.75%,12.22%,12.40%,12.47%,11.90%,9.68%,9.09%,5.32%,5.32%,7.26%,7.89%,7.65%,7.41%,7.38%,6.98%,6.34%,6.37%,6.89%,6.99%,6.77%,6.62%,3.57%,1.79%,2.04%,2.31%,3.66%,3.94%,3.94%,3.81%,4.27%,4.47%,4.46%,4.31%,4.35%,4.11%,4.55%,4.52%,11.54%,9.52%,9.09%,9.55%,9.24%,7.83%,6.99%,6.69%,6.69%,6.96%,7.49%,7.57%,8.00%,7.58%,7.23%,7.04%,8.70%,5.36%,6.45%,7.63%,6.63%,5.71%,5.74%,5.74%,5.40%,5.36%,5.13%,5.00%,5.34%,5.15%,4.91%,4.65%,4.68%,5.26%,5.13%,5.61%,5.84%,5.84%,5.49%,4.95%,5.86%,6.19%,5.29%,4.96%,5.58%,5.78%,5.93%,5.93%,5.89%,10.26%,7.25%,8.08%,13.33%,13.38%,13.37%,12.60%,12.60%,11.55%,10.83%,10.82%,11.17%,11.34%,11.06%,10.67%,10.48%,13.51%,12.50%,10.94%,10.27%,9.63%,8.68%,8.30%,8.30%,7.37%,7.49%,6.78%,7.12%,8.29%,8.78%,9.09%,5.41%,12.68%,10.58%,10.00%,8.24%,8.24%,9.18%,10.37%,10.37%,9.24%,10.27%,9.64%,9.00%,8.33%,8.74%,8.47%,0.00%,1.39%,2.88%,3.90%,4.74%,3.98%,4.30%,4.30%,4.03%,4.01%,4.19%,3.95%,4.47%,4.34%,4.44%,4.97%,3.92%,3.49%,5.47%,4.88%,5.88%,6.12%,6.05%,6.27%,6.27%,6.61%,5.91%,6.19%,6.16%,5.63%,6.48%,6.37%
Cincinnati,9.76%,7.14%,8.93%,6.99%,5.85%,5.85%,6.85%,6.75%,6.19%,5.68%,5.70%,5.63%,5.42%,6.29%,6.35%,6.54%,6.63%,3.57%,8.45%,7.87%,6.67%,6.67%,6.86%,6.64%,7.14%,6.38%,5.64%,6.03%,5.58%,5.77%,5.32%,5.54%,5.56%,2.63%,3.00%,3.68%,4.09%,3.90%,4.12%,4.30%,4.87%,4.87%,4.61%,4.24%,4.09%,3.84%,3.90%,3.98%,5.00%,7.81%,11.46%,11.11%,11.11%,9.77%,8.84%,8.30%,8.19%,7.98%,7.74%,7.29%,7.18%,6.71%,7.10%,6.91%,3.03%,2.38%,3.10%,3.03%,3.03%,4.25%,4.27%,3.77%,3.29%,3.81%,3.55%,3.46%,3.35%,3.35%,3.15%,3.04%,7.69%,5.56%,9.09%,8.76%,7.87%,8.80%,9.92%,9.46%,9.12%,9.12%,9.97%,9.31%,9.43%,9.74%,9.54%,9.38%,9.04%,8.33%,8.20%,7.00%,6.16%,5.62%,5.14%,4.62%,4.62%,4.41%,4.61%,5.17%,5.62%,5.68%,5.53%,5.46%,5.37%,1.96%,2.30%,2.40%,4.24%,3.48%,3.48%,3.94%,3.42%,4.22%,4.51%,4.57%,4.80%,5.06%,5.29%,5.07%,4.89%,12.90%,8.11%,6.54%,6.21%,6.11%,5.19%,5.19%,4.96%,4.61%,4.17%,4.17%,4.33%,4.69%,4.62%,4.56%,9.76%,12.82%,11.11%,8.63%,8.11%,7.30%,6.51%,6.51%,7.14%,6.51%,6.50%,6.48%,6.12%,6.69%,7.44%,7.89%,2.94%,1.27%,4.50%,4.52%,5.91%,6.11%,5.68%,5.42%,5.95%,6.36%,5.95%,5.95%,5.65%,5.25%,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.85%,1.23%,2.94%,3.42%,3.75%,3.90%,3.93%,3.55%,3.79%,4.15%,4.35%,4.12%
Cleveland,0.00%,4.35%,5.45%,5.41%,5.17%,5.45%,5.62%,6.23%,6.23%,6.58%,5.93%,5.99%,6.38%,7.02%,7.10%,7.53%,7.29%,7.69%,5.45%,7.78%,8.77%,8.61%,8.00%,8.10%,8.10%,8.37%,8.96%,8.45%,8.28%,8.24%,9.63%,9.22%,0.00%,0.00%,3.70%,3.70%,4.83%,6.15%,7.43%,7.42%,6.46%,6.35%,5.79%,6.50%,7.36%,7.38%,7.47%,8.37%,15.62%,7.69%,11.43%,10.07%,8.70%,8.70%,9.46%,9.72%,9.80%,10.53%,10.99%,11.08%,10.40%,9.57%,10.02%,10.00%,13.64%,7.79%,6.09%,5.26%,5.59%,5.37%,5.37%,5.60%,4.64%,4.13%,3.95%,3.85%,3.70%,3.47%,3.50%,3.36%,4.00%,5.08%,7.00%,6.40%,6.40%,5.19%,4.69%,4.55%,4.33%,3.81%,3.68%,3.35%,3.85%,3.68%,3.86%,4.28%,4.69%,12.50%,12.00%,10.58%,8.44%,8.14%,8.00%,7.79%,7.54%,7.54%,8.01%,7.45%,6.98%,6.67%,6.59%,6.32%,6.49%,0.00%,1.43%,3.12%,3.15%,4.14%,6.25%,6.19%,6.19%,5.71%,6.09%,7.35%,7.12%,6.98%,6.86%,7.32%,6.85%,4.76%,4.00%,2.63%,3.91%,3.91%,3.98%,4.91%,5.61%,6.38%,6.42%,6.51%,6.43%,6.54%,6.63%,6.59%,5.41%,5.26%,6.50%,5.11%,4.27%,4.55%,3.89%,4.17%,4.00%,4.00%,4.13%,4.80%,4.63%,4.93%,4.96%,5.65%,10.17%,10.89%,8.81%,8.50%,9.44%,8.63%,8.36%,7.78%,7.75%,7.52%,7.41%,7.56%,7.51%,7.12%,6.69%,6.71%,8.82%,5.26%,4.90%,3.96%,3.60%,3.82%,4.48%,4.35%,4.87%,4.48%,4.39%,4.17%,4.25%,4.59%,5.02%,5.38%
Dallas,8.57%,8.86%,8.86%,8.65%,7.35%,6.75%,6.28%,7.27%,6.69%,6.25%,5.85%,5.41%,6.02%,6.33%,6.61%,6.83%,6.75%,1.92%,2.27%,2.52%,2.52%,3.42%,5.35%,5.33%,5.20%,4.98%,4.81%,4.97%,5.14%,5.41%,5.61%,5.87%,14.29%,6.25%,5.77%,7.41%,5.88%,6.19%,7.53%,7.89%,7.89%,7.88%,7.59%,6.93%,7.18%,7.47%,8.37%,8.89%,5.71%,4.05%,4.05%,3.19%,7.19%,7.02%,8.41%,7.94%,7.59%,6.90%,6.71%,6.43%,6.13%,6.09%,6.32%,6.51%,4.00%,3.64%,5.38%,4.72%,3.39%,3.85%,4.40%,4.40%,4.00%,3.95%,3.86%,4.35%,4.02%,4.27%,4.74%,4.36%,0.00%,0.00%,3.12%,2.10%,2.40%,3.37%,4.08%,4.63%,5.45%,5.45%,5.01%,4.75%,4.36%,4.65%,5.14%,5.07%,5.36%,3.57%,1.75%,3.26%,5.76%,5.17%,5.17%,5.37%,5.35%,6.05%,6.77%,6.52%,6.51%,6.12%,5.93%,6.09%,5.84%,2.04%,1.00%,0.77%,0.77%,3.85%,3.27%,3.89%,3.90%,4.68%,4.66%,4.86%,4.61%,4.76%,4.62%,4.66%,5.18%,10.00%,5.95%,4.96%,4.14%,4.14%,4.25%,4.62%,5.42%,4.87%,4.49%,5.07%,4.88%,5.47%,5.70%,5.74%,6.45%,4.17%,6.09%,4.73%,4.73%,4.37%,3.75%,4.25%,4.09%,4.58%,5.61%,5.28%,5.37%,5.47%,5.25%,5.19%,3.92%,5.21%,4.96%,5.59%,6.47%,6.03%,5.69%,5.14%,5.21%,5.61%,5.61%,5.99%,5.98%,6.06%,6.04%,6.09%,7.50%,9.59%,7.29%,6.35%,5.36%,4.98%,5.31%,6.42%,6.02%,5.79%,5.79%,5.90%,6.43%,6.25%,6.44%,6.36%
Denver,3.85%,3.57%,5.06%,6.03%,4.52%,4.86%,6.17%,6.15%,5.42%,5.42%,5.14%,5.15%,5.61%,5.23%,5.43%,5.24%,4.96%,6.45%,2.86%,2.80%,2.17%,2.38%,2.13%,3.03%,2.45%,2.57%,2.57%,2.35%,2.20%,2.47%,2.30%,3.32%,2.04%,4.49%,4.63%,5.84%,4.91%,4.79%,4.15%,3.95%,3.95%,3.64%,4.28%,4.55%,4.71%,4.80%,4.61%,4.73%,13.33%,6.67%,4.44%,4.44%,4.35%,5.19%,5.06%,5.00%,4.82%,4.98%,5.15%,5.12%,5.62%,6.15%,5.92%,6.25%,2.50%,4.00%,4.04%,4.13%,3.80%,3.80%,4.23%,4.87%,5.69%,5.43%,5.37%,5.43%,5.24%,5.13%,5.71%,6.09%,0.00%,1.32%,0.91%,1.25%,1.03%,0.87%,1.90%,1.90%,1.94%,1.98%,2.10%,1.91%,1.74%,1.60%,2.05%,2.06%,1.90%,9.68%,4.41%,3.30%,4.88%,4.62%,4.43%,4.43%,4.55%,4.61%,5.06%,5.40%,5.25%,5.62%,5.74%,5.92%,5.99%,8.33%,5.56%,3.85%,5.91%,5.33%,5.00%,5.80%,6.23%,6.23%,5.65%,6.27%,6.32%,6.72%,6.38%,6.53%,6.37%,9.80%,8.97%,6.78%,5.92%,5.14%,5.14%,7.21%,8.66%,8.30%,8.07%,7.82%,7.67%,7.87%,8.25%,8.67%,7.14%,7.35%,6.50%,4.94%,4.81%,4.20%,4.20%,3.73%,3.30%,3.22%,3.62%,3.76%,3.45%,3.78%,3.94%,3.65%,6.67%,3.41%,3.17%,3.05%,2.43%,2.02%,2.99%,3.17%,3.17%,3.38%,3.06%,3.24%,3.01%,2.69%,2.67%,2.61%,2.70%,3.12%,2.63%,2.63%,2.47%,3.05%,3.54%,3.07%,2.82%,2.45%,2.59%,2.61%,2.63%,2.52%,2.60%,2.74%
