Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,50.00%,40.00%,44.44%,50.00%,50.00%,58.33%,58.33%,53.33%,52.63%,50.00%,45.83%,42.86%,40.00%,43.75%,44.44%,41.03%,41.86%,50.00%,50.00%,25.00%,25.00%,40.00%,40.00%,40.00%,43.75%,47.37%,52.38%,47.83%,44.00%,42.31%,45.16%,51.43%,50.00%,16.67%,14.29%,15.38%,13.33%,13.33%,11.11%,11.11%,14.29%,20.83%,30.00%,33.33%,30.56%,31.58%,31.71%,30.23%,66.67%,66.67%,54.55%,50.00%,53.85%,47.06%,42.11%,47.62%,47.62%,47.83%,50.00%,46.67%,48.65%,50.00%,48.84%,46.94%,66.67%,60.00%,66.67%,75.00%,69.23%,69.23%,70.59%,70.59%,72.22%,72.73%,75.00%,71.43%,68.75%,71.43%,71.79%,68.89%,28.57%,45.45%,46.15%,52.38%,61.54%,64.29%,64.29%,61.76%,57.89%,56.82%,57.45%,57.69%,60.00%,60.34%,58.33%,58.33%,58.46%,50.00%,75.00%,50.00%,50.00%,54.55%,56.25%,60.00%,65.22%,68.97%,67.65%,70.27%,71.05%,66.67%,65.91%,68.75%,69.81%,50.00%,50.00%,66.67%,66.67%,55.56%,55.56%,54.55%,60.00%,56.25%,55.00%,52.17%,46.15%,46.15%,45.16%,44.12%,44.12%,33.33%,40.00%,50.00%,50.00%,46.67%,46.67%,52.94%,55.00%,54.55%,57.69%,55.56%,51.61%,51.52%,52.94%,52.63%,50.00%,66.67%,50.00%,53.85%,43.75%,47.06%,47.62%,43.48%,44.00%,44.00%,42.86%,42.42%,40.00%,40.00%,43.24%,42.11%,50.00%,33.33%,37.50%,36.36%,42.86%,50.00%,52.63%,54.55%,54.55%,53.85%,53.33%,51.43%,52.78%,53.66%,55.56%,52.08%,100.00%,40.00%,33.33%,33.33%,36.36%,30.77%,40.00%,41.18%,52.38%,52.17%,52.00%,50.00%,51.85%,46.88%,45.45%,42.86%
Atlanta,50.00%,62.50%,60.00%,54.55%,56.25%,52.94%,52.63%,52.63%,50.00%,56.00%,53.57%,53.33%,51.52%,50.00%,51.28%,50.00%,52.17%,100.00%,75.00%,50.00%,46.67%,44.44%,50.00%,45.45%,45.83%,45.83%,46.43%,50.00%,48.57%,45.95%,50.00%,53.33%,66.67%,66.67%,70.00%,69.23%,68.75%,65.00%,62.50%,62.50%,60.71%,61.29%,61.11%,58.54%,57.14%,58.70%,57.45%,57.69%,33.33%,33.33%,27.27%,17.65%,17.65%,17.65%,27.27%,32.00%,35.71%,36.67%,36.36%,36.11%,36.84%,35.00%,40.91%,40.91%,--,50.00%,33.33%,33.33%,26.67%,26.67%,27.78%,27.78%,31.82%,30.43%,33.33%,30.77%,34.48%,36.67%,35.48%,36.11%,50.00%,28.57%,45.45%,38.46%,43.75%,40.00%,40.00%,40.91%,42.31%,43.33%,43.75%,50.00%,50.00%,52.17%,51.02%,52.83%,55.36%,25.00%,50.00%,50.00%,50.00%,60.00%,64.71%,68.42%,60.87%,60.00%,56.67%,58.33%,56.41%,56.10%,53.33%,53.19%,52.94%,0.00%,55.56%,58.33%,50.00%,42.11%,45.45%,53.85%,53.85%,56.67%,56.25%,54.05%,56.41%,58.14%,61.70%,60.78%,60.38%,0.00%,71.43%,54.55%,61.54%,66.67%,70.00%,64.00%,64.00%,64.29%,58.06%,54.05%,56.10%,55.81%,56.52%,54.90%,57.14%,63.64%,68.75%,60.00%,65.22%,64.00%,64.00%,62.07%,57.58%,56.41%,56.10%,55.56%,56.25%,58.82%,57.89%,58.33%,50.00%,57.14%,50.00%,38.89%,47.83%,47.83%,50.00%,48.28%,48.39%,50.00%,50.00%,50.00%,51.28%,52.50%,53.33%,53.06%,100.00%,100.00%,87.50%,88.89%,75.00%,75.00%,71.43%,76.47%,76.47%,71.43%,66.67%,69.23%,61.29%,66.67%,65.00%,64.29%
Baltimore,100.00%,40.00%,50.00%,44.44%,44.44%,30.77%,37.50%,33.33%,29.17%,31.03%,30.00%,32.35%,36.84%,41.86%,41.30%,43.75%,42.00%,--,40.00%,42.86%,50.00%,40.00%,40.00%,38.46%,42.86%,43.75%,45.00%,50.00%,47.83%,44.44%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,40.00%,37.50%,38.89%,31.82%,30.43%,32.00%,37.04%,39.29%,35.48%,41.67%,41.03%,66.67%,33.33%,36.36%,42.86%,37.50%,44.44%,44.44%,52.38%,46.15%,44.83%,44.44%,44.74%,42.50%,42.86%,44.44%,45.83%,25.00%,42.86%,40.00%,35.71%,31.25%,28.57%,30.43%,30.43%,30.43%,32.00%,32.14%,36.67%,41.18%,42.11%,41.46%,41.46%,0.00%,0.00%,42.86%,45.45%,50.00%,40.00%,44.44%,45.45%,44.00%,51.72%,51.61%,54.55%,52.78%,52.63%,48.78%,45.65%,47.06%,100.00%,87.50%,71.43%,66.67%,63.16%,61.90%,61.90%,58.33%,60.00%,59.26%,51.61%,51.43%,51.28%,51.06%,52.94%,51.85%,50.00%,33.33%,60.00%,55.56%,57.14%,52.94%,52.38%,52.38%,42.86%,48.39%,45.71%,45.95%,46.15%,50.00%,48.94%,48.98%,50.00%,37.50%,33.33%,33.33%,33.33%,36.84%,40.00%,42.31%,42.86%,45.16%,47.06%,47.22%,46.34%,48.89%,48.94%,100.00%,80.00%,75.00%,66.67%,53.33%,57.89%,57.14%,57.14%,62.50%,65.52%,61.29%,58.82%,57.14%,58.97%,58.54%,55.32%,60.00%,62.50%,60.00%,50.00%,52.94%,52.38%,52.17%,52.17%,56.00%,57.14%,58.06%,51.43%,48.72%,52.38%,48.89%,47.92%,33.33%,33.33%,35.71%,41.18%,40.00%,52.00%,51.72%,51.52%,52.94%,54.05%,54.05%,53.66%,52.08%,54.72%,53.57%,54.39%
Buffalo,100.00%,85.71%,66.67%,72.73%,62.50%,58.82%,58.82%,52.63%,52.63%,50.00%,43.48%,48.00%,50.00%,48.48%,48.65%,47.37%,43.90%,33.33%,33.33%,33.33%,25.00%,33.33%,33.33%,25.00%,38.10%,40.00%,40.00%,40.62%,44.74%,45.00%,45.83%,43.40%,20.00%,16.67%,22.22%,30.00%,35.71%,47.06%,50.00%,43.48%,43.48%,38.46%,37.93%,34.38%,34.29%,32.43%,35.00%,35.56%,50.00%,40.00%,33.33%,41.67%,46.15%,50.00%,46.67%,46.67%,47.06%,40.00%,42.86%,43.48%,50.00%,48.28%,48.28%,44.12%,0.00%,0.00%,33.33%,60.00%,42.86%,42.86%,36.36%,30.77%,33.33%,35.00%,35.00%,38.10%,33.33%,38.46%,37.04%,43.33%,50.00%,50.00%,60.00%,54.55%,53.85%,53.85%,52.94%,50.00%,45.83%,46.15%,46.67%,51.35%,46.34%,45.24%,47.83%,49.02%,48.08%,100.00%,33.33%,33.33%,33.33%,27.27%,23.08%,29.41%,27.78%,27.78%,30.00%,26.09%,32.00%,33.33%,32.26%,32.35%,32.35%,--,100.00%,50.00%,66.67%,60.00%,60.00%,58.33%,61.54%,68.75%,68.42%,68.18%,60.00%,59.26%,54.84%,55.88%,51.35%,80.00%,80.00%,78.57%,75.00%,75.00%,76.19%,76.19%,68.00%,64.29%,61.29%,55.88%,58.33%,57.89%,55.00%,54.55%,100.00%,100.00%,70.00%,63.64%,58.33%,60.00%,61.11%,61.11%,52.38%,53.57%,46.88%,45.71%,47.50%,46.51%,47.73%,47.83%,100.00%,80.00%,50.00%,41.67%,50.00%,50.00%,45.00%,47.83%,42.31%,42.86%,44.83%,44.83%,46.88%,45.45%,50.00%,47.50%,50.00%,30.00%,33.33%,33.33%,33.33%,42.86%,41.67%,46.67%,46.67%,41.18%,38.89%,43.59%,40.91%,42.55%,40.82%,40.82%
Carolina,100.00%,25.00%,25.00%,37.50%,36.36%,28.57%,31.25%,33.33%,31.82%,33.33%,35.71%,38.71%,35.29%,38.89%,37.84%,39.47%,40.48%,100.00%,100.00%,100.00%,75.00%,77.78%,80.00%,66.67%,66.67%,72.22%,65.22%,69.23%,66.67%,58.82%,55.00%,56.82%,33.33%,66.67%,75.00%,76.92%,80.00%,77.78%,77.78%,81.82%,76.92%,73.33%,68.75%,65.71%,66.67%,64.29%,61.70%,60.42%,--,33.33%,50.00%,66.67%,55.56%,41.67%,42.86%,46.67%,46.67%,50.00%,45.00%,47.62%,50.00%,46.15%,42.86%,44.83%,40.00%,57.14%,70.00%,72.73%,64.29%,58.82%,58.82%,57.89%,60.00%,54.55%,53.85%,51.85%,53.12%,51.52%,50.00%,48.65%,25.00%,42.86%,50.00%,55.56%,46.15%,42.86%,47.06%,50.00%,50.00%,50.00%,53.85%,54.84%,61.11%,62.50%,64.29%,66.67%,65.31%,33.33%,50.00%,50.00%,50.00%,55.56%,58.33%,57.14%,55.56%,50.00%,56.00%,51.85%,50.00%,48.39%,46.88%,51.43%,51.28%,20.00%,16.67%,25.00%,25.00%,22.22%,22.22%,25.00%,30.77%,25.00%,26.32%,25.00%,25.00%,30.43%,30.77%,30.00%,29.03%,50.00%,37.50%,36.36%,43.75%,50.00%,47.83%,50.00%,50.00%,50.00%,45.45%,47.37%,50.00%,55.56%,55.32%,58.00%,0.00%,66.67%,62.50%,72.73%,61.54%,61.54%,62.50%,55.00%,59.09%,62.50%,62.50%,60.71%,62.07%,58.06%,60.00%,59.46%,100.00%,50.00%,71.43%,71.43%,50.00%,64.29%,61.11%,61.11%,60.87%,60.87%,64.00%,64.29%,60.61%,60.00%,55.00%,53.49%,33.33%,42.86%,42.86%,30.00%,46.15%,50.00%,52.17%,46.15%,46.43%,48.28%,46.67%,46.67%,43.75%,45.95%,45.00%,45.45%
Chicago,100.00%,50.00%,50.00%,50.00%,45.45%,42.86%,43.75%,45.00%,47.83%,50.00%,51.85%,50.00%,55.88%,54.29%,54.05%,52.38%,48.89%,50.00%,57.14%,42.86%,41.18%,41.18%,41.18%,44.44%,40.00%,39.13%,36.00%,37.04%,37.04%,41.94%,39.39%,37.14%,100.00%,75.00%,80.00%,80.00%,71.43%,72.73%,69.23%,62.50%,57.14%,52.00%,51.85%,50.00%,45.45%,45.71%,43.59%,46.34%,0.00%,28.57%,22.22%,35.71%,45.00%,42.86%,42.86%,46.43%,44.83%,50.00%,48.48%,47.22%,47.22%,48.72%,50.00%,50.00%,0.00%,33.33%,40.00%,44.44%,50.00%,46.15%,43.75%,41.18%,41.18%,42.11%,42.86%,40.74%,38.71%,37.14%,37.84%,38.10%,50.00%,50.00%,50.00%,50.00%,53.33%,50.00%,52.17%,52.17%,55.56%,58.62%,56.67%,57.58%,57.14%,53.85%,53.49%,54.35%,56.00%,0.00%,40.00%,44.44%,57.14%,57.14%,50.00%,50.00%,44.44%,46.43%,43.33%,42.42%,41.18%,42.11%,45.00%,42.86%,44.44%,0.00%,28.57%,27.27%,27.27%,28.57%,29.41%,30.00%,30.00%,37.50%,41.38%,41.94%,45.71%,50.00%,50.00%,47.83%,46.94%,33.33%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,54.55%,54.17%,59.26%,58.62%,53.12%,54.55%,54.55%,66.67%,66.67%,55.56%,50.00%,46.15%,46.15%,43.75%,47.37%,46.15%,44.44%,46.43%,50.00%,51.43%,52.78%,51.28%,52.38%,100.00%,71.43%,72.73%,62.50%,63.16%,63.64%,65.38%,65.38%,63.33%,58.82%,55.26%,57.14%,55.81%,56.00%,55.56%,55.36%,66.67%,85.71%,80.00%,71.43%,70.59%,68.18%,68.00%,69.23%,69.23%,64.29%,63.33%,66.67%,64.86%,65.85%,67.44%,66.67%
Cincinnati,0.00%,40.00%,42.86%,55.56%,46.15%,46.15%,46.67%,47.37%,52.38%,57.69%,55.17%,60.61%,61.11%,60.53%,59.52%,59.09%,59.57%,66.67%,50.00%,28.57%,40.00%,40.00%,38.46%,27.78%,28.57%,29.17%,33.33%,35.71%,40.00%,43.59%,45.45%,46.81%,40.00%,41.67%,40.00%,36.84%,40.91%,46.15%,44.83%,48.39%,52.94%,52.94%,56.76%,56.10%,57.45%,55.77%,57.63%,56.45%,33.33%,50.00%,63.64%,66.67%,66.67%,61.54%,62.50%,63.16%,61.90%,61.54%,58.62%,61.76%,58.33%,59.52%,56.52%,58.00%,50.00%,71.43%,66.67%,70.00%,70.00%,58.33%,64.71%,57.14%,58.33%,45.16%,44.12%,50.00%,48.84%,46.81%,44.90%,46.15%,0.00%,33.33%,28.57%,37.50%,45.45%,50.00%,50.00%,43.75%,52.63%,52.63%,50.00%,47.83%,45.83%,44.00%,46.43%,46.67%,45.45%,50.00%,83.33%,75.00%,66.67%,57.14%,62.50%,69.57%,69.57%,69.23%,62.07%,58.82%,56.76%,53.85%,53.66%,51.11%,52.08%,100.00%,33.33%,40.00%,38.46%,37.50%,37.50%,40.00%,42.86%,45.83%,48.15%,50.00%,48.57%,48.78%,48.84%,46.81%,50.98%,50.00%,50.00%,37.50%,41.67%,46.67%,47.37%,47.37%,47.62%,52.00%,53.85%,53.33%,50.00%,50.00%,48.72%,48.84%,33.33%,33.33%,44.44%,43.75%,44.44%,42.86%,47.83%,47.83%,48.15%,51.61%,57.14%,60.00%,59.09%,56.25%,55.56%,54.55%,100.00%,75.00%,85.71%,66.67%,63.64%,64.29%,66.67%,71.43%,66.67%,65.38%,65.52%,65.52%,64.52%,69.44%,71.79%,74.42%,0.00%,40.00%,60.00%,60.00%,58.33%,56.25%,52.94%,54.55%,57.69%,55.56%,56.67%,55.88%,58.33%,59.46%,59.52%,56.52%
Cleveland,0.00%,25.00%,50.00%,50.00%,50.00%,50.00%,58.33%,53.85%,53.85%,56.25%,54.17%,46.43%,44.83%,48.39%,48.48%,47.06%,43.24%,50.00%,25.00%,33.33%,44.44%,41.67%,43.75%,52.63%,52.63%,47.62%,47.83%,48.00%,51.61%,53.12%,54.55%,51.43%,0.00%,25.00%,16.67%,16.67%,14.29%,12.50%,11.11%,15.38%,17.65%,26.32%,27.27%,26.92%,27.59%,31.25%,28.57%,27.03%,66.67%,66.67%,62.50%,61.54%,53.33%,53.33%,56.25%,52.63%,44.00%,48.15%,44.83%,44.83%,50.00%,50.00%,52.78%,51.35%,100.00%,75.00%,66.67%,66.67%,58.33%,64.71%,64.71%,65.00%,65.38%,68.97%,62.86%,60.98%,59.09%,60.87%,59.57%,57.69%,50.00%,25.00%,33.33%,40.00%,40.00%,42.86%,41.18%,42.86%,43.48%,46.43%,45.16%,41.18%,37.84%,37.84%,36.84%,36.84%,36.84%,50.00%,33.33%,25.00%,33.33%,27.27%,30.77%,26.67%,31.25%,31.25%,31.25%,36.84%,40.00%,45.83%,44.44%,44.83%,44.12%,50.00%,66.67%,66.67%,50.00%,46.15%,50.00%,44.44%,44.44%,50.00%,50.00%,48.28%,51.52%,50.00%,47.37%,46.15%,45.00%,50.00%,50.00%,50.00%,55.56%,55.56%,63.64%,53.85%,53.85%,57.14%,44.44%,45.45%,45.83%,44.00%,40.74%,42.86%,0.00%,0.00%,25.00%,33.33%,33.33%,41.67%,46.15%,46.15%,33.33%,33.33%,36.36%,38.46%,37.93%,38.24%,41.67%,42.11%,50.00%,33.33%,66.67%,66.67%,58.33%,60.00%,58.82%,61.11%,61.90%,61.90%,54.17%,56.00%,59.26%,58.62%,58.06%,54.29%,60.00%,55.56%,61.54%,61.54%,64.71%,70.00%,63.64%,61.54%,60.71%,62.50%,58.82%,52.50%,51.16%,51.11%,50.00%,48.94%
Dallas,0.00%,12.50%,12.50%,20.00%,18.18%,21.43%,33.33%,33.33%,40.91%,43.48%,40.00%,42.86%,45.16%,45.45%,46.15%,43.90%,44.19%,25.00%,42.86%,55.56%,55.56%,50.00%,50.00%,50.00%,50.00%,47.37%,47.62%,47.83%,52.00%,56.67%,54.55%,55.88%,100.00%,66.67%,81.82%,64.29%,55.00%,50.00%,48.15%,48.39%,48.39%,50.00%,51.43%,53.85%,53.66%,54.55%,53.19%,52.94%,0.00%,40.00%,40.00%,63.64%,64.29%,63.16%,60.87%,64.29%,60.61%,58.33%,60.53%,62.79%,63.04%,60.42%,62.75%,62.26%,75.00%,55.56%,57.14%,64.71%,57.14%,58.33%,57.14%,57.14%,59.38%,58.82%,60.00%,59.46%,58.14%,59.57%,56.00%,56.60%,60.00%,75.00%,53.85%,56.25%,57.89%,57.14%,59.09%,60.87%,60.00%,60.00%,59.26%,60.00%,64.71%,63.89%,64.86%,65.00%,59.09%,50.00%,83.33%,60.00%,53.85%,46.67%,46.67%,44.44%,52.38%,50.00%,48.15%,48.28%,50.00%,51.43%,51.28%,51.16%,52.17%,33.33%,40.00%,57.14%,57.14%,54.55%,61.54%,61.11%,59.09%,60.87%,55.56%,60.00%,60.61%,60.00%,60.53%,57.78%,58.70%,50.00%,42.86%,30.00%,33.33%,33.33%,33.33%,40.91%,39.13%,38.46%,40.00%,40.62%,41.67%,42.11%,46.34%,48.94%,66.67%,66.67%,37.50%,45.45%,45.45%,50.00%,42.11%,47.83%,44.00%,44.44%,43.75%,44.44%,46.15%,46.34%,46.67%,48.94%,50.00%,50.00%,54.55%,53.85%,63.16%,65.22%,68.00%,69.23%,67.86%,66.67%,66.67%,65.62%,67.57%,70.73%,70.45%,69.39%,50.00%,57.14%,54.55%,64.29%,58.82%,61.90%,66.67%,65.38%,62.07%,63.33%,63.33%,65.62%,64.71%,65.00%,67.44%,68.09%
Denver,66.67%,66.67%,69.23%,66.67%,57.89%,61.90%,62.50%,57.69%,60.71%,60.71%,54.55%,62.86%,64.10%,66.67%,65.22%,64.15%,60.71%,40.00%,33.33%,33.33%,36.36%,31.25%,40.00%,40.91%,44.00%,46.15%,46.15%,44.83%,45.16%,45.71%,45.00%,46.51%,25.00%,28.57%,36.36%,40.00%,43.75%,55.00%,56.52%,64.29%,64.29%,59.38%,59.46%,58.97%,58.14%,59.09%,61.22%,59.26%,100.00%,33.33%,25.00%,25.00%,40.00%,37.50%,45.45%,60.00%,63.16%,61.90%,62.50%,61.54%,60.71%,58.06%,56.76%,57.50%,50.00%,42.86%,50.00%,50.00%,43.75%,43.75%,52.63%,47.83%,46.15%,48.15%,46.43%,48.48%,48.65%,51.16%,51.11%,47.92%,75.00%,80.00%,66.67%,57.89%,57.14%,58.33%,60.00%,60.00%,62.96%,61.29%,62.86%,62.16%,58.54%,60.00%,59.57%,56.60%,54.55%,--,50.00%,40.00%,41.67%,46.67%,47.37%,47.37%,50.00%,50.00%,47.62%,40.00%,40.00%,44.44%,45.00%,43.18%,45.83%,50.00%,62.50%,38.46%,35.00%,33.33%,37.50%,38.46%,41.38%,41.38%,50.00%,52.78%,56.41%,55.00%,53.49%,52.27%,53.06%,33.33%,40.00%,50.00%,54.55%,53.85%,53.85%,60.00%,55.56%,52.63%,52.38%,50.00%,48.00%,46.15%,46.43%,48.39%,50.00%,71.43%,60.00%,64.29%,66.67%,68.42%,68.42%,68.00%,68.97%,68.75%,63.89%,60.00%,61.36%,56.86%,56.36%,55.74%,100.00%,80.00%,72.73%,81.25%,82.61%,82.14%,78.79%,78.38%,78.38%,79.49%,79.07%,78.72%,80.00%,78.95%,78.33%,76.19%,75.00%,75.00%,70.00%,70.00%,76.92%,75.00%,78.95%,82.61%,81.48%,77.42%,77.42%,74.36%,65.22%,67.35%,63.46%,64.29%
