Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,19.05%,23.08%,25.00%,26.87%,25.00%,27.17%,27.17%,32.73%,33.85%,32.21%,32.70%,33.91%,33.33%,32.34%,34.82%,32.78%,31.25%,28.57%,21.43%,21.95%,33.33%,32.91%,32.91%,31.58%,33.95%,33.33%,34.72%,32.34%,30.98%,32.16%,31.70%,31.60%,10.00%,15.79%,20.75%,22.08%,19.79%,19.79%,20.00%,22.22%,22.14%,21.12%,21.81%,20.38%,20.09%,19.11%,18.70%,18.15%,21.74%,20.00%,26.67%,25.68%,26.09%,25.69%,24.58%,26.09%,26.09%,26.45%,27.43%,24.87%,25.79%,26.97%,27.52%,27.96%,45.00%,35.00%,33.33%,35.53%,34.00%,33.64%,31.01%,31.01%,29.71%,27.67%,27.27%,25.87%,26.03%,24.79%,24.71%,22.97%,38.89%,30.00%,30.51%,25.00%,26.67%,26.12%,26.12%,23.90%,26.78%,25.00%,25.00%,23.14%,22.10%,22.81%,21.93%,22.01%,21.95%,5.88%,20.51%,13.33%,13.33%,13.92%,15.00%,17.39%,18.12%,20.00%,19.79%,21.80%,22.57%,22.76%,23.35%,24.10%,24.67%,28.57%,25.00%,30.00%,30.00%,29.17%,29.17%,30.00%,29.46%,28.80%,26.39%,25.77%,24.56%,25.41%,27.18%,27.19%,27.31%,26.67%,32.26%,29.41%,31.51%,28.57%,28.57%,27.19%,29.01%,29.25%,28.82%,27.62%,30.96%,30.99%,29.78%,28.92%,11.11%,29.41%,26.00%,18.84%,19.10%,24.77%,24.62%,21.92%,21.60%,21.60%,23.08%,23.32%,23.74%,23.56%,25.00%,23.40%,16.00%,22.45%,26.15%,25.61%,26.73%,28.21%,25.18%,25.64%,25.64%,26.29%,25.26%,24.43%,24.49%,24.44%,26.19%,26.13%,18.18%,23.26%,22.39%,22.39%,21.05%,20.00%,21.67%,21.90%,22.01%,21.11%,20.71%,20.48%,19.30%,20.73%,22.78%,21.74%
Atlanta,35.29%,38.24%,34.04%,36.21%,31.65%,32.95%,32.32%,32.32%,36.21%,38.24%,39.46%,36.81%,35.75%,35.96%,37.21%,38.10%,39.29%,28.57%,52.78%,43.14%,42.25%,38.64%,38.83%,38.39%,39.55%,39.55%,42.11%,42.86%,43.39%,44.55%,45.78%,46.96%,61.11%,46.88%,46.43%,52.56%,46.00%,47.93%,50.71%,50.71%,49.10%,47.85%,45.75%,47.01%,46.37%,45.69%,45.88%,45.64%,58.33%,63.04%,57.14%,58.67%,58.67%,56.04%,52.17%,49.29%,49.06%,47.43%,48.13%,50.00%,50.89%,50.63%,48.84%,48.12%,23.53%,23.33%,21.57%,23.94%,27.50%,25.53%,25.89%,25.89%,29.13%,30.22%,29.22%,30.54%,29.47%,28.08%,29.33%,29.26%,73.91%,51.35%,52.83%,47.14%,46.74%,42.73%,42.73%,38.76%,40.25%,39.55%,38.58%,39.45%,39.92%,40.00%,40.65%,41.22%,41.85%,15.79%,30.95%,27.27%,27.27%,32.50%,32.29%,32.48%,33.33%,34.62%,34.27%,34.15%,32.30%,30.65%,30.71%,30.47%,31.02%,33.33%,37.25%,38.16%,38.38%,37.93%,34.56%,35.44%,35.44%,35.33%,33.33%,32.03%,32.00%,31.84%,32.99%,32.69%,31.90%,15.00%,20.00%,16.39%,20.93%,22.12%,28.12%,26.67%,26.67%,29.82%,29.85%,29.65%,29.44%,28.57%,28.17%,28.29%,19.05%,16.28%,17.65%,19.57%,19.17%,19.12%,19.12%,20.00%,19.34%,18.45%,18.58%,19.51%,21.46%,20.21%,20.71%,20.73%,16.67%,13.51%,22.95%,19.54%,17.70%,17.70%,16.41%,14.86%,15.00%,15.34%,17.00%,17.57%,18.55%,19.55%,20.00%,19.03%,21.43%,25.53%,26.03%,26.04%,25.86%,25.00%,25.00%,24.10%,24.10%,24.86%,23.67%,23.68%,23.20%,23.91%,23.65%,23.25%
Baltimore,23.53%,45.16%,48.94%,52.17%,52.17%,53.66%,47.57%,45.38%,45.31%,43.75%,43.95%,42.94%,43.23%,44.60%,44.49%,44.90%,44.40%,31.25%,41.94%,51.11%,48.28%,50.68%,50.68%,51.76%,47.12%,45.38%,41.61%,40.13%,40.00%,41.44%,40.69%,39.91%,22.73%,14.71%,14.71%,25.49%,29.87%,30.11%,31.43%,31.20%,33.80%,33.33%,33.93%,36.13%,34.95%,34.96%,35.46%,33.58%,31.25%,33.33%,29.17%,25.81%,28.21%,29.79%,29.79%,30.43%,31.39%,28.85%,31.25%,30.77%,30.00%,31.14%,30.99%,31.32%,35.00%,37.84%,38.33%,32.56%,31.43%,31.09%,31.34%,31.34%,30.94%,30.97%,29.78%,28.93%,30.88%,31.36%,32.30%,32.22%,57.14%,57.14%,59.52%,50.00%,48.75%,44.79%,44.92%,47.79%,46.50%,47.28%,46.04%,45.83%,44.49%,45.16%,44.62%,44.29%,44.00%,34.38%,37.04%,35.37%,32.08%,33.05%,29.71%,29.71%,31.17%,31.18%,32.07%,31.37%,32.00%,31.82%,34.21%,33.80%,34.54%,10.00%,23.53%,18.52%,18.42%,29.81%,28.00%,29.45%,29.45%,30.18%,31.22%,31.28%,31.00%,30.42%,29.34%,30.43%,31.96%,29.41%,21.88%,22.81%,24.66%,24.66%,24.74%,23.15%,25.36%,22.98%,23.66%,24.12%,23.72%,28.03%,29.66%,29.79%,30.77%,30.23%,26.76%,25.53%,27.52%,29.69%,30.00%,30.00%,31.65%,30.00%,30.21%,29.03%,29.24%,30.71%,30.08%,29.55%,12.50%,18.60%,22.03%,17.57%,20.21%,19.27%,21.88%,21.88%,23.29%,21.34%,23.53%,24.26%,24.31%,23.65%,23.55%,23.74%,30.77%,33.33%,39.19%,36.36%,35.09%,35.77%,35.62%,36.52%,33.50%,34.40%,34.40%,36.10%,35.09%,35.74%,34.74%,33.44%
Buffalo,30.43%,30.23%,27.45%,22.73%,22.89%,21.43%,24.39%,26.09%,26.09%,27.45%,28.82%,31.18%,32.06%,35.53%,35.27%,35.32%,35.82%,31.25%,30.00%,30.00%,33.33%,33.85%,31.33%,29.59%,31.19%,33.59%,33.09%,32.89%,32.77%,32.12%,35.81%,35.09%,35.00%,28.57%,43.48%,44.07%,41.25%,44.23%,41.18%,40.56%,40.56%,40.79%,40.85%,40.45%,39.69%,38.61%,37.90%,36.55%,41.67%,45.83%,38.00%,37.14%,36.25%,36.46%,36.11%,36.11%,38.66%,38.76%,36.99%,35.85%,35.43%,36.51%,36.63%,35.71%,53.85%,47.83%,45.71%,35.19%,35.29%,35.29%,36.59%,37.62%,37.10%,35.97%,35.95%,34.68%,34.04%,36.06%,36.53%,36.60%,23.08%,29.03%,30.36%,34.29%,33.73%,33.73%,33.33%,34.68%,32.39%,31.58%,33.92%,35.86%,36.11%,35.81%,36.11%,36.03%,37.28%,29.41%,30.95%,32.73%,27.69%,29.49%,31.63%,31.78%,32.76%,32.76%,30.00%,27.78%,29.27%,30.46%,32.62%,33.00%,32.24%,33.33%,52.17%,45.24%,44.44%,40.85%,40.85%,35.71%,34.71%,33.10%,34.42%,33.90%,32.14%,32.04%,33.33%,32.50%,31.64%,39.13%,36.84%,30.86%,33.33%,35.09%,33.59%,33.59%,33.11%,33.33%,34.07%,32.65%,31.80%,31.91%,31.75%,31.50%,30.00%,42.86%,38.89%,34.25%,34.94%,37.25%,35.48%,35.48%,34.04%,33.52%,32.47%,32.38%,35.65%,34.41%,34.33%,34.39%,46.67%,38.46%,33.33%,38.16%,38.54%,38.79%,38.93%,37.09%,38.07%,36.98%,36.89%,36.89%,37.05%,35.29%,36.50%,37.37%,46.67%,35.71%,34.78%,30.16%,25.61%,23.76%,21.95%,21.48%,21.48%,22.44%,23.08%,23.16%,22.44%,22.71%,24.38%,23.35%
Carolina,41.18%,38.71%,38.71%,40.00%,45.07%,50.00%,43.93%,44.88%,46.62%,45.18%,44.26%,43.43%,42.40%,41.74%,40.49%,40.89%,40.14%,5.88%,20.00%,20.00%,23.73%,28.17%,31.52%,32.14%,32.03%,28.29%,27.22%,28.65%,29.50%,29.78%,30.45%,29.06%,25.00%,35.14%,28.33%,29.87%,27.17%,23.58%,23.58%,24.06%,23.65%,25.15%,23.86%,25.13%,26.32%,25.56%,26.86%,27.06%,26.67%,27.59%,33.33%,36.62%,37.21%,34.91%,34.15%,32.37%,32.37%,32.69%,36.36%,36.13%,35.89%,33.77%,32.51%,35.66%,61.90%,36.84%,40.32%,41.33%,39.08%,38.61%,38.61%,38.84%,36.76%,35.62%,34.73%,33.15%,34.34%,34.13%,32.74%,31.91%,35.00%,46.88%,39.13%,35.38%,37.65%,34.34%,35.04%,34.53%,34.53%,34.90%,37.35%,36.70%,38.42%,40.17%,40.08%,40.30%,41.26%,28.57%,31.58%,32.08%,32.08%,30.43%,40.66%,39.64%,43.55%,43.75%,44.17%,43.24%,42.86%,43.60%,43.56%,42.34%,43.22%,16.67%,28.57%,26.67%,27.27%,28.57%,28.57%,23.53%,22.22%,24.56%,25.76%,28.37%,28.66%,31.43%,32.98%,34.80%,35.55%,26.92%,25.00%,26.47%,29.35%,32.14%,33.82%,35.90%,36.72%,36.72%,36.27%,35.48%,37.66%,38.49%,37.68%,38.82%,6.25%,33.33%,27.87%,34.15%,33.68%,33.68%,34.51%,33.58%,35.53%,33.92%,34.39%,35.21%,35.78%,36.47%,37.32%,37.00%,31.25%,34.15%,42.65%,42.65%,38.20%,38.74%,38.64%,39.22%,38.33%,37.44%,36.74%,37.45%,36.86%,37.27%,37.67%,37.09%,26.32%,20.51%,18.64%,16.46%,17.82%,21.54%,22.22%,25.29%,27.03%,27.67%,27.19%,27.19%,29.48%,30.91%,31.02%,32.12%
Chicago,37.50%,27.78%,27.78%,36.59%,44.07%,44.00%,43.62%,41.67%,43.31%,42.03%,41.06%,41.18%,41.03%,39.90%,39.46%,39.92%,39.39%,44.44%,50.00%,45.00%,41.89%,41.89%,43.37%,41.49%,41.67%,40.50%,41.22%,40.00%,38.06%,37.50%,35.48%,35.03%,18.18%,51.72%,42.22%,42.22%,45.90%,41.56%,40.43%,37.96%,39.02%,41.48%,40.67%,41.82%,44.00%,42.63%,42.16%,41.82%,22.22%,20.00%,18.64%,27.50%,32.04%,31.25%,31.25%,30.88%,29.49%,29.94%,31.75%,32.86%,34.26%,34.03%,33.21%,33.80%,36.36%,34.48%,31.11%,26.87%,26.51%,26.21%,23.77%,24.64%,24.64%,24.68%,25.29%,26.06%,26.21%,25.88%,25.94%,27.67%,52.94%,51.72%,44.00%,41.27%,39.29%,34.91%,33.33%,33.33%,35.42%,35.85%,35.71%,38.71%,39.29%,40.97%,40.33%,39.92%,39.07%,22.22%,17.14%,18.37%,23.81%,23.81%,23.81%,23.23%,26.05%,25.18%,24.68%,25.00%,23.89%,25.77%,26.44%,28.51%,27.92%,17.39%,18.92%,16.36%,18.03%,28.38%,26.97%,26.17%,26.17%,27.42%,27.46%,28.57%,27.37%,27.23%,27.10%,27.71%,28.74%,23.53%,17.14%,14.89%,25.81%,24.71%,28.04%,30.16%,30.16%,30.41%,30.63%,30.60%,31.84%,31.60%,33.04%,34.18%,30.77%,29.73%,33.33%,29.33%,30.69%,30.69%,31.67%,29.71%,31.45%,32.34%,33.52%,33.17%,33.04%,31.71%,31.40%,32.60%,23.53%,29.27%,32.14%,29.73%,27.66%,27.50%,29.08%,29.08%,30.72%,28.11%,28.08%,27.47%,28.06%,28.32%,29.45%,28.44%,17.24%,16.67%,18.46%,28.57%,28.70%,28.99%,28.29%,30.17%,30.17%,29.50%,29.91%,30.08%,27.95%,27.44%,28.67%,27.74%
Cincinnati,6.67%,21.43%,18.87%,18.57%,18.18%,18.18%,19.05%,22.58%,22.70%,28.57%,29.63%,30.63%,31.67%,31.76%,32.37%,32.53%,32.27%,42.11%,38.71%,28.07%,29.11%,29.11%,27.78%,30.10%,30.25%,32.84%,31.37%,30.67%,32.80%,32.08%,31.51%,31.89%,34.62%,34.62%,34.92%,28.24%,28.57%,27.91%,28.86%,29.41%,29.74%,29.74%,30.73%,30.29%,30.53%,32.14%,31.72%,31.93%,50.00%,35.90%,31.48%,30.99%,30.99%,30.23%,27.78%,25.38%,26.53%,26.70%,27.23%,27.44%,26.20%,26.46%,27.08%,28.33%,23.08%,19.57%,21.43%,21.84%,21.84%,19.27%,24.44%,24.03%,22.94%,22.46%,22.12%,23.11%,22.92%,24.72%,24.13%,25.91%,12.50%,21.05%,25.58%,24.56%,24.00%,23.86%,25.00%,25.83%,28.57%,28.57%,27.04%,27.06%,27.27%,26.94%,28.10%,30.18%,32.65%,25.00%,31.43%,29.63%,33.33%,32.99%,32.11%,33.09%,33.09%,32.70%,31.79%,34.18%,36.41%,37.24%,36.90%,36.16%,36.81%,19.23%,22.50%,27.87%,24.39%,26.79%,26.79%,24.29%,26.28%,25.29%,24.35%,24.20%,23.28%,24.11%,23.60%,25.95%,26.06%,35.29%,22.86%,26.53%,33.78%,31.03%,29.81%,29.81%,28.69%,29.58%,30.77%,31.28%,30.46%,31.43%,31.86%,32.24%,45.00%,29.27%,31.75%,31.33%,29.70%,27.27%,29.55%,29.55%,28.57%,28.99%,30.37%,32.54%,33.91%,32.93%,34.83%,32.86%,27.78%,32.50%,30.51%,28.00%,30.21%,31.15%,27.86%,26.25%,27.66%,28.23%,28.77%,28.77%,31.93%,31.95%,31.58%,30.42%,25.00%,37.84%,40.32%,40.32%,36.71%,34.26%,32.76%,34.07%,36.08%,37.28%,36.65%,35.35%,35.47%,35.60%,38.32%,39.12%
Cleveland,33.33%,25.93%,19.15%,21.54%,25.29%,30.84%,30.71%,31.43%,31.43%,32.05%,30.05%,30.69%,29.58%,31.17%,31.28%,31.13%,32.97%,40.00%,40.91%,37.50%,35.19%,38.03%,40.22%,41.18%,41.18%,40.91%,40.97%,39.49%,36.67%,35.90%,35.82%,37.74%,12.50%,17.14%,24.49%,24.49%,25.00%,27.63%,31.03%,34.95%,34.45%,33.33%,34.42%,33.33%,32.80%,32.84%,32.26%,32.31%,40.00%,37.50%,32.65%,31.43%,31.03%,31.03%,28.87%,30.97%,28.68%,28.97%,29.38%,28.40%,29.23%,27.67%,27.40%,27.71%,7.69%,22.22%,22.64%,26.15%,27.59%,29.73%,29.73%,32.06%,31.06%,29.89%,31.63%,32.26%,32.35%,33.20%,34.19%,34.34%,18.18%,25.00%,25.64%,29.31%,29.31%,33.33%,35.11%,35.78%,32.52%,34.27%,33.54%,34.09%,34.39%,33.33%,33.02%,34.67%,36.05%,29.41%,21.43%,20.51%,26.23%,34.29%,36.59%,35.11%,38.83%,38.83%,39.47%,36.76%,36.73%,34.50%,36.61%,40.39%,40.64%,33.33%,28.57%,32.61%,34.33%,28.24%,25.49%,28.95%,28.95%,33.09%,32.90%,32.35%,33.16%,32.69%,34.10%,32.47%,32.66%,29.41%,37.14%,29.63%,24.05%,24.05%,21.65%,22.22%,22.96%,22.76%,23.60%,24.31%,26.77%,26.07%,25.65%,27.64%,25.00%,21.21%,22.00%,17.14%,17.65%,19.80%,19.17%,21.48%,21.71%,21.71%,21.05%,21.08%,22.60%,24.56%,25.31%,25.29%,10.00%,9.09%,12.50%,14.86%,18.28%,21.55%,22.56%,23.29%,23.03%,23.03%,22.78%,22.61%,24.22%,23.89%,24.72%,25.52%,39.13%,34.78%,33.85%,33.85%,34.78%,37.84%,35.48%,32.37%,30.38%,31.84%,30.05%,30.60%,29.88%,30.57%,30.37%,30.58%
Dallas,43.75%,30.00%,30.00%,39.66%,40.79%,41.76%,42.24%,40.80%,40.94%,41.10%,41.11%,39.20%,37.73%,39.48%,41.37%,41.51%,40.21%,25.93%,29.79%,27.87%,27.87%,32.47%,32.99%,31.30%,32.12%,33.33%,32.93%,32.22%,33.33%,34.23%,34.58%,34.25%,26.09%,24.32%,28.57%,27.85%,29.91%,30.30%,31.76%,31.36%,31.36%,30.22%,31.25%,30.74%,31.17%,30.22%,30.25%,31.35%,28.57%,27.78%,27.78%,35.59%,39.02%,38.83%,36.29%,36.42%,35.47%,35.42%,35.65%,34.57%,33.33%,32.50%,32.56%,32.49%,33.33%,32.50%,29.51%,32.58%,28.32%,28.57%,28.38%,28.38%,28.49%,27.75%,26.67%,28.57%,27.56%,26.52%,25.86%,26.35%,36.67%,34.00%,41.67%,36.56%,37.84%,36.51%,37.06%,37.50%,37.43%,37.43%,37.77%,36.27%,34.65%,34.57%,33.85%,34.06%,35.05%,33.33%,51.22%,47.69%,44.71%,40.95%,40.95%,39.02%,36.91%,35.93%,34.78%,35.82%,35.16%,32.93%,33.58%,34.25%,33.76%,33.33%,29.79%,29.41%,29.41%,25.81%,28.44%,27.64%,26.35%,25.00%,25.71%,26.29%,26.61%,28.93%,29.12%,29.37%,30.65%,14.29%,14.63%,13.79%,14.46%,14.46%,17.31%,23.44%,22.86%,25.32%,26.37%,26.73%,26.70%,26.97%,27.65%,28.42%,27.78%,25.71%,22.45%,17.33%,17.33%,23.81%,23.58%,21.85%,21.30%,22.40%,22.07%,20.43%,21.79%,22.02%,22.33%,21.70%,13.64%,14.29%,22.22%,20.24%,18.52%,21.43%,19.59%,19.88%,19.34%,20.53%,20.53%,20.09%,22.36%,25.29%,25.00%,25.00%,30.77%,40.38%,36.62%,37.89%,36.97%,35.21%,35.80%,34.07%,33.50%,33.80%,33.80%,33.33%,32.80%,32.84%,31.99%,31.99%
Denver,73.68%,55.81%,47.62%,42.17%,39.05%,37.50%,36.73%,37.74%,37.29%,37.29%,36.95%,37.56%,39.00%,39.33%,39.66%,40.50%,39.82%,50.00%,36.36%,29.03%,30.86%,31.73%,36.43%,36.42%,33.15%,33.67%,33.67%,34.10%,34.33%,33.07%,34.17%,34.44%,15.79%,25.00%,34.38%,35.23%,37.37%,39.50%,41.01%,40.12%,40.12%,38.92%,42.25%,41.59%,42.86%,41.60%,42.56%,42.49%,52.94%,48.57%,42.59%,42.59%,41.79%,42.68%,40.38%,42.97%,41.13%,39.61%,40.23%,38.42%,39.22%,39.01%,38.96%,38.72%,30.43%,36.73%,33.33%,39.02%,36.36%,36.36%,33.33%,29.86%,28.75%,29.78%,30.05%,31.16%,32.31%,32.54%,31.99%,31.69%,41.67%,32.76%,33.33%,31.00%,29.91%,30.88%,29.68%,29.68%,27.22%,28.72%,29.44%,29.11%,30.00%,30.31%,30.13%,30.40%,29.10%,30.00%,34.29%,37.50%,37.84%,31.68%,30.00%,30.00%,30.66%,28.19%,29.45%,30.51%,32.00%,34.38%,33.20%,32.70%,31.88%,30.00%,25.58%,19.70%,18.18%,16.35%,19.20%,19.12%,18.35%,18.35%,20.22%,20.10%,21.52%,23.73%,24.22%,24.53%,25.86%,8.00%,25.00%,20.63%,22.22%,27.66%,27.66%,31.25%,33.59%,37.09%,41.32%,42.70%,43.88%,44.02%,42.36%,43.65%,40.00%,38.64%,32.35%,35.11%,32.76%,30.60%,30.60%,31.90%,29.51%,27.86%,28.38%,27.57%,27.24%,27.52%,29.47%,28.74%,8.33%,14.89%,20.51%,23.89%,24.49%,25.43%,23.47%,23.11%,23.11%,23.08%,23.25%,26.09%,25.93%,25.62%,24.61%,24.08%,33.33%,27.91%,20.63%,20.63%,20.69%,23.15%,23.66%,25.32%,22.83%,23.45%,21.74%,23.17%,24.64%,26.78%,26.52%,26.57%
