Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,29.41%,31.43%,37.13%,37.40%,37.28%,36.81%,36.81%,41.20%,43.15%,42.29%,41.23%,42.14%,41.66%,41.00%,42.38%,41.80%,41.18%,42.59%,37.50%,38.69%,45.85%,45.58%,45.58%,46.22%,48.05%,47.77%,48.55%,46.54%,45.91%,45.29%,44.48%,45.16%,26.25%,25.87%,28.57%,32.17%,33.06%,33.06%,34.06%,34.74%,33.82%,33.06%,33.68%,32.88%,32.88%,32.64%,32.04%,32.93%,42.03%,37.12%,40.74%,41.06%,40.84%,42.09%,41.39%,41.10%,41.10%,40.46%,41.27%,38.66%,40.40%,41.13%,40.69%,42.06%,56.72%,49.23%,42.16%,41.70%,41.88%,42.63%,42.38%,42.38%,41.19%,41.26%,41.48%,40.32%,40.86%,39.46%,39.54%,39.15%,54.17%,53.44%,49.73%,40.91%,41.76%,41.28%,41.28%,38.29%,39.81%,38.91%,38.41%,36.88%,35.83%,36.07%,34.38%,34.15%,34.07%,26.56%,36.29%,29.38%,29.38%,29.32%,30.94%,31.84%,31.01%,33.14%,34.43%,35.61%,35.83%,36.44%,36.36%,36.75%,37.34%,32.81%,30.36%,36.14%,34.10%,35.77%,35.77%,35.87%,35.88%,36.24%,34.44%,33.85%,33.07%,33.33%,34.67%,34.50%,35.06%,46.30%,39.22%,39.53%,41.32%,38.99%,38.99%,38.34%,40.23%,39.18%,39.25%,37.95%,40.00%,40.41%,40.56%,39.86%,35.09%,44.92%,48.60%,40.80%,36.50%,37.53%,37.55%,34.65%,33.84%,33.84%,34.92%,34.38%,34.69%,34.20%,35.50%,34.82%,37.14%,37.50%,35.08%,34.80%,37.34%,36.66%,34.92%,37.40%,37.40%,38.45%,38.04%,38.47%,37.93%,38.81%,39.89%,41.45%,40.00%,42.86%,43.32%,43.32%,41.15%,39.55%,42.11%,41.12%,41.57%,40.62%,41.01%,41.00%,39.70%,40.60%,41.42%,40.17%
Atlanta,50.85%,43.33%,41.28%,41.96%,39.08%,39.29%,39.69%,39.69%,40.72%,43.11%,43.79%,43.20%,42.67%,43.39%,43.65%,45.62%,46.77%,51.85%,58.93%,57.48%,60.44%,56.40%,55.62%,53.87%,54.44%,54.44%,55.69%,56.18%,55.71%,54.69%,55.85%,55.72%,59.70%,57.63%,57.46%,59.18%,55.52%,55.89%,56.02%,56.02%,55.82%,54.83%,53.87%,55.12%,53.61%,53.78%,53.34%,53.42%,67.14%,68.42%,59.38%,60.16%,60.16%,56.96%,56.74%,56.73%,55.17%,53.42%,53.07%,54.03%,55.29%,55.46%,54.75%,54.32%,42.42%,44.92%,39.56%,41.98%,40.52%,38.19%,37.73%,37.73%,40.64%,41.52%,39.84%,40.61%,38.72%,37.89%,38.63%,38.32%,75.00%,57.85%,60.57%,53.53%,54.46%,53.72%,53.72%,50.58%,53.59%,54.36%,54.05%,54.05%,55.01%,54.45%,55.17%,55.17%,55.39%,41.54%,49.61%,46.55%,46.55%,49.19%,47.68%,46.32%,44.50%,45.10%,44.64%,43.89%,42.86%,41.94%,41.65%,41.89%,42.46%,35.21%,46.98%,51.95%,48.69%,49.05%,46.17%,46.36%,46.36%,46.54%,44.67%,44.63%,44.84%,44.69%,45.06%,45.48%,45.32%,21.21%,33.86%,30.05%,34.69%,35.58%,39.32%,40.18%,40.18%,42.97%,42.22%,43.30%,43.42%,42.20%,42.07%,42.75%,41.82%,42.50%,40.96%,37.80%,37.01%,35.82%,35.82%,38.60%,38.92%,37.29%,36.91%,37.33%,37.55%,36.08%,37.61%,37.75%,25.45%,25.86%,32.61%,29.41%,29.85%,29.85%,31.17%,28.79%,30.04%,30.00%,30.03%,30.35%,30.98%,31.55%,31.72%,31.52%,36.23%,32.84%,40.20%,38.78%,37.27%,35.42%,33.85%,35.32%,35.32%,36.52%,36.52%,36.21%,37.04%,37.07%,36.95%,36.85%
Baltimore,33.82%,48.85%,51.89%,52.80%,52.80%,55.37%,54.37%,54.63%,54.85%,54.00%,53.93%,52.92%,52.91%,54.14%,53.91%,54.65%,54.71%,38.81%,52.34%,55.49%,54.26%,57.34%,57.34%,57.60%,54.77%,53.85%,52.99%,51.43%,49.85%,49.65%,50.06%,49.31%,26.92%,24.64%,24.64%,38.73%,40.07%,42.14%,41.52%,40.81%,40.80%,39.93%,40.91%,41.62%,41.37%,40.91%,42.16%,42.49%,54.84%,50.78%,46.46%,45.02%,44.23%,43.01%,43.01%,45.75%,47.02%,45.03%,45.16%,46.15%,44.97%,45.76%,46.56%,46.90%,37.31%,43.38%,43.00%,38.93%,39.89%,41.29%,40.96%,40.96%,39.66%,39.08%,38.60%,38.32%,40.13%,40.78%,41.60%,41.73%,61.33%,61.33%,64.75%,59.13%,58.97%,53.89%,54.68%,56.22%,56.32%,56.69%,55.49%,55.72%,55.87%,56.50%,56.13%,56.02%,55.95%,48.24%,50.34%,47.87%,42.60%,41.46%,39.29%,39.29%,41.63%,40.63%,43.01%,43.42%,43.29%,42.63%,44.23%,44.43%,45.29%,46.67%,42.03%,43.15%,42.75%,47.46%,47.42%,47.33%,47.33%,48.33%,47.24%,47.14%,46.50%,45.67%,45.17%,46.37%,47.52%,50.82%,42.48%,39.15%,43.51%,43.51%,44.04%,41.05%,39.57%,38.92%,36.65%,37.78%,39.61%,42.59%,43.42%,42.30%,39.66%,35.77%,37.23%,36.60%,37.81%,38.75%,36.22%,36.22%,39.18%,39.86%,39.90%,39.71%,39.45%,40.93%,40.20%,41.50%,24.14%,36.08%,40.93%,34.89%,38.92%,38.50%,39.03%,39.03%,38.08%,38.56%,40.32%,41.12%,41.06%,40.45%,40.11%,39.94%,23.53%,37.33%,41.59%,43.27%,40.36%,42.68%,44.76%,44.51%,42.49%,43.67%,43.67%,44.68%,45.18%,45.38%,45.44%,43.89%
Buffalo,52.38%,53.28%,47.59%,40.81%,40.83%,38.48%,41.71%,41.31%,41.31%,41.20%,41.87%,42.34%,42.97%,44.99%,44.54%,44.58%,43.57%,57.14%,50.42%,50.42%,47.25%,45.57%,46.80%,45.00%,48.19%,50.10%,49.44%,49.57%,49.47%,49.17%,49.94%,49.77%,55.38%,45.69%,49.44%,49.11%,50.52%,52.10%,50.98%,51.24%,51.24%,51.49%,48.90%,48.30%,48.73%,47.67%,46.58%,46.29%,48.00%,54.90%,49.71%,49.38%,47.42%,45.30%,45.66%,45.66%,47.01%,48.80%,47.23%,47.05%,46.14%,47.52%,48.66%,47.99%,53.06%,48.00%,50.00%,49.52%,47.74%,47.74%,49.69%,50.78%,50.66%,50.60%,49.55%,48.22%,47.18%,48.58%,48.63%,48.66%,47.54%,47.83%,45.45%,46.96%,45.39%,45.39%,46.48%,45.82%,43.91%,43.74%,45.45%,46.40%,45.62%,45.05%,44.89%,45.19%,45.92%,39.58%,46.55%,42.37%,40.71%,43.20%,46.05%,47.27%,47.00%,47.00%,45.61%,44.70%,44.62%,44.87%,46.14%,45.79%,45.26%,31.48%,45.37%,45.34%,43.00%,42.15%,42.15%,42.65%,41.98%,39.68%,41.49%,41.50%,40.09%,40.55%,42.42%,42.86%,42.23%,59.09%,45.99%,42.13%,41.11%,43.99%,43.55%,43.55%,44.93%,44.56%,43.66%,42.10%,41.88%,41.03%,40.55%,39.52%,44.83%,54.87%,52.46%,48.81%,47.65%,47.81%,46.71%,46.71%,44.31%,43.68%,44.39%,43.98%,46.47%,45.59%,44.48%,44.38%,55.74%,50.00%,44.02%,51.04%,49.04%,48.61%,48.19%,46.82%,47.12%,45.97%,46.90%,46.90%,47.07%,46.27%,47.37%,48.76%,58.93%,57.39%,48.89%,44.58%,42.09%,40.84%,38.89%,41.15%,41.15%,39.90%,39.12%,39.80%,40.50%,38.68%,39.64%,38.36%
Carolina,44.26%,53.60%,53.60%,55.50%,57.48%,58.80%,52.58%,53.41%,54.19%,53.46%,53.50%,53.37%,52.97%,53.19%,52.13%,52.03%,51.79%,23.64%,41.94%,41.94%,39.46%,42.67%,42.35%,42.78%,41.86%,40.00%,39.42%,40.37%,41.10%,42.64%,43.66%,43.32%,43.86%,50.83%,47.03%,49.18%,49.00%,47.91%,47.91%,49.18%,50.62%,52.05%,49.25%,49.70%,50.21%,49.23%,50.54%,49.94%,27.12%,35.54%,37.77%,40.49%,41.97%,42.13%,40.65%,39.87%,39.87%,40.70%,42.93%,42.56%,42.22%,40.02%,38.76%,41.76%,58.46%,44.09%,48.94%,45.10%,47.19%,47.01%,47.01%,46.19%,44.97%,45.23%,44.95%,43.98%,45.60%,44.42%,45.45%,44.66%,40.85%,47.62%,44.44%,46.69%,51.60%,48.79%,50.58%,50.51%,50.51%,50.37%,51.42%,50.38%,50.92%,51.90%,52.01%,52.80%,53.73%,43.48%,40.44%,37.77%,37.77%,41.53%,48.09%,45.71%,49.44%,50.19%,51.05%,49.46%,48.66%,49.54%,49.08%,49.44%,50.78%,38.10%,44.19%,43.32%,44.44%,43.58%,43.58%,43.82%,41.96%,41.38%,42.34%,42.27%,42.64%,42.84%,43.24%,45.16%,45.14%,39.71%,34.53%,37.81%,37.36%,37.92%,38.46%,41.19%,41.23%,41.23%,39.97%,39.97%,41.23%,42.91%,42.38%,43.33%,26.53%,48.65%,44.58%,47.60%,45.55%,45.55%,43.70%,44.26%,45.30%,43.80%,44.72%,45.62%,45.44%,45.58%,46.20%,46.28%,51.02%,46.03%,52.00%,52.00%,46.62%,49.10%,51.67%,50.55%,50.00%,49.57%,49.07%,48.38%,48.77%,47.91%,48.61%,48.25%,48.53%,43.51%,36.22%,37.65%,38.59%,39.39%,39.22%,40.86%,40.95%,40.77%,40.62%,40.62%,41.09%,42.26%,42.29%,43.52%
Chicago,33.90%,36.27%,36.27%,36.31%,41.67%,44.59%,44.32%,44.29%,45.15%,45.08%,44.98%,45.35%,45.55%,44.47%,44.35%,45.12%,44.26%,45.71%,54.03%,50.53%,43.55%,43.55%,45.03%,44.07%,45.32%,46.75%,47.24%,47.32%,46.26%,46.62%,45.30%,45.00%,36.73%,50.00%,46.89%,46.89%,48.55%,49.16%,49.03%,48.69%,49.27%,51.78%,52.03%,52.06%,52.69%,51.18%,51.40%,51.82%,56.25%,55.56%,48.15%,49.81%,50.45%,47.41%,47.41%,48.02%,46.68%,47.66%,48.78%,48.97%,49.35%,50.06%,49.29%,48.48%,50.00%,46.61%,44.07%,38.91%,41.96%,40.57%,39.82%,38.91%,38.91%,40.41%,39.81%,40.51%,39.57%,38.82%,38.30%,40.49%,62.90%,54.84%,53.03%,50.00%,49.85%,47.24%,46.26%,46.26%,46.33%,45.44%,44.72%,45.48%,45.43%,45.22%,44.31%,44.58%,43.83%,44.93%,38.10%,41.53%,41.20%,41.20%,39.53%,37.11%,39.62%,36.96%,35.89%,35.42%,35.05%,37.50%,36.98%,37.74%,38.12%,44.29%,42.02%,40.72%,38.36%,44.52%,40.94%,38.81%,38.81%,40.30%,41.64%,43.56%,44.31%,44.63%,44.01%,44.92%,45.24%,42.19%,30.71%,28.49%,35.96%,36.39%,38.14%,39.91%,39.91%,41.48%,43.57%,44.24%,43.85%,43.84%,45.26%,45.71%,47.14%,44.09%,46.39%,47.58%,47.04%,47.04%,46.92%,45.60%,46.85%,46.28%,46.61%,47.47%,48.13%,46.05%,46.15%,46.72%,45.90%,43.31%,44.39%,39.13%,38.11%,39.25%,39.62%,39.62%,40.28%,38.77%,39.27%,38.83%,38.80%,39.43%,40.07%,39.42%,26.09%,28.93%,30.43%,37.16%,36.84%,37.50%,36.57%,37.08%,37.08%,36.87%,37.44%,38.16%,36.26%,35.39%,35.33%,35.31%
Cincinnati,34.92%,42.07%,40.74%,42.57%,41.43%,41.43%,42.37%,43.50%,42.26%,46.00%,46.33%,47.09%,46.80%,46.08%,46.90%,46.61%,46.19%,50.00%,44.53%,39.52%,40.00%,40.00%,38.55%,41.60%,40.09%,41.22%,41.90%,41.51%,42.48%,42.11%,42.40%,42.74%,47.06%,48.30%,51.22%,48.87%,47.71%,47.30%,45.52%,45.19%,46.15%,46.15%,45.53%,46.07%,45.48%,46.24%,45.89%,45.28%,62.96%,50.77%,48.66%,44.44%,44.44%,42.38%,42.36%,41.03%,41.34%,40.83%,42.31%,43.28%,43.05%,44.26%,44.56%,44.57%,41.07%,36.84%,37.98%,36.29%,36.29%,34.57%,39.53%,39.64%,38.59%,39.75%,38.34%,39.36%,38.87%,40.09%,39.98%,41.18%,48.00%,49.06%,44.38%,40.95%,39.86%,39.15%,38.06%,38.20%,39.19%,39.19%,38.84%,38.47%,37.87%,37.99%,39.00%,41.68%,42.68%,42.86%,50.00%,44.44%,42.97%,44.72%,42.93%,46.40%,46.40%,47.39%,47.40%,49.07%,50.42%,51.20%,50.83%,49.61%,50.15%,32.89%,39.16%,42.66%,40.22%,40.88%,40.88%,38.65%,38.91%,38.06%,37.27%,37.91%,37.43%,37.78%,37.25%,39.41%,40.93%,51.56%,41.73%,40.56%,42.00%,43.04%,44.06%,44.06%,44.50%,44.27%,44.48%,43.75%,44.26%,43.95%,44.38%,45.16%,40.58%,40.46%,42.86%,45.28%,42.01%,39.79%,40.14%,40.14%,39.37%,40.28%,41.89%,42.80%,42.95%,42.41%,43.47%,42.30%,38.18%,41.04%,41.58%,38.98%,42.59%,43.87%,42.73%,42.94%,42.13%,41.32%,42.20%,42.20%,43.70%,44.19%,43.40%,43.74%,40.62%,53.38%,53.68%,53.68%,50.42%,48.24%,44.41%,45.71%,46.39%,45.10%,46.61%,47.56%,47.62%,46.75%,48.08%,48.79%
Cleveland,47.27%,40.00%,37.14%,37.02%,42.19%,44.04%,42.09%,40.90%,40.90%,40.93%,41.78%,41.29%,40.43%,40.66%,41.38%,41.20%,42.87%,52.73%,50.00%,46.43%,49.11%,46.26%,50.14%,50.00%,50.00%,49.90%,49.24%,49.23%,47.35%,46.05%,45.49%,45.82%,29.51%,35.34%,37.21%,37.21%,37.23%,36.75%,38.41%,40.98%,42.07%,41.26%,43.15%,42.16%,43.31%,43.78%,43.62%,42.50%,40.74%,39.25%,36.75%,40.85%,39.27%,39.27%,37.29%,40.91%,40.08%,41.06%,41.71%,40.85%,41.25%,40.10%,39.37%,39.36%,26.67%,37.40%,36.11%,41.67%,39.32%,42.42%,42.42%,43.69%,42.27%,41.45%,42.16%,42.73%,41.94%,42.52%,43.75%,43.02%,41.86%,42.16%,37.11%,44.20%,44.20%,45.58%,44.99%,45.14%,44.54%,44.64%,44.37%,43.89%,44.44%,43.21%,42.96%,43.63%,44.41%,33.33%,35.34%,38.10%,38.65%,44.52%,44.60%,44.07%,45.57%,45.57%,45.23%,46.24%,45.18%,43.91%,45.44%,47.64%,49.29%,37.70%,41.18%,44.83%,47.08%,44.04%,42.54%,44.61%,44.61%,47.98%,47.36%,46.95%,46.82%,46.10%,46.60%,45.85%,45.89%,38.24%,44.44%,40.93%,36.07%,36.07%,35.06%,38.66%,38.54%,39.07%,40.23%,41.19%,41.59%,40.77%,41.00%,41.39%,37.29%,37.19%,32.04%,29.88%,30.82%,34.59%,33.88%,36.33%,36.94%,36.94%,38.08%,39.48%,39.95%,40.90%,40.18%,39.53%,18.06%,24.63%,23.92%,28.57%,32.46%,32.36%,32.57%,32.20%,33.22%,33.39%,32.30%,31.29%,32.16%,32.44%,32.32%,32.35%,46.88%,44.12%,46.60%,47.12%,47.55%,51.09%,49.11%,48.78%,48.05%,50.76%,48.57%,47.83%,47.13%,47.05%,47.07%,47.10%
Dallas,40.68%,43.17%,43.17%,49.27%,50.18%,51.49%,53.07%,51.97%,52.26%,52.08%,51.20%,49.73%,47.93%,48.48%,49.57%,49.70%,48.45%,28.77%,35.77%,37.04%,37.04%,40.65%,39.29%,37.85%,41.59%,42.18%,42.33%,43.56%,45.10%,45.15%,44.80%,44.86%,54.10%,49.21%,47.47%,48.28%,50.29%,50.00%,51.02%,51.37%,51.37%,51.09%,52.34%,51.22%,50.12%,49.54%,48.93%,49.65%,38.60%,41.73%,41.73%,50.00%,48.90%,49.85%,47.16%,47.61%,47.08%,47.88%,48.96%,49.53%,48.87%,47.82%,47.69%,47.13%,54.55%,54.55%,49.46%,49.40%,45.20%,43.78%,43.31%,43.31%,44.78%,44.93%,44.75%,45.48%,45.70%,44.10%,43.01%,43.33%,49.21%,47.01%,48.39%,41.39%,45.42%,43.63%,42.76%,42.65%,42.75%,42.75%,43.50%,43.35%,43.19%,42.93%,42.62%,41.75%,40.96%,46.15%,48.18%,48.02%,44.18%,43.87%,43.87%,44.44%,44.27%,43.46%,41.44%,42.69%,42.86%,41.36%,41.73%,42.36%,42.44%,30.99%,29.58%,34.67%,34.67%,33.58%,35.93%,34.10%,33.48%,33.07%,35.05%,36.73%,37.37%,39.77%,39.78%,40.13%,40.49%,39.39%,36.36%,37.95%,37.41%,37.41%,37.09%,40.05%,37.89%,39.13%,41.09%,41.41%,41.26%,40.26%,40.34%,41.37%,45.61%,36.84%,36.11%,31.85%,31.85%,37.00%,38.78%,35.58%,35.35%,36.36%,35.25%,33.15%,34.71%,34.68%,34.55%,33.70%,31.08%,28.89%,37.63%,35.60%,33.88%,34.46%,34.50%,35.88%,33.39%,33.67%,33.67%,33.54%,34.73%,35.88%,35.08%,35.61%,36.51%,47.48%,49.74%,50.78%,49.24%,49.88%,50.98%,49.52%,48.80%,48.99%,48.99%,48.85%,48.41%,49.02%,49.55%,50.52%
Denver,60.61%,56.59%,58.64%,53.78%,51.71%,49.86%,48.17%,47.79%,47.51%,47.51%,48.84%,47.73%,49.42%,49.64%,49.73%,51.62%,51.86%,53.03%,50.00%,45.96%,47.73%,49.24%,53.23%,50.96%,47.52%,48.68%,48.68%,48.95%,49.79%,48.67%,49.36%,47.95%,28.99%,34.07%,43.46%,48.11%,48.74%,50.13%,50.57%,50.49%,50.49%,51.84%,53.01%,52.38%,52.06%,51.71%,51.51%,51.86%,45.45%,50.41%,51.35%,51.35%,51.68%,53.29%,51.76%,53.16%,52.30%,51.40%,51.66%,49.62%,50.35%,49.94%,50.29%,50.72%,44.44%,48.28%,47.06%,50.61%,47.68%,47.68%,47.06%,45.93%,42.54%,43.09%,43.98%,44.91%,45.07%,45.83%,44.74%,44.13%,57.63%,43.28%,42.71%,39.39%,40.12%,39.84%,40.50%,40.50%,38.12%,38.29%,39.04%,39.42%,39.18%,39.49%,39.46%,39.27%,37.98%,39.22%,45.60%,52.85%,50.80%,46.77%,47.68%,47.68%,45.74%,43.60%,43.17%,42.20%,43.81%,45.54%,45.09%,44.94%,43.91%,40.98%,46.67%,38.39%,35.19%,33.63%,36.74%,36.44%,35.44%,35.44%,36.73%,35.76%,35.17%,35.65%,36.24%,37.88%,38.84%,20.31%,38.58%,37.89%,38.46%,40.27%,40.27%,43.17%,42.53%,45.04%,49.74%,50.72%,52.96%,53.77%,52.74%,52.79%,49.09%,44.26%,37.88%,41.09%,39.00%,39.44%,39.44%,42.24%,42.29%,41.64%,41.01%,40.75%,40.97%,41.78%,43.24%,43.20%,33.82%,37.14%,40.85%,42.25%,42.30%,42.06%,39.92%,40.28%,40.28%,39.94%,40.73%,42.34%,42.69%,41.98%,40.87%,39.89%,46.38%,44.35%,38.38%,38.38%,37.93%,40.12%,41.30%,42.00%,39.24%,38.77%,36.43%,37.67%,39.49%,40.60%,42.09%,41.19%
