Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,0.00%,0.00%,20.00%,28.57%,25.00%,20.00%,20.00%,27.27%,23.08%,20.00%,20.00%,16.67%,16.67%,15.00%,22.73%,21.74%,20.00%,100.00%,100.00%,100.00%,66.67%,50.00%,50.00%,50.00%,50.00%,47.06%,52.63%,50.00%,50.00%,47.62%,54.17%,53.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.33%,12.50%,11.11%,10.53%,10.00%,9.09%,8.00%,25.00%,20.00%,28.57%,25.00%,20.00%,16.67%,16.67%,21.43%,21.43%,26.67%,29.41%,25.00%,33.33%,33.33%,34.48%,35.48%,50.00%,50.00%,33.33%,33.33%,30.77%,35.71%,29.41%,29.41%,33.33%,27.27%,25.93%,25.81%,23.53%,21.62%,20.00%,18.60%,50.00%,33.33%,25.00%,38.46%,44.44%,36.36%,36.36%,36.00%,34.48%,31.25%,32.35%,35.14%,32.50%,31.82%,30.43%,29.79%,27.45%,0.00%,20.00%,16.67%,16.67%,20.00%,23.08%,31.25%,31.58%,25.00%,28.57%,29.03%,30.30%,27.78%,29.73%,34.15%,35.56%,50.00%,66.67%,33.33%,28.57%,20.00%,20.00%,27.27%,31.25%,26.32%,28.57%,27.27%,27.27%,27.27%,34.62%,33.33%,30.00%,25.00%,28.57%,25.00%,45.45%,50.00%,50.00%,46.67%,44.44%,40.00%,34.78%,33.33%,34.62%,35.71%,32.26%,33.33%,50.00%,50.00%,28.57%,20.00%,20.00%,18.18%,23.08%,23.08%,26.67%,26.67%,31.25%,38.89%,38.89%,38.89%,43.48%,41.67%,0.00%,20.00%,33.33%,28.57%,33.33%,33.33%,35.71%,35.29%,35.29%,30.00%,30.43%,29.63%,26.67%,29.41%,31.58%,30.77%,0.00%,25.00%,16.67%,16.67%,25.00%,18.18%,21.43%,23.53%,23.81%,24.00%,22.22%,22.22%,20.69%,20.00%,20.00%,20.00%
Atlanta,33.33%,42.86%,50.00%,50.00%,45.45%,45.45%,46.15%,46.15%,50.00%,55.56%,55.00%,50.00%,52.00%,53.57%,55.17%,50.00%,48.57%,66.67%,57.14%,57.14%,60.00%,63.64%,57.14%,53.33%,50.00%,50.00%,52.17%,48.00%,46.43%,46.43%,51.52%,51.35%,100.00%,75.00%,57.14%,60.00%,46.15%,41.18%,45.00%,45.00%,45.45%,44.00%,42.86%,41.94%,41.94%,45.71%,45.71%,44.74%,0.00%,25.00%,25.00%,33.33%,33.33%,50.00%,38.46%,31.25%,33.33%,31.58%,30.00%,33.33%,33.33%,34.62%,30.00%,30.00%,--,100.00%,33.33%,20.00%,16.67%,28.57%,25.00%,25.00%,40.00%,41.67%,38.46%,35.71%,31.25%,27.78%,27.78%,28.57%,75.00%,75.00%,66.67%,66.67%,58.33%,53.85%,53.85%,46.67%,44.44%,40.91%,45.83%,53.33%,50.00%,51.43%,52.78%,51.28%,53.49%,0.00%,16.67%,28.57%,28.57%,46.15%,43.75%,42.11%,40.91%,42.31%,42.86%,43.75%,41.18%,40.00%,40.54%,39.47%,35.71%,--,40.00%,37.50%,33.33%,27.27%,23.08%,27.78%,27.78%,33.33%,29.17%,29.63%,31.03%,30.30%,35.14%,31.71%,30.23%,0.00%,16.67%,14.29%,30.00%,33.33%,43.75%,44.44%,44.44%,40.91%,37.50%,38.46%,34.48%,33.33%,29.41%,28.21%,25.00%,28.57%,27.27%,21.43%,23.53%,21.05%,21.05%,18.18%,21.74%,19.23%,21.43%,25.81%,27.27%,27.78%,27.50%,25.00%,0.00%,16.67%,12.50%,10.00%,21.43%,21.43%,16.67%,15.79%,15.00%,14.29%,16.67%,20.00%,27.59%,25.00%,28.57%,28.95%,25.00%,20.00%,30.77%,29.41%,31.58%,30.00%,28.57%,29.17%,29.17%,30.77%,29.63%,30.00%,28.12%,27.03%,25.64%,26.19%
Baltimore,50.00%,60.00%,50.00%,55.56%,55.56%,45.45%,42.86%,43.75%,44.44%,45.00%,45.00%,36.00%,36.67%,41.18%,40.00%,42.50%,43.90%,--,66.67%,66.67%,55.56%,45.45%,45.45%,46.15%,42.86%,43.75%,38.89%,36.36%,36.36%,37.50%,32.14%,31.03%,0.00%,0.00%,0.00%,33.33%,20.00%,16.67%,16.67%,14.29%,14.29%,14.29%,12.50%,16.67%,21.43%,20.00%,23.81%,20.83%,33.33%,40.00%,33.33%,25.00%,25.00%,18.18%,18.18%,18.75%,22.22%,19.05%,29.17%,29.63%,28.57%,30.00%,30.30%,29.73%,50.00%,25.00%,16.67%,14.29%,14.29%,25.00%,30.00%,30.00%,36.36%,41.67%,40.00%,41.18%,40.00%,39.13%,37.50%,36.00%,100.00%,100.00%,83.33%,75.00%,77.78%,77.78%,66.67%,66.67%,57.89%,54.17%,52.00%,48.28%,42.42%,41.67%,41.67%,43.59%,47.62%,40.00%,44.44%,53.85%,43.75%,38.89%,40.91%,40.91%,40.00%,42.31%,42.86%,42.86%,43.33%,43.75%,50.00%,45.24%,43.18%,100.00%,50.00%,20.00%,28.57%,54.55%,46.15%,41.18%,41.18%,36.84%,31.82%,30.77%,28.57%,27.59%,26.47%,27.03%,25.64%,25.00%,20.00%,11.11%,15.38%,15.38%,26.67%,25.00%,36.84%,38.10%,34.78%,37.04%,35.71%,38.71%,38.24%,36.11%,40.00%,42.86%,36.36%,35.71%,35.71%,38.89%,36.84%,36.84%,40.91%,41.38%,40.00%,38.71%,39.39%,37.84%,35.90%,35.71%,33.33%,40.00%,37.50%,30.00%,41.67%,35.71%,33.33%,33.33%,29.41%,26.32%,28.57%,27.27%,26.09%,22.22%,22.22%,25.00%,50.00%,25.00%,33.33%,36.36%,41.67%,33.33%,33.33%,39.13%,34.62%,37.93%,37.93%,39.39%,38.89%,40.00%,38.10%,36.36%
Buffalo,50.00%,55.56%,50.00%,50.00%,50.00%,50.00%,52.94%,52.94%,52.94%,52.94%,52.94%,57.89%,54.55%,54.17%,48.15%,48.15%,48.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.38%,20.00%,18.75%,15.00%,28.00%,22.58%,28.57%,26.32%,0.00%,0.00%,50.00%,66.67%,60.00%,50.00%,40.00%,36.36%,36.36%,30.77%,28.57%,28.57%,23.53%,22.22%,25.00%,25.00%,50.00%,33.33%,40.00%,42.86%,37.50%,30.00%,30.00%,30.00%,30.77%,28.57%,23.53%,30.00%,30.43%,29.63%,26.67%,28.12%,50.00%,50.00%,66.67%,60.00%,37.50%,37.50%,44.44%,40.00%,38.46%,42.86%,40.00%,41.18%,41.18%,31.82%,31.82%,32.00%,25.00%,33.33%,44.44%,41.67%,42.86%,42.86%,43.75%,47.06%,42.11%,40.00%,39.13%,41.38%,41.38%,41.38%,43.75%,45.71%,45.71%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.09%,16.67%,16.67%,14.29%,13.33%,26.32%,30.00%,28.57%,27.27%,27.27%,0.00%,50.00%,20.00%,14.29%,10.00%,10.00%,7.14%,6.67%,16.67%,20.00%,22.22%,21.43%,20.00%,19.35%,18.18%,18.18%,20.00%,30.00%,28.57%,31.25%,35.00%,34.78%,34.78%,32.00%,30.77%,29.63%,29.63%,26.67%,28.12%,27.27%,27.78%,25.00%,33.33%,25.00%,18.75%,18.75%,27.78%,22.73%,22.73%,22.73%,26.92%,25.93%,25.00%,28.12%,27.27%,28.57%,27.78%,0.00%,20.00%,16.67%,25.00%,45.45%,42.86%,43.75%,44.44%,42.11%,40.00%,37.50%,37.50%,42.86%,42.86%,41.94%,43.75%,50.00%,25.00%,20.00%,14.29%,12.50%,18.18%,15.38%,16.67%,16.67%,15.79%,15.79%,20.83%,19.23%,21.43%,20.69%,18.75%
Carolina,0.00%,0.00%,0.00%,20.00%,28.57%,33.33%,27.27%,38.46%,35.71%,29.41%,36.84%,38.10%,34.78%,36.00%,33.33%,31.03%,27.27%,0.00%,16.67%,16.67%,28.57%,33.33%,30.00%,30.00%,25.00%,20.00%,21.05%,29.17%,25.93%,27.59%,29.03%,28.57%,50.00%,80.00%,50.00%,50.00%,46.67%,38.89%,38.89%,39.13%,40.74%,40.00%,40.00%,38.71%,38.24%,37.14%,39.47%,37.50%,--,100.00%,66.67%,50.00%,37.50%,30.00%,25.00%,35.71%,35.71%,35.29%,33.33%,31.58%,27.27%,26.09%,26.09%,25.00%,0.00%,0.00%,11.11%,10.00%,9.09%,15.38%,15.38%,21.43%,20.00%,18.75%,16.67%,16.67%,18.18%,18.18%,21.74%,20.83%,0.00%,50.00%,60.00%,50.00%,50.00%,50.00%,46.67%,44.44%,44.44%,45.00%,50.00%,51.85%,59.38%,62.16%,62.50%,65.91%,63.83%,100.00%,66.67%,50.00%,50.00%,50.00%,60.00%,63.64%,60.00%,64.71%,61.90%,59.09%,59.09%,60.87%,58.33%,53.57%,51.52%,0.00%,0.00%,33.33%,40.00%,40.00%,40.00%,28.57%,25.00%,25.00%,33.33%,30.00%,33.33%,42.86%,46.67%,43.75%,43.75%,33.33%,40.00%,33.33%,44.44%,46.15%,53.33%,55.56%,47.62%,47.62%,47.62%,48.00%,53.57%,57.58%,55.56%,55.00%,0.00%,50.00%,57.14%,54.55%,50.00%,50.00%,50.00%,46.67%,50.00%,45.00%,43.48%,44.44%,40.00%,39.39%,40.54%,41.03%,0.00%,0.00%,25.00%,25.00%,25.00%,30.77%,31.25%,35.00%,37.50%,40.00%,35.71%,36.67%,36.36%,35.29%,35.14%,35.90%,0.00%,25.00%,16.67%,14.29%,18.18%,26.67%,23.53%,23.53%,27.78%,28.57%,26.09%,26.09%,25.00%,27.59%,26.67%,28.12%
Chicago,0.00%,0.00%,0.00%,50.00%,50.00%,42.86%,50.00%,45.45%,53.85%,50.00%,47.06%,50.00%,50.00%,44.00%,46.15%,44.83%,44.83%,100.00%,60.00%,71.43%,62.50%,62.50%,55.56%,60.00%,50.00%,53.33%,47.06%,44.44%,42.11%,36.36%,36.36%,36.36%,100.00%,50.00%,57.14%,57.14%,50.00%,50.00%,46.15%,40.00%,41.18%,42.11%,40.00%,38.10%,36.36%,39.13%,41.67%,40.74%,0.00%,0.00%,0.00%,18.18%,26.67%,22.22%,22.22%,26.09%,25.00%,24.14%,23.33%,25.81%,26.47%,27.50%,29.55%,30.43%,--,0.00%,33.33%,16.67%,22.22%,15.38%,14.29%,13.33%,13.33%,17.65%,26.32%,26.09%,25.00%,24.00%,26.92%,26.67%,66.67%,60.00%,42.86%,30.00%,28.57%,31.25%,27.27%,27.27%,32.00%,33.33%,33.33%,36.67%,34.38%,32.35%,35.14%,35.90%,35.71%,0.00%,0.00%,0.00%,25.00%,25.00%,21.43%,20.00%,27.78%,23.81%,23.81%,22.73%,21.74%,24.00%,22.22%,21.43%,18.75%,0.00%,0.00%,0.00%,0.00%,22.22%,27.27%,23.08%,23.08%,25.00%,21.05%,25.00%,20.83%,25.93%,28.57%,25.00%,27.03%,0.00%,0.00%,0.00%,20.00%,18.18%,20.00%,27.78%,27.78%,28.57%,28.00%,31.03%,29.03%,29.03%,31.25%,29.41%,60.00%,50.00%,50.00%,33.33%,29.41%,29.41%,27.78%,28.57%,25.93%,25.93%,25.00%,29.03%,27.27%,25.71%,25.00%,25.00%,33.33%,14.29%,25.00%,26.67%,23.53%,20.00%,28.00%,28.00%,28.57%,26.67%,25.00%,25.71%,24.32%,23.81%,23.40%,22.92%,0.00%,0.00%,0.00%,0.00%,7.14%,17.65%,21.05%,18.18%,18.18%,16.67%,14.81%,20.00%,18.75%,22.22%,21.05%,20.00%
Cincinnati,0.00%,33.33%,25.00%,14.29%,25.00%,25.00%,25.00%,26.67%,29.41%,38.10%,33.33%,28.57%,25.81%,25.00%,27.03%,26.32%,30.00%,33.33%,25.00%,25.00%,33.33%,33.33%,25.00%,30.00%,33.33%,35.71%,37.50%,33.33%,32.00%,28.57%,28.12%,29.41%,33.33%,28.57%,20.00%,18.18%,15.38%,17.65%,22.22%,19.05%,20.83%,20.83%,25.00%,27.27%,28.95%,30.00%,31.11%,31.25%,100.00%,66.67%,40.00%,45.45%,45.45%,41.67%,35.71%,35.29%,36.84%,37.50%,32.14%,31.25%,30.30%,32.43%,34.21%,34.15%,0.00%,0.00%,9.09%,8.33%,8.33%,7.14%,21.05%,20.00%,17.39%,17.39%,15.38%,19.35%,21.88%,24.24%,23.53%,25.00%,0.00%,50.00%,50.00%,40.00%,28.57%,33.33%,30.00%,30.00%,30.77%,30.77%,28.57%,26.67%,26.67%,26.67%,29.41%,26.32%,30.00%,100.00%,40.00%,37.50%,27.27%,30.77%,33.33%,28.57%,28.57%,30.43%,29.17%,34.62%,33.33%,31.03%,30.00%,28.12%,26.47%,33.33%,33.33%,40.00%,28.57%,22.22%,22.22%,15.38%,13.33%,16.67%,15.00%,16.67%,16.00%,21.43%,20.69%,23.33%,22.86%,33.33%,20.00%,20.00%,28.57%,27.27%,28.57%,28.57%,22.22%,19.05%,17.39%,23.08%,25.00%,24.14%,23.33%,28.12%,100.00%,20.00%,20.00%,23.08%,21.43%,17.65%,21.05%,21.05%,23.81%,20.00%,24.14%,24.24%,25.71%,25.00%,27.50%,26.83%,33.33%,40.00%,40.00%,40.00%,45.45%,35.71%,29.41%,20.83%,26.92%,25.00%,21.21%,21.21%,22.86%,26.83%,27.27%,26.00%,0.00%,50.00%,62.50%,62.50%,50.00%,50.00%,50.00%,58.82%,57.14%,57.14%,50.00%,50.00%,50.00%,48.39%,52.94%,50.00%
Cleveland,--,0.00%,0.00%,0.00%,11.11%,20.00%,16.67%,16.67%,16.67%,21.43%,26.32%,26.32%,25.00%,26.09%,24.00%,24.00%,29.63%,50.00%,50.00%,33.33%,40.00%,28.57%,18.18%,33.33%,33.33%,31.25%,29.41%,27.78%,25.00%,23.08%,22.22%,22.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,15.38%,20.00%,18.75%,16.67%,20.00%,20.00%,20.00%,50.00%,75.00%,66.67%,44.44%,44.44%,44.44%,40.00%,41.67%,38.46%,40.00%,35.29%,35.29%,33.33%,31.82%,29.17%,28.00%,0.00%,14.29%,20.00%,23.08%,20.00%,25.00%,25.00%,21.74%,33.33%,29.03%,32.35%,32.43%,30.77%,30.95%,30.95%,29.55%,0.00%,0.00%,0.00%,25.00%,25.00%,25.00%,22.22%,27.27%,21.43%,23.53%,31.58%,31.58%,31.58%,31.58%,30.00%,30.00%,30.00%,0.00%,0.00%,0.00%,25.00%,25.00%,16.67%,16.67%,28.57%,28.57%,28.57%,18.18%,25.00%,20.00%,25.00%,33.33%,34.78%,50.00%,50.00%,50.00%,50.00%,44.44%,40.00%,38.46%,38.46%,52.94%,52.63%,47.62%,54.17%,52.00%,52.00%,48.15%,46.43%,0.00%,40.00%,28.57%,25.00%,25.00%,20.00%,20.00%,18.18%,16.67%,16.67%,21.43%,18.75%,17.65%,17.65%,21.05%,0.00%,25.00%,33.33%,42.86%,40.00%,35.71%,31.25%,35.29%,35.29%,35.29%,31.58%,33.33%,34.78%,38.46%,41.38%,40.00%,0.00%,0.00%,0.00%,0.00%,9.09%,7.69%,7.14%,6.25%,5.26%,5.26%,4.76%,4.55%,7.69%,6.90%,9.09%,11.76%,66.67%,50.00%,55.56%,55.56%,41.67%,50.00%,50.00%,50.00%,45.00%,52.17%,50.00%,53.85%,55.56%,53.33%,53.33%,51.61%
Dallas,50.00%,50.00%,50.00%,50.00%,37.50%,40.00%,33.33%,33.33%,38.89%,36.84%,36.84%,36.36%,36.00%,34.62%,37.93%,36.67%,35.48%,50.00%,50.00%,42.86%,42.86%,37.50%,40.00%,41.67%,37.50%,37.50%,36.84%,35.00%,39.13%,42.86%,44.83%,43.33%,25.00%,20.00%,40.00%,36.36%,28.57%,26.67%,25.00%,30.00%,30.00%,30.43%,36.00%,35.71%,34.48%,33.33%,32.35%,35.14%,50.00%,40.00%,40.00%,45.45%,50.00%,44.44%,42.86%,48.00%,44.44%,43.33%,45.45%,39.47%,42.50%,42.86%,42.55%,41.67%,33.33%,40.00%,35.71%,36.84%,33.33%,29.17%,29.63%,29.63%,31.25%,27.78%,25.00%,25.00%,22.92%,25.00%,25.00%,25.93%,75.00%,44.44%,50.00%,40.00%,36.84%,31.82%,33.33%,32.00%,29.63%,29.63%,31.03%,28.12%,27.78%,27.03%,27.50%,27.91%,27.91%,25.00%,50.00%,50.00%,54.55%,50.00%,50.00%,38.89%,34.78%,36.00%,34.62%,33.33%,33.33%,30.30%,28.57%,31.58%,32.50%,0.00%,0.00%,16.67%,16.67%,11.11%,8.33%,6.25%,11.11%,10.53%,8.70%,10.71%,19.35%,20.00%,21.05%,21.95%,22.73%,33.33%,16.67%,16.67%,11.11%,11.11%,10.00%,21.43%,20.00%,17.65%,18.18%,16.00%,14.81%,14.29%,12.50%,13.89%,0.00%,0.00%,20.00%,14.29%,14.29%,20.00%,18.18%,28.57%,26.67%,20.00%,22.73%,20.00%,20.00%,21.88%,22.86%,20.51%,0.00%,0.00%,11.11%,8.33%,11.11%,18.18%,20.83%,18.52%,16.67%,18.75%,18.75%,17.14%,23.08%,23.26%,23.91%,24.49%,50.00%,50.00%,37.50%,38.46%,33.33%,33.33%,31.82%,29.17%,26.92%,26.67%,26.67%,23.53%,25.71%,27.50%,28.89%,27.45%
Denver,66.67%,42.86%,45.45%,38.46%,40.00%,35.29%,36.84%,36.84%,36.36%,36.36%,30.77%,29.63%,33.33%,41.67%,44.74%,47.62%,47.62%,50.00%,50.00%,33.33%,28.57%,22.22%,23.08%,21.43%,16.67%,13.64%,13.64%,15.38%,17.24%,22.58%,27.27%,28.57%,0.00%,33.33%,50.00%,37.50%,45.45%,46.67%,47.06%,45.83%,45.83%,44.44%,50.00%,48.48%,50.00%,48.65%,48.78%,51.16%,100.00%,100.00%,33.33%,33.33%,25.00%,40.00%,42.86%,54.55%,46.67%,41.18%,45.00%,42.86%,39.13%,36.00%,37.93%,37.50%,0.00%,33.33%,40.00%,42.86%,42.86%,42.86%,27.27%,25.00%,23.08%,25.00%,25.00%,29.17%,34.62%,32.26%,31.25%,31.25%,60.00%,40.00%,35.71%,33.33%,31.25%,27.78%,26.32%,26.32%,23.81%,24.00%,28.57%,31.03%,30.30%,30.56%,29.73%,33.33%,35.71%,0.00%,50.00%,50.00%,37.50%,30.00%,21.43%,21.43%,26.67%,25.00%,22.22%,22.22%,25.00%,28.00%,25.93%,25.00%,22.58%,50.00%,50.00%,42.86%,33.33%,27.27%,30.77%,26.67%,29.41%,29.41%,25.00%,26.92%,26.67%,26.67%,29.03%,30.30%,33.33%,0.00%,20.00%,14.29%,10.00%,15.38%,15.38%,13.33%,12.50%,19.05%,21.74%,24.00%,23.08%,23.33%,22.58%,29.41%,25.00%,42.86%,33.33%,30.77%,25.00%,19.05%,19.05%,20.00%,17.24%,18.18%,16.67%,15.79%,14.29%,15.91%,18.75%,19.23%,0.00%,16.67%,18.75%,17.39%,20.69%,26.47%,26.32%,25.00%,25.00%,22.92%,25.49%,25.45%,23.33%,24.24%,23.53%,22.22%,25.00%,14.29%,11.11%,11.11%,14.29%,11.11%,16.67%,20.69%,21.88%,18.92%,18.42%,18.60%,17.78%,22.92%,22.45%,22.64%
