Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,21.64%,25.93%,24.93%,24.60%,24.23%,24.96%,24.96%,32.00%,34.74%,33.42%,32.68%,34.18%,33.57%,33.38%,34.99%,34.39%,34.14%,39.62%,35.83%,32.08%,40.87%,38.82%,38.82%,39.08%,41.45%,41.87%,43.13%,39.95%,39.05%,38.89%,36.94%,36.50%,9.75%,16.21%,21.08%,21.04%,19.68%,19.68%,20.70%,21.88%,21.44%,19.90%,20.48%,20.26%,19.86%,19.90%,19.47%,19.56%,22.89%,23.92%,25.77%,23.85%,24.19%,24.01%,23.82%,25.38%,25.38%,25.83%,26.63%,23.76%,25.51%,26.15%,26.70%,27.22%,61.69%,42.34%,33.52%,32.42%,31.15%,31.98%,30.61%,30.61%,29.17%,28.47%,27.82%,26.25%,27.60%,26.50%,26.90%,25.93%,38.25%,26.03%,29.34%,23.03%,25.00%,24.12%,24.12%,22.09%,24.14%,22.86%,22.13%,20.75%,20.12%,20.03%,19.64%,19.78%,20.13%,13.38%,23.17%,18.11%,18.11%,16.80%,17.05%,18.21%,19.76%,23.25%,23.71%,25.84%,25.83%,26.07%,26.53%,27.18%,27.17%,29.63%,35.66%,40.02%,39.36%,36.42%,36.42%,38.54%,35.66%,34.33%,31.33%,30.65%,28.99%,30.25%,33.15%,32.38%,32.51%,25.13%,26.74%,27.06%,31.06%,30.28%,30.28%,28.95%,31.14%,30.68%,29.79%,30.17%,34.64%,34.37%,32.99%,31.97%,17.00%,29.72%,31.27%,25.30%,23.37%,29.51%,30.53%,27.35%,25.88%,25.88%,29.08%,27.99%,29.27%,29.21%,30.34%,29.16%,22.05%,23.44%,26.29%,24.59%,26.45%,26.58%,25.09%,29.61%,29.61%,29.56%,26.23%,26.57%,26.49%,26.70%,27.73%,28.79%,27.05%,34.83%,31.48%,31.48%,28.97%,27.81%,28.94%,27.00%,27.39%,25.25%,23.96%,24.39%,23.22%,24.54%,26.23%,25.64%
Atlanta,30.82%,32.78%,30.66%,36.85%,32.83%,33.09%,35.80%,35.80%,37.25%,41.92%,44.36%,40.99%,40.04%,42.04%,43.65%,44.43%,44.73%,41.85%,52.41%,57.34%,56.17%,52.04%,48.60%,49.14%,47.77%,47.77%,49.52%,51.23%,50.75%,51.64%,52.52%,53.16%,62.70%,58.12%,58.31%,63.67%,55.57%,56.19%,57.54%,57.54%,55.37%,53.81%,51.24%,52.54%,52.15%,50.27%,50.22%,50.48%,65.45%,72.75%,67.77%,66.88%,66.88%,67.05%,62.61%,57.91%,57.22%,55.75%,55.76%,58.31%,59.31%,58.69%,56.72%,56.37%,36.23%,34.70%,28.17%,28.51%,31.43%,32.22%,30.65%,30.65%,33.50%,33.32%,31.97%,32.98%,32.08%,30.38%,32.00%,31.38%,67.09%,59.75%,56.08%,53.69%,52.38%,46.57%,46.57%,43.33%,45.26%,43.71%,42.46%,41.62%,41.53%,40.00%,40.51%,40.66%,42.27%,24.20%,33.59%,30.47%,30.47%,30.66%,30.08%,31.85%,32.70%,35.72%,36.79%,35.64%,34.82%,33.78%,32.80%,32.97%,33.52%,19.66%,37.75%,41.61%,38.27%,40.19%,37.73%,37.06%,37.06%,36.88%,34.67%,34.73%,35.10%,34.71%,35.01%,35.11%,35.10%,28.50%,35.23%,27.02%,27.69%,29.20%,32.72%,33.65%,33.65%,34.28%,33.46%,32.68%,32.17%,31.29%,30.51%,30.18%,22.34%,23.20%,26.09%,26.76%,25.19%,23.94%,23.94%,25.98%,26.15%,24.06%,23.34%,22.87%,24.18%,23.11%,23.83%,23.67%,23.98%,16.32%,23.75%,20.58%,20.03%,20.03%,18.24%,17.20%,18.20%,18.95%,21.04%,21.46%,22.88%,23.25%,23.22%,22.59%,21.65%,25.09%,26.67%,27.42%,26.55%,25.16%,25.31%,25.46%,25.46%,26.30%,26.16%,25.68%,25.98%,25.38%,25.26%,24.90%
Baltimore,38.10%,69.07%,66.78%,65.47%,65.47%,67.25%,59.09%,58.50%,56.49%,56.27%,56.07%,53.40%,52.47%,53.42%,52.92%,54.78%,54.17%,34.65%,50.68%,57.56%,54.00%,56.31%,56.31%,56.97%,52.94%,51.92%,49.33%,46.17%,46.89%,47.70%,47.72%,47.48%,19.20%,15.61%,15.61%,24.47%,29.70%,32.59%,32.66%,31.14%,33.25%,33.20%,34.08%,34.84%,34.53%,33.44%,34.34%,33.48%,38.01%,45.05%,37.37%,35.43%,36.32%,34.72%,34.72%,36.56%,36.22%,32.45%,32.34%,33.09%,32.66%,31.92%,32.44%,32.16%,34.08%,36.47%,35.47%,32.84%,32.70%,32.49%,33.67%,33.67%,34.88%,33.80%,33.92%,33.45%,34.56%,34.92%,35.93%,35.95%,63.97%,63.97%,60.22%,55.26%,53.06%,46.93%,45.33%,46.35%,46.12%,46.32%,46.12%,45.99%,44.44%,44.97%,45.45%,47.32%,45.83%,39.52%,40.39%,36.41%,35.43%,34.96%,31.75%,31.75%,32.97%,32.41%,33.66%,33.06%,33.11%,33.23%,35.95%,35.94%,37.06%,17.38%,29.21%,29.47%,27.49%,34.73%,33.15%,33.75%,33.75%,34.12%,34.34%,33.49%,32.84%,31.73%,31.33%,33.38%,34.89%,44.16%,35.02%,32.82%,34.52%,34.52%,33.12%,32.39%,31.38%,29.75%,29.06%,28.96%,29.47%,33.28%,33.88%,33.69%,28.37%,30.86%,28.14%,26.83%,29.49%,29.18%,29.32%,29.32%,31.29%,29.62%,29.26%,29.19%,29.84%,31.61%,30.94%,32.05%,14.76%,22.79%,25.08%,20.16%,23.52%,21.65%,22.51%,22.51%,22.22%,23.77%,26.97%,26.46%,26.24%,26.53%,26.74%,27.28%,21.67%,33.65%,36.60%,34.12%,33.69%,34.07%,33.95%,34.19%,32.67%,34.02%,34.02%,35.54%,35.55%,36.04%,35.66%,34.88%
Buffalo,32.60%,21.30%,23.27%,18.73%,21.05%,21.84%,26.93%,29.64%,29.64%,31.48%,34.23%,35.29%,35.55%,38.60%,38.50%,38.62%,38.23%,39.26%,33.40%,33.40%,36.50%,35.38%,36.54%,35.73%,38.54%,39.69%,39.70%,39.79%,38.99%,37.94%,40.41%,39.34%,48.10%,42.98%,55.29%,58.25%,54.80%,54.12%,52.34%,49.47%,49.47%,47.60%,46.34%,44.59%,43.27%,41.21%,40.13%,38.14%,41.25%,49.63%,42.10%,39.53%,39.58%,38.89%,37.57%,37.57%,40.10%,42.22%,38.33%,37.61%,36.84%,38.53%,38.25%,37.66%,60.87%,52.58%,54.00%,45.35%,43.34%,43.34%,43.20%,40.77%,39.89%,38.96%,38.54%,37.84%,36.78%,38.97%,39.42%,39.92%,31.36%,29.05%,29.67%,31.92%,31.44%,31.44%,31.06%,31.66%,29.23%,29.63%,32.46%,33.23%,34.26%,34.96%,36.80%,36.50%,37.73%,32.61%,43.14%,41.48%,38.09%,40.52%,41.79%,40.91%,41.55%,41.55%,40.14%,37.07%,37.21%,38.76%,41.40%,41.54%,40.69%,30.12%,49.43%,42.42%,44.47%,42.39%,42.39%,37.54%,38.20%,34.76%,36.55%,35.82%,34.57%,34.61%,36.58%,35.84%,35.69%,44.78%,45.68%,35.96%,34.99%,36.43%,37.25%,37.25%,36.98%,36.63%,37.74%,36.24%,35.30%,34.53%,34.50%,33.96%,50.00%,51.50%,47.98%,40.75%,41.08%,42.99%,43.06%,43.06%,40.99%,39.90%,40.13%,40.47%,42.70%,41.37%,40.96%,40.92%,47.55%,39.47%,38.57%,43.43%,43.78%,43.24%,42.13%,40.69%,42.30%,42.26%,40.50%,40.50%,41.27%,40.77%,41.82%,42.62%,53.61%,45.33%,40.64%,38.11%,33.09%,30.89%,31.01%,30.25%,30.25%,30.28%,29.73%,30.18%,30.69%,29.43%,30.29%,28.54%
Carolina,50.41%,58.60%,58.60%,56.45%,57.35%,56.92%,47.73%,49.82%,49.49%,46.43%,43.83%,42.96%,42.75%,42.54%,41.21%,40.51%,40.75%,12.67%,33.59%,33.59%,28.29%,28.27%,32.10%,33.80%,32.82%,30.30%,28.50%,30.60%,31.18%,31.36%,31.90%,30.61%,40.29%,40.83%,34.04%,33.42%,31.88%,29.31%,29.31%,28.37%,28.20%,29.60%,29.09%,29.90%,31.29%,31.18%,32.59%,31.87%,30.23%,35.39%,32.66%,37.93%,38.61%,33.14%,31.65%,32.14%,32.14%,31.23%,34.93%,35.19%,34.53%,31.78%,31.02%,33.69%,48.31%,34.15%,40.63%,40.87%,40.13%,41.75%,41.75%,41.10%,41.08%,40.83%,40.00%,38.91%,40.05%,39.79%,39.43%,39.05%,36.60%,42.38%,37.50%,33.91%,37.27%,33.90%,35.19%,34.78%,34.78%,37.81%,41.73%,40.73%,40.90%,43.39%,42.84%,43.05%,43.56%,50.89%,37.77%,34.43%,34.43%,34.49%,45.24%,41.17%,46.73%,47.06%,47.27%,47.29%,47.02%,47.33%,46.88%,45.52%,46.68%,37.55%,40.39%,37.72%,39.98%,42.20%,42.20%,36.82%,34.03%,37.14%,37.43%,38.18%,39.11%,39.76%,42.61%,43.89%,44.46%,15.51%,15.23%,20.71%,23.92%,27.23%,28.81%,30.79%,31.25%,31.25%,31.97%,32.13%,33.95%,34.63%,34.88%,35.89%,3.32%,29.97%,26.49%,32.64%,33.83%,33.83%,33.88%,32.98%,33.71%,32.64%,32.31%,31.78%,32.82%,33.67%,34.27%,34.63%,51.03%,46.17%,47.04%,47.04%,41.64%,40.34%,39.75%,39.76%,39.11%,39.52%,38.67%,39.29%,39.18%,40.00%,39.44%,39.30%,33.83%,27.05%,21.79%,21.66%,22.92%,25.25%,26.43%,27.93%,29.47%,29.74%,29.45%,29.45%,31.37%,33.96%,33.72%,35.13%
Chicago,43.31%,40.30%,40.30%,45.40%,49.62%,50.04%,48.82%,45.49%,44.07%,43.13%,42.78%,43.26%,42.37%,40.28%,40.11%,40.57%,40.25%,37.43%,47.77%,44.10%,38.79%,38.79%,43.30%,43.53%,44.05%,45.02%,45.99%,45.02%,44.48%,44.57%,42.57%,41.60%,24.70%,45.42%,44.12%,44.12%,49.85%,49.79%,50.17%,47.31%,48.92%,51.24%,50.85%,50.73%,52.16%,50.45%,50.84%,50.49%,30.19%,26.61%,23.29%,27.39%,30.75%,30.05%,30.05%,31.08%,31.54%,31.78%,34.30%,35.46%,36.67%,37.55%,36.81%,36.51%,39.60%,42.40%,38.53%,33.67%,32.57%,28.74%,26.89%,26.66%,26.66%,26.63%,27.14%,28.42%,27.85%,26.86%,26.29%,27.94%,57.37%,51.83%,46.53%,43.20%,37.99%,35.11%,32.48%,32.48%,34.36%,34.17%,34.27%,36.95%,37.46%,36.84%,36.17%,36.08%,35.30%,24.43%,20.73%,22.75%,29.98%,29.98%,28.17%,25.84%,29.17%,27.23%,25.49%,27.12%,27.04%,28.46%,28.13%,29.57%,29.51%,21.81%,18.03%,20.63%,23.77%,35.11%,32.38%,30.50%,30.50%,31.30%,31.95%,33.63%,34.04%,34.27%,33.83%,33.95%,34.20%,23.34%,23.76%,17.61%,31.28%,31.89%,31.83%,34.00%,34.00%,35.37%,36.47%,35.10%,35.93%,36.65%,38.32%,39.40%,26.64%,34.90%,35.75%,32.85%,35.70%,35.70%,38.92%,38.80%,39.61%,40.19%,41.11%,40.85%,40.38%,38.94%,39.15%,39.93%,25.08%,28.03%,31.50%,31.47%,29.17%,29.24%,30.60%,30.60%,31.78%,29.71%,29.96%,28.82%,28.75%,28.91%,29.85%,29.57%,20.14%,20.53%,21.33%,30.59%,29.37%,28.01%,27.28%,28.99%,28.99%,27.87%,28.08%,28.99%,27.40%,25.87%,26.99%,27.01%
Cincinnati,17.35%,25.35%,26.57%,26.71%,26.19%,26.19%,25.04%,28.56%,27.41%,31.75%,33.76%,35.68%,35.14%,35.27%,37.08%,36.94%,37.22%,32.19%,36.90%,32.95%,36.18%,36.18%,35.46%,36.55%,34.43%,34.56%,34.18%,33.85%,36.28%,34.56%,34.20%,35.40%,35.24%,34.09%,34.08%,32.23%,33.00%,32.62%,32.33%,32.07%,31.84%,31.84%,32.04%,31.92%,31.89%,33.91%,34.11%,33.69%,49.15%,38.49%,37.69%,34.94%,34.94%,31.48%,31.71%,30.27%,30.63%,29.35%,29.53%,28.83%,28.40%,28.65%,29.75%,30.66%,23.31%,25.03%,23.41%,22.78%,22.78%,22.40%,26.37%,26.88%,25.03%,24.66%,23.94%,25.09%,25.37%,27.50%,26.99%,28.58%,45.45%,42.82%,36.31%,35.49%,32.61%,31.68%,32.74%,33.95%,36.43%,36.43%,34.50%,33.41%,33.60%,33.51%,33.57%,36.59%,38.72%,28.01%,37.86%,37.49%,38.54%,37.75%,34.41%,36.93%,36.93%,37.28%,36.60%,38.08%,40.63%,40.35%,41.16%,40.00%,40.71%,20.33%,26.58%,30.53%,26.30%,29.43%,29.43%,27.00%,28.42%,27.57%,26.86%,27.90%,27.92%,28.15%,27.68%,29.41%,29.26%,47.28%,31.21%,32.08%,33.85%,33.60%,32.26%,32.26%,32.75%,32.92%,33.54%,32.23%,32.41%,33.15%,33.30%,33.65%,40.06%,29.99%,25.70%,28.26%,28.03%,25.99%,27.28%,27.28%,26.97%,27.03%,29.25%,31.78%,32.25%,33.07%,34.60%,33.07%,18.53%,25.44%,26.05%,25.57%,30.10%,31.02%,28.14%,26.99%,28.08%,28.55%,29.60%,29.60%,30.96%,31.41%,30.81%,29.88%,20.79%,29.23%,31.68%,31.68%,30.16%,32.09%,31.56%,31.58%,33.56%,34.57%,35.89%,36.04%,36.24%,34.87%,37.39%,38.83%
Cleveland,35.00%,34.73%,29.60%,26.60%,29.36%,34.66%,34.92%,35.54%,35.54%,35.93%,32.95%,32.64%,31.95%,33.69%,33.93%,34.08%,37.08%,34.00%,48.89%,46.81%,43.36%,41.05%,38.48%,39.10%,39.10%,39.36%,38.52%,39.08%,35.90%,34.30%,34.94%,36.13%,25.47%,19.63%,21.91%,21.91%,23.07%,24.88%,29.37%,32.41%,33.48%,32.00%,33.95%,33.63%,33.52%,33.89%,33.52%,33.41%,45.70%,29.16%,23.23%,26.84%,28.71%,28.71%,27.80%,31.99%,31.51%,32.25%,32.31%,31.78%,32.12%,29.94%,29.87%,30.76%,20.81%,35.10%,33.12%,33.02%,31.61%,32.49%,32.49%,32.99%,30.35%,30.04%,29.95%,30.70%,29.94%,31.05%,32.68%,32.91%,44.39%,34.87%,37.09%,41.49%,41.49%,38.08%,38.87%,36.93%,35.19%,35.96%,37.35%,37.52%,38.38%,37.43%,36.98%,38.89%,40.32%,33.21%,30.56%,32.72%,34.32%,42.75%,43.22%,43.09%,45.05%,45.05%,45.77%,42.82%,42.25%,40.80%,42.92%,47.72%,48.49%,30.59%,27.70%,37.12%,37.64%,34.11%,31.79%,34.64%,34.64%,38.32%,37.99%,37.34%,37.65%,36.48%,37.44%,36.34%,36.35%,29.12%,32.14%,29.84%,26.71%,26.71%,26.29%,29.64%,28.71%,28.48%,29.63%,31.28%,32.76%,32.26%,32.26%,32.57%,47.14%,35.29%,29.47%,24.48%,24.00%,25.60%,24.43%,27.28%,28.60%,28.60%,29.56%,30.68%,30.06%,31.21%,30.48%,30.90%,16.15%,20.36%,22.42%,23.47%,24.92%,26.31%,27.50%,26.06%,25.75%,25.75%,26.28%,25.11%,24.78%,24.46%,24.53%,25.42%,47.04%,42.78%,36.40%,35.85%,36.50%,37.79%,36.34%,33.44%,31.30%,33.02%,31.17%,31.52%,30.94%,31.96%,32.45%,32.65%
Dallas,36.97%,31.76%,31.76%,39.28%,36.25%,36.97%,37.51%,37.22%,39.39%,40.36%,39.34%,37.65%,36.57%,38.20%,40.37%,39.80%,38.73%,16.78%,22.80%,21.46%,21.46%,28.90%,28.87%,27.07%,28.29%,29.03%,28.36%,29.29%,31.39%,33.15%,33.89%,33.89%,36.21%,30.52%,26.85%,29.33%,31.12%,29.88%,33.13%,34.21%,34.21%,33.42%,35.34%,34.63%,34.88%,34.27%,35.05%,36.58%,27.24%,32.75%,32.75%,40.79%,41.89%,43.12%,38.71%,38.54%,37.36%,36.29%,36.09%,35.61%,35.17%,35.04%,34.48%,34.73%,29.71%,37.11%,34.81%,34.60%,31.94%,32.26%,32.44%,32.44%,31.50%,30.89%,29.95%,31.61%,31.06%,30.52%,30.14%,30.59%,34.29%,27.11%,34.24%,29.81%,34.07%,31.81%,32.38%,32.87%,33.54%,33.54%,33.87%,32.19%,31.54%,31.63%,31.59%,31.38%,31.26%,25.54%,43.93%,45.07%,40.84%,38.30%,38.30%,36.57%,35.89%,34.27%,33.30%,34.64%,35.20%,33.00%,32.87%,32.88%,32.52%,27.11%,17.59%,20.43%,20.43%,22.60%,23.75%,22.89%,21.21%,21.05%,21.38%,23.55%,24.45%,27.35%,27.65%,27.93%,29.30%,16.41%,12.65%,18.92%,20.77%,20.77%,20.70%,28.80%,29.09%,30.17%,31.06%,30.54%,30.37%,29.78%,29.92%,30.66%,33.03%,26.34%,22.42%,18.61%,18.61%,25.71%,25.92%,22.44%,21.80%,22.90%,22.62%,20.96%,21.74%,21.46%,21.42%,20.45%,26.28%,19.11%,30.33%,29.99%,24.44%,24.25%,23.63%,23.58%,22.07%,23.49%,23.49%,24.44%,25.91%,28.55%,28.57%,28.71%,33.25%,46.27%,43.12%,43.00%,40.18%,40.22%,39.72%,40.06%,39.73%,39.54%,39.54%,38.76%,38.52%,39.36%,38.82%,38.48%
Denver,62.80%,56.44%,53.97%,46.76%,44.43%,42.98%,42.98%,43.77%,43.52%,43.52%,43.70%,44.79%,46.41%,47.17%,46.52%,46.72%,46.95%,48.91%,40.05%,31.45%,33.88%,37.42%,41.37%,41.03%,35.73%,35.99%,35.99%,36.64%,36.34%,35.28%,36.28%,36.02%,22.44%,26.13%,38.86%,44.15%,47.44%,46.09%,46.66%,46.38%,46.38%,45.46%,45.80%,46.04%,44.95%,43.95%,43.67%,43.20%,62.16%,53.03%,46.06%,46.06%,47.21%,49.51%,48.29%,49.93%,47.83%,45.55%,45.86%,43.65%,45.00%,45.36%,44.02%,44.03%,36.38%,38.64%,33.93%,40.65%,38.01%,38.01%,36.47%,35.13%,33.00%,34.06%,35.32%,34.97%,34.58%,35.84%,35.06%,35.32%,31.97%,30.85%,30.17%,27.84%,28.48%,30.11%,30.98%,30.98%,28.14%,27.14%,27.95%,28.57%,28.33%,28.69%,29.45%,29.86%,29.37%,24.83%,34.75%,42.39%,40.55%,36.89%,35.99%,35.99%,35.74%,33.50%,34.10%,34.80%,35.03%,37.52%,36.63%,35.71%,35.39%,24.52%,21.04%,16.07%,13.94%,13.46%,17.80%,19.08%,18.50%,18.50%,20.57%,20.97%,21.59%,24.10%,25.46%,26.42%,26.65%,12.26%,26.91%,26.54%,27.92%,33.53%,33.53%,37.57%,41.21%,46.27%,49.74%,50.10%,51.06%,50.49%,49.27%,50.56%,28.14%,31.64%,25.93%,28.17%,26.06%,24.39%,24.39%,27.77%,26.78%,25.89%,26.73%,26.65%,26.70%,27.21%,28.46%,28.25%,12.75%,18.61%,23.01%,24.69%,23.68%,24.23%,23.01%,23.13%,23.13%,22.94%,23.07%,26.80%,26.59%,26.71%,25.76%,25.50%,28.25%,27.70%,22.20%,22.20%,20.05%,23.44%,24.15%,25.46%,23.09%,23.34%,21.77%,24.02%,26.45%,27.44%,27.77%,27.41%
