Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,95.0,94.0,89.7,76.2,67.4,71.2,71.2,92.6,101.1,100.6,94.6,101.1,96.5,94.2,99.6,98.2,96.1,103.0,76.5,71.3,106.2,105.6,105.6,109.2,111.9,113.0,112.0,109.3,105.8,104.8,102.5,104.6,31.0,56.5,67.7,75.0,74.4,74.4,71.2,71.1,71.1,67.4,70.1,69.8,69.4,68.8,66.7,67.3,84.0,74.5,83.3,69.0,70.4,69.7,66.9,69.2,69.2,71.1,75.0,69.7,75.3,78.2,79.8,82.7,161.0,146.5,118.0,110.0,108.4,106.3,103.1,103.1,93.1,90.9,86.8,87.6,91.4,88.2,89.3,87.9,109.0,95.0,102.0,87.0,94.2,86.8,86.8,81.6,93.4,88.1,86.9,81.1,76.4,75.4,73.1,71.1,73.6,40.0,79.0,60.7,60.7,56.5,57.6,60.0,64.9,79.5,84.2,94.1,92.4,94.1,93.4,95.4,96.4,112.0,115.0,116.3,99.0,87.4,87.4,91.7,92.9,87.9,82.7,84.5,78.0,80.2,90.3,86.9,87.3,99.0,96.0,94.0,109.5,103.0,103.0,98.0,99.6,95.9,95.0,93.5,109.4,108.8,104.7,102.5,43.0,74.0,82.3,68.8,64.0,83.7,89.7,79.4,76.6,76.6,82.6,81.8,81.8,78.8,80.2,76.8,86.0,86.5,86.3,78.8,81.0,85.7,77.7,93.1,93.1,93.6,85.6,88.7,88.8,90.2,94.1,97.1,109.0,116.5,105.7,105.7,88.5,85.6,91.8,88.9,90.5,83.6,79.8,78.4,74.8,79.8,84.4,80.7
Atlanta,98.0,98.5,75.3,92.5,94.8,91.2,96.7,96.7,101.0,113.8,119.2,110.6,107.2,116.2,116.8,118.9,121.8,95.0,168.5,177.0,174.0,158.0,147.2,143.1,149.6,149.6,155.8,160.3,162.6,162.7,167.0,169.6,200.0,157.5,183.7,209.0,190.4,185.3,188.1,188.1,184.9,179.1,176.2,183.5,178.2,174.2,169.9,168.9,252.0,279.0,225.0,234.2,234.2,232.0,222.2,210.9,205.1,198.9,189.4,197.7,202.6,197.7,192.6,185.3,96.0,89.0,89.7,89.8,91.6,93.5,90.9,90.9,98.9,97.7,92.8,94.5,95.9,91.4,92.4,93.1,318.0,211.5,203.0,181.8,180.6,163.0,163.0,150.7,163.4,157.8,153.4,151.5,150.7,146.7,148.7,145.3,152.7,68.0,109.5,92.3,92.3,106.2,98.6,102.8,111.1,119.9,126.1,122.5,118.2,113.4,111.5,109.7,112.9,58.0,139.5,160.3,144.8,148.8,134.8,137.4,137.4,136.5,128.0,129.0,127.9,124.3,124.5,122.6,119.5,110.0,124.0,92.7,99.8,98.8,110.0,112.7,112.7,119.0,121.1,120.6,117.7,113.8,111.6,110.6,84.0,75.5,90.0,97.8,94.8,86.5,86.5,95.0,98.5,92.7,89.2,88.3,91.2,86.9,89.9,88.8,88.0,62.0,90.0,82.0,78.4,78.4,68.3,62.4,64.4,64.3,73.1,74.7,81.1,81.2,79.3,78.1,123.0,110.0,121.3,121.8,115.4,103.2,98.1,95.6,95.6,97.2,96.1,93.1,97.2,96.7,96.7,95.7
Baltimore,88.0,215.5,194.3,196.2,196.2,199.6,184.7,179.9,170.2,167.4,162.5,161.4,157.7,162.7,161.7,169.3,166.4,88.0,130.0,171.3,148.5,150.0,150.0,141.7,137.6,133.6,127.2,120.4,116.5,122.8,126.3,128.7,77.0,45.5,45.5,68.7,91.2,103.0,96.8,93.3,97.1,92.2,93.4,97.0,95.0,93.2,99.6,98.8,103.0,120.5,109.0,95.8,97.2,94.3,94.3,100.4,104.0,98.0,98.5,99.9,99.0,98.5,101.6,101.7,107.0,112.5,118.0,116.2,113.2,107.2,110.0,110.0,104.2,100.0,102.8,98.5,104.2,103.7,107.9,107.8,229.0,229.0,190.0,161.0,153.8,133.2,134.2,142.4,148.8,149.7,146.8,143.5,143.8,144.0,141.7,149.9,148.5,198.0,164.0,156.7,146.5,133.6,124.8,124.8,124.9,116.1,117.4,115.5,117.0,112.8,127.8,127.5,130.7,49.0,79.0,89.0,84.2,114.0,111.5,114.9,114.9,118.8,118.4,116.6,114.4,108.4,104.9,112.3,115.5,170.0,107.5,127.7,123.8,123.8,121.6,107.0,107.0,102.0,99.0,99.6,98.9,114.8,117.2,115.2,122.0,116.5,118.0,113.8,117.6,112.3,104.1,104.1,108.2,104.9,99.1,101.6,102.4,108.8,105.1,113.0,58.0,78.5,77.3,64.0,77.8,72.7,74.0,74.0,71.6,73.1,83.2,81.7,81.1,82.3,82.9,85.4,91.0,125.5,137.0,134.5,125.6,132.8,131.4,128.4,121.1,124.1,124.1,132.4,131.8,135.7,132.6,126.0
Buffalo,104.0,73.5,62.7,52.2,57.8,57.0,76.9,83.9,83.9,85.7,95.3,96.6,101.2,109.0,107.6,105.3,103.8,95.0,81.0,81.0,100.0,95.0,103.4,100.3,104.3,110.9,104.1,105.6,109.5,109.1,117.2,111.9,152.0,99.5,123.7,128.0,122.2,131.3,124.6,127.4,127.4,120.0,114.5,108.9,107.5,100.3,98.5,96.4,99.0,102.0,124.3,117.0,105.2,101.8,98.0,98.0,100.8,101.9,98.7,96.3,93.5,99.7,99.7,100.9,112.0,107.0,108.0,102.5,98.2,98.2,99.0,100.3,109.8,104.6,101.9,101.2,101.1,110.5,110.4,110.8,106.0,90.5,99.0,102.0,98.4,98.4,100.2,102.9,93.8,90.0,99.6,106.1,110.2,108.2,113.9,112.1,115.1,90.0,154.0,132.3,110.8,117.6,121.7,111.9,110.0,110.0,107.7,102.2,104.6,106.2,113.4,112.8,107.9,50.0,87.0,102.7,105.5,106.4,106.4,110.7,114.4,105.9,110.7,113.7,110.1,107.9,114.4,111.3,112.2,163.0,193.0,155.0,137.0,138.2,141.0,141.0,140.6,135.0,135.0,125.6,122.0,120.5,118.6,118.2,195.0,198.0,178.0,158.0,144.2,147.7,150.3,150.3,140.8,143.1,140.8,140.3,147.9,141.2,139.6,140.5,136.0,142.5,135.0,152.0,152.6,148.8,140.4,133.9,145.8,140.7,134.1,134.1,139.2,133.6,138.2,142.5,193.0,153.0,131.0,122.2,107.6,101.0,103.4,98.9,98.9,100.2,95.6,97.5,98.2,96.3,97.5,91.9
Carolina,122.0,146.5,146.5,162.0,167.8,172.0,150.7,161.0,162.6,153.2,148.9,142.2,141.7,137.7,132.6,132.1,130.9,38.0,110.5,110.5,96.0,88.0,102.0,104.3,102.9,94.6,90.4,97.1,98.5,101.2,102.6,99.6,141.0,122.5,102.0,99.0,96.6,89.5,89.5,92.6,90.6,91.8,88.1,90.4,94.7,93.7,98.5,96.7,65.0,86.0,91.0,110.0,111.8,102.8,96.7,94.1,94.1,92.3,107.3,106.7,106.8,102.1,97.9,103.5,186.0,126.0,142.3,131.5,122.8,132.5,132.5,129.0,122.6,119.0,120.2,113.2,117.6,112.4,112.5,109.6,142.0,128.0,101.0,102.5,123.0,109.2,114.0,113.9,113.9,119.2,133.7,133.7,133.2,146.0,146.1,146.9,152.3,86.0,115.0,101.0,101.0,97.2,131.2,128.7,148.9,153.0,156.6,159.1,151.5,151.9,149.9,148.1,154.7,89.0,104.0,98.3,103.2,99.6,99.6,95.7,85.6,90.8,93.8,96.4,101.4,103.8,112.2,116.8,113.9,74.0,72.5,84.0,105.2,116.6,120.3,128.1,129.6,129.6,127.8,128.7,135.3,137.6,139.1,141.0,10.0,114.5,96.3,122.0,114.0,114.0,113.7,114.4,116.2,109.1,107.9,108.0,112.8,119.1,121.6,121.0,124.0,129.5,151.0,151.0,137.0,135.8,130.2,130.0,130.1,127.8,125.3,126.3,129.3,129.2,129.4,126.1,113.0,87.5,72.3,71.0,74.8,86.8,90.6,92.9,94.7,95.4,96.4,96.4,103.2,116.1,116.4,122.7
Chicago,55.0,67.5,67.5,105.3,129.0,131.2,123.8,115.9,117.0,111.3,109.7,109.4,113.1,107.8,106.3,111.9,110.2,128.0,155.0,152.0,122.0,122.0,122.8,115.0,115.7,116.5,114.8,111.2,105.5,108.8,102.8,99.3,41.0,114.0,111.3,111.3,127.5,121.0,124.7,123.3,130.8,135.3,134.0,132.5,133.1,129.2,129.1,129.5,109.0,99.0,83.0,98.0,109.6,97.7,97.7,104.4,104.2,105.8,112.5,116.2,113.4,117.9,119.1,118.9,80.0,93.5,87.3,82.8,82.6,82.7,81.1,78.9,78.9,78.8,81.6,85.3,83.8,82.0,78.4,82.3,183.0,149.0,152.0,133.5,126.2,118.3,109.0,109.0,114.6,110.6,107.8,116.9,115.8,113.5,109.3,106.9,104.6,86.0,65.0,71.7,91.5,91.5,89.8,80.7,93.4,90.5,85.2,89.3,85.1,88.0,85.8,88.4,89.5,101.0,69.5,72.0,68.8,98.6,92.3,88.6,88.6,90.6,95.0,99.0,101.9,102.9,98.6,99.0,100.4,88.0,74.0,53.7,96.2,101.4,104.3,114.7,114.7,120.9,119.6,116.8,121.8,119.4,122.5,123.1,114.0,104.0,103.7,101.0,123.6,123.6,131.5,124.0,128.5,127.0,122.8,121.9,122.8,122.4,119.6,121.7,81.0,104.0,105.0,111.5,108.0,108.3,112.9,112.9,120.1,111.0,110.3,107.5,109.8,112.8,117.6,113.8,86.0,66.0,64.0,106.8,102.4,103.7,95.3,102.5,102.5,97.2,101.3,100.5,93.2,88.7,91.3,89.5
Cincinnati,51.0,90.0,79.0,79.2,76.8,76.8,73.8,89.0,83.8,101.1,111.0,121.4,120.7,119.1,126.6,124.8,124.2,113.0,103.5,105.3,113.2,113.2,102.2,107.3,100.1,102.1,101.8,97.8,111.9,110.8,113.8,116.3,148.0,157.5,132.7,124.0,125.6,124.5,119.7,116.6,114.6,114.6,119.5,120.9,119.3,124.4,126.6,125.1,116.0,138.0,121.0,108.5,108.5,97.4,99.8,96.0,95.5,99.1,101.1,99.9,97.2,100.2,102.5,105.6,55.0,96.0,92.0,83.2,83.2,82.2,98.0,97.0,88.4,86.3,84.9,90.6,89.2,97.2,94.6,98.6,70.0,79.0,86.7,82.2,78.0,72.2,73.9,77.8,86.8,86.8,83.7,80.0,78.1,78.4,80.4,87.7,95.0,86.0,118.5,112.3,122.8,126.6,113.2,127.7,127.7,130.0,122.3,127.8,135.3,133.9,132.8,131.4,132.3,87.0,90.5,100.3,92.0,103.4,103.4,100.2,101.0,95.1,92.6,96.6,92.0,92.3,87.8,95.0,95.5,139.0,105.5,96.7,115.2,107.6,105.3,105.3,103.4,104.1,104.7,106.1,108.5,108.1,107.5,107.7,129.0,104.5,100.7,110.0,104.0,99.3,96.6,96.6,95.9,93.7,103.2,113.9,115.1,117.5,120.3,113.2,63.0,95.0,90.7,83.8,99.4,110.3,102.7,99.8,106.8,108.1,107.9,107.9,112.6,115.8,111.6,109.6,79.0,124.5,121.7,121.7,111.0,127.4,111.5,111.4,121.4,117.4,124.3,125.6,124.5,121.5,130.3,135.4
Cleveland,98.0,79.0,69.7,69.5,80.4,95.5,96.3,94.8,94.8,93.1,92.7,92.5,88.7,94.3,94.9,93.7,104.4,85.0,110.5,115.0,110.2,107.8,113.0,120.4,120.4,116.8,111.3,110.1,107.0,101.9,96.3,98.4,95.0,75.0,75.0,75.0,75.2,74.2,81.5,92.1,101.8,97.2,105.6,103.1,102.7,101.2,99.1,96.1,85.0,71.0,60.0,71.0,75.0,75.0,68.2,79.4,80.0,81.2,83.0,80.1,85.9,80.7,79.8,80.5,46.0,136.0,120.0,114.8,110.2,115.2,115.2,117.6,110.9,103.0,103.8,107.8,105.8,109.4,114.0,115.5,91.0,72.0,72.3,87.8,87.8,99.0,99.5,98.3,94.0,101.3,107.3,106.2,105.8,100.3,97.2,100.1,100.5,89.0,71.5,71.3,90.0,106.2,103.7,97.1,99.6,99.6,98.1,101.4,97.5,98.9,104.5,122.1,124.9,104.0,88.5,116.7,116.5,102.8,97.2,101.1,101.1,117.2,116.1,113.3,116.8,111.4,110.9,107.2,106.9,83.0,94.5,86.3,85.8,85.8,81.6,91.5,87.9,82.4,87.2,93.3,97.0,93.8,94.2,96.0,99.0,114.5,87.3,76.2,77.8,83.2,79.1,85.9,89.2,89.2,92.2,93.6,96.0,100.5,97.4,97.0,47.0,56.0,71.7,76.0,79.0,86.8,86.3,82.6,81.6,81.6,83.6,81.0,82.3,84.3,84.9,86.9,183.0,152.5,132.0,130.0,141.2,144.8,132.2,118.9,110.2,116.9,111.0,115.6,112.2,113.1,109.1,107.4
Dallas,149.0,128.0,128.0,152.7,138.8,134.8,134.7,124.0,134.5,133.1,128.2,122.5,119.8,122.2,129.3,127.6,124.9,71.0,98.5,82.3,82.3,103.2,102.6,96.5,100.9,101.9,98.4,98.0,103.1,111.0,111.8,109.5,109.0,99.5,98.0,102.5,115.4,111.5,119.0,122.4,122.4,115.2,118.6,115.5,112.7,113.9,113.6,120.3,88.0,113.0,113.0,147.7,147.2,151.8,138.0,140.6,136.9,135.7,133.8,134.1,132.1,130.8,128.2,125.2,142.0,154.0,146.3,152.5,137.2,130.8,130.4,130.4,127.9,122.6,117.8,122.9,121.4,118.8,114.1,116.3,167.0,117.5,150.7,124.0,138.8,127.8,127.3,120.1,115.8,115.8,115.9,112.1,112.4,111.1,110.3,109.1,107.7,118.0,184.5,193.7,163.8,161.0,161.0,153.3,147.6,138.6,130.0,132.3,138.0,130.2,128.5,129.7,128.3,103.0,69.5,80.0,80.0,95.2,95.0,86.0,80.9,75.6,78.3,83.9,89.4,100.0,100.8,103.1,108.5,64.0,54.5,78.0,86.8,86.8,84.8,119.7,114.7,120.8,125.4,121.8,118.5,114.8,116.7,119.8,143.0,96.0,76.7,67.8,67.8,99.6,97.2,86.0,83.4,85.3,83.1,78.7,82.4,79.8,80.4,77.7,87.0,62.0,105.7,102.2,92.2,84.8,83.3,80.6,75.7,77.0,77.0,79.7,85.1,93.8,96.6,96.5,127.0,173.5,156.7,165.0,160.0,160.3,159.7,160.5,153.4,153.2,153.2,150.1,145.3,149.1,146.6,145.3
Denver,184.0,190.5,190.3,162.5,165.2,150.5,148.7,143.1,139.9,139.9,146.0,150.9,154.4,163.3,163.4,167.7,164.3,202.0,154.0,115.0,114.0,133.2,153.3,149.0,138.9,138.9,138.9,141.5,139.7,134.2,139.0,138.5,70.0,84.0,129.7,144.2,148.4,153.3,158.7,170.8,170.8,165.2,168.3,166.1,163.2,158.0,159.4,159.1,161.0,153.0,150.0,150.0,141.5,142.0,143.3,155.3,150.2,140.6,142.3,132.8,136.8,138.8,136.4,135.8,171.0,176.0,133.0,155.5,138.8,138.8,130.7,124.6,114.9,117.8,122.6,124.0,120.8,128.1,124.1,121.9,141.0,143.0,130.3,121.2,118.2,120.3,118.3,118.3,105.2,107.2,108.6,109.2,110.7,112.8,113.4,117.9,116.2,75.0,130.5,158.7,148.0,139.0,132.7,132.7,123.1,111.1,112.1,112.4,114.7,125.6,123.2,120.1,116.8,89.0,77.0,67.0,55.0,51.8,67.3,68.4,67.2,67.2,76.8,75.4,79.4,86.2,89.7,90.9,93.2,38.0,84.5,76.0,86.8,101.8,101.8,114.3,125.9,147.5,158.2,154.9,159.7,158.9,156.2,163.1,94.0,106.0,90.3,109.0,101.2,93.8,93.8,112.6,107.0,102.3,105.4,104.5,103.3,106.2,110.2,110.7,65.0,86.0,112.0,119.2,116.0,115.3,108.0,107.9,107.9,105.2,105.1,121.0,121.9,124.4,116.8,116.6,102.0,95.0,75.3,75.3,79.5,91.2,95.2,101.4,94.1,96.8,89.9,100.0,109.5,111.3,111.3,109.5
