Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,60.00%,57.58%,58.70%,50.00%,45.45%,41.56%,41.56%,41.30%,42.59%,39.52%,38.81%,39.86%,39.13%,37.71%,38.95%,38.46%,37.39%,35.71%,29.17%,35.00%,32.69%,33.33%,33.33%,35.29%,33.66%,32.46%,33.07%,34.93%,35.22%,35.43%,36.13%,37.02%,42.11%,37.50%,33.33%,35.94%,37.50%,37.50%,34.74%,35.71%,37.50%,38.30%,38.82%,38.04%,37.43%,37.50%,37.07%,37.39%,50.00%,46.43%,47.50%,44.23%,39.39%,37.21%,34.02%,35.14%,35.14%,36.51%,36.96%,36.05%,37.50%,38.15%,37.84%,38.81%,40.00%,44.44%,41.03%,43.40%,42.42%,41.77%,41.05%,41.05%,39.05%,39.66%,38.58%,37.59%,37.25%,36.81%,36.21%,36.32%,31.25%,41.38%,42.50%,43.14%,46.97%,46.15%,46.15%,47.19%,45.10%,43.48%,44.09%,45.39%,44.37%,43.75%,42.77%,41.40%,41.92%,28.57%,26.09%,27.03%,27.03%,26.09%,32.26%,30.26%,31.40%,35.00%,33.04%,34.96%,35.56%,35.86%,35.90%,35.71%,35.71%,38.46%,23.81%,29.41%,30.43%,29.51%,29.51%,27.40%,31.40%,30.30%,29.09%,28.80%,27.94%,26.53%,26.38%,26.40%,25.93%,41.67%,38.10%,31.43%,29.79%,33.85%,33.85%,34.25%,32.14%,30.85%,31.82%,30.25%,30.53%,30.56%,29.75%,31.61%,30.00%,29.17%,33.33%,30.91%,32.43%,32.22%,32.69%,30.51%,30.08%,30.08%,28.19%,28.40%,25.99%,26.18%,25.62%,25.23%,50.00%,32.00%,34.21%,29.17%,30.00%,31.51%,31.82%,31.63%,31.63%,31.48%,31.45%,33.33%,33.33%,35.37%,36.36%,35.90%,46.15%,42.31%,48.72%,48.72%,40.00%,40.28%,43.68%,43.27%,45.38%,44.78%,45.95%,44.38%,43.11%,42.86%,41.71%,40.19%
Atlanta,36.36%,22.73%,23.53%,21.74%,23.21%,24.64%,24.69%,24.69%,26.60%,27.36%,25.42%,24.81%,27.08%,27.56%,26.35%,27.22%,29.90%,9.09%,20.00%,20.00%,26.19%,25.00%,25.00%,22.67%,26.14%,26.14%,26.00%,28.32%,29.03%,29.71%,33.12%,34.52%,20.00%,19.23%,31.58%,38.46%,38.46%,41.56%,40.86%,40.86%,44.55%,43.80%,46.38%,46.67%,46.11%,44.38%,43.81%,43.00%,30.77%,34.62%,28.57%,28.57%,28.57%,30.99%,34.48%,37.00%,36.04%,35.94%,34.53%,33.77%,34.34%,34.81%,35.75%,35.47%,50.00%,50.00%,48.84%,48.28%,42.11%,39.33%,41.12%,41.12%,40.65%,39.57%,38.71%,38.24%,38.62%,37.31%,35.71%,36.00%,33.33%,35.71%,39.02%,33.33%,36.36%,37.50%,37.50%,37.50%,39.82%,40.32%,42.96%,43.23%,43.86%,44.81%,44.67%,44.50%,43.38%,40.00%,44.44%,38.89%,38.89%,44.00%,43.55%,44.59%,42.35%,41.67%,41.82%,43.65%,42.25%,41.03%,41.57%,41.30%,41.79%,37.50%,51.52%,50.98%,47.69%,46.25%,43.62%,44.86%,44.86%,46.28%,48.23%,48.73%,47.65%,48.07%,48.48%,48.39%,47.16%,30.77%,38.46%,38.46%,43.64%,43.94%,46.75%,45.74%,45.74%,45.37%,43.55%,42.65%,43.33%,43.56%,43.89%,43.59%,50.00%,43.48%,50.00%,46.94%,48.48%,45.33%,45.33%,46.59%,47.06%,47.46%,47.01%,48.30%,45.57%,44.58%,46.37%,46.84%,27.27%,41.67%,42.86%,42.86%,44.26%,44.26%,42.86%,42.22%,42.00%,41.07%,39.50%,40.46%,42.28%,42.59%,42.05%,42.93%,54.55%,39.13%,50.00%,55.10%,46.77%,44.00%,41.11%,41.84%,41.84%,42.73%,41.60%,43.26%,43.31%,43.45%,44.13%,44.33%
Baltimore,31.25%,29.03%,30.00%,32.69%,32.69%,33.85%,31.58%,32.26%,33.33%,31.45%,31.88%,32.69%,32.94%,33.33%,32.31%,32.38%,31.86%,26.67%,29.03%,31.82%,28.85%,29.85%,29.85%,30.00%,30.53%,32.73%,33.07%,33.57%,32.47%,33.53%,33.70%,32.84%,44.44%,35.29%,35.29%,35.42%,33.90%,35.14%,35.16%,37.61%,37.40%,36.50%,36.31%,37.43%,36.96%,37.56%,38.57%,40.44%,35.71%,34.38%,36.73%,36.67%,37.33%,36.67%,36.67%,39.42%,39.50%,40.00%,41.06%,40.49%,39.66%,40.10%,40.58%,41.10%,15.38%,32.26%,44.90%,46.03%,43.90%,42.27%,41.07%,41.07%,38.58%,37.96%,36.24%,36.65%,36.05%,36.76%,37.93%,37.16%,52.94%,52.94%,42.86%,42.22%,44.07%,41.43%,42.17%,44.55%,44.44%,44.53%,44.29%,42.68%,43.10%,42.33%,41.38%,40.83%,40.95%,58.82%,50.00%,46.15%,50.94%,46.88%,45.45%,45.45%,48.42%,44.76%,42.86%,42.42%,41.78%,42.14%,42.44%,41.71%,41.50%,57.89%,44.12%,45.65%,43.86%,45.71%,43.02%,40.21%,40.21%,40.91%,42.15%,40.15%,38.89%,38.22%,39.53%,39.25%,40.20%,43.75%,38.46%,39.02%,37.29%,37.29%,35.71%,32.93%,33.33%,39.47%,39.68%,39.29%,40.00%,40.80%,41.71%,42.71%,33.33%,30.43%,35.48%,34.78%,33.33%,37.31%,35.37%,35.37%,35.42%,36.11%,34.43%,36.99%,36.31%,37.28%,35.36%,37.69%,36.36%,42.11%,44.44%,38.57%,38.37%,35.00%,36.84%,36.84%,37.69%,35.62%,36.59%,35.59%,37.63%,37.62%,37.05%,36.97%,47.06%,44.83%,41.46%,50.00%,43.08%,44.87%,43.82%,43.14%,40.87%,39.84%,39.84%,42.55%,43.79%,43.64%,42.94%,41.67%
Buffalo,50.00%,53.57%,43.24%,42.31%,37.31%,36.59%,35.87%,34.95%,34.95%,32.77%,31.82%,31.03%,31.45%,30.95%,30.00%,30.26%,31.60%,50.00%,40.74%,40.74%,33.33%,34.62%,35.38%,35.00%,35.42%,35.96%,33.88%,32.58%,35.37%,34.38%,35.43%,34.57%,21.43%,25.00%,30.95%,32.08%,34.33%,36.36%,35.63%,37.62%,37.62%,35.96%,34.65%,35.00%,35.71%,34.76%,34.66%,35.29%,27.27%,29.17%,27.78%,30.00%,27.87%,27.78%,28.57%,28.57%,27.37%,28.44%,28.46%,28.57%,30.67%,31.06%,31.82%,31.18%,27.27%,33.33%,34.29%,37.78%,34.48%,34.48%,32.39%,32.14%,36.08%,34.58%,35.04%,37.59%,37.67%,37.34%,35.63%,34.43%,25.00%,37.04%,38.46%,34.62%,37.70%,37.70%,39.19%,37.50%,40.59%,41.07%,40.65%,39.42%,40.13%,38.27%,38.64%,38.71%,39.90%,40.00%,36.36%,27.78%,23.40%,26.56%,27.50%,26.60%,25.96%,25.96%,27.12%,27.13%,27.34%,26.00%,25.93%,25.29%,25.00%,21.43%,26.92%,33.33%,26.09%,26.32%,26.32%,35.14%,38.14%,41.59%,40.62%,41.30%,40.40%,39.26%,38.98%,38.62%,38.19%,50.00%,44.00%,41.67%,38.00%,39.06%,40.00%,40.00%,41.57%,40.00%,39.25%,35.29%,35.82%,36.67%,36.65%,34.30%,66.67%,52.38%,42.86%,46.00%,41.67%,39.73%,42.35%,42.35%,39.58%,42.06%,39.50%,38.64%,38.89%,37.82%,37.87%,38.25%,30.77%,37.04%,31.11%,30.16%,30.38%,33.33%,35.65%,35.94%,35.46%,34.19%,35.06%,35.06%,35.45%,34.00%,34.27%,34.48%,33.33%,33.33%,36.59%,35.09%,34.25%,37.50%,37.00%,35.71%,35.71%,36.72%,37.06%,38.46%,36.26%,37.97%,36.95%,36.24%
Carolina,28.57%,25.81%,25.81%,33.33%,38.71%,37.66%,36.26%,36.19%,36.84%,37.01%,36.62%,34.64%,34.55%,34.64%,34.76%,35.82%,35.62%,30.00%,37.50%,37.50%,35.14%,36.73%,36.36%,36.25%,36.96%,40.74%,39.32%,38.10%,39.13%,39.22%,40.59%,40.66%,61.54%,48.15%,47.50%,46.30%,44.62%,44.30%,44.30%,46.74%,45.71%,45.69%,42.86%,44.90%,43.83%,42.20%,42.63%,42.29%,16.67%,19.23%,18.42%,22.92%,18.64%,24.32%,23.53%,24.47%,24.47%,26.85%,28.46%,29.50%,29.61%,29.76%,29.28%,30.96%,33.33%,44.00%,40.00%,37.74%,39.06%,37.80%,37.80%,39.81%,37.82%,35.56%,35.57%,34.57%,36.11%,34.90%,36.19%,35.29%,33.33%,25.00%,25.64%,25.49%,33.33%,32.10%,34.38%,37.04%,37.04%,35.54%,34.38%,34.51%,34.87%,37.65%,37.79%,38.59%,39.29%,18.75%,35.71%,30.56%,30.56%,31.25%,37.10%,33.33%,36.26%,38.32%,40.00%,38.35%,36.91%,36.25%,35.26%,36.32%,38.54%,47.06%,39.39%,34.09%,33.93%,29.73%,29.73%,32.58%,34.95%,32.17%,33.08%,30.77%,32.28%,32.37%,31.72%,31.34%,30.84%,27.27%,37.50%,37.50%,32.69%,37.50%,42.11%,42.05%,43.00%,43.00%,40.00%,39.20%,40.15%,41.22%,40.99%,42.86%,20.00%,36.36%,38.71%,38.10%,33.96%,33.96%,31.75%,36.59%,37.63%,33.33%,36.07%,37.31%,38.89%,40.88%,41.62%,41.49%,45.45%,44.44%,48.78%,48.78%,47.17%,49.23%,45.95%,45.35%,47.00%,46.15%,48.44%,46.90%,46.20%,45.66%,45.65%,43.52%,40.00%,33.33%,33.33%,42.59%,42.42%,43.37%,42.11%,40.00%,40.34%,41.73%,40.13%,40.13%,40.48%,40.98%,40.82%,41.98%
Chicago,21.43%,21.74%,21.74%,26.32%,28.57%,29.51%,31.17%,34.41%,34.91%,34.17%,33.82%,32.68%,33.33%,32.97%,33.67%,35.21%,33.77%,37.50%,37.50%,37.14%,34.00%,34.00%,28.57%,27.63%,26.67%,24.76%,22.95%,23.88%,22.97%,26.67%,25.99%,25.26%,46.15%,50.00%,39.53%,39.53%,39.29%,37.88%,34.62%,32.61%,31.78%,31.67%,30.83%,30.41%,28.48%,28.07%,27.42%,28.14%,28.57%,38.46%,36.59%,37.50%,40.00%,38.10%,38.10%,39.80%,38.60%,40.15%,39.04%,39.51%,38.15%,38.92%,38.31%,38.07%,27.27%,25.00%,30.56%,33.33%,30.88%,32.53%,35.35%,37.17%,37.17%,36.43%,36.55%,35.62%,35.20%,34.87%,33.01%,33.48%,62.50%,51.61%,43.48%,42.86%,43.59%,45.74%,43.69%,43.69%,42.37%,40.15%,38.89%,38.46%,37.06%,36.76%,37.06%,36.36%,35.62%,26.67%,37.93%,36.59%,33.33%,33.33%,38.81%,40.26%,39.78%,39.62%,40.65%,38.13%,37.41%,36.88%,36.99%,36.70%,36.63%,42.86%,28.00%,29.41%,21.28%,20.97%,17.57%,17.86%,17.86%,22.92%,28.70%,32.33%,32.17%,33.55%,33.75%,32.94%,32.96%,37.50%,28.57%,27.50%,28.00%,28.57%,29.73%,29.89%,29.89%,32.67%,31.58%,34.38%,35.21%,32.68%,30.95%,30.90%,33.33%,33.33%,31.71%,37.74%,42.86%,42.86%,41.38%,40.00%,40.37%,37.70%,36.57%,39.22%,40.00%,40.11%,38.22%,37.25%,42.86%,50.00%,43.90%,35.19%,35.94%,37.33%,36.14%,36.14%,37.11%,37.72%,37.80%,39.42%,37.84%,40.25%,42.20%,41.71%,41.67%,38.10%,41.67%,46.81%,45.00%,45.33%,44.83%,43.88%,43.88%,41.82%,44.09%,41.96%,41.94%,40.61%,38.98%,38.54%
Cincinnati,25.00%,40.00%,37.50%,43.64%,42.25%,42.25%,43.02%,43.14%,41.96%,44.62%,43.36%,46.01%,46.29%,45.21%,45.77%,44.86%,44.74%,66.67%,41.94%,41.30%,42.62%,42.62%,36.49%,34.48%,35.35%,37.07%,38.35%,37.06%,38.96%,38.04%,40.34%,40.31%,25.00%,40.00%,30.77%,32.65%,32.26%,31.94%,31.33%,34.38%,37.38%,37.38%,38.33%,38.93%,39.31%,40.13%,42.69%,43.33%,30.77%,42.86%,40.00%,35.29%,35.29%,32.31%,33.33%,34.07%,31.68%,32.74%,33.06%,34.78%,34.44%,36.42%,35.26%,35.64%,23.08%,33.33%,45.24%,38.78%,38.78%,33.33%,38.57%,40.74%,41.94%,41.44%,43.20%,47.55%,47.21%,47.16%,46.24%,45.96%,15.38%,19.23%,34.88%,33.93%,35.71%,35.29%,33.66%,36.52%,37.50%,37.50%,35.14%,34.36%,32.58%,33.33%,33.01%,34.09%,34.75%,33.33%,48.28%,41.46%,37.29%,37.50%,38.10%,41.67%,41.67%,42.11%,40.62%,41.13%,41.77%,41.38%,41.49%,41.87%,42.20%,53.33%,33.33%,32.00%,34.43%,33.78%,33.78%,37.21%,37.25%,35.96%,36.22%,38.46%,37.34%,37.21%,36.67%,37.31%,38.65%,41.18%,28.57%,23.68%,28.00%,31.88%,33.73%,33.73%,35.05%,37.17%,37.10%,36.69%,37.25%,35.98%,36.16%,35.64%,26.67%,29.63%,30.56%,27.66%,24.59%,26.67%,28.41%,28.41%,29.41%,31.30%,31.01%,33.56%,35.00%,35.09%,35.45%,34.80%,63.64%,50.00%,46.15%,41.51%,41.18%,40.70%,40.62%,42.06%,43.31%,41.10%,38.12%,38.12%,38.95%,39.67%,38.89%,40.09%,28.57%,35.71%,35.14%,35.14%,29.55%,38.33%,32.88%,36.78%,38.00%,35.04%,38.46%,40.67%,40.99%,40.12%,40.86%,39.59%
Cleveland,36.36%,29.63%,41.46%,42.31%,44.62%,44.87%,40.22%,37.74%,37.74%,36.75%,38.93%,39.86%,38.61%,38.92%,37.64%,36.65%,36.63%,33.33%,25.93%,24.32%,25.49%,23.81%,27.27%,32.26%,32.26%,33.02%,31.90%,30.23%,30.50%,29.80%,28.66%,27.53%,38.46%,33.33%,37.14%,37.14%,37.50%,37.29%,32.84%,31.65%,33.68%,34.91%,36.07%,35.38%,35.21%,35.71%,34.91%,32.97%,41.67%,31.82%,36.11%,41.18%,35.38%,35.38%,31.58%,33.33%,34.55%,32.26%,33.81%,33.77%,35.80%,35.06%,32.97%,32.99%,42.86%,48.15%,43.90%,43.40%,40.62%,44.74%,44.74%,45.98%,45.92%,45.45%,44.00%,42.03%,41.61%,41.61%,40.57%,41.80%,33.33%,41.67%,35.14%,36.00%,36.00%,42.86%,39.24%,37.36%,34.95%,35.90%,34.62%,33.81%,36.48%,35.43%,34.76%,34.67%,33.96%,25.00%,23.08%,23.68%,26.32%,26.03%,27.91%,26.53%,24.77%,24.77%,25.60%,29.17%,29.11%,31.03%,31.58%,32.02%,32.42%,38.46%,34.62%,35.14%,37.25%,39.39%,40.51%,37.78%,37.78%,39.81%,39.13%,39.69%,39.44%,37.18%,36.14%,35.63%,37.30%,26.67%,38.71%,35.71%,37.10%,37.10%,39.74%,42.16%,42.24%,41.41%,40.85%,40.79%,40.72%,39.23%,39.59%,39.34%,15.38%,32.14%,30.77%,27.78%,27.27%,30.12%,32.29%,31.53%,31.50%,31.50%,32.39%,31.01%,30.77%,30.98%,31.12%,30.77%,7.14%,17.24%,25.00%,32.26%,34.18%,34.41%,35.14%,34.15%,33.33%,33.33%,32.05%,32.37%,33.33%,34.33%,34.29%,34.68%,18.18%,33.33%,36.84%,36.84%,36.00%,36.07%,33.33%,31.11%,31.73%,33.33%,31.85%,32.41%,31.85%,31.40%,30.22%,29.90%
Dallas,38.46%,34.48%,34.48%,37.78%,37.70%,36.36%,36.26%,34.95%,38.66%,38.69%,38.82%,37.50%,37.02%,35.57%,35.85%,35.27%,36.51%,53.33%,42.86%,41.46%,41.46%,40.38%,41.54%,41.56%,44.57%,42.72%,40.87%,40.77%,37.76%,38.61%,36.84%,36.41%,63.64%,50.00%,48.78%,46.43%,44.44%,46.59%,42.72%,42.98%,42.98%,40.94%,41.73%,41.94%,40.35%,41.71%,41.09%,40.74%,40.00%,38.71%,38.71%,41.46%,40.68%,42.67%,45.35%,45.00%,47.41%,49.23%,48.23%,49.02%,49.39%,47.67%,48.37%,48.21%,54.55%,44.00%,39.47%,45.10%,48.48%,46.75%,46.74%,46.74%,49.04%,48.70%,50.00%,48.92%,48.65%,48.10%,45.03%,44.68%,72.73%,66.67%,60.00%,57.45%,58.06%,54.55%,52.22%,47.62%,47.46%,47.46%,47.29%,47.62%,46.15%,44.12%,43.09%,43.43%,42.92%,30.00%,42.86%,41.18%,35.42%,36.67%,36.67%,38.36%,40.70%,41.58%,39.82%,38.71%,38.24%,39.87%,38.51%,39.77%,40.74%,38.46%,42.31%,40.54%,40.54%,43.14%,45.59%,39.74%,40.66%,40.59%,39.29%,40.65%,41.30%,42.48%,41.46%,41.24%,41.54%,33.33%,38.46%,33.33%,34.62%,34.62%,34.38%,34.72%,34.15%,35.42%,38.89%,40.00%,38.81%,38.36%,39.10%,40.24%,40.00%,47.83%,41.03%,39.58%,39.58%,42.86%,42.86%,43.96%,42.57%,42.11%,40.62%,41.38%,43.40%,44.94%,44.44%,43.22%,33.33%,30.77%,35.14%,34.78%,38.46%,39.06%,37.50%,35.48%,35.51%,32.76%,32.76%,33.07%,35.00%,36.00%,35.22%,35.50%,55.56%,56.00%,54.29%,55.10%,55.56%,56.25%,57.45%,55.66%,52.99%,50.77%,50.77%,50.00%,48.68%,48.80%,48.04%,48.15%
Denver,42.86%,40.00%,43.24%,41.67%,39.68%,38.03%,36.59%,35.05%,34.23%,34.23%,37.40%,37.06%,35.44%,36.53%,37.91%,40.00%,38.86%,41.67%,36.67%,31.71%,36.21%,36.76%,39.24%,39.36%,38.68%,39.50%,39.50%,38.93%,37.32%,36.54%,36.69%,36.67%,8.33%,25.00%,25.00%,27.45%,27.69%,27.63%,29.21%,31.07%,31.07%,31.90%,33.59%,33.33%,33.11%,34.73%,35.91%,37.24%,41.67%,30.77%,35.71%,35.71%,38.89%,40.00%,41.18%,43.75%,41.67%,39.34%,39.42%,38.93%,38.04%,36.99%,37.84%,37.88%,30.77%,43.33%,44.74%,47.92%,47.54%,47.54%,50.70%,48.15%,48.48%,47.32%,47.58%,44.12%,44.37%,43.12%,42.44%,41.40%,50.00%,45.00%,50.00%,47.73%,45.76%,45.83%,45.88%,45.88%,44.55%,45.54%,46.77%,47.86%,46.36%,47.88%,47.75%,47.92%,47.50%,25.00%,40.74%,41.03%,36.73%,38.10%,41.77%,41.77%,39.13%,38.68%,38.98%,37.80%,37.14%,36.60%,36.47%,35.68%,35.50%,30.00%,56.67%,48.89%,41.67%,41.10%,40.66%,38.24%,36.61%,36.61%,38.52%,35.82%,34.27%,33.55%,32.35%,31.32%,32.12%,46.15%,44.00%,47.50%,45.10%,41.67%,41.67%,38.16%,34.44%,33.33%,33.62%,32.56%,32.41%,32.05%,31.79%,32.24%,55.56%,42.86%,39.47%,46.30%,47.76%,45.33%,45.33%,44.32%,47.06%,44.35%,43.51%,44.14%,43.59%,44.12%,43.01%,44.28%,53.33%,53.33%,53.85%,55.32%,58.33%,57.53%,52.81%,50.50%,50.50%,49.54%,48.00%,48.25%,49.04%,48.24%,46.93%,45.26%,50.00%,45.45%,42.11%,42.11%,42.59%,42.86%,44.30%,46.74%,44.66%,44.92%,43.85%,46.15%,45.73%,45.40%,44.09%,43.94%
