Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,56.83%,56.35%,55.95%,49.28%,47.27%,46.97%,46.97%,48.11%,49.36%,50.12%,48.52%,48.84%,48.19%,48.06%,49.14%,49.56%,49.43%,43.61%,42.42%,47.51%,49.87%,50.17%,50.17%,52.88%,52.87%,52.00%,51.14%,51.65%,50.88%,50.76%,50.52%,51.38%,59.58%,55.75%,51.90%,54.67%,55.14%,55.14%,53.31%,52.17%,52.30%,51.22%,51.39%,51.01%,51.58%,51.04%,50.68%,51.62%,58.39%,52.62%,51.69%,50.67%,50.69%,53.28%,51.14%,50.24%,50.24%,49.79%,49.93%,48.95%,49.27%,49.92%,49.47%,50.36%,57.56%,55.53%,49.40%,48.63%,49.19%,49.01%,50.27%,50.27%,47.51%,48.61%,48.34%,48.68%,48.79%,48.97%,48.82%,49.08%,61.81%,57.49%,53.28%,52.88%,54.39%,53.03%,53.03%,53.22%,54.62%,54.40%,54.64%,54.13%,52.46%,52.34%,51.63%,50.57%,50.30%,47.31%,49.78%,48.91%,48.91%,47.76%,52.48%,52.00%,51.00%,51.56%,51.66%,51.77%,51.44%,51.14%,50.19%,50.14%,50.60%,45.25%,39.94%,41.65%,41.67%,43.33%,43.33%,42.42%,43.38%,43.35%,43.15%,44.22%,43.38%,43.41%,43.96%,43.57%,43.10%,45.36%,40.60%,44.74%,46.88%,47.84%,47.84%,46.60%,47.15%,46.47%,47.17%,45.08%,46.13%,45.94%,46.13%,46.52%,44.06%,45.62%,49.61%,48.47%,50.23%,50.61%,51.73%,51.25%,50.46%,50.46%,49.97%,50.25%,49.10%,48.60%,48.55%,48.86%,52.36%,52.28%,48.45%,47.14%,47.36%,46.60%,47.64%,47.03%,47.03%,47.57%,48.80%,49.94%,50.02%,50.68%,50.31%,51.11%,53.03%,49.44%,48.33%,48.33%,46.55%,48.68%,50.83%,50.43%,50.68%,51.23%,51.22%,50.29%,49.28%,49.34%,49.91%,49.58%
Atlanta,55.00%,48.58%,46.24%,46.09%,45.72%,44.39%,43.25%,43.25%,44.35%,45.01%,44.23%,44.31%,44.72%,45.49%,45.40%,45.68%,46.09%,44.25%,47.00%,45.44%,47.55%,47.07%,45.65%,44.15%,45.03%,45.03%,45.67%,46.39%,46.41%,46.78%,47.87%,48.17%,56.42%,47.72%,48.03%,49.61%,48.88%,48.12%,49.19%,49.19%,50.59%,49.98%,50.99%,51.55%,51.10%,50.93%,50.97%,50.76%,60.78%,58.85%,54.42%,53.91%,53.91%,51.69%,51.17%,52.70%,51.75%,51.25%,50.01%,50.66%,50.38%,50.41%,49.98%,48.68%,55.03%,48.97%,48.88%,50.91%,50.79%,47.98%,49.57%,49.57%,49.77%,50.10%,50.52%,50.56%,50.64%,49.90%,48.36%,48.28%,48.53%,48.96%,49.40%,48.61%,48.46%,48.95%,48.95%,48.54%,51.90%,51.91%,52.34%,51.94%,52.47%,52.65%,52.43%,51.95%,51.28%,51.47%,52.01%,45.89%,45.89%,49.62%,48.39%,48.98%,48.35%,47.82%,48.41%,48.87%,49.21%,49.39%,48.57%,48.63%,49.21%,46.81%,56.08%,58.08%,55.78%,54.66%,52.75%,52.27%,52.27%,52.84%,53.48%,54.12%,54.00%,53.39%,53.75%,54.12%,53.12%,44.47%,47.19%,44.87%,50.39%,49.25%,49.53%,50.78%,50.78%,52.30%,52.83%,53.71%,54.08%,53.03%,52.89%,53.70%,46.81%,50.62%,53.88%,52.87%,54.63%,52.07%,52.07%,52.47%,52.73%,52.90%,53.06%,52.69%,51.94%,51.05%,52.04%,51.78%,41.36%,45.92%,51.25%,50.67%,52.35%,52.35%,49.79%,50.85%,49.40%,48.45%,48.07%,48.81%,49.73%,49.30%,49.81%,49.87%,49.61%,47.32%,49.69%,48.57%,48.29%,46.84%,46.53%,46.77%,46.77%,47.09%,47.71%,47.83%,48.99%,48.68%,48.69%,49.01%
Baltimore,45.56%,48.39%,46.04%,47.55%,47.55%,48.94%,48.86%,49.38%,48.44%,49.97%,49.91%,49.78%,49.43%,49.85%,49.86%,50.16%,50.23%,51.64%,53.43%,50.51%,46.33%,47.76%,47.76%,47.89%,49.11%,48.77%,48.83%,48.31%,47.57%,47.59%,49.01%,49.25%,54.75%,49.79%,49.79%,54.31%,53.14%,54.87%,53.61%,53.35%,52.21%,51.14%,51.33%,51.17%,50.55%,50.26%,50.42%,50.74%,59.69%,56.53%,55.38%,52.49%,52.54%,51.06%,51.06%,52.52%,53.74%,53.19%,53.99%,54.35%,54.10%,54.23%,53.95%,54.29%,53.92%,52.86%,56.19%,56.51%,57.88%,56.81%,55.50%,55.50%,53.51%,52.06%,51.54%,51.11%,51.42%,51.72%,51.13%,50.77%,60.42%,60.42%,61.71%,59.04%,58.64%,56.22%,55.66%,56.36%,56.35%,56.78%,55.96%,55.92%,56.68%,56.27%,55.63%,55.53%,55.40%,66.36%,57.08%,55.44%,52.03%,50.18%,48.83%,48.83%,49.86%,47.80%,48.32%,48.93%,48.81%,48.16%,48.27%,48.67%,49.04%,64.22%,53.56%,52.44%,52.05%,53.73%,53.80%,51.43%,51.43%,53.00%,51.71%,52.30%,52.24%,51.48%,51.16%,51.26%,51.37%,54.19%,47.21%,48.80%,52.21%,52.21%,52.50%,50.35%,50.23%,51.03%,49.98%,49.51%,49.72%,50.80%,51.52%,50.91%,45.94%,44.35%,45.65%,48.01%,47.02%,44.72%,43.51%,43.51%,44.64%,44.61%,44.67%,45.30%,45.09%,45.18%,44.50%,45.91%,56.33%,53.65%,52.10%,48.90%,51.21%,50.62%,50.29%,50.29%,50.08%,49.52%,50.07%,50.68%,50.62%,50.85%,50.50%,50.25%,49.17%,53.86%,53.08%,52.48%,49.08%,49.85%,50.64%,50.41%,50.10%,50.22%,50.22%,50.23%,50.24%,50.26%,50.04%,49.49%
Buffalo,56.39%,54.17%,46.76%,45.99%,45.79%,47.08%,49.15%,49.85%,49.85%,49.35%,49.74%,49.46%,50.77%,50.88%,50.01%,49.71%,49.40%,56.47%,53.50%,53.50%,53.05%,50.76%,51.28%,51.31%,50.71%,52.18%,49.83%,48.95%,50.02%,49.97%,50.86%,50.67%,63.75%,49.51%,50.13%,47.46%,49.70%,52.13%,51.15%,52.95%,52.95%,51.75%,50.32%,49.43%,49.65%,48.14%,47.71%,47.89%,45.14%,48.39%,50.71%,53.01%,49.91%,49.45%,49.13%,49.13%,48.34%,47.82%,47.63%,47.52%,47.12%,47.07%,47.47%,47.28%,44.67%,42.79%,42.80%,45.54%,47.27%,47.27%,48.12%,48.99%,50.31%,48.98%,48.26%,48.54%,48.25%,48.45%,48.35%,48.00%,52.19%,52.12%,53.89%,53.53%,50.73%,50.73%,52.13%,51.54%,51.36%,49.79%,50.35%,51.17%,51.14%,50.09%,50.73%,50.33%,50.10%,38.11%,43.68%,43.81%,42.38%,44.42%,46.23%,45.65%,44.30%,44.30%,44.68%,44.15%,44.41%,44.16%,44.68%,45.48%,45.29%,38.53%,43.49%,44.44%,41.46%,41.72%,41.72%,45.23%,46.33%,46.53%,46.47%,46.47%,45.80%,45.60%,46.73%,46.80%,46.74%,61.72%,56.51%,53.65%,52.17%,52.95%,52.24%,52.24%,53.08%,51.05%,50.10%,49.90%,50.85%,51.02%,50.23%,50.36%,47.83%,48.38%,50.55%,50.08%,47.97%,47.89%,48.27%,48.27%,47.64%,48.61%,49.59%,49.38%,50.15%,50.22%,50.33%,50.27%,37.14%,40.50%,41.32%,46.17%,46.14%,45.10%,45.85%,45.84%,46.35%,45.84%,46.78%,46.78%,46.23%,46.28%,46.86%,47.79%,44.94%,46.40%,46.73%,47.16%,48.50%,48.66%,48.28%,48.02%,48.02%,48.37%,48.14%,48.44%,48.70%,49.25%,49.65%,49.26%
Carolina,44.36%,46.57%,46.57%,49.17%,50.64%,51.25%,50.08%,50.35%,50.25%,50.19%,50.89%,50.20%,50.20%,49.82%,48.89%,49.88%,50.36%,36.56%,47.65%,47.65%,47.14%,46.54%,50.07%,50.30%,48.92%,48.94%,47.82%,47.41%,47.09%,48.97%,49.77%,49.63%,45.67%,49.49%,50.89%,51.15%,49.52%,49.03%,49.03%,50.56%,50.20%,50.40%,50.25%,51.09%,51.33%,50.96%,51.47%,50.86%,39.22%,42.94%,47.73%,48.44%,48.34%,49.68%,48.64%,47.09%,47.09%,48.02%,49.67%,49.82%,49.50%,49.48%,48.66%,50.06%,56.86%,49.43%,50.06%,48.10%,46.74%,47.59%,47.59%,49.38%,48.83%,48.65%,48.59%,47.30%,48.68%,47.63%,48.44%,47.55%,53.39%,53.15%,49.71%,50.72%,53.54%,51.65%,52.13%,51.32%,51.32%,49.87%,49.17%,49.42%,48.38%,48.44%,48.65%,48.12%,48.96%,47.31%,47.38%,44.32%,44.32%,46.28%,47.81%,49.47%,50.25%,50.73%,50.30%,50.18%,49.66%,49.54%,49.03%,50.05%,50.30%,42.25%,45.44%,43.43%,41.58%,43.16%,43.16%,45.99%,45.02%,44.67%,45.02%,44.76%,44.97%,45.46%,45.19%,46.36%,46.00%,54.64%,54.46%,52.73%,53.50%,51.24%,50.88%,52.06%,51.37%,51.37%,50.74%,50.14%,51.08%,51.37%,51.17%,51.39%,37.58%,43.46%,42.21%,44.20%,43.44%,43.44%,43.53%,46.03%,45.42%,46.22%,46.90%,47.97%,47.14%,48.10%,49.13%,49.29%,49.61%,52.88%,55.69%,55.69%,54.71%,55.92%,55.86%,56.10%,56.68%,56.31%,55.56%,55.08%,55.27%,55.18%,55.17%,53.85%,58.67%,53.76%,49.93%,49.78%,48.80%,49.92%,49.98%,50.19%,49.22%,50.65%,50.29%,50.29%,51.07%,51.76%,52.53%,53.26%
Chicago,36.64%,36.07%,36.07%,42.09%,44.67%,45.88%,47.73%,48.08%,49.52%,49.57%,49.24%,49.72%,50.49%,49.76%,48.92%,49.87%,49.42%,50.50%,48.17%,49.90%,46.86%,46.86%,46.15%,46.19%,47.46%,47.79%,48.11%,47.37%,46.76%,47.16%,46.65%,46.70%,42.92%,49.12%,48.79%,48.79%,49.60%,48.89%,49.53%,49.16%,48.49%,48.46%,48.73%,48.85%,48.28%,47.48%,47.54%,47.37%,56.81%,55.90%,53.02%,54.57%,56.16%,52.44%,52.44%,53.77%,53.32%,53.47%,52.80%,52.70%,51.18%,50.66%,51.27%,51.71%,38.25%,45.14%,43.79%,45.50%,46.23%,46.50%,46.87%,46.24%,46.24%,46.96%,47.08%,46.76%,46.94%,47.35%,46.85%,47.46%,52.89%,49.99%,53.44%,51.78%,54.18%,53.25%,51.57%,51.57%,50.92%,50.22%,48.95%,49.08%,48.64%,48.48%,47.81%,47.32%,46.70%,55.08%,52.18%,51.68%,48.55%,48.55%,50.14%,48.35%,50.35%,49.62%,49.38%,49.28%,47.69%,47.61%,47.64%,47.53%,47.18%,57.83%,50.86%,47.34%,46.58%,47.37%,46.59%,47.27%,47.27%,47.86%,48.96%,50.38%,50.04%,50.50%,49.22%,49.45%,49.06%,55.53%,47.57%,44.22%,44.22%,48.39%,48.84%,49.77%,49.77%,50.52%,50.29%,50.79%,50.71%,50.28%,50.20%,50.00%,59.11%,52.74%,54.01%,53.35%,54.68%,54.68%,55.18%,52.86%,53.96%,53.31%,53.03%,53.89%,53.96%,53.88%,53.20%,52.77%,52.50%,51.72%,52.04%,50.77%,48.62%,49.66%,48.77%,48.77%,49.58%,49.92%,49.43%,50.41%,50.09%,50.94%,51.45%,51.31%,55.06%,49.32%,48.51%,51.53%,52.25%,53.59%,51.32%,50.59%,50.59%,50.58%,51.96%,51.76%,51.14%,50.73%,50.26%,50.03%
Cincinnati,46.17%,55.92%,50.00%,49.91%,50.93%,50.93%,51.03%,51.46%,50.27%,52.32%,52.56%,53.58%,52.84%,52.24%,52.46%,51.71%,51.49%,48.69%,50.56%,52.15%,50.83%,50.83%,48.56%,48.11%,46.81%,47.90%,48.65%,47.30%,47.76%,48.13%,48.69%,48.90%,57.03%,60.74%,57.79%,57.74%,56.39%,55.06%,53.04%,52.69%,53.03%,53.03%,52.39%,52.20%,51.56%,51.34%,51.98%,51.83%,46.75%,51.78%,49.05%,47.65%,47.65%,46.41%,48.27%,46.82%,45.67%,46.40%,46.16%,47.70%,47.78%,48.69%,48.41%,48.54%,46.08%,49.15%,51.31%,47.90%,47.90%,46.59%,48.25%,47.85%,46.93%,48.33%,48.90%,50.29%,49.69%,50.16%,49.43%,49.13%,39.58%,42.65%,46.09%,45.39%,45.73%,44.97%,45.55%,45.02%,45.64%,45.64%,46.60%,46.10%,45.18%,45.92%,46.35%,46.79%,47.79%,55.75%,56.04%,51.42%,49.90%,51.36%,49.39%,51.00%,51.00%,52.95%,52.47%,53.62%,54.53%,55.38%,54.67%,54.55%,54.68%,53.06%,55.08%,56.93%,54.87%,53.76%,53.76%,53.24%,51.94%,51.22%,51.86%,52.03%,51.32%,51.56%,50.86%,51.76%,51.66%,50.64%,50.11%,47.11%,48.40%,49.57%,50.64%,50.64%,50.89%,51.39%,50.52%,50.94%,51.10%,50.62%,50.35%,50.34%,54.06%,54.43%,51.56%,51.72%,51.77%,51.49%,49.49%,49.49%,49.43%,49.54%,50.48%,50.55%,50.96%,50.87%,51.72%,51.41%,47.50%,53.39%,51.23%,50.44%,51.78%,53.17%,51.64%,50.75%,51.69%,52.01%,51.47%,51.47%,51.30%,52.19%,51.85%,52.78%,50.83%,52.90%,51.23%,51.23%,47.20%,46.68%,44.54%,45.49%,46.62%,45.92%,46.20%,47.94%,48.19%,47.98%,49.18%,49.42%
Cleveland,54.39%,51.58%,50.36%,50.36%,52.78%,52.77%,52.65%,51.67%,51.67%,50.89%,52.39%,52.56%,51.15%,50.41%,49.14%,48.90%,49.09%,48.36%,44.07%,44.92%,46.22%,45.07%,47.64%,48.54%,48.54%,49.17%,48.15%,47.85%,47.83%,46.74%,46.10%,45.92%,42.97%,42.17%,43.87%,43.87%,44.89%,43.55%,42.60%,43.44%,44.76%,44.16%,45.65%,45.70%,46.10%,46.50%,46.32%,46.38%,45.39%,44.29%,45.17%,49.33%,49.88%,49.88%,47.89%,49.42%,50.10%,50.39%,50.72%,49.47%,49.41%,48.33%,48.43%,47.72%,39.56%,43.67%,42.29%,42.35%,43.06%,44.32%,44.32%,45.12%,45.70%,44.65%,45.50%,46.72%,46.99%,46.96%,47.39%,47.91%,37.53%,44.00%,41.67%,45.43%,45.43%,47.15%,47.94%,47.02%,46.61%,47.39%,47.12%,46.26%,46.88%,46.63%,45.93%,46.01%,45.91%,44.39%,44.92%,45.89%,48.08%,47.94%,46.41%,45.52%,44.53%,44.53%,44.85%,46.16%,45.27%,45.75%,45.98%,46.80%,47.05%,46.08%,45.36%,46.83%,47.94%,48.32%,48.06%,47.02%,47.02%,49.08%,47.69%,47.68%,48.15%,48.22%,47.57%,46.79%,46.80%,49.36%,53.49%,47.96%,51.34%,51.34%,49.51%,53.19%,52.04%,50.69%,51.07%,50.82%,50.51%,49.41%,49.75%,49.66%,40.06%,42.62%,43.45%,43.82%,43.26%,44.37%,43.90%,44.48%,44.81%,44.81%,45.18%,46.15%,46.82%,47.51%,46.94%,46.74%,45.36%,47.19%,47.50%,48.60%,49.68%,48.76%,48.15%,47.11%,47.59%,47.59%,48.23%,47.84%,47.94%,48.31%,47.86%,47.70%,45.92%,46.43%,47.11%,47.11%,47.53%,47.00%,47.07%,46.33%,46.68%,48.12%,47.66%,47.97%,48.01%,48.41%,47.47%,46.74%
Dallas,45.00%,50.71%,50.71%,51.92%,54.13%,53.99%,55.37%,53.48%,53.93%,54.01%,53.74%,54.00%,53.14%,53.33%,53.93%,53.94%,53.90%,49.56%,54.89%,50.40%,50.40%,49.38%,48.59%,47.91%,50.28%,49.56%,49.58%,50.26%,51.09%,50.82%,50.55%,50.45%,51.92%,52.72%,52.97%,52.55%,55.61%,56.62%,56.65%,56.41%,56.41%,54.63%,55.17%,55.69%,55.00%,54.85%,54.32%,54.55%,43.00%,48.10%,48.10%,50.16%,53.03%,54.17%,52.78%,54.35%,54.11%,54.07%,54.28%,55.00%,54.12%,52.88%,53.07%,52.08%,46.58%,52.50%,54.64%,54.65%,52.88%,50.11%,51.66%,51.66%,51.94%,50.83%,50.79%,51.91%,51.87%,51.41%,50.84%,51.79%,62.47%,55.79%,55.08%,50.42%,50.92%,51.39%,50.57%,50.16%,49.36%,49.36%,49.63%,50.38%,50.42%,50.45%,50.35%,50.05%,49.95%,44.11%,43.04%,49.29%,50.76%,50.37%,50.37%,50.00%,51.13%,51.35%,50.09%,50.32%,50.48%,51.67%,51.53%,52.18%,52.60%,56.75%,56.43%,55.58%,55.58%,56.99%,56.32%,53.18%,52.11%,50.19%,48.72%,48.86%,49.67%,50.41%,50.66%,51.25%,52.06%,56.47%,54.35%,53.79%,55.61%,55.61%,55.43%,55.62%,51.92%,51.57%,52.23%,52.40%,51.96%,52.31%,51.58%,52.41%,56.86%,49.56%,51.41%,50.71%,50.71%,53.92%,54.27%,54.21%,53.11%,52.39%,52.30%,51.83%,52.14%,52.00%,52.30%,51.15%,61.94%,57.46%,56.90%,53.49%,51.93%,50.35%,51.78%,50.48%,50.16%,48.55%,48.55%,48.59%,49.03%,48.24%,48.56%,48.24%,52.33%,60.49%,55.42%,56.04%,55.15%,56.42%,56.41%,55.00%,54.17%,54.01%,54.01%,52.87%,52.57%,52.69%,53.92%,54.27%
Denver,53.83%,54.60%,56.02%,55.90%,56.09%,53.34%,53.36%,52.63%,52.60%,52.60%,54.70%,53.86%,54.60%,54.45%,55.38%,56.68%,56.35%,52.67%,57.28%,54.44%,54.50%,54.65%,55.81%,55.57%,54.73%,54.59%,54.59%,54.20%,53.92%,53.38%,53.60%,52.96%,46.17%,50.65%,50.51%,53.75%,51.73%,52.07%,52.73%,53.85%,53.85%,53.57%,55.29%,53.82%,53.16%,53.16%,53.50%,54.21%,45.31%,47.00%,48.97%,48.97%,48.55%,48.31%,50.60%,50.77%,49.72%,49.80%,49.96%,49.20%,49.19%,49.16%,49.68%,49.68%,55.33%,54.12%,47.92%,48.10%,47.52%,47.52%,47.50%,47.75%,48.35%,48.44%,47.67%,48.47%,48.00%,48.72%,48.76%,48.10%,49.72%,53.19%,50.57%,49.02%,48.96%,48.13%,47.46%,47.46%,46.42%,46.42%,46.16%,46.19%,46.78%,47.88%,47.93%,48.42%,47.88%,44.25%,49.40%,53.07%,51.01%,51.35%,51.32%,51.32%,50.27%,49.60%,48.59%,47.42%,48.49%,49.44%,49.66%,49.52%,49.47%,50.83%,56.62%,54.34%,55.47%,52.28%,52.00%,49.66%,48.96%,48.96%,48.73%,48.14%,47.66%,46.85%,47.05%,46.79%,47.21%,45.69%,48.06%,48.20%,47.40%,44.54%,44.54%,45.61%,46.34%,47.18%,48.17%,47.98%,48.27%,47.32%,47.58%,47.32%,41.53%,43.54%,44.77%,49.17%,47.39%,46.83%,46.83%,48.53%,48.84%,48.68%,48.60%,48.46%,49.07%,50.08%,51.10%,51.43%,43.67%,45.19%,49.80%,51.25%,51.86%,51.20%,50.60%,50.94%,50.94%,49.35%,49.39%,49.61%,49.38%,50.62%,49.53%,49.44%,54.00%,46.81%,46.59%,46.59%,49.65%,50.91%,50.19%,50.35%,50.42%,50.81%,49.76%,50.43%,51.61%,51.04%,51.29%,51.03%
