Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,439.0,362.5,359.7,310.0,278.2,285.2,285.2,289.3,291.1,300.9,289.5,295.7,287.5,282.1,284.6,285.5,281.4,260.0,213.5,222.3,260.0,272.0,272.0,279.3,269.9,269.9,259.7,273.6,271.0,269.6,277.6,286.5,318.0,348.5,321.0,356.5,378.0,378.0,343.8,325.1,331.8,339.0,342.3,344.6,349.6,345.9,342.7,343.9,367.0,311.5,323.3,289.2,291.0,290.2,280.7,272.9,272.9,275.3,281.6,293.5,295.3,299.2,298.9,303.7,261.0,346.0,352.0,339.2,348.0,332.5,337.0,337.0,319.2,319.2,312.0,333.8,331.2,333.0,331.9,338.9,285.0,365.0,347.7,377.8,376.8,360.0,360.0,369.3,386.9,385.4,392.7,390.7,379.8,376.4,372.1,359.7,365.8,299.0,341.0,335.0,335.0,336.2,337.8,329.5,328.1,341.9,355.2,364.1,357.5,360.9,352.0,351.1,354.9,378.0,322.5,290.7,251.5,240.0,240.0,237.8,260.4,256.0,263.9,275.7,269.1,265.3,272.4,268.5,268.7,394.0,359.0,347.3,352.5,340.2,340.2,338.5,319.7,312.5,318.9,309.9,315.7,316.7,317.3,320.6,253.0,249.0,263.3,271.8,273.8,283.5,293.9,290.2,295.8,295.8,284.0,292.3,279.3,269.7,264.4,263.3,390.0,369.0,328.3,320.2,306.2,322.3,309.7,314.5,314.5,316.4,326.4,334.0,335.3,337.9,339.5,337.3,403.0,334.5,335.7,335.7,305.5,307.8,317.3,329.1,330.4,330.9,333.0,321.3,321.9,325.3,321.6,314.6
Atlanta,318.0,300.5,245.7,251.0,288.8,275.5,270.1,270.1,271.1,271.4,268.7,269.9,267.7,276.3,267.6,267.5,272.3,227.0,321.5,308.7,309.8,303.6,302.8,291.3,313.2,313.2,314.6,312.9,320.5,315.0,318.0,319.1,319.0,271.0,315.0,328.2,342.6,329.8,327.0,327.0,333.9,332.9,343.9,349.2,341.7,346.6,338.4,334.5,385.0,383.5,332.0,350.2,350.2,346.0,354.8,364.1,358.5,356.8,339.7,339.1,341.6,336.8,339.6,328.8,265.0,256.5,318.3,314.8,291.4,290.2,296.4,296.4,295.1,293.1,290.3,286.6,299.0,300.8,288.9,296.6,474.0,354.0,362.0,338.5,344.8,350.0,350.0,347.9,361.0,361.0,361.3,364.1,362.8,366.7,367.1,357.5,361.2,281.0,326.0,303.0,303.0,346.5,327.8,322.8,339.9,335.6,342.8,343.7,339.5,335.8,340.1,332.8,336.7,295.0,369.5,385.3,378.2,370.2,357.3,370.9,370.9,370.1,369.2,371.4,364.4,358.2,355.8,349.4,340.4,386.0,352.0,343.0,360.2,338.4,336.2,335.0,335.0,347.1,362.0,369.0,365.9,363.5,365.8,366.4,376.0,325.5,345.0,365.2,376.4,361.3,361.3,365.7,376.6,385.2,382.1,385.9,377.3,376.2,377.4,375.2,367.0,380.0,379.0,398.5,391.4,391.4,374.7,362.9,353.6,339.4,347.5,348.2,354.4,349.4,341.5,345.5,568.0,438.5,455.0,444.0,434.6,410.0,387.7,375.6,375.6,369.7,367.3,362.5,374.0,381.0,382.9,384.2
Baltimore,231.0,312.0,291.0,299.8,299.8,296.8,312.5,307.4,301.4,297.6,289.8,302.2,300.5,304.5,305.6,309.1,307.2,254.0,256.5,297.7,275.0,266.4,266.4,248.7,259.9,257.4,257.9,260.8,248.4,257.3,264.7,271.1,401.0,291.5,291.5,280.7,307.2,316.0,296.5,299.6,292.1,277.8,274.1,278.5,275.1,278.8,289.9,295.1,271.0,267.5,291.7,270.2,267.6,271.7,271.7,274.7,287.1,302.0,304.6,301.9,303.1,308.7,313.3,316.3,314.0,308.5,332.7,354.0,346.2,329.8,326.7,326.7,298.9,295.9,303.1,294.6,301.4,296.9,300.4,299.9,358.0,358.0,315.5,291.3,289.8,283.8,296.0,307.3,322.5,323.1,318.3,311.9,323.5,320.2,311.8,316.9,324.0,501.0,406.0,430.3,413.5,382.2,393.2,393.2,378.7,358.2,348.9,349.4,353.4,339.3,355.4,354.7,352.6,282.0,270.5,302.0,306.5,328.2,336.3,340.3,340.3,348.0,344.9,348.2,348.3,341.7,334.8,336.4,331.1,385.0,307.0,389.0,358.5,358.5,367.2,330.3,341.0,342.9,340.7,343.9,335.6,345.0,346.0,342.0,430.0,377.5,419.3,424.0,398.8,385.0,355.1,355.1,346.0,354.1,338.7,348.2,343.2,344.4,339.6,352.5,393.0,344.5,308.3,317.5,330.8,335.7,328.7,328.7,322.4,307.6,308.5,308.8,309.0,310.2,309.9,313.1,420.0,373.0,374.3,394.2,372.8,389.8,387.1,375.5,370.7,364.8,364.8,372.5,370.6,376.5,372.0,361.3
Buffalo,319.0,345.0,269.3,279.0,274.6,261.0,285.4,283.0,283.0,272.1,278.4,273.8,284.6,282.4,279.4,272.6,271.6,242.0,242.5,242.5,274.0,268.5,283.0,280.8,270.6,279.4,262.2,265.4,280.7,287.5,290.1,284.5,316.0,231.5,223.7,219.8,223.0,242.7,238.0,257.5,257.5,252.1,247.1,244.3,248.4,243.4,245.4,252.7,240.0,205.5,295.3,296.0,265.8,261.8,260.9,260.9,251.2,241.3,257.5,256.0,253.8,258.8,260.7,267.9,184.0,203.5,200.0,226.0,226.6,226.6,229.2,246.0,275.1,268.3,264.4,267.4,274.8,283.6,279.9,277.5,338.0,311.5,333.7,319.5,313.0,313.0,322.5,324.9,320.8,303.8,306.8,319.3,321.8,309.6,309.4,307.1,305.1,276.0,357.0,319.0,290.8,290.2,291.2,273.4,264.8,264.8,268.2,275.7,281.2,273.9,273.8,271.5,265.3,166.0,176.0,242.0,237.2,251.0,251.0,294.8,299.6,304.6,302.8,317.4,318.5,311.8,312.7,310.5,314.4,364.0,422.5,431.0,391.5,379.4,378.5,378.5,380.1,368.5,357.7,346.6,345.6,349.0,343.8,348.1,390.0,384.5,371.0,387.8,351.0,343.5,349.0,349.0,343.4,358.7,350.9,346.6,346.4,341.4,340.8,343.5,286.0,361.0,350.0,350.0,348.6,344.2,333.3,329.0,344.7,332.9,331.1,331.1,337.2,327.8,330.5,334.5,360.0,337.5,322.3,320.8,325.2,327.0,333.6,326.9,326.9,331.0,321.6,322.9,319.9,327.2,321.9,321.9
Carolina,242.0,250.0,250.0,287.0,292.5,302.2,315.7,323.1,328.6,330.0,339.7,331.0,331.4,323.7,321.9,326.0,321.3,300.0,329.0,329.0,339.3,311.2,317.8,308.7,313.4,312.2,317.3,317.3,315.7,322.8,321.7,325.5,350.0,300.0,299.7,296.2,303.0,305.3,305.3,326.3,321.4,310.1,302.9,302.2,302.5,300.5,302.3,303.3,215.0,243.0,278.7,290.0,289.6,310.3,305.6,292.9,292.9,295.7,307.2,303.3,309.4,321.2,315.4,307.3,385.0,369.0,350.3,321.8,306.0,317.3,317.3,313.9,298.5,291.4,300.5,290.9,293.6,282.5,285.3,280.7,388.0,302.0,269.3,302.2,330.0,322.0,324.0,327.4,327.4,315.3,320.4,328.4,325.8,336.5,341.0,341.1,349.7,169.0,304.5,293.3,293.3,282.0,290.0,312.5,318.6,325.1,331.2,336.4,322.1,321.0,319.8,325.3,331.3,237.0,257.5,260.7,258.2,236.0,236.0,259.8,251.4,244.4,250.6,252.5,259.2,261.2,263.2,266.1,256.3,477.0,476.0,405.7,440.0,428.2,417.7,416.1,414.8,414.8,399.7,400.6,398.5,397.3,398.8,392.9,301.0,382.0,363.7,373.8,337.0,337.0,335.5,347.0,344.9,334.3,334.0,339.8,343.6,353.7,355.0,349.4,243.0,280.5,321.0,321.0,329.0,336.6,327.5,327.0,332.8,323.3,324.0,321.4,330.1,323.1,328.0,320.9,334.0,323.5,332.0,327.8,326.4,343.8,342.7,332.5,321.2,320.8,327.2,327.2,328.9,341.8,345.3,349.3
Chicago,127.0,167.5,167.5,232.0,260.0,262.2,253.7,254.7,265.5,258.1,256.4,252.8,266.9,267.5,265.0,275.9,273.8,342.0,324.5,344.7,314.5,314.5,283.6,264.2,262.7,258.8,249.6,247.0,237.3,244.0,241.4,238.6,166.0,251.0,252.3,252.3,255.8,243.0,248.5,260.6,267.2,264.1,263.5,261.3,255.2,256.2,254.0,256.5,361.0,372.0,356.3,357.8,356.4,325.0,325.0,336.0,330.5,332.9,328.0,327.6,309.2,314.1,323.5,325.5,202.0,220.5,226.7,245.8,253.6,287.7,301.7,295.9,295.9,295.8,300.7,300.0,301.0,305.2,298.4,294.5,319.0,287.5,326.7,309.0,332.2,337.0,335.6,335.6,333.6,323.6,314.6,316.4,309.0,308.0,302.1,296.4,296.2,352.0,313.5,315.0,305.2,305.2,318.8,312.2,320.3,332.4,334.3,329.3,314.7,309.2,304.9,298.9,303.1,463.0,385.5,349.0,289.2,280.8,285.2,290.4,290.4,289.5,297.3,294.4,299.4,300.3,291.5,291.6,293.6,377.0,311.5,304.7,307.8,318.0,327.8,337.4,337.4,341.8,327.8,332.8,339.0,325.8,319.6,312.6,428.0,298.0,290.0,307.5,346.2,346.2,337.8,319.6,324.4,316.0,298.7,298.5,304.0,314.3,305.4,304.9,323.0,371.0,333.3,354.2,370.2,370.5,368.9,368.9,378.0,373.6,368.1,373.2,382.1,390.4,393.9,384.8,427.0,321.5,300.0,349.0,348.6,370.2,349.3,353.6,353.6,348.9,360.8,346.5,340.1,342.8,338.2,331.3
Cincinnati,294.0,355.0,297.3,296.8,293.2,293.2,294.8,311.6,305.5,318.4,328.8,340.2,343.4,337.6,341.6,337.9,333.7,351.0,280.5,319.7,313.0,313.0,288.2,293.7,290.9,295.5,297.8,288.9,308.5,320.5,332.6,328.5,420.0,462.0,389.3,384.8,380.6,381.7,370.3,363.6,359.8,359.8,373.0,378.8,374.2,366.8,371.1,371.3,236.0,358.5,321.0,310.5,310.5,309.4,314.8,317.1,311.8,337.7,342.4,346.5,342.2,349.6,344.5,344.4,236.0,383.5,393.0,365.5,365.5,367.0,371.7,360.9,353.1,350.1,354.7,361.2,351.8,353.2,350.4,345.0,154.0,184.5,238.7,231.8,239.2,227.8,225.6,229.0,238.2,238.2,242.6,239.5,232.4,233.9,239.4,239.8,245.4,307.0,313.0,299.7,318.5,335.4,328.8,345.9,345.9,348.8,334.2,335.6,332.9,331.9,322.5,328.6,324.9,428.0,340.5,328.7,349.8,351.4,351.4,371.0,355.4,345.0,344.6,346.2,329.5,328.0,317.4,323.1,326.3,294.0,338.0,301.3,340.5,320.2,326.5,326.5,315.9,316.2,312.1,329.2,334.6,326.1,322.9,320.1,322.0,348.5,391.7,389.2,371.0,382.2,354.0,354.0,355.5,346.6,352.8,358.5,356.8,355.2,347.6,342.3,340.0,373.5,348.0,327.5,330.2,355.7,365.0,369.6,380.2,378.6,364.5,364.5,363.7,368.8,362.4,366.8,380.0,426.0,384.0,384.0,368.0,397.0,353.3,352.9,361.6,339.8,346.3,348.6,343.6,348.5,348.4,348.7
Cleveland,280.0,227.5,235.3,261.2,273.8,275.5,275.7,266.6,266.6,259.1,281.3,283.3,277.5,279.9,279.6,275.0,281.5,250.0,226.0,245.7,254.2,262.6,293.7,308.0,308.0,296.6,289.0,281.7,298.1,297.2,275.6,272.4,373.0,382.0,342.3,342.3,326.2,298.2,277.5,284.3,303.9,303.8,311.0,306.5,306.2,298.7,295.6,287.7,186.0,243.5,258.3,264.5,261.2,261.2,245.2,248.3,253.9,251.9,256.9,252.0,267.5,269.5,267.1,261.8,221.0,387.5,362.3,347.5,348.6,354.5,354.5,356.4,365.4,342.9,346.6,351.2,353.5,352.2,348.8,350.9,205.0,206.5,195.0,211.5,211.5,260.0,256.0,266.1,267.1,281.8,287.3,283.0,275.5,268.0,262.9,257.5,249.2,268.0,234.0,218.0,262.2,248.4,239.8,225.4,221.1,221.1,214.3,236.8,230.6,242.4,243.4,255.8,257.5,340.0,319.5,314.3,309.5,301.4,305.7,292.0,292.0,306.0,305.7,303.4,310.3,305.4,296.3,295.0,294.0,285.0,294.0,289.3,321.0,321.0,310.4,308.7,306.0,289.2,294.3,298.3,296.1,290.8,291.8,294.8,210.0,324.5,296.3,311.5,324.2,324.8,324.0,314.8,312.0,312.0,311.9,305.2,319.3,321.8,319.6,313.9,291.0,275.0,319.7,323.8,317.0,330.0,313.7,317.0,316.8,316.8,318.1,322.5,332.2,344.7,346.2,342.0,389.0,356.5,362.7,362.7,387.0,383.2,363.7,355.4,352.2,354.0,356.1,366.9,362.6,353.8,336.1,328.9
Dallas,403.0,403.0,403.0,388.7,382.8,364.6,359.0,333.1,341.5,329.8,325.9,325.3,327.7,319.8,320.2,320.6,322.6,423.0,432.0,383.7,383.7,357.2,355.4,356.5,356.6,350.9,347.1,334.6,328.5,334.8,329.8,323.1,301.0,326.0,365.0,349.5,370.8,373.2,359.1,357.8,357.8,344.8,335.6,333.6,323.0,332.4,324.1,328.7,323.0,345.0,345.0,362.0,351.5,352.0,356.5,364.7,366.4,373.9,370.7,376.5,375.6,373.4,371.9,360.5,478.0,415.0,420.3,440.8,429.6,405.5,402.0,402.0,406.0,396.8,393.3,388.8,390.9,389.2,378.5,380.3,487.0,433.5,440.0,416.0,407.4,401.8,393.1,365.5,345.2,345.2,342.2,348.2,356.4,351.2,349.1,347.6,344.5,462.0,420.0,429.7,401.0,420.4,420.4,419.3,411.1,404.5,390.4,381.9,392.1,394.8,391.1,394.5,394.4,380.0,395.0,391.7,391.7,421.5,400.0,375.7,381.3,359.2,366.4,356.3,365.5,365.7,364.4,369.4,370.2,390.0,431.0,412.3,417.8,417.8,409.6,415.5,394.3,400.2,403.9,398.8,390.1,385.6,390.1,390.7,433.0,364.5,342.0,364.0,364.0,387.4,374.8,383.3,382.5,372.7,367.4,375.6,379.1,372.1,375.1,379.9,331.0,324.5,348.3,341.0,377.2,349.8,352.4,341.9,342.8,327.8,327.8,326.3,328.4,328.4,338.2,336.3,382.0,375.0,363.3,383.8,398.2,398.7,402.1,400.6,386.2,387.5,387.5,387.3,377.2,378.8,377.7,377.7
Denver,293.0,337.5,352.7,347.5,371.8,350.2,346.0,327.0,321.4,321.4,334.1,336.9,332.8,346.2,351.3,358.9,349.9,413.0,384.5,365.7,336.5,356.0,370.7,363.1,388.6,385.9,385.9,386.2,384.5,380.5,383.2,384.5,312.0,321.5,333.7,326.8,312.8,332.7,340.1,368.1,368.1,363.4,367.5,360.7,363.0,359.5,365.1,368.3,259.0,288.5,325.7,325.7,299.8,286.8,296.8,311.0,314.1,308.6,310.3,304.3,304.1,305.9,309.9,308.4,470.0,455.5,392.0,382.5,365.2,365.2,358.3,354.6,348.1,345.8,347.1,354.6,349.4,357.4,353.9,345.3,441.0,463.5,432.0,435.5,415.0,399.7,381.9,381.9,374.0,395.1,388.5,382.2,390.7,393.3,385.1,394.9,395.6,302.0,375.5,374.3,365.0,376.8,368.7,368.7,344.6,331.8,328.8,323.0,327.5,334.7,336.4,336.4,330.1,363.0,366.0,417.0,394.5,384.8,378.3,358.6,363.5,363.5,373.3,359.5,367.6,357.6,352.2,343.9,349.7,310.0,314.0,286.3,310.8,303.6,303.6,304.3,305.4,318.8,318.1,309.2,312.8,314.8,317.1,322.5,334.0,335.0,348.3,387.0,388.4,384.7,384.7,405.4,399.6,395.2,394.3,391.9,387.0,390.2,387.3,391.9,510.0,462.0,486.7,483.0,489.8,476.0,469.3,466.4,466.4,458.7,455.5,451.5,458.5,465.6,453.4,457.3,361.0,343.0,339.3,339.3,396.5,389.0,394.0,398.4,407.6,414.7,412.9,416.3,413.9,405.6,400.7,399.7
