Team Name,09/14/2003,09/21/2003,09/28/2003,10/05/2003,10/12/2003,10/19/2003,10/26/2003,11/02/2003,11/09/2003,11/16/2003,11/23/2003,11/27/2003,12/07/2003,12/14/2003,12/20/2003,12/27/2003,01/02/2004,09/19/2004,09/26/2004,10/03/2004,10/10/2004,10/17/2004,10/24/2004,10/31/2004,11/07/2004,11/14/2004,11/21/2004,11/25/2004,12/05/2004,12/12/2004,12/18/2004,12/24/2004,09/18/2005,09/25/2005,10/02/2005,10/09/2005,10/16/2005,10/21/2005,10/30/2005,11/06/2005,11/13/2005,11/20/2005,11/24/2005,12/04/2005,12/11/2005,12/17/2005,12/24/2005,12/31/2005,09/17/2006,09/24/2006,10/01/2006,10/08/2006,10/15/2006,10/22/2006,10/29/2006,11/05/2006,11/12/2006,11/19/2006,11/23/2006,11/30/2006,12/07/2006,12/14/2006,12/21/2006,12/30/2006,09/16/2007,09/23/2007,09/30/2007,10/07/2007,10/14/2007,10/21/2007,10/28/2007,11/04/2007,11/11/2007,11/18/2007,11/22/2007,11/29/2007,12/06/2007,12/13/2007,12/20/2007,12/29/2007,09/14/2008,09/21/2008,09/28/2008,10/05/2008,10/12/2008,10/19/2008,10/26/2008,11/02/2008,11/06/2008,11/13/2008,11/20/2008,11/27/2008,12/04/2008,12/11/2008,12/18/2008,12/28/2008,01/03/2009,09/20/2009,09/27/2009,10/04/2009,10/11/2009,10/18/2009,10/25/2009,11/01/2009,11/08/2009,11/12/2009,11/19/2009,11/26/2009,12/03/2009,12/10/2009,12/17/2009,12/25/2009,01/02/2010,09/19/2010,09/26/2010,10/03/2010,10/10/2010,10/17/2010,10/24/2010,10/31/2010,11/07/2010,11/11/2010,11/18/2010,11/25/2010,12/02/2010,12/09/2010,12/16/2010,12/23/2010,01/01/2011,09/18/2011,09/25/2011,10/02/2011,10/09/2011,10/16/2011,10/23/2011,10/30/2011,11/06/2011,11/10/2011,11/17/2011,11/24/2011,12/01/2011,12/08/2011,12/15/2011,12/22/2011,09/13/2012,09/20/2012,09/27/2012,10/04/2012,10/11/2012,10/18/2012,10/25/2012,11/01/2012,11/08/2012,11/15/2012,11/22/2012,11/29/2012,12/06/2012,12/13/2012,12/22/2012,12/30/2012,09/12/2013,09/19/2013,09/26/2013,10/03/2013,10/10/2013,10/17/2013,10/24/2013,10/31/2013,11/07/2013,11/14/2013,11/21/2013,11/28/2013,12/05/2013,12/12/2013,12/22/2013,12/29/2013,09/11/2014,09/18/2014,09/25/2014,10/02/2014,10/09/2014,10/16/2014,10/23/2014,10/30/2014,11/06/2014,11/13/2014,11/20/2014,11/27/2014,12/04/2014,12/11/2014,12/18/2014,12/28/2014
Arizona,41.67%,41.67%,29.55%,33.33%,29.69%,23.17%,23.17%,22.45%,25.22%,26.92%,27.94%,27.61%,27.11%,28.89%,26.40%,25.12%,23.11%,70.00%,59.09%,52.00%,27.12%,18.39%,18.39%,16.96%,15.08%,17.33%,19.76%,24.29%,23.89%,22.40%,22.73%,22.71%,31.58%,29.03%,27.91%,24.32%,22.34%,22.34%,21.05%,21.26%,25.34%,26.95%,23.41%,22.97%,23.85%,23.81%,22.14%,22.48%,20.59%,22.73%,17.24%,14.71%,14.77%,14.41%,15.83%,19.40%,19.40%,18.06%,20.50%,17.65%,18.10%,16.13%,16.04%,14.63%,0.00%,0.00%,4.76%,11.90%,11.02%,12.50%,10.88%,10.88%,10.19%,12.23%,16.59%,14.57%,15.66%,16.89%,17.79%,16.29%,43.48%,44.44%,47.89%,51.89%,42.18%,38.98%,38.98%,41.00%,38.03%,36.50%,36.68%,35.53%,35.21%,33.87%,36.27%,35.62%,36.07%,43.75%,29.79%,36.84%,36.84%,24.71%,25.00%,30.88%,31.21%,26.26%,25.76%,23.60%,24.72%,24.24%,24.51%,22.26%,22.28%,0.00%,0.00%,14.58%,12.07%,11.36%,11.36%,17.35%,23.31%,24.20%,21.71%,21.81%,21.13%,20.50%,18.11%,17.25%,15.60%,25.00%,28.57%,23.73%,32.56%,36.46%,36.46%,36.21%,29.37%,27.78%,24.59%,23.68%,29.11%,28.02%,28.46%,26.37%,15.00%,25.00%,14.93%,18.68%,18.09%,18.18%,16.13%,18.11%,22.92%,22.92%,20.25%,18.33%,17.74%,17.74%,16.07%,15.19%,58.33%,40.82%,35.71%,28.99%,31.87%,31.53%,28.57%,25.62%,25.62%,25.13%,26.64%,25.20%,25.82%,26.23%,26.32%,25.91%,0.00%,0.00%,21.21%,21.21%,24.42%,20.69%,22.14%,23.17%,19.79%,17.04%,16.03%,15.83%,14.73%,17.82%,18.12%,18.77%
Atlanta,51.85%,24.14%,30.88%,29.58%,21.65%,21.65%,21.05%,21.05%,18.46%,23.57%,20.90%,19.23%,18.10%,16.60%,18.95%,17.99%,16.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.43%,8.24%,8.24%,7.22%,6.73%,6.03%,6.03%,7.87%,11.63%,0.00%,31.25%,17.86%,15.12%,11.40%,8.78%,11.43%,11.43%,11.98%,10.60%,12.30%,14.76%,14.44%,15.65%,15.51%,14.41%,35.00%,20.59%,18.92%,24.64%,24.64%,28.92%,30.65%,33.33%,30.54%,32.22%,32.11%,33.50%,33.04%,36.48%,35.29%,34.91%,0.00%,0.00%,23.33%,17.86%,18.84%,16.46%,13.68%,13.68%,11.30%,11.85%,11.27%,10.32%,11.11%,10.27%,10.11%,8.84%,29.41%,30.23%,24.69%,22.22%,17.09%,16.55%,16.55%,15.03%,12.99%,12.32%,11.26%,9.42%,8.72%,8.98%,8.63%,10.00%,11.00%,31.58%,12.77%,10.53%,10.53%,8.82%,7.32%,11.11%,13.45%,11.39%,11.76%,14.29%,14.34%,13.98%,15.23%,14.74%,17.49%,33.33%,26.00%,20.78%,20.43%,23.01%,22.31%,17.16%,17.16%,19.90%,18.92%,19.14%,17.75%,16.12%,16.72%,19.78%,19.06%,25.00%,21.28%,16.67%,14.44%,12.50%,9.63%,10.13%,10.13%,12.17%,14.15%,17.02%,15.44%,17.47%,19.00%,20.82%,35.00%,31.34%,22.34%,22.58%,18.92%,19.88%,19.88%,18.41%,16.82%,14.98%,13.70%,14.97%,13.88%,15.13%,16.44%,15.17%,41.18%,14.58%,19.72%,14.89%,17.21%,17.21%,13.73%,12.65%,11.93%,15.05%,16.36%,15.42%,16.09%,14.89%,15.86%,14.71%,37.84%,29.79%,33.98%,37.40%,37.09%,40.24%,38.60%,34.38%,34.38%,31.51%,33.19%,30.15%,28.18%,28.05%,28.16%,27.78%
Baltimore,46.67%,14.58%,29.17%,29.27%,29.27%,28.70%,25.37%,21.25%,21.74%,20.87%,20.28%,25.00%,21.33%,21.45%,22.45%,22.22%,21.48%,100.00%,30.30%,17.86%,12.50%,24.74%,24.74%,20.51%,18.90%,15.58%,15.52%,20.10%,19.81%,23.61%,24.07%,23.21%,0.00%,17.65%,17.65%,33.33%,21.28%,15.87%,14.49%,11.36%,10.31%,10.00%,8.62%,16.55%,14.91%,14.04%,15.53%,16.47%,11.11%,9.09%,7.14%,5.81%,5.62%,4.55%,4.55%,8.28%,10.53%,9.09%,15.77%,16.87%,16.41%,17.75%,18.48%,18.86%,0.00%,0.00%,4.55%,3.80%,6.82%,8.18%,12.90%,12.90%,12.21%,11.59%,13.69%,16.48%,17.96%,16.37%,15.29%,14.92%,41.18%,41.18%,62.22%,43.08%,46.67%,48.72%,39.05%,32.84%,29.82%,27.36%,29.28%,25.97%,27.74%,26.58%,26.77%,26.26%,25.19%,18.42%,20.29%,20.39%,22.58%,20.29%,20.71%,20.71%,22.61%,21.84%,27.48%,25.74%,23.74%,27.68%,30.09%,32.29%,33.24%,30.00%,50.00%,22.73%,16.39%,10.87%,15.18%,20.81%,20.81%,21.71%,22.96%,20.60%,19.20%,19.62%,19.73%,18.83%,19.77%,31.43%,22.92%,16.47%,17.65%,17.65%,18.24%,17.42%,22.16%,23.08%,22.67%,23.83%,22.43%,22.97%,23.44%,22.46%,38.64%,25.37%,24.49%,31.41%,33.85%,31.68%,33.33%,33.33%,29.15%,31.10%,30.71%,30.04%,30.36%,27.79%,27.30%,25.72%,0.00%,17.07%,19.72%,23.08%,26.50%,25.37%,22.67%,22.67%,20.24%,18.09%,16.35%,19.38%,20.08%,17.99%,17.91%,17.49%,43.75%,33.33%,32.31%,27.18%,24.14%,21.34%,19.69%,21.20%,19.17%,20.31%,20.31%,21.36%,21.34%,21.63%,22.34%,23.39%
Buffalo,0.00%,20.29%,18.42%,15.73%,21.62%,21.05%,22.46%,21.68%,21.68%,20.81%,21.38%,19.65%,20.81%,22.43%,22.92%,23.87%,23.87%,0.00%,0.00%,0.00%,0.00%,0.00%,14.08%,16.88%,11.30%,14.60%,18.18%,25.56%,24.31%,23.08%,21.21%,19.09%,0.00%,0.00%,7.32%,6.25%,4.41%,10.53%,8.93%,13.28%,13.28%,16.90%,15.79%,14.91%,14.13%,13.61%,13.94%,14.69%,0.00%,39.39%,24.53%,28.57%,25.97%,21.28%,20.00%,20.00%,16.13%,16.43%,14.02%,15.71%,20.75%,20.99%,21.97%,23.21%,50.00%,58.82%,41.67%,41.46%,36.92%,36.92%,40.48%,35.05%,28.46%,27.27%,27.45%,29.34%,29.89%,24.77%,24.77%,25.51%,41.18%,25.93%,17.95%,19.27%,19.05%,19.05%,20.81%,23.03%,22.53%,21.35%,20.09%,22.34%,23.19%,22.94%,21.90%,21.73%,21.73%,12.50%,5.26%,4.69%,4.05%,7.79%,17.20%,14.16%,13.01%,13.01%,13.57%,16.13%,13.44%,12.56%,13.02%,12.44%,13.60%,0.00%,0.00%,14.89%,11.48%,16.09%,16.09%,11.57%,12.98%,15.33%,18.29%,20.66%,22.27%,20.99%,19.92%,21.25%,21.01%,34.15%,35.44%,30.97%,26.32%,27.44%,23.94%,23.94%,24.64%,24.77%,24.02%,23.21%,23.75%,22.30%,25.00%,23.15%,25.00%,33.33%,27.59%,26.96%,26.27%,27.74%,30.41%,30.41%,30.56%,29.38%,26.96%,25.51%,25.99%,26.99%,25.49%,24.68%,33.33%,40.00%,36.92%,30.68%,36.61%,30.15%,25.79%,23.30%,23.28%,22.11%,24.58%,24.58%,24.34%,24.91%,22.67%,21.32%,0.00%,26.92%,33.87%,26.58%,25.00%,26.27%,22.96%,20.79%,20.79%,20.94%,21.50%,25.21%,28.03%,26.33%,26.49%,24.54%
Carolina,29.17%,27.78%,27.78%,16.95%,20.51%,29.70%,25.42%,23.40%,23.84%,25.84%,26.77%,27.52%,28.63%,29.84%,28.73%,27.78%,26.77%,0.00%,16.67%,16.67%,13.46%,20.29%,18.18%,16.87%,17.00%,19.35%,25.47%,20.92%,22.12%,19.28%,17.84%,16.00%,35.00%,21.28%,14.08%,12.62%,10.24%,8.78%,8.78%,10.75%,13.64%,12.00%,11.86%,12.41%,11.38%,12.00%,13.15%,12.39%,50.00%,31.58%,20.00%,13.64%,13.95%,11.01%,9.76%,8.76%,8.76%,18.01%,18.18%,16.93%,18.31%,17.26%,17.03%,16.32%,25.93%,14.58%,28.00%,25.61%,21.43%,19.51%,19.51%,18.46%,17.52%,16.00%,18.56%,17.92%,18.63%,18.10%,17.04%,17.37%,26.92%,36.96%,30.36%,25.00%,26.32%,25.64%,29.93%,37.36%,37.36%,34.03%,30.63%,31.20%,27.37%,26.32%,26.06%,24.15%,23.91%,0.00%,0.00%,0.00%,0.00%,12.28%,24.71%,22.34%,16.41%,16.22%,13.64%,12.44%,12.06%,12.56%,12.00%,10.76%,12.67%,0.00%,0.00%,21.88%,30.43%,32.69%,32.69%,26.67%,23.53%,22.73%,25.00%,24.79%,25.71%,23.38%,26.22%,26.78%,26.34%,33.33%,15.91%,16.67%,11.24%,14.66%,18.05%,22.89%,24.06%,24.06%,25.26%,21.33%,21.83%,21.38%,19.81%,18.18%,70.00%,31.11%,40.38%,35.00%,38.04%,38.04%,33.02%,32.03%,27.52%,25.15%,22.28%,22.43%,20.43%,20.75%,20.95%,19.81%,0.00%,23.33%,30.88%,30.88%,28.38%,32.11%,32.37%,30.59%,26.96%,25.70%,26.05%,26.74%,26.67%,25.50%,23.17%,22.90%,0.00%,15.91%,15.87%,17.81%,19.23%,24.11%,21.52%,20.36%,23.16%,20.71%,19.07%,19.07%,21.05%,23.05%,23.96%,22.62%
Chicago,0.00%,15.00%,15.00%,13.95%,13.43%,11.25%,9.28%,19.01%,18.44%,21.85%,19.19%,17.28%,15.07%,13.75%,14.23%,17.86%,18.73%,0.00%,18.92%,11.86%,10.29%,10.29%,8.97%,16.47%,12.96%,10.29%,13.55%,12.73%,12.21%,10.71%,10.55%,11.27%,100.00%,15.56%,13.46%,13.46%,22.58%,23.33%,24.00%,20.17%,22.30%,19.87%,18.34%,18.68%,16.92%,16.19%,19.47%,21.60%,11.54%,16.67%,20.25%,25.86%,21.15%,23.89%,23.89%,19.46%,19.66%,22.06%,22.34%,21.36%,24.21%,25.28%,23.86%,22.38%,0.00%,13.04%,30.30%,26.67%,29.89%,22.03%,21.17%,25.00%,25.00%,22.36%,19.57%,22.62%,22.36%,24.90%,23.68%,25.91%,24.14%,30.43%,31.43%,23.40%,28.12%,29.05%,29.08%,29.08%,28.70%,27.00%,26.67%,25.09%,26.33%,24.34%,22.36%,23.08%,23.47%,66.67%,31.25%,35.09%,31.43%,31.43%,27.73%,25.58%,25.16%,22.22%,23.12%,26.21%,26.39%,27.47%,28.74%,27.95%,26.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.73%,7.43%,12.04%,14.86%,14.63%,17.00%,21.50%,25.38%,46.67%,39.53%,28.33%,18.09%,15.89%,18.49%,20.00%,20.00%,18.50%,22.78%,25.37%,23.61%,23.37%,24.92%,23.81%,24.39%,25.49%,17.57%,25.00%,24.83%,24.83%,24.69%,21.62%,19.49%,20.25%,22.49%,21.30%,22.45%,21.43%,21.50%,21.78%,29.17%,12.73%,10.53%,10.24%,11.03%,11.05%,12.21%,12.21%,13.75%,13.90%,12.77%,11.88%,15.48%,16.58%,16.75%,18.23%,50.00%,20.83%,22.67%,18.48%,17.24%,18.18%,21.02%,22.78%,22.78%,24.74%,22.33%,29.24%,28.46%,25.62%,24.32%,25.48%
Cincinnati,0.00%,10.00%,15.00%,21.31%,16.88%,16.88%,14.41%,13.77%,12.50%,13.98%,15.71%,14.75%,13.43%,13.88%,15.22%,14.76%,14.16%,29.17%,50.00%,46.94%,45.45%,45.45%,36.14%,34.91%,37.30%,35.53%,31.95%,29.51%,28.22%,25.37%,25.34%,23.96%,37.04%,26.56%,27.27%,23.08%,24.19%,25.81%,23.81%,21.16%,19.05%,19.05%,19.03%,22.15%,22.63%,23.14%,22.51%,23.45%,0.00%,0.00%,0.00%,7.14%,7.14%,9.01%,10.16%,10.32%,10.86%,13.43%,11.74%,12.64%,14.48%,17.35%,17.42%,16.29%,25.93%,33.33%,27.96%,27.36%,27.36%,23.02%,21.95%,20.34%,21.72%,21.00%,24.39%,26.33%,26.46%,26.77%,25.70%,24.27%,0.00%,0.00%,0.00%,0.00%,9.46%,7.95%,10.20%,9.62%,13.60%,13.60%,14.49%,13.51%,13.25%,12.99%,11.49%,10.64%,9.80%,0.00%,18.42%,21.31%,15.48%,19.80%,16.95%,16.56%,16.56%,15.00%,16.67%,16.74%,16.88%,16.54%,15.91%,14.58%,16.07%,58.33%,43.59%,28.81%,25.32%,23.00%,23.00%,34.09%,30.82%,26.95%,24.46%,20.93%,20.00%,20.00%,19.47%,20.28%,18.10%,0.00%,24.49%,21.05%,27.50%,20.00%,23.36%,23.36%,18.71%,20.00%,21.70%,22.46%,24.32%,23.68%,23.16%,24.92%,23.08%,21.28%,11.76%,8.93%,8.00%,6.71%,7.83%,7.83%,12.17%,16.82%,14.92%,13.12%,12.25%,13.40%,16.06%,15.49%,33.33%,34.15%,28.00%,29.63%,28.72%,28.10%,29.73%,29.44%,29.95%,29.06%,24.73%,24.73%,25.68%,26.65%,25.14%,26.01%,0.00%,29.79%,26.25%,26.25%,36.08%,26.12%,26.12%,27.95%,26.80%,26.40%,26.34%,26.83%,28.08%,28.47%,26.69%,25.86%
Cleveland,0.00%,52.63%,31.25%,21.74%,21.52%,26.09%,24.11%,23.48%,23.48%,22.22%,24.58%,23.78%,22.92%,23.58%,21.55%,21.55%,19.68%,35.00%,21.88%,16.67%,23.73%,20.73%,17.24%,18.37%,18.37%,16.88%,15.88%,15.25%,21.33%,20.00%,19.43%,19.43%,0.00%,15.38%,13.33%,13.33%,9.23%,13.24%,11.54%,9.57%,16.67%,14.07%,18.47%,18.93%,17.49%,17.24%,17.92%,17.92%,50.00%,22.58%,15.56%,30.43%,29.63%,29.63%,27.27%,31.48%,25.56%,22.67%,20.00%,20.00%,16.92%,16.35%,18.22%,17.67%,100.00%,36.21%,34.15%,28.44%,26.98%,20.36%,20.36%,21.13%,21.15%,18.82%,21.53%,20.63%,21.73%,22.22%,21.74%,22.77%,0.00%,18.75%,11.54%,6.52%,6.52%,7.41%,9.78%,7.83%,16.20%,15.12%,14.43%,14.01%,13.61%,13.06%,12.50%,12.50%,12.50%,0.00%,0.00%,0.00%,14.29%,12.73%,20.29%,19.44%,25.64%,25.64%,25.64%,19.13%,23.77%,20.00%,18.35%,18.09%,17.57%,0.00%,0.00%,0.00%,14.71%,16.67%,14.77%,11.02%,11.02%,13.16%,11.63%,15.62%,13.89%,16.16%,15.74%,14.68%,14.12%,17.65%,6.82%,9.84%,8.11%,8.11%,6.59%,6.19%,5.61%,7.56%,9.16%,8.28%,9.09%,10.29%,10.11%,12.82%,18.75%,23.26%,29.82%,27.40%,23.00%,21.64%,24.49%,23.38%,23.08%,23.08%,20.63%,22.01%,21.40%,22.78%,21.07%,21.23%,30.00%,18.75%,6.38%,9.38%,12.87%,11.02%,12.21%,15.54%,17.44%,17.44%,19.27%,18.23%,19.05%,22.18%,24.65%,23.59%,51.85%,39.62%,47.30%,47.30%,36.89%,30.60%,29.29%,25.15%,25.95%,26.32%,25.46%,26.86%,25.79%,26.09%,26.09%,25.95%
Dallas,0.00%,12.50%,12.50%,9.23%,14.61%,17.86%,18.00%,18.00%,19.88%,20.44%,20.44%,24.88%,22.57%,21.61%,20.53%,20.21%,19.72%,41.18%,38.89%,36.84%,36.84%,31.34%,35.63%,35.51%,32.61%,31.91%,32.10%,30.23%,26.94%,26.27%,26.10%,25.39%,25.00%,34.15%,28.00%,27.27%,22.31%,19.71%,18.37%,16.57%,16.57%,14.85%,16.67%,15.23%,18.58%,16.55%,16.15%,17.14%,0.00%,0.00%,0.00%,15.73%,12.39%,19.05%,16.57%,13.73%,15.70%,16.80%,18.08%,20.39%,19.88%,21.78%,22.22%,21.83%,31.11%,29.27%,32.76%,39.07%,35.23%,33.99%,36.56%,36.56%,36.60%,35.14%,34.26%,31.84%,28.86%,26.95%,27.27%,26.06%,25.00%,20.29%,21.88%,23.33%,18.54%,20.00%,18.52%,18.81%,17.59%,17.59%,16.52%,16.98%,17.39%,19.87%,18.67%,17.42%,17.13%,20.59%,21.54%,27.91%,25.00%,25.41%,25.41%,23.90%,26.40%,23.96%,23.21%,22.51%,20.39%,21.15%,22.30%,22.81%,21.66%,100.00%,37.04%,31.48%,31.48%,29.63%,23.53%,17.52%,15.58%,14.91%,19.59%,22.71%,25.78%,25.85%,26.79%,27.12%,27.89%,29.17%,27.45%,24.64%,27.27%,27.27%,26.09%,22.15%,21.15%,22.35%,20.63%,18.40%,17.04%,17.31%,16.40%,15.80%,41.67%,32.26%,21.28%,20.00%,20.00%,24.47%,29.20%,34.31%,31.33%,28.72%,27.01%,27.69%,26.43%,24.67%,24.77%,23.46%,38.89%,32.69%,28.92%,23.08%,24.34%,24.04%,25.50%,23.48%,26.46%,27.37%,27.37%,27.52%,27.05%,24.93%,23.41%,22.06%,41.18%,32.56%,31.17%,26.96%,28.15%,24.85%,24.49%,23.94%,22.17%,22.22%,22.22%,24.66%,24.83%,27.99%,27.03%,26.00%
Denver,23.33%,25.37%,24.49%,22.88%,24.11%,21.52%,20.79%,21.74%,22.38%,22.38%,21.86%,22.18%,20.43%,21.91%,20.46%,18.78%,19.42%,20.59%,17.50%,22.22%,17.72%,14.14%,18.46%,19.29%,16.07%,17.09%,17.09%,14.59%,13.23%,12.41%,12.58%,11.90%,0.00%,23.33%,23.33%,17.50%,20.79%,21.71%,23.03%,17.41%,17.41%,19.40%,17.37%,18.37%,17.74%,18.94%,21.43%,21.77%,0.00%,15.79%,8.33%,8.33%,6.12%,4.84%,12.66%,15.45%,17.02%,15.19%,18.38%,21.03%,19.07%,24.68%,23.90%,24.32%,40.00%,15.79%,11.54%,18.06%,17.33%,17.33%,18.87%,19.33%,18.25%,24.18%,23.53%,26.24%,26.56%,28.72%,29.83%,30.54%,24.39%,12.50%,17.54%,17.29%,20.13%,19.88%,19.08%,19.08%,18.95%,17.41%,18.55%,20.54%,18.15%,17.72%,17.18%,18.05%,18.92%,25.00%,15.38%,20.97%,16.46%,16.16%,17.29%,17.29%,21.43%,24.67%,22.16%,23.53%,20.41%,25.00%,23.44%,25.45%,28.81%,41.18%,29.17%,39.34%,34.48%,28.85%,29.84%,31.88%,33.12%,33.12%,28.57%,26.73%,23.20%,22.66%,21.56%,20.89%,22.47%,50.00%,38.64%,41.38%,29.63%,22.86%,22.86%,19.51%,18.05%,23.98%,21.81%,23.41%,23.08%,25.39%,24.16%,22.26%,22.58%,13.46%,9.09%,24.56%,25.93%,28.82%,28.82%,27.45%,26.81%,25.83%,25.58%,26.42%,30.09%,31.47%,32.27%,31.38%,42.86%,38.89%,29.92%,32.96%,30.00%,31.32%,28.86%,27.11%,27.11%,26.95%,26.88%,24.94%,26.08%,26.21%,25.23%,23.60%,0.00%,0.00%,0.00%,0.00%,2.59%,6.80%,16.40%,20.09%,24.08%,27.97%,27.30%,24.10%,22.99%,24.16%,24.57%,27.82%
